잡지명	삼천리 제8권 제1호
발행일	1936년 01월 01일
기사제목	드른 風月記 (Heard Tidbits/Anecdotes)
기사형태	소식 (News/Items)

드른 風月記
金起林氏의 晩覺演說

「鄭芝鎔詩集」出版紀念會 날 詩人 金起林氏가 한 축사는 가장 기발하여 만장의 박수를 삿다.

「나는 以前날 詩를 쓰면서도 내 詩를 봐주는 사람이 몃치나 되랴 하고 늘 悲哀를 늣겨오든 중 요전 어느 音樂家의 독창회에 가본 즉 數千 군중이 그 성악에 반하여 박수갈채하는 것을 보고 에라 나도 詩를 폐업하고 音樂이나 한다고 어느 선배에게 목소리 試聽을 請하엿더니 落第라고 하기에 비관하고 도라저 다시 京城運動場의 徐廷權拳鬪大會를 본 즉 音樂家보다 더 성황이기 다시 빡싱선수되려 결심하고 斯道大家의 門을 叩한 즉 그 亦 無望하다 하여 落心하든 중 오늘 밤 鄭詩人을 위한 歡迎客이 이러케 만흔 것을 볼 때 亦是 詩人도 조쿠나 하여 다시 詩를 쓰기로 결심하엿다.」
운운하는 유-모아 100파센트의 소감이엇섯다.

네 번 인사하는 洪蘭坡

音樂家 洪蘭坡는 인사한 사람을 다시 초면 인사하기로 일수인데 露西亞 文學을 전공하는 咸大勳氏와는 前后 네 번이나 初對面 인사를 하엿다 한다. 맛나면 처음 보는 듯하여 인사하고는 둘은 우스워 한바탕 웃고 이 다음부터는 서로 알거니 하고 갈나지지만 또 모르기는 마천가지다. 딴 말이나 蘭坡氏는 音樂家이니 만치 서양사람과의 交際가 만허서 英米人들과 接觸이 만흔터인 바 英米人의 얼골은 그 얼골이 그 얼골이라 암만 보아야 한 판에 박은 듯한 얼골임으로 누가 누구인지 몰라 애당초에 英米人과는 인사할 생각을 아니하여서 <158> 洋人 紳士 淑女는 蘭坡 더러 西洋人排斥者」라는 險口까지 하는 이가 잇다고.

一身兩役의 獨鵑
東京의 小林1, 3系의 東寶劇場 支配人이 文士 秦豊吉인 모양으로 서울 西大門 밧 東洋劇場의 支配人이 亦 文士 崔獨鵑이라.
獨鵑은 요지간 中央日報에 「戀愛非常線」이란 연재소설을 쓰고 잇는 한편 劇場事務室에 안저 興行映畵의 선택과 흥행물의 선전 등 四面六譬의 일을 보고 잇는데 지배인 노릇도 이제는 제법 틀에 짜어저 간다 함은 깃분 일이라고 友人들이 안심.

徐恒錫氏와 連載小說

獨逸文學의 權威요. 東亞日報 學藝部長인 徐恒錫씨는 日前 이러한 말을 하엿다.
自己가 第一 깁분 일은 新聞 연재소설에 대하여 일반독자로부터 조타는 투서가 드러올 때요. 그 반대로 아모개 小說은 낫부니 집어 지우라는 攻擊 投書가 온 때처럼 괴롭은 때는 업다한다. 그래서 激讚 投書는 作者에게 보내주거니와 惡評 投書는 깔아치우는데 바로 日前에도 엇든 讀者로부터 懸賞當選 沈薰氏作 「常綠樹」는 대단히 조흔데 賞金 500圓은 적으니 적어도 1,000圓쯤 주시오」하는 투서가 왓더라고 얼마나 깁분지 몰낫다 함은 氏의 정직한 고백.

李殷相氏와 眼鏡

强度의 眼鏡을 쓰고 잇는 詩人 李殷相氏는 먼 데 것을 잘 보지 못하는지라, 길 다닐 때에도 100步前 人物은 누가 누구인지 몰라서 아는 사람과도 인사하는 일업시 그양 지나가 버린다. 그래서 혹 「저사람 거만하군!」하고 험구하는 사람이 잇다든가. 그러나 罪는 眼鏡에 잇지 사람에 잇는 것이 아니라고. <159>

Heard Tidbits
Mr. Kim Kirim's Late Realization Speech

At the publication party for the "Chŏng Chiyong Poetry Collection" (鄭芝鎔詩集), the congratulatory address given by poet Mr. Kim Kirim was most ingenious and received applause from the entire audience.

"In the past, while writing poetry, I always felt sorrow (悲哀), wondering how many people would actually read my poems. Recently, I went to a certain musician's (音樂家) solo recital and saw several thousand (數千) people in the audience captivated by the vocal music and applauding enthusiastically. So I thought, 'Forget it, I'll quit poetry and take up music!' I asked a senior colleague to audition my voice, but they said I failed (落第). Feeling discouraged, I turned away. Then I went to see the Sŏ Chŏnggwŏn Boxing Match (徐廷權拳鬪大會) at Kyŏngsŏng Stadium (京城運動場), and seeing it was even more popular than the musician's recital, I decided to become a boxing champion. I knocked on the door (門) of a great master in that field (斯道大家), but was told that too was hopeless (無望). As I was despairing (落心), seeing tonight that there are so many welcome guests (歡迎客) for poet Chŏng, I thought, 'Being a poet (詩人) is also good after all (亦是)!' and resolved to write poetry again."
Such were his 100 percent humorous reflections.

Hong Nanp'a, Who Bows Four Times

Musician (音樂家) Hong Nanp'a habitually greets people he has already met as if for the first time. It's said that with Mr. Ham Taehun, who majors in Russian (露西亞) literature (文學), he exchanged first-time greetings (初對面) on four separate occasions (前后). When they meet, he greets as if seeing him for the first time, then they both find it funny and have a good laugh. They part ways thinking they'll surely recognize each other next time, but it's the same story again. On another note, as Mr. Nanp'a is a musician, he has much social interaction (交際) with Westerners and frequent contact (接觸) with Britons and Americans (英米人). However, to him, British and American faces (얼골) all look the same; no matter how much he looks, they seem cast from the same mold. Because he can't tell who is who, he initially gave up on greeting Britons and Americans <158> altogether. It's said that some Western gentlemen (紳士) and ladies (淑女) even speak ill (險口) of Nanp'a, calling him an "Excluder of Westerners (西洋人排斥者)."

Tokkyŏn, Playing Two Roles in One Body (一身兩役)
Just as the manager (支配人) of the Kobayashi system's Tōhō Theater (東寶劇場) in Tokyo (東京) is apparently the man of letters (文士) Chin P'unggil (秦豊吉), the manager of the Tongyang Theater (東洋劇場) outside Seoul's West Gate (西大門) is also the man of letters Ch'oe Tokkyŏn (崔獨鵑).
Tokkyŏn is currently writing a serialized novel titled "Love Emergency Line" (戀愛非常線) for the Chungang Ilbo (中央日報), while also sitting in the theater office (劇場事務室) handling all sorts of business (四面六譬) like selecting films for showing (興行映畵), promoting attractions, etc. His friends are relieved (安心) to hear that he's now getting quite settled into the role of manager, which is said to be a happy thing.

Mr. Sŏ Hangsŏk and Serialized Novels

Mr. Sŏ Hangsŏk, an authority (權威) on German (獨逸) literature and the head of the Arts Department (學藝部長) at the Tonga Ilbo (東亞日報), said something like this the other day (日前).
The thing that makes him happiest (第一 깁분 일) is when letters (投書) come in from the general readership praising a newspaper (新聞) serial novel. Conversely, there is no time more distressing than when accusatory letters (攻擊 投書) arrive demanding that so-and-so's novel be dropped because it's bad (낫부니). Therefore, he forwards the letters of high praise (激讚 投書) to the author (作者), but ignores the critical letters (惡評 投書). Just the other day, a letter came from a reader saying that the prize-winning (懸賞當選) work "Sangnoksu" (常綠樹) by Mr. Sim Hun (沈薰氏作) is excellent, but the prize money (賞金) of 500 Won (圓) is too little, asking for at least 1,000 Won. Mr. Sŏ couldn't express how happy (깁분지) this made him—such was his honest confession.

Mr. Yi Ŭnsang and Eyeglasses (眼鏡)

Poet (詩人) Mr. Yi Ŭnsang, who wears strong (强度) eyeglasses (眼鏡), has trouble seeing things far away. When walking down the street, he can't recognize people (人物) 100 steps (步) ahead, so he passes by even acquaintances without greeting them. Because of this, some people নাকি criticize him harshly, saying, "That person is arrogant!" However, the fault (罪) lies with the eyeglasses, not the person. <159>

**Summary**

This article compiles several short anecdotes about prominent Korean cultural figures in 1936. Poet Kim Kirim humorously recounts his fleeting desires to become a musician or boxer before reaffirming his commitment to poetry. Musician Hong Nanp'a is noted for his forgetfulness in recognizing acquaintances and his difficulty distinguishing Western faces. Writer Ch'oe Tokkyŏn balances writing a serialized novel with managing a theater. Newspaper editor Sŏ Hangsŏk shares his joy at receiving positive reader feedback and his distress over negative comments regarding serial novels, particularly mentioning praise for Sim Hun's "Sangnoksu". Finally, poet Yi Ŭnsang's poor eyesight causes him to unintentionally ignore people, leading to undeserved accusations of arrogance.

From a historical perspective, the article offers glimpses into the vibrant cultural scene of colonial Seoul (Kyŏngsŏng). It shows Korean intellectuals and artists actively engaged in modern cultural forms like poetry, Western music, serialized novels, theater management, and even boxing spectatorship. The mention of specific publications (Chŏng Chiyong's poetry collection, Chungang Ilbo, Tonga Ilbo), venues (Kyŏngsŏng Stadium, Tongyang Theater), and interactions (publication parties, reader feedback) paints a picture of their professional lives. The anecdotes about Hong Nanp'a's interactions with Westerners and Sŏ Hangsŏk's handling of reader mail subtly reflect the social dynamics and pressures (like public opinion and potential censorship) of the time. The mention of Japanese cultural infrastructure (Toho Theater) points to the interconnectedness within the empire.

**Named Entities**

金起林	김기림	Kim Kirim
鄭芝鎔	정지용	Chŏng Chiyong
京城運動場	경성운동장	Kyŏngsŏng Undongjang (Seoul Stadium)
徐廷權	서정권	Sŏ Chŏnggwŏn
洪蘭坡	홍난파	Hong Nanp'a
露西亞	노서아	Russia (older name: Noseoa)
咸大勳	함대훈	Ham Taehun
英米人	영미인	Britons and Americans
東京	도쿄	Tokyo
小林	코바야시	Kobayashi
東寶劇場	동보극장	Tōhō Gekijō (Toho Theater)
秦豊吉	진풍길	Chin P'unggil
西大門	서대문	Sŏdaemun (West Gate, Seoul)
東洋劇場	동양극장	Tongyang Kŭkchang (Oriental Theater)
崔獨鵑	최독견	Ch'oe Tokkyŏn
中央日報	중앙일보	Chungang Ilbo (Newspaper)
徐恒錫	서항석	Sŏ Hangsŏk
獨逸	독일	Germany (older name: Togil)
東亞日報	동아일보	Tonga Ilbo (Newspaper)
東亞日報 學藝部	동아일보 학예부	Tonga Ilbo Arts Department
沈薰	심훈	Sim Hun
常綠樹	상록수	Sangnoksu (Evergreen Tree - novel title)
李殷相	이은상	Yi Ŭnsang

**Glossary**

風月記	풍월기	Tidbits, anecdotes, literally 'records of wind and moon'
詩集	시집	Poetry collection
以前	이전	Before, previously
詩	시	Poetry, poem
몃치나	몇이나	How many (older spelling)
悲哀	비애	Sorrow, grief
늣겨오든	느껴오던	Used to feel (older spelling)
音樂家	음악가	Musician
數千	수천	Several thousand
박수갈채	박수갈채	Applause, ovation
폐업하다	폐업하다	To close down a business
試聽	시청	Audition, listening test
請하다	청하다	To request, ask
落第	낙제	Failure (in a test or selection)
비관하다	비관하다	To be pessimistic, despair
도라저	돌아서	Turning away (older spelling)
拳鬪	권투	Boxing
성황	성황	Prosperous, bustling, popular (event)
斯道大家	사도대가	A great master in a particular field
門	문	Door, gate (here, figuratively, seeking instruction)
叩하다	고하다	To knock
亦	역	Also, too (Hanja character for 역)
無望	무망	Hopeless
落心	낙심	Discouragement, despair
歡迎客	환영객	Welcome guests
亦是	역시	As expected, indeed, also
유-모아	유머	Humor (loanword)
초면	초면	First meeting
前后	전후	Around, approximately (here referring to occasions)
맛나면	만나면	When (they) meet (older spelling)
갈나지지만	갈라지지만	Although they part ways (older spelling)
마천가지다	마찬가지다	It's the same (colloquial/older form)
交際	교제	Social interaction, association
만허서	많아서	Because there are many (older spelling)
接觸	접촉	Contact
만흔터인 바	많은 터인 바	As it is the case that there are many (older spelling/form)
얼골	얼굴	Face (older spelling)
암만	아무리	No matter how much
애당초	애당초	From the very beginning
洋人	양인	Westerner
紳士	신사	Gentleman
淑女	숙녀	Lady
排斥者	배척자	One who excludes or boycotts
險口	험구	Slander, harsh criticism
잇다고	있다고	It is said that there is/are (older spelling)
一身兩役	일신양역	One body, two roles; doing two jobs at once
支配人	지배인	Manager
文士	문사	Man of letters, writer
밧	밖	Outside (older spelling)
요지간	요즈음	Nowadays, recently (colloquial/older form)
連載小說	연재소설	Serialized novel
劇場	극장	Theater
事務室	사무실	Office
안저	앉아	Sitting (older spelling)
興行	흥행	Entertainment business, show business
映畵	영화	Movie, film
選擇	선택	Selection, choice
宣傳	선전	Promotion, advertising
四面六譬	사면육비	(Likely variant of 四面八方) Handling all sorts of things/aspects
노릇	노릇	Role, job
짜어저	짜여져	Being fitted into, becoming structured (older spelling)
깃분	기쁜	Happy, joyful (older spelling)
友人	우인	Friend
安心	안심	Relief, peace of mind
權威	권위	Authority
學藝部長	학예부장	Head of the Arts and Sciences Department
日前	일전	The other day, recently
自己	자기	Oneself, self
第一	제일	First, most
新聞	신문	Newspaper
一般讀者	일반독자	General readers
조타는	좋다는	Saying it is good (older spelling)
投書	투서	Letter to the editor, submitted writing
反對	반대	Opposition, contrary
낫부니	나쁘니	Because it is bad (older spelling)
집어 지우라	집어 치우라	Drop it, stop it (colloquial command)
攻擊	공격	Attack, criticism
업다	없다	To not exist, to be absent (older spelling)
激讚	격찬	High praise
作者	작자	Author, writer
惡評	악평	Bad review, criticism
깔아치우다	깔아치우다	(Likely means) To ignore, discard, sit on
엇든	어떤	Some, a certain
懸賞當選	현상당선	Prize-winning
作	작	Work (by an author)
圓	원	Won (currency unit)
주시오	주시오	Please give (polite command form)
왓더라고	왔더라고	(He said) it came (older spelling/form)
몰낫다	몰랐다	Did not know (older spelling)
고백	고백	Confession
强度	강도	Strength, intensity (here, of eyeglasses prescription)
眼鏡	안경	Eyeglasses
步	보	Step (unit of measure)
人物	인물	Person, figure
업시	없이	Without (older spelling)
그양	그냥	Just, as is (older spelling)
험구하다	험구하다	To speak ill of, criticize harshly
잇다든가	있다든가	That there are (such people), or so it's said (older spelling)
罪	죄	Fault, sin, crime


---------------------------


잡지명	삼천리 제8권 제1호
발행일	1936년 01월 01일
기사제목	드른 風月記
기사형태	소식

드른 風月記
金起林氏의 晩覺演說

「鄭芝鎔詩集」出版紀念會 날 詩人 金起林氏가 한 축사는 가장 기발하여 만장의 박수를 삿다.

「나는 以前날 詩를 쓰면서도 내 詩를 봐주는 사람이 몃치나 되랴 하고 늘 悲哀를 늣겨오든 중 요전 어느 音樂家의 독창회에 가본 즉 數千 군중이 그 성악에 반하여 박수갈채하는 것을 보고 에라 나도 詩를 폐업하고 音樂이나 한다고 어느 선배에게 목소리 試聽을 請하엿더니 落第라고 하기에 비관하고 도라저 다시 京城運動場의 徐廷權拳鬪大會를 본 즉 音樂家보다 더 성황이기 다시 빡싱선수되려 결심하고 斯道大家의 門을 叩한 즉 그 亦 無望하다 하여 落心하든 중 오늘 밤 鄭詩人을 위한 歡迎客이 이러케 만흔 것을 볼 때 亦是 詩人도 조쿠나 하여 다시 詩를 쓰기로 결심하엿다.」
운운하는 유-모아 100파센트의 소감이엇섯다.

네 번 인사하는 洪蘭坡

音樂家 洪蘭坡는 인사한 사람을 다시 초면 인사하기로 일수인데 露西亞 文學을 전공하는 咸大勳氏와는 前后 네 번이나 初對面 인사를 하엿다 한다. 맛나면 처음 보는 듯하여 인사하고는 둘은 우스워 한바탕 웃고 이 다음부터는 서로 알거니 하고 갈나지지만 또 모르기는 마천가지다. 딴 말이나 蘭坡氏는 音樂家이니 만치 서양사람과의 交際가 만허서 英米人들과 接觸이 만흔터인 바 英米人의 얼골은 그 얼골이 그 얼골이라 암만 보아야 한 판에 박은 듯한 얼골임으로 누가 누구인지 몰라 애당초에 英米人과는 인사할 생각을 아니하여서 <158> 洋人 紳士 淑女는 蘭坡 더러 西洋人排斥者」라는 險口까지 하는 이가 잇다고.

一身兩役의 獨鵑
東京의 小林1, 3系의 東寶劇場 支配人이 文士 秦豊吉인 모양으로 서울 西大門 밧 東洋劇場의 支配人이 亦 文士 崔獨鵑이라.
獨鵑은 요지간 中央日報에 「戀愛非常線」이란 연재소설을 쓰고 잇는 한편 劇場事務室에 안저 興行映畵의 선택과 흥행물의 선전 등 四面六譬의 일을 보고 잇는데 지배인 노릇도 이제는 제법 틀에 짜어저 간다 함은 깃분 일이라고 友人들이 안심.

徐恒錫氏와 連載小說

獨逸文學의 權威요. 東亞日報 學藝部長인 徐恒錫씨는 日前 이러한 말을 하엿다.
自己가 第一 깁분 일은 新聞 연재소설에 대하여 일반독자로부터 조타는 투서가 드러올 때요. 그 반대로 아모개 小說은 낫부니 집어 지우라는 攻擊 投書가 온 때처럼 괴롭은 때는 업다한다. 그래서 激讚 投書는 作者에게 보내주거니와 惡評 投書는 깔아치우는데 바로 日前에도 엇든 讀者로부터 懸賞當選 沈薰氏作 「常綠樹」는 대단히 조흔데 賞金 500圓은 적으니 적어도 1,000圓쯤 주시오」하는 투서가 왓더라고 얼마나 깁분지 몰낫다 함은 氏의 정직한 고백.

李殷相氏와 眼鏡

强度의 眼鏡을 쓰고 잇는 詩人 李殷相氏는 먼 데 것을 잘 보지 못하는지라, 길 다닐 때에도 100步前 人物은 누가 누구인지 몰라서 아는 사람과도 인사하는 일업시 그양 지나가 버린다. 그래서 혹 「저사람 거만하군!」하고 험구하는 사람이 잇다든가. 그러나 罪는 眼鏡에 잇지 사람에 잇는 것이 아니라고. <159>
<158-159>
