Magazine Title: 三千里
Publication Date: 昭和十三年四月一日 (April 1, 1938)
Article Title: 春風秋雨 五十年 – 李完用侯의 追憶談 (Spring Wind, Autumn Rain, Fifty Years – Recollections of Marquis Yi Wan-yong)
Author: 玄靈 (Hyŏn Ryŏng)
Article Type: 追憶談 (Recollections/Memoir)

Marquis Yi Wan-yong is also someone who has lived through fifty years of spring winds and autumn rains (春風秋雨). The ups and downs of his life were severe, and the changes were many. What kind of path did he walk during his youth? What thoughts did he have? We publish below the recollections of Mr. Hyŏn Ryŏng, who grew up with the Marquis from his school days, traveled to America together, and shared close associations. Through this, we can glimpse the circumstances of that time, and perhaps it will also be a help in understanding Marquis Yi Wan-yong's entire life. — Editor

**Marquis Yi Wan-yong and I**

I am probably one of the people who knew Marquis Yi Wan-yong best. Why? Because we were schoolmates at Yukyŏng Kongwŏn (育英公院) and also traveled to America together, where we lived under the same roof for several years, sharing meals and lodging. Therefore, my knowledge of him compared to others is likely quite significant.

He was a child of a noble (貴族) family, and I was also a so-called nobleman's son (貴公子). Naturally, we became friends. My interactions with him were somewhat different compared to other friends. How so? You ask what I mean? At that time, most sons of high officials (大官) were full of spirit (氣焰), imposing and arrogant (等等), but he alone had remarkable spirit (氣槪), was composed (沈着), and poised (태연하엿섯다). First of all, unlike the trend of acting with the backing of one's parents' influence, one could see in him the spirit (意氣) to pursue his own beliefs. His perception was sharp (銳敏) and penetrating (透徹), his intelligence was extraordinary (비상하얏스며), and his memory was outstanding (出衆). I could not help but admire (敬服) him in that respect. His appearance (風采) was imposing (堂堂), his build (骨格) large (壯大), his features (眉目) handsome (秀麗), and his voice (音聲) resonant (宏亮), so anyone meeting him could immediately see (一見) his heroic bearing (豪傑다운 器局).

<60>

**Going to America Together**

Later, when government-funded students (官費學生) were dispatched to America, Marquis Yi Wan-yong strongly urged (極力 勸誘) me to go along as an attendant (隨員) to broaden my knowledge (見識). As I also wanted to see the conditions of developed countries (文明國), I readily (쾌히) accepted (應諾).

During the sea voyage of over ten days, Marquis Yi Wan-yong, unlike others who enjoyed themselves, spent his free time (餘暇) engrossed (專心 열중하얏섯다) in reading books (書冊). Seeing this, I felt that he was indeed different from ordinary people.

Arriving in America and seeing the various aspects of civilization (文明), my thoughts were deeply moved (感慨 無量하엿다). Marquis Yi also seemed greatly stimulated. Especially concerning the thought world (思想界) and political world (政治界) of America, he seemed to think and feel many things. Was it because of this? Upon returning home (歸國), he quickly took a leading position (指導的 地位) in importing new knowledge (新知識) and suddenly transformed (變身) himself into a champion (健兒) of the Independence Club (獨立協會), engaging in vigorous activity (活躍). And yet, in later years (後年), he came to bear the title of "nation-seller" (賣國奴). Alas (嗚呼), human life (人生이란) is truly incomprehensible (不可思議)!

**A Chat with Sŏ Chae-p'il**

While we were studying in America, Sŏ Chae-p'il (徐載弼) came to see us. He had previously been involved in the Kapsin Coup (甲申政變) with Kim Ok-kyun (金玉均), Pak Yŏng-hyo (朴泳孝), Sŏ Kwang-bŏm (徐光範), Hong Yŏng-sik (洪英植), etc., and when it failed, he took refuge (亡命) in America, changed his name, and was living there. Marquis Yi Wan-yong and Sŏ Chae-p'il seemed to have been acquainted (舊面) before, as they talked intimately (懇懇히) for a long time. Although I could not know the inner details (內幕話) of their conversation, judging from their expressions and attitudes, it seemed they were discussing the future of Chosŏn (朝鮮). After Sŏ Chae-p'il left, Marquis Yi Wan-yong looked unusually flushed and agitated. Perhaps Sŏ Chae-p'il's words had stimulated him.

<61>

Later, Sŏ Chae-p'il returned to Chosŏn and became a central figure in the Independence Club, advocating for civil rights (民權) and exerting considerable influence. Marquis Yi Wan-yong, along with Yi Sang-jae (李商在) and others, also became core members (中心人物) of the Independence Club and were very active. It is said that Sŏ Chae-p'il had a significant influence on this.

Looking back now, Marquis Yi Wan-yong's life was truly one of dramatic changes (變轉). From a young man passionate about enlightenment (啓蒙) who studied abroad and led the Independence Club, to being branded the ultimate traitor – his life encompasses the turbulent transition of Chosŏn. It makes one ponder the complexities of fate and history.

**Summary**

This article presents recollections of Yi Wan-yong by Hyŏn Ryŏng, a childhood friend and fellow student who accompanied Yi to America. Hyŏn Ryŏng describes the young Yi Wan-yong as intelligent, composed, imposing, and possessing an independent spirit, distinct from other privileged youths. He recounts their trip to America, Yi's studious nature, his deep impression by American civilization, and his subsequent transformation into a leader of the Independence Club upon returning to Korea. The article also mentions an encounter with Sŏ Chae-p'il in America, suggesting Sŏ's influence on Yi's later activities. The author concludes by reflecting on the incomprehensible turns in Yi Wan-yong's life, from an enlightenment activist to the figure later reviled as a "nation-seller." For historians, this piece offers a rare contemporary perspective on Yi Wan-yong's early character and motivations from someone who knew him intimately before his later controversial political career. It provides insight into the influences (like study in America and interaction with figures like Sŏ Chae-p'il) that shaped members of the Korean elite during the critical period leading up to and during the early colonial era, complicating the often monolithic portrayal of figures like Yi Wan-yong.

**Named Entities**

李完用	이완용	Yi Wan-yong
侯	후	Hu (Marquis - used as title for Yi Wan-yong)
玄靈	현령	Hyŏn Ryŏng
育英公院	육영공원	Yukyŏng Kongwŏn
米國	미국	Miguk (America)
朝鮮	조선	Chosŏn
徐載弼	서재필	Sŏ Chae-p'il
甲申政變	갑신정변	Kapsin Chŏngbyŏn (Kapsin Coup)
金玉均	김옥균	Kim Ok-kyun
朴泳孝	박영효	Pak Yŏng-hyo
徐光範	서광범	Sŏ Kwang-bŏm
洪英植	홍영식	Hong Yŏng-sik
獨立協會	독립협회	Tongnip Hyŏphoe (Independence Club)
李商在	이상재	Yi Sang-jae

**Glossary**

春風秋雨	춘풍추우	Spring wind, autumn rain; fig. the passage of time, ups and downs of life
追憶談	추억담	Recollections, memoir
侯	후	Marquis (noble title)
玄靈	현령	Hyŏn Ryŏng (Author's name)
亦是	역시	Also, too (Older form of 역시)
엇던	어떤	What kind of, some (Older spelling)
갓흔	같은	Like, same as (Older spelling of 같은)
하엿섯다	하였었다	Did, had done (Older past perfective form)
學窓	학창	School window; fig. school days
渡米	도미	Traveling to America
見聞	견문	Observations, knowledge gained through seeing and hearing
文明	문명	Civilization
思想界	사상계	The world of thought, intellectual circles
政治界	정치계	The political world
指導者	지도자	Leader
感慨	감개	Deep emotion, strong feelings
無量하엿다	무량하였다	Was boundless, immeasurable (Older form)
동무	동무	Friend, companion (Still used, but less common than 친구 now, common in NK)
同窓	동창	Schoolmate, alumnus
懇懇히	간간히	Earnestly, cordially (Older adverbial form, now 간곡히/간절히 more common)
권유하엿슴으로	권유하였으므로	Because he recommended/urged (Older spelling/form of 권유하였으므로)
쾌히	쾌히	Readily, willingly
應諾	응낙	Consent, acceptance
內幕話	내막화	Inside story, behind-the-scenes talk
비추어	비추어	Judging from, in light of
當時	당시	At that time, then
事情	사정	Circumstances, situation
알으리라	알으리라	Will know, likely know (Older future tense/supposition form of 알 것이다/알리라)
年少	연소	Youthful, young age
時節	시절	Time, period, days
親交	친교	Close friendship, intimacy
故	고	Reason, cause; therefore (Hanja used for 'reason' or 'deceased')
關係	관계	Relation, connection
多大하리라	다대하리라	Would be great, considerable (Older form)
貴族	귀족	Aristocrat, nobleman
子弟	자제	Sons and younger brothers; children (of respectable families)
모다	모두	All, everyone (Older form of 모두)
貴公子	귀공자	Son of a noble family, young nobleman
親舊	친구	Friend (Older Hanja spelling of 친구)
交際	교제	Association, relations, company
비하여	비하여	Compared to
달낫스며	달랐으며	Was different and... (Older spelling/form of 달랐으며)
엇던지	어쩐지	Somehow, for some reason (Older spelling)
엇더케	어떻게	How (Older spelling)
말슴이십니까	말씀이십니까	Is it that word/what you mean? (Older spelling of 말씀)
大官	대관	High official
집	집	House; family
子弟들	자제들	Children (of respectable families)
氣焰	기염	Spirit, vigor, imposing air
等等	등등	Etc., and so on
모엿섯스나	모였었으나	Gathered, but... (Older spelling/past perfective form)
유독	유독	Alone, uniquely, particularly
氣槪	기개	Spirit, mettle, pluck
沈着	침착	Calmness, composure
태연하엿섯다	태연하였었다	Was calm, composed (Older spelling/past perfective form)
爲先	우선	First of all, before anything else
父母	부모	Parents
힘을	힘을	Strength, power
背景삼어	배경 삼아	Using as a background/backing
行動	행동	Action, behavior
氣風	기풍	Trend, tendency, spirit (of the times)
自身	자신	Oneself
信念	신념	Belief, conviction
追求하려는	추구하려는	Trying to pursue
意氣	의기	Spirit, enthusiasm, vigor
뵈엿섯다	뵈었었다	Was seen, seemed (Older passive/causative form of 보다 combined with past perfective)
銳敏	예민	Sharpness, sensitivity, keenness
透徹	투철	Penetrating, thorough, clear
聰明	총명	Intelligence, brightness
비상하얏스며	비상하였으며	Was extraordinary and... (Older spelling/form)
記憶力	기억력	Memory (ability)
出衆	출중	Outstanding, prominent
一片	일편	One piece; fig. (often with 마음) wholehearted devotion
敬服	경복	Respect, admiration
마지 아니하얏스며	마지 아니하였으며	Could not help but... (Older form of ~마지않다)
風采	풍채	Appearance, bearing, presence
堂堂	당당	Imposing, stately, dignified
骨格	골격	Build, frame, physique
壯大	장대	Large, grand, magnificent
眉目	미목	Eyebrows and eyes; features
秀麗	수려	Handsome, beautiful
音聲	음성	Voice
宏亮하야	굉량하여	Being resonant/sonorous (Older form/spelling)
누구나	누구나	Anyone, everybody
接하야보면	접하여 보면	If one meets/comes into contact with
豪傑다운	호걸다운	Heroic, great man-like
器局	기국	Caliber, capacity, magnanimity
一見	일견	One look, at first glance
알수 잇섯다	알 수 있었다	Could know, was able to know (Older spelling of 있다)
官費學生	관비학생	Government-sponsored student
派遣	파견	Dispatch, sending
隨員	수원	Attendant, member of an entourage
同行	동행	Traveling together
多數	다수	Many, majority
見識	견식	Knowledge, insight, experience
넓히기	넓히기	Broadening, widening
極力	극력	With all one's might, strenuously
勸誘	권유	Recommendation, persuasion, urging
餘暇	여가	Leisure time, spare time
書冊	서책	Books
읽어	읽어	Reading
專心	전심	Wholeheartedness, concentration
