**Header Section:**
Magazine Title: 삼천리 제7권 제5호
Publication Date: 1935년 06월 01일
Article Title: 端宗大王 莊陵 參拜記 (English: Record of a Visit to King Tanjong's Royal Tomb, Changnŭng)
Author: 金性睦
Article Type: 기행문 (English: Travelogue)

**Body Text Translation:**
There are so many mountains. Layer upon layer, the mountains get higher as one goes. Looking down from T'aesan Pass, turning bend after bend, mountains block the way. It's already been over a month since entering Kangwŏn Province. Passing through Hoengsŏng, Wŏnju, and P'yŏngch'ang to reach Yŏngwŏl, I feel suffocated every day. How I long for the vast, boundless ocean that opens the heart wide! The mountains of Kangwŏn Province, pressing down on my chest in thousands upon thousands of layers, make my body increasingly weary as I search deeper into them.

Although the majestic mountains, the scenery adorned according to the four seasons, and the serene atmosphere may hold tens of times more value than the admirable waves of the sea, when one gets lost on the rough paths of the deep, layered valleys and asks a young mountain wife for directions, it's truly upsetting when she turns away without answering. The road ahead is distant, and when dusk falls, cold sweat beads like pearls on the forehead, the mouth goes dry, and even the throat burns. Leaving this place and driving over a pass, tall, lush pine trees soared, and beneath them, grasses met the autumn, their yellow leaves fluttering in the wind. Autumn chrysanthemums filled the valley; this was the Yi Royal Household Forestry (李王職山林). To the left of the road was a large tomb (陵); this is the tomb where, some 280 years ago, the unfortunate royal spirit body (御靈體) of King Tanjong was enshrined (安莊).

I combed my hair again and straightened my clothes to pay respects at Changnŭng (莊陵). Guided by Ch'ambong (叅奉) Kim Pok-kyu (金宓圭), I performed a deep bow (重敬拜) before the Hongjŏnmun Gate (紅箭門) of the Royal Tomb's T-shaped Pavilion (御陵丁字閣). As I paid respects at the royal tomb with deep emotion, the silent blue mountains (靑山) seemed to inform me through the rising wind. Limitless longing wandered, unsure where to go, like a flock of sheep without a shepherd – where could they rest? Endless tears gathered in my eyes. Step by step, carefully, I paid homage (拜謁) at the tomb, turned around, descended, bowed in retreat (拜退) before the tomb, and went into the office (事務室). When I asked Kim Ch'ambong about the brief history (畧歷) of King Tanjong, [he explained that] King Tanjong was born (御誕生) on the 23rd day of the 7th month of the Sinyu year, the 23rd year of King Sejong's reign [1441], and ascended the throne (卽位) on the 18th day of the 5th month of the Imsin year [1452]. After reigning for three years, on the 11th day of the intercalary 6th month of the Ŭrhae year [1455], he abdicated (裨位于) to Sejo. He came to Yŏngwŏl and stayed at Ch'ŏngnyŏngp'o (淸冷浦), but during the long rains (長霖), the damp peninsula (半島) became severely cold, causing much hardship. Moreover, there was nothing even to eat, so the Hojang (戶長) of Yŏngwŏl county town (寧越邑), Ŏm Hŭng-do (嚴興道), avoiding others' eyes late each night (每夜深頃), brought food to Ch'ŏngnyŏngp'o. Due to the severe cold, King Tanjong inevitably <109> came to the Yŏngwŏl Guest House (寧越客舍) and then met his demise (遭變). That time was the 24th day of the 10th month, a time of accumulated snow (積雪之時) [1457]. When one could not distinguish even short distances, he suffered this misfortune. At that time (其時), Hojang Ŏm Hŭng-do carried King Tanjong's remains (遺體) on his back and came here. A mountain deer (山鹿) guided the way, allowing the enshrinement (安莊) here. His ninety-odd retainers (從者) died upholding their loyalty (節死). In the 7th year of King Sukchong's reign [1681], the tomb was restored (復陵) to its present state, I was told. Also, after the office was destroyed by fire (消化 - likely a typo/euphemism for 소화(燒火) or 소실(燒失)) in the 6th year of Shōwa [1931], the reference documents (參考書類) are now gone, they say. Leaving this place and arriving in Yŏngwŏl county town (寧越邑), on the way to find the Post Office (郵便所) first, the bicycle crank axle (自轉車クランク心棒) snapped. Although I had arrived, this happening right upon entering the town, even if not a superstition, left me feeling uneasy. So I left it at the bicycle shop (自車房) and went to the Post Office, but the letter I was waiting for hadn't arrived, so I sent a telegram (電報) to the Head Office (本社) and settled into the Yŏnghŭng Inn (寧興旅館).

Then, after visiting the County Office (郡廳), Police Station (警察署), and Township Office (面所), I had time, so I went to Ch'ŏngnyŏngp'o (淸冷浦), located 10 ri to the west.

Seeking Ch'ŏngnyŏngp'o
Reaching the riverside, there was an ownerless boat. Poling that boat across to Ch'ŏngnyŏngp'o, the first thing that appeared amid the lush, tall pines was the Ch'ŏngnyŏngp'o Boundary Marker Stele (淸冷浦禁標 碑). And going inside, it was the place where King Tanjong (端廟大王) used to reside (起寢).
There was only a stele pavilion (碑閣) erected, inscribed 'Site where King Tanjong stayed when in this district' (端廟在本府時 遺址). Sitting on a rock and looking around in all directions (四方), all that could be seen were forests (森林) covering the high riverbanks (川), and all that could be heard were bird songs.
River water (江水) surrounded it on three sides, and one side was a high mountain cliff (高山絶壁). When King Tanjong was staying here, if Ŏm Hŭng-do had not offered provisions (食糧), his suffering would surely have been greater.
Climbing up the western cliff (西便 벼랑), which seemed sheerly cut, I wrote a verse.

Oh, Ch'ŏngnyŏngp'o! Did they name you Ch'ŏngnyŏngp'o ('Clear and Cold Inlet') because you openly spoke, piece by piece, of our Lord's suffering?
How cold must it have been? How damp must it have been that he left this place?

Our Lord, who used to sit on the royal couch,
bidding farewell to the Palace City (宮城) with tears,
came down the rough mountain path of over four hundred ri (四百餘里)
to this island, those old days!

How heart-wrenching must have been the first night longing for home (望鄕)!
Black clouds (黑雲) gathered in the sky (天空), the sun (太陽) lost its light,
The four classes of people (四民) were weeping, loyal subjects (忠臣) died martyrs (殉死),
Who would rebuild this fatherland?

Even the bright moon (明月) in the mid-sky (半空中天) depended on one's perspective.
Ch'ŏngnyŏngp'o's strangely shaped (奇形異態) rocks (岩石) rising from the water's surface (水面),
and the lovely flowers of spring blossoms and autumn maples (春花秋楓), only added to the sorrow of our lonely Lord.

Turning back from this place, I took the boat and returned. On the way back...

To Kŭmgangjŏng Pavilion
With another guest staying at the inn (旅館), we went through the back alleys of the village (洞里), visited the local Confucian school (鄕校), recalling how the youth of old (古代靑年) were educated (敎養), and climbed up to Kŭmgangjŏng Pavilion (錦江亭). Below the sheer cliff (斷崖絶壁) <110>, the clear, blue autumn river water (江水) flows. Kŭmgangjŏng Pavilion, built on the bluff rising as if carved, speaks of past history (녯 歷史). Here I composed a verse, rising from decaying fragments:
Only after waking from the dream does one know it was a dream (몽각연후방지몽 夢覺然後方知夢).
Loyal subjects and devoted martyrs remain by the Kŭmgang River (츙신열사금강유 忠臣烈士錦江留).
Worldly customs value wealth, nobility, and long life (시육부귀생활다 時俗富貴生活多).
The foremost rivers and mountains are in this land (제일강산재차향 第一江山在此鄕).
With whom can I share the scenery of Kŭmgang (금강경개수여공 錦江景槪誰與共)?
Like this lonely pavilion, an old man climbs (여차고누로상부 如此孤樓老上夫).
A piece of loyal heart is entrusted to the flowing water (일장단심긔유수 一片丹心寄流水).
Ten thousand ri of mountains and rivers - when will there be peace (말리산학안하시 萬里山河安何時)?
After writing this.

Climbing to Minch'ungsa Shrine
The door of the crumbling shrine (祠堂) was open, the floorboards were missing and scattered about, and the walls, weathered by wind and rain (風雨), were collapsed and fallen. Going inside, in the center (中央) was the spirit tablet of the Court Ladies (侍女之神位), to the left the spirit tablet of the Attendants (开ž人之神位 - likely 從人之神位), and on one side, only the altar base (床) remained from whoever's spirit tablet (神位) it was. Oh, indifferent and cold-hearted people! Protect the historic remains (遺蹟) of this place.
About one chō (町步) east of here.

Called Nakhwaam (Falling Flower Rock)
From the water's surface (水面), a sheer cliff (懸崖絶壁) tens of chang (丈) high rises steeply. On the 24th day of the 10th month, the 65th year since the founding of the Yi Dynasty [1457], when King Tanjong met his demise (遭變), about 90 court ladies (侍女) and attendants (從人), with unwavering loyalty (一片丹心) and the spirit of 'a loyal subject does not serve two kings' (忠臣은 不使二君), threw themselves into the river from this cliff (絶壁), dying for their principles (投江節死). This is a place of deep sorrow (원한). The white-robed (白衣) loyal subjects (忠臣), some 90 bundles dying for their loyalty (殉節), fell one after another onto the river (江上). Because their fall resembled falling flowers, it was named Nakhwaam (落花岩 - Falling Flower Rock). Where will these fallen flowers eventually be reborn (還生)? Do the spirits of the 90 loyal dead play upon the river (江上)? The autumn river (秋江) in the 9th month sparkles, reflecting the sun (太陽). And do the fish, perhaps consoling the departed souls, leap towards mid-heaven (中天)?
Here I tried composing a verse.
On Kŭmgangjŏng Pavilion (錦江亭), a lone traveler (孤客) rests, bowing his head in thought of the loyal subjects and devoted martyrs (충신렬사) who threw themselves into the river (投江殉死). On the clear water of the 9th month autumn river (秋江), a boatman poles his boat across, seemingly unaware of the court ladies (侍女) and attendants (從人) who fell, chattering thoughtlessly. Autumn leaves (단풍닙), touched by the autumn wind, flutter down from mid-heaven (中天). Indeed, this place called Nakhwaam (洛花岩) is truly so.
Turning back from here, I rested once more at Kŭmgangjŏng and looked at a writing composed by Master T'oehan (退漢先生任 - likely Yi Hwang, T'oegye).
Cuckoo cries tear the mountains near the capital year after year (鵑啼山裂畿窮年).
That the river shares its name with Shu waters is no coincidence (蜀水名同非偶然).
Faint light on morning eaves greets the ocean sunrise (明滅曉簷迎海旭).
Whistling winds through evening doors sweep autumn mists (飄蕭晩互掃秋烟).
Green pools stir with maples, fish swim like brocade (碧潭楓動魚遊錦).
Blue cliffs birth clouds, cranes tread on carpets (靑壁雲生鶴踏氈).
Again I promise a Taoist friend to bring an iron flute (更約道人携鐵笛).
To come and blow, shattering the old dragon's sleep (爲來吹破老龍眠).
I came to record these lines here.
Next, I sought out Changjŏl Academy (彰節書院) at the western foot (西麓) of Maebong Mountain (鷹峯山), about six chō (六町許) northwest. This is the place where the spirit tablets (神位) of loyal subjects (忠臣) from the court of the sixth king of the Yi Dynasty (李朝), King Tanjong, are enshrined. There, ten loyal subjects (10忠臣) including Sŏng Sam-mun (成三問), Pak P'aeng-nyŏn (朴彭年), Yi Kae (李塏), Yu Sŏng-wŏn (柳誠源), Ha Wi-ji (河*地 - likely 河緯地), Yu Ŭng-bu (兪應孚), Ŏm Hŭng-do (嚴興道), Kim Si-sŭp (金時習), Nam Hyo-on (南孝溫), and Pak Sim-mun (朴審問) are venerated together (列享). Next, although I saw Yŏngmojŏn Hall (永慕殿), where the portrait (御像) of King Tanjong is enshrined and venerated (奉安信仰), and Chagyuru Pavilion (子規樓), where the King would come out alone late at night (深夜) and shed tears, [I heard about] Ŏrayŏn (魚羅淵), a broad and flat pool (廣濶平舖한 淵) located about 30 ri upstream on the Kŭmgang River. There is Sŏnam Rock (仙岩) there, and in the deep water (深水中), schools of fish (魚軍) play freely. In the fine seasons (好時節) of spring blossoms and autumn maples (春花秋楓), the mountain scenery (山景) along the riverbanks (江岸) resembles a surrounding brocade screen (錦屛), with the art of Great Nature (大自然) immersed there – truly a superb view (可謂絶景). <111>

**Summary**

The author recounts a journey through the mountainous Kangwŏn Province to Yŏngwŏl, focusing on visiting sites related to the tragic King Tanjong. He describes the oppressive mountains, the solemn atmosphere of Changnŭng (Tanjong's tomb), the desolate beauty of Ch'ŏngnyŏngp'o where Tanjong was exiled, and other historical spots like Kŭmgangjŏng, Minch'ungsa Shrine, Nakhwaam (where loyalists committed suicide), and Changjŏl Academy. The author expresses deep sympathy for Tanjong and admiration for the loyal subjects, reflecting on history, loyalty, and the landscape's connection to these events through prose and poetry. From a colonial history perspective, the article is interesting for its focus on pre-colonial Korean history and figures, particularly the tragic narrative of King Tanjong and loyalty, themes that could resonate with feelings of loss and yearning for sovereignty under Japanese rule. The mention of the Yi Royal Household Forestry (李王職山林) and the destruction of records in the office (possibly related to administration under Japanese rule) are subtle markers of the colonial context, while the author's deep emotional engagement with Joseon history highlights the persistence of Korean historical consciousness during this period.

**Named Entities**

端宗大王	단종대왕	King Tanjong
莊陵	장릉	Changnŭng
金性睦	김성목	Kim Sŏng-mok
江原道	강원도	Kangwŏn Province
橫城	횡성	Hoengsŏng
原州	원주	Wŏnju
平昌	평창	P'yŏngch'ang
寧越	영월	Yŏngwŏl
李王職山林	이왕직산림	Yi Royal Household Forestry
金宓圭	김복규	Kim Pok-kyu
御陵丁字閣	어릉정자각	Royal Tomb's T-shaped Pavilion
紅箭門	홍전문	Hongjŏnmun Gate
世宗	세종	King Sejong
世祖	세조	King Sejo
淸冷浦	청령포	Ch'ŏngnyŏngp'o
嚴興道	엄흥도	Ŏm Hŭng-do
寧越邑	영월읍	Yŏngwŏl County Town
寧越客舍	영월객사	Yŏngwŏl Guest House
肅宗	숙종	King Sukchong
昭和	쇼와	Shōwa Era
郵便所	우편소	Post Office
本社	본사	Head Office
寧興旅館	영흥여관	Yŏnghŭng Inn
郡廳	군청	County Office
警察署	경찰서	Police Station
面所	면소	Township Office
淸冷浦禁標 碑	청령포금표 비	Ch'ŏngnyŏngp'o Boundary Marker Stele
錦江亭	금강정	Kŭmgangjŏng Pavilion
鄕校	향교	Hyanggyo
愍忠詞	민충사	Minch'ungsa Shrine
落花岩	낙화암	Nakhwaam
李朝	이조	Yi Dynasty
退漢先生任	퇴한선생임	Master T'oehan (Likely T'oegye/Yi Hwang)
彰節書院	창절서원	Changjŏl Academy
鷹峯山	응봉산	Maebong Mountain (Ŭngbongsan)
成三問	성삼문	Sŏng Sam-mun
朴彭年	박팽년	Pak P'aeng-nyŏn
李塏	이개	Yi Kae
柳誠源	유성원	Yu Sŏng-wŏn
河*地	하위지	Ha Wi-ji (Likely 河緯地)
兪應孚	유응부	Yu Ŭng-bu
金時習	김시습	Kim Si-sŭp
南孝溫	남효온	Nam Hyo-on
朴審問	박심문	Pak Sim-mun
永慕殿	영모전	Yŏngmojŏn Hall
子規樓	자규루	Chagyuru Pavilion
魚羅淵	어라연	Ŏrayŏn
錦江	금강	Kŭmgang River
仙岩	선암	Sŏnam Rock

**Glossary**

만키도	많기도	So many (Older spelling)
갈스록	갈수록	As one goes further (Older spelling)
발바	밟아	Stepping on (Older spelling)
막슴니다	막습니다	Blocks (Older spelling)
드러선지	들어선 지	Since entering (Older spelling)
발서	벌써	Already (Older spelling)
됨니다	됩니다	Becomes (Older spelling)
위그리	왜 그리	Why so (Older spelling)
누루는	누르는	Pressing (Older spelling)
차저	찾아	Searching for (Older spelling)
드러갈사록	들어갈수록	The deeper one goes (Older spelling)
괴롭슴니다	괴롭습니다	Is painful (Older spelling)
흠상쓰르운	흠상스러운	Admirable (Older spelling)
몃십배	몇십 배	Tens of times (Older spelling)
잇겟지만	있겠지만	Although there might be (Older spelling)
험한대	험한데	Rough place/path (Older spelling)
새악씨	새색시	Young wife (Older term/spelling)
무러면	물으면	If one asks (Older spelling)
도라서는	돌아서는	Turning away (Older spelling)
참말노	참말로	Truly (Older spelling)
상함니다	상합니다	Gets upset (Older spelling)
아득한대	아득한데	Distant (Older spelling)
니마에는	이마에는	On the forehead (Older spelling)
허르고	흐르고	Flowing (Older spelling)
말나	말라	Drying up (Older spelling)
타드러 가지요	타들어 가지요	Burns up (Older spelling)
달녀	달려	Driving (Older spelling)
욱어지고	우거지고	Becoming lush (Older spelling)
밋헤는	밑에는	Underneath (Older spelling)
맛나	만나	Meeting (Older spelling)
누른 닙이	누른 잎이	Yellow leaves (Older spelling)
골작에	골짜기에	In the valley (Older spelling)
가득한대	가득한데	Is full, but (Older spelling)
이엿나이다	이었나이다	Was (Archaic ending)
잇스니	있으니	Because there is (Older spelling)
陵	릉	Royal tomb
安莊	안장	Enshrine (royalty)
임니다	입니다	Is (Older spelling)
參拜	참배	Pay respects (at tomb/shrine)
되엿나이다	되었나이다	Came to (Archaic ending)
叅奉	참봉	Ch'ambong (Official title/caretaker)
밧아	받아	Receiving (Older spelling)
앞헤서	앞에서	In front of (Older spelling)
말업슨	말 없는	Silent (Older spelling)
일켜	일으켜	Raising (Older spelling)
알외주고	알려주고	Informing (Older spelling)
太限업는	끝없는	Limitless (Older form)
갈길몰나	갈 길 몰라	Not knowing the way (Older spelling)
목자업는	목자 없는	Without a shepherd (Older spelling)
어대가서	어디 가서	Going where (Older spelling)
깃더릴가	깃들일까	Will it settle? (Older spelling)
하염업는	하염없는	Endless (tears) (Older spelling)
拜謁	배알	Pay homage
도라서서	돌아서서	Turning around (Older spelling)
拜退	배퇴	Bow in retreat
더러	들러	Stopping by (Older spelling)
갓나이다	갔나이다	Went (Archaic ending)
畧歷	약력	Brief history
무럼에	물음에	Upon asking (Older spelling)
御誕生	어탄생	Royal birth
卽位	즉위	Ascend the throne
하섯는대	하셨는데	Did (honorific), but (Older spelling)
裨位于	비위우	Abdicate to
오시사	오시어	Coming (honorific, conjunctive older form)
長霖	장림	Long rains
골난	곤란	Hardship (Older form)
뿐아니라	뿐 아니라	Not only (Older spelling)
업서셔	없어서	Because there wasn't (Older spelling)
戶長	호장	Hojang (Local functionary)
每夜深頃	매야심경	Late each night
갓다 올녀섯다	갖다 올렸었다	Used to bring and offer (Older spelling)
不得己	부득이	Inevitably
오섯다가	오셨다가	Came (honorific) and then (Older spelling)
遭變	조변	Meet one's demise
하섯다	하셨다	Did (honorific) (Older spelling)
積雪之時	적설지시	Time of snow
못할때	못할 때	When unable to (Older spelling)
당하섯고	당하셨고	Suffered (honorific) and (Older spelling)
遺體	유체	Remains (body)
업고	업고	Carrying on back (Older spelling)
山鹿	산록	Mountain deer
인도하야	인도하여	Guiding (Older spelling)
從者	종자	Retainer
節死	절사	Die for loyalty
하엿든바	하였던 바	As had happened (Older spelling)
復陵	복릉	Restore a royal tomb
갓치	같이	Like (Older spelling)
하더이다	하더이다	(Reportative archaic ending)
消化	소화	Digestion; likely typo/euphemism for fire/destruction by fire
參考書類	참고서류	Reference documents
업서젓다 함니다	없어졌다 합니다	Is said it was lost (Older spelling)
니르러	이르러	Arriving at (Older spelling)
차저가든	찾아가던	Was going to find (Older spelling)
自轉車クランク心棒	자전거 크랭크 심봉	Bicycle crank axle
둑부러저서	뚝 부러져서	Snapping cleanly (Older spelling)
왓스나	왔으나	Came, but (Older spelling)
드러서자 마자	들어서자마자	As soon as entering (Older spelling)
이러케	이렇게	Like this (Older spelling)
아니일망정	아닐망정	Even if not (Older spelling)
긔분이	기분이	Feeling (Older spelling)
조치 못하더이다	좋지 못하더이다	Was not good (Archaic ending)
自車房	자차방	Bicycle shop
맛기고	맡기고	Entrusting (Older spelling)
기달닊�든	기다리던	Was waiting for (Older spelling)
아니와서	아니 와서	Not having arrived (Older spelling)
電報	전보	Telegram
정햇슴니다	정했습니다	Settled (Older spelling)
단겨	다녀	Visiting (Older spelling)
잇기에	있기에	Because there is (Older spelling)
갓슴니다	갔습니다	Went (Older spelling)
임자업는	임자 없는	Ownerless (Older spelling)
잇난지라	있는지라	As there is (Older spelling)
산대하야	삿대하여	By poling (boat)
욱어진	우거진	Lush (Older spelling)
禁標	금표	Boundary marker
碑	비	Stele
드러가니	들어가니	Going inside (Older spelling)
端廟	단묘	Shrine/Temple for King Tanjong
起寢	기침	Residing (Classical)
하시든	하시던	Used to do (honorific) (Older spelling)
在本府時 遺址	재본부시 유지	Site where stayed when in this district
碑閣	비각	Stele pavilion
안저서	앉아서	Sitting (Older spelling)
四方	사방	All directions
모다	모두	All (Older form)
놉흔	높은	High (Older spelling)
川	천	River(bank)
森林	삼림	Forest
들니는	들리는	Being heard (Older spelling)
더이다	더이다	(Archaic assertive ending)
둘녀싸인	둘러싸인	Surrounded (Older spelling)
江水	강수	River water
高山絶壁	고산절벽	High mountain cliff
게섯슬때	계셨을 때	When stayed (honorific) (Older spelling)
食糧	식량	Provisions
공양치 안이 하얏든들	공양치 아니하였던들	If had not offered (honorific) (Older form)
고생하섯슬	고생하셨을	Would have suffered (honorific) (Older spelling)
엿슬 것임니다	이었을 것입니다	Would have been (Older spelling)
깍가 저른듯한	깎아지른 듯한	Sheer (Older spelling)
西便	서편	West side
올나가	올라가	Climbing up (Older spelling)
쓴나이다	썼나이다	Wrote (Archaic ending)
任	임	Lord (Archaic)
숨김업시	숨김없이	Openly (Older spelling)
낫낫치	낱낱이	Piece by piece (Older spelling)
말햇다고	말했다고	Said that (Older spelling)
추웟게	추웠기에	Because it was cold (Older spelling)
하엿고	하였고	Did and (Older spelling)
오직이나	오죽이나	How much (degree) (Older spelling)
濕해서	습해서	Because it was damp
떠낫슬가	떠났을까	Might have left? (Older spelling)
롱상	용상	Royal couch
안저시든	앉으시던	Used to sit (honorific) (Older spelling)
님끠서	님께서	Lord (subj. honorific) (Older spelling)
눈물노	눈물로	With tears (Older spelling)
宮城	궁성	Palace city
四百餘里	사백여 리	Over 400 ri
내려오사	내려오시어	Coming down (honorific, conjunctive older form)
섬속에	섬 속에	Inside the island (Older spelling)
오시든	오시던	Used to come (honorific) (Older spelling)
녯날	옛날	Old days (Older spelling)
望鄕	망향	Longing for home
쓸아렷슬가	쓰라렸을까	Must have been heart-wrenching? (Older spelling)
天空	천공	The sky
黑雲	흑운	Black clouds
太陽	태양	Sun
빗치업서	빛이 없어	Having no light (Older spelling)
四民	사민	Four classes of people
울고잇고	울고 있고	Are weeping (Older spelling)
忠臣	충신	Loyal subject
殉死	순사	Die as martyr
復建	복건	Rebuild
半空中天	반공중천	Mid-sky
明月	명월	Bright moon
달녓고	달렸고	Depended on (Older spelling)
奇形異態	기형이태	Strange shape
水面	수면	Water surface
소슨	솟은	Risen (Older spelling)
岩石	암석	Rock
春花秋楓	춘화추풍	Spring flowers and autumn maples
조흔	좋은	Good, lovely (Older spelling)
외로오신	외로우신	Lonely (honorific) (Older spelling)
任만의서	님에게는	For the Lord (Older spelling)
더 햇스리라	더했으리라	Must have added to (Older spelling)
도로	도로	Back
도라왓나이다	돌아왔나이다	Returned (Archaic ending)
도라오든	돌아오던	Was returning (Older spelling)
旅館	여관	Inn
갓치 잇는	같이 있는	Being together (Older spelling)
洞里	동리	Village
덜녀	들러	Stopping by (Older spelling)
古代	고대	Ancient times
敎養	교양	Education
하든	하던	Used to do (Older spelling)
올낫나이다	올랐나이다	Climbed (Archaic ending)
斷崖絶壁	단애절벽	Sheer cliff
밋헤는	밑에는	Underneath (Older spelling)
허러는대	흐르는데	Flowing, but (Older spelling)
솟사나온	솟아나온	Having risen up (Older spelling)
녯	옛	Old (Older spelling)
歷史	역사	History
잇더이다	있더이다	There is/was (Archaic ending)
주엇스니	지었으니	Composed (Older spelling)
석어가는	썩어가는	Decaying (Older spelling)
일너스대	일렀으되	Said that (Archaic form)
허무러저	허물어져	Crumbling (Older spelling)
祠堂	사당	Shrine
열엿고	열렸고	Was open and (Older spelling)
마루창	마루청	Wooden floor
빠저서	빠져서	Having fallen out (Older spelling)
헛터저 잇고	흩어져 있고	Are scattered (Older spelling)
風雨	풍우	Wind and rain
너머지고	넘어지고	Falling over (Older spelling)
떠러저 잇는대를	떨어져 있는 데를	Place where it has fallen (Older spelling)
더러가니	들어가니	Going inside (Older spelling)
中央	중앙	Center
侍女之神位	시녀지신위	Spirit tablet of Court Ladies
开ž人之神位	종인지신위	Spirit tablet of Attendants (likely 從人)
神位	신위	Spirit tablet
밋해	밑에	Beneath (Older spelling)
床	상	Altar base
남앗스니	남았으니	Remained, so (Older spelling)
無心冷冷한	무심냉랭한	Indifferent and cold-hearted
遺蹟	유적	Historic remains
