別件坤 第70號

1934년 02월 01일
三韓時代列國 (Tribal States of the Three Han Period)
壽春人
雜著 (Miscellany)

Tribal States of the Three Han Period
						Suchun-in

Fifty-Three States of Mahan

Mahan comprised 53 states in total, namely: Aeyang, Musu, Sangoe, Soseokso, Daeseokso, Yuhyumojaek, Geojeokhwal, Baekjesoknobuseu, Ilhwa, Godanja, Gori, Nogae, Wolji, Jarimuro, Sowigeonguk, Goae, Mallu, Billijeomlibi, Geogak, Jichim, Guro, Bimi, Gamwonbiri, Gopo, Chilliguk, Yeomno, Arim, Gungno, Naebirigamaewon, Manro, Byeokbiri, Guseuodan, Illi, Bumiji, Bangu, Sojeollo, Mullubiri, Geosoto, Goryeorimsoban, Geounsin, Yeoraebiri, Chusantobiri, Illannogoe, Boun, Buseubunya, Aewon, Geonma, Choriguk, etc.

Twelve States of Jinhan

Jinhan comprised 12 states in total, namely: Gidi, Buseu, Geungi, Nanmillimidong, Yeomaewon, Gunmi, Yeojam, Horo Juseon, Mayeon, Saro, Yujunguk, etc.

Twelve States of Byeonhan

Byeonhan also comprised 12 states, namely: Millimidong, Jeopdo, Gojamimidong, Gochunsi, Banro, Nangno, Miouyama, Gamno, Guya, Jojoui, Anhyaguk, Dongno, etc.

Six Divisions of Silla

Six Gaya

Silla originally consisted of six villages: Alcheon Yangsan village (閼川楊山村), Dolsan Goru village (突山高壚村), Jisan Jinji village (觜山珍支村) (also called Geonjin village (干珍村)), Musan Daesu village (茂山大樹村), Geumsan Gari village (金山加利村), and Myeonghwal Yangnae village (明活山高耶村). During the reign of King Yuri, the names were changed and surnames were bestowed. Yangsan Division (楊山部) of Alcheon (閼川) was renamed as Yang Division (梁部) and given the surname Lee (李). Goru Division (高壚部) was renamed as Saryang Division (沙梁部) and given the surname Choi (崔). Daesu Division (大樹部) was renamed as Jeomnyang Division (漸梁部) (also called Muryang (牟梁)) and given the surname Son (孫). Jinji Division (珍支部) was renamed as Bonbi Division (本彼部) and given the surname Jung (鄭). Gari Division (加利部) was renamed as Hanggi Division (漢祇部) and given the surname Bae (裵). Myongho Division (明浩部) was renamed as Seupbi Division (習比部) and given the surname Seol (薛). These are the six surnames of Silla.

Furthermore, there were Six Gaya states. The main state was Geumgwan Gaya (金官伽耶) (Gimhae (金海)). Other states were Ara Gaya (阿羅伽耶) (Haman (咸安)), Goryeong Gaya (古寧伽耶) (Hamchang (咸昌)), Daegaya (大伽耶) (Goryeong (高靈)), Seongsan Gaya (星山伽耶) (Seongju (星州) = Byeokjin (碧珍)), and Sogaya (小伽耶) (Goseong (固城)). The gayageum (伽耶琴) that has been passed down in folklore is a relic of these Gaya states. <10>

Named Entities

馬韓	Mahan
爰襄	Aeyang
牟水	Musu
桑外	Sangoe
小石素	Soseokso
大石素	Daeseokso
優休牟涿	Yuhyumojaek
巨漬活	Geojeokhwal
伯濟速盧不斯	Baekjesoknobuseu
日華	Ilhwa
古誕者	Godanja
古離	Gori
怒蓋	Nogae
月支	Wolji
咨離牟盧	Jarimuro
素謂乾國	Sowigeonguk
古爰	Goae
莫盧	Mallu
卑離占離卑	Billijeomlibi
巨覺	Geogak
支侵	Jichim
狗盧	Guro
卑彌	Bimi
監爰卑離	Gamwonbiri
古蒲	Gopo
致利鞠	Chilliguk
冉路	Yeomno
兒林	Arim
國盧	Gungno
內卑離感爰	Naebirigamaewon
萬盧	Manro
辟卑離	Byeokbiri
臼斯烏旦	Guseuodan
一離	Illi
不彌支	Bumiji
半狗	Bangu
素捷盧	Sojeollo
牟盧卑離	Mullubiri
巨蘇塗	Geosoto
古麗臨素半	Goryeorimsoban
巨雲新	Geounsin
如來卑離	Yeoraebiri
楚山塗卑離	Chusantobiri
一難狗爰	Illannogoe
不雲	Boun
不斯濆邪	Buseubunya
爰池	Aewon
乾馬	Geonma
楚離國	Choriguk
辰韓	Jinhan
己抵	Gidi
不斯	Buseu
勤耆	Geungi
難彌離彌凍	Nanmillimidong
冉爰	Yeomaewon
軍彌	Gunmi
如湛	Yeojam
戶路州鮮	Horo Juseon
馬延	Mayeon
斯盧	Saro
優中國	Yujunguk
弁韓	Byeonhan
彌離彌凍	Millimidong
接塗	Jeopdo
古資彌凍	Gojamimidong
古淳是	Gochunsi
半路	Banro
樂奴	Nangno
彌烏邪馬	Miouyama
甘路	Gamno
狗邪	Guya
走漕圍	Jojoui
安邪國	Anhyaguk
瀆盧	Dongno
新羅	Silla
閼川楊山村	Alcheon Yangsan village
突山高壚村	Dolsan Goru village
觜山珍支村	Jisan Jinji village
干珍村	Geonjin village
茂山大樹村	Musan Daesu village
金山加利村	Geumsan Gari village
明活山高耶村	Myeonghwal Yangnae village
儒理王	King Yuri
梁部	Yang Division
李	Lee
沙梁部	Saryang Division
崔	Choi
漸梁部	Jeomnyang Division
牟梁	Muryang
孫	Son
本彼部	Bonbi Division
鄭	Jung
漢祇部	Hanggi Division
裵	Bae
習比部	Seupbi Division
薛	Seol
金官伽耶	Geumgwan Gaya
金海	Gimhae
阿羅伽耶	Ara Gaya
咸安	Haman
古寧伽耶	Goryeong Gaya
咸昌	Hamchang
大伽耶	Daegaya
高靈	Goryeong
星山伽耶	Seongsan Gaya
星州	Seongju
碧珍	Byeokjin
小伽耶	Sogaya
固城	Goseong
伽耶琴	gayageum



---------------------------


잡지명	별건곤 제70호
발행일	1934년 02월 01일
기사제목	三韓時代列國
필자	壽春人
기사형태	잡저

三韓時代列國
						壽春人
馬韓五十三國
馬韓은 凡 53國이니 卽 爰襄, 牟水, 桑外, 小石素, 大石素, 優休牟涿, 巨漬活, 伯濟速盧不斯, 日華, 古誕者, 古離, 怒蓋, 月支, 咨離牟盧, 素謂乾國, 古爰, 莫盧, 卑離占離卑, 巨覺, 支侵, 狗盧, 卑彌, 監爰卑離, 古蒲, 致利鞠, 冉路, 兒林, 國盧, 內卑離感爰, 萬盧, 辟卑離, 臼斯烏旦, 一離, 不彌支, 半狗, 素捷盧, 牟盧卑離, 巨蘇塗, 古麗臨素半, 巨雲新, 如來卑離, 楚山塗卑離, 一難狗爰, 不雲, 不斯濆邪, 爰池, 乾馬, 楚離國 등이다.

辰韓十二國
辰韓은 凡 12國이니 己抵, 不斯, 勤耆, 難彌離彌凍, 冉爰, 軍彌, 如湛, 戶路州鮮, 馬延, 斯盧, 優中國 등이다.

弁韓十二國
弁韓도 또한 12國이니 彌離彌凍, 接塗, 古資彌凍, 古淳是, 半路, 樂奴, 彌烏邪馬, 甘路, 狗邪, 走漕圍, 安邪國, 瀆盧 등이다.

新羅의 六部
六伽耶
新羅는 元來閼川楊山村, 突山高壚村, 觜山珍支村(又云干珍村), 茂山大樹村, 金山加利村, 明活山高耶村, 六村 즉 6部로 잇다가 儒理王時에 名稱을 곳치고 姓을 賜하얏스니 烏楊山部는 梁部라하야 姓을 李로 하고 高壚部를 沙梁部라 하야 姓을 崔라 하고 大樹部를 漸梁部(一云牟梁)라 하야 姓을 孫, 干珍部를 本彼部라 하야 姓을 鄭, 加利部는 漢祇部, 姓은 裵, 明浩部는 習比部라하고 姓을 薛이라 하얏스니 이것이 곳 新羅의 6姓이다.
그리고 伽耶國은 六伽耶가 잇스니 主國은 金官伽耶(金海)요. 其外는 阿羅伽耶(咸安), 古寧伽耶(咸昌), 大伽耶(高靈), 星山伽耶(星州=碧珍), 小伽耶(固城) 지금 民俗에 傳하야 나려오는 伽耶琴은 이 伽耶國의 遺物이다.＜10＞
＜10＞
