Magazine Title: 개벽 제22호
Publication Date: 1922년 04월 01일 (April 1, 1922)
Article Title: 社會日誌(3月) (Social Diary (March))
Author: 一記者 (One Reporter)
Article Type: 소식 (News/Dispatch)

Social Diary (March)
						One Reporter
(Political articles are still omitted due to circumstances.)

Overseas Compatriots Consolation Association. The Tong-A Ilbo Company has organized the Overseas Compatriots Consolation Association to introduce the actual living conditions of our compatriots in Manchuria, Russian territory, the United States, etc., to the compatriots in the homeland, and also to offer them sympathy and mutual assistance. They began by organizing a tour across all of Chosŏn featuring magic lantern shows and lectures, departing first towards the Yangsŏ region (P'yŏngan Provinces) on the 5th.

New School System and Double Examinations. Following the revision of the Chosŏn Education Ordinance, all middle schools in Chosŏn have decided to conduct transfer examinations again, in addition to promotion examinations, in order to obtain graduation qualifications according to the new education ordinance.

Kyŏngsŏng-Yongsan Telephone Unification. The telephone lines between Kyŏngsŏng (Seoul) and Yongsan, which were previously separate as city and intercity lines, were unified as of the 5th.

World Association Initiated. Kwŏn T'ae-sŏk, Yŏ Un-hong, and several others have initiated the World Association. Its purpose is said to be the import of foreign culture, the dissemination of Chosŏn affairs abroad, and providing guidance for the comings and goings of domestic and foreign visitors.

Spinning Workers Strike. 500 male and female factory workers at the spinning company in Pusan went on strike starting from the 1st due to the issue of wage increases.

New Semester and School Fees. Starting from the new semester, the entrance fees and monthly tuition at all middle schools will be increased by 50%, and in addition to examination fees now being charged, book expenses will also increase by 30%.

Three Public Primary Schools Newly Established. The petitions for Susong Public Primary in Susong-dong, Kyŏngsŏng Prefecture; Hyoch'ang Public Primary in Ch'ŏngyŏp-chŏng (Aoba-chō), Kyŏngsŏng Prefecture; and Sungin Public Primary in Chongam-ni, Sungin-myŏn, Koyang County, received approval from the authorities on the 10th.

Day and Night School Issue at Posŏng College. Posŏng College of Law and Commerce, an incorporated foundation, which previously operated as a night school, faced an issue raised by students this year regarding day classes. After remaining undecided for a long time, 80 students advocating for day classes submitted a collective petition for withdrawal on the 13th.

Mr. Yi Chong-nin Joins Journalists' Congress. Mr. Yi Chong-nin, president of the Ch'ŏndogyohoe Monthly Report Company, received notification on the 14th of his admission to the World Press Congress.

Dr. Mott Visits Kyŏngsŏng. Dr. Mott, General Secretary of the World Alliance of YMCAs in the United States, arrived in Kyŏngsŏng on the night of the 18th.

Unprecedented Heavy Snowstorm. From dawn until late night on the 23rd, Kyŏngsŏng experienced a heavy snowstorm, the likes of which had never been seen before.

Graduation Ceremonies at Various Schools. Sŏllin Commercial School: 1st Division 32 graduates, 2nd Division 34 graduates (Ceremony 8th); Hwimun Higher Common School: 61 graduates (Ceremony 17th); Posŏng Higher Common School: 29 graduates (Ceremony 18th); Chungang Higher Common School: 17 graduates (Ceremony 18th); Kyŏngsŏng First Higher Common School: Main Course 64 graduates, Teacher Training Course 14 graduates (Ceremony 20th); Chŏnsu School: 40 graduates (Ceremony 20th); Girls' Higher Common School: Main Course 37, Teacher Training Course 30, Temporary Teachers 71 graduates (Ceremony 22nd); Medical College: Main Course 36, Special Course 19 graduates (Ceremony 22nd); Paejae Higher Common School & Paejae Haktang Higher Common: 67 graduates, Haktang 27 graduates (Ceremony 22nd); YMCA School: English Course 25, Crafts Course 22, Accelerated Course 150 graduates (Ceremony 22nd); Sungmyŏng Girls' Higher Common School: Main Course 33, Supplementary Course 9 graduates (Ceremony 23rd); Severance Medical College: 8 graduates (Ceremony 23rd); Kyŏngsin School: 22 graduates (Ceremony 23rd); Posŏng Law School: Law Course 7, Commerce Course 9 graduates. Yŏnhŭi College: Literature Course 3, Commerce Course 7 graduates (Ceremony 24th); Ihwa Girls' Higher Common School: 3 graduates (Ceremony 24th); Chinmyŏng Girls' Higher Common School: Main Course 6, Arts & Crafts Course 11 graduates (Ceremony 24th); Industrial College: Professional 24, Training 20 graduates (Ceremony 25th); Tongdŏk Girls' School: Higher Course 6 graduates (Ceremony 25th); Yangjŏng Higher Common School: 29 graduates (Ceremony 25th); (Sincere apologies for many omissions due to being busy.)

Association of Korean Students Studying in Germany. As the number of Chosŏn youths studying in Germany gradually increases, the dozen or so existing students in Germany have organized the Association of Korean Students Studying in Berlin (Pŏllim).

Calligraphy and Painting Association Exhibition. The Calligraphy and Painting Association, composed of famous contemporary calligraphers and painters, opened a calligraphy and painting exhibition at Posŏng Higher School from the 28th to the 30th. <103>

**Summary**

This article compiles news briefs from March 1922 in colonial Korea. It covers social initiatives like the Tong-A Ilbo's efforts to connect with overseas Koreans, educational changes including new exams and increased fees, infrastructural updates like the Seoul-Yongsan phone line unification, the founding of a "World Association," labor unrest with a strike at a Pusan spinning mill, establishment of new schools, student activism at Posŏng College regarding day classes, international connections like Yi Chong-nin joining the World Press Congress and Dr. Mott's visit, a major snowstorm, numerous school graduations listing graduate numbers, the formation of a Korean student association in Germany, and a calligraphy exhibition. For historians, this piece offers a valuable snapshot of urban life, education policy impacts, early labor movements, nascent international engagement (both personal and organizational), and cultural activities under Japanese rule. The mention of omitting political news "due to circumstances" also hints at the restrictive environment of the time.

**Named Entities**

東亞日報社	동아일보사	Tong-A Ilbo Sa
滿洲	만주	Manchuria
露領	노령	Russian territory
美國	미국	USA
在外同胞慰問會	재외동포위문회	Overseas Compatriots Consolation Association
朝鮮	조선	Chosŏn
兩西地方	양서지방	Yangsŏ region (P'yŏngan Provinces)
京城	경성	Kyŏngsŏng (Seoul)
龍山	용산	Yongsan
權泰錫	권태석	Kwŏn T'ae-sŏk
呂運弘	여운홍	Yŏ Un-hong
世界協會	세계협회	World Association
釜山	부산	Pusan
紡績會社	방적회사	Spinning Company
京城府	경성부	Kyŏngsŏng Prefecture
壽松洞	수송동	Susong-dong
壽松公普	수송공보	Susong Public Primary School
靑葉町	청엽정	Ch'ŏngyŏp-chŏng (Aoba-chō)
孝昌公普	효창공보	Hyoch'ang Public Primary School
高陽郡	고양군	Koyang County
崇仁面	숭인면	Sungin-myŏn
鍾岩里	종암리	Chongam-ni
崇仁公普	숭인공보	Sungin Public Primary School
普成法律商業學校	보성법률상업학교	Posŏng College of Law and Commerce
李鍾麟	이종린	Yi Chong-nin
天道敎會 月報社	천도교회 월보사	Ch'ŏndogyohoe Monthly Report Company
萬國記者大會	만국기자대회	World Press Congress
穆德博士	목덕박사	Dr. Mott
萬國基督敎靑年會	만국기독교청년회	World Alliance of YMCAs
善隣商業學校	선린상업학교	Sŏllin Commercial School
徽文高普校	휘문고보교	Hwimun Higher Common School
普成高普校	보성고보교	Posŏng Higher Common School
中央高普校	중앙고보교	Chungang Higher Common School
京城 第一高普校	경성제일고보교	Kyŏngsŏng First Higher Common School
專修學校	전수학교	Chŏnsu School
女子高普校	여자고보교	Girls' Higher Common School
醫學專門學校	의학전문학교	Medical College
培材高普校	배재고보교	Paejae Higher Common School
培材學堂	배재학당	Paejae Haktang
靑年會學舘	청년회학관	YMCA School (Ch'ŏngnyŏnhoe Hakkwan)
淑明女子高普校	숙명여자고보교	Sungmyŏng Girls' Higher Common School
世富蘭偲醫專	세부란스의전	Severance Medical College
儆信學校	경신학교	Kyŏngsin School
普成法學校	보성법학교	Posŏng Law School
延禧專門校	연희전문교	Yŏnhŭi College
梨花女子高普校	이화여자고보교	Ihwa Girls' Higher Common School
進明女子高普校	진명여자고보교	Chinmyŏng Girls' Higher Common School
工業專門學校	공업전문학교	Industrial College
同德女學校	동덕여학교	Tongdŏk Girls' School
養正高普校	양정고보교	Yangjŏng Higher Common School
獨逸	독일	Germany
伯林	백림	Berlin (Pŏllim)
留獨高麗學友會	유독고려학우회	Association of Korean Students Studying in Germany (Berlin)
書畵協會	서화협회	Calligraphy and Painting Association
普成高等學校	보성고등학교	Posŏng Higher School

**Glossary**

形便	형편	Circumstances, situation
依하야	의하여	According to; based on (older grammatical form of -에 의하여)
略함	생략함	To omit; omission
在外同胞	재외동포	Overseas compatriots
慰問會	위문회	Consolation meeting; gathering to offer comfort/support
實狀	실상	Actual state; real situation
內地	내지	Mainland; homeland (here refers to Korea proper)
相扶相助	상부상조	Mutual aid and assistance
爲하야	위하여	For the sake of; in order to (older grammatical form of -을/를 위하여)
巡廻	순회	Tour; circuit
幻燈會	환등회	Magic lantern show
爲先	우선	First of all; to begin with
新學制	신학제	New school system
敎育令	교육령	Education Ordinance
中等學校	중등학교	Middle school (includes higher common schools in this context)
資格	자격	Qualification; credentials
엇기	얻기	To obtain; to get (older spelling of 얻기)
編入試驗	편입시험	Transfer examination
行하기로 되다	행하기로 되다	Decided to conduct; be scheduled to perform
從來	종래	Hitherto; previously; conventionally
別立하얏든	독립하였던/별도로 서있던	Which were separate (older form combining 別立 + 하였던)
統一	통일	Unification
發起	발기	Initiation; founding; promotion (of an organization)
目的	목적	Purpose; aim; objective
輸入	수입	Import
事情	사정	Circumstances; situation; affairs
外出	외출	Going out; (here contextually) dissemination abroad
案內	안내	Guidance; information; introduction
紡績	방적	Spinning (textiles)
職工	직공	Factory worker; operative; artisan
賃金値上	임금인상	Wage increase (値上 often used for price/wage hike)
盟休	맹휴	Strike; collective stoppage (older term for 동맹휴업)
月謝金	월사금	Monthly tuition fee (謝金 implies payment for service/teaching)
受驗料	수험료	Examination fee
書籍費	서적비	Book expenses
請願	청원	Petition; appeal
當局	당국	The authorities; the officials concerned
認可	인가	Approval; authorization; permission
得하다	득하다	To obtain; to acquire; to get (Hanja-based verb)
晝夜學	주야학	Day and night school
發論	발론	Raising an issue; starting a discussion or argument
未定	미정	Undecided; not yet fixed
同盟退學	동맹퇴학	Collective withdrawal from school (student strike/boycott)
接하다	접하다	To receive; to come into contact with
曉	새벽 효	Dawn; daybreak
深夜	심야	Late night; dead of night
初見	초견	Seeing for the first time; first instance
大風雪	대풍설	Heavy snowstorm; blizzard
卒業式	졸업식	Graduation ceremony
師範科	사범과	Teacher training course
臨時敎員	임시교원	Temporary teacher
補習科	보습과	Supplementary course
技藝科	기예과	Arts and crafts course; technical skills course
傳習	전습	Training; learning (often in a master-apprentice context)
漏落	누락	Omission; leaving out
謹謝함	근사함	To sincerely apologize/thank (here apology for omissions)
留學	유학	Studying abroad
漸次	점차	Gradually; step by step
在來	재래	Existing; conventional; traditional
組織하다	조직하다	To organize; to form
