Magazine Title	삼천리 제13권 제12호
Publication Date	1941년 12월 01일
Article Title	朝鮮軍製作·志願兵映畵 「그대와 나」의 內地撮影日記 (Diary of Filming in Mainland Japan for the Chōsen Army-Produced Volunteer Soldier Film "You and I")
Author	東京大船撮影所에서 金素英 (Kim Soyŏng, from Tokyo Ōfuna Studios)
Article Type	문예기타 (Arts/Miscellaneous)

Diary of Filming in Mainland Japan for the Chōsen Army-Produced Volunteer Soldier Film "You and I"
						By Kim Soyŏng, from Tokyo Ōfuna Studios

September 22nd
I boarded the Akatsuki train bound for Pusan. The rest of the group had departed on the 20th, but Miss Asagiri (朝霧孃) and I had promised to leave together on the 22nd. It’s been a long time since I traveled, and it’s quite pleasant. The fields and mountains visible from the train window are all beautiful. The autumn sky is clear without a single cloud, and the fields, like waves of gold, endlessly warm the heart. As the universe began to draw its ash-colored curtain, the two of us went to the train's dining car for a simple evening meal. Returning to our seats, perhaps having run out of things to talk about, we silently gazed out at the already dark outside and watched the chattering passengers milling about. Eventually, finding even that tedious, I leaned back in my seat and simply fell asleep. When I opened my eyes, we were only 20 minutes away from arriving at Pusan Pier. We hurriedly gathered our luggage and tidied our faces, managing to board the connecting ferry without much trouble. After a brief luggage inspection at customs, we gave the porter (뽀-이) a small tip. We settled into the women's section, washed our faces, and upon returning, the porter told us a berth had become available and to come quickly. Miss Asagiri and I looked at each other and let out a big sigh of relief. Since getting on the train, we had worried about what we would do if there were no berths, so now we felt at ease.

September 23rd
I woke up early in the morning. It was a very gloomy day. As we were about to disembark, entrusting our luggage to the porter (보-이) from before, he hesitated for some reason, looking uncertain, then handed us an envelope. Puzzled, we accepted it and only opened it later after boarding the train from Shimonoseki (下關) to Tokyo. It was nothing special, just a request to send a promotional photo (푸로마이드) when we returned, along with his address. The beauty of the San'yō Line (山陽線) and Tōkaidō Line (東海道線) is like a landscape painting. The villages seen from the train appear endlessly peaceful, and the lives of the farmers working in the fields seem profoundly sacred. Just like a painting by Millet (미레-).
Miss Asagiri said she had relatives in Kyoto and would get off there, persistently asking me to get off with her. However, I didn't want to impose on strangers, and I also felt hesitant because I wasn't familiar with the etiquette of mainland Japan (內地), so I decided not to disembark. When we arrived at Kyoto Station, two or three girls, looking just as cute as Miss Asagiri, came to meet her, and I exchanged greetings with them too. They saw us off warmly until the train departed. <86>

September 23rd [Date likely error in original, should be 24th or later]
Arriving at Ōfuna at 6 in the morning, Mr. Tanabe (田邊氏) from the Government-General (總督府) came to meet us. Our accommodation was said to be the Ōfuna Hotel. Entering, it was a tiny place, like a matchbox, cozy, and didn't feel like a hotel at all. After a simple breakfast and unpacking, we went with Major Akutagawa (芥川少佐) to pay our respects at the Ministry of War (육군성). They were holding a preview screening of the first half of the movie "Kimi to Boku" (君と僕 - You and I) at the Ministry, so many people had gathered. Through Mr. Yi Ch'angyong's (李創用氏) introduction, I also met Mr. Iijima Tadashi (飯島正) and Mr. Tasaka (田坂氏) for the first time. Leaving the Ministry, I felt very tired and returned immediately to the hotel, as my body felt quite weakened.

September 8th [Date likely error in original, should be after Sep 23rd, perhaps Oct 8th?]
As set filming was to begin tomorrow, I went to the studio to pay my respects. Having visited the year before last, the people from that time greeted me very warmly. One disappointment was that Miss Tanaka Kinuyo (田中絹代氏) wasn't there. She was away on location (로케이숀) shooting for a film called "Record of a Woman Doctor" (女醫의 記錄), so I couldn't meet her.

October 8th
Set filming began today. Messrs. Nagata (永田), Miyake (三宅), and Miss Asagiri (朝霧諸氏) also came, so we filmed together. Through the kindness of the head of the Acting Department, I was given a splendid dressing room, practically an executive suite, labeled "Special Room." Honestly, I was quite delighted. That I could, even temporarily, work in such a fine studio, do my makeup in such a nice dressing room, have my hair done exactly as I wished by the Hairdressing Department, and even have my costumes beautifully pressed and put on for me. Suddenly, I thought of the film industry in Chōsen (조선). And thinking of the actors there, I felt incredibly sad.
It's fine if they don't do our hair, it's fine if we press and put on our own costumes, if only we had a decent film studio.—Thinking this, my reflection in the mirror seemed endlessly shabby.

October 9th
Today, Mr. Kosugi Isamu (小杉勇氏) also came and filmed with us. Although his home is in Tokyo city, he said he would stay at the Ōfuna Hotel until the work is finished. Seeing the dedication of mainland Japanese (內地) film people towards their work, I automatically feel respect. During lunchtime, the two of us always sought out a small restaurant called Matsuo (松尾) in front of the studio, mostly because it was quiet. By chance, I met a director named Shibuya (澁谷) whom I had met the year before last, and Miss Takamine Mieko (高峯三枝子孃). All the actresses here seem beautiful. Miss Takamine Mieko said she comes every day because she has set filming for a movie called "Land of Cherry Blossoms" (櫻の國). Since we had some free time in the afternoon, we went to observe the "Land of Cherry Blossoms" set.

October Xth
Today too, Miss Asagiri came to visit. She comes every day so we can go to the studio together. Entering the studio gate, there was an open area on the left crowded with people, just like a market day in Chōsen. When I asked Miss Asagiri what was going on, she explained that, unlike before, they now utilize the open space, with everyone at the studio working together to grow vegetables with their own efforts to lessen the burden on farmers in daily life, and they were now dividing up the harvested vegetables. I realized this must be the National Mobilization Labor Movement (國民皆勞運動) under the wartime system (臨戰體制下) and felt renewed respect for them. <87> The sight of them, men and women alike, carrying the vegetables they received home with their own hands after work – how beautiful must that scene be. I resolved to learn from this and practice it myself when I return home.
I wanted to show such a scene to those in our society who think actors are nothing but "high-class idlers" (高等遊民).

October Xth
Today, filming was suspended because we had to go around paying respects to newspaper companies. Miss Mun Yebong (文藝峯 氏) also came. After finishing the newspaper visits, we had dinner with Ōfuna Studio head Mr. Kidō (城戶氏) and several others before returning.

October Xth
Today, filming started at 9 AM. It was the first time in my life I wore Japanese clothing (和服). Like a child anticipating New Year's Day, I felt inexplicably restless and happy. Several Ōfuna actors, Mr. Uehara Ken (上原謙), Mr. Ryū Chishū (笠智衆), Ms. Okamura Yoshiko (岡村吉子), and others came to watch. I greeted them all for the first time. Mr. Uehara seemed even more splendid than on screen.
He had the air of an aristocrat. If Irie Takako (入江たか子) could be called a crane, I'd want to call Mr. Uehara a peacock. In the afternoon, Korean students from Nihon University (日大朝鮮學生) came for a tour. Though meeting them for the first time, they were so glad to see me, it didn't feel like meeting strangers at all. They kept asking to take pictures together, so we took photos with Kosugi, Sim Yŏng (沈影), Mito Mitsuko (水戶光子), Asagiri, and others. In the evening, Mr. Ōhinata Den (大日方傳氏) came to visit. He suggested strolling in Ginza (銀부라), and just as we prepared, raindrops started falling. Inevitably, we decided to stay at the hotel, chatting and relaxing. Kim Yŏnggil (金永吉), Sim Yŏng, Ōhinata, gathered together, talking about world affairs and movies until about 11 PM when they left.

October Xth
Today marked the end of set filming. In the afternoon, Miss Asagiri came with a friend, suggesting we go play in Ginza. We had promised to wear Chōsen clothes together today, so both of us wore sky-blue (하눌색) jeogori tops and white chima skirts. The Chōsen attire suited Miss Asagiri so well, she looked better than a shapely Chōsen lady. Her friend praised the beauty of the Chōsen clothes profusely. The three of us strolled through Ginza, had dinner, and then it started raining. We had no choice but to enter a shop, buy paper umbrellas, and then went into a coffee shop called Colombin (コロンべン). The customers stared at us wide-eyed, exclaiming "Chōsen kūnyan subarashii!" (朝鮮ク-ニヤン 素晴レい - Chōsen girls, wonderful!). We had heard similar remarks several times on the street earlier, so we weren't particularly surprised.

October Xth
Today, Miss Ri Kōran (李香蘭氏 - Li Xianglan) arrived from Shanghai, so at 9 AM, we gathered at Ryōgoku (?) (兩國養) and departed for a location shoot at Tonegawa (利根川). The weather was so fine it felt refreshing. The group got off at a station called Tsugū (?) (津宮驛), transferred to a boat, and traveled along the Tonegawa River. The scenery along the Tonegawa is indescribably beautiful. The boat moved between banks piled high with reeds. Of course, it was a small motorboat (ポンポン船). Looking out from the boat, fig branches laden with fruit drooped down from both banks, nearly reaching the actors. We went up on the deck (뎃기), picked ripe figs, and ate them, jumping around and delighting like children. After a while, the boat entered a wider <88> river and traveled some distance before arriving at a place called Kōrai (?) (湖來). We checked into the Kōrai Hotel (湖來호텔). The fatigue from chattering all day melted away after a bath. During dinner (夕飯), geishas from Kōrai were called in, and we watched the local folk dances (鄕土舞踊). Lacking any knowledge of dance, I couldn't distinguish much, but I thought it was quite a simple, rustic dance. The six or seven actresses who came from Ōfuna also danced and sang excitedly. Miss Ri Kōran and I excused ourselves early, saying we were tired. Leaning on the second-floor railing, gazing at the Tonegawa, the old song "Kare Susuki" (枯れすすを - Withered Pampas Grass) suddenly came to mind.

October Xth
Today is also a clear, fine day. We prepared for filming early in the morning. We went to the location at 7 AM and started work, as the plan was to finish by noon if the weather held. Fortunately, the weather was good in the morning, and filming concluded. However, it started getting cloudy in the afternoon, so the stills photographer complained a lot that not a single still photo (스틸) could be taken. We rushed back to the inn, had lunch, and packed our bags, as we had agreed to leave immediately after finishing work in the morning. Miss Ri, Miss Asagiri, and I set off with our trunks. The others said they were tired and would rest for a day, coming tomorrow. The three of us boarded the boat, and our conversation blossomed: stories of Shanghai and Beijing (北京), stories of Chōsen, stories of mainland Japanese films. Miss Ri Kōran is truly a fascinating person. I felt a charm completely different from my first impression. If the demure Miss Asagiri could be called a quiet scholar (꽁생원), I'd want to call Miss Ri a witty child (才童). Her voice, face, expressions – the more I saw, the more fond I grew, and the more beautiful she seemed. We disembarked at Tsutomi (?) (津富) [Possibly error for Tsugū/津宮?], and having about an hour to spare, we bought things on the street. Miss Asagiri bought a kan (貫, approx. 3.75 kg) of sweet potatoes, wrapped them in a cloth (책보), and said she would boast about them to her mother back home. Miss Ri bought about ten eggs and a bag of chestnuts. I stood there blankly for a moment, then decided to buy picture postcards (繪葉書). I bragged that I would get everyone to write messages on them (요세가끼) and send them to my new home in Ŭijŏngbu (議政府), so everyone rushed over to write. When it was time for the train, we boarded. We chattered so much on the train that we didn't notice the time passing. Eventually, Miss Ri insisted that since there was an air raid drill (防空練習) and it would be difficult for me to get to Ōfuna alone, I absolutely must go to her apartment and stay the night. Then Miss Asagiri also urged me. However, I had decided to leave the next evening, needed to pack my bags, and was busy with various things, so I stubbornly insisted I had to go. On the train bound for Yokosuka (橫須賀), I suddenly recalled something. My grandmother used to say that the Andong Kim clan's stubbornness was like an ox's. Wondering if I too had ox-like stubbornness, I chuckled to myself without realizing it.

October Xth
Departure preparations are all done. In the afternoon, I met Miss Asagiri in Ginza and we walked together all day. In just two months, the two of us had become quite close, so much so that people around us commented that a pair embodying true "Unity of Japan and Korea" (內鮮一體), not just in movies, had emerged. Parting was quite sad. We promised to meet again before the year's end and bid farewell with a firm handshake. Fortunately, Mr. Sim Yŏng (沈影氏) was leaving on the same train, which was a great relief. <89>

**Summary**

This diary, written by Korean actress Kim Soyŏng in late 1941, chronicles her trip to Japan to film "Kŭtae wa Na" ("You and I"), a propaganda film encouraging Korean volunteer soldiers for the Japanese army. She describes her journey from Pusan, her arrival at Ōfuna Studios near Tokyo, interactions with Japanese film stars (like Tanaka Kinuyo, Kosugi Isamu, Takamine Mieko, Uehara Ken, Ri Kōran) and crew, and her experiences during the shoot, including location filming along the Tonegawa River. Kim Soyŏng expresses admiration for the professionalism and resources of the Japanese film industry, contrasting it wistfully with the underdeveloped state of Korean cinema. She also notes wartime conditions in Japan, like the studio staff growing vegetables as part of the national labor effort, and reflects on her close friendship with Japanese actress Miss Asagiri, seen by others as embodying the ideal of "Naichi-Chōsen Ittai" (Japan-Korea Unity).

From a historical perspective, the article is revealing about the cultural propaganda efforts during the late colonial period, specifically the use of film and popular actors (both Korean and Japanese) to promote the Japanese war effort and the volunteer soldier system among Koreans. Kim Soyŏng's candid comparison of the Japanese and Korean film industries highlights the colonial power dynamic and disparities in resources. Her personal reflections and interactions, including the emphasis on friendship across ethnic lines (framed within the "Naichi-Chōsen Ittai" concept), offer a glimpse into the complex personal experiences and required public performances of colonial subjects involved in state-sponsored projects.

**Named Entities**

金素英	김소영	Kim Soyŏng
朝霧孃	아사기리 양?	Asagiri-jō?
釜山	부산	Pusan
東京	도쿄	Tokyo
大船	오후나	Ōfuna
田邊氏	다나베 씨	Tanabe-shi
總督府	총독부	Sōtokufu (Government-General)
芥川少佐	아쿠타가와 소좌	Akutagawa Shōsa
陸軍省	육군성	Rikugunshō (Ministry of War)
「君と僕」	키미토 보쿠	Kimi to Boku ("You and I")
李創用氏	이창용 씨	Yi Ch'angyong-ssi
飯島正	이이지마 타다시	Iijima Tadashi
田坂氏	다사카 씨	Tasaka-shi
田中絹代氏	다나카 키누요 씨	Tanaka Kinuyo-shi
「女醫의 記錄」	여의의 기록	Nyōi no Kiroku ("Record of a Woman Doctor")
永田	나가타	Nagata
三宅	미야케	Miyake
小杉勇氏	고스기 이사무 씨	Kosugi Isamu-shi
松尾	마츠오	Matsuo
澁谷	시부야	Shibuya
高峯三枝子孃	다카미네 미에코 양	Takamine Mieko-jō
「櫻の國」	사쿠라노 쿠니	Sakura no Kuni ("Land of Cherry Blossoms")
朝鮮	조선	Chōsen (Korea)
文藝峯 氏	문예봉 씨	Mun Yebong-ssi
大船撮影所	오후나 촬영소	Ōfuna Satsueijo (Ōfuna Studios)
城戶氏	키도 씨	Kidō-shi
上原謙	우에하라 켄	Uehara Ken
笠智衆	류 치슈	Ryū Chishū
岡村吉子	오카무라 요시코	Okamura Yoshiko
入江たか子	이리에 타카코	Irie Takako
日大朝鮮學生	니치다이 조선 학생	Nichidai Chōsen Gakusei (Nihon University Korean Students)
沈影	심영	Sim Yŏng
水戶光子	미토 미츠코	Mito Mitsuko
大日方傳氏	오비나타 덴 씨	Ōhinata Den-shi
金永吉	김영길	Kim Yŏnggil
銀座	긴자	Ginza
李香蘭氏	리코란 씨/이향란 씨	Ri Kōran-shi (Li Xianglan)
上海	상하이/상해	Shanghai
兩國養	료고쿠?	Ryōgoku?
利根川	도네가와	Tonegawa (River)
津宮驛	츠구 역?	Tsugū Eki?
湖來	코라이?	Kōrai?
湖來호텔	코라이 호텔?	Kōrai Hotel?
北京	베이징/북경	Beijing
津富	츠토미?	Tsutomi?
議政府	의정부	Ŭijŏngbu
橫須賀	요코스카	Yokosuka
安東 金氏	안동 김씨	Andong Kim-ssi (Andong Kim Clan)
朝鮮軍	조선군	Chōsen Gun (Japanese Army in Korea)
內地	내지	Naichi (Mainland Japan)
下關	시모노세키	Shimonoseki
山陽線	산요센	San'yō Line
東海道線	도카이도센	Tōkaidō Line
京都	교토	Kyoto
大船호텔	오후나 호텔	Ōfuna Hotel
コロンべン	코론벤	Colombin (Coffee Shop Name)

**Glossary**

아까쓰끼	아카츠키	Akatsuki (Name of an express train, meaning 'Dawn')
하눌	하늘	Sky (Older spelling of 하늘)
었쩌랴고	어쩌랴고	What shall (we) do / How about it (Older spelling/form of 어쩌려고)
뽀-이	보이	Boy (Porter, servant - loanword)
푸로마이드	브로마이드	Bromide (Promotional photograph - loanword)
內地	내지	Mainland Japan (Term used during the colonial period to refer to Japan proper as opposed to colonies)
맛치	마치	Just like, as if (Older spelling of 마치)
로케이숀	로케이션	Location shooting (Loanword)
셋트	세트	Set (Film set - loanword)
드럿스니	들어서니	Upon entering (Older grammatical form/spelling of 들어서니)
무르니	물으니	Upon asking (Older grammatical form/spelling of 물으니)
臨戰體制	임전체제	Wartime system/footing
國民皆勞運動	국민개로운동	National Mobilization Labor Movement (Wartime labor campaign)
高等遊民	고등유민	High-class idler (Term for unemployed intellectuals or artists, often used pejoratively)
和服	와후쿠	Japanese clothing (Kimono)
銀부라	긴부라	Gin-bura (Strolling in Ginza - Japanese slang)
ク-ニヤン	쿠냥	Girl (Loanword from Chinese 姑娘 'gūniang', used colloquially in Japanese contexts for young women, sometimes specifically Chinese)
素晴レい	스바라시이	Wonderful, splendid (Japanese word スバらしい written partially in Katakana/Kanji)
兩國養	료고쿠?	Ryōgoku? (Name of a place, possibly Ryōgoku 国技館 area in Tokyo? Hanja spelling 養 seems unusual here)
ポンポン船	폰폰센	Pon-pon boat (Small motorboat, named after the sound of its engine - Japanese term)
뎃기	데키	Deck (of a boat - loanword)
夕飯	유한	Evening meal, dinner (Used here likely reflecting Japanese 夕飯 'yūhan')
鄕土舞踊	향토무용	Local folk dance
枯れすすを	카레스스키	Withered Pampas Grass (Title/line from a Japanese song, 'Kare Susuki')
스틸	스틸	Still (Still photograph - loanword)
貫	관	Kan (Unit of weight, approx. 3.75 kg)
책보	책보	Wrapping cloth (Specifically, one often used for books, but here for sweet potatoes)
繪葉書	에하가키	Picture postcard (Japanese term 絵葉書 'ehagaki')
요세가끼	요세가키	Yosegaki (Japanese practice of collective writing/signing on a single sheet, flag, or card 寄せ書き)
防空練習	방공연습	Air raid drill
꽁생원	꽁생원	(Figurative) Stiff, overly formal/bookish person (like an impoverished scholar of old)
才童	재동	Witty child, precocious child
內鮮一體	내선일체	Naissen Ittai (Slogan: Unity of Mainland Japan and Korea)
거렀다	걸었다	Walked (Older spelling of 걸었다)


---------------------------


잡지명	삼천리 제13권 제12호
발행일	1941년 12월 01일
기사제목	朝鮮軍製作·志願兵映畵 「그대와 나」의 內地撮影日記
필자	東京大船撮影所에서 金素英
기사형태	문예기타

朝鮮軍製作·志願兵映畵 「그대와 나」의 內地撮影日記
						東京大船撮影所에서 金素英
9월 22일
釜山行 아까쓰끼에 몸을 시렀다. 일행은 모다 20일에 출발했으나 朝霧孃과 나와는 22일 가치 떠나기로 약속했기 때문이다. 오래간만의 여행은 퍽이나 유쾌하다. 차창으로 내다보이는 들, 산, 모-두가 아름답다. 가을의 하눌은 구름 한점 없이 맑고 황금물결 치는 들은 사람의 마음을 끝없이 따뜻하게 해준다. 어느 듯 우주는 잿빛장막을 치기 시작할 때 우리 둘은 열차 식당에 가서 저녁 요기를 하고 자리에 돌아와 이제는 이얘기 재료도 끊어젔는지 묵묵히 벌서 어둑 컴컴해진 밖았도 내다보고 떠드는 승객들도 이리저리 돌아본다. 나종에는 그도 신통치 않은 듯 자리에 기대여 그만 자버렸다. 눈을 떳을 떈 벌써 釜山埠頭에 도착하려면 20분 밖에 안남었다. 우리 둘은 허둥지둥 짐을 네린다, 얼골을 곤친다하여 별 곤란 없이 연락선에 오르게 되였다. 세관에서 간단히 짐조사를 맞인후 뽀-이에게 얼마에 팁을 쥐어주고 우리 둘은 부인석에 자리를 정하고 나서 세수를 하고 돌아오니 뽀-이가 침대가 났으니 곧 오라고 하여 朝霧孃과 나는 서로 얼골을 처다보고 크게 숨을 내쉬였다. 아까 차에서부터 침대가 없으면 었쩌랴고 근심했기 때문에 인제는 안심했다는 뜻이다.

9월 23일
아침 일쯕이 눈을 떳다. 퍽이나 음울한 날세였다. 우리둘은 아까 보-에게 짐을 맷기고 배에서 내리려고 할때 뽀-이가 웬일인지 우물쭈물하고 서서 망사리는 모양이드니 봉투를 하나쥐여준다. 우리는 의아히 받었다가 나종 下關서 東京行 열차를 타고야, 펴보았다. 다른 것이 아니라 돌아가거든 푸로마이드를 보내달라는 부탁과 자기의 주소였다. 山陽線, 東海道線의 아름다움은 마치 어느 한폭의 사-ㄴ 그림과도 같다. 차에서 내다보이는 村, 또 村은 한없이 평화해 보이고 들에서 일하는 농부들의 생활이 끝없이 성스러워 보였다. 맛치 『미레-』의 그림같이.
朝霧孃은 京都에 친척되는 집이 있어서 내린다고하며 작고 같이 내리자고 졸나대나 공연히 모르는 집에 폐 끼치기도 싫고, 또 內地의 인사범절을 잘 채릴줄 몰라서 점적한 생각도 있고 하여 안네리기로 했다. 京都驛에 도착하니 朝霧孃과 똑같이 귀엽게 생긴, 소녀 2, 3人이 마중을 나와 나도 그들과 인사를 했다. 그들은 차가 떠날 때까지 정다웁게 전송을 해 주었다.＜86＞

9월 23일
아침 6시에 大船에 도착하니, 總督府에 게신 田邊氏가 마중을 나왔다. 숙소는 大船호텔이라 한다. 들어가니 마치 성냥갑과 같은 조고마한 집이다, 안윽하고, 조곰도 호텔같은 기분이 안 난다. 아침을 간단히 마치고 행구를 풀어 놓은 후 芥川少佐의 안내로 육군성에 인사를 갔다. 영화 「君と僕」의 前半試寫를 육군성에서 한다고 하여 여러 분들이 모-두 모여있었다. 처음으로 李創用氏의 소개로 飯島正, 田坂氏와도 인사를 하였다. 육군성에서 나와서 몹시 피곤하므로 즉시 호텔에 돌아왔다. 몸이 몹시 쇠약해젔기 때문이다.

9월 8일
내일부터는 셋트 촬영도 시작되고 하여 촬영소에 인사를 갔다. 재작년에 갔든 일도 있고하여 그때의 분들이 퍽이나 반갑게 마저 주었다. 한 가지 섭섭한 것은 田中絹代氏가 없었기 때문이다. 「女醫의 記錄」이라는 영화 로케이숀을 나갔기 때문에 못만난 것이다.

10월 8일
오날부터 셋트 촬영이 시작되였다. 永田. 三宅. 朝霧諸氏도 오고하여 같이 촬영하게 되였다. 演技部 책임자의 好意로 특별실이라 써붙인 大幹部室이나 다름없는 좋은 화장실을 내주었다. 솔직히 말하지만 나는 퍽 기뻤다. 나도 당분간이나마 이런 좋은 촬영소에서 일을 할 수가 있고 이런 좋은 化粧室에서 化粧을 할 수가 있고 結髮部에서 머리는 자기가 원하는 대로 빗겨주고 또 衣裝두, 모-두, 곱게 대려 입혀까지 주고. 문득 나는 생각했다. 조선의 영화계를. 그리고 演技者들을 생각할 때 나는 퍽이나 슬폈다.
머리를 안 빗겨 줘도 좋고 衣裝을 제손으로 대려 입어도 좋으니, 훌융한 촬영소만이라도 있었으면 하고.-이런 생각을 하고 나니 거울에 빛이는 내 모양이 끝없이 초라해 보였다.

10월 9일
오날은 小杉勇氏도 와서 같이 촬영을 하게 되였다. 자기 집이 東京 市內인데도 불고하고 大船호텔에서 일이 끝날 때까지 있는다고 한다. 나는 內地映畵人들이 일의 대한 성의를 보면 저절로 머리가 숙으려진다. 점심시간이면 둘은 언제나 촬영소 앞에 있는 조고마한 松尾라는 식당을 찾었다. 무엇보다도 조용했기 때문이다. 우연히 재작년에 만났든 澁谷라는 감독과 高峯三枝子孃을 맛났다. 이 곳에 女優들은 모-두가 아름다워만 보인다. 高峯三枝子孃은 「櫻の國」라는 영화에 셋트 촬영이 있기 때문에 매일 나온다고 한다. 우리는 오후에 틈이 있었기 때문에 「櫻の國」셋트 구경을 했다.

10월 X일
오늘두 朝霧孃이 찾어왔다. 매일와서 같이 촬영소에 가기 때문이다. 撮影所門 안에 드럿스니 左便 空地가 있는데 맛치 조선의 장날 모양으로 사람이 잔득 모여있었다. 웬일이냐고 朝霧孃에게 무르니 지금은 그 전과 달리 空地를 이용하야 각기 자기네들의 힘으로 야채를 심어 일상생활에 農家힘을 덜게하자고 촬영소에 있는 사람들이 전부가 작업한 야채를 나누어 가는 것이라고 한다. 이것이 臨戰體制下의 國民皆勞運動인가 보다고 새삼스레 그들에게 경의를 표＜87＞하였다. 그들은 난혼 야채를 일이 끝난 후 남녀를 물론하고 각기 자기집으로 손수 들고 간다니 그 풍경이야말로 얼마나 아름다울거랴. 나두 집에 돌아가면 그것을 배워 실행할야고 결심하였다.
배우라면 高等遊民인줄만 아는 일부 우리네 사회 사람들에게 이런 풍경이나마 보여주고도 싶었다.

10월 X일
오날은 신문사에 인사하러 다니기 때문에 촬영을 중지했다. 文藝峯 氏두 왔다. 신문사 인사를 끝 맛치고 大船撮影所長 城戶氏以下 여러 분과 같이 저녁을 먹고 돌아왔다.

10월 X일
