잡지명	삼천리 第五號
발행일	1930년 04월 01일
기사제목	夜巡探報臺 (Night Patrol Report Platform - suggesting snippets of news/gossip)
기사형태	소식 (News/Tidbits)

夜巡探報臺

一萬圓
When the movement first arose to establish a People's University (民立大學), Mr. Han Kyusŏl (韓圭卨) of Sup'yojŏng in the city, who was a former Privy Council minister (前參政大臣), is said to have put forth ten thousand won (金壹萬圓) as funds for its establishment preparation. However, because Mr. Yu Chint'ae (兪鎭泰) kept this money a secret (秘密), many people at the time did not know where the expenses came from.

便紙한장
A single letter sent from prison by Kōtoku Shūsui (幸德秋水) to Mr. Sakai Toshihiko (堺利彦) after Kōtoku's death sentence was finalized in January of Meiji 44 (1911) was recently sold to the Ōhara Institute for Social Research (大原社會問題硏究所) for five hundred won (五百圓).

五萬圓
During the heyday of Empress Myŏngsŏng (明成后), the Russian Minister Weber (웨-버) presented fifty thousand won (五萬圓) for her birthday celebration (生誕慶節). This shows how much even foreign envoys (外國使臣) feared and also respected her at that time.

畿湖學會
Mr. Yu Chint'ae (兪鎭泰) served as the General Secretary (總務) for the Kiho Academic Society (畿湖學會) for a total of 7 years, before and after.

徐氏의 流配＜36＞
Mr. Sŏ Chŏnghŭi (徐廷禧) was once sentenced to a long exile (流配) of 10 years during the time of Old Korea (舊韓國) due to the XX Association incident, which involved a terror group. Fortunately, he was released the following year. The island was Chindo (珍島) in South Chŏlla Province (全南). Also, the leader, Kang Sangwŏn (姜相元), was exiled to Chido (智島) in South Chŏlla Province, and Min Hyŏngsik (閔衡植), who was an Assistant Councilor in the Ministry of Education (學部協叅), was exiled to Ch'ŏl-to (鐵-島) in Hwanghae Province (黃海島).

活貧黨
It is said that in the old Hwalbindang (活貧黨, Righteous Poor Party), there were two factions: the Hong Kiltong (洪吉童) faction and the Namgamyŏng faction.

密書
According to police investigation, during the time of the first Japan Communist Party (第一次 日本 共産黨), directives (指令) coming from the Third International (第三 인터나순날) were printed using a typewriter (타입푸라이다) on silk handkerchiefs about five *ch'on* long and three *ch'on* wide. Japanese party members carrying these into the country would tie them like lining to the bottom of their Western suits or attach them to the back of their white shirts (와이샷쓰) to break through the Russo-Chinese border (露中國境) and bring them all the way to Tokyo (東京).

沙漢의 꼿
The author of the serialized novel (連載小說) "Flower of the Sandy Han" (沙漢의 꼿) in the Tonga Ilbo (東亞日報) was given as Nangnim Sanin (狼林山人), but it is actually Mr. Chu Yohan (朱耀翰).

福本和夫
The pen name (벤, 네-a, i.e. pen name) of Fukumoto Kazuo (福本和夫), who for a time led the theory (이론) of the Japanese social movement, is Hōjō Kazuo (北條一雄).

一萬圓
The Japanese vocalist Fujiwara Yoshie (蕂原義江) recently signed a one-week appearance contract for a talkie (토-키) with the Tokyo ＜37＞ Motion Picture Company (東京 活動寫眞會社), and his fee (報酬) is ten thousand won (壹萬圓).

應接子
The pen names "Mangjunghanin" (忙中閑人, Idle Person Amidst Busyness) and "Man'gakt'ap" (晩覺塔, Late Awakening Pagoda) seen in the reception room (應接室) of the Tonga Ilbosa (東亞日報社) belong to the same person (仝一人), who is the acting managing editor of the company, Mr. Sŏl Ŭisik (薜義植).

爭議資金
There is talk that lawyer Kim T'aeyŏng (金泰榮), when he stepped up as acting chairman (委員長代理) during the great Wŏnsan Labor Federation (元山勞働聯合會) dispute (大爭議), took out over 2,000 won from his own pocket for the dispute expenses (爭議費用).

七十二
The number "seventy-two" (七十二) is a number that leaves many memories for people. The loyal retainers of Tumun-dong (杜門洞忠臣) at the end of Koryŏ (高麗) numbered 72, the Huanghuakang Martyrs (黃花江烈士) of China (中國) also numbered 72, and the number of Koreans who became aristocrats (貴族) at the time of the Annexation (合倂) was also 72.

「무쇠탈」의 主人
The identity of the protagonist of "The Iron Mask" (무쇠탈, Japanese name 鐵假面), widely known through the translation (飜譯) by Min Ubo (閔牛步), has been investigated (캐어왓스나) by many historians (史家) to this day. Recently, the theory that he was the twin brother (쌍둥이 동생) who shared blood with the French (佛蘭西) Emperor of the time has become prominent. This is because French politics at that time were absolutist (專制政治), where the King could let live or kill anyone he wished. Therefore, the King would customarily execute (죽여버렷다) political rebels (政治上의 反逆者). However, the King could not bring himself to kill (참아 죽이지 못하고) the Man in the Iron Mask, instead making him live his whole life in prison with a mask made of iron covering his face (얼골에 씨워서), allowing him to die naturally. This is said to be evidence (증거인가) that it is thicker than tears of blood (피눈물보다 더거다는 - likely referring to the bond of blood being strong). In any case, it can be called an interesting story. (to page thirty-six) <38> (from page 38)

梅蘭芳의 校長
With the support (后援) of Professor Li Shih-tseng (李石會氏) of Peking University (北平大學敎授) and others, a specialized drama school (演劇專門學校) called the Peking Academy of Traditional Chinese Opera (北平戱曲學院) has recently been established in Peking (北平). The famous actor Mei Lanfang (梅蘭芳氏, age 37) is said to become the principal (校長). <40> <36-40>

**Summary**

This article, titled "Night Patrol Report Platform," presents a collection of short news items, anecdotes, and gossip from 1930. Topics range from a secret donation for the People's University by Han Kyusŏl, the sale of a letter by Kōtoku Shūsui, a large gift to Empress Myŏngsŏng by a Russian diplomat, Yu Chint'ae's role in the Kiho Academic Society, the exile of Sŏ Chŏnghŭi and others involved in an anti-Japanese group, factions within the historical Hwalbindang, methods used by Japanese communists to smuggle directives from the Comintern, the real author behind a pen name for a Tonga Ilbo serial, the pen name of socialist theorist Fukumoto Kazuo, a high fee for vocalist Fujiwara Yoshie, pen names used by Tonga Ilbo editor Sŏl Ŭisik, lawyer Kim T'aeyŏng's contribution to the Wŏnsan strike fund, the significance of the number 72 in Korean and Chinese history, speculation about the Man in the Iron Mask, and the appointment of Mei Lanfang as principal of a new drama school in Peking.

For historians of colonial Korea, this collection offers glimpses into various facets of society: the ongoing nationalist sentiment (People's University movement, mention of anti-Japanese activities like Sŏ Chŏnghŭi's), connections to international leftist movements (Comintern directives), the cultural scene (literary pseudonyms, Japanese entertainers, Peking opera), reflections on pre-colonial history (Empress Myŏngsŏng, Hwalbindang, Koryŏ loyalists), and social commentary (the number 72, the Wŏnsan strike). The mix of political, social, cultural, and historical tidbits provides a snapshot of the information environment and interests of the readership of *Samch'ŏlli* magazine during this period.

**Named Entities**

韓圭卨	한규설	Han Kyusŏl
水標町	수표정	Sup'yojŏng
兪鎭泰	유진태	Yu Chint'ae
幸德秋水	こうとくしゅうすい	Kōtoku Shūsui
堺利彦	さかいとしひこ	Sakai Toshihiko
大原社會問題硏究所	おおはらしゃかいもんだいけんきゅうじょ	Ōhara Shakai Mondai Kenkyūjo (Ōhara Institute for Social Research)
明成后	명성후	Empress Myŏngsŏng
露國	노국	Russia
웨-버	웨버	Weber
畿湖學會	기호학회	Kiho Hakhoe (Kiho Academic Society)
徐廷禧	서정희	Sŏ Chŏnghŭi
XX會	XX회	XX Association
舊韓國	구한국	Old Korea (referring to the Korean Empire/late Chosŏn)
全南	전남	Chŏlla Namdo (South Chŏlla Province)
珍島	진도	Chindo
姜相元	강상원	Kang Sangwŏn
智島	지도	Chido
閔衡植	민형식	Min Hyŏngsik
黃海島	황해도	Hwanghae Province
鐵-島	철도	Ch'ŏl-to (Ch'ŏl Island)
活貧黨	활빈당	Hwalbindang
洪吉童	홍길동	Hong Kiltong
日本 共産黨	일본 공산당	Japan Communist Party
第三 인터나순날	제삼 인터내셔널	Third International (Comintern)
露中	노중	Russo-Chinese
東京	동경	Tokyo
東亞日報	동아일보	Tonga Ilbo
沙漢의 꼿	사한의 꽃	Sahaneui kkot (Flower of the Sandy Han)
狼林山人	낭림산인	Nangnim Sanin
朱耀翰	주요한	Chu Yohan
福本和夫	ふくもとかずお	Fukumoto Kazuo
北條一雄	ほうじょうかずお	Hōjō Kazuo
蕂原義江	ふじわらよしえ	Fujiwara Yoshie
東京 活動寫眞會社	동경 활동사진회사	Tokyo Katsudō Shashin Kaisha (Tokyo Motion Picture Company)
東亞日報社	동아일보사	Tonga Ilbosa (Tonga Ilbo Company)
薜義植	설의식	Sŏl Ŭisik
金泰榮	김태영	Kim T'aeyŏng
元山勞働聯合會	원산노동연합회	Wŏnsan Nodong Yŏnhaphoe (Wŏnsan Labor Federation)
高麗	고려	Koryŏ
杜門洞	두문동	Tumun-dong
中國	중국	China
黃花江	황화강	Huanghuakang
閔牛步	민우보	Min Ubo
佛蘭西	불란서	France
北平大學	북평대학	Peking University
李石會	이석회	Li Shih-tseng (Common Romanization, as name is Chinese)
北平戱曲學院	북평희곡학원	Peking Academy of Traditional Chinese Opera
梅蘭芳	매란방	Mei Lanfang (Common Romanization, as name is Chinese)

**Glossary**

民立大學	민립대학	People's University (a movement for a Korean-funded university)
創立準備金	창립준비금	Establishment preparation fund
秘密	비밀	Secret
費用	비용	Expense, cost
死刑結審	사형결심	Finalization of a death sentence
便紙	편지	Letter (Older form of 편지)
獻上	헌상	To present (to a superior/royal)
外國使臣	외국사신	Foreign envoy/diplomat
엇더케나	어떻게나	How much, to what extent (Older spelling/form)
두러워하고	두려워하고	To fear (Older spelling)
總務	총무	General Secretary, general affairs manager
前後	전후	Before and after, approximately
流配	유배	Exile (historical punishment)
舊韓國	구한국	Old Korea (referring to the pre-annexation Korean state, usually the Korean Empire)
翌年	익년	The following year
首領	수령	Leader
學部協叅	학부협참	Assistant Councilor in the Ministry of Education (historical title)
活貧黨	활빈당	"Righteous Poor Party" (historical righteous outlaw group)
패	패	Faction, group, gang
密書	밀서	Secret letter/document
指令	지령	Directive, order
타입푸라이다	타이프라이터	Typewriter (loanword)
밋바닥	밑바닥	Bottom, underside (Older spelling)
와이샷쓰	와이셔츠	White shirt (loanword, older transliteration)
國境	국경	National border
突破	돌파	To break through
連載小說	연재소설	Serialized novel
作者	작자	Author
理論	이론	Theory
리-더하든	리더하던	Led (Eng. loanword + older verb ending)
報酬	보수	Remuneration, fee, reward
應接室	응접실	Reception room
仝一人	동일인	The same person (using Hanja 仝 for 同)
代理	대리	Acting (as in acting manager)
爭議	쟁의	Dispute (esp. labor dispute)
委員長	위원장	Chairman
出馬	출마	To come forward, run for office (here, step up to a role)
자긔	자기	One's own (Older spelling)
忠臣	충신	Loyal subject/retainer
烈士	열사	Martyr
合倂	합병	Annexation, merger (here, referring to the Japan-Korea Annexation of 1910)
貴族	귀족	Aristocrat, noble
飜譯	번역	Translation
史家	사가	Historian
캐어왓스나	캐어왔으나	Have investigated, have dug into (Older spelling/form)
雙둥이	쌍둥이	Twin
專制政治	전제정치	Absolutist politics, autocracy
反逆者	반역자	Rebel, traitor
依例	의례	As a rule, customarily
참아	차마	(Cannot) bring oneself to
얼골	얼굴	Face (Older spelling)
씨워서	씌워서	Covering (passive form of 씌우다)
제명	제명	One's natural lifespan
后援	후원	Support, backing
俳優	배우	Actor
校長	교장	Principal (of a school)


---------------------------


잡지명	삼천리 제5호
발행일	1930년 04월 01일
기사제목	夜巡探報臺
기사형태	소식

夜巡探報臺
一萬圓
民立大學을 創立하자고 처음 運動이 이러나든 때에 前參政大臣이든 市內水標町韓圭卨氏가 그 創立準備金으로 金壹萬圓을 내어노앗섯다고 그러나 이 돈은 兪鎭泰氏가 秘密에 부쳣기 때문에 그 때 費用이 어듸서 나왓는지 몰은 사람이 만엇다.

便紙한장
幸德秋水가 明治 44年 1月 死刑 結審이 된 后에 獄中에서 堺利彦氏에게 보낸 便紙 한 장은 이번에 大原社會問題硏究所의 손에 五百圓에 팔니엇다고.

五萬圓
明成, 后의 全盛時代에 露國公使 「웨-버」는 그 生誕慶節에 돈 五萬圓을 獻上하엿다니 그 때 外國使臣들까지 엇더케나 그 분을 두러워하고 또 존경하엿는지 알 일.

畿湖學會
畿湖學會때에 兪鎭泰氏가 前後 7年間을 總務로 잇섯다고.

徐氏의 流配＜36＞

徐廷禧氏는 테로단체에든 XX會 事件으로 舊韓國 때에 10年의 長期流配를 간 일이 잇섯는데 그 翌年에 多幸히 풀려나왓다고 섬은 全南 珍島 또 首領이든 姜相元은 全南 智島 學部協叅이든 閔衡植은 黃海島鐵-島에.

活貧黨
녯날 활빈당 속에는 洪吉童패, 남감영의 두 패가 잇섯다고.

密書
