Magazine Title: 개벽 제49호
Publication Date: 1924년 07월 01일
Article Title: 天玄地黃 (Heaven is Black, Earth is Yellow - Metaphor for chaos/beginnings, or general title for miscellaneous news)
Author: Not specified
Article Type: 소식 (News/Tidbits)

天玄地黃 (Heaven is Black, Earth is Yellow)

A while ago, a certain Japanese wealthy merchant in Chinju, whose name was Ko something, became an issue across the Kyŏngnam area for cheating on his scales and stealing from the pockets of the common people. Now, a Japanese member of the Kunsan Rice Cooperative, colluding with a certain Japanese inspector from his own community, has shipped out substandard rice marked with false inspection seals, supposedly having a major impact on the rice trade throughout all of Chosŏn. ▲ Not only this, but recently a significant issue is said to have arisen centered around a certain brokerage house at the Inch'ŏn Rice and Bean Exchange. ▲ It seems only natural that those fellows who got stuck together through fraud (挾雜) will meet their downfall through fraud.

▲ They say the Kyŏngsŏng Prefecture (京城府) decided to build its government office on the former site of the Kyŏngsŏng Ilbo Company on T'aep'yŏngt'ong, with the Prefecture bearing all costs for relocating the old building. ▲ However, the Prefecture forgot to include the removal of the concrete (콩크릿트) foundation work in the conditions for relocating the old house (舊家瓦), making it unavoidable to deal with this anew, ultimately leading to a budget shortfall. So, the bureaucrats cause the problem, and the citizens of the Prefecture bear the entire loss. How pitiful (寒心也)!

▲ Last month, at the Tamok Farm in Hamyŏl, Chŏnbuk province, they held a commendation ceremony, quite grandly, for 600 outstanding tenant farmers selected from the 1,800 tenants. With the farm owner's address and shouts of "Long live His Majesty the Emperor!" (聖壽萬歲), it truly exemplified the grand occasions of the current age. Playing around nicely on someone else's land with someone else's property.

▲ If Japanese-Russian recognition (日露承認) leads to mutual exchange (互交), various new phenomena will arise, but the most refreshing is the realization of the Eurasian railway connection (歐亞鐵道聯絡). According to railway authorities, if Japanese-Russian diplomatic relations (國交) are restored, the Eurasian railway connection will begin immediately. Starting from Pusan, it seems likely one or two direct trains per week will depart. If so, one could reach Moscow (莫斯科) in 7 days and Berlin (伯林) in 10 days. In any case, times are gradually getting better (됴와오는 셈).

▲ With the emergence of the Kato cabinet in Japan, it must have crossed everyone's mind at least once that there might be some new reshuffle among the major backers (大株主측) of the Government-General of Korea (朝鮮總督府). ▲ However, if the current situation facing the Japanese Empire allowed enough leeway to consider such colonial problems first, that would be truly splendid.

▲ Regarding the "Portraits of Kyŏngsŏng People" (京城人物百態) published in this magazine's previous Kyŏngsŏng Issue (京城號), there seems to be quite a lot of talk about it outside, this way and that. ▲ Well yes, it was written to become a topic of conversation, so how could there not be talk? However, if one interprets too deeply (깁게 解釋) and meticulously (천착스럽게) what was written as just a story (니악이로) to laugh over and pass by, that would be different from the writer's true intention (本意). Shh, shh.

▲ The various chapels of the Christian Church (基督敎會) in Kwangju city proper have decided to use the upcoming summer vacation (夏休) to educate the city's proletarian children (無産兒童). Indeed, it is a good (됴흔) new experiment. The only hope is that they approach it with a sincere heart (赤心) solely for the children's benefit, without adding the proselytizing flavor (傳道式 臭味) of making them seek God the Father from one to a hundred.

▲ Has the discord (不和) that arose between the citizens of Pukch'ŏng and Hamhŭng after an athlete was beaten to death (歐打 致死) now completely returned to a state of spring breeze and great harmony (春風 太和)? I don't know how different the people (人種) of Pukch'ŏng and Hamhŭng are, or how far apart (隔遠) the two places are, but engaging in a regional conflict (人種戰이나 地境戰) between them is just too regrettable (야속한 일이지). Regarding this incident, wouldn't the best approach (好방편) be for truly conscientious and compassionate people in Pukch'ŏng to voluntarily step forward and soothe the feelings of the other side, following the principle of "he who tied the knot should untie it" (結者解之)?

▲ Constable Yi (李某) at the Anju Ipsŏk-myŏn police substation (駐在所 巡査) reportedly beat an elderly woman (노파) (62) from the neighborhood severely (亂打無地) because she didn't fetch water for his house. Truly the act of a wicked (괴약한) fellow. But what is more wicked than this is that such wicked constables are rampant (橫行) not only there but everywhere (處處). <90>

**Summary**

This article compiles various news snippets from Korea in mid-1924. It covers incidents of corruption involving Japanese merchants and officials in Chinju and Kunsan, bureaucratic incompetence leading to budget issues in Kyŏngsŏng (Seoul), a large tenant farmer award ceremony laced with commentary on colonial power dynamics, speculation on international relations affecting Korea (Japan-Soviet ties and a potential Eurasian railway), political rumors surrounding the Japanese cabinet and the Governor-General, commentary on reader reactions to a previous magazine feature, a social initiative by churches in Kwangju to educate poor children, lingering regional tensions between Pukch'ŏng and Hamhŭng after a violent incident, and an instance of police brutality by a Japanese constable in Anju. The article often carries a critical or sarcastic tone towards the colonial authorities and Japanese actors, while also observing social conditions and hopes for change. For historians, this piece offers valuable insights into the everyday realities of colonial Korea: economic exploitation (rice trade fraud), administrative inefficiency and its impact on Koreans, the complex landlord-tenant relations under Japanese landowners, the local impact of international politics, social stratification (無産兒童), regional conflicts within Korean society, and the pervasive issue of police misconduct under the colonial regime. The commentary reveals a contemporary critical perspective on Japanese rule and its effects.

**Named Entities**

晉州	진주	Chinju
慶南	경남	Kyŏngnam
日人	일인	Japanese person
群山	군산	Kunsan
組合員	조합원	Cooperative member
全朝鮮	전조선	All Korea / Chŏn Chosŏn
仁川	인천	Inch'ŏn
米豆取引所	미두취인소	Rice and Bean Exchange
仲買店	중매점	Brokerage house
太平通	태평통	T'aep'yŏngt'ong
京城日報社	경성일보사	Kyŏngsŏng Ilbo Company
京城府	경성부	Kyŏngsŏng Prefecture (Seoul City)
府民	부민	Prefectural citizens
全北	전북	Chŏnbuk
咸悅	함열	Hamyŏl
多木農場	다목농장	Tamok Farm
日露承認	일로승인	Japanese-Russian Recognition
歐亞鐵道聯絡	구아철도연락	Eurasian Railway Connection
釜山	부산	Pusan
莫斯科	모스크바	Moscow
伯林	베를린	Berlin
日本	일본	Japan
加藤內閣	가토내각	Kato Cabinet
朝鮮總督府	조선총독부	Government-General of Korea
本紙	본지	This Magazine (Kaebyŏk)
京城號	경성호	Kyŏngsŏng Issue
京城	경성	Kyŏngsŏng (Seoul)
光州	광주	Kwangju
基督敎會	기독교회	Christian Church
北靑	북청	Pukch'ŏng
咸興	함흥	Hamhŭng
安州	안주	Anju
立石面	입석면	Ipsŏk-myŏn
駐在所	주재소	Police Substation
巡査 李某	순사 이모	Constable Yi

**Glossary**

日人	일인	Japanese person
豪商	호상	Wealthy merchant
細民	세민	Common people, poor people
組合員	조합원	Cooperative member, union member
檢印	검인	Inspection seal/stamp
不正米	부정미	Illegally traded/substandard rice
移出	이출	To ship out, export
米豆取引所	미두취인소	Rice and Bean Exchange
仲買店	중매점	Brokerage house/shop
挾雜	협잡	Fraud, swindling (older term)
맛붓튼	맞붙은	Collided, confronted (older spelling of 맞붙은)
패망	패망	Downfall, ruin
廳舍	청사	Government office building
移轉料	이전료	Relocation fee
擔當	담당	Being in charge of, responsibility
舊家瓦	구가와	Old house tiles (likely metonym for old building)
콩크릿트	콘크리트	Concrete (older transliteration)
망각	망각	Forgetting
처치	처치	Handling, disposal
예산	예산	Budget
誘致	유치	Causing, inducing
관료	관료	Bureaucrat, official
져즈르고	저지르고	Committing (an error/crime) (older spelling of 저지르고)
府民	부민	Prefectural citizens (of Kyŏngsŏng-bu)
寒心也	한심야	How pitiful/deplorable! (Classical Chinese particle '也' for emphasis)
소작인	소작인	Tenant farmer
우량자	우량자	Person of excellence
표창식	표창식	Commendation ceremony
盛旺히	성왕히	Grandly, prosperously (older spelling of 성황히)
농장주	농장주	Farm owner
告辭	고사	Formal address, speech
聖壽萬歲	성수만세	Long live His Majesty the Emperor!
呼唱	호창	Shouting, chanting
盛况	성황	Grand occasion, thriving situation
日露承認	일로승인	Japanese-Russian recognition (diplomatic)
互交	호교	Mutual relations, diplomatic exchange
歐亞鐵道聯絡	구아철도연락	Eurasian railway connection
實現	실현	Realization, actualization
당국자	당국자	Authorities concerned
國交	국교	Diplomatic relations
회복	회복	Recovery, restoration
기점	기점	Starting point
직통 열차	직통 열차	Direct train
得達	득달	To arrive, reach (Sino-Korean verb)
됴와오는	좋아오는	Getting better (older spelling/form of 좋아지는)
내각	내각	Cabinet (government)
總督府	총독부	Governor-General's Office
大株主	대주주	Major shareholder (here, influential backer)
교체	교체	Change, replacement
식민지	식민지	Colony
本紙	본지	This paper/magazine
人物百態	인물백태	Various Aspects of Personalities / Portraits of People
밧게서는	밖에서는	Outside (older spelling of 밖에서는)
니악이로	이야기로	As a story (older spelling/form of 이야기로)
천착	천착	Overthinking, digging too deep, forced interpretation
깁게	깊게	Deeply (older spelling of 깊게)
解釋	해석	Interpretation
本意	본의	True intention
틀니지	틀리지	Different from, wrong (older spelling/form of 틀리지)
基督敎會	기독교회	Christian church
예배당	예배당	Chapel, place of worship
夏休	하휴	Summer vacation
無産兒童	무산아동	Proletarian children, children of the poor
됴흔	좋은	Good (older spelling of 좋은)
傳道式	전도식	Proselytizing style
臭味	취미	Taste, flavor (here, negative connotation of 'manner')
온젼히	온전히	Wholly, completely (older spelling of 온전히)
赤心	적심	Sincere heart
歐打	구타	Beating, assault
致死	치사	Causing death
不和	불화	Discord, conflict
春風 太和	춘풍 태화	Spring breeze and great harmony (peace)
人種	인종	People (of a region)
隔遠	격원	Far apart
人種戰	인종전	Conflict between people of different regions
地境戰	지경전	Territorial dispute (between regions)
야속한	야속한	Regrettable, heartless
結者解之	결자해지	He who tied the knot should untie it (idiom)
駐在所	주재소	Police substation
巡査	순사	Patrolman, constable (colonial era police rank)
노파	노파	Old woman
亂打	난타	Severe beating
괴약한	괴악한	Wicked, atrocious (older spelling/form of 괴악한)
橫行	횡행	Rampant, prevalent
-e 

---------------------------


잡지명	개벽 제49호
발행일	1924년 07월 01일
기사제목	天玄地黃
기사형태	소식

天玄地黃
