잡지명	개벽 제49호
발행일	1924년 07월 01일
기사제목	國境을 넘어서서(感想) (Crossing the Border (Impressions))
필자	在北滿 朴봄 (Pak Pom in North Manchuria)
기사형태	회고·수기 (Memoir/Personal Account)

Crossing the Border
						Pak Pom in North Manchuria
(First 10 lines omitted)... With tears of weary sighs, I turned my back on the Motherland and set foot towards the North; it was now five years ago, the winter of 1919. Although I knew vaguely from maps where Manchuria and Siberia were, and had heard they were cold regions, this was, of course, my first real experience. The sun had crossed the western mountains, and it was the time of purple-gold dusk. As soon as I set foot on the ice of the Yalu River, our country's last boundary, gentlemen like messengers from the underworld, as if they had found some beast to devour, shouted, "Hey you, where are you going? Come here!" blowing whistles and causing a commotion. Since my situation was already like fish on the cutting board, I thought, "Fine, devour me if you must, let's see if I can run away," and stumbling and falling this way and that, I barely managed, by sheer luck, to reach the shore of Chinese territory. My whole body felt intensely hot, as if a bonfire had been poured into me, my throat was parched like waking up after being drunk, and I gasped for breath. Helplessly, I collapsed under a sunken bank, and after catching my breath for a while, I lifted my head and looked back at the Motherland one more time. A lump of indescribable grief and indignation surged up in my chest, and tears like fists dropped down. I tried to endure the stinging, painful feeling but couldn't; I tried to stop the pouring tears but couldn't. Like an old father whose only son has died, I wept uncontrollably for some time. Finally, wiping my tears with the hem of my *turumagi*, I stood up and, moving my trembling legs hastily, recited inwardly the first verse of the "Song of World Circumambulation" written by Mr. Ch'oe Nam-sŏn: "Hanyang, farewell, I shall return," and headed towards a house with lights on. Reaching a small thatched house, I called for the owner from outside. A person in blue clothes came out, mumbling something in a language I had never heard in my life. Like two mutes who could not communicate verbally,＜96＞ we used hand gestures, and I barely managed to borrow a spot to rest my weary body for one night. The next morning, as soon as it dawned, as if a dear person was waiting somewhere, as if returning to my own home after being in a foreign land, my young self, all alone, began to walk step by step aimlessly across the desolate Manchurian plains, not knowing the direction. The wind blowing straight down from the peak of the Ural Mountains—ah! It was truly cold. When the fierce wind, blowing snow flurries with a *ssing-ssing* sound, pierced through my thin cotton clothes, my bones tingled sharply, and my flesh felt like it was being carved out and dropping off piece by piece. Wiping away the endlessly flowing tears, I grumbled, "Ah! God of fate, why do you expel a young body of 19 into the endless fields without a home, to become a vengeful spirit in the snow?" But then I thought, "No, no, just as the saying goes, 'Better be the beak of a chicken than the rump of an ox,' rather than barely surviving as a slave without freedom, if I run freely and vigorously across the wide, wide plains as I please and end up buried in the pure white snow, how exhilarating and heroic that would be!" When I thought this way, my legs felt lighter without realizing it, and my steps quickened.

After several weeks like this, I arrived at OOO. Like widows sharing their sorrows only with each other, comrades with similar circumstances and goals complained to and consoled each other about the grief coiled deep within their hearts, waiting only for the chance to stretch their great wings (鵬翼一伸). Then came the late autumn of 1920... Kando Subjugation (間島 討伐)...
(3 lines omitted) Suppressing my grief and indignation, I moved north, further north. What change could there be in the natural seasons? As soon as the first winter arrived, big flakes of cold snow poured down! The biting wind blew mercilessly! Walking and shivering on the vast, trackless plains with no houses or roads, when the sun set, we would gather snow to build a circular wall, huddle together inside like a flock of ducks, occasionally swapping places—those in the middle moving to the outside, those outside moving to the middle—and embracing each other to pass the night. When hungry, we took out millet flour (*sorokpun*, 粟粉) from our knapsacks. When putting the dry powder into our mouths without even water, if the wind blew suddenly, our throats would seize up, and tears would well in our eyes. Eating a handful of snow would clear the throat, but the body would shiver even more. When encountering such times, I wanted to curse the whole world anew, and my feelings towards XX grew even deeper.

In 1922, when I was wounded in the XX Battle and hospitalized at XXXXX Hospital, lying alone on the sickbed thinking about this and that, all worldly affairs seemed sorrowful. "Ah, why did I survive after being hit by that one shot, what hope could there be?" I sighed and shed tears. But then, "Why die without seeing the end after striving and fighting until now? I will achieve my goal, return to my longed-for, beloved hometown, hold hands with my affectionate siblings, and experience an ideal new life!" Changing my thoughts＜97＞ like this, I pleaded with the doctor to heal my illness quickly.

It was a day when the breeze, warm like a maiden's embrace, gently brushed past my ears, and the sunlight was bright, making my limbs feel languid. Sitting on the grassy field where new blades poked up, pondering something in my head and sighing, I felt intensely envious watching the strollers, dressed neatly in spring clothes, some in couples, some with friends, coming and going in search of spring scenery. And so, I spontaneously recited the old poem, "Are there no flowers or grass in the barbarian land? / Though spring comes, it doesn't feel like spring," and felt, "The red flowers and green leaves blooming beautifully to show their nature in the warm spring breeze, and the moon shining brightly in the high, clear autumn sky—what comfort can they be to me, homeless and hungry! They are only sources of heartache, agony, and pain!" Then I thought, "Ah, just like the phrase in the *Summary of Historical Materialism* (惟物史觀 要領記), 'Thought arises from matter,' feelings like these must be the sprout (芽) of revolutionary thought. And I am surely not the only homeless and hungry person; in the current irrational and highly contradictory society, regardless of nationality or race, there must be many homeless and hungry people. And before the united power of this homeless and hungry proletarian mass (無産群衆), the possibility of achieving XX is certain!" When I thought this, all sorrow vanished, and I felt the energy to smile broadly.

Ah! But ah, but in our society where there is still nothing, like a beggar tearing his own sack, people quarrel over things like bubbles on water—honor, rights, what have you—causing society to descend into chaos (混沌), and the sprout of hope is shrouded in dense fog. Ah! God of nature! God of fate! What will become of this homeless, hungry young body?
Night of March 28, 1924 (End)＜98＞

**Summary**

This memoir by Pak Pom, written in 1924, recounts his harrowing escape from Korea across the Yalu River into Manchuria in 1919. He describes the extreme hardships of exile life – severe cold, hunger, homelessness, and the constant threat from authorities (implied Japanese). He details his participation in conflicts (likely related to the Korean independence movement, mentioning the "Kando Subjugation" of 1920 and being wounded in a battle in 1922), his despair, and his evolving thoughts towards revolution, influenced by Marxist ideas (Historical Materialism, proletarian unity) as a potential path to liberation and a new society. However, he ends on a pessimistic note, lamenting the internal divisions within the Korean community that hinder progress. For historians, the article offers a raw, personal perspective on the experiences of Korean exiles in Manchuria during the early independence movement, showcasing the brutal conditions, the psychological toll, the influence of emerging ideologies like socialism/communism on nationalist activists, and the internal conflicts that plagued the movement abroad. The references to specific events (though censored) and figures like Ch'oe Nam-sŏn provide valuable context.

**Named Entities**

母國	모국	Motherland (Korea)
北便	북편	North
滿洲	만주	Manchuria
西伯利亞	서백리아	Siberia
鴨綠江	압록강	Amnokkang (Yalu River)
中領	중령	Chinese Territory
漢陽	한양	Hanyang (Old name for Seoul)
崔南善	최남선	Ch'oe Nam-sŏn
울알山	우랄산	Ural San (Ural Mountains - likely symbolic)
間島	간도	Kando (Jiandao)
北	북	North

**Glossary**

國境	국경	National border
感想	감상	Impressions; thoughts; reflections
쇠잔하다	쇠잔하다	To be weakened; declined; worn out (older form: 쇠잔한)
北便	북편	The North; northern direction
마즈막	마지막	Last; final (older spelling)
갓튼	같은	Like; as (older spelling)
나으리님들	나으리님들	Gentlemen; officials (honorific, used somewhat sarcastically here)
즘생	짐승	Beast; animal (older spelling)
업드지며	엎드리며	Falling prostrate; falling face down (older spelling)
잡바지며	자빠지며	Falling down; tumbling (older spelling)
다달엇슴니다	다다랐습니다	Arrived; reached (older form)
움욱한	오목한	Sunken; concave; depressed (older spelling/form)
안저서	앉아서	Sitting (older spelling)
올나오며	올라오며	Coming up; rising (older spelling)
압흔	아픈	Painful; sore (older spelling)
늣김	느낌	Feeling; sensation (older spelling)
업더이다	없더이다	There was not; did not exist (older narrative form)
老父	노부	Old father
이윽히	이윽고	After a while; finally (older form)
두루막	두루마기	Traditional Korean overcoat (*turumagi*)
옴겨	옮겨	Moving (older spelling)
노흐면서	놓으면서	Placing; putting (older spelling)
듯도 못한	듣도 못한	Never heard of
䊸�通	소통	Communicate (Hanja used phonetically/incorrectly here, context implies 소통)
翌日	익일	The next day
아츰	아침	Morning (older spelling)
자름자름	자름자름	Step by step (onomatopoeic/mimetic word)
것기를	걷기를	Walking (older spelling)
눈보래질하며	눈보라치며	With snow blowing fiercely (older form)
뼈끗치	뼈끝이	Bone tips; ends of the bones (older spelling)
에워저서	에어져서	Being carved out; gouged (older spelling)
떠러지는	떨어지는	Falling; dropping (older spelling)
딱그며	닦으며	Wiping (older spelling)
逐黜	축출	Expulsion; ousting
奴綠	노록	Toil; drudgery (likely intended as 노예 (slave) or 고역 (hard labor))
僅生	근생	Barely living; precarious existence
임의로	임의로	At will; freely; arbitrarily
파뭇처	파묻혀	Being buried (older spelling)
바리면	버리면	If thrown away; if discarded (older spelling)
젹에는	때에는	At the time when (older spelling)
갑여워지며	가벼워지며	Becoming lighter (older spelling)
빨나지더이다	빨라지더이다	Became faster (older narrative form)
몃	몇	Several; a few (older spelling)
서름	설움	Sorrow; grief (older spelling)
맷친	맺힌	Formed; pent-up (older spelling)
相訴相慰	상소상위	Complaining to and consoling one another
鵬翼一伸	붕익일신	Stretching the wings of a great bird (idiom for realizing great ambition)
機	기	Opportunity; chance
待하다가	기다리다가	While waiting (older form using Hanja verb stem)
느즌	늦은	Late (older spelling)
討伐	토벌	Subjugation; punitive expedition
節候	절후	Season; time of year
쏘다지지요	쏟아지지요	It pours down (colloquial ending, older spelling)
거러가다가	걸어가다가	While walking (older spelling)
싸코	쌓고	Piling up; building (older spelling)
모야	모여	Gathering (older spelling)
안저	앉아	Sitting (older spelling)
잇다금	있다금	Occasionally; sometimes (older spelling)
밧그로	밖으로	To the outside (older spelling)
밧게	밖에	Outside (older spelling)
곱흐면	고프면	If hungry (older spelling)
背囊	배낭	Backpack; knapsack
粟粉	속분	Millet flour
너흘	넣을	To put in (older spelling)
메이고	메이고	Being choked; blocked (older spelling)
틔워지지만	트이지만	Though it clears (older spelling/form)
떨니우더이다	떨리더이다	Shivered; trembled (older causative/narrative form)
십고	싶고	Wanting to (older spelling)
깁허지더이다	깊어지더이다	Deepened (older narrative form)
마자슬	맞았을	Having been hit (older spelling)
안코	않고	Not doing (older spelling contraction)
잇스리라고	있으리라고	That there would be (older spelling)
살앗는가	살았는가	Did I live?; Why did I survive? (older spelling)
끗도	끝도	Even the end (older spelling)
맛보겟는대	맛보겠는데	Intending to taste/experience (older spelling/form)
밧구워	바꾸어	Changing (older spelling)
달나고	달라고	Asking to give/do (older spelling)
씻치이며	스치이며	Brushing past (older spelling)
나-른하여지는	나른하여지는	Becoming languid; listless
도다	돋아	Sprouting; rising (older spelling)
을푸며	읊으며	Reciting (older spelling)
자긔	자기	One's own; self (older spelling)
피여	피어	Blooming (older spelling)
놉고	높고	High; tall (older spelling)
빗치여	비치어	Shining (older spelling)
한울	하늘	Sky (older spelling/dialect)
도로혀	도리어	Rather; on the contrary (older spelling)
惟物史觀	유물사관	Historical materialism
生한다	생한다	Arises; is generated (older form)
가티	같이	Like; as (older spelling)
만흘	많을	Many; numerous (older spelling)
無産群衆	무산군중	Proletarian masses
압헤는	앞에는	Before; in front of (older spelling)
살아저	사라져	Disappearing (older spelling)
바리고	버리고	Discarding; abandoning (older spelling)
긔운	기운	Energy; spirit; vigor (older spelling)
아즉	아직	Still; yet (older spelling)
거어지	거지	Beggar (older spelling)
찟는	찢는	Tearing (older spelling)
다토와	다투어	Quarreling; vying (older spelling)
混沌	혼돈	Chaos; confusion
싸엿스니	싸였으니	Is shrouded; is enveloped (older spelling)
-e 

---------------------------


잡지명	개벽 제49호
발행일	1924년 07월 01일
기사제목	國境을 넘어서서(感想)
필자	在北滿 朴봄
기사형태	회고·수기

國境을 넘어서서
						在北滿 朴봄
