잡지명	개벽 제49호
발행일	1924년 07월 01일
기사제목	南滿을 단녀와서 (Having Visited Southern Manchuria)
필자	ㅅㅅ生
기사형태	기행문 (Travelogue)

南滿을 단녀와서
						ㅅㅅ生

Southern Manchuria is a place that has recently aroused considerable hope among our compatriots. I traveled there once five years ago. This year, I visited again. However, the impressions I gained then and the impressions I gained this time were entirely different. This is not so strange. I even went under a completely different name this time compared to then. I could see that worldly affairs and people's hearts change and flow endlessly.

It was March 3rd of this year when I arrived at the gates of Jilin Castle, carrying the Siberian winds on my back. I spent several days sitting together and shaking hands with friends I had been waiting for, discussing our respective plans for the past and future.

On the morning of the 12th, I set out towards Pansŏk County, accompanied by Messrs. Mongho and Ch' T'ae. All living creatures, leaping wildly in joy, sang endless spring songs. The pleasant marshes were full of melted ice and snow, and a clear wind blowing from the blue sky brushed past my ears. Yet, the human life trudging step by step along muddy roads, trampled and churned by horses' hooves and cartwheels, seemed pitiful and laughable. However, with the self-determined consciousness that "The spring of life can only be brought forth by the hands of life itself!", we pushed aside all environmental struggles and advanced, and advanced again.

On the 16th, we arrived at Hamahatzŭ (蛤蟆河子). Looking back now, we had covered a distance of 215 ri in five days. This could be called a good achievement for unenlightened humanity. My feet were blistered, and my energy was completely drained. The house where we stayed belonged to Mr. Hong XX. With very warm sympathy, he persuaded our party to rest for an extra day. There was a verse of poetry he gave us, but it is a considerable regret that I cannot remember it well. My response in verse (whether it can be called poetry or just strung-together words <91> is uncertain) was thus: "Fortunately meeting good friends while also encountering spring, / One night's discussion renewed my thoughts. / How laughable, the failed traveler of yesteryears, / How could he know the successful person of tomorrow? / Wind drives the remaining snow, increasing the cold air, / Sun reaches the clear sky, shedding worldly dust. / Thinking on it, all things are but dreams, / Temporarily relying on poetic lines, I play with my truth."

On the morning of the 18th, we departed again. After two days, we arrived at Horanjipch'angja (呼蘭集廠子). We had reached our destination. Here resided Mr. Imjang; he was someone who could be called a master of Southern Manchuria. We spent five days here amidst joyous shouts and delightful drinking. Between people whose worries, anxieties, joys, and laughter had long been blocked, an unforgettable "web of righteousness" (義網) was spun. One day, Mr. Imjang showed me a poem like this: "Fate's beginning, the Kapcha spring, / Heaven's heart and worldly affairs, renewed at once. / Yan clouds escort the dragon-slaying guest, / From Bohai comes seeking the louse-catching man. / Streams break the lingering ice, revealing swords and lutes, / Mountains retain patches of snow, washing away grime and dust. / Unless there is real strength, there is no other art, / Plant a true cause, and the result will be true." This was a response to the piece I had written earlier in Hamahatzŭ.

Another thing deeply imprinted on my mind here is the sincere sympathy and fervent affection of the local Ch'ŏndogyo Chongnisa (天道敎宗理師), Mr. Kim Ŭngsik, and fellow believer Mr. Hong Yŏngsik. Furthermore, the sincere concern emanating from Mr. Kim Ŭngsik's wife, with her gentle heart, endlessly worrying if anything was lacking, truly gave me the feeling of being led into the kingdom of heaven.

On the 24th, Mr. Ch' T'ae and I were to return to Jilin. Mr. Mongho remained there. As we took up our staffs to leave, Mr. Tonggu (Mr. Imjang's son) and Mr. Mongho wrote down the following farewell poems for us. This was Mr. Tonggu's composition: "Shaking your hand just when I was thinking of you, / Staffs side-by-side, the matter is also wondrous. / A thousand leagues of travel gear, yet a foot of sword remains, / A sky full of wind and rain, playing chess by the bed. / Remote mountains' snow piled high, yet spring still stirs, / Liao Sea clouds hang across, the moon seems slow. / Wait until the day of clear, round reunion, / Remember this rhyme and recite the poem with joy." And Mr. Mongho's poem was like this: "Since there is such a person, there must be poetry, / Deep plans, how fortunate to enter the wondrous realm. / Floating life vexed in vain on hesitant roads, / Worldly affairs are just like scattered chess pieces. / Wind and rain, yearning for home a thousand leagues away, / Streams and mountains send off the guest, one staff moves slowly. / Do not forget the earnest promises of former days, / Wishing to speak my heart, I offer another poem."

Leaving such affectionate friends behind and returning, just the two of us, was unspeakably sad. In truth, it was something that couldn't be helped. Mr. Ch' T'ae and I, repeatedly discussing the circumstances of our compatriots living in the area, dragged our weary legs and walked back endlessly. I read the poems they gave me once, then recited them again, and at one point, responded in verse like this: "Partings in this floating life are surely timeless, / Sometimes ordinary, sometimes extraordinary. / Worldly affairs leave only a three-foot sword, / Human hearts, alas, are like a chessboard. / Mountain ice begins to thaw, the stream's sound grows loud, / Shore <92> willows just unfurling, the sun's shadow lingers. / Spring snow falling thick on the Southern Manchurian road, / Enduring hardship and exhaustion, I recite your poems."

After a week, we entered Jilin Castle again. The scattered and tedious suffering on the road vanished as if wiped away when I recalled the situation of our compatriots in Southern Manchuria; this alone was a great fortune. However, in reality, my temporary suffering was merely conquered by a longer-lasting suffering. I shed countless tears for our compatriots drifting in the Southern Manchuria region, and sometimes I wanted to kick it all away, thinking, "Are these all our compatriots!" But my heart grew even sadder. I know this was the destination for those who, unable to bear the persecution of aggressive capitalism, left supporting the old and carrying the young, men carrying loads and women bearing burdens on their heads, heading towards a distant foreign land. In fact, their expectations were not baseless. The landscape, climate, geology—everything is suitable for farming. With exactly the same capital and labor consumed inland, they could obtain two or three times the harvest. But strangely, pressed by the influence of the Chinese, pushed by the prevailing conditions, they don't know what to do and suffer day and night. Rice does not enter their mouths. Even cotton clothes are too much for their bodies. Several households take shelter in a single rented room of a Chinese house. These are our compatriots whom we used to see morning and evening along the Kyŏngbu and Kyŏngŭi railway lines, carrying a lifetime of resentment and anger in their hearts, listlessly driven out!

What I have described above are the miserable conditions arising solely from economic destitution. Even more frightening are the unstable circumstances—all the mental anguish, agony, melancholy, etc.—arising from intellectual destitution (思想荒), which evokes the feeling of sailors unable to distinguish east from west on a vast ocean. Storms and angry waves surround them on all sides. They are buried in dark terror. However, there is one very strange thing: deep within their unstable psychology lies a common enemy. I believe that the flashing light amidst the heated struggle against this enemy will become the guiding principle revealing their future path. Here, I hope that everyone will abandon their established prejudices (fragments of ideology) and create a kind of central ideology.

It is said that barely twenty years have passed since our compatriots came to the Southern Manchuria region. Therefore, it is natural that there is much inferiority compared to Northern Manchuria or the Russian territories. Also, originally coming empty-handed (赤手空拳), it is an unavoidable fact that finding a foothold is difficult. However, falling into such a scattered and unstable state is truly depressing and infuriating. Here, we realize the need to reflect on the shortcomings within ourselves. <93> It's an old saying, but briefly considering the words "A man must insult himself before others will insult him" (人必自侮而後人侮之) might not be unhelpful. What are our own shortcomings? I want to answer like this:

First is the lack of real strength (實力缺乏) in each individual. As people without their own capital or common sense suddenly come into contact with a different ethnicity whose language and customs are vastly different, it is quite unavoidable that they initially suffer contempt and loss. Therefore, even for those with some capital who have leased land from Chinese people for a fixed term, there are numerous abuses where the landlord arbitrarily increases the rent unreasonably within the contract period. If one does not comply, there are cases where the land is simply taken away. Because homes, farms, etc., are thus unstable, one can see the scene of yearly wandering. Consequently, it is no exaggeration to say that the year's income is entirely spent on moving expenses. Thus, the miserable suffering of the following year cannot be avoided.

Second is the deficiency in social life. Our farmers are generally scattered, one house per ten ri, another per fifty ri, perhaps another per hundred ri, thus living separately and unable to find opportunities for mutual love and assistance. Because of this, their views become narrow-minded and they are ignorant of affairs, naturally becoming unable to resist the侵害 (infringement) of those heartless Chinese. Such misfortunes eventually cause even their own descendants to encounter the same tragic fate, making them serve as agricultural serfs to the Chinese forever. This is because there is no way to provide them with adequate social education.

Besides these two, there is one more major deficiency: the lack of national support. For a people without this, trying to make a living in a foreign country entails indescribable resentment and pain. Our lives and property depend entirely on each of us protecting ourselves; there is no other way. This is the greatest deficiency preventing us from planning for development equal to that of the Chinese people. So, what should be done to live well? This becomes the next issue for discussion.

First, let as many people as possible pool their capital (合資) to purchase land (土地買收). No matter how little money they have, those arriving for the first time usually bring at least one or two hundred won. However, among them, not a few fail by starting ventures here and there without careful consideration. Therefore, as many people as possible should pool their capital to purchase suitable land for collective farming (共同耕作), and on the other hand, devise measures to relieve compatriots who wander yearly due to lack of funds.

Second, let us strive for model facilities (模範的 施設). If what was mentioned above <94> comes to pass, a village (部落) will naturally form. A new village (新村) for Korean people will be built. Here, we can manage an autonomous life (自治的 生活), and consequently, in education, industry, and everything else, we can serve as a model for the Chinese people to emulate. Here, through appropriate negotiations (交涉) with Chinese officials, we can obtain guarantees for survival (such as defense against bandits, 防禦土匪). Thus, we should strive to promote our Korean civilization (朝鮮의 文明). This, I believe, is the urgent task to defend against external insults on one hand, and plan for self-prosperity (自榮) on the other.

Following this, what I referred to as the greatest deficiency can also be overcome without difficulty. This will be achieved when, in planning all such endeavors, we do not forget the intention to fiercely struggle with that common thing hidden deep within our frustrated and anguished hearts, as mentioned above. Thus, the will to fight becomes strategy, strategy becomes action—it is when we advance like this. This also speaks to the need for training and testing in our common central ideology (中心思想).

Having witnessed the situation of our compatriots living in Southern Manchuria, I could not bear it and hastily penned these few rough words, begging the consideration of our compatriots residing there, and at the same time, writing this piece in the hope that it sparks distant thoughts among those involved in the rural movement (農村運動) in the homeland. <95>

**Summary**

The author, writing under the pseudonym ㅅㅅ生, recounts a journey to Southern Manchuria in 1924, five years after a previous visit. He contrasts the initial hope associated with the region with the harsh reality faced by Korean immigrants. He details their economic struggles due to lack of capital, dispersal, exploitation by Chinese landlords, and lack of social cohesion or state protection. He also notes a "spiritual destitution" but sees a potential unifying force in their shared struggle against a common enemy. The author proposes solutions: collective land purchase and farming, establishing model Korean villages with autonomous structures (education, industry) to serve as examples and negotiate better terms with Chinese authorities, and fostering a unifying "central ideology." Historically, the article provides a valuable firsthand account of the dire conditions faced by early Korean migrants in Manchuria under Japanese colonial rule, highlighting their vulnerability, the push factors from Korea (economic hardship, likely colonial policies), and early attempts at self-organization and community building in diaspora. It reflects the intersection of nationalism, economic survival, and ideological searching among Koreans abroad during this period.

**Named Entities**

南滿	남만	Southern Manchuria
西非利亞	서비리아	Siberia
吉林	길림	Jilin
盤石縣	반석현	Pansŏk County
蛤蟆河子	합마하자	Hamahatzŭ
呼蘭集廠子	호란집창자	Horanjipch'angja
夢湖	몽호	Mongho
ㅊㅌ	ㅊㅌ	Ch' T'ae (initials/name)
洪○○	홍○○	Hong XX
ㅅㅅ生	ㅅㅅ생	S S Saeng (Author's pseudonym)
林庄	임장	Imjang
金應植	김응식	Kim Ŭngsik
洪永植	홍영식	Hong Yŏngsik
金應植 氏 夫人	김응식 씨 부인	Mrs. Kim Ŭngsik
東邱	동구	Tonggu
渤海	발해	Bohai Sea
遼海	요해	Liao Sea
京釜線	경부선	Kyŏngbu Line
京義線	경의선	Kyŏngŭi Line
中國	중국	China/Chinese

**Glossary**

同胞	동포	Compatriots; fellow countrymen
企望	기망	Hope; expectation (older form/usage)
遊歷	유력	Travel; tour
怪異	괴이	Strange; bizarre
世事	세사	Worldly affairs
人心	인심	People's hearts; public sentiment
變遷 流轉	변천 유전	Change and flow; transition
風慶	풍경	Scenery; landscape (likely meant 'windy conditions' or 'atmosphere' here contextually)
常到	상도	Arrive at; reach
經綸	경륜	Experience; plans; statesmanship
作伴	작반	Accompany; keep company
方面	방면	Direction; area
萬地群生	만지군생	All living beings on earth
임업시	끊임없이	Endlessly; unceasingly (older spelling)
어름	얼음	Ice (older spelling)
四澤	사택	Marshes; wetlands
한울	하늘	Sky (older spelling/dialect)
싯처지나는데	씻겨 지나는데	Washes past; brushes past (older spelling/form)
馬蹄	마제	Horse's hoof
車轍	차철	Cart tracks; wheel ruts
跋涉	발섭	Trudge; trek
自決	자결	Self-determination; deciding for oneself
허우적거리는 것	허우적거리는 것	Struggling; flailing
未開明	미개명	Unenlightened; uncivilized
成績	성적	Result; achievement
부르트고	부르트고	Become blistered
氣脉	기맥	Energy; vitality
붓드러	붙들어	Hold onto; persuade (older spelling)
一節	일절	A verse; a passage
遺憾	유감	Regret
和한	화한	Responded in kind (usually with a poem)
綴字	철자	Stringing together characters; spelling (used humbly for 'writing')
當年	당년	Those days; that year
後日	후일	Future days; later
殘雪	잔설	Remaining snow
俗塵	속진	Worldly dust; mundane affairs
憑	빙	Rely on; depend on
主人翁	주인옹	Master; central figure
歡呼趣飮	환호취음	Joyful shouts and pleasant drinking
義網	의망	Web of righteousness/justice
運命	운명	Fate; destiny
甲子春	갑자춘	Spring of the Kapcha (Jiazi) year (1924)
天心	천심	Heaven's will; divine heart
燕雲	연운	Yan clouds (referencing the Yan region of China)
屠龍客	도룡객	Dragon-slaying guest (allusion to a hero or capable person)
渤海	발해	Bohai Sea
捫虱人	문슬인	Louse-catching man (allusion to Wang Meng, a capable statesman found in humble circumstances)
溪破殘永	계파잔영	Stream breaks the lingering ice (永 likely means 冰 'ice' here)
釰筑	일축	Sword and zhu (a stringed instrument); representing martial and civil arts/moods
埃塵	애진	Dust and dirt; grime
實力	실력	Real strength; actual power
眞因	진인	True cause
眞摯	진지	Sincere; earnest
熱烈	열렬	Ardent; fervent
慈詳	자상	Gentle; considerate; kind (older form of 자상하다)
안탑가워하는	안타까워하는	Feeling sorry for; worrying about (older spelling)
誠意	성의	Sincerity
流露	유로	Emanation; outflow; expression
心身	심신	Mind and body
이어	이끌어	Leading; guiding (older spelling)
笻𡱪	공공	Walking staff (likely duplicated character for emphasis or style)
聯翩	연翩	Side-by-side; together
令胤	영윤	Son (honorific)
尺釰	척일	One-foot sword (short sword, symbolizing perhaps resolve or limited means)
牀棋	상기	Chess played by the bed/couch
澄淸	징청	Clear and pure
圓會	원회	Round meeting; reunion
韻	운	Rhyme
深謀	심모	Deep plans; profound strategy
神奇	신기	Wondrous; marvelous; miraculous
浮生	부생	Floating life; transient existence
蹰躇	주저	Hesitation
宛如	완여	Just like; as if
錯落	착락	Scattered; disordered
懷鄕	회향	Yearning for home
慇懃	은근	Earnest; cordial; diligent
散漫無聊	산만무료	Scattered and tedious; aimless and boring
情景	정경	Situation; circumstances; scene
征服	정복	Conquer; subjugate
漂流	표류	Drifting; wandering
爲하야	위하여	For the sake of (older spelling)
侵略的 資本主義	침략적 자본주의	Aggressive capitalism
迫害	박해	Persecution
扶老携幼	부로휴유	Supporting the old and carrying the young (idiom for migration with family)
男負女戴	남부여대	Men carrying loads on their back, women on their heads (idiom for hardship/migration)
萬里異域	만리이역	Foreign land ten thousand leagues away; distant foreign land
豫想	예상	Expectation; anticipation
虛妄	허망	Baseless; false; vain
山水	산수	Landscape; mountains and water
氣候	기후	Climate
地質	지질	Geology
農作	농작	Farming; agriculture
適宜	적의	Suitable; appropriate
內地	내지	Inland; refers to Korea proper here
勞力	노력	Labor; effort
收穫	수확	Harvest; yield
勢力	세력	Influence; power
氣運	기운	Prevailing conditions; atmosphere; spirit of the times
苦生	고생	Hardship; suffering
발나맛는다	발라맞는다	Fits well; is appropriate (here implying even basic clothes are too much luxury)
捿息	서식	Inhabit; reside; take shelter
京釜線	경부선	Kyŏngbu Line (Seoul-Busan railway)
京義線	경의선	Kyŏngŭi Line (Seoul-Sinuiju railway)
沿邊	연변	Along the side; border area
怨恨忿怒	원한분노	Resentment and anger
思想荒	사상황	Intellectual destitution; poverty of thought
精神的	정신적	Mental; spiritual
懊惱	오뇌	Anguish; distress
苦悶	고민	Agony; worry
憂鬱	우울	Melancholy; depression
不安定	불안정	Unstable
茫漠	망막	Vast; boundless
未辨	미변	Unable to distinguish
水夫	수부	Sailor
四圍	사위	Surroundings; on all sides
暴風怒濤	폭풍노도	Violent wind and angry waves; storm
黑暗	흑암	Darkness
恐怖	공포	Terror; fear
奧底	오저	Depths; bottom
共通	공통	Common
敵	적	Enemy
熱鬪奮鬪	열투분투	Heated struggle; fierce fight
번이는	번쩍이는	Flashing; glittering (older spelling)
光明	광명	Light; brightness
前途	전도	Future path; prospects
啓示	계시	Revelation; guidance
指針	지침	Guiding principle; compass needle
各自	각자	Each person; individual
旣成	기성	Established; existing
偏見	편견	Prejudice; bias
中心思想	중심사상	Central ideology; core thought
俄領	아령	Russian territory
遜色	손색	Inferiority; being overshadowed
赤手空拳	적수공권	Bare-handed and empty-fisted; starting with nothing
接足	접족	Finding a foothold; establishing oneself
抑鬱	억울	Depression; feeling oppressed
忿恨	분한	Resentment; indignation
反省	반성	Reflection; introspection
缺陷	결함	Defect; shortcoming; deficiency
人必自侮而後人侮之	인필자모이후인모지	A man must insult himself before others will insult him (Classical Chinese quote)
無益	무익	Useless; unhelpful
對答	대답	Answer; reply
첫제	첫째	First (older form)
個體	개체	Individual
缺乏	결핍	Lack; deficiency
常識	상식	Common sense; general knowledge
逈殊	형수	Vastly different
異族	이족	Different ethnicity/race
接觸	접촉	Contact
欺侮	기모	Contempt; scorn; insult; bullying
損害	손해	Damage; loss
受할	수할	Receive; suffer (older grammatical form)
定期租得	정기조득	Lease for a fixed term
任意	임의	Arbitrarily
地租	지조	Land rent
增加	증가	Increase
弊	폐	Abuse; malpractice
不少	불소	Not few; numerous
諾從	낙종	Comply; assent
앗기는	빼앗기는	Be taken away; be snatched (older spelling)
家屋	가옥	House
農場	농장	Farm
一定	일정	Fixed; certain; stable
流離	유리	Wandering; displacement
所得	소득	Income; earnings
移運	이운	Moving; relocating
費用	비용	Expense; cost
쓰러넛코만다	쓰러넣고 만다	End up pouring into; spend entirely on (older spelling)
翌年	익년	Following year
慘苦	참고	Miserable suffering; wretched hardship
둘재	둘째	Second (older form)
社會的 生活	사회적 생활	Social life
農民	농민	Farmer; peasant
大槪	대개	Generally; mostly
各散分離	각산분리	Scattered and separated
相愛互助	상애호조	Mutual love and assistance
機綠	기록	Opportunity (likely a typo for 機會 기회)
識見	식견	Knowledge and views; insight
固陋	고루	Narrow-minded; conservative
事理	사리	Reason; logic; state of affairs
暗昧	암매	Ignorant; dim; obscure
無情	무정	Heartless; cruel
侵害	침해	Infringement; violation; encroachment
抵禦	저어	Resist; defend against
不祥	불상	Misfortune; ominous event
乃至	내지	Even to the extent of; down to
子孫	자손	Descendants
同一	동일	Same
悲運	비운	Tragic fate; misfortune
遭遇	조우	Encounter
農奴	농노	Agricultural serf
相當	상당	Suitable; adequate; proper
施	시	Implement; bestow; provide
닭이다	까닭이다	It is the reason (older spelling)
國家的 後援	국가적 후원	National support; state backing
圖謀	도모	Plan; seek; attempt
形言	형언	Describe in words
怨痛	원통	Resentment and pain; grievance
라단닌다	따라다닌다	Follows around (older spelling)
生命	생명	Life
財産	재산	Property; assets
自保自護	자보자호	Self-preservation and self-protection
道理	도리	Way; method; means
均等	균등	Equal
發展	발전	Development
策	책	Plan; strategize
엇더케하여야	어떻게 하여야	How should one...? (older spelling)
次第	차제	Order; sequence; next step
討論	토론	Discussion; debate
될수잇는대로	될 수 있는 대로	As much as possible (older spelling)
合資	합자	Pool capital; joint investment
買收	매수	Purchase; buy up
考察	고찰	Consideration; examination
着手	착수	Start; commence; embark on
共同耕作	공동경작	Collective farming; joint cultivation
一面	일면	On one hand; one aspect
救濟	구제	Relief; aid; succor
講	강	Devise; lecture; consider
模範的 施設	모범적 시설	Model facilities/institutions
部落	부락	Village; settlement (can have negative connotations in modern Korean, but used neutrally here)
建設	건설	Construction; building
自治的 生活	자치적 생활	Autonomous life; self-governing life
營爲	영위	Manage; carry on; lead (a life)
敎育	교육	Education
産業	산업	Industry
模範	모범	Model; example
官憲	관헌	Government official; authorities
交涉	교섭	Negotiation; dealings
生存	생존	Survival; existence
保障	보장	Guarantee; security
防禦土匪	방어토비	Defense against bandits
朝鮮	조선	Korea
文明	문명	Civilization
發揚	발양	Promote; enhance; display
外侮	외모	External insults; foreign contempt
