**Header Section:**
Magazine Title: 삼천리
Publication Date: 1940-12-01
Article Title: 三國同盟의 史的回顧 (A Historical Retrospective of the Tripartite Pact)
Author: 法學博士 米田實 (Yoneda Minoru, Doctor of Law)
Article Type: 논설 (Editorial/Essay)

**Body Text Translation:**
A Historical Retrospective of the Tripartite Pact
						Yoneda Minoru, Doctor of Law

1
The Japan-Germany-Italy Tripartite Pact has been formed. This not only marks a major turning point in Japanese diplomacy but also casts a significant influence on the future of the Pacific, and indeed, the wider world. Here, I intend to provide a historical retrospective leading up to this point.
To speak first of the approach between Japan and Germany, its beginning was the Japan-Germany Anti-Comintern Pact of November 25, Shōwa 11 (1936). This not only concerned anti-communism but also vaguely fostered an atmosphere of Japan-Germany friendship.
The Japan-Italy-Germany Anti-Comintern Pact of November 6, Shōwa 12 (1937) also added national resonance beyond just anti-communism. This stemmed from the fact that Japan and Italy, despite being on the victorious side, were mistreated at the Versailles Peace Conference (Japan at the Washington Conference) and, like the defeated nation Germany, shared a common consciousness as "dissatisfied nations," "have-not nations."
Then, the China Incident (支那事變) provided an opportunity to double this closeness. This was not merely about things like the goodwill shown in the attempted mediation of Japan-China negotiations by the German Ambassador to China, Trautmann, at the end of Shōwa 12 (1937), resulting from the great resolute gift of Hitler's speeches. No, I am not pointing to such things.
First, in February of Shōwa 13 (1938), President Hitler carried out a major overhaul of the German diplomatic apparatus, creating a Privy Council primarily for consultation on political matters, including diplomacy, seating former Foreign Minister Baron von Neurath (이노-라도男작) as its President, appointing Mr. Ribbentrop (린펜토롭씨), who had concluded the Anti-Comintern Pact with Japan, as the new Foreign Minister, and making other personnel changes in foreign affairs. Traditionally, within the German Foreign Ministry in recent years, there were individuals who had strived for the development of trade with China. Even with the Japan-Germany cooperation, they did not want to weaken the promising China trade because of it. Considering that Germany, which accounted for only 6.7% of China's import trade in Shōwa 7 (1932), achieved an astonishing leap to 16% by Shōwa 10 (1935) and 16 rin (厘 - likely 16%) by Shōwa 12 (1937), it is understandable that German diplomats thought of this as their own achievement, and their hesitation (逡巡) was not unreasonable. Certain bureau chiefs (OO局長) even publicly declared, "This China Incident has nothing to do with the Japan-Germany Anti-Comintern Pact." However, the February reforms markedly turned German diplomats pro-Japanese.

2
Second, President Hitler, having made his pro-Japanese decision, decisively carried out the withdrawal (引揚) of Falkenhausen (할켄젠) and dozens of other German military advisors in June of Shōwa 13 (1938).<94>
This was something quite difficult to do considering personal connections and obligations (情實上). Why? Because that advisory group, ever since the Nanjing Nationalist Government (南京國民政府) was formed around Shōwa 5 (1930), had been led by the famous General Seeckt (젝트將軍), associated with Mackensen's (맛켄젠) military legacy, and had a background and sense of duty (의리) in building up China's military preparedness (軍備). After that, the goodwill shown by the recognition of Manchukuo (滿洲國) through the Germany-Manchukuo Friendship Treaty (獨滿修好條約) on May 12, Shōwa 13 (1938), also cannot be overlooked.

3
Turning to Italy, its pro-Japanese stance was fully expressed (유감없이 표명되었든) at the Brussels Nine-Power Treaty Conference (부랏셀 9國條約會議) in November of Shōwa 12 (1937), where the Italian representative Count Aldrovandi Marescotti (알토伯) fought a lone battle (孤軍奮鬪한) to support Japan's position. Also, regarding the recognition of Manchukuo, although their relatively weak relationship with China might have made it easier to act, they were the very first to carry this out, on November 29, Shōwa 12 (1937). That since the Japan-Manchukuo-Italy Trade Agreement (日滿伊通商協定) of July Shōwa 13 (1938), various treaties followed, and similarly (同檥 - likely 同樣) to the German press, everything in Italy consistently shifted in Japan's favor, is something that hardly needs pointing out anew now.

4
However, last year in August, the German-Soviet Non-Aggression Pact (獨蘇不可侵協定) and the handshake (握手) during the Poland Campaign (波蘭戰) were so sudden and unexpected that they reversed the atmosphere of friendship (親和空氣). But on the other hand (그러는 한 便), as it became clear (판명되여) that Germany had unavoidable circumstances (부득이한 일인 사정) at the outbreak of war (開戰에 際하야), and furthermore (他方), as the assertion (주장) of a New Order (新秩序) in Europe aligned with our country's (我國 - Japan's) position regarding the New Order in the Far East (極東), the friendship was promoted again, and it can only be called natural that it finally progressed to a Tripartite Alliance due to the dual circumstances of the European War and the development of the situation (時局發展) in the Far East.

5
However, had it not been for the unceasing (不斷의) and persistent (至病한) provocations (刺激) by Britain and the United States (米國), it likely would not have progressed this far.
Britain (英), experienced from the May 30th Incident (5·30事件) of Taishō 14 (1925), the Guangdong Shameen Incident (廣東沙面事件), and the Hong Kong Boycott incident (香港뽀이곳사건), and then seeing its dispatch of 15,000 troops neutralized (無能力化하였슴으로) when the Hamaguchi Cabinet (濱口內閣) rejected Britain's recommendation (勸議) for intervention in Shanghai in January of Shōwa 2 (1927), consequently adopted the Chiang Kai-shek (蔣介石) "watchdog policy" (番犬策). By supporting (가르켜 - lit. pointing to) the reform of the silver nationalization currency system (銀國有弊制度改革), it gave [China] ample confidence (十分한 自信) regarding its anti-Japanese policy and military preparations. This is known to the world (世人所知). Without this "aroused confidence" (興하여진 自信), the China Incident would not have broken out (勃發치 않었슬 것이다).
Of course, even if Britain offered the excuse (辯解) that its objective (目標) was investment protection (投資保護) and not aimed at excluding Japan, the result was the same. Moreover (더구나), since the China Incident, Britain has clearly aided Chiang's anti-Japanese resistance. The US (米), while monopolizing vast resources (富源) for itself (스사로), persistently tries to keep others (他) in a poor (빈약한) position, and thus resorted to the aggressive policy (侵策) of providing loans to aid Chiang (援蔣融資) to keep Japan entangled in the China Incident for a long time.

6
Thus, it would be rather unexpected if the Tripartite Pact had not been born under these circumstances (형편이 있다). From now on, in practical diplomacy, the people must earnestly support the newly established Tripartite Pact and strive to pioneer the nation's destiny (國運).<95>

**Summary**

This 1940 article by Japanese legal scholar Yoneda Minoru, published in the Korean magazine *Samch'ŏlli*, presents a historical justification for the Tripartite Pact between Japan, Germany, and Italy. It traces the growing closeness between Japan and Germany since the Anti-Comintern Pact of 1936, highlighting Germany's policy shift towards Japan (including withdrawing military advisors from China and recognizing Manchukuo) and Italy's consistent support (Brussels Conference, Manchukuo recognition). The author argues the pact was a natural development resulting from shared grievances as "have-not" nations, the alignment of their "New Order" visions for Europe and East Asia, and especially as a necessary response to the "persistent provocations" of Britain and the United States, whom he accuses of deliberately prolonging the Sino-Japanese War to hinder Japan. The article concludes by urging popular support for the pact to advance Japan's national destiny.

From a historical perspective, the article is revealing as propaganda published in colonial Korea, penned by a Japanese author, aiming to persuade the Korean readership of the righteousness and inevitability of Japan's alliance with Nazi Germany and Fascist Italy. It reflects the official Japanese narrative blaming Britain and the US for conflict in Asia and framing the Axis powers as revisionist forces fighting for a justified "New Order" against established, "possessing" powers. Historians might find the specific arguments used (e.g., framing German policy shifts, accusing UK/US of specific anti-Japanese actions like supporting China's currency reform) and the act of publishing such a piece in a Korean magazine significant for understanding Japanese wartime propaganda efforts and the political climate in colonial Korea.

**Named Entities**

日獨伊	일독이	Japan-Germany-Italy
日本	일본	Japan
獨逸	독일	Germany
伊太利	이태리	Italy
太平洋	태평양	Pacific Ocean
昭和	쇼와	Shōwa era
日獨防共協定	일독방공협정	Japan-Germany Anti-Comintern Pact
華盛頓會議	화성돈회의	Washington Conference
支那事變	지나사변	China Incident (Second Sino-Japanese War)
힛틀러	히틀러	Hitler
라우트맨	라우트만	Trautmann
이노-라도男작	노이라트 남작	Baron von Neurath
린펜토롭	리벤트로프	Ribbentrop
支那	지나	China
할켄젠	팔켄하우젠	Falkenhausen
南京國民政府	난징국민정부	Nanjing Nationalist Government
맛켄젠	마켄젠	Mackensen
젝트將軍	젝트 장군	General Seeckt
獨滿修好條約	독만수호조약	Germany-Manchukuo Friendship Treaty
滿洲國	만주국	Manchukuo
부랏셀 9國條約會議	브뤼셀 9개국조약회의	Brussels Nine-Power Treaty Conference
알토伯	알드로반디 마레스코티 백작	Count Aldrovandi Marescotti
日滿伊通商協定	일만이통상협정	Japan-Manchukuo-Italy Trade Agreement
獨蘇不可侵協定	독소불가침협정	German-Soviet Non-Aggression Pact
波蘭戰	파란전	Poland Campaign
歐羅巴	유로파	Europe
極東	극동	Far East
米國	미국	United States
英	영	Britain
大正	다이쇼	Taishō era
5·30事件	5·30 사건	May 30th Incident
廣東沙面事件	광동사면사건	Guangdong Shameen Incident
香港뽀이곳사건	홍콩 보이콧 사건	Hong Kong Boycott Incident
濱口內閣	하마구치 내각	Hamaguchi Cabinet
上海	상하이	Shanghai
蔣介石	장제스	Chiang Kai-shek

**Glossary**

劃하었슬	획하였을	Marked, delineated (older spelling/form of 획하다 + -었을)
널니	널리	Widely (older spelling)
되여진	되어진	Became (older passive form of 되다)
虐待되여	학대되어	Being mistreated (Hanja + older passive form)
있슴에서이다	있음에서이다	It is because there was (older spelling/nominalization)
지었다	지었다	Made, created (standard past tense, but context implies 'gave rise to')
賜物	사물	Gift, blessing (Hanja term)
가르침이 아니라	가리킴이 아니라	It is not pointing to (older spelling of 가리키다)
總統	총통	President / Führer (Hanja term)
단행하고	단행하고	Carried out decisively (Hanja verb)
由來	유래	Originally, traditionally (Hanja term)
題携하였다	제휴하였다	Cooperated, allied (Hanja verb, older form 제휴하다?)
僅히	근히	Merely, only (Hanja adverb)
厘	리	Rin (unit, 0.1%) or small fraction (Hanja character)
占하지 못했든	점하지 못했던	Did not occupy/account for (older spelling/form of 점하다 + 못했다)
割	할	Unit of ten percent (Hanja character)
약진	약진	Rapid advance, leap forward (Hanja term)
逡巡	준순	Hesitation (Hanja term)
무리가 아니다	무리가 아니다	Not unreasonable
공언까지 하였든	공언까지 하였던	Even publicly declared (older spelling/form)
引揚	인양	Withdrawal, repatriation (Hanja term, common in Japanese context)
情實上	정실상	Considering personal feelings/connections, in reality (Hanja term)
었재 그러냐 하면	어째 그러냐 하면	Why is that? Because... (older spelling/colloquial form)
顧問團	고문단	Advisory group (Hanja term)
벌서	벌써	Already (older spelling)
軍備	군비	Military preparations (Hanja term)
의리	의리	Loyalty, obligation, righteousness (Hanja term)
修好條約	수호조약	Treaty of Friendship (Hanja term)
승인	승인	Recognition, approval (Hanja term)
헤이지 않을 수 없다	헤아리지 않을 수 없다	Cannot but consider/count (older spelling of 헤아리다)
이르러선	이르러서는	As for... / When it comes to... (particle attached to verb stem)
유감없이	유감없이	Without reservation, fully
표명되었든	표명되었던	Was expressed (older spelling/form)
孤軍奮鬪한	고군분투한	Fought alone against odds (Hanja phrase + -한)
박약함으로	박약함으로	Due to being weak/scant (Hanja adj + -ㅁ으로)
움지기기	움직이기	To move (older spelling)
좋흔	좋은	Good (older spelling)
있섰겠스나	있었겠으나	Although there might have been (older spelling/form)
단행할 것이다	단행한 것이다	Carried it out (Likely past tense intended despite future form)
以降	이강	Since, hereafter (Hanja term)
諸條約	제조약	Various treaties (Hanja term)
同檥	동양	Similarly (Typo for 同樣/동양)
시종	시종	Consistently, from beginning to end (Hanja term)
새삼스럽게	새삼스럽게	Anew, once again
작년	작년	Last year
不可侵協定	불가침협정	Non-aggression pact (Hanja term)
握手	악수	Handshake (Hanja term)
돌연이 있고	돌연히 있었고	Was sudden (older adverbial form + 있다)
예상 외이었슴으로	예상 외이었음으로	Because it was unexpected (older spelling/nominalization)
親和空氣	친화공기	Atmosphere of friendship/harmony (Hanja term)
역전하였든	역전하였던	Reversed (older spelling/form)
開戰에 際하야	개전에 제하여	At the outbreak of war (Hanja term + older particle usage)
부득이한	부득이한	Unavoidable, inevitable (Hanja term)
판명되여	판명되어	Became clear (Hanja verb + older passive form)
他方	타방	On the other hand, meanwhile (Hanja term)
新秩序	신질서	New Order (Hanja term)
我國	아국	Our country (referring to Japan) (Hanja term)
끗끗내	끝끝내	Finally, in the end (older spelling)
時局發展	시국발전	Development of the current situation (Hanja term)
兩事情	양사정	Both circumstances (Hanja term)
不斷의	부단의	Unceasing, constant (Hanja term + 의)
至病한	지병한	Persistent, troublesome (seems like unusual usage or typo for 至癖; translated contextually)
없섰더면	없었더라면	If there hadn't been (older spelling/form)
보지 못하었스리라	보지 못하였으리라	Would likely not have seen (older spelling/form)
經驗	경험	Experience (Hanja term)
出兵	출병	Dispatch of troops (Hanja term)
勸議	권의	Recommendation, advice (Hanja term)
無能力化하였슴으로	무능력화하였음으로	Because it neutralized/incapacitated (Hanja term + older spelling/nominalization)
番犬策	번견책	Watchdog policy (Hanja term)
採用되어	채용되어	Was adopted (Hanja verb + older passive form)
銀國有弊制度改革	은 국유 폐 제도 개혁	Silver nationalization currency system reform
가르켜	가리켜	Pointing to, indicating (here meaning enabling/supporting) (older spelling)
抗日政策軍備上	항일정책 군비상	Regarding anti-Japanese policy military preparations
與한	여한	Gave, bestowed (Hanja character + -한)
世人所知	세인소지	Known by the people of the world (Hanja phrase)
興하여진	흥하여진	Aroused, stimulated (older passive form)
勃發치 않었슬 것이다	발발치 않았을 것이다	Would not have broken out (older spelling/form)
辯解	변해	Excuse, explanation (Hanja term)
더구나	더구나	Moreover, furthermore
명백히	명백히	Clearly, overtly
원조하여온	원조하여 온	Has been aiding
스사로	스스로	By oneself, itself (older spelling)
富源	부원	Resources (Hanja term)
있스면서도	있으면서도	Even while having (older spelling)
他	타	Others (Hanja character)
빈약한	빈약한	Poor, meager
援蔣融資	원장융자	Loans to aid Chiang (Kai-shek) (Hanja term)
엉키어 잇도록	엉기어 있도록	To be entangled in (older spelling of 엉기다 and 있다)
侵策	침책	Aggressive policy/plot (Abbreviation of 侵略策)
모름직히	모름지기	Must, should, by all means (older spelling)
國運	국운	National destiny/fortune (Hanja term)
개척	개척	Pioneering, developing (Hanja term)
하노라	하노라	Archaic/formal sentence ending indicating speaker's statement or resolve


---------------------------


잡지명	삼천리 제12권 제10호
발행일	1940년 12월 01일
기사제목	三國同盟의 史的回顧
필자	法學博士 米田實
