Magazine Title: 삼천리 제12권 제10호
Publication Date: 1940년 12월 01일
Article Title: 一千 兵士의 「수풀」 (A "Thicket" of 1,000 Soldiers)
Author: 金東煥 (Kim Tonghwan)
Article Type: 시 (Poem)

A "Thicket" of 1,000 Soldiers
						Kim Tonghwan

On October 12th, late autumn, our Writers' Association (文人協會) party of 38, together with Staff Officer Kaba (蒲) of the Army Command, visited the Volunteer Soldier Training Center in the Yangju fields outside Seoul's East Gate (東大門). Guided by Colonel Haida (海田), we spent a day with those 1,000 brave and pure-hearted warriors and returned to sing this song.

Beloved soldiers!
As the flock of sparrows that roosted overnight in the dew-drenched dawn forest
Chirps joyfully towards the morning sun and takes flight,
Our thousand young warriors, too, awaken from sweet dreams of home,
Run out onto the cleanly swept plaza, and with clear and reverent hearts,
Bow deeply in worship towards the distant East (東方), then sing the National Anthem loudly.
The Rising Sun flag (日章旗) flutters, flutters in the dawn breeze, the rousing sound of the military anthem (軍歌) <221>
True loyalty (忠誠) and high patriotic passion (愛國의 情熱) boil up within;
O light, O life, O joy, may you always be with our thousand warriors.

Beloved soldiers!
In the wide fields of the 400 provinces where the barley harvest ripens, aren't your predecessors
Now fighting, shouldering our honor (名譽) and trust (信賴)?
Among them, have not two already become "Loyal Spirits Protecting the Nation" (護國의 忠魂),
Lying silently within the Yasukuni Shrine (靖國神社) sanctuary (神殿)?
Still, the fires of war (戰火) in East Asia, reaching nearly four years, show no sign of ending,
And millions of comrades-in-arms (僚友) fight fiercely in trenches (塹壕) and among artillery (砲疊);
Hurry, you too, finish your training (操練), go forth and beat the war drum (軍鼔), go forth and blow the trumpet.

Beloved soldiers!
Did you come from the banks of the Tuman River (豆滿江), where you broke the ice on the river to catch and eat carp?
Or else, did you come from Halla Mountain (漢拏山) on Cheju Island (濟州島), where you rode horses through reed fields?
Whether your home is the Northern region (北關) or the Southern region (南關), I will not ask again,
And whether you are a boatman's (사공) son or a farmer's (농군) younger brother, I will also not ask what you used to do; <222>
I only intend to remember that from today, your name is solely 'son of this nation'.
A true man (大丈夫) now stands among the multitude (萬人 座中), shouldering the nation's destiny (運命);
How could you not exert all your bravery (용맹)? How could you not exert all your loyalty (忠誠)?
If only I were ten years younger, I too would have wanted to mix among you and receive training.

Beloved soldiers!
Like the tide rushing into the wide sea, front waves overtaken by rear waves, this wave entangled with that wave,
Pulling each other along, maintain firm unity (團結).
And like flocks of autumn clouds that gather piece by piece in the clear sky, become a rain shower,
Then retreat leaving not a speck of dust behind, be clean in your advance and retreat (進退).
Offer your life to the sovereign (임군), offer your body to the nation.
Where the united, strong spirit (氣魄) of a thousand reaches, injustice (不義) shall retreat.
And in the future, do not wish for your individual names to remain;
Only as "The 1,000 Volunteer Soldiers"! Shine thus, upon monuments (碑石), upon history (歷史),
And also within the hearts of us, the one hundred million people (一億 國民).
Today, looking up at that thicket where you reside in the wide Yangju fields, I return overflowing with deep emotion (感激) and joy. <223>

**Summary**

This poem by Kim Tonghwan, published in December 1940, describes a visit by members of the Korean Writers' Association to a training camp for Korean volunteer soldiers serving the Japanese Empire. The poem exhorts these thousand soldiers to embrace their training, forget their regional origins and past lives, and dedicate themselves wholly to fighting for the Emperor and the Japanese nation, following the example of predecessors, some already enshrined at Yasukuni. It emphasizes unity, sacrifice, bravery, and loyalty, urging the soldiers to see themselves not as individuals but as a collective entity – "The 1,000 Volunteer Soldiers." For historians, the poem is a stark example of pro-Japanese collaboration literature produced under colonial rule, promoting militarism and the assimilationist ideology that encouraged Koreans to volunteer for the Japanese army. It vividly illustrates the pressure on and participation of cultural figures in the state's mobilization efforts during wartime, and the attempt to replace Korean identity with loyalty to the Japanese Empire.

**Named Entities**

金東煥	김동환	Kim Tonghwan
軍司令部	군사령부	Army Command
蒲	가바	Kaba (Assumed Japanese name/reading)
文人協會	문인협회	Munin Hyŏphoe (Writers' Association)
서울	서울	Seoul
東大門	동대문	Tongdaemun
楊州	양주	Yangju
志願兵 訓練所	지원병 훈련소	Volunteer Soldier Training Center
海田	하이타	Haida (Assumed Japanese name/reading)
大佐	대좌	Colonel (Military Rank)
東方	동방	East (Referring to Japan/Emperor)
日章旗	일장기	Japanese flag (Flag of the Rising Sun)
靖國神社	정국신사	Yasukuni Shrine
神殿	신전	Shrine Hall
東亞	동아	East Asia
豆滿江	두만강	Tuman River
濟州島	제주도	Cheju Island
漢拏山	한라산	Halla Mountain
北關	북관	Northern Region (of Korea)
南關	남관	Southern Region (of Korea)
一億 國民	일억 국민	One Hundred Million People (of the Japanese Empire)

**Glossary**

兵士	병사	Soldier
수풀	수풀	Thicket, woods (Used metaphorically for the group of soldiers)
晩秋	만추	Late autumn
叅謀	참모	Staff Officer (Older term/Hanja usage)
志願兵	지원병	Volunteer Soldier
訓練所	훈련소	Training Center
勇士	용사	Brave warrior, hero
遙拜	요배	Worship/bow from afar
國歌	국가	National Anthem (Here, likely refers to Japan's 'Kimigayo')
軍歌	군가	Military Song
忠誠	충성	Loyalty, allegiance
愛國	애국	Patriotism
情熱	정열	Passion, ardor
麥秋	맥추	Barley harvest season
先輩	선배	Senior, predecessor
名譽	명예	Honor, fame
信賴	신뢰	Trust, confidence
護國의 忠魂	호국의 충혼	Loyal spirits protecting the nation (Euphemism for war dead honored by the state)
戰火	전화	Fires of war, conflagration
僚友	요우	Comrade-in-arms, fellow soldier
塹壕	참호	Trench
奮戰	분전	Fight fiercely, struggle hard
操練	조련	Drill, training (military)
軍鼔	군고	War drum, military drum
갈밭	갈밭	Reed field
사공	사공	Boatman, ferryman
농군	농군	Farmer (Older term)
大丈夫	대장부	A great man, a real man, hero
運命	운명	Destiny, fate
萬人 座中	만인 좌중	Among the multitude, amidst ten thousand people
용맹	용맹	Bravery, valor
團結	단결	Unity, solidarity
소낙비	소나기	(Sudden) rain shower, downpour
進退	진퇴	Advance and retreat
임군	임금	Lord, sovereign, monarch (Here, refers to the Japanese Emperor)
받치다	바치다	To offer, dedicate, devote (Older spelling '받치다')
氣魄	기백	Spirit, vigor, mettle
不義	불의	Injustice, unrighteousness
碑石	비석	Stone monument, gravestone
歷史	역사	History
感激	감격	Deep emotion, gratitude, being moved
불느다	부르다	To sing, to call (Older spelling)
우로	위로	Above, up (Older spelling)
깃드렀든	깃들었던	Which had roosted/dwelt (Older spelling)
아츰해	아침 해	Morning sun (Older spelling)
부르옵네	부릅니다/부르네	Sing (Polite/Archaic verb ending)
끌어 올으거니	끓어오르거니	As it boils up (Older spelling)
있어지이다	있으소서/있어지이다	May it be (Archaic optative form)
질머지고	짊어지고	Shouldering, carrying on one's back (Older spelling)
있잔는가	있지 않은가	Isn't there? / Aren't they? (Older spelling/contraction)
눕어 계시잖는가	누워 계시지 않는가	Aren't they lying down? (Older spelling)
끈칠줄	끊일 줄	Sign of stopping/ending (Older spelling)
마처	마쳐	Finishing (Older spelling)
뭇지	묻지	Asking (Older spelling)
섞기어	섞이어/섞여	Mixing (Older spelling)
싶헛든 것을	싶었던 것을	Had wanted to (Older spelling)
댕기면서	당기면서	Pulling (Older spelling/dialectal?)
널분	넓은	Wide, broad (Older spelling)
가치	같이	Like, as (Older spelling)
되었다도	되었다가도	Even after becoming (Older spelling)
한아	하나	One (Older spelling)
받치소서	바치소서	Please offer/dedicate (Archaic honorific command)
뭉처	뭉쳐	Gathered, united (Older spelling)
처다보고	쳐다보고	Looking up at (Older spelling)
넘처	넘쳐	Overflowing (Older spelling)


---------------------------


잡지명	삼천리 제12권 제10호
발행일	1940년 12월 01일
기사제목	一千 兵士의 「수풀」
필자	金東煥
기사형태	시

一千 兵士의 「수풀」
						金東煥
晩秋 10월 12일, 軍司令部 蒲叅謀와 더부러 우리 文人協會 일행 38인이 서울 東大門밖 楊州벌, 志願兵 訓練所를 차저 海田大佐의 안내를 바더 가며 씩씩하고도 純眞한 그 1천의 勇士들로 더부러 하루해를 가치하고 돌아와 이 노래를 불느다.

사랑하는 兵士여!
이슬저진 새벽숲울 우로 지난밤 깃드렀든 참새 떼
아츰해를 향해 즐거히 노래부르며 나라오를 적에
젊은 우리의 일천 勇士도 家鄕의 단 꿈을 깨치고
깨끗이 쓴 廣場에 뛰어나와 맑고 敬虔한 마음으로써
멀-니 東方에 遙拜하며 이어 國歌를 높이 부르옵네,
그 새벽 바람에 펄럭 펄럭 날리는 日章旗의 기폭, 우렁한 軍歌소리 ＜221＞
