잡지명	개벽 제25호
발행일	1922년 07월 10일
기사제목	世界一週-山 넘고 물 건너(七) (Around the World - Over Mountains and Across Waters (7))
필자	一愚
기사형태	기행문 (Travelogue)

Around the World - Over Mountains and Across Waters (7)
						Ir'u

Chapter 4: Act 4 of the Stage of Struggle

Section 3: Ah, New York?
On August 10, 1918, I left the city of Chicago (市俄古市) bound for the great world metropolis, New York City. Wondering if I would ever have the chance to head West again once I went to New York City, I made a point of getting off at stations along the way to visit friends. On this journey, I didn't have the same surging emotions as before. There wasn't the deep impression I had when heading from Tacoma Port (대콤마港) towards Wesleyan University (웨슬네안 大學). Whenever I visited friends en route and heard words congratulating and admiring my humble success, I couldn't help but feel apologetic, and the sense of needing self-reflection was not light.

Ah, New York City! On August 18th, stepping off at the central station, Pennsylvania Station (펜실베니아스테슌), the crowds flowing down and climbing over through the elevated walkways branching in all directions scattered and bustled like those on the main city streets. Bookstores (冊肆), flower shops (花草廛), and various other kinds of stores were displayed gorgeously, even catching the shadows of the sunlight pouring down from the blue sky. Ah! "So this is the New York cityscape!" I wondered. However, it was only when I was about to take a taxi cab (택씨캡 「自働車」) guided by a friend wearing a red cap that I realized I had finally stepped outside the station and waiting room.

Passing the renowned Fifth Avenue (第5通家), the automobile sped straight up Broadway Avenue (뿌로드웨이 大街). Gradually, as the terrain rose, <91> the air became cooler and cooler! The broad river water came into view! Expanses of fresh green grass opened up! Museum-like buildings stood prominently here and there. The Stars and Stripes (스탈쓰앤드스트라입쓰 「美國國旗」) fluttered high in the mid-sky! The driver stopped the car and announced, "This is Hartley Hall (할틀리館)!" What quickly caught my eye was the bronze statue of Mr. Hamilton (해릴튼) standing tall on the left, and the memorial pavilion for Mr. Hartley (할튼) standing on the right! I settled my lodging at Hartley Hall and visited Dr. Monroe (몬로), the Dean of the Department of Education. The Doctor was a middle-aged gentleman of about 50, seeming to have a Bismarck-like demeanor, yet he made me feel the courteousness of Washington (와슝톤)! The Doctor repeated the words "Korean student" and showed a deeply moved attitude, saying, "The school authorities are truly satisfied that you have been admitted to the graduate school (學士院) under special conditions!"

Ah, Columbia (콜넘비아)! It is a university established 175 years prior to today [calculating from 1756 mentioned, but the author likely meant ~166 years before 1922], in 1756, on the banks of the Hudson River (허드슨河畔) in New York City under the English-style name King's College (킹쓰칼네지)! Of course, at that time, it modeled itself after the famous Oxford (옥쓰풀드) or Cambridge (켐뿌리지) universities in England (英國), the mother country. However, during the midst of the Revolutionary War, when the spirit of the free people of the New Continent (新大陸) awakened and the vital force of independence and self-respect surged, the English-style name King's College was changed to Columbia, the symbol of the American (美國) spirit, and later received the honorary title of University (유니벌씨티) from the American Congress. Everyone knows its reputation is worldwide. One cannot enumerate all the specialized departments that subdivide each college to teach academics in various fields! To put it in a word, it possesses the confidence and reputation that it can teach anything, bar none, whether academic or technical, responding to the demands of modern society, and this can be proven as fact. There isn't a nationality or race, among those countries known in the world or races with a line recorded in ethnology, that does not have at least one student representative. Therefore, the number of enrolled students cannot be precisely counted, but let's estimate it at over 200,000 [Note: This number seems highly inflated for 1922; Columbia's enrollment was closer to 30,000 then]. It holds the top rank in the world in both capital funds and student numbers. Accordingly, responding to modern demands, it has come to occupy a special position in its expert professors and facilities.

In May 1919, I received something called a bachelor's degree. Subsequently, I entered the Political Science department to major in Sociology, taking up my pen under Dr. Giddings (께딩博士). If only I could paint the true picture of life in the Columbia graduate school! But, but would you understand the degree of its interest and the essence of its life philosophy, and appreciate it fully! There is also the danger of provoking a sense of the bizarre!

Ah, New York, I call its name once again! Looking back, it was <92> over 300 years ago. In those days when immigrants from Holland (和蘭) crossed the Atlantic (大西洋) and continuously flocked here, it was nothing more than a small village. Later, English immigrants gained dominance, and it ended up becoming an English territory (屬領) and colony (植民地). However, the tyrannical misrule of the mother country gradually provoked the spirit of freedom among the settlers. Eventually, they resisted the immoral and wicked government of the mother country, took up arms, and built a free republic (自由民國) on the New Continent. In the 120-odd years since achieving independence and freedom, it has expanded and developed daily, gaining the prestige of a world-class metropolis. The population has truly reached 5 million, and observing the prosperous facilities and power of the city, one cannot help but be astonished at the miraculous development and expansion power of the American people.

New York City can be called a small island located in the center of the Hudson River estuary. It possesses a large area of about 320 square miles. The city streets originate from the southeastern tip, branching into 12 avenues, and further major thoroughfares extend horizontally, opening up the grand cityscape. Among them, the famous Fifth Avenue and Broadway extend in a straight line, worthy of being called the spinal cord of New York City. In the center, a large park spanning about 1 million pyeong [approx. 3.3 million sq meters or 843 acres, referring to Central Park] has been established, allowing the 5 million citizens to cultivate a spirit of magnanimity (浩然의 氣), serving as a playground for children and a place of solace for laborers.

On the horizontal plane of the city streets thus divided vertically and horizontally, automobiles, railway lines, tram lines, etc., are interconnected like a spider's web. Beneath the ground, subway trains run crisscross, and additionally, in the air, elevated railways and trams come and go like sparks. The frenzied crowds thronging the transportation lines paint a real scene of the struggle for existence. A particularly astonishing piece to add is what might be called the Hudson Tubes. For New York City, where traffic with various places in the state of New Jersey (뉴절씨州) across the Hudson River is heavy, transport by steamship alone simply cannot meet the demand. With the skill of modern people who utilize the blue sea (碧海) and mulberry fields (桑田) [land] at will, and the iron will of the American people strong in pioneering and conquest, they laid railways crossing and penetrating the bottom of the Hudson River, which not only provides convenience for interstate traffic but also adds great momentum to the city's development.

Ah, New York, I call its name yet again. If one were to name New York's premier attraction, it would likely not be the art museum, nor the great university. Ah, it's definitely not that the art museum or the great university ranks inferior compared to others. But, but, isn't the power with which New York—and America—dominates the world, gold? Therefore, I would say New York's premier attraction is Wall Street (월수츄릿). Truly, it is a fact that Wall Street rules the world! Here, as the center of world finance (金融) and the place where market prices (市場相場) are officially set, the stock market (株式市場) opens. The throng of people rushing madly, eyes bloodshot, dreaming of making a fortune overnight, truly depicts a hell of gold (黃金地獄)! Great buildings, none less than 20 stories tall, stand majestically, soaring into the clouds, displaying signs of banks (銀行會社), companies, exchanges (取引所), etc., lined up on the left and right sides of the road. However, the roads on both sides are extremely narrow, filled with a gloomy atmosphere, and the crush of the human sea is thick with a murderous aura (살기).

Castles in the air (空中樓閣)—this cannot be dismissed as mere laughter about the dreams of ordinary people. Once you see New York City, <93> it's not a dream; real castles in the air soar everywhere. Thirteen stories are common, and large buildings of 40 or even 50 stories are plentiful. Particularly, the Woolworth Building (울월스삘띙 「商業堂」) is a high pavilion of 65 stories, renowned as the world's tallest building in terms of house construction. Viewing New York from the top of the tower, under the vast line of sight, buildings are high and low, long bridges continue, and various transport vehicles crawl like spiders—I had the feeling of "Climbing Mount Tai (泰山) makes the world seem small." Mr. Woolworth succeeded with a five-and-dime store and erected such a grand building as a symbol of his great wealth.

New York's greatness may be an American boast, but New York's global status is also the result of the collective effort of the world's races. The entire citizenry of New York City is an assembly of people from various nations who have built the great New York. While the honor naturally goes to the political and commercial activities of those of English, German (獨逸人), French (佛國人), and Irish (愛蘭人) descent, the contribution of the labor and wealth of Russians (露西亞人), Italians (伊太利人), and Jews (猶太人), among others, is also significant. Therefore, the greatness of New York is constructed by combining the efforts of people from various nations.

New York's Pulpits and Podiums - If New York's global status signifies its wealth, then America's global prestige might be said to signify the power of New York's pulpits and podiums.

Union Theological Seminary (유니온 神學校) holds the world's top position due to its facilities and the scholarly prestige of its professors. Union Theological Seminary was originally merely an institution for training Presbyterian (長老波) clergy, but as its podium gradually became world-renowned, influential scholars from various denominations joined together to create a great non-denominational theological seminary. With Dr. McGiffert (맥기펄트博士) as president, scholars from various Protestant denominations cooperate to teach religious science and related academics professionally, making freedom of belief and thoroughness of scholarship their main focus. Professors like Dr. Coe (코박사) argue that "God's Democracy (하느님의 듸마크래씨)" is a more fitting term for the times than "Kingdom of Heaven," interpreting religion or education philosophically with the aim of realizing that democratic society. Professors like Ward (월드敎授) interpret labor issues (勞働問題) and social ethics (社會倫理) for the realization of that democratic society, advocating a socialized religion. Dr. Fosdick (포즈딕博士) interprets pulpit principles (敎壇理法) for that democracy, strongly criticizing the errors in traditional missionary methods (宣敎方法) and objectives, and advocating the establishment of people-based (民本的), autonomous (自治的) churches. That Christ (基督) is the last prophet (先知者), the savior (救主) of all people, and the central spirit of a world of great harmony (大同世界) may be called the sole truth that meets the hopes and satisfaction of modern people.

Dr. Jefferson (채퍼슨박사) occupies the pulpit at the Broadway Tabernacle (뿌로드웨이 敎堂), interpreting and proclaiming the gospel of world peace with his profound knowledge and superior faith. His church, independent from doctrinal traditions and rituals, preaches three times a week sermons of sublime and pure spiritual inspiration (靈趣神動) for a social religion where all people return to one body.

The world mission headquarters (萬國宣敎總本部) of both the Methodist and Presbyterian denominations (監長兩派) are located in New York City. The handling of affairs in each department and their facilities utilize modern science and technology, operating with astonishing speed—truly a surprising phenomenon. From the General Secretary (總幹事) down to the department members and hundreds of employees, they focus and strive in their duties from 8 AM to 4 PM without resting even for a minute (except for lunch break). They could indeed be called laborers pouring out their passionate blood for "God's Democracy." <94>

**Summary**

This travelogue excerpt describes the author Ir'u's journey from Chicago to New York City in 1918 and his initial impressions. He expresses awe at the scale, modernity, and energy of New York, particularly Pennsylvania Station, Broadway, Columbia University (where he enrolls), Wall Street, the skyscrapers like the Woolworth Building, and the advanced transportation including the subway and Hudson Tubes. He reflects on the city's history, its diverse immigrant population contributing to its greatness, and contrasts American progress with his own background. He also highlights the influence of New York's religious institutions, such as Union Theological Seminary and Broadway Tabernacle, noting prominent liberal theologians advocating for social progress and "God's Democracy," and the efficient organization of mission boards. For historians, the article offers a valuable glimpse into the perspective of a Korean intellectual encountering American modernity and liberal Protestant thought during the colonial period. His admiration for American development, democratic ideals (even framed theologically), and educational opportunities contrasts implicitly with the situation in colonized Korea, highlighting the aspirations and potential influences shaping Korean nationalist thought abroad. The specific mention of theologians promoting social ethics, labor issues, and people-centered churches is particularly interesting given the social and political context of Korea at the time.

**Named Entities**

市俄古市	시카고시	Chicago City
뉴욕市	뉴욕시	New York City
西方	서방	West
대콤마港	타코마항	Tacoma Port
웨슬네안 大學	웨슬리언 대학	Wesleyan University
中央停車場	중앙 정차장	Central Station
펜실베니아스테슌	펜실베이니아 스테이션	Pennsylvania Station
第5通家	제5통가	Fifth Avenue
뿌로드웨이 大街	브로드웨이 대가	Broadway Avenue
美國	미국	America / USA
할틀리館	하틀리관	Hartley Hall
해릴튼	해밀턴	Hamilton (Alexander)
할튼	하틀리	Hartley (Marcellus)
몬로	먼로	Monroe (Paul)
와슝톤	워싱턴	Washington
朝鮮	조선	Korea
學士院	학사원	Graduate School / Academy
콜넘비아	컬럼비아	Columbia (University)
허드슨河畔	허드슨 하반	Hudson Riverside
킹쓰칼네지	킹스 칼리지	King's College
英國	영국	England / Britain
옥쓰풀드	옥스퍼드	Oxford
켐뿌리지	케임브리지	Cambridge
新大陸	신대륙	New Continent (America)
유니벌씨티	유니버시티	University
께딩博士	기딩스 박사	Dr. Giddings (Franklin H.)
和蘭	화란	Holland / Netherlands
大西洋	대서양	Atlantic Ocean
屬領	속령	Territory / Dominion
植民地	식민지	Colony
自由民國	자유 민국	Free Republic
뉴절씨州	뉴저지주	New Jersey State
월수츄릿	월스트리트	Wall Street
金融	금융	Finance
株式市場	주식 시장	Stock Market
銀行會社	은행 회사	Bank Company
取引所	거래소	Exchange
空中樓閣	공중누각	Castle in the Air
울월스삘띙	울워스 빌딩	Woolworth Building
商業堂	상업당	Commerce Hall
泰山	태산	Mount Tai
獨逸人	독일인	German people
佛國人	불국인	French people
愛蘭人	아일랜드인	Irish people
露西亞人	러시아인	Russian people
伊太利人	이탈리아인	Italian people
猶太人	유태인	Jewish people
유니온 神學校	유니언 신학교	Union Theological Seminary
長老波	장로파	Presbyterian denomination
맥기펄트博士	맥기퍼트 박사	Dr. McGiffert (Arthur Cushman)
코박사	코 박사	Dr. Coe (George Albert)
하느님	하느님	God
듸마크래씨	데모크라시	Democracy
월드敎授	워드 교수	Professor Ward (Harry F.)
포즈딕博士	포스딕 박사	Dr. Fosdick (Harry Emerson)
基督	기독	Christ
大同世界	대동 세계	World of Great Harmony
채퍼슨박사	채퍼슨 박사	Dr. Jefferson (Charles Edward)
뿌로드웨이 敎堂	브로드웨이 교회당	Broadway Tabernacle
監長兩派	감장 양파	Methodist and Presbyterian denominations
萬國宣敎總本部	만국 선교 총본부	World Mission Headquarters
總幹事	총간사	General Secretary

**Glossary**

世界一週	세계일주	Around the World
奮鬪	분투	Struggle; Striving
大都會	대도회	Metropolis; Large city
停車場	정거장	Station (train/bus)
업섯다	없었다	Did not exist/have (Older spelling of 없었다)
잇슬는지	있을는지	Whether there will be (Older spelling/form)
깁흔	깊은	Deep (Older spelling of 깊은)
밧아	받아	Receive (Older spelling of 받아)
택씨캡	택시캡	Taxicab (Loanword)
스테슌	스테이션	Station (Loanword)
놉하갈스룩	높아갈수록	As it gets higher (Older spelling/form)
뵈인다	보인다	Is visible; Can be seen (Older spelling/form)
웃둑웃둑	우뚝우뚝	Prominently; Toweringly
서잇다	서 있다	Is standing (Older spelling/form)
칼네지	칼리지	College (Loanword)
大學	대학	University; College
學士院	학사원	Graduate school; Academy
업스나	없으나	Although there isn't/aren't (Older spelling of 없으나)
밧게	밖에	Outside; Except for (Older spelling of 밖에)
께딩	기딩스	Giddings (Surname, loanword)
 immigrated	이민	Immigration
屬領	속령	Territory; Dominion (under foreign rule)
植民地	식민지	Colony
가티	같이	Like; As (Older spelling of 같이)
地下鐵道	지하철도	Subway; Underground railway
雜踏	잡답	Throng; Bustle; Congestion
喫驚	끽경	To be surprised; To be astonished (Sino-Korean verb)
허드슨튭	허드슨 튜브	Hudson Tubes (Loanword + Hanja)
월수츄릿	월스트리트	Wall Street (Loanword)
金融	금융	Finance
株式市場	주식 시장	Stock Market
黃金地獄	황금 지옥	Gold Hell (Figurative term for intense pursuit of wealth)
巍然히	외연히	Majestically; Toweringly
聳立	용립	To soar; To tower
取引所	거래소	Exchange (Stock/Commodity)
狹隘	협애	Narrow; Confined
살기	살기	Killing aura; Murderous atmosphere
空中樓閣	공중누각	Castle in the air; Pipe dream (Idiom, here used literally too)
삘띙	빌딩	Building (Loanword)
가젓다	가졌다	Possessed; Had (Older spelling of 가졌다)
誇張	과장	Exaggeration
總和	총화	Sum total; Aggregate
안타	않다	Not (Contraction/older form of -지 않다)
敎壇	교단	Pulpit; Platform (teaching/preaching)
講壇	강단	Podium; Lecture platform
神學校	신학교	Theological seminary; Divinity school
長老波	장로파	Presbyterian denomination
業	업	Work; Task; Deed
博士	박사	Doctor (Ph.D.); Scholar
하느님	하느님	God (Native Korean term)
듸마크래씨	데모크라시	Democracy (Loanword)
勞働問題	노동 문제	Labor problem/issue
社會倫理	사회 윤리	Social ethics
宣敎	선교	Missionary work; Evangelism
民本的	민본적	People-based; Democratic
自治的	자치적	Autonomous; Self-governing
基督	기독	Christ (Sino-Korean term)
先知者	선지자	Prophet
救主	구주	Savior
大同世界	대동 세계	World of Great Harmony (Concept from Confucianism/idealism)
說敎	설교	Sermon
靈趣神動	영취신동	Spiritually inspiring and moving
監理	감리	Methodist (denomination)
萬國	만국	All nations; The world
總本部	총본부	General headquarters
幹事	간사	Secretary; Manager
업시	없이	Without (Older spelling of 없이)
-e 

---------------------------


잡지명	개벽 제25호
발행일	1922년 07월 10일
기사제목	世界一週-山 넘고 물 건너(七)
필자	一愚
기사형태	기행문

世界一週-山 넘고 물 건너(七)
						一愚
第4章 奮鬪舞臺의 第4幕

第3節 아아 뉴욕?
1918年 8月 10日에 市俄古市를 떠나 世界的 大都會 뉴욕市를 向하엿다. 한번 뉴욕市로 가면 다시 西方을 向할 機會가 잇슬는지 업슬는지 疑心하야 途中 下車 驛에서 나려서 親舊 訪問의 注意하엿다. 今番 旅行에 끌는 感想은 업섯다. 대콤마港에서부터 웨슬네안 大學을 向하야 갈 때와 가튼 깁흔 感想은 업섯다. 途中에 親舊를 訪問할 때에 변변치 못한 나의 成功을 致賀하며 欽慕하는 말을 드를 때마다 나 스스로가 未安한 感도 업지 아니햇스며 自重의 念도 輕하지 아니햇다.
아아 뉴욕市! 8月 18日에 中央停車場 「펜실베니아스테슌」에 턱 나려서니 四方으로 오르고 내리는 구룸다리들을 通하야 흘너나리며 기어넘는 群衆은 市街 大道 上에 四散往來함과 恰似하고 冊肆와 花草廛과 其他 各種의 商店들이 靑空에서 내려비치는 日光의 그림자조차 華麗하게 陳列되엇다. 아! 나는 「이것이 뉴욕 市街로구나!」 疑心하엿다. 그러나 뻘건모자 쓴 親舊의 案內를 밧아 택씨캡 「自働車」를 타랴고 할 때 비롯오 停車場 及 待合室 바께 나서게 된 것을 깨닷게 되엇다.
著名한 第5通家를 지나 뿌로드웨이 大街를 一直線으로 自働車가 모라 올나간다. 漸漸 地勢는 놉하갈스룩＜91＞ 空氣는 서늘서늘 해진다! 번한江물이 뵈인다! 새파란 綠草 두던이 열닌다! 美術館 비슷한 建物 여기저기 웃둑웃둑 뵈인다. 스탈쓰앤드스트라입쓰 「美國國旗」가 半空에 펄펄 날닌다! 運轉手가 停車를 하면서 「할틀리館이올시다」 案內를 한다! 얼는 眼孔에 빗취는 것은 왼편에는 「해릴튼」氏의 銅像이 웃둑 서 잇고 바른편에는 「할튼」氏의 紀念閣이 서잇다! 나는 할틀리館에 宿所를 定하고 敎育科 科長 몬로氏를 訪問하엿다. 博士는 約 50餘의 重年의 紳士로서 삐스막식의 風采가 잇는 듯하나 와슝톤式의 慇懃한 맛을 나로 하여곰 感케 하엿다! 博士는 朝鮮學生이라는 말을 거듭하면서 「學校 當局은 特別한 條件 下에서 君을 學士院에 叅列하게 된 것은 實로 滿足하게 생각하는 바라」고 感激이 깁흔 態度를 뵈여준다!
아아 콜넘비아! 距今 1756年 前에 뉴욕市 허드슨河畔에 킹쓰칼네지라는 英國風의 名義로 設立되엇섯든 大學이다! 勿論 그 當時에는 英國 即 祖國에서 著名한 옥쓰풀드나 켐뿌리지大學을 模範으로 하엿섯다. 그러나 獨立戰爭 最中에 新大陸의 自由民의 心魂이 깨이고 獨立自尊의 氣血이 뛸 때 英國式의 킹쓰칼네지라는 名稱을 고처 美國魂의 象徵인 콜넘비아로 改稱한 後 美國議會로부터 유니벌씨티의 榮譽의 稱號를 拜受하엿다. 大學의 名譽는 世界的인 것은 누구나 다 아는 바다. 各 分科를 再分하야 各 方面의 學術을 敎授하는 專門部들을 枚擧할 수 업다! 一言으로 約하자면 現代 社會에 要求에 應하야엇던 學術이나 技藝를 勿論하고 못가르칠 것이 업시 다 가르친다는 自身과 名譽를 가지고 그것이 事實인 것은 可히 事實로 証明할 수 잇다. 世界에 이름을 가진 나라의 國民과 人種學 上에 一節의 記錄을 가진 人種으로서 1人의 學生이라도 代表치 아닌 國民과 人種이 업다. 그래서 在學生의 數도 明確히 計할 수 업스나 20餘萬으로 略定하겟다. 資本金으로나 學生數로나 世界의 第1位를 占하엿다. 딸아서 現代 要求에 應하야 專門家의 敎授들과 設備에 잇서서 特殊한 地位를 占하게 되엇다.
1919年 5月에 學士라는 무엇을 밧게 되엇다. 連하야 政治科에 入하야 社會學을 專攻하노라고 께딩博士의 門下에서 筆硯을 들게 되엇다. 콜넘비아 學士院 生活의 眞境을 그려낼 수 잇섯스면! 그러나 그러나 그 趣味의 程度와 生活哲學의 眞髓를 諒解하고 完滿히 感賞해 주실는지요! 珍奇의 感을 激發케 할 危險도 업지가 안아요!
