잡지명	동광 제9호
발행일	1927년 01월 01일
기사제목	第一回 東光社友名簿(一九二六年二月十五日지 接受된이)(敬稱은 略함) (First Tonggwang Society Member List (Received until February 15, 1926) (Honorifics Omitted))
기사형태	잡저 (Miscellaneous Writing)

First Tonggwang Society Member List (Received until February 15, 1926) (Honorifics Omitted)

Kyŏnggi Province
Kyŏngsŏng: Ch'oe Sŏk-ho (崔錫澔), Ch'a Pyŏng-ch'ŏl (車丙轍), Yi Kyŏng-ryŏl (李庚烈), Chang Han-jin (張漢軫), Chŏng Wŏn-gŏl (鄭元杰), Kim Nak-ki (金洛基), Hyŏpsŏng Sinhak Library Dept. (協成神學圖書部), Kim Hyŏng-gi (金炯基), Kim Ch'ŏ-sun (金處洵), Kim Sŏng-ho (金誠鎬), Ch'oe Pong-ch'ŭk (崔鳳則), Hong Esŭt'ŏ (洪에스터), Paehwa Girls' High School Alumnae Association (培花女高校友會), Pak Tae-hyŏn (朴大鉉), Pak Wŏn-t'ae (朴元泰), Sim Sang-yŏn (沈相演), Pae Tŏk-yŏng (裴德榮), Kim Wŏn-je (金轅濟), Kim Ch'ang-jip (金昌集), Kim Chae-gon (金在坤), An Pyŏng-dŏk (安秉德), Kim Sŏng-ryang (金成亮), Wang Kerin (왕게린), Sŏ Hun (徐勳), Kang T'ae-hŭi (姜泰熙), Yi P'idŭk (李彼得), Yi Sŏng-sŏk (李聖錫), Son Hyŏk (孫赫), Ch'oe Ch'ang-gyu (崔昌圭)
Inch'ŏn: Chang Kŏn-sik (張建植)
Kanghwa: Kwŏn T'ae-min (權泰敏)
Kaesŏng: No Chae-myŏng (盧在明)
Sŏsan: Pak Yŏng-nam (朴永男)
Changdan: Sin Hŭng-ch'ŏl (申興哲)

Ch'ungch'ŏng Province
Ch'ŏngyang: Yun Chŏng-sun (尹正淳)
Ch'ungju: O Ŏn-yŏng (吳彥泳)
Taejŏn: Yun Ŭl-ok (尹乙玉)
Poŭn: O Sŏng-hwan (吳晟煥)

Chŏlla Province
Cheju: Yi Yong-jun (李用俊)
Sunch'ang: Kim Hang-du (金恒斗), Ch'a Hong-sun (車洪淳), Chu Tong-sŏng (朱東性)
Imsil: Hong Chin-gyun (洪震枃)
Namwŏn: Yi Chung-ryŏl (李仲烈)
Sunch'ŏn: Yi Chŏng-ho (李貞鎬)
Changhŭng: No Hyŏng-sik (盧瀅植)

Kyŏngsang Province
T'ongyŏng: Pak Si-sun (朴始順)
Kosŏng: Pak Sang-yo (朴相堯)
Ch'angwŏn: Cho Kuk-man (趙局萬)
Miryang: Yi Hyŏn-u (李賢雨)
Chinju: Ŏm Hŭng-sŏp (嚴興燮)
Masan: Kim Nam-jun (金南俊), Kim U-gon (金羽坤)
Pusan: Chŏn Ku-yŏng (田久榮)
Sangju: Yu Wŏn-myŏng (柳元明)
Kimch'ŏn: Yun Hae-byŏng (尹海炳), Sa I (史夷)
Yŏngil: Kwŏn Ŭi-bong (權義奉)
Kyŏngsan: Kim Yong-gyu (金容奎)
Kyŏngju: Kim Sŏng-yun (金晟允)
Yech'ŏn: Kwŏn Ki-ha (權奇夏), Ki Yong-gwŏn (奇龍權)
Yŏngju: Kang Pyŏng-ch'ŏl (姜炳哲), Kim Hŭi-gyu (金熙奎), Chŏng Chong-wŏn (鄭鍾遠)
Kyŏnghŭng: Kim Tong-ch'ŏl (金東哲)

Hwanghae Province
Suan: Cho Ki-hong (趙基洪)
Anak: Kim Yong-dae (金庸大)
Hŭngsu: No Cha-gyŏng (盧滋敬)

P'yŏngan Province
Ch'angsŏng: Kang Tŏk-yun (姜德潤)
Yŏngbyŏn: Kim Ch'i-o (金致五)
Ŭiju: Ch'oe Kuk-ŭm (崔國音), Kim Yŏng-dong (金永動)
Chŏngju: Kim I-ryŏl (金彛烈), Kim Sang-dŏk (金想德)
Pakch'ŏn: Kim Ch'ang-jin (金倉振)
Ŭiju: Ch'a Ŭng-un (車應運), Chang Pyŏng-ch'ŏl (張炳哲)
P'yŏngwŏn: Kim U-gi (金宇起), Ch'a Ch'ang-ho (車昌鎬), Pak Yun-hŭi (朴潤喜)
Sunan: H.M.Lee, Yi Sŏng-ŭi (李性儀), Chŏng Chae-sŏng (鄭在聖)
Yonggang: Kim Chi-gan (金志侃)
Taedong: Han Si-yŏng (韓時英), Kim Hŭi-mun (金希文), Kim Chae-rin (金在麟)
P'yŏngyang: Yi Ki-yŏng (李起榮)
Kaech'ŏn: Kim Han-yŏng (金漢永)
Sŏnch'ŏn: Yang Ken (梁瀗), Hŏ Sŭng-wŏn (許承元)

Hamgyŏng Province
Kyŏngsŏng: Ch'oe Myŏng-ryŏl (崔鳴烈), Yi Ch'ang-ryong (李昌龍), Pak Yong-ho (朴容浩)
Sŏngjin: Kim Ch'ang-se (金昌世)
Kilchu: Ch'oe Nak-ku (崔洛九)
Samsu: Ch'oe Yŏng-mo (崔英模)

Outside Chosŏn
Tōkyō: O Hyŏn-wŏn (吳鉉瑗), Kim Nak-hun (金洛勳), Ch'a Wŏn-ae (車源愛), Chang Ik-pong (張翼鳳), Yi Yŏng-han (李永漢), U Ho-ik (禹浩翊), Hong Sun-hyŏk (洪淳赫)
China: O Mun-yŏng (吳文泳), Kim T'ae-il (金泰一), Kimdŏk Sangjŏm (金德商店), Chŏng Ik-chu (鄭益朱), Kim Pyŏng-gŏn (金炳乾), Kim Ki-jŏng (金基貞), Kim Sang-gak (金相玨)
Ŭiju: Yi Pong-yong (리봉용), Sin Kuk-kwŏn (申國權) Above
Please notify us immediately of any errors or omissions. Member certificates will be completely sent out by the end of January.<93>

**Summary**

This article from the January 1927 issue of *Tonggwang* magazine presents the first list of members of the Tonggwang Society (東光社, Tonggwangsa), based on applications received up to February 15, 1926. It organizes members by province and city/county within Korea (Chosŏn), and also includes members residing outside Korea, specifically in Tokyo, Japan, and China. The list concludes with a request for corrections and information about the dispatch of membership certificates. For historians, this membership roster offers a valuable snapshot of the geographical reach and composition of a significant Korean intellectual or social organization during the colonial period. The inclusion of individuals from various regions, institutional members like a seminary library and a girls' school alumnae association, female members (like Hong Esŭt'ŏ), and overseas Koreans in Japan and China highlights the diverse network associated with the Tonggwang Society in its early stages.

**Named Entities**

東光社	동광사	Tonggwangsa
京畿	경기	Kyŏnggi
京城	경성	Kyŏngsŏng
崔錫澔	최석호	Ch'oe Sŏk-ho
車丙轍	차병철	Ch'a Pyŏng-ch'ŏl
李庚烈	이경렬	Yi Kyŏng-ryŏl
張漢軫	장한진	Chang Han-jin
鄭元杰	정원걸	Chŏng Wŏn-gŏl
金洛基	김낙기	Kim Nak-ki
協成神學圖書部	협성신학도서부	Hyŏpsŏng Sinhak Library Dept.
金炯基	김형기	Kim Hyŏng-gi
金處洵	김처순	Kim Ch'ŏ-sun
金誠鎬	김성호	Kim Sŏng-ho
崔鳳則	최봉측	Ch'oe Pong-ch'ŭk
洪에스터	홍에스터	Hong Esŭt'ŏ
培花女高校友會	배화여고교우회	Paehwa Girls' High School Alumnae Association
朴大鉉	박대현	Pak Tae-hyŏn
朴元泰	박원태	Pak Wŏn-t'ae
沈相演	심상연	Sim Sang-yŏn
裴德榮	배덕영	Pae Tŏk-yŏng
金轅濟	김원제	Kim Wŏn-je
金昌集	김창집	Kim Ch'ang-jip
金在坤	김재곤	Kim Chae-gon
安秉德	안병덕	An Pyŏng-dŏk
金成亮	김성량	Kim Sŏng-ryang
왕게린	왕게린	Wang Kerin
徐勳	서훈	Sŏ Hun
姜泰熙	강태희	Kang T'ae-hŭi
李彼得	이피득	Yi P'idŭk
李聖錫	이성석	Yi Sŏng-sŏk
孫赫	손혁	Son Hyŏk
崔昌圭	최창규	Ch'oe Ch'ang-gyu
仁川	인천	Inch'ŏn
張建植	장건식	Chang Kŏn-sik
江華	강화	Kanghwa
權泰敏	권태민	Kwŏn T'ae-min
開城	개성	Kaesŏng
盧在明	노재명	No Chae-myŏng
瑞山	서산	Sŏsan
朴永男	박영남	Pak Yŏng-nam
長湍	장단	Changdan
申興哲	신흥철	Sin Hŭng-ch'ŏl
忠淸	충청	Ch'ungch'ŏng
靑陽	청양	Ch'ŏngyang
尹正淳	윤정순	Yun Chŏng-sun
忠州	충주	Ch'ungju
吳彥泳	오언영	O Ŏn-yŏng
大田	대전	Taejŏn
尹乙玉	윤을옥	Yun Ŭl-ok
報恩	보은	Poŭn
吳晟煥	오성환	O Sŏng-hwan
全羅	전라	Chŏlla
濟州	제주	Cheju
李用俊	이용준	Yi Yong-jun
淳昌	순창	Sunch'ang
金恒斗	김항두	Kim Hang-du
車洪淳	차홍순	Ch'a Hong-sun
朱東性	주동성	Chu Tong-sŏng
任實	임실	Imsil
洪震枃	홍진균	Hong Chin-gyun
南原	남원	Namwŏn
李仲烈	이중렬	Yi Chung-ryŏl
順川	순천	Sunch'ŏn
李貞鎬	이정호	Yi Chŏng-ho
長興	장흥	Changhŭng
盧瀅植	노형식	No Hyŏng-sik
慶尙	경상	Kyŏngsang
統營	통영	T'ongyŏng
朴始順	박시순	Pak Si-sun
固成	고성	Kosŏng
朴相堯	박상요	Pak Sang-yo
昌原	창원	Ch'angwŏn
趙局萬	조국만	Cho Kuk-man
密陽	밀양	Miryang
李賢雨	이현우	Yi Hyŏn-u
晋州	진주	Chinju
嚴興燮	엄흥섭	Ŏm Hŭng-sŏp
馬山	마산	Masan
金南俊	김남준	Kim Nam-jun
金羽坤	김우곤	Kim U-gon
釜山	부산	Pusan
田久榮	전구영	Chŏn Ku-yŏng
尙州	상주	Sangju
柳元明	유원명	Yu Wŏn-myŏng
金泉	김천	Kimch'ŏn
尹海炳	윤해병	Yun Hae-byŏng
史夷	사이	Sa I
迎日	영일	Yŏngil
權義奉	권의봉	Kwŏn Ŭi-bong
慶山	경산	Kyŏngsan
金容奎	김용규	Kim Yong-gyu
慶州	경주	Kyŏngju
金晟允	김성윤	Kim Sŏng-yun
醴泉	예천	Yech'ŏn
權奇夏	권기하	Kwŏn Ki-ha
奇龍權	기룡권	Ki Yong-gwŏn
榮州	영주	Yŏngju
姜炳哲	강병철	Kang Pyŏng-ch'ŏl
金熙奎	김희규	Kim Hŭi-gyu
鄭鍾遠	정종원	Chŏng Chong-wŏn
慶興	경흥	Kyŏnghŭng
金東哲	김동철	Kim Tong-ch'ŏl
黃海	황해	Hwanghae
遂安	수안	Suan
趙基洪	조기홍	Cho Ki-hong
安岳	안악	Anak
金庸大	김용대	Kim Yong-dae
興水	흥수	Hŭngsu
盧滋敬	노자경	No Cha-gyŏng
平安	평안	P'yŏngan
昌城	창성	Ch'angsŏng
姜德潤	강덕윤	Kang Tŏk-yun
寧邊	영변	Yŏngbyŏn
金致五	김치오	Kim Ch'i-o
義州	의주	Ŭiju
崔國音	최국음	Ch'oe Kuk-ŭm
金永動	김영동	Kim Yŏng-dong
定州	정주	Chŏngju
金彛烈	김이렬	Kim I-ryŏl
金想德	김상덕	Kim Sang-dŏk
博川	박천	Pakch'ŏn
金倉振	김창진	Kim Ch'ang-jin
車應運	차응운	Ch'a Ŭng-un
張炳哲	장병철	Chang Pyŏng-ch'ŏl
平原	평원	P'yŏngwŏn
金宇起	김우기	Kim U-gi
車昌鎬	차창호	Ch'a Ch'ang-ho
朴潤喜	박윤희	Pak Yun-hŭi
順安	순안	Sunan
H.M.Lee	H.M.Lee	H.M.Lee
李性儀	이성의	Yi Sŏng-ŭi
鄭在聖	정재성	Chŏng Chae-sŏng
龍岡	용강	Yonggang
金志侃	김지간	Kim Chi-gan
大同	대동	Taedong
韓時英	한시영	Han Si-yŏng
金希文	김희문	Kim Hŭi-mun
金在麟	김재린	Kim Chae-rin
平壤	평양	P'yŏngyang
李起榮	이기영	Yi Ki-yŏng
价川	개천	Kaech'ŏn
金漢永	김한영	Kim Han-yŏng
宣川	선천	Sŏnch'ŏn
梁瀗	양견	Yang Ken
許承元	허승원	Hŏ Sŭng-wŏn
咸鏡	함경	Hamgyŏng
鏡城	경성	Kyŏngsŏng (Hamgyŏng Prov.)
崔鳴烈	최명렬	Ch'oe Myŏng-ryŏl
李昌龍	이창룡	Yi Ch'ang-ryong
朴容浩	박용호	Pak Yong-ho
城津	성진	Sŏngjin
金昌世	김창세	Kim Ch'ang-se
吉州	길주	Kilchu
崔洛九	최낙구	Ch'oe Nak-ku
三水	삼수	Samsu
崔英模	최영모	Ch'oe Yŏng-mo
朝鮮外	조선외	Outside Chosŏn (Korea)
東京	동경	Tōkyō
