잡지명	삼천리 제8권 제2호
발행일	1936년 02월 01일
기사제목	歐州에서 活躍하는 人物들 -白衣人材들의 빗나는 자최를 차저- (People Active in Europe -Seeking the Shining Traces of Our People-)
필자	龍興江人
기사형태	소식 (News)

People Active in Europe -Seeking the Shining Traces of Our People-
						By Yonghŭnggangin

When we speak of "Europe" (歐羅巴), it has become what could be called the focal point of world civilization today. All modern civilization, including all culture, systems, politics, economy, etc., from one to a hundred, are phenomena spreading out from this "Europe."

Consequently, when we say Europe today, the majority of the world powers are on this continent, and the trends of the world today also originate from this Europe.

Therefore, it is a fact that for us, who are situated in a backward society, there are many aspects that are difficult to follow regarding how highly developed the civilizations of these various European countries are, or to what high level the lifestyles of their general societies have progressed.<80>

If there are Koreans who have crossed over to Europe, a society that maintains life within such a high civilization sphere, and live shoulder-to-shoulder with them, or even take a step ahead to reveal a distinguished presence surpassing those Europeans in that society, it is undoubtedly a shining fact for our society as well. Therefore, I believe it is necessary to widely seek out news of them and introduce their yet unknown footprints to our society. To write down the recent news of our Korean people who have gone to Europe sequentially, let's examine them country by country.

United Kingdom

Mr. Sin Sŏng-mo (申性模): Speaking of him, he is the person showing the most brilliant presence not only among Koreans but among all Orientals in Europe today. He left his homeland Chosŏn early on, went to China, and wandered for a long time before graduating from the Naval Academy in Canton (廣東), South China, and working as a seaman for some time. Afterwards, harboring great ambitions, he boarded a steamship bound for Europe and went to London (英京 倫敦), the capital of England. While staying in London, he applied for admission to a Merchant Marine School, but at that time, as now, admission was strictly refused not only to Orientals but to all foreigners. However, having been refused once, Mr. Sin visited the school authorities and pleaded several times, so the school exceptionally granted permission just for him, making him the first and last foreigner to be admitted to the Merchant Marine School. After graduating with honors, he immediately joined a certain London steamship company as a crew member. Not long after, he was promoted to captain of that steamship. To this day, he remains the captain of a large London steamship. Mr. Sin is not only the first Korean but likely the first Oriental to hold such a position.
Still a middle-aged gentleman around forty, he is said to have married an English woman and lives a wealthy life. His hometown is reportedly in Kyŏngsang Province (慶尙道). In the United Kingdom, only his presence is distinct.

France

Mr. Sŏ Ryŏng-hae (徐岺海): He is from Kyŏngsang Province (慶尙道) and is a young scholar still only 30 years old. He graduated from the University of Paris with honors early on. As a Bachelor of Arts who develops profound and clear, thorough theories about literature, he has written many works in French (佛文) since going there, and even during his studies,<81> he frequently contributed articles to various Paris newspapers, becoming a talented individual whose name can be found even within French (佛國) journalism. Furthermore, his French writing particularly stands out among Orientals. Some time ago, a Paris newspaper company offered a prize of 1,000 won for essays on general arts and literature. Mr. Sŏ's piece titled "Regarding Life in Chosŏn" (朝鮮의 생활을 돌러서) uniquely won the honor of being selected, suggesting his presence is also shining in the literary circles of Paris.

Mr. Yi Yong-je (李龍濟): He is also a young scholar who graduated from the University of Paris. His hometown is Hamhŭng (咸興) in Hamgyŏng Province (咸鏡道), and he is said to be 40 years old this year. After graduating from the University of Paris, he remained there and is reportedly working within a certain youth association office.

Mr. Pae Un-sŏng (裵雲成): Born in Kyŏngsŏng (京城), he set off on the path of studying abroad in Paris, France, early on, together with the son of Mr. Paek Sang-jae (白象在). However, not long after, Mr. Paek quit school and returned, leaving Mr. Pae's life in poverty, and he reportedly suffered considerable hardship for a while. But having had an unusual hobby in painting since childhood, Mr. Pae abandoned his studies, changed direction, and concentrated on learning painting under a certain famous artist in Paris. Due to his innate genius and talent, his natural gift (天品) as a painter became known to his teacher in just a short time. Thereafter, under the warm guidance of his teacher, while having all his living expenses secured, he continued his research further. Today, the name "Paris's Genius Painter Pae Un-sŏng" or "Chosŏn's painter Pae Un-sŏng" is known not only in France but throughout all of Europe (全 歐州), to the extent that there is reportedly no one there who does not know him.
Currently, he is invited not only by Paris but by various countries in Europe to lecture on Oriental Painting at various universities. Furthermore, in exhibitions held in Paris, other cities, or various countries, paintings by "Chosŏn painter Pae Un-sŏng" invariably occupy the special selection spots, and he has won prize money exceeding several dozen times. It is said that even for French people, possessing even one of Mr. Pae's paintings is considered a great honor. The existence of Mr. Pae, the genius painter born of Chosŏn, is truly pan-European (全歐州的). This is indeed delightful news.

Germany

Mr. Han Chae-nam (韓載男): He is from North P'yŏngan Province (平北) and is 35 years old this<82> year. He graduated early from the Law Faculty of Sendai (仙臺) Imperial University and went to Berlin (伯林) nine years ago. He is a graduate of the University of Berlin.

Mr. Kim Paek-p'yŏng (金柏枰): He also studied biology at the University of Berlin and obtained a degree. Afterwards, he stayed at the Berlin Medical College and is a Doctor of Medicine.

Mr. Kim Sŏng-gong (金成功): This person also graduated from the Engineering Department of the University of Berlin. His hometown is Harbin (哈爾賓). Six years ago, he entered the aviation department related to Chosŏn (?) at the University of Berlin and has been conducting much research. (Translator's note: "조선, 비행기과" - "Chosŏn, aviation department" is unclear; it might imply a focus related to Korea or simply be phrased awkwardly.)

Mr. Yu Chae-hun (柳載壎): He recently graduated from the Electrical Engineering Department of the University of Berlin.

Mr. An Pong-gŭn (安鳳根): This person is the cousin of the late An Chung-gŭn (安重根). It is said he went to Berlin a long time ago. Initially, he lived day-to-day as a lumpen, but gradually, investing a small amount of capital, he started a "Tofu" (豆腐) business. Now, the business has grown significantly large-scale, with daily earnings reportedly exceeding 50 Marks. It is said that all (擧皆) Koreans in Berlin eat Mr. An's tofu. Besides these, there are many Korean students in Berlin, all diligently focusing on their studies.

Mr. Chang Wŏn-rim (장源林): This person, whose hometown is in Hwanghae Province (黃海道), is still a young man of 35 or 36. Having left his homeland early and wandered through China and various other places, he went to Berlin, Germany. Since then, having learned dancing (딴스) for a long time, he has dedicated his entire life to it, diligently honing his skills. As a result, he has now become a famous dancer (딴사-) who wins any dance competition (딴쓰 競演大會) he enters in Berlin.

Mr. Yi Hŭi-gyŏng (李喜景): This person is in the research laboratory of the University of Munich (뮨헨) in Munich (뮨헨市), Germany, deeply researching Biology. He holds the honorable position of Assistant Professor (助敎授) at the same university and has become an authority in the German biological academic world.

Mr. Ch'oe (崔氏): This person's full name is uncertain, but he is also a medical scholar who graduated from medical school in Munich and is currently engaged in research.

Mr. An (安氏): This person's name is also not remembered, but he is a young student, 22 years old this year, attending the Pharmacy Department of the University of Berlin. Born early in Kyŏngsŏng, he went to Berlin, Germany, four years ago with the intention of diligent study. His father is currently serving as a pastor (牧師) in Hawaii (하와이). (To be continued in the next issue)<83>

...who majored in music (樂) and even obtained a doctoral degree, returning home in glory (錦衣還鄕), is a genius violinist (提琴家) born of Chosŏn. Still a young musician just over 30, his existence as a musician was renowned not only in Europe, specifically Germany, but recently his fame had spread even to the East.
Not long after setting foot in his homeland, he received an invitation for a music professorship and went back to his "second home," Berlin (佰林), Germany, around the same time as his irreplaceable partner, Miss Kühlich (쿨리孃). His future will surely be brilliant.

Italy

Mr. An Pyŏng-so (安炳昭): This person was a genius musician whose name was renowned early on in the music scene of this land. Some time ago, harboring the resolve to delve deeper into the world of music, he went far away to Milan (미라노), the capital of music in Italy (伊太利), and is currently engrossed in honing his skills.

Mr. Yi In-sŏn (李寅善): This person also went to Milan the year before last with the purpose of studying music more deeply. Since then, he has been steadily treading the path of learning to this day, a young musician with a promising future (前途).
Besides these, there are reportedly several others who have gone to Italy aiming to study music. Among them are 2 or 3 women studying vocal music, piano, etc.

Having written this far, I now put down my pen, but it feels quite incomplete, and there are many others who could be introduced, but I will stop here.<89>

**Summary**

This 1936 article from the magazine *Samch'ŏlli* introduces Koreans who were active and successful in Europe (Britain, France, Germany, Italy) during the Japanese colonial period. Written by "Yonghŭnggangin," it highlights individuals excelling in various fields like shipping (Sin Sŏng-mo), literature (Sŏ Ryŏng-hae), painting (Pae Un-sŏng), academia (various scholars in Germany like Han Chae-nam, Kim Paek-p'yŏng, Yi Hŭi-gyŏng), business (An Pong-gŭn's tofu enterprise), dance (Chang Wŏn-rim), and music (Hong Nan-p'a, An Pyŏng-so, Yi In-sŏn). The author emphasizes their achievements as a source of pride for Koreans, showcasing their ability to compete and even surpass Europeans in the heart of modern civilization. For historians, the article offers valuable insight into the diaspora and activities of Korean elites and intellectuals abroad during a period of national hardship, demonstrating their diverse pursuits and international recognition despite colonial constraints. The mention of specific achievements, locations, and even personal details provides a snapshot of Korean engagement with the wider world in the 1930s.

**Named Entities**

歐羅巴	오라파	Europe
英國	영국	United Kingdom
申性模	신성모	Sin Sŏng-mo
中國	중국	China
廣東	광동	Canton (Guangdong)
英京 倫敦	영경 륜돈	London, Capital of England
朝鮮	조선	Chosŏn (Korea)
東洋	동양	Orient (East Asia)
慶尙道	경상도	Kyŏngsang-do (Kyŏngsang Province)
佛蘭西	불란서	France
徐岺海	서령해	Sŏ Ryŏng-hae
巴里	파리	Paris
佛國	불국	France
李龍濟	이용제	Yi Yong-je
咸鏡道	함경도	Hamgyŏng-do (Hamgyŏng Province)
咸興	함흥	Hamhŭng
裵成雲	배성운	Pae Sŏng-un (Initial mention, name changes later in text)
京城	경성	Kyŏngsŏng (Seoul)
白象在	백상재	Paek Sang-jae
裵雲成	배운성	Pae Un-sŏng (Used consistently later for the painter)
全 歐州	전 구주	All of Europe
獨逸	독일	Germany
韓載男	한재남	Han Chae-nam
平北	평북	P'yŏngbuk (North P'yŏngan Province)
仙臺	선대	Sendai (Japan)
伯林	백림	Berlin
金柏枰	김백평	Kim Paek-p'yŏng
金成功	김성공	Kim Sŏng-gong
哈爾賓	합이빈	Harbin
柳載壎	유재훈	Yu Chae-hun
安鳳根	안봉근	An Pong-gŭn
安重根	안중근	An Chung-gŭn
장源林	장원림	Chang Wŏn-rim
黃海道	황해도	Hwanghae-do (Hwanghae Province)
李喜景	이희경	Yi Hŭi-gyŏng
뮨헨	뮨헨	Munich
崔氏	최씨	Mr./Ms. Ch'oe
安氏	안씨	Mr./Ms. An
하와이	하와이	Hawaii
쿨리孃	쿨리양	Miss Kühlich
伊太利	이태리	Italy
安炳昭	안병소	An Pyŏng-so
미라노	미라노	Milan
李寅善	이인선	Yi In-sŏn

**Glossary**

자최	자취	Trace, footprint (older spelling of 자취)
차저	찾아	Seeking, looking for (older spelling/form of 찾아)
焦點	초점	Focal point
殆半	태반	Majority, greater part
如何히	여하히	How, in what way (older form of 여하히)
후진사회	후진사회	Backward society
영위하는	영위하는	Leading, carrying on (a life)
겨누워	겨누어	To compare with, measure against (older spelling of 겨누어)
한거름	한걸음	One step
드러내여	드러내어	To reveal, show (older spelling of 드러내어)
처들어	찾아 들어	To seek out and listen to (older spelling/form)
알어보기로	알아보기로	To look into, investigate (older spelling of 알아보기로)
일즉이	일찍이	Early on, long ago
전전하여	전전하여	To wander from place to place
얼마동안	얼마동안	For some time
머물러	머물러	Staying, residing (older spelling often seen)
하였었으나	했었으나	Although (he/she) did (past perfective form)
하였음으로	했으므로	Because (he/she) did (older grammar form)
마친	마친	Finished, completed
안되여	안 되어	Not long after, before long (older spelling of 안 되어)
榮轉	영전	Honorable promotion/transfer
나히	나이	Age (older spelling of 나이)
뚜렸할	뚜렷할	To be distinct, clear (older spelling of 뚜렷할)
연령	연령	Age (Sino-Korean term)
明晳徹底	명석철저	Clear and thorough
쩌내리즘	저널리즘	Journalism (older phonetic transcription)
우에서도	위에서도	Even in/on (older spelling/form of 위에서도)
빼나는	빼어나는	To be outstanding, excel (older spelling of 빼어나는)
돌러서	둘러서	Regarding, concerning (older form, modern 둘러싸고 related but context suggests 'about')
榮警	영광	Honor (Typo for 榮光?)
아드님	아드님	Son (honorific)
궁핍하게	궁핍하게	To become destitute, impoverished
알리게쯤	알리게끔	To the extent that it became known (older form)
天品	천품	Natural gift, innate talent
으레히	으레	Usually, invariably (older spelling of 으레)
오로지	오로지	Exclusively, solely
무릇	무릇	Generally speaking, approximately
깨름	께름	(Unclear meaning, possibly typo or dialectal. Context suggests "to the extent" or "about," similar to 쯤) - Rechecking Pae Un-sŏng section: "...모르는 사람도 없게쯤 되였다고 한다." - Here 쯤 is used. The earlier instance "알리게쯤" likely means "to the extent it became known". No separate "깨름" found.
룸펜	룸펜	Lumpen (from German Lumpenproletariat, referring to someone destitute/vagrant)
하로의	하루의	Of one day, daily (older spelling of 하루의)
擧皆	거개	All, everyone (literary Sino-Korean term)
아즉	아직	Still, yet (older spelling of 아직)
딴스	댄스	Dance (older phonetic transcription)
딴사-	댄서	Dancer (older phonetic transcription)
競演大會	경연대회	Competition, contest
助敎授	조교수	Assistant Professor
方今	방금	Currently, now (formal/literary)
牧師	목사	Pastor, minister
以下 次號繼續	이하 차호계속	To be continued in the next issue
提琴家	제금가	Violinist (older term, 提琴 refers to violin/fiddle)
錦衣還鄕	금의환향	Returning home in glory (lit. 'returning home in embroidered clothes')
반려자	반려자	Partner, companion
前途	전도	Future prospects
硏磨	연마	Honing, polishing (skills)


---------------------------


잡지명	삼천리 제8권 제2호
발행일	1936년 02월 01일
기사제목	歐州에서 活躍하는 人物들 -白衣人材들의 빗나는 자최를 차저-
필자	龍興江人
기사형태	소식

歐州에서 活躍하는 人物들 -白衣人材들의 빗나는 자최를 차저-
						龍興江人
『歐羅巴』라고 하면 今日 世界文明의 焦點이라고 할만한 곳으로 되였다. 오늘날 세게의 모든 文化, 制度, 政治, 經濟 등 모든 현대문명은 하나로부터 백에 이르기까지 모도 다 이 『歐羅巴』에서 퍼저 나오고 있는 현상이다.
그러므로 해서 오늘날 歐羅巴라고 하면 世界列强의 殆半도 이 대륙에 있는 것이고, 또한 今日 世界의 동향도 이 歐羅巴에서 비롯하는 바로 되여있다.
그러므로 이 歐州의 諸國이 如何히 고도한 문명을 가지고 있는가 또는 일반사회의 생활양식이 얼마나한 고도에로 발달되였는가 함은 우리들 후진사회에 처하여저 있는 사람들로서는 도저히 따르기 어려운<80> 바 여러 가지가 많을 것이 사실이다.
그러한 고도의 문명권 내의 생활을 영위하는 사회인 歐州에 건너가 그들과 어깨를 겨누워 살아나간다든가 또는 한거름 앞서 그들 歐州人보다는 뛰어나는 훌륭한 존재를 그 사회에 드러내여 놓고는 조선사람이 있다면 이는 말할 것도 없이 우리사회로 보더라도 빛나는 사실임으로 널리 그들의 소식을 처들어 아직 알려지지 않은 그들의 발자취를 우리사회에 알려봄이 필요할 줄로 아는 바이다. 그러면 歐州에 건너가 있는 우리 조선사람들의 최근의 소식을 차레차레로 적어가기 위하여서 各國別로 알어보기로 하겠다.

英國

申性模氏 氏로 말하면 오늘날 歐羅巴에서 조선사람은 말할 것도 없고 東洋사람으로 가장 빛나는 존재를 나타내고 있는 분이다. 일즉이 故土 조선을 떠나 中國에 건너가 오랜동안을 전전하여 다니다가 南中國 廣東에서 海軍學校를 마치고 얼마동안 海員生活을 하였었다. 그 뒤 뜻을 크게 품고 歐羅巴行 汽船을 타고 英京 倫敦으로 건너갔었다. 倫敦에 머물러 있으면서 商船學校 入學을 지원하였었으나 그 때나 지금이나 東洋人은 물론하고 외국인에게는 입학을 절대로 거절하였었다고 한다. 그러나 한번 거절당하였든 氏는 학교당국을 방문하고 수삼차 간청하였음으로 학교측에서도 이 사람만은 특히 예외로 한번 許하여 준다는 이유에서 외국인으로서 첫 번이자 나종으로 상선학교에 입학되여 우수하게 마친 후로 곧 倫敦 某汽船會社에 船員으로 들어가 있다가 그후 얼마 안되여 그 汽船의 船長으로 榮轉되여 오늘날에 이르기까지 英京 倫敦의 커다란 汽船의 한 船長으로 있는 氏는 조선사람으로서 첫 번일 뿐만 아니라 東洋사람으로서도 첫 번일 것이다.
아직 나히 사십 전후하는 중년신사로서 영국여자와 결혼하여 부유한 생활을 하여간다는데 본래 고향은 慶尙道 출생이라고 한다. 英國에는 오직 이분의 존재가 뚜렸할 뿐이다.

佛蘭西

徐岺海氏 氏는 慶尙道 출생으로 아직 연령 30밖에 안되는 靑年學士이다. 일즉이 巴里大學을 우수하게 졸업하였으며 문학에 대한 심오한 이론과 明晳徹底한 이론을 전개시키는 文學士로, 이분은 그곳에 건너간 이후 더구나 佛文으로 많은 저술을 하였고 또한 재학 시부터<81> 벌서 巴里의 각 신문에 자주 기고를 하여 佛國 쩌내리즘 우에서도 그에 이름을 찾어볼 수 있을 만큼 된 才士이다. 더구나 佛文에는 東洋사람으로서에 특히 빼나는 바가 있어 얼마 전 巴里 모 신문사에서 千圓의 상금을 걸고 문예일반에 관한 논문을 모집하였던 바, 氏의 집필인 『朝鮮의 생활을 돌러서』라는 논문이 당선이란 榮警를 유독히 얻었음으로 미루워 보아 이분의 존재 또한 巴里의 論壇에서 빛나고 있을 것이다.
