Magazine Title	三千리 제5권 제3호
Publication Date	1933년 03월 01일
Article Title	米洲留學生의 面影 (Images of Students Returned from America)
Author	吳天錫
Article Type	회고·수기 (Memoir/Reminiscence)

Images of Students Returned from America
						O Ch'ŏnsŏk
(Continued from previous issue) As nearly half a century has passed since the seeds of studying in America (米洲留學) were sown, the amount of fruit harvested during that time is not small. In the early days of studying in America, it was customary for relatives and compatriots from far and wide to gather and hold a celebratory feast whenever a middle school graduate emerged, and when someone finally completed their studies and returned home in so-called cotton clothes (綿衣 還鄕), the entire village would buzz as if they had achieved something greater than passing the state examination (科擧), considering it a major auspicious event. Those days are long gone. In recent years, the number of graduates each year can be counted in the thirties or forties, and returning students are now so frequent that they follow one after another. Consequently, if we examine today's Chosŏn society, it has reached a point where there is likely no field or region without the presence of students returned from America.

Listing the students returned from America scattered at home and abroad that come to mind, without any particular order: First, in the political world, we can mention seniors like Sŏ Chaep'il, Yi Sŭngman, Chŏng Han'gyŏng, Kim Kyusik, An Ch'angho, Min Ch'anho, etc. In the education world, there are Paek Sanggyu, Namgung Hyŏk, Kim Tŭksu, Chi Yongŭn, Kim Yŏsik, Pak Hyŏngnyong, Paek Namsŏk, Chang Iuk, Paek Nakchun, Yi Ch'unho, Yi Hun'gu, Yi Wŏnch'ŏl, Ch'oe Sunchu, Kim Inyŏng, Ch'oe Yunho, Kim Yŏje, O Igŭn, Han Ch'ijin, Ch'oe Kyunam, Yi Myomok, Yun Sŏngsun, Kim Toyŏn, etc. In the religious world, there are Yun Ch'iho, Yang Chusam, Sin Hŭng'u, Chŏng In'gwa, Yu Hyŏnggi, Kim Chunok, Song Ch'anggŭn, Cho Hŭiyŏm, Yun Hayŏng, Kim Yŏngsŏp, Kim Ch'angjun, Ku Chaok, Yi Taewi, Ch'oe Sŭngman, Chŏn Yŏngt'aek, Chŏng Kyŏngok, Ch'oe Yunkwan, etc. In the literary world, there are Paek Ilgyu, Kim Tongsong, Chang Tŏksu, Cho Pyŏngok, Kim Upyŏng, Kim Yangsu, Kim Hyŏn'gu, Kim Yŏnghŭi, Chu Yosŏp, Kang Yongjŏn, Pyŏn Yŏngno, etc. In the medical world, there are O Kyŏngsŏn, Yi Yongsol, Ku Yŏngsuk, Kang Haeryong, Kim Myŏngsŏn, O Hanyŏng, Han Yŏngdae, Kim Kyebong (金게봉?), etc. In the music world, there are Hyŏn Chemyŏng, An Kiyŏng, Pak Kyŏngho, Hong Yŏnghu, Yun Kisŏng, etc. In the business world, there are Yu Ilhan, Ch'oe Nŭngjin, An Tongwan, Hwang Ch'angha, etc. In the industrial world, Kim Hoyŏn, O Chŏngsu, Mun Myŏnghang, Kim Haksu, etc., and in the art world, Im P'a and Pak Yŏngsŏp. In the women's world, Kim Maria, Kim Hwallan, Pak Indŏk, Kim Maria, Kim P'illye, Hwang Esŭt'ŏ, Hong Esŭt'ŏ, Kim Hamna, Kim Sinsil, Sŏ Ŭnsuk, Yu Hyŏngsuk, Kim Aellisŭ, Kim Sŏngsil, Yun Sŏngdŏk, Pak Maria, Kim Tongjun, Kim Mebŭl, etc., are active. Besides those listed above, there are likely not a few others holding significant positions in various fields. <43>
From now on, I intend to recall the images of a few individuals among the students studying abroad that come to mind.

Chosŏn's Sun Yat-sen – Sŏ Chaep'il
China's Sun Yat-sen (孫文) once learned medicine to heal the bodies of sick people, but keenly feeling the need to heal a sick nation more than sick individuals, he abandoned the scalpel and took up the sword of revolution. Chosŏn's Sŏ Chaep'il once tried to heal a sick XX [nation? country? - censored/omitted in original], but failing to achieve his goal, he learned medicine intending to heal at least sick people. Just as Moses, who led the Israelites out of the land of Egypt, ultimately only gazed from afar at the blessed land of Canaan flowing with milk and honey from Mount Sinai and could not enter it himself, Sun Yat-sen ultimately did not achieve his goal and passed away, entrusting his legacy to Chiang Kai-shek (蔣介石). Sŏ Chaep'il gazes towards the Eastern sky from distant America (米洲) and sheds tears.
He, who was once swift as a tiger and majestic as a lion, now drags his old frame (老驅) and cannot help but keep company with test tubes in a pathology lab. From Sunday until noon on Saturday, he is in the laboratory; from Saturday afternoon until Sunday evening, he is at his quiet private home in Media – in this manner, he is rebuilding the economic foundation that collapsed and the family that was broken during his active political days.
Sŏ Chaep'il is already a man of the past. He is a person living in memories and weeping over history. Several years ago, when I asked something of him, he gently placed his arm on my shoulder and said with clouded eyes, "You will do better than this old man, so you do it!" Alas, where has the spirit gone, that roared like a lion before tens of millions in the crowds after organizing the Independence Club (獨立協會)? Where has the authority gone, that spewed fire like a demon before the assembled dignitaries of New York City (뉴욕 長安)? Is this the final path of Sŏ Chaep'il, a sad history of the X Dynasty's end (X末哀史)?

Chŏng Han'gyŏng, a Talented Man Skilled in Both Speech and Writing
Chŏng Han'gyŏng's intelligence had been admired among acquaintances since his days at the University of Nebraska (네브라스카洲立大學), but it was after the XX [March First Movement?] incident of XX year that he began to receive much anticipation from both Koreans and foreigners as a sharp, newly emerged scholar and politician. His famous graduation thesis, THE CASE, KOREA, caused a great stir among Westerners interested in Chosŏn affairs. They were surprised not only by the unexpected content within it but also marveled at the sharp intellect that handled the material and the refined English; many bit their tongues [in amazement]. They exclaimed, "Is there such an excellent writer among Chosŏn people!"
This thesis became his gateway to success (登龍門). At a time when people thirsted for talent like a thirsty deer for water, he leaped forward, shoulder to shoulder with veterans like Sŏ Chaep'il and Yi Sŭngman, dividing his frail body, as it were, among writing, lecturing tours, and diplomacy. People came to view his writings with authority, and crowds always gathered like a flood before the podiums where he stood.
However, his political life was short-lived. The iron fist of economic hardship (경제난의 鐵拳) pressed upon him daily. Realizing that the work to which he had devoted his heart and soul could certainly not achieve success overnight, he resolutely bade farewell to the political world and set foot in the business world. He is currently traveling throughout America as a salesman for a food manufacturer and is said to have accumulated considerable wealth by now. His wife is currently a professional woman serving as a middle school principal (中學校 校長) and was his sweetheart from his University of Nebraska days.
Will Chŏng Han'gyŏng, the talented man hidden in the business world, indeed emerge again when the time comes and he is called?

Kang Yongjŏn, Author of "The Grass Roof" (草家)
Until Ch'odang Kang Yongjŏn published his debut work, the autobiographical novel THE GRASS ROO* <44> (草家), about two years ago through the famous Macmillan Bookstore (맥밀란書店), he was an unknown poor scholar (貧士), and the few acquaintances who knew him valued him only as an eccentric (變人). However, once his work was published, the Anglo-American literary world bit its tongue [in amazement]. Critics could not find the praise in their dictionaries to bestow upon this young, unknown, enigmatic Oriental. Just as astronomers who looked up at the sky every night might discover a new fixed star, they were convinced they had found a genius in the author of "The Grass Roof." Some critics called this work "the best book concerning the Orient," and said that genius was stirring behind this work. Moreover, when they heard the author of this work was a Chosŏn person, they did not believe their ears. In this way, he is making the name of Chosŏn people widely known to the world.
Whether Ch'odang is currently the most favored Oriental writer in the American literary scene or not, whether he is currently lecturing on Oriental Civilization and Comparative Literature at New York University or not, he is an eccentric. One cannot find the 'ordinary' in him. His words, his actions, his thoughts – everything inevitably expels him from the world of the ordinary. Because he is an eccentric, he wrote "The Grass Roof," lives with a Western wife, and leads a poet's life in Greenwich Village (끄린윗치村), New York's PAYS LATIN [Quartier Latin].
He once told me of his ideal. He said he always wanted to come to Chosŏn with his beautiful wife and daughter, build a grass-roofed hut (草堂) on the slopes of Kŭmgangsan (金剛山), and try living there. I, who long for old friends, can only pray for that day to come quickly. <45>
<43-45>

**Summary**

This 1933 article by O Ch'ŏnsŏk reflects on the significant impact of Korean students educated in the United States over nearly half a century. The author notes the increasing number of graduates returning to Korea and lists numerous prominent individuals across diverse fields—politics, education, religion, literature, medicine, music, business, industry, art, and women's affairs—who studied in America and were active in Korean society. The article then provides vignettes of three notable figures: Sŏ Chaep'il, once a prominent political activist now living quietly in the US; Chŏng Han'gyŏng, a talented writer and speaker who transitioned from politics to business due to economic pressures; and Kang Yongjŏn, an author celebrated in the West for his novel "The Grass Roof," known for his eccentric personality and life in New York. For historians, this article offers a valuable contemporary perspective on the role and visibility of the US-educated Korean elite during the Japanese colonial period. The extensive list of names provides a snapshot of this influential group, while the individual profiles hint at the challenges, compromises, and aspirations (both personal and nationalistic) faced by these figures under colonial rule, such as Sŏ Chaep'il's faded political hopes and Chŏng Han'gyŏng's turn to business.

**Named Entities**

米洲	미주	Miju (America)
吳天錫	오천석	O Ch'ŏnsŏk
朝鮮	조선	Chosŏn (Korea)
徐載弼	서재필	Sŏ Chaep'il
李承晩	이승만	Yi Sŭngman
鄭漢景	정한경	Chŏng Han'gyŏng
金奎植	김규식	Kim Kyusik
安昌浩	안창호	An Ch'angho
閔讚鎬	민찬호	Min Ch'anho
白象圭	백상규	Paek Sanggyu
南宮赫	남궁혁	Namgung Hyŏk
金得洙	김득수	Kim Tŭksu
池容殷	지용은	Chi Yongŭn
金麗植	김려식	Kim Yŏsik
朴亨龍	박형룡	Pak Hyŏngnyong
白南奭	백남석	Paek Namsŏk
張利郁	장이욱	Chang Iuk
白樂濬	백낙준	Paek Nakchun
李春昊	이춘호	Yi Ch'unho
李勳求	이훈구	Yi Hun'gu
李源哲	이원철	Yi Wŏnch'ŏl
崔淳周	최순주	Ch'oe Sunchu
金仁泳	김인영	Kim Inyŏng
崔允鎬	최윤호	Ch'oe Yunho
金輿濟	김여제	Kim Yŏje
吳翊殷	오익은	O Igŭn
韓稚振	한치진	Han Ch'ijin
崔奎南	최규남	Ch'oe Kyunam
李묘묵	이묘묵	Yi Myomok (Possibly 卯默)
尹誠淳	윤성순	Yun Sŏngsun
金道演	김도연	Kim Toyŏn
尹致昊	윤치호	Yun Ch'iho
梁柱三	양주삼	Yang Chusam
申興雨	신흥우	Sin Hŭng'u
鄭仁果	정인과	Chŏng In'gwa
柳瀅基	유형기	Yu Hyŏnggi
金俊玉	김준옥	Kim Chunok
宋昌根	송창근	Song Ch'anggŭn
曹喜炎	조희염	Cho Hŭiyŏm
尹夏榮	윤하영	Yun Hayŏng
金永燮	김영섭	Kim Yŏngsŏp
金昌俊	김창준	Kim Ch'angjun
具滋玉	구자옥	Ku Chaok
李大偉	이대위	Yi Taewi
崔承萬	최승만	Ch'oe Sŭngman
田榮澤	전영택	Chŏn Yŏngt'aek
鄭景玉	정경옥	Chŏng Kyŏngok
崔允寬	최윤관	Ch'oe Yunkwan
白一奎	백일규	Paek Ilgyu
金東成	김동성	Kim Tongsong
張德秀	장덕수	Chang Tŏksu
趙炳玉	조병옥	Cho Pyŏngok
金佑枰	김우평	Kim Upyŏng
金良洙	김양수	Kim Yangsu
金鉉九	김현구	Kim Hyŏn'gu
金永羲	김영희	Kim Yŏnghŭi
朱耀燮	주요섭	Chu Yosŏp
姜庸銓	강용전	Kang Yongjŏn
卞榮魯	변영로	Pyŏn Yŏngno
吳競善	오경선	O Kyŏngsŏn
李容卨	이용설	Yi Yongsol
具永淑	구영숙	Ku Yŏngsuk
姜海龍	강해룡	Kang Haeryong
金鳴善	김명선	Kim Myŏngsŏn
吳漢永	오한영	O Hanyŏng
韓永大	한영대	Han Yŏngdae
金게봉	김게봉	Kim Kyebong (Given name spelling uncertain)
玄濟明	현제명	Hyŏn Chemyŏng
安基永	안기영	An Kiyŏng
朴慶浩	박경호	Pak Kyŏngho
洪永厚	홍영후	Hong Yŏnghu
尹基誠	윤기성	Yun Kisŏng
柳일한	유일한	Yu Ilhan
崔能鎭	최능진	Ch'oe Nŭngjin
安東完	안동완	An Tongwan
黃昌夏	황창하	Hwang Ch'angha
金浩然	김호연	Kim Hoyŏn
吳禎洙	오정수	O Chŏngsu
文明恒	문명항	Mun Myŏnghang
金學洙	김학수	Kim Haksu
任波	임파	Im P'a
朴榮燮	박영섭	Pak Yŏngsŏp
金마리아	김마리아	Kim Maria
金活蘭	김활란	Kim Hwallan
朴仁德	박인덕	Pak Indŏk
金弼禮	김필례	Kim P'illye
黃에스터	황에스터	Hwang Esŭt'ŏ (Esther)
洪에스터	홍에스터	Hong Esŭt'ŏ (Esther)
金함나	김함나	Kim Hamna (Hannah?)
金信實	김신실	Kim Sinsil
徐恩淑	서은숙	Sŏ Ŭnsuk
柳瀅淑	유형숙	Yu Hyŏngsuk
金앨니스	김앨니스	Kim Aellisŭ (Alice?)
金誠實	김성실	Kim Sŏngsil
尹聖德	윤성덕	Yun Sŏngdŏk
朴마리아	박마리아	Pak Maria
金東俊	김동준	Kim Tongjun
金메블	김메블	Kim Mebŭl (Mabel?)
中國	중국	Chunguk (China)
孫文	손문	Son Mun (Sun Yat-sen)
애급	애급	Aegŭp (Egypt - older Korean name)
가나안	가나안	Kanaan (Canaan)
蔣介石	장개석	Chang Kaesŏk (Chiang Kai-shek)
미디아	미디아	Midia (Media, PA likely)
獨立協會	독립협회	Tongnip Hyŏphoe (Independence Club)
뉴욕	뉴욕	Nyuyok (New York)
네브라스카洲立大學	네브라스카 주립대학	Nebŭrasŭk'a Churip Taehak (University of Nebraska)
맥밀란書店	맥밀란 서점	Maekmillan Sŏjŏm (Macmillan Bookstore)
草家	초가	Ch'oga (The Grass Roof - book title)
뉴욕대학	뉴욕대학	Nyuyok Taehak (New York University)
끄린윗치村	그리니치 빌리지	Kkŭrinwich'i Ch'on (Greenwich Village)
金剛山	금강산	Kŭmgangsan (Diamond Mountains)

**Glossary**

米洲留學生	미주 유학생	Student returned from study in America
面影	면영	Face; image; trace; vestiges
거위	거의	Almost; nearly (older spelling)
반세기	반세기	Half-century
맷어진	맺어진	Formed; born; produced (older form of 맺어진)
遠近	원근	Far and near
同胞	동포	Compatriot; fellow countryman
베프는	베푸는	Giving; bestowing; holding (a feast) (older spelling of 베푸는)
例事	예사	Common practice; usual event
業을 畢하고	업을 필하고	Completing one's studies/work
綿衣 還鄕	면의 환향	Returning home in cotton clothes (idiom for returning after achieving success, esp. academic)
왼	온	Whole; entire (older form)
洞里	동리	Village; neighborhood (older term, now 동네)
科擧	과거	State examination (in old Korea)
베슬	벼슬	Government post; official rank (older spelling)
慶事	경사	Auspicious event; happy occasion
녯날	옛날	Old days; former times (older spelling)
頻多해젓다	빈다해졌다	Became frequent (older form/spelling of 빈다해지다/잦아지다)
散在한	산재한	Scattered; dispersed
爲先	위선	First of all; to begin with
政界	정계	Political world
敎育界	교육계	Educational world
宗敎界	종교계	Religious world
文筆界	문필계	Literary world
醫學界	의학계	Medical world
音樂界	음악계	Musical world
商界	상계	Business world
工業界	공업계	Industrial world
畵界	화계	Art world
女子界	여자계	Women's sphere/world
열거한	열거한	Listed; enumerated
不少할	부소할	Not a few; considerable (Hanja-based term)
海外	해외	Overseas; abroad
추억해	추억해	To reminisce; recall
일즉	일찍	Early; once
고치기	고치기	To heal; to cure; to repair
의술	의술	Medical art; medicine
늑기어	느끼어	Feeling; sensing (older spelling of 느껴)
手術刀	수술도	Scalpel (literally 'surgery knife')
혁명	혁명	Revolution
劍	검	Sword
애급	애급	Egypt (older Korean name for Egypt)
젓	젖	Milk
꿀	꿀	Honey
福地	복지	Blessed land
스사로	스스로	Oneself; by oneself (older form of 스스로)
遺業	유업	Legacy; work left behind
막기고	맡기고	Entrusting (older spelling of 맡기고)
갓치	같이	Like; as (older spelling)
날세며	날쌔며	Being swift; agile (older spelling)
威風稟稟	위풍품품	Majestic; imposing; dignified (Hanja phrase, modern 위풍당당)
老驅	노구	Old body/frame (referring to an elderly person)
病理學室	병리학실	Pathology laboratory
實驗管	실험관	Test tube
더브러	더불어	Together with; along with (older spelling)
벗하고	벗하고	Befriending; keeping company with
문허젓든	무너졌던	That had collapsed (older spelling)
깨여젓든	깨어졌던	That had been broken (older spelling)
억개에	어깨에	On the shoulder (older spelling)
언즈며	얹으며	Placing upon (older spelling)
흐려진	흐려진	Clouded; blurred
압헤서	앞에서	In front of (older spelling)
사자처럼	사자처럼	Like a lion
義氣	의기	Spirit; mettle; righteous ardor
長安	장안	Capital city (here used metaphorically for New York City)
人士	인사	Dignitary; prominent person
一堂에	일당에	In one hall; together in one place
火鬼처럼	화귀처럼	Like a fire demon; fiercely
威勢	위세	Authority; power; influence
어데	어디	Where (older spelling)
X末哀史	X말애사	Sad history of the end of the X [dynasty/era - censored/unclear]
末路	말로	Final path; end
舌筆兼備	설필겸비	Skilled in both speech (tongue) and writing (brush)
才子	재자	Talented person
聰明	총명	Intelligence; brightness
洲立大學	주립대학	State University
재학시	재학시	While enrolled as a student
知己間	지기간	Among acquaintances/close friends
흠모	흠모	Admiration; adoration
的	적	Target; object (of admiration)
新進氣銳	신진기예	Newly-risen and full of spirit; sharp newcomer
내외인	내외인	People inside and outside (i.e., Koreans and foreigners)
