잡지명	삼천리 第五卷 第三號
발행일	1933년 03월 01일
기사제목	世界婦人勞働組合運動의 現勢 (The Current Status of the World Women's Labor Union Movement)
필자	柳海松
기사형태	논설 (Editorial/Essay)

The Current Status of the World Women's Labor Union Movement
						Yu Hae-song

1. The Current Situation of Working Women in the World

After world capitalism, characterized by free competition and surplus profit, inevitably caused the World War, which killed or injured 20 million workers and peasants and created 20 million young widows, world capitalism itself passed through a brief period of stability. However, as if unable to escape its own nature, all sectors of the capitalist economy, under overproduction, are self-destructing XX, floods of unemployed people push through every street, the contradictions of capitalism have reached a crisis, and the lives of the masses have reached an unbearably miserable state.

In this way, under the deepening contradictions and extreme instability of the capitalist economic organization, the crazed cries of capitalism calling for industrial rationalization inevitably lead to the replacement of adult male workers with female and child laborers. Women workers are retained at unavoidably low wages, and permanently, whether on capitalist farms or in factories, the wages of female workers are only half those of male workers. Labor hours are inversely proportional, absolutely intense, and no sanitary or other protective facilities for female workers can be seen. Thus, even if laws protecting female workers exist, they seem to be nothing but blank paper to the capitalists whose dark eyes are blinded only by profit.

Therefore, female workers groaning under such hardship and oppression, like a cornered rat biting a cat, have bravely come out onto the front lines of the movement to conduct their own liberation movement. This is not like the fanciful empty talk clamored by nationalist petty bourgeois elements (小뿌르分子); as mentioned above, their surrounding environment has inevitably dragged them onto the line of struggle.

Thus, by their hands, labor unions are established within factories, and these unions <27> have also unified their ranks globally, abandoning isolation and standing on the XX path of developing their movement most fiercely and most actively. (Omitted - original text)

2. The Women's Movement and Labor Unions

We all know that since a labor union is a productive collective where workers from each labor sector gather politically, it serves as the cells of the unified movement and the primary foundation of the labor movement.

Generally, in this current era, the so-called third stage of capitalism, where humans have turned into machines and slaves under the striking thunderbolt, it is based on historically inevitable circumstances that women workers, who have no guarantee of livelihood and no room for rest, have globally unified the organizational body of the movement seeking their own liberation – the women's labor union movement.

Currently, even factories that do not necessarily require female labor are exploiting the conditions of female workers – whose wages are cheaper than men's and who are more docile in all matters than men – to drive out male workers as much as possible and hire many female workers along with child laborers. This is the capitalists' attempt to further solidify the foundation of industrial rationalization through all methods and to make women, who have no defensive power, into the XX of capital, thereby eternally sanctifying the hedonistic profits of capitalism.

Therefore, if women are to liberate themselves from all the XX of the capitalists, they must cast off the old masks of non-resistance, obedience, and submission, bravely step onto the front lines of the movement, continue the struggle organizationally together with their brothers and sisters who suffer the same XX, and firmly join hands with the worldwide proletarian movement and the movement of weak and small nations to merge into a single unified front.

Consequently, the women's labor union movement, like other labor union movements, has abandoned its local, individual, and isolated state, unified its organization globally, and come to control and unify its movement under strict centralism. This is not the product of empty theory but has inevitably become so due to objective reality.

Furthermore, while the current social democratic centrists verbally call for the Proletariat Movement (푸로레타리아運動), in reality, capitalism and XX-ism are XX, deceiving the masses and causing the collapse of the mass movement. They obscure the path forward for the masses with the so-called cooperative movement. Also, foolish nationalist petty bourgeois elements (小뿔조아지) who lack any criticism or goal, are trying with all their might, making their final XX, to permanently bind the masses with the ropes of capitalism and XX-ism. At the current stage, we women workers must mercilessly tear off the masks of these reactionary elements, establish production-based women's labor unions grounded in reality to win wage increases, the 8-hour workday, and legal and economic equality with men, and continue the brave struggle.

3. The Current Status of the World Women's Labor Union Movement

According to the investigation by the Amsterdam Labor Union Federation, the number of female workers who joined independent women's labor unions by 1924 exceeded 1.5 million. Compared to the total number of union members (men and women combined), this is about 13 percent. Considering that the total number of female workers in each country constitutes 25% of the total labor force (men and women combined), there is still a 12% gap to reach the same level of organization as male workers.

German (獨逸) female workers, who have been unreasonably burdened with the war debt from the Great European War (歐洲大戰) initiated by capitalists to defend their profits and seize XX, constituted 33% of the total workforce. Furthermore, a vast number, 750,000, representing 17% of those female workers, had joined independent women's labor unions by 1924. In Britain (英國), 5% of all female workers had joined unions by 1924. In the United States (米國), 200,000 out of 3.5 million industrial female workers had fully joined independent women's labor unions. (Remainder omitted - original text) <28>
<27-28>

**Summary**

This 1933 article by Yu Hae-song analyzes the global rise of women's labor unions as an inevitable consequence of capitalist exploitation, exacerbated after World War I. It argues that industrial rationalization leads capitalists to replace men with cheaper female and child labor, subjecting women to low wages, long hours, and poor conditions. The author calls for women workers to abandon passivity, organize unions based on production sectors, fight for rights like equal pay and the 8-hour day, and align with broader proletarian and anti-colonial movements, rejecting misleading paths offered by social democrats and nationalist "petty bourgeois" elements. Statistics from Germany, Britain, and the US are cited to show the movement's progress, while noting organization rates still lag behind men's. For colonial Korean history, this article is interesting as it reflects a sophisticated understanding and adoption of international Marxist/socialist discourse on class struggle, capitalism, and labor movements from the perspective of a colonial intellectual. It shows awareness of global labor trends and explicitly links the women's labor struggle with anti-colonial (weak and small nations) movements, framing local issues within a global revolutionary context.

**Named Entities**

柳海松	유해송	Yu Hae-song
獨逸	독일	Togil (Germany)
歐洲大戰	구주대전	Kujudaejŏn (Great European War / WWI)
英國	영국	Yŏngguk (Britain)
米國	미국	Miguk (United States)
암스텔담 勞働組合同盟	암스테르담 노동조합동맹	Amsterdam Labor Union Federation

**Glossary**

世界婦人勞働組合運動	세계부인노동조합운동	World Women's Labor Union Movement
現勢	현세	Current status/situation
勞働婦人	노동부인	Working women (older term)
現狀	현상	Current situation
資本主義	자본주의	Capitalism
잉여 이윤	잉여 이윤	Surplus profit
世界大戰	세계대전	World War
勞働者	노동자	Worker(s)
農民	농민	Peasant(s)
死傷	사상	Killed and injured; casualties
安定期	안정기	Period of stability
天分	천분	Innate nature; destiny
經濟	경제	Economy
生産過剩	생산과잉	Overproduction
失業者	실업자	Unemployed person/people
矛盾	모순	Contradiction
危機	위기	Crisis
民衆	민중	The masses; the people
悲慘	비참	Miserable; wretched
組織	조직	Organization
産業合理化	산업합리화	Industrial rationalization
婦人勞働者	부인노동자	Female worker(s)
少年勞働者	소년노동자	Child laborer(s); young worker(s)
大人男子勞働者	대인남자노동자	Adult male worker(s)
交代	교대	Replacement; substitution
品價	품가	Wages (older term for 품삯)
抱留	보류	Retention; keeping
永久	영구	Permanently
農場	농장	Farm
工場	공장	Factory
勞働時間	노동시간	Working hours
反比例	반비례	Inverse proportion
絶對強度	절대강도	Absolute intensity
衛生	위생	Hygiene; sanitation
保護設備	보호설비	Protective facilities/equipment
保護法	보호법	Protective law
利潤	이윤	Profit
資本家	자본가	Capitalist(s)
白紙張	백지장	Blank sheet of paper
困窮	곤궁	Hardship; poverty
壓迫	압박	Oppression
運動線	운동선	Movement front line
解放運動	해방운동	Liberation movement
民族主義	민족주의	Nationalism
小뿌르分子	소부르주아분자	Petty bourgeois elements (using a phonetic transcription '뿌르' for 'bourgeois')
空想	공상	Fantasy; daydream
週圍環境	주위환경	Surrounding environment
必然的	필연적	Inevitable
鬪爭線	투쟁선	Struggle front line
勞働組合	노동조합	Labor union
設立	설립	Establishment
世界的	세계적	Worldwide; global
陣營	진영	Camp; ranks
統一	통일	Unification
孤立狀態	고립상태	State of isolation
猛烈	맹렬	Fierce; intense
敏活	민활	Agile; active
發展	발전	Development
政治的	정치적	Political
生産的 集團	생산적 집단	Productive collective/group
細胞	세포	Cell (in an organizational context)
基礎	기초	Foundation; basis
現下	현하	Currently; at present
機械	기계	Machine
奴隷	노예	Slave
化	화	-ization; transformation into
生活保障	생활보장	Guarantee of livelihood
安息	안식	Rest; repose
組織體	조직체	Organizational body
歷史的	역사적	Historical
情勢	정세	Situation; state of affairs
基	기	Based on (Hanja used as a particle)
利用	이용	Use; exploitation
條件	조건	Condition(s)
採用	채용	Hiring; employment
方法	방법	Method
防衛力	방위력	Defensive power
享樂的	향락적	Hedonistic; pleasure-seeking
神聖化	신성화	Sanctification; making sacred
無抵抗主義	무저항주의	Non-resistance principle
順從	순종	Obedience; docility
服從	복종	Submission; obedience
갓치	같이	Together; like (older spelling of 같이)
兄弟姉妹	형제자매	Brothers and sisters; comrades
組織的	조직적	Organizational; systematic
鬪爭	투쟁	Struggle; fight
繼續	계속	Continuation
全世界	전세계	The entire world
無産階級運動	무산계급운동	Proletarian movement (movement of the propertyless class)
弱小民族運動	약소민족운동	Movement of weak and small nations (often referring to colonized/oppressed nations)
맛잡아서	맞잡아서	Holding hands together (older spelling/form of 맞잡아서)
굿게	굳게	Firmly; strongly (older spelling of 굳게)
合流	합류	Joining; merging
地方的	지방적	Local; regional
個別的	개별적	Individual
嚴格	엄격	Strict
中央集權	중앙집권	Centralism; centralized power
統制化	통제화	Control; regulation
單一化	단일화	Unification; making single
理論	이론	Theory
産物	산물	Product; outcome
客觀的現實	객관적현실	Objective reality
社會民主主義的	사회민주주의적	Social democratic
中間派	중간파	Centrist faction; middle group
푸로레타리아運動	프로레타리아운동	Proletariat Movement (using phonetic Hangul)
實相	실상	Reality; actual situation
崩潰	붕괴	Collapse; breakdown
協同組合運動	협동조합운동	Cooperative movement
煙沒	연몰	Obscure; cover up
批判	비판	Criticism
目標	목표	Goal; objective
小뿔조아지	소부르주아지	Petty bourgeoisie (using phonetic '뿔' and '조아지' for 'bourgeoisie')
밧줄	밧줄	Rope
最後的	최후적	Final
現階段	현단계	Current stage
反動分子	반동분자	Reactionary elements
假面	가면	Mask
容恕	용서	Forgiveness; pardon (here implies 'without mercy')
賃金値上	임금치상	Wage increase
8時間勞働制	8시간노동제	8-hour workday system
獲得	획득	Acquisition; winning
法律的	법률적	Legal
經濟的	경제적	Economic
平等	평등	Equality
現實	현실	Reality
立脚	입각	Based on; grounded in
生産別	생산별	By production sector; industrial (union type)
勇敢	용감	Brave; courageous
調査	조사	Investigation; survey
獨立的	독립적	Independent
