잡지명	개벽 신간 제4호
발행일	1935년 03월 01일
기사제목	晴曇未定의 政界縱橫觀 (A Comprehensive View of the Political World, Weather Undecided)
필자	洪承耈
기사형태	소식 (News)

A Comprehensive View of the Political World, Weather Undecided
						Hong Sŭng-gu

The new spring has already passed its first ten days with issues like the conclusion of the Japan bombing motion, the establishment of a new political party, the continuation or discontinuation of political-civilian ties, and the National Policy Council (國策審議會) remaining unresolved, and the political weather continues in a state of uncertain clouds and sunshine (晴曇未定). However, the 67th Diet session, currently in recess, is expected to resume around the 22nd, and following the customary policy speeches by the Prime Minister and other cabinet ministers, the curtain will rise on the political stage starting with questions from Diet members. Whether the House of Representatives will be dissolved or the Okada cabinet will resign en masse, some sort of conclusion will likely be reached by the time this manuscript is printed and published, so it is, of course, impossible to rashly predict how things will turn out now. However, based solely on what is reported in the newspapers these days, the Okada cabinet not only boasts, "The government's attitude is already decided. If the Seiyūkai (政友會) obediently follows, we have no intention of deliberately challenging them, but if they repeat their actions from the extraordinary Diet session, we will respond and not shy away from a fight," but also, in fact, Finance Minister Takahashi has stated, "The supplementary budget for disaster relief will be sufficient at the level approved last time, so there is no thought of proposing an increase beyond this yet," setting up a defensive line against the Seiyūkai's expected demands. Meanwhile, Home Minister Gotō plans a major reshuffle of regional governors, ostensibly to eliminate the old guard, but in reality, to dismiss many governors and department heads affiliated with the Seiyūkai system, thereby preparing for the upcoming general election. While the government is thus gradually preparing for both peace and war by consolidating its camp, within the Seiyūkai, although the hardliners (主戰派) still refuse to abandon their tough stance (硬論), it appears that those advocating a soft line (軟論者) to avoid dissolution are increasing daily.
In other words, the time when the great Seiyūkai showed unified discipline under the leadership of its president is already a thing of the past. In the current situation, party unity is a source of considerable worry for the leadership, so on what basis could they confidently initiate a political battle that necessitates risking dissolution? Therefore, if the situation continues as it is, while there might be disputes and conflicts in the reopened Diet, it seems possible that the ultimate dissolution might be avoided.

If so, will the Okada cabinet, despite encountering some rough seas on this occasion, ultimately continue its voyage smoothly? It cannot necessarily be seen that way<18>. Why? Because the current cabinet lacks a center. Superficially, it is a cabinet organized by Mr. Okada upon receiving the imperial command, and since he is currently its head, it is undeniably the Okada cabinet in name and reality, and thus could be called a cabinet centered on Mr. Okada. However, the 'center' I refer to here is not that. It concerns where the cabinet's foundational power lies; in other words, does its central power reside with the military, the bureaucracy, or the political parties? The fact that it lies with none of these is revealed by the weakness demonstrated by forming a National Policy Council seven months after its inception, gathering representative figures from various fields to study national policies other than diplomacy and military affairs. In short, a cabinet without a center is a weak cabinet. Having no national policies to implement without borrowing the wisdom of others is a confession of incompetence, lack of vision, and lack of ambition. That it is necessary to create a separate body outside the cabinet to deliberate on national policy is something incomprehensible by common sense alone. Since it is already a cabinet without a center, unable to walk on its own, its future fate can be roughly divined. Even for a cabinet headed by a prime minister who is a military man, albeit a retired general, I have never seen one so lacking in courage, vigor, and dynamism. Is it not shameful that they cannot even formulate those national policies—which lieutenant-colonel level officers at the Army Ministry could easily manufacture and compile into booklets if they put their minds to it for a short time—without dragging in elders from various fields and spending 400,000 yen from a deficit budget?

It is said there will be another source of trouble in the reopened Diet. This relates to the "human rights violations" (人權蹂躪問題) by prosecutors surrounding the so-called "Teijin Incident" (帝人事作), and the accusation that "this case should never have been an issue from the start, but prosecutors, driven by ambition, conjured up a castle in the air and fabricated it." In other words, people whose very essence should be coolness and fairness allegedly concocted this affair out of impure motives, thereby tainting judicial authority. Not only will the spearhead of questioning be directed at the Justice Minister, but depending on the circumstances, the beacon of impeachment (糾彈) might be raised. Since this issue caused the previous Saitō cabinet to resign taking responsibility, stirring up a major disturbance in the political world, if the defendants' side, as reported above, is correct, it is a huge problem that cannot simply conclude with the life or death of the Okada cabinet. However, as the preliminary hearing decision for this case was only just concluded at the end of last year, and the first public trial has not yet opened, one cannot say anything definitive based solely on the defendants' contradictory affidavits (上申書) and self-serving protests. But when I read the full text of the preliminary hearing decision in the newspaper and then saw the so-called protest by Mr. Mitsuchi Chūzō (三土忠造), setting aside the legal arguments for a moment, I could not help but marvel at how low the moral conceptions of figures called politicians are, and how paralyzed their consciences (良性) have become. It was beyond marvel; it was rather admirable. For instance, regarding the "gift of 300 shares," the giver admitted giving them, and the one who separately received 200 shares confessed to receiving them and even selling them along with the others for shared use, stating this clearly even during confrontation questioning<19>. Yet Mitsuchi, who allegedly received and sold them, vehemently denied it from beginning to end, shouting, "Are you people insane?" Look at Ogawa Heikichi (小川平吉), accused of accepting 700,000 yen in bribes, who insists on his innocence even while appealing to higher courts. Look at Hatoyama (鳩山), who uttered the famous phrase about a "mind like still water" (明鏡止水). Didn't he repeatedly make grand denials in the Diet, only to confess before the prosecutor to receiving forty-some thousand yen as a fee for arranging the disposal of Teijin shares? However, Hatoyama, possessing legal knowledge, knew that receiving remuneration for something not directly related to his duties as Minister of Education did not constitute the crime of malfeasance in office (續職罪), and also knew the risk of being caught for perjury (僞證罪) if he persisted in denial, hence his candid confession. If Hatoyama had been in the position of Nakajima (中島) or Kuroda (黑田), he would surely have denied it to the end, Ogawa-style. But Mitsuchi, lacking the legal knowledge of Hatoyama and Ogawa, did not know there was a loophole (逃穴) and was caught for perjury while denying the bribery. Now that even Nakajima has reportedly completely recanted his previous confession and submitted an affidavit, they are truly remarkable people. The conscience that stirred while in the prosecutor's office seems to shrivel up again upon release back into the mundane world (裟婆), even if on bail. Therefore, such figures should not be left out in the open world (陽界).
No matter how much Mitsuchi protests or denies, attacking the prosecutors, what use is it if people who read newspapers do not hear it without discounting it? Firstly, the fact that most figures called politicians are penniless (無産者) and are masterless samurai (浪人) without regular income is one reason for disbelief (難信). While it's understandable when they luckily land a position as a parliamentary official or minister, the fact that their luxurious lifestyle continues unabated even after leaving office raises questions that remain unresolved. Secondly, even granting for the sake of argument (假使 百步를 讓하야) that the prosecutors acted out of self-serving ambition (功心) or, as was rumored at one time, became the vanguard of the right-wing faction aiming to overthrow the Saitō Cabinet, thereby orchestrating a legal version of the May 15 Incident – it seems unlikely that even the preliminary judge would conspire with them to fabricate a baseless case and send it to trial deeming the suspicion of crime sufficient. And let's assume the defendants, including Nakajima, confessed to things that weren't true due to harsh and severe interrogation (苛酷辛辣한 取調) and leading questions (as Mitsuchi claims, becoming men of weak will - 薄志弱行). By what means were the statements of Hatoyama, Shōriki (正力), and other witnesses elicited, confessing these things? And what does the behavior of the defendants, who were said to be at risk of suicide unless put in leather handcuffs (가죽 手梏), signify? This is the second reason for disbelief. Thirdly, regarding the mention of physical evidence (物的證據), look at the distinguished roster of the defendants. Is there anyone among them who is an insignificant figure? It is natural they would have prepared legal escape routes in advance, but wasn't there a defendant caught by the prosecutor while contacting the outside world by bribing a guard during detention? This is the third reason for disbelief. However, if the outcome of the public trial indeed proves Mr. Mitsuchi's words correct, it will be a case more interesting than fiction. In any event, more than the presence or absence of Diet dissolution, there is likely no issue with a more urgent impact on the political situation than this case. As Mr. Baba Tsunego (馬場恒吾) said, unless "cabinet ministers start commuting from boarding houses with lunch boxes tied to their waists," problems of this kind will never cease to exist, a sentiment to which I express full agreement (滿輻同感). -(Manuscript dated January 20th)-<20>

**Summary**

This article by Hong Sŭng-gu provides a critical Korean perspective on the unstable Japanese political scene in early 1935. It discusses the weakness of the Okada cabinet, lacking a clear power base and resorting to a National Policy Council, the ongoing tensions between the cabinet and the Seiyūkai party over the budget and potential Diet dissolution, and skepticism surrounding the upcoming session. A significant portion delves into the Teijin Incident scandal, expressing deep cynicism about the denials of high-profile politicians like Mitsuchi Chūzō and questioning their morality and the judicial process, while acknowledging the potential political fallout. From a Korean colonial history perspective, the article is interesting as it shows a Korean intellectual closely analyzing and critiquing the internal power struggles and ethical failings within the ruling Japanese political class. Historians might find value in the author's skeptical tone towards Japanese governance and the detailed commentary on a major scandal impacting the Japanese government, offering insight into how colonial subjects perceived the colonizer's political system.

**Named Entities**

岡田	오카다	Okada
政友會	정우회	Seiyūkai
高橋	다카하시	Takahashi
後藤	고토	Gotō
齋藤	사이토	Saitō
帝人事作	제인사작	Teijin Incident
三土忠造	미쓰치 주조	Mitsuchi Chūzō
小川平吉	오가와 헤이키치	Ogawa Heikichi
鳩山	하토야마	Hatoyama
中島	나카지마	Nakajima
黑田	구로다	Kuroda
正力	쇼리키	Shōriki
馬場恒吾	바바 쓰네고	Baba Tsunego

**Glossary**

晴曇未定	청담미정	Weather undecided; uncertain political climate
政界	정계	Political world
動議	동의	Motion (in parliament)
新政黨	신정당	New political party
政民聯繫	정민연계	Political-civilian liaison/connection
國策審議會	국책심의회	National Policy Council (Kokutai Shingikai)
旬日	순일	A period of ten days
曇晴未定	담청미정	Cloudy or clear, undecided (same meaning as 晴曇未定)
議會	의회	Diet, parliament, assembly
總理	총리	Prime Minister
國務大臣	국무대신	Minister of State, Cabinet Minister
시정방침연설	시정방침연설	Policy speech (regarding administration)
中議院	중의원	House of Representatives (of the Diet)
內閣	내각	Cabinet
總退却	총퇴각	Full retreat, mass resignation
落着	낙착	Conclusion, settlement, outcome
輕遽히	경거히	Rashly, hastily (older form)
藏相	장상	Minister of Finance (大蔵大臣)
豫防線	예방선	Defensive line, preventative measure
敷設	부설	Laying out, setting up
内相	내상	Minister of Home Affairs (内務大臣)
地方長官	지방장관	Regional governor
老枍淘汰	노후도태	Elimination of the old guard (lit. 'old oaks')
馘首	괵수	To dismiss, decapitate (figuratively, fire)
總選擧	총선거	General election
陣營整頓	진영정돈	Consolidation of one's camp/position
主戰派	주전파	War faction, hardliners
依然	의연	Still, as before
硬論	경론	Hard-line argument, tough stance
捨치안는것	버치않는것	Not abandoning (older spelling: 捨치 = 버리+지)
解散忌避	해산기피	Avoiding dissolution (of parliament)
軟論者	연론자	Advocate of a soft line, moderate
日로	날로	Day by day (older form)
總裁	총재	President (of a party)
一絲不亂	일사불란	Perfectly disciplined, in perfect order (lit. 'not one thread in disorder')
示하든	시하든	Showed, demonstrated (older verb ending)
先天過去	선천과거	Distant past (lit. 'pre-heaven past')
黨內統一	당내통일	Party unity
可決	가결	Approval, passage (of a bill)
紛糾	분규	Dispute, complication
葛藤	갈등	Conflict, strife
風浪	풍랑	Wind and waves; troubles, difficulties
安穩	안온	Peaceful, stable
何故오하면	하고오하면	Because, the reason being (older connective form)
中心	중심	Center, core, focus
大命	대명	Imperial command/order
首班	수반	Head (of cabinet), leader
基礎勢力	기초세력	Foundational power/influence
軍部	군부	Military authorities
官僚	관료	Bureaucracy, officials
政黨	정당	Political party
何者	하자	Which one, who
外交	외교	Diplomacy
軍事	군사	Military affairs
露呈	노정	Exposure, revelation
微弱	미약	Weak, feeble
無能	무능	Incompetence
無經綸	무경륜	Lack of statesmanship/vision
無抱負	무포부	Lack of ambition
閣議	각의	Cabinet meeting
獨力	독력	One's own strength/effort
後備	후비	Military reserve
老將軍	노장군	Old general
勇壯活潑	용장활발	Courageous, vigorous, dynamic
陸軍省	육군성	Army Ministry
左官級	좌관급	Field officer rank (Major, Lt. Col., Col.)
大杖	대장	Large staff; here likely refers to large expenditure
赤字財政	적자재정	Deficit financing/budget
말성꺼리	말썽거리	Source of trouble, problem
人權蹂躪問題	인권유린문제	Human rights violation issue
檢察官	검찰관	Prosecutor
空中樓閣	공중누각	Castle in the air, fantasy
羅織	나직	Fabrication, framing (a case)
冷嚴	냉엄	Coolness, severity
公正	공정	Fairness, impartiality
法權	법권	Judicial authority, power of law
鋒刃	봉인	Spearhead, cutting edge (of an argument)
糾彈	규탄	Impeachment, censure, denunciation
烽火	봉화	Beacon fire (signal)
前內閣	전내각	Previous cabinet
引責辭職	인책사직	Resigning to take responsibility
政界	정계	Political world
大波紋	대파문	Great disturbance, major ripple effect
捲起	권기	To stir up, cause
被告人	피고인	Defendant
豫審決定	예심결정	Preliminary hearing decision
公判	공판	Public trial
供述翻覆	공술번복	Retraction of testimony/confession
上申書	상신서	Affidavit, written statement submitted to superiors/court
自家擁護	자가옹호	Self-defense, self-justification
抗辯	항변	Protest, counterargument
道德觀念	도덕관념	Moral conception
良性	양성	Good nature, conscience (here likely means conscience)
痲痺	마비	Paralysis
敬歎	경탄	Admiration, amazement
感服	감복	Deep admiration, being deeply impressed
事例	사례	Example, case
進呈	진정	To present, gift (formal)
對質審問	대질심문	Confrontation questioning
徹頭徹尾	철두철미	Thoroughly, from beginning to end
頑强	완강	Stubborn, obstinate
怒號	노호	Angry roar, yell
收賄	수회	Accepting bribes
上告	상고	Appeal to a higher court
潔白	결백	Innocence, purity
明鏡止水	명경지수	Clear mirror, still water (a mind undisturbed)
吐하든	토하든	Uttered, spoke (older verb ending)
大言壯語	대언장담	Boasting, big talk
否認	부인	Denial
吐實	토실	Confession (lit. 'spitting out the truth')
幹旋料	간선료	Arrangement fee, commission
酬勞金	수로금	Remuneration, reward money
續職罪	독직죄	Crime related to one's official duties (e.g., bribery while in office)
構成	구성	To constitute (a crime)
僞證罪	위증죄	Perjury
솔직	솔직	Frank, honest
逃穴	도혈	Escape route, loophole (lit. 'escape hole')
保釋	보석	Bail
裟婆	사바	Saha world (Buddhist term for the mundane world)
오구러저	오그라져	To shrivel, shrink (older spelling)
陽界	양계	The world of the living (opposite of underworld)
割引	할인	Discount; here, taking with a grain of salt
첫재	첫째	Firstly (older spelling)
無産者	무산자	Propertiless person, proletarian
浪人	낭인	Masterless samurai; person without fixed employment
僥倖	요행	Good fortune, luck
政務官	정무관	Parliamentary official (e.g., Vice-Minister)
椅子	의자	Chair; position, post
*놓은	놓은	Having left/lost (likely an older form/typo for 나온 or 놓친)
*釋되지	석되지	Be resolved (older form/spelling of 해석되지?)
難信	난신	Hard to believe, reason for disbelief
假使	가사	Even if, supposing
百步를 讓하야	백보를 양하여	Granting 100 steps; making a large concession, for argument's sake
功心	공심	Ambition for achievement, self-serving motive
右翼派	우익파	Right-wing faction
先鋒	선봉	Vanguard, spearhead
做出	주출	To create, produce, orchestrate
豫審判事	예심판사	Preliminary hearing judge
和應	화응	To conspire with, echo
苛酷辛辣	가혹신랄	Harsh and severe
取調	취조	Interrogation
誘導	유도	Leading (questions), inducement
薄志弱行	박지약행	Weak-willed and irresolute action
參考人	참고인	Witness, person providing reference information
가죽 手梏	가죽 수곡	Leather handcuffs
物的證據	물적증거	Physical evidence
名簿	명부	Roster, list of names
泛然	범연	Ordinary, commonplace
合法的	합법적	Legal, lawful
逃避策	도피책	Escape plan/measure
講究	강구	To devise, work out
收容中	수용중	During detention/internment
看守	간수	Guard, warder
買收	매수	To bribe, buy off
外間	외간	Outside world
聯絡	연락	Contact, communication
發覺	발각	Discovery, exposure
滿輻同感	만장동감	Full agreement (similar to 만장일치 - unanimous agreement)


---------------------------


잡지명	개벽 신간 제4호
발행일	1935년 03월 01일
기사제목	晴曇未定의 政界縱橫觀
필자	洪承耈
기사형태	소식

晴曇未定의 政界縱橫觀
						洪承耈
