Magazine Title: 개벽 신간 제4호
Publication Date: 1935년 03월 01일
Article Title: 文壇 ■……■ (Literary World Tidbits)
Author: Not specified
Article Type: 소식 (News/Tidbits)

Literary World Tidbits
Mr. Sŏ Yŏnghae (徐領海), a compatriot residing in France (佛國) who previously published the book 『Chosŏn Life』 (朝鮮生活相) in French, is said to have published another collection of Korean folktales titled 『The Misfortune of the Bright Mirror』 (明鏡의 不幸) in December last year at the Figuière (피기에─르) Bookstore in Paris (巴里).
It is said that in the preface of this book, he substituted a preface with his fervent sincerity of loving his compatriots, and that its distinctiveness and appeal lie in its content, which primarily focuses on a purely Korean local character (朝鮮的 鄕土性) and Korean simplicity (朝鮮的 素朴性).
★
Mr. Yi Kwangsu (李光洙), who had remained silent for a long time, gave a literary lecture over two consecutive days before the New Year at the Kyŏngsŏng Broadcasting Station (京城放送局) under the title 『Composition, Literature, and the Man of Letters』. This became a topic of conversation among gossip lovers as he reportedly volunteered and requested the broadcast himself. However, it was later revealed that there was indeed an admirable, tearful "episode" behind it. A close friend (親友) of Mr. Yi, a certain Mr. So-and-so who is in Wŏnsan Prison (元山刑務所), had requested some money. As Yi happened to have no money to send, he thought about it, <76> sacrificed his speech (辯說) for two days for his friend's sake, and met his request with the income (所得) earned. Truly a commendable deed.
★
The Arts and Culture Department (學藝部) of a certain newspaper (某 新聞) selected fifteen young, established writers (中堅作家) before the New Year to serialize short stories. While most have already been published, the newspaper is incurring the displeasure (不平) of some writers by rejecting the publication (揭載) of the remaining stories under the pretext (口實) of New Year scheduling issues and other unreasonable excuses, even after commissioning them. This is said to be an act that ignores Chosŏn's writers and only considers the newspaper's own face (體面).
★
Mr. Ch'oe Tok[...] (崔獨■), who had stopped writing newspaper novels for a long time, suddenly announced a full-length novel (長篇) titled 『Spring of the Heart』 in the Maeil Sinbo (每申) before the New Year and is currently writing (執筆 中) it. However, before the novel has even reached forty installments, the issue of the novel's mo[tif] (모■ 問題) is already emerging. According to reliable investigation (探聞), it is said to be based on the story of Mr. S (S氏) from a certain association (某會), who was involved in a dispute incident (紛叫事件), and Ms. P (P氏), an intellectual woman (인테리 女性) who once caused a great sensation (一大 『쎈세이슌』) in Chosŏn's women's circles (女性界). However, while hoping and believing (미더 바라는) this is not the case, we also hope that this novel will not be discontinued (■■되지) like the one based on the Yi Su[...] (李洙■) patricide incident (殺父悖子) that was serialized in a certain paper (某紙).
★
Mr. Yi Sŏkhun (李石薰)—even amidst his busy schedule (밧분 中)—applied anonymously (匿名) to a certain paper's New Year's prize essay contest (新春懸賞論文). He was delighted not only to gain the honor (榮譽) of fortunately (多幸히) winning first prize (一等 當選) but also to receive a comfortable fifty Wŏn (五拾圓) in prize money (賞金). However, in a case of misfortune in fortune (多幸 中 不幸) rather than fortune in misfortune (不幸 中 多幸), the old man (老人) suddenly suffered a sudden illness (急病), was hospitalized in the Medical College Hospital (醫專病院) for a long time, and incurred unexpected expenses (意外의 費用) several times the amount of the prize money upon his discharge. Friends and acquaintances (親知) who know this fact, seeing him greatly regretting it (愛惜해 하는), say, "That's why they say there are no free things (공것이) in this world (世上)!"
★
There was a rumor (風聞) that Mr. Kim Ŏk (金億) had received thirty Wŏn (三十圓) as a token of gratitude (謝禮口文) for introducing the Samch'ŏlli Company's (三千里社) publication 『Peace and Freedom』 (平和와 自由) to a certain bookstore (某 書店). However, the other day (日前), Mr. Ŏk, the person concerned (當者), resolutely (■然) denied this, saying:
"Thirty Wŏn is a lie; that's very unfair talk. In reality (實上은), I received nothing but a sukiyaki (『스기야기』) treat (한턱)."
★
After advertising in the newspaper (新聞紙上) seeking the address (住所) of Pak Hyangmin (朴鄕民), the author (作者) of 'Today's Woman', which won first prize for drama (戱曲) in the Chungang Ilbo (中央日報) New Year Literary Contest (新年 文藝懸賞), a notification arrived the next day (翌日). Believing it to be genuine (그러려니 밋고 잇섯든 바), it was later unexpectedly (밧게) revealed (判明되야) that a fake (가짜) Pak Hyangmin, coveting (貪내여) the prize money, had sent a false (거짓) address. The authorities (當局者) were greatly shocked and turned pale (大驚失色), saying, "That was almost a huge problem (큰일날 번하엿다)!"

It was stated that among the thirty masterpiece novels (傑作小說) published (揭載된) in the Samch'ŏlli (三千里) New Year's issue (新年號), Yi Injik's (李人稙) work (作) 『Voice of the Ghost』 (鬼의 聲) was serialized in the Maeil Sinbo (每申). However, this was not the Maeil Sinbo; it seems the editor (編者), in their rush (총망중), mistakenly wrote that it had been serialized in the Manse[bo] (萬歲■). This is hereby corrected (爲之訂正).

Mr. Sŏk'yŏng, An Sŏkchu (夕影 安碩柱), recently drew three hundred watts (三百瓦) of his own blood (피) for a blood transfusion (輸血) when his recently sixty-year-old (?) (還充한) father-in-law (岳丈), Elder Kim Ilsŏn (金一善), was dying (殞命 時). At a time (이때) when even filial sons (孝子) who cut off their fingers (斷指) are rarely seen (볼업수는), the existence of a filial son-in-law (孝婿) who would even sacrifice his own blood for (■하야) his father-in-law cannot but be a rare occurrence (듬은 일이 아닐 수 업다) in recent times (近來에). However, it is quite regrettable (저윽이 哀惜한 일인) that even the sincerity (精誠) of this precious (貴여운) filial son-in-law did not achieve its effect (効를 엇지 못하고) and [the father-in-law] went the way he was destined to go (갈길로 도라간 것은). At the same time, friends and acquaintances (親知들은) are said to just admire (그저 ■■한다고) An's commendable filial act (갸륵한 ■■).<77>

**Summary**

This article compiles short news items and gossip concerning Korean literary figures in early 1935. It covers Sŏ Yŏnghae's publication of Korean folktales in Paris, Yi Kwangsu's radio lecture motivated by charity for an imprisoned friend, disputes between writers and a newspaper over rejected commissions, speculation about the real-life basis for Ch'oe Tok[...]’s new novel, Yi Sŏkhun's bittersweet prize win followed by costly illness, Kim Ŏk denying rumors of payment beyond a meal, an attempted prize fraud involving Pak Hyangmin, a correction regarding Yi Injik's serialization venue, and An Sŏkchu's filial act of donating blood to his dying father-in-law. From a historical perspective, the article offers glimpses into the precarious economic lives of colonial Korean writers (Yi Kwangsu needing lecture fees, Yi Sŏkhun's prize money overshadowed by medical costs, Kim Ŏk's rumored payment, the newspaper dispute), the perceived importance of maintaining dignity (體面) by institutions, the international presence of Korean culture (Sŏ Yŏnghae in Paris), anxieties about censorship or discontinuation of works touching sensitive subjects (Ch'oe's novel), and social values like filial piety (An Sŏkchu).

**Named Entities**

徐領海	서영해	Sŏ Yŏnghae
佛國	불국	France
巴里	파리	Paris
피기에─르 書店	피기에르 서점	Figuière Bookstore
李光洙	이광수	Yi Kwangsu
京城放送局	경성방송국	Kyŏngsŏng Broadcasting Station
元山刑務所	원산형무소	Wŏnsan Prison
某 新聞	모 신문	A certain newspaper
崔獨■	최독■	Ch'oe Tok[...]
每申	매신	Maeil Sinbo (likely abbreviation for 每日申報)
某會	모회	A certain association
S氏	S씨	Mr./Ms. S
P氏	P씨	Ms. P
李洙■	이수■	Yi Su[...]
某紙	모지	A certain paper
李石薰	이석훈	Yi Sŏkhun
醫專病院	의전병원	Medical College Hospital
金億	김억	Kim Ŏk
三千里社	삼천리사	Samch'ŏlli Company
中央日報	중앙일보	Chungang Ilbo
朴鄕民	박향민	Pak Hyangmin
李人稙	이인직	Yi Injik
鬼의 聲	귀의 성	Kwi ŭi Sŏng (Voice of the Ghost)
萬歲■	만세■	Manse[bo] (likely 萬歲報)
安碩柱	안석주	An Sŏkchu
金一善	김일선	Kim Ilsŏn

**Glossary**

文壇	문단	Literary world
同胞	동포	Compatriot(s)
著書	저서	Book, written work
佛語	불어	French language
내인	낸	Published (older form of 내다)
하엿다한다	하였다 한다	It is said that [someone] did (older grammatical form)
첫두머리	첫머리	Beginning, start (older spelling)
精誠	정성	Sincerity, devotion
序文	서문	Preface, foreword
鄕土性	향토성	Local color, regional character
素朴性	소박성	Simplicity, naivety
거긔에	거기에	There (older spelling)
잇다고 한다	있다고 한다	It is said that there is (older spelling)
오래ㅅ동안	오랫동안	For a long time (older spelling with ㅅ)
지내든	지내던	Who used to spend time (older spelling)
歲前에	세전에	Before the New Year
放送	방송	Broadcast
조와하는	좋아하는	Who like (older spelling)
되엿섯다	되었었다	Had become (older spelling)
들어낫다	드러났다	Was revealed (older spelling)
親友	친우	Close friend
맛춤	마침	Just then, by chance (older spelling)
업고	없고	Not having (older spelling)
爲하야	위하여	For the sake of (older spelling)
辯說	변설	Speech, eloquence
所得	소득	Income, earnings
待接하엿다는	대접하였다는	Treated, hosted (older spelling)
갸륵한	가륵한	Admirable, commendable
學藝部	학예부	Arts and culture department
中堅作家	중견작가	Established mid-career writer
短篇小說	단편소설	Short story
임의	이미	Already
되엿스나	되었으나	Although it was (older spelling)
남어지는	나머지는	The rest (older spelling)
해놋코도	해놓고도	Even after having done (older spelling)
口實	구실	Pretext, excuse
揭載	게재	Publication (in a newspaper/magazine)
拒絶하야	거절하여	Rejecting (older spelling)
不平	불평	Complaint, dissatisfaction
사고 잇다	사고 있다	Are incurring/buying (older spelling)
體面	체면	Face, dignity, honor
붓을 끈코잇든	붓을 끊고 있던	Who had stopped writing (lit. 'cut off the brush') (older spelling)
長篇	장편	Full-length novel
執筆 中	집필 중	In the middle of writing
발서	벌써	Already (older spelling)
擡頭	대두	Emergence, rising to prominence
探聞	탐문	Inquiry, investigation
紛叫事件	분규사건	Dispute incident
이르킨	일으킨	Who caused (older spelling)
인테리	인텔리	Intellectual (loanword)
잡어서	잡아서	Taking, basing on (older spelling)
그럿치	그렇지	So, like that (older spelling)
미더	믿어	Believing (older spelling)
밧분	바쁜	Busy (older spelling)
新春懸賞論文	신춘현상논문	New Year's prize essay contest
匿名	익명	Anonymity
應募하야	응모하여	Applying (to a contest) (older spelling)
어덧슬뿐 아니라	얻었을 뿐 아니라	Not only received (older spelling)
賞金	상금	Prize money
엇게 되엿다고	얻게 되었다고	It is said that [someone] came to receive (older spelling)
조와하더니	좋아하더니	Was pleased, but then... (older spelling)
老人	노인	Old man
急病	급병	Sudden illness
맷 갑절이	몇 갑절이	Several times (amount) (older spelling)
들엇다고	들었다고	It is said that it cost (older spelling)
親知	친지	Friends and acquaintances
愛惜	애석	Regret, sorrow
공것이	공것이	Free things (older form of 공짜)
업다는	없다는	That there aren't (older spelling)
거라우	거라오	It is (older speech style ending)
謝禮口文	사례 구문	As a pretext of gratitude/commission (nuance: possibly implying a less formal or slightly dubious payment)
바덧다는	받았다는	It is said that [someone] received (older spelling)
風聞	풍문	Rumor
들엇섯는데	들었었는데	Had heard (older spelling)
當者	당자	The person concerned
밧게 업소	밖에 없소	There is nothing but (older spelling/speech style)
戱曲	희곡	Play, drama
作者	작자	Author, creator
住所	주소	Address
밋고 잇섯든 바	믿고 있었던 바	Had been believing (older spelling)
나종	나중	Later (older spelling)
밧게	뜻밖에	Unexpectedly (older spelling)
判明되야	판명되어	Being revealed (older spelling)
當局者	당국자	The authorities, person in charge
하마트면	하마터면	Almost, nearly
큰일날 번하엿다	큰일 날 뻔하였다	Would have been a big problem (older spelling)
大驚失色	대경실색	Greatly shocked and pale (idiom)
新年號	신년호	New Year's issue
傑作小說	걸작소설	Masterpiece novel
編者	편집자	Editor
총망중	총망중	In a hurry, in a rush
爲之訂正	위지정정	Correcting it for this reason (formal Hanja phrase)
今般	금반	Recently, this time
岳丈	악장	Father-in-law
殞命	운명	Death (formal)
輸血	수혈	Blood transfusion
斷指	단지	Cutting off a finger (as an act of filial piety)
孝子	효자	Filial son
볼업수는	볼 수 없는	Cannot see, unseeable (older form)
孝婿	효서	Filial son-in-law
듬은	드문	Rare, uncommon (older spelling)
貴여운	귀여운	Precious, dear (older spelling, used unusually here, likely means 귀한 'precious/valued')
効	효	Effect, efficacy
엇지	얻지	Obtain, get (older spelling)
저윽이	자못/적이	Quite, considerably
哀惜	애석	Regret, sorrow


---------------------------


잡지명	개벽 신간 제4호
발행일	1935년 03월 01일
기사제목	文壇 ■……■
기사형태	소식

文壇 ■……■
佛國에 在留하는 同胞로 일즉이 『朝鮮生活相』이라는 著書를 佛語로 내인 徐領海 氏는 昨年 十二月에 또다시 『明鏡의 不幸』이라는 朝鮮民話集을 巴里 『피기에─르』 書店에서 出版하엿다한다.
그런데 그는 그 著書 첫두머리에 同胞를 사랑하는 뜨거운 精誠을 序文으로 대신하엿고 또는 內容이 純然히 朝鮮的 鄕土性 朝鮮的 素朴性을 主로한 거긔에 特色과 사랑이 잇다고 한다.
★
