Magazine Title: 개벽 신간 제4호
Publication Date: 1935년 03월 01일
Article Title: 新聞漫談 (Newspaper Gossip)
Author: Unspecified
Article Type: 잡저 (Miscellaneous writing/column)

Newspaper Gossip
…Hello… Is that Mr. Chŏng Ku-chung’s hospital? I heard President Song was injured and hospitalized; is it very serious? Can I visit him if I go now?… Yes, yes… No particular injuries, just a fractured clavicle. Visits are not refused, please come…
★
This is a verbatim record of a telephone conversation between a certain kisaeng and someone at Mr. Chŏng Ku-chung’s hospital. President Song met with an unexpected misfortune right at the start of the New Year. The facts were reported in detail in a certain newspaper, so I won't repeat them here.
★
However, a certain literary figure, upon hearing the news of Mr. Song's injury, became greatly indignant and said, "How could the president of the principled and noble Tong-a Ilbo, which absolutely refuses to publish writings by authors who contribute to the 'Maeil Sinbo' (每申) in its own newspaper or magazines, disgracefully get injured while chasing the tails of Maeil Sinbo Vice President Yi Sang-hyŏp, National Association (國民協會) General Secretary Cho Pyŏng-sang and his associates (等人), and among them, Kim Kwang-sŏng (金鑛成), Kim Ka (金家), and Ch'oe Ch'ang-hak, who receive much unwelcome praise from many people! If the Tong-a Ilbo is indeed as principled and noble a newspaper as it presents itself, the company should naturally demand Mr. Song's resignation this time," he declared… To say such things when someone is injured seems a bit harsh, but the point itself sounds plausible.
★<86>
The Chosŏn Ilbo Company purchased an airplane at the start of the New Year. As the company boasts, it is truly an unprecedented, great undertaking in the history of the Korean press.
★
However, it is doubtful whether Korean newspapers yet have any use for employing an airplane. Fortunately, or rather unfortunately, if there were a flood disaster in the three southern provinces like last year, they might fly to Taegu to stay overnight, or else, like tossing snacks to monkeys at the zoo (動物園), they could drop pieces of dry bread from the air to the disaster victims (罹災民) and then advertise in the newspaper, claiming they provided relief to the victims. But if there are no such events, I worry it might become a useless thing (無用之長物). If they were going to spend money anyway, it seems more necessary to establish a newspaper company library (圖書館) or perhaps send reporters to study abroad to cultivate great newspaper journalists, rather than buying an airplane.
★
After the Chosŏn Ilbo ran an editorial on the evils of keeping concubines (蓄妾), the Chosŏn Chungang Ilbo then ran an editorial stating that keeping concubines is the root of ruining a family (敗家). I don't know if the presidents at Chosŏn and the vice president and editor-in-chief elders (令監) at Chungang ordered such editorials to be written to warn the general populace based on their own experiences (體驗), but if the editorial writers wrote them voluntarily, they are truly bold and fair journalists. However, they will surely incur the strong dislike of the newspaper leadership, so for the sake of their future positions (處身), it would probably be better not to write (更不作) such editorials hereafter.
★
Speaking of the editor-in-chief (編輯局長), the competition among the various companies these days is quite a spectacle, but the jostling for seats among the presidents themselves at any gathering is also quite a sight. President Song, considering himself the veteran president of the newspaper world and unsurpassed socially, customarily sits in the highest seat. President Pang, finding it embarrassing to sit second, strives to arrive before the scheduled time, that is, before President Song arrives, to occupy the top seat. However, President Yŏ, who doesn't fuss over trivial matters (不拘小事), takes whatever seat is available…
★
But there was one amusing incident. Sometime ago, Yŏnhŭi College (延禧專門) invited the three presidents. Somehow, it happened that Mr. Yŏ was seated highest, Mr. Song next, and Mr. Pang in the lowest seat. Mr. Pang considered this a great insult and, in great indignation (大憤慨), exclaimed, "How could those people treat someone like that!" When he related this fact, a certain executive, perhaps to curry favor with President Pang, expressed even greater indignation and fury, saying, "Yes, those insolent fellows! How dare they treat our great newspaper company worse than that minor newspaper!" The president's office was in an uproar for a while, and it almost seemed that if there were any secret scandals at Yŏnhŭi College, they would retaliate on the spot with the power of the pen. Fortunately, the editor-in-chief intervened, arguing (代辯) that it wasn't for any other reason; Mr. Yŏ was given the first seat to interact directly with Westerners since he is fluent (通) with them, and Mr. Song was seated next because he has more acquaintances (知面), questioning whether any discrimination could have been intended. Only then did President Pang's anger somewhat subside (稍解), or so the story goes (云云).<87>

**Summary**

This gossip column from March 1935 discusses recent events and rivalries within the Korean newspaper world. It mentions the injury of Song Chin-u (Tong-a Ilbo president) and criticism linking his injury to associating with figures connected to the pro-Japanese Maeil Sinbo. It mocks the Choson Ilbo's purchase of an airplane as potentially useless and suggests investing in a library or journalist training instead. The column satirizes editorials against concubinage published by Choson Ilbo and Choson Chungang Ilbo, hinting they might stem from the personal experiences of the newspapers' executives. Finally, it humorously describes the intense rivalry and sensitivity regarding seating arrangements among the presidents of Tong-a Ilbo (Song Chin-u), Choson Ilbo (Pang Ŭng-mo), and potentially Choson Chungang Ilbo (Yŏ Un-hyŏng), illustrated by an anecdote from Yŏnhŭi College.

From a historical perspective, the article offers intriguing glimpses into the competitive and politically sensitive environment of the major Korean private newspapers under Japanese colonial rule. The mention of Song Chin-u's association with Maeil Sinbo figures and the ensuing criticism highlight the internal pressures and nationalist expectations placed upon Korean cultural elites. The discussion of the airplane purchase and the critique of concubinage editorials reveal contemporary social debates and the newspapers' attempts at relevance or perhaps hypocrisy. The detailed account of the presidents' seating squabbles underscores the personal pride and intense rivalry among the leaders of these influential institutions, reflecting their perceived status within colonial society.

**Named Entities**

鄭求忠	정구충	Chŏng Ku-chung
鄭求忠 氏 病院	정구충 씨 병원	Mr. Chŏng Ku-chung's Hospital
宋 社長	송 사장	President Song (likely Song Chin-u)
東亞日報	동아일보	Tong-a Ilbo
每申	매신	Maeil Sinbo (Maeil Sinmun)
李相協	이상협	Yi Sang-hyŏp
國民協會	국민협회	Kungmin Hyŏphoe (National Association)
曺秉相	조병상	Cho Pyŏng-sang
等人	등인	and others / et al.
金鑛成	김광성	Kim Kwang-sŏng
金家	김가	Kim Ka
崔昌學	최창학	Ch'oe Ch'ang-hak
朝鮮日報社	조선일보사	Chosŏn Ilbo Sa (Choson Ilbo Company)
朝鮮	조선	Chosŏn (Korea)
大邱	대구	Taegu
動物園	동물원	Tongmurwŏn (Zoo)
罹災民	이재민	Ijaemin (Disaster victims)
朝鮮 中央	조선 중앙	Chosŏn Chungang (likely Chosŏn Chungang Ilbo)
方 社長	방 사장	President Pang (likely Pang Ŭng-mo)
呂 社長	여 사장	President Yŏ (likely Yŏ Un-hyŏng)
延禧專門	연희전문	Yŏnhŭi Chŏnmun (Yonhui College)
西洋人	서양인	Westerner

**Glossary**

거긔	거기	there (older spelling)
입닛가	입니까	is it? (older spelling/pronunciation)
하셧다니	하셨다니	I hear that (you/he) did (older spelling)
안이신가요	아니신가요	isn't it? (older spelling)
別無傷處	별무상처	no particular injury
破折	파절	fracture
謝絶	사절	refusal; declining (visits)
劈頭	벽두	beginning; start (of the year)
橫厄	횡액	unexpected misfortune; accident
자서이	자세히	in detail (older spelling)
되였으니	되었으니	as it became; since it was (older spelling)
안으랴한다	않으려 한다	intend not to do (older form)
듯고	듣고	hearing (older spelling)
憤慨	분개	indignation; resentment
曰	왈	saying;曰 (used to quote speech)
節操	절조	integrity; principle; fidelity
高潔	고결	nobility; high-mindedness
엇지하야	어찌하여	how; why (older spelling)
밧는	받는	receive; get (older spelling)
꽁문이	꽁무니	tail-end; rear
쪼차다니다가	쫓아다니다가	while chasing after (older spelling)
昌皮하게	창피하게	disgracefully; embarrassingly (common misspelling/variant of 창피(蒼 皮))
하엿누	하였는가	did (question form, older/dialectal)
自處	자처	present oneself as; claim to be
잇고	있고	have/be (older spelling)
식힐것이라	시킬 것이라	will make (someone) do (older spelling)
甚한	심한	severe; harsh
아즉	아직	yet; still (older spelling)
있을는지	있을는지	whether there will be
昨年	작년	last year
三南水災	삼남수재	flood disaster in the three southern provinces (Chungcheong, Jeolla, Gyeongsang)
그럿치 안으면	그렇지 않으면	otherwise; if not (older spelling)
菓子	과자	snacks; confectionary
던저주고	던져주고	tossing; throwing (older spelling)
罹災民	이재민	disaster victims; sufferers
救濟	구제	relief; aid
하겟지만은	하겠지만은	although (one) might do (older spelling)
無用之長物	무용지장물	useless thing; white elephant (assuming 無■ is 無用)
念慮	염려	worry; concern
圖書館	도서관	library (assuming ■■■書■ is 圖書館)
設立	설립	establishment; foundation
蓄妾	축첩	keeping a concubine
弊害	폐해	evil; harm; ill effect
社說	사설	editorial
敗家	패가	ruining a family
令監	영감	His Excellency; elder; old man (here refers to high-ranking editors)
體驗	체험	(personal) experience
警戒	경계	warning; caution
모르거니와	모르거니와	I don't know, but...; setting aside whether...
自發	자발	voluntarily; spontaneously
썻다면	썼다면	if (one) wrote (older spelling)
大膽	대담	bold; audacious
首腦者	수뇌자	leader; head
바들터이니	받을 터이니	will surely receive (older spelling)
此後	차후	hereafter; henceforth
更不作	갱부작	not do/write again (assuming 更不■ is 更不作)
處身	처신	one's conduct; managing one's affairs/position
조흘듯	좋을 듯	seems good; would be good (older spelling)
낫으니 말이지	낫으니 말이지	speaking of which; since it came up (assuming 낫스■ is 낫으니)
요새	요새	these days; nowadays
座席	좌석	seat; seating
다툼	다툼	quarrel; dispute
可觀	가관	spectacle; sight (often used ironically)
元老	원로	elder statesman; veteran
依例	의례	customarily; usually
其次	기차	the next one; second place
昌皮하야	창피하여	being embarrassed/ashamed (older spelling/variant)
定刻	정각	scheduled time; appointed hour
卽	즉	that is; namely
차지하너라고	차지하느라고	in order to occupy/take (older spelling)
不拘小事	불구소사	not bothering with trivial matters
席次	석차	seating order
우서운	우스운	funny; amusing (older spelling)
하엿는데	하였는데	did, but... (older spelling)
엇지	어찌	how; why (older spelling)
그리되엿던지	그리되었던지	somehow it happened that... (older spelling)
最上	최상	the highest; the best
末席	말석	lowest seat
侮辱	모욕	insult; humiliation
大憤慨	대분개	great indignation (assuming ■■憤慨 is 大憤慨)
待接	대접	treatment; reception
맛치더라도	맞추더라도	even while trying to please/ 맞춰주더라도 (older spelling/usage)
一層	일층	even more; further
憤慨怒叱	분개노질	indignant rage and rebuke
그까진	그까짓	such a trivial; that sort of
所新聞	소신문	minor newspaper
떠들석하야	떠들썩하여	being noisy; being in an uproar (older spelling)
하마하더면	하마터면	almost; nearly
秘密內幕	비밀 내막	secret inside story; hidden details
當場	당장	on the spot; immediately
威力	위력	power; force
報復	보복	retaliation; revenge
