Magazine Title	삼천리 제12권 제9호
Publication Date	1940년 10월 01일
Article Title	滿洲國建設 勤勞奉仕 朝鮮部隊記 (Account of the Korean Unit in the Manchukuo Construction Labor Service Corps)
Author	李完琇
Article Type	기행문 (Travelogue)

Account of the Korean Unit in the Manchukuo Construction Labor Service Corps
						Yi Wansu

On June 29th, at 7:55 AM, the Yŏngil (延吉) contingent of the Manchukuo Construction Service Corps departed from Kyŏngsŏng station. At the station, various officials, private citizens, and residents came out to give us a send-off. As the train started moving along with the departure whistle, I felt both joy and the weight of our grave responsibility.

The service corps was divided into the Yŏngil contingent and the Wangch'ŏng (汪淸) contingent. The Yŏngil contingent, consisting of 161 members from the eight provinces of Kyŏnggi, North and South Ch'ungch'ŏng, North and South Kyŏngsang, North and South Chŏlla, and Hwanghae, departed on the 29th at 7:55 AM. The Wangch'ŏng contingent, with 93 members from the five provinces of North and South P'yŏngan, Kangwŏn, and North and South Hamgyŏng, was scheduled to depart the same day sometime after 10 PM.

I was in the Yŏngil contingent. The train ran along the Kyŏngwŏn Line and the Hamgyŏng Line, arriving in Tomun (圖們) the next day at 6:50 PM.

We arrived in Yŏngil at 9:30 PM on the 30th. At the station, Governor Sinkichi (神吉省長閣下) of Kando Province (間島省) and below, representatives from various government offices, private citizens, students, the Patriotic Women's Association, and youth groups gave us a grand welcome, which was incredibly moving. We unloaded our rucksacks in the square in front of Yŏngil Station, and two trucks arrived to haul them all away. We walked on foot around 10 PM, unsure of our direction, marching through the unfamiliar streets of Yŏngil, where everything gave a strange impression.

As we passed through the bustling downtown area, there were quite a few entertainment venues, but seeing the language and gestures of fellow Koreans was very welcoming. The sound of music here and there also seemed familiar, and the feeling of being in a foreign country completely disappeared. Soon, we walked up a half-sloping street and saw rows of fine two-story brick buildings, which I guessed were educational institutions or government offices. The guide told us it was the Puksan Kukmin Ugyŭp Hakkyo (北山國民優級學校 - Public Ordinary Elementary School). We immediately went inside and found a set of bedding assigned to each person, so we felt somewhat relieved and shook off the fatigue from the train journey.

The next day (July 1st), wake-up was at 6 AM. We got up, answered roll call, washed our faces, held the morning assembly, ate breakfast, and at around 10 AM, paid respects at Yŏngil Shrine (延吉神社). That afternoon at 3 PM, a welcoming ceremony was held in the schoolyard. With the County Magistrate (縣長閣下) and below, representatives of officials and citizens, students, youth groups, the Patriotic Women's Association, and other dignitaries from various organizations in attendance, we received a grand welcome. The spirit of "Unity of Korea and Manchuria" (鮮滿一如) manifested itself that day, making us think anew about how important our mission was.

Every dawn at 5 AM, with the sounding of the wake-up bell, we rise from our beds, line up in the schoolyard, perform the morning<140> roll call, and immediately, over 160 people quickly wash their faces within 30 minutes, tidy their bedding, get dressed, and hold the morning assembly at 5:30 AM.

The order of the morning assembly is as follows: after everyone lines up, roll call is taken by province. Then, for about 1 minute and 30 seconds, we close our eyes and remain silent and still for 'mitama shizume' (みたましがめ-), a practice meant to calm the spirit. Next, we perform worship towards the Imperial Palace (宮城遙拜) with two bows, two claps, and one bow (2拜2拍1拜). We then engage in the singing of the national anthem (國家合唱), the respectful reading of the Imperial Rescript (勅語奉讀), the chanting of the Oath of Imperial Subjects (皇國臣民 誓詞제창), and three cheers of 'Banzai' for His Majesty the Emperor (天皇陛下 彌榮三唱). Following this, we recite the Service Corps creed: "We, the Labor Service Corps, receiving the divine edict of the Imperial Ancestors, pledge to the gods that we shall unite our hearts and efforts, dedicate our bodies, and advance the celestial task of East Asian prosperity (興亞의 天業), and unfailingly serve in accordance with His Majesty the Emperor's great will." We then sing, "Appare (アツパ), ano omoshiro, ano tanoshi, ano sakae-tsu, oke-tsu" (晴れ あの 面白 あの樂し. あの榮け-ツ おけ-ツ), a song expressing that the responsibility and mission of each of our lives is sacred and fulfilling. Next, we sing 'Umi Yukaba' (海行かば) together, and conclude the morning worship with two bows, two claps, and one bow. After the worship ends, we exchange morning greetings. Once worship is finished, we perform Japanese Calisthenics (日本體操 - ヤマトバタラキ). When the exercises are over, the meal duty team prepares breakfast, and each provincial unit recites the Service Corps creed before eating. After breakfast, lunch preparations are made, and at 7:30 AM, when the assembly bell rings, everyone lines up, receives their work assignments, and marches to the construction site with vigorous spirit, singing colonial songs (植民歌). Marching with shovels and pickaxes instead of rifles and bayonets, we felt capable of moving mountains and confident that any difficult construction task could be easily accomplished. Soon, upon arriving at the construction site and starting work, everyone diligently focused on their assigned tasks. After some time, tiredness set in, and the desire to rest arose; the work was strenuous, and thoughts of slacking off were not entirely absent. However, upon reflection, realizing we were representatives of the 23 million people of the Peninsula (半島), bearing the crucial mission of the Manchukuo Construction Service Corps, having come a thousand *li* (不遠千里), we could not help but exert our full effort.

Thus, at 11:30 AM, the morning's work concluded, and we went to the rest area for lunch. After the meal, we rested until about 1:30 PM to recover from fatigue. Around 2 PM, work began again. The fierce sun beat down mercilessly, reaching extreme heat, making it feel as though our breath was catching in our throats. Sweat poured down our entire bodies even before starting work, making it hard to keep our eyes open. Nevertheless, without slacking off in the slightest, we continued to exert our full strength, finding satisfaction (滋味) in the progress of the work. Under the slogan "Service through Sweat" (汗의 奉仕), we felt contentment, and the sense that we were laying a foundation for the construction of a New East Asia never faded for a moment, so we did not slacken (怠隋) in the least. In truth, if we were doing this for wages, perhaps it wouldn't have felt so arduous. At 3:30 PM, there was a break, and the unit provided a delicious bread roll each as a snack. Receiving the bread, we all laughed while eating, and before we knew it,<141> the bread in our hands was gone.

After a 15-minute break, we started working again. By then, it was cooler and a better time to work. However, at 6 PM, the day's work ended, and we performed the end-of-work worship (終修의 예배) facing the Imperial Palace to the east with two bows, two claps, and one bow, expressing the spirit of the Service Corps with "Appare - ano omoshiro, ano tanoshii - ano sakae-tsu, oke-tsu." Receiving nature's solace from the continental sunset and the pleasantly blowing cool breeze, the day's service concluded enjoyably.

Then, singing colonial songs or the Imperial Youth Song (황국청년가), we returned to our quarters (歸巢). Though fatigue and hardship were considerable, thinking of it as endurance and training (忍苦鍛鍊) brought self-consolation.

Upon entering the barracks, the kitchen duty team would be eagerly waiting (苦待), having prepared dinner. The sanitation duty team would be waiting (기대리고) with boiled bath water. The sanitation team would offer silent greetings (無言敬禮) to console our fatigue, making the day's exhaustion vanish like a dream. After cleaning the tools and washing our individual dishes, it would be 7 PM. The taste of the meal was indescribably delicious. Although the side dishes were, frankly, laughably meager, they tasted incredibly good, as welcome as if we hadn't seen rice for several days.

After dinner, bathing was done briefly by unit, for 10 minutes each. Sometimes, it was as short as 5 minutes. After bathing, for 20-30 minutes, people would write in their diaries, write letters home, or engage in other personal activities. At 8:30 PM, regardless of what anyone was doing, roll call was mandatory. At 9 PM, lights were out, and lying in bed, we pleasantly forgot the day's fatigue.

There were daily duties: kitchen and sanitation duty involved 8 members each, one from each province. There were 2 members on headquarters duty and 3 on sanitation duty (Note: Seems like 'hygiene/sanitation duty' is mentioned twice with different numbers, likely referring to different aspects - perhaps barracks cleaning vs. bath/latrine). Kitchen duty involved preparing meals for everyone. For me, it was the first time in my life stoking a fire (솟 부시고), cooking rice, making soup, and preparing side dishes (건건이). Having done the meal duty, I realized that preparing meals is not such an easy task.

Guard duty (위생당번 - likely mislabeled, should be guard/sentry) involved guarding the barracks area and handling internal and external affairs.
Sanitation duty (위생당번) involved cleaning unclean areas like latrines, the area around the well (井), etc., and boiling water for the bath.
Headquarters duty (본부실 당번) was duty in the room where the unit commander stayed. Absolute obedience to orders was required, and execution had to be excellent.

Regarding morale visits (위문), there were many kinds, including verbal encouragement and gifts of goods. Regardless of the type, all visits were equally welcomed. When visitors occasionally came despite the extreme heat (暴暑), bringing delicious food to share and offering comfort, we were so moved that we felt ashamed, unworthy of such kindness, and resolved ourselves with even greater determination. Or when letters arrived from home, the joy was beyond description (一筆難記), making us look forward to them every day. Moreover, when provincial authorities sent comfort items, the joy among all 24 members [likely referring to his provincial subgroup] as we fairly divided (노나들고) and murmured happily was another pleasure.

Hearing that 80% of the residents in the Yŏngil vicinity, that is, the Kando Province area, were Peninsula people (半島人), I had some doubts whether it was true, but seeing it firsthand, it was indeed factual. Their daily lives seemed no different<142> from fellow Koreans residing within Korea (朝鮮內). Looking at the clothes people wore on the streets or listening to their conversations, it seemed they lived without any worry about food or clothing (衣食). Seeing and hearing this, I felt glad, thankful, fortunate, and at the same time, envious.

The one-month period passed like a single day, and the scheduled service came to an end.
During the final service completion ceremony, we adopted an even more sincere posture.

When the departure date, July 30th, arrived, leaving Yŏngil, where we had grown attached over the month, brought feelings of sadness, and tears even welled up in my eyes.
Especially when the children and teachers of Puksan Elementary School lined both sides of the departure road to send us off, I felt as if I were eternally parting from my own brothers and sisters, and tears unknowingly streamed down my face.

When we arrived at Yŏngil Station, hundreds of people were already there waiting for us. As we boarded the train, the sound of the whistle, accompanied by the cheers of "Banzai!" from the well-wishers, still seems to ring vividly in my ears (于今껏).

Leaving Yŏngil, the contingent went via Tomun to Kiamusze (佳木斯) in Northern Manchuria (北滿). We arrived at Mudanjiang (牡丹江) station around 10 PM. At Mudanjiang station too, a crowd of welcomers came out (쓰리나왔으며), and more than half the passengers getting on and off were Koreans, which was again surprising; the advance of our compatriots felt truly formidable. We changed to a train bound for Harbin (哈爾賓) and continued our journey. We arrived in Harbin around 9 AM on the 31st. After being welcomed, we followed our guide to pay respects at the shrine and the Chūrei-tō (Martyrs' Shrine - 忠靈塔), went to the Police Affairs Department building (警務部廳) for breakfast, and then toured the city on foot. We saw the museum, various government offices, and important streets in the city. It was a metropolis said to be seven times the size of Kyŏngsŏng; the grandeur of the buildings was indescribable, and we couldn't see the end of the city streets on the endless plain, giving an idea of how vast and large the city was.

The buildings—be they companies, shops, government offices, factories, or residences—were indistinguishable in their modern, sophisticated style. Domestic life also seemed to be Western-style or apartment-style. The Songhua River (松花江), upstream of the Heilongjiang (黑龍江), is a famous spot in Harbin, adding to the city's scenery. The population was said to be 50,000 Japanese (內地人 - Mainland people), 30,000 Koreans (朝鮮人), 150,000 Russians (露人), and others, totaling 750,000. Russians formed a relatively large portion.

When we departed Harbin at 11:15 PM, representatives of officials and citizens, various organizations, and, impressively, several dozen Russians leading a band came to send us off, which was truly moving.

We arrived in Hsinching (新京) at 7:54 AM. At Hsinching station too, various representatives came out to welcome us. Guided by our escorts, we went to the Manchukuo Railway (滿鐵) Hsinching Branch cafeteria for breakfast. In the branch square, a grand welcoming ceremony was held with the Manchukuo Construction Service Corps Practice Headquarters Chief (滿洲國建設奉仕隊 實踐本部長閣下) and below, along with dignitaries from various government offices, in attendance (臨席下). After receiving certificates of appreciation and commemorative medals, we paid respects at the shrine and the Chūrei-tō. We then went to the State Council building (國務院) for lunch. Afterwards, we took tour buses (유람뻐스) to pay respects at the Nanling War Memorial Tower (南領戰蹟記念塔).

We toured the main city streets, paid respects at the palace of His Majesty the Emperor of Manchukuo (滿洲國 황제폐하 궁성), sang three cheers of "Banzai" (彌榮三唱) for His Majesty the Emperor, then went to Hsinching Kukmin Ugyŭp Hakkyo (新京國民優級學校) to listen to a lecture (訓話) by His Excellency Yi Pŏmik (李範益), the former governor of Kando Province. Then we proceeded to the station and departed for Kyŏngsŏng. (End)<143>

**Summary**

This travelogue by Yi Wansu recounts his experience as a member of the Korean contingent of the Manchukuo Construction Labor Service Corps in the summer of 1940. He details the journey from Kyŏngsŏng (Seoul) to Yŏngil (Yanji) in Manchuria, the regimented daily life involving strenuous labor, Shinto rituals, Japanese patriotic songs, and ideological indoctrination centered on loyalty to the Japanese Emperor and the mission of building Manchukuo as part of the "New East Asia". He describes the work, living conditions, morale visits, and his observations of the large Korean population in the Kando (Jiandao) region. The trip concludes with visits to Harbin and the Manchukuo capital, Hsinching (Xinjing/Changchun), reinforcing the themes of Korean participation in the Japanese empire-building project. The article is significant for historians as a primary source reflecting the propaganda narrative of willing Korean participation ("Unity of Korea and Manchuria," "Service through Sweat") in Japanese colonial expansion and the mobilization of Korean labor under the guise of patriotic duty. It showcases the pervasive imperial ideology, including Emperor worship and Japanese militaristic culture, imposed on Koreans during this period, alongside glimpses of the Korean diaspora's life in Manchuria.

**Named Entities**

滿洲國	만주국	Manchukuo
朝鮮部隊	조선부대	Korean Unit
李完琇	이완수	Yi Wansu
延吉班	연길반	Yŏngil Contingent
京城	경성	Kyŏngsŏng
滿洲國建設奉仕隊	만주국건설봉사대	Manchukuo Construction Service Corps
汪淸班	왕청반	Wangch'ŏng Contingent
京畿道	경기도	Kyŏnggi Province
忠淸南北道	충청남북도	North and South Ch'ungch'ŏng Provinces
慶尙南北道	경상남북도	North and South Kyŏngsang Provinces
全羅南北道	전라남북도	North and South Chŏlla Provinces
黃海道	황해도	Hwanghae Province
平安南北道	평안남북도	North and South P'yŏngan Provinces
江原道	강원도	Kangwŏn Province
咸鏡南北道	함경남북도	North and South Hamgyŏng Provinces
京元線	경원선	Kyŏngwŏn Line
咸鏡線	함경선	Hamgyŏng Line
圖們	도문	Tomun
延吉	연길	Yŏngil
間島省長	간도성장	Kando Provincial Governor
神吉	신키치	Sinkichi (Japanese name)
間島省	간도성	Kando Province
애국부인회	애국부인회	Patriotic Women's Association
청년단체	청년단체	Youth Groups
北山國民優級學校	북산국민우급학교	Puksan Kukmin Ugyŭp Hakkyo (Puksan National Higher Elementary School)
延吉神社	연길신사	Yŏngil Shrine
縣長	현장	County Magistrate
半島	반도	Peninsula (referring to Korea)
朝鮮	조선	Korea
北滿	북만	Northern Manchuria
佳木斯	가목사	Kiamusze (Jiamusi)
牡丹江	모란강	Mudanjiang
哈爾賓	합이빈	Harbin
松花江	송화강	Songhua River
黑龍江	흑룡강	Heilongjiang River
露人	노인	Russians
內地人	내지인	Mainland people (referring to Japanese)
朝鮮人	조선인	Koreans
新京	신경	Hsinching (Xinjing/Changchun)
滿鐵新京支社	만철신경지사	Manchurian Railway Hsinching Branch
滿洲國建設奉仕隊 實踐本部長	만주국건설봉사대 실천본부장	Manchukuo Construction Service Corps Practice Headquarters Chief
國務院	국무원	State Council (of Manchukuo)
南領戰蹟記念塔	남령전적기념탑	Nanling War Memorial Tower
滿洲國 황제폐하 궁성	만주국 황제폐하 궁성	Palace of His Majesty the Emperor of Manchukuo
新京國民優級學校	신경국민우급학교	Hsinching Kukmin Ugyŭp Hakkyo (Hsinching National Higher Elementary School)
李範益	이범익	Yi Pŏmik

**Glossary**

되였다	되었다	Became; was (Older spelling of 되었다)
아울러	아울러	Together with; along with
움주기기	움직이기	Moving (Older spelling/typo of 움직이기)
깨닫게	깨닫게	To realize; to become aware
나누었는대	나누었는데	Was divided, but... (Older spelling/form of 나누었는데)
달리었으며	달렸으며	Ran (on rails); traveled, and... (Older spelling of 달렸으며)
륙삭크	륙색	Rucksack (Older transliteration)
아지	알지	Know (Older form/regional dialect? contraction of 알지)
서틀은	서투른	Unfamiliar; clumsy (Older spelling of 서투른)
不少한였으나	불소하였으나	Was not insignificant; was considerable, but... (Hanja term 不少 + older verb ending)
낯익은	낯익은	Familiar (face/appearance)
듯했고	듯했고	Seemed like; appeared as though (Older spelling of 듯했고)
반 비탈거리	반 비탈길	Half-sloping street/road (비탈거리 is an older/less common form of 비탈길)
행한	행한	Performed; carried out
열려	열려	Was held; opened
여하히	여하히	How; in what way (Archaic/formal form of 어떻게)
갓추고	갖추고	Having put on; having equipped (Older spelling of 갖추고)
봉하여	봉하여	Receiving (respectfully); upholding
協心戮力	협심륙력	Uniting hearts and pooling strength (Hanja phrase)
身을 挺하고	몸을 바치고	Dedicating one's body (挺身하다)
興亞의 天業	흥아의 천업	Celestial task of East Asian prosperity (Propaganda term)
神明에 誓하고	신명에 서하고	Swearing to the gods
副히 奉하지 아니치 못함	부응하여 받들지 않을 수 없음	Cannot but serve in accordance with (副應-) (Complex negative structure emphasizing obligation)
복창하고	복창하고	Reciting in unison
노래한다	노래한다	Sings
합창하고	합창하고	Singing in chorus
끝맛친	끝마친	Finished; completed (Older spelling of 끝마친)
아츰	아침	Morning (Older spelling of 아침)
메고	메고	Carrying on one's shoulder
우습고	우습고	Was laughable; seemed easy/trivial
容意하게	용이하게	Easily (Hanja term 容意)
성사할	성사할	To accomplish; achieve success
열심으로	열심히	Diligently; earnestly (열심으로 is grammatically correct but 열심히 is more common)
싶고	싶고	Wanting to... and...
않어	않아	Not doing so; no (Older spelling of 않아)
등지고	등지고	Carrying on one's back; bearing (a responsibility)
不遠千里하고	불원천리하고	Making light of a thousand *li*; coming from afar (Hanja phrase)
發揮하지	발휘하지	Display; demonstrate (one's ability)
플고	풀고	Relieving; loosening (Older spelling of 풀고)
쪼이여	쪼이어	Being shone upon intensely (Older passive form of 쪼이다)
조곰도	조금도	Even a little bit (Older spelling of 조금도)
게으르지	게으르지	Not being lazy
滋味로	자미로	As a pleasure; finding satisfaction in (滋味 = taste, flavor, interest)
작성함이라는 感이	작성함이라는 감이	The feeling that (we) are creating/drafting
사라지지 않어서	사라지지 않아서	Because it did not disappear (Older spelling of 않아서)
怠隋치 않었다	태만치 않았다	Did not neglect; was not idle (怠隋 = idleness/negligence + older negative ending)
如斯히	여사히	Like this; in this way (Archaic/formal)
저 버린다	져 버린다	(It) disappears (Older spelling of 져버리다, often meaning 'completely disappear' or 'be lost')
쉬였다가	쉬었다가	After resting (Older spelling of 쉬었다가)
마치는대	마치는데	Finishing, but/when... (Older spelling/form of 마치는데)
석양	석양	Evening sun; sunset
歸巢하는	귀소하는	Returning to the nest/home (歸巢)
괴롬도	괴로움도	Hardship; suffering too (Older form of 괴로움)
忍苦鍛鍊	인고단련	Endurance and training; forging through hardship (Hanja phrase)
위안을 받는다	위안을 받는다	Receives comfort/solace
苦待하고	고대하고	Waiting eagerly/impatiently (苦待)
기대리고	기다리고	Waiting (Older spelling/pronunciation of 기다리고)
사라저	사라져	Disappearing (Older spelling of 사라져)
솟 부시고	솥 불 피우고	Lighting a fire under the cauldron/pot (Archaic phrasing)
끄리고	끓이고	Boiling (Older spelling of 끓이고)
건건이	반찬	Side dishes (Archaic/regional term for 반찬)
깨달았다	깨달았다	Realized
井	우물 정	Well (Hanja character for well)
왔었다	왔었다	Had gone/come (Past perfect tense)
바꿔	바꿔	Changing; exchanging
실어	실어	Loading (onto a vehicle)
于今껏	지금껏	Until now; even now (Archaic/literary form of 지금껏)
臨席下에	임석하에	In the presence of (formal)
뻐스	버스	Bus (Older transliteration)
불은	부른	Called; sang (Older spelling of 부른)


---------------------------


잡지명	삼천리 제12권 제9호
발행일	1940년 10월 01일
기사제목	滿洲國建設 勤勞奉仕 朝鮮部隊記
필자	李完琇
기사형태	기행문

滿洲國建設 勤勞奉仕 朝鮮部隊記
						李完琇
지난 6월 29일 오전 7시 55분, 滿洲國建設奉仕隊의 延吉班은 京城역을 출발하게 되였다. 역에는 官民諸位와 시민이 나와 餞送하여 주었으며, 출발기적 신호성과 아울러 열차는 움주기기 시작하매 일편 기쁜 동시에 책임이 중대함을 깨닫게 되였다.
봉사대 구별을 보면 延吉班, 汪淸班, 2반으로 나누었는대 延吉班은 京畿道, 忠淸南北道, 慶尙南北道, 全羅南北道, 黃海道, 이상 8도 161명으로 29일 오전 7시 55분에 출발하고 汪淸班은 平安南北道, 江原道, 咸鏡南北道, 5도, 93명인대 동일 오후 10시 몇분에 출발한다 하였다.
나는 延吉班이였다. 열차는 京元線, 咸鏡線을 달리었으며, 圖們에 도착하기는 익일 오후 6시50분이였다.
延吉에 도착하였을 때에는 30일 오후 9시 반이였다. 역에는 間島省長인 神吉省長閣下 이하 각 관공서관민 학생대표 애국부인회 청년단체 등이 성대히 出迎을 하여 주어 감격하기 짝이 없었다. 延吉역전 광장에 륙삭크를 내려놓았더니 추럭 2대가 와서 전부 실어가고 우리는 도보로 밤 10시경에 방향을 아지 못하고 서틀은 延吉시가를 행진했는데 모든 것이 이상한 감상을 주었다.
시가의 번화지를 지나갈 때 유락장도 不少한였으나 동포의 言語動姿가 눈에 띄여 무척 반가웠다. 여기저기서 음악소리도 낯익은 듯했고, 외국이란 감은 전혀 없이 보였다. 이윽고 어느 반 비탈거리를 걸어 들어가 본즉 훌륭한 2층 벽돌건물이 즐비한데 교육기관이나 관청인줄로 짐작하였다. 안내자의 말이 北山國民優級學校(公立尋常小學校)라 하였다. 즉시로 실내에 들어가 본즉 매인당 침구 1조가 배당되여 있었음으로 약간 안심하고 車中피곤을 플고 말었다.
익일(7월 1일) 朝起는 6시인데 기상하여 점호를 받고 세수를 하고, 朝起會를 행한 후 조반을 먹고 10시경에 延吉神社 참배를 행하였다. 당일 오후 3시에는 當校교정에서 환영회가 열려 縣長閣下 이하 관민대표 학생 청년단체 애국부인회등 각 단체 유지귀빈 來臨하에 성대한 환영회를 받었으며 鮮滿一如의 정신이 1일에 나타나서 우리의 사명이 여하히 중대함을 새로히 생각하게 되였다.
每曉 5시에 기상에 鍾聲과 아울러 침상에서 일어나 교정에 정렬하여 朝의 起<140> 점호를 행하고 즉시로 30분간에 160여 명이 세수를 간단히 한 뒤 침구정돈을 하며 복장을 갓추고 5시 30분에 조기회를 연다.
조기회 순서는 일동이 정렬한 후에 道別히 인원점호를 한 후에 みたましがめ-라는 정신을 정숙하게 하는 뜻으로 1분 30초가량 눈을 감고 무언정숙하는 것이다. 다음으로 2拜2拍1拜로 宮城遙拜를 행하고 국가합창 勅語奉讀 皇國臣民 誓詞제창 천황폐하 彌榮3唱을 행하고 봉사대강령 『我等勤勞奉仕隊는 皇祖의 神勅을 봉하여 協心戮力 身을 挺하고 興亞의 天業을 추진함을 神明에 誓하고 천황폐하의 大御心에 副히 奉하지 아니치 못함』이라는 강령을 복창하고 『晴れ(アツパ) あの 面白 あの樂し. あの榮け-ツ おけ-ツ』이라는 우리 인생 각자의 책임과 사명이 신성만족하다는 것을 노래한다. 다음에 「海行かば」를 합창하고 2拜2拍1拜로 조기배례를 끝맛친 뒤 아츰인사를 행한다. 그리고 예배가 끝나면 日本體操(ヤマトバタラキ)를 행한다. 체조가 끝나면 식사당번이 조반준비를 하고 各道부대별로 봉사대강령을 제창한 후 먹게된다. 조반이 끝나면 점심준비를 하여 가지고 7시 반에 집합종이 울리자 일제히 정렬하여 각각 사업장 분할을 하여 가지고 의기양양한 雄勢로 植民歌를 부르며 공사장에 행한다. 총검을 대신하여 스코프나 곡괭이를 메고 행진할 때는 태산이라도 우습고 여하한 난공사라도 容意하게 성사할 기상이였다. 이윽고 공사장에 가서 작업을 시작하면 자기의 責任事를 열심으로 하든 중 얼마쯤 하다가는 피곤하여 쉬기도 싶고 힘도 들어 게을러질 생각도 없지 않어 있었다. 然이나 다시 생각할 때 我等은 半島 2,300만 민중의 대표로 滿洲國建設奉仕隊라는 중대사명을 등지고 不遠千里하고 온 이상 全노력을 발휘하지 않을 수 없었다.
그리하여 오전 11시 반이 되면 오전의 작업을 마치고 休暇場에 가서 점심을 먹는다. 식후 약1시 반까지 피곤을 푸는 것이다. 오후 2시경서부터 또 작업을 시작하는데 맹렬한 태양은 사정없이 내려 쪼이여 高度에 高度로 숨이 탁탁 맥키는 듯 싶었다. 작업을 하기도 전에 땀은 전신에 흘러 눈을 뜰 수가 없었다. 그러나 조곰도 게으르지 않고 여전히 전력을 발휘하여 작업이 진행됨을 滋味로 알고 우리는 「汗의 奉仕」라는 슬로-간 밑에 만족을 갖고 또한 新東亞건설의 한 토대를 작성함이라는 感이 잠시도 사라지지 않어서 조곰도 怠隋치는 않었다. 사실에 있어서 임금을 받고 한다면 如斯히 힘들지 않었을지도 모른다. 오후 3시 반에 휴가가 있는데 부대로부터 간식으로 맛있는 빵을 1개씩 주므로 우리는 그 빵을 받어 들고 일동이 웃어가며 먹을 때 자기도 생각지<141> 않은 동안에 손에 쥔 빵은 없어저 버린다.
15분간 쉬였다가 다시 일을 시작하는대 그때부터는 선선하여 일하기도 좋을 때다. 그러나 오후 6시가 되여 1일의 작업을 마치고 終修의 예배를 東便宮城을 향하여 2拜2拍1拜를 하고 「あつ晴れ-  あの面白 あの樂しい- あの榮け-つ おけ-つ」라는 봉사대정신을 표한다. 대륙의 석양과 시원한 바람이 기분좋게 불어와 자연의 위문을 받으며 하로의 봉사도 자미있게 끝낸다.
