Magazine Title: 삼천리 제12권 제9호
Publication Date: 1940년 10월 01일
Article Title: 古典名作鑑賞, 女流의 殉情詩抄, 歷代 朝鮮 女流詩歌를 보며 (Appreciating Classical Masterpieces, A Selection of Poems of Devotion by Women, Looking at Historical Korean Women's Poetry)
Author: 毛允淑
Article Type: 문예평론 (Literary Criticism)

Appreciating Classical Masterpieces, A Selection of Poems of Devotion by Women, Looking at Historical Korean Women's Poetry
						By Mo Yunsuk

Harboring the lonely nostalgia of modern times, longing for the quiet voices of our mothers of old is also one of the 'homesick' phenomena among women nowadays who are treading through a transitional period. The heart-wrenching loneliness hidden within the *hoejang jeogori*<196> (traditional jacket with decorative bands), the sound of the *tanghye* shoes softly disappearing into the shade of the paulownia tree, the world of our elder sisters of the past, full of deep feelings and many sorrows, who, dragging the ends of their long, worn skirts, accompanied by a *sapsari* dog, poured out all their tear-soaked complaints unknown to heaven or earth—in that world, the youth of the women of old Chosŏn beautifully resided, weaving a symphony of joy and sorrow, finely patterned vertically and horizontally. For modern women who have lost the ornamental hairpin (*pongch'ae pinyŏ*), the silk gauze skirt (*rasam*), and the inner trousers (*tansokkot*), the secret customs for beautifully digesting misfortune have become scarce. A desolate liberation has arrived without any order or teaching, encountering an era where neither youth nor the virtues of life have a place to dwell. Modern women are gypsies. No one yet knows how to interpret the incomprehensible melody of these gypsies. Suddenly, one piece of delightful news—

The historic flower patterns of women's art! A poetry collection containing the brilliant sentiments of old has greeted us. As it is the murmuring of Chosŏn women returned from the same blood, the same spirit, how could we not be overjoyed? I was surprised to see this book, enough to say that the claim that Chosŏn had no women poets was false. Although the life of Chosŏn women was one lived treading a thorny path of innumerable contradictions and dissolute morals, the so-called path of dual subservience (二從之道), how could such beautiful emotions alone have been brought to life through rhetoric, overflowing so calmly, brilliantly, and abundantly? I cannot help but admire the world of their refinement all the more. Even amidst the whip of oppression and the fate of an inseparable system, their clear and pure emotions, like a bird's egg, proclaim the symbol of immortality, life itself. While we already know figures like Hwang Chini (黃眞伊) or Hŏ Nansŏrhŏn (許蘭雪軒) through their songs or *sijo*, we can see that besides them, over 58 women poets were hidden throughout the Yi Dynasty (李朝). It is believed that if these women, possessing such passion and soul, had received more liberal human treatment, both domestically and socially, they would have created even more brilliant and wide-ranging human poetry.

Rather, I think beautiful lyric poetry might have been buried within the art of women poets. In the poetry of Kyewŏl, who captivated the era of King Yŏngjong (英宗, 1725-1777):
『Setting a boat afloat on the Taedong River (大同江) to send off my beloved,
The thousand strands of the weeping willow cannot bind my departing love.
Gazing with tears, those eyes are also tears;
Looking on with a burning heart, that too seems heart-burning.』
The beauty that symbolized her sorrow through a rich and leisurely depiction of emotion arguably surpasses modern poetry. Again, the poem by Lady Paekhwadang.

Spring Complaint (春怨)
『Which of the Three Obediences (三從) could make my body comfortable?
I resent the Blue Heaven (蒼天), I do not resent him who died.
Unable to overcome sorrow, I stand at Paekhwa Pavilion (百花亭),
Orioles sing, willows are green, yet spring too is ending.』
This is a verse murmured while serving her husband,<197> losing her husband, living as a widow, and fated to serve her parents-in-law for life. Reading this poem, I thought, the old ways are good. The old ways are beautiful.

績一代詩集 (Anthology of a Generation's Poems)

Besides these, there was a *kisaeng* from Changsŏng (長城) (Ŭiju; 義州) named Ch'wiryon (翠蓮). Her courtesy name was Iltahong (一朶紅). This poet was highly skilled not only in poetry but also in song and dance. When Sŏ Myŏngbin (徐命彬) was appointed as Pukp'yŏngsa (Northern Border Defense Inspector) and arrived in Changsŏng, he first recognized her poetic talent and cherished it greatly.
Even with just the quatrain like the *Kyŏngjŏngsi* (Poem of Respectful Presentation), written after parting with Sŏ Myŏngbin, one can tell how skilled she was in poetry.

Respectful Presentation (敬呈)
Here and there before the window,
*Kŭmsa* bamboo and *ogyŏng* plum trees are planted.
When you are surely drunk with wine,
Please come on horseback, come in the depth of night.

Lastly, Yŏngsuhap Sŏ-ssi (令壽閤徐氏) cannot be forgotten. Yŏngsuhap (分壽閤 - *note: text has 令壽閤 and 分壽閤, likely referring to the same person/title*) was the daughter of Inspector Sŏ Hyŏngsu (徐逈修) and the wife of Royal Secretary Hong Inmo (洪仁謀), a figure who practically dominated the literary stage (燭舞臺 - *likely metaphorical*) of her time with her writing. This person produced a total of 36 major works, and it seems it would not be meaningless for modern poets to thoroughly study her poems.

Responding to Tu Fu's "Early Moon" (和杜初月)
The western* crow (*note: 西*烏 likely 西臺烏 or similar, referring to crows/officials*) cannot settle on a perch,
Cannot rest on a single tree branch.
The newly risen moon between the woods first shines,
Thinly hanging aslant at the cloud's edge.
As the flowing moonlight creeps into my sleeve,
The time is midnight, incomparably chilly.
The traveler's sorrow deepens with the night;
Sitting and gazing, the pine shadow is round.

Expressing Feelings, Following the Rhyme of Vice-Minister Yu (遣懷次右承一韻 - *likely 右丞相 Yu*)
Gazing at the autumn sky, it is boundlessly vast and wide,
Waiting for the moon to rise, I sit until deep night.
The feeling of sending off the Little Orphan (小孤 - *likely refers to Xiaogushan island in the Yangtze, a poetic trope for loneliness*) with unspoken emotion,
The heart yearning endlessly as I look up.
The cold frost makes all the vines wither starkly,
The cool autumn wind (凉飇) flutters through the sparse forest (疎林) rustlingly.
Looking out, wild geese slant across the cold region (寒方),
Stopping my words, I gaze at the Cloud-Top Peak (雲上岑).
The old crane (老鶴), about to sleep, is quiet for the first time,
The dusk crow (昏鴉) finds its old home and returns.
At the end of ten thousand sorrows, many new poems arise,
The clear song harmonizes with the *kŏmun'go*.

Following Li Po (次李白)
The scattered sound of coldness comes from among the trees,
The birds crying in the windy forest return at sunset.
Standing alone in the clear night sky, looking up,
The empty courtyard is chillingly cold, moonlight fills the mountains.

Besides these, there are many poets with powerful rhythms, but due to space limitations, I will conclude with these few this time. In any case,<198> while Yesa (藝社 - Art Publishing Company) has published many volumes in the Chosŏn Mun'go (朝鮮文庫 - Chosŏn Library) series, it is truly a thankful thing that they have paid attention to this one book and published it this autumn. This book shows the sorrowful life and quiet reality of traditional Chosŏn women. It gives a sense of intimacy, as if listening to our own murmurs. The more I read their poems, the more I see the tear-stained faces (얼골) of mothers and hear the stories of the harsh lives of my beautifully formed elder sisters (兄들 - *used metaphorically for female predecessors*) under their in-laws. The single-minded devotion (一片丹心), the sublime view of chastity with high integrity, and the purity of conscience, unwavering in loyalty and morality, also pierce our hearts. Just show them righteous loyalty and righteous morality, and that is enough.<199>

**Summary**

Mo Yunsuk reviews a newly published anthology of historical Korean women's poetry, expressing admiration for their artistry and emotional depth despite societal constraints like the "dual subservience." She contrasts their "calmly, brilliantly overflowing" emotions and refinement with the perceived rootlessness and lack of "secret customs for beautifully digesting misfortune" among modern women, whom she calls "gypsies." Mo highlights several poets like Kyewŏl, Lady Paekhwadang, Ch'wiryon, and Yŏngsuhap Sŏ-ssi, quoting their works as examples of profound lyricism surpassing even modern poetry. She frames the anthology's publication as a welcome event, offering modern women a connection to their past and the "tear-stained faces" and harsh experiences of their female ancestors.

From a historical perspective, the article is interesting for its articulation of Korean cultural identity and pride through the lens of female literary achievement during the late Japanese colonial period. Mo's lament for the perceived loss of traditional virtues and emotional depth in modern women, juxtaposed with her praise for the "sublime view of chastity" and "unwavering loyalty" of past women, reflects contemporary anxieties about modernization, changing gender roles, and cultural continuity under colonial rule. Her somewhat essentialist view of traditional female virtue ("Just show them righteous loyalty and righteous morality, and that is enough") is also revealing of the period's discourse.

**Named Entities**

毛允淑	모윤숙	Mo Yunsuk
朝鮮	조선	Chosŏn
黃眞伊	황진이	Hwang Chini
許蘭雪軒	허난설헌	Hŏ Nansŏrhŏn
李朝	이조	Yi Dynasty (Yi Cho)
英宗	영종	King Yŏngjong
桂月	계월	Kyewŏl
大同江	대동강	Taedonggang
百花堂	백화당	Paekhwadang
翠蓮	취련	Ch'wiryon
長城	장성	Changsŏng
義州	의주	Ŭiju
一朶紅	일타홍	Iltahong
徐命彬	서명빈	Sŏ Myŏngbin
北評事	북평사	Pukp'yŏngsa
令壽閤徐氏	영수합서씨	Yŏngsuhap Sŏ-ssi
分壽閤	분수합	Punsuhap (*Possibly same as above*)
徐逈修	서형수	Sŏ Hyŏngsu
洪仁謀	홍인모	Hong Inmo
杜	두	Tu (Referring to Tu Fu)
李白	이백	Li Po (Yi Paek)
藝社	예사	Yesa (Art Publishing Company)
朝鮮文庫	조선문고	Chosŏn Mun'go (Chosŏn Library)

**Glossary**

향수을	향수를	Nostalgia (object form, older spelling '을' instead of '를')
것는	걷는	Walking; treading (older spelling of 걷는)
홈-씩	홈シック	Homesick (loanword from English)
회장저고리	회장저고리	Traditional women's jacket with decorative colored bands at cuffs, collar, etc.
애끈는	애끊는	Heart-wrenching; gut-wrenching (older spelling)
고히	고이	Quietly; softly (older spelling)
당헤신	당혜신	*Tanghye* shoes (traditional women's shoes)
스린치마	스란치마	*Sŭranch'ima* (type of long skirt, often worn-out or old; '스린' likely variant/older form of '스란')
삽사리	삽살이	*Sapsari* dog (a traditional Korean breed)
다리고	데리고	Accompanying; taking along (older spelling/dialectal form of 데리고)
왼갓	온갖	All sorts of; various (older spelling)
多感多恨	다감다한	Full of deep feelings and many sorrows/regrets
깃드려	깃들어	Dwelling in; residing in; imbued with (older spelling/form of 깃들어)
봉채비녀	봉채비녀	Phoenix-ornamented hairpin
라삼	나삼	Fine silk gauze skirt or robe
단속곳	단속곳	Traditional women's inner trousers worn under the skirt
히박해젔다	희박해졌다	Became scarce; became thin (older spelling)
집씨	집시	Gypsy (loanword)
아라드를 수 없는	알아들을 수 없는	Incomprehensible; unintelligible (older spelling/phrasing)
넉세서	넋에서	From the spirit; from the soul (older spelling '세서' for '에서')
읍조림	읊조림	Murmuring; recitation; chanting
수사로	수사로	Through rhetoric; with rhetorical skill
찰찰	찰찰	Adverb describing overflowing abundantly or brimming
억앞	억압	Oppression (likely older spelling/typo for 억압)
채찍	채찍	Whip
새알같이	새알같이	Like a bird's egg (implying small, pure, pristine)
밟으며	밟으며	Treading; stepping on
살어온	살아온	Have lived (older spelling)
읍조린	읊조린	Murmured; recited (past participle, older spelling)
로예	노예	Slave; (here used metaphorically) old ways/traditions ('로' might be typo for '노', or archaic)
섬기다	섬기다	To serve (e.g., husband, parents-in-law)
미망인	미망인	Widow
군데군데	군데군데	Here and there; in places
갓	것	Thing; that which (older spelling, often used for 것)
뭇대	무대	Stage (likely typo or older form of 무대)
和杜初月	화두초월	Responding to Tu Fu's "Early Moon" (Poem title format)
보금자릴	보금자리를	Nest; perch (object form, older spelling '릴' for '리를')
쉬지를	쉬지를	Resting (nominalized verb + object particle, older form)
숲사히	숲사이	Between the woods/trees (older spelling '사히' for '사이')
初生달	초생달	New moon; crescent moon (lit. first-born moon)
비끼여	비껴	Aslant; diagonally (older spelling/form of 비껴)
기여들제	기어들 제	When it creeps in ('제' = 때, time/when; older spelling '기여' for '기어')
밤중이라	밤중이라	Because it is midnight
쌀쌀하기	쌀쌀하기	Being chilly/cold (nominalized adjective)
짙어시	짙어서	Because it deepens (older spelling '시' for '서')
눈줘보니	눈 주어 보니	Gazing; looking intently (archaic phrasing, '눈 주다' = 'to give eyes' = to look)
솔그림자	솔그림자	Pine tree shadow
遣懷次右承一韻	견회차우승일운	Expressing Feelings, Following the Rhyme of Vice-Minister Yu (Poem title format)
맥맥히	맥맥히	With unspoken emotion; silently and deeply (often 脈脈히)
小孤	소고	Little Orphan (likely refers to Xiaogushan island, poetic trope for loneliness)
유유히	유유히	Endlessly; remotely; leisurely
빼빼시들니고	빼빼 시들리고	Making (them) wither starkly/thinly (causative form, repetition emphasizes thinness)
凉飇	양표	Cool autumn wind (Hanja term)
疎林	소림	Sparse forest (Hanja term)
속속듸리	속속들이	Thoroughly; inside out; rustlingly (older spelling/form)
나부낀다	나부낀다	Flutters; waves
기러기	기러기	Wild goose
寒方	한방	Cold region/direction
비끼였고	비꼈고	Was slanted; lay diagonally (older spelling)
것어치고	걷어치우고	Stopping; putting aside (older spelling/form of 걷어치우고)
雲上岑	운상잠	Cloud-Top Peak (Poetic place name)
老鶴	노학	Old crane (Hanja term)
昏鴉	혼아	Dusk crow (Hanja term)
그옛집	그 옛집	That old house/home
次李白	차이백	Following Li Po (Poem title format, indicates using same rhyme scheme)
거문고	거문고	*Kŏmun'go* (traditional Korean six-stringed zither)
어째든	어쨌든	Anyway; in any case (older spelling)
안윽한	안윽한	Quiet; cozy; secluded (archaic form, similar to 아늑한)
듯는 듯하다	듣는 듯하다	Seems like listening (older spelling '듯는' for '듣는')
어엿비	어여삐	Beautifully; prettily (older spelling)
얼골	얼굴	Face (older spelling)
兄들	형들	Elder brothers (here used metaphorically for female predecessors/ancestors)
시집사리	시집살이	Life with one's husband's family; hardships endured after marriage
一片丹心	일편단심	Single-minded devotion; unchanging loyalty (Hanja term)


---------------------------


잡지명	삼천리 제12권 제9호
발행일	1940년 10월 01일
기사제목	古典名作鑑賞, 女流의 殉情詩抄, 歷代 朝鮮 女流詩歌를 보며
필자	毛允淑
기사형태	문예평론

古典名作鑑賞, 女流의 殉情詩抄, 歷代 朝鮮 女流詩歌를 보며
						毛允淑
고독한 현대의 향수을 품은 채, 옛어머님의 조용한 음성을 동경하는 것도, 과도기를 것는 요새 여성들의 『홈-씩』현상의 하나다. 회장저고리<196>속에 숨긴 애끈는 적막, 오동나무 그늘로 고히 사라저가는 당헤신 소리, 기나긴 스린치마 끄테 삽사리 다리고 하늘도 땅도 모르게 눈물서낀 왼갓 하소 다하던 우리네 큰아씨들의 多感多恨한 그 세계-기기 옛 朝總여성들의 청춘이 아름다이 깃드려 희비의 교향곡이 가로 세로 곱게도 紋이 저있었다. 봉채비녀 라삼 단속곳 다-잃은 현대여성에겐 불행을 아름답게 소화할 비밀스런 관습이 히박해젔다. 황량한 解放이 아모 질서도 가르침 없이 닥처와 청춘도 生의 미덕도 깃드릴 곳 없는 시대에 봉착되었다. 현대여성은 집씨다. 이 집씨들의 아라드를 수 없는 『멜로듸』는 아모도 아직 해석을 모른다. 문득 깃거운 소식의 하나-
