**Header Section:**
Magazine Title: 삼천리 제12권 제9호
Publication Date: 1940년 10월 01일
Article Title: 白樂天이 놀든 廬山의 風光 紀行 (Travelogue on the Scenic Beauty of Mount Lu, Where Bai Juyi Roamed)
Author: 在南京 揚子學人 (Yangja Hak'in in Nanjing)
Article Type: 기행문 (Travelogue)

**Body Text Translation:**
The Scenic Beauty of Mount Lu, Where Bai Juyi Roamed
						By Yangja Hak'in in Nanjing

The Land of Jiangnan, Shining in New China

The site of Pipa Pavilion (琵琶亭), and adjacent to it, Gantang Lake (甘棠湖) – viewed from the window where I am staying, with Mount Lu (盧山) as the backdrop, everything evokes deep emotions. If this were a time not enveloped in the clouds of war from the current situation, this Jiujiang (九江) wharf (瑪頭), Jiangxi rice (江西米), ramie from Wuxue (武穴), and ceramics from Jingdezhen (景德鎭) would fill warehouse after warehouse to their limits. The courageous shouts of the coolies (苦力), the scenes of foremen (十長) skillfully managing things using their names—these would be sights worth seeing. But now, such wharf scenery cannot be seen, and even the sight of warehouses being loaded has vanished without a trace.<58>

Jiujiang also has the former British concession on land.

Looking at the street pavements, many places are broken. Jiujiang, known for its relatively neat appearance, has worsened. Restoring it completely to its former state will require considerable effort and time. Going up to Luluting (陸盧亭), a Chinese restaurant (支那店 菜舘), dishes of five flavors and eight treasures (五味八珍) unbecoming of the times were laid out on the table, though the interior was sparse. A waitress (姑娘, kū-nyang) came out, truly a beauty. I thought how much Bai Juyi (白樂天) would weep if he were introduced to her.

At the Lakeside of Gantang Lake, Jiujiang

Driving through the fine rain (細雨), we reach Lianhua Cave (蓮花洞) on the slope of Mount Lu. The road to Xingzi (星子), the road to Ruichang (瑞昌), the road to Mount Lu – Chiang Kai-shek's (蔣介石) highway policy from his era reached everywhere, with the road surface starting from Jiujiang. I had heard about Mount Lu before, such as when the Three Painters of Namp'yŏng (南薰三畵伯) descended the mountain, but this is my third ascent. Under the current Incident (事變),<59> this is the first time. Now, nobody climbs the mountain. It is generally not permitted. Those climbing must have identification papers. Thanks to the courtesy of the military authorities (軍), a palanquin (轎子) was arranged to connect with the Kuling [Guling] area on the mountain from Lianhua Cave, making it very convenient. Without it, one cannot ascend. In ordinary times, palanquin bearers (轎夫) focused on business (營業本位) would be waiting for customers, but nowadays, that is entirely unnecessary.

To Mount Lu After a Long Time

The mountain spirit permeates the body, and the heart is drawn to the summit. There were rough paths, but following the slopes, it wasn't too bad. Entrusting my body to the steps of the palanquin bearers, I could ascend quite naturally, my head bobbing.
Mount Lu is the same mountain that Zhu Shunshui (朱舜水) of the Ming Dynasty named Little Mount Lu (小盧山) within Tokyo's (東京) Iwakawa Kōrakuen (岩川後樂園). It is an elegant peak (雅峯) I would like to show briefly to Mr. Inoshita (井下君) of the Tokyo Parks Division (東京公園課) and others. Along the way, I passed places that evoked deep emotions: Xiujiang Pavilion (秀江亭), Banshan Pavilion (半山亭), the rest houses for strong coolies (强力苦力), the stone thatched huts (石草屋) where I once stopped to drink tea and rest my legs. The valleys and connected peaks (谿谷連峯) from previous visits, just as remembered, appeared and disappeared amidst the misty rain (煙雨), stirring unbearable feelings of nostalgia (懷舊). Only the mountain's silence (寂靜) and the birds crying in the sky make one wish to speak. Chiang Kai-shek, Song Ziwen (宋子文), Kong Xiangxi (孔祥熙), Xu Shiying (許世英) must have once climbed this mountain path. Also Zou Lu (鄒魯), Zhang Xueliang (張學良), Yu Youren (干右任), Di Chuqing (狄楚靑) must have ascended and descended. Since trees and stones (木石) wouldn't know, should I ask the little birds (小鳥)? – I ascended thinking such nonsensical thoughts.

Kuling [Guling] on Mount Lu

The villa district (別莊地區) is now like an empty hole from which the Chongqing (重慶) dignitaries have escaped; every villa is locked. And British (英國旗) and American flags (米國旗) fly abundantly from the rooftops, adding color. Originally, there were only about a hundred villas truly owned by British and Americans flying their national flags, but suddenly, after the Konoe Statement (近衛聲明), the number swelled to over 1,300.<61> Through this method of disguising property rights (擬裝權益方法), so many houses marked with British and American flags appeared in the valleys and on the mountain top. It was indeed well thought out.
Now, 67 British and Americans remain on the mountain, living peacefully (安居) as before in this separate world (別天地) under the new order (新秩序). Walking through their residential area (地區), there is a movie theater (映畵常設館), an elementary school (小學校), and though narrow, signboards of a shopping street (商店街). The atmosphere of green shade (綠陰) and the sound of clear streams (淸流) in this residential area are no different from the old days before the Incident. However, what is strikingly different is:
First, as mentioned above, all the villas of the Chongqing dignitaries are disguised as if owned by Westerners. Consequently, strict notices (貼札) are posted prohibiting any Japanese from entering here.
Second, following the stream down past the villas of Song Ziwen, Chiang Kai-shek, Kong Xiangxi, and successive dignitaries, one finds the magnificent library where the Lushan Conference (盧山會議) was held. Its splendid beauty (輸奐之美) dominates all of Guling (牯嶺). The six characters "Lushan Training Institute" (盧山傳習學舍) were faintly visible, mounted high on the dormitory wall.<62>

**Summary**

The author, writing from Nanjing in 1940, describes a journey to Mount Lu near Jiujiang during the Second Sino-Japanese War. Jiujiang is depicted as war-damaged and quiet, a stark contrast to its presumed pre-war bustle. Access to Mount Lu is restricted and requires military permission, highlighting the wartime conditions. The ascent evokes nostalgia, recalling past visits and prominent figures like Chiang Kai-shek who once frequented the mountain. The author observes the villa district on the mountain, noting that properties formerly belonging to Nationalist officials (now in Chongqing) are conspicuously flying British and American flags, a tactic believed to protect them from Japanese appropriation following the Konoe Statement. Despite the presence of a small foreign community living peacefully, the overall atmosphere is one of quiet desolation under the "new order," marked by deserted villas and restricted access, particularly for Japanese individuals near the flagged properties.

For historians, this article offers a valuable glimpse into life in Japanese-occupied China from a Korean perspective in Nanjing. It details the physical and social landscape of a famous Chinese location under wartime stress, illustrates the practical impact of international relations (the use of foreign flags for property protection), mentions prominent Chinese political figures in relation to the site, and reflects the controlled environment and propaganda ("New China," "new order") of the time. The author's position as a Korean intellectual in Nanjing adds another layer of complexity to the narrative.

**Named Entities**

白樂天	백낙천	Paengnakt'ŏn (Bai Juyi)
廬山	노산	Yŏsan (Mount Lu / Lushan)
南京	남경	Nanjing
揚子學人	양자학인	Yangja Hak'in
江南	강남	Kangnam (Jiangnan)
琵琶亭	비파정	Pip'ajŏng (Pipa Pavilion)
甘棠湖	감당호	Kamangho (Gantang Lake)
九江	구강	Kyugang (Jiujiang)
江西	강서	Kangsŏ (Jiangxi)
武穴	무혈	Muhyŏl (Wuxue)
景德鎭	경덕진	Kyŏngdŏkchin (Jingdezhen)
英國	영국	Yŏngguk (Britain)
支那	지나	China (Sino-)
陸盧亭	육로정	Yungnojŏng (Luluting - Restaurant Name)
蓮花洞	연화동	Yŏnhwadong (Lianhua Cave)
星子	성자	Sŏngja (Xingzi)
瑞昌	서창	Sŏch'ang (Ruichang)
蔣介石	장개석	Chang Kaesŏk (Chiang Kai-shek)
南薰三畵伯	남훈삼화백	Namhun Samhwabaek (Three Painters of Namp'yŏng)
朱舜水	주순수	Chu Sunsu (Zhu Shunshui)
東京	동경	Tonggyŏng (Tokyo)
岩川後樂園	암천후락원	Amch'ŏnhuragwŏn (Iwakawa Kōrakuen)
小廬山	소노산	Sonosan (Little Mount Lu / Shōrozan)
公園課	공원과	Kongwŏn'gwa (Parks Division)
井下君	정하군	Chŏngha Kun (Mr. Inoshita)
秀江亭	수강정	Sugangjŏng (Xiujiang Pavilion)
半山亭	반산정	Pansanjŏng (Banshan Pavilion)
宋子文	송자문	Song Chamun (Song Ziwen / T.V. Soong)
孔祥熙	공상희	Kong Sanghŭi (Kong Xiangxi / H.H. Kung)
許世英	허세영	Hŏ Seyŏng (Xu Shiying)
鄒魯	추로	Ch'uro (Zou Lu)
張學良	장학량	Chang Hangnyang (Zhang Xueliang)
干右任	간우임	Kan Uim (Yu Youren)
狄楚靑	적초청	Chŏk Ch'och'ŏng (Di Chuqing)
重慶	중경	Chunggyŏng (Chongqing)
美國	미국	Miguk (America/USA)
近衛	근위	Kŭnwi (Konoe)
牯嶺	고령	Koryŏng (Guling)
盧山會議	노산회의	Nosan Hoeŭi (Lushan Conference)
盧山傳習學舍	노산전습학사	Nosan Chŏnsŭphaksa (Lushan Training Institute)

**Glossary**

놀든	놀던	roamed, played (older participial form of 놀다)
깁흐다	깊다	deep (older spelling of 깊다)
瑪頭	마두	wharf, pier (Hanja word)
界畏	계외	boundary, limit (less common Hanja word)
苦力	고력	coolie, manual laborer (Hanja word)
十長	십장	foreman, head of a group of ten workers (Hanja word)
舖道	포도	pavement, paved road (Hanja word)
支那店	지나점	Chinese shop/restaurant (term '支那' (China) was common then, now often considered derogatory)
菜舘	채관	restaurant (specifically Chinese style, Hanja word)
姑娘	고낭	young lady, girl (Chinese loanword, used for waitress here)
얼리지 않게	어울리지 않게	unsuitably, unbecomingly (older spelling '얼리다' for '어울리다')
뜨라이브	드라이브	drive (loanword)
事變	사변	Incident (often refers to the Sino-Japanese War, euphemism for war)
轎子	교자	palanquin, sedan chair (Hanja word)
營業本位	영업본위	business-oriented, profit-first (Hanja compound)
轎夫	교부	palanquin bearer (Hanja word)
슴여들고	스며들고	permeates, seeps into (older spelling of 스며들다)
끌리웠다	끌리었다	was drawn to, was attracted to (older passive form/spelling)
雅峯	아봉	elegant peak (Hanja word)
强力	강력	strong power, strength (used here for strong coolies)
石草屋	석초옥	stone thatched house (Hanja word)
일즉이	일찍이	once, formerly (older spelling of 일찍이)
쉬든	쉬던	rested (older participial form of 쉬다)
谿谷連峯	계곡연봉	valleys and connected peaks (Hanja word)
煙雨	연우	misty rain, drizzle (Hanja word)
隱顯	은현	appearing and disappearing (Hanja word)
懷舊	회구	nostalgia, reminiscence of the past (Hanja word)
寂靜	적정	silence, stillness, quietness (Hanja word)
木石	목석	trees and stones (Hanja word)
小鳥	소조	little bird (Hanja word)
別莊	별장	villa, vacation home (Hanja word)
구녕	구멍	hole (colloquial/older spelling of 구멍)
가뜩	가득	fully, abundantly (older spelling/form of 가득)
가추워	갖추어	equipped with, possessing (older spelling of 갖추다)
擬裝權益	의장권익	disguised/camouflaged property rights (Hanja compound)
溪谷	계곡	valley (Hanja word)
英米人	영미인	British and American people (Hanja compound)
新秩序	신질서	New Order (referring to the Japanese-envisioned order in East Asia)
別天地	별천지	separate world, different world, paradise (Hanja word)
安居	안거	living peacefully, dwelling in peace (Hanja word)
地區	지구	area, district, zone (Hanja word)
映畵常設館	영화상설관	permanent movie theater (Hanja compound)
小學校	소학교	elementary school (Hanja word)
商店街	상점가	shopping street (Hanja word)
綠陰	녹음	green shade, greenery (Hanja word)
淸流	청류	clear stream (Hanja word)
舊時	구시	old times, former days (Hanja word)
貼札	첩찰	posted notice, placard (Hanja word)
輸奐	윤환	splendid, magnificent (less common Hanja word, describing beauty)
美	미	beauty (Hanja word)
寄宿舍	기숙사	dormitory (Hanja word)
보혔다	보였다	was seen, was visible (older spelling of 보이다)


---------------------------


잡지명	삼천리 제12권 제9호
발행일	1940년 10월 01일
기사제목	白樂天이 놀든 廬山의 風光 紀行
필자	在南京 揚子學人
기사형태	기행문

白樂天이 놀든 廬山의 風光 紀行
						在南京 揚子學人
新支那에 빛나는 江南의 天地

琵琶亭의 유적, 거기에 이어 甘棠湖등 내 留宿하는 창에서 보면, 盧山을 배경으로, 어느 것이나, 감회 깊으다. 이것이 時局戰雲에 쌓여 있지 않는 때라면 이 九江의 瑪頭며, 江西米며, 武穴의 麻며, 또 景德鎭의 도자기류로서 倉庫라는 倉庫의 界畏는 「苦力」의 용감한 소리며, 그 중에 十長이나 감독의 일홈을 빌여서 요령 있게 해나가는 광경등, 볼만한 것이 있는데, 지금은 그러한 瑪頭 풍경도 볼을 없고, 倉庫를 싫은 풍경-조차 形蹟수 감추었다.<58>

九江은 또 陸上의 舊英 租界를 비롯하여

