Magazine Title: 삼천리 제4권 제6호
Publication Date: 1932년 05월 15일
Article Title: 夏日夜話 (Summer Night Talk)
Author: Not specified
Article Type: 소식 (News/Tidings)

Summer Night Talk

Will Tosan be extradited?
According to results gathered through all of Samch'ŏllisa's information networks, it seems Tosan (島山) will inevitably be extradited to Chosŏn. First Yŏ Unhyŏng came, then Ku Yŏnhŭm, and now Tosan too is coming, so quite a lot of people from Sanghae are coming. The time of Tosan's extradition will probably be after the interrogation at the Sanghae Consulate General is finished and most of those implicated or considered accomplices are arrested, bringing the case to a close, so it will likely take at least another month. In Yŏ Unhyŏng's case, he departed from Sanghae, went via Nagasaki to Pusan, arrived in Sŏul, and was immediately detained in the Kyŏnggi-do Police Department detention center. Inspector Tanabe (田邊) (now transferred to the Harbin Special Service Agency), chief of the Police Department's Higher Thought Section, interrogated him. If Tosan follows the same path, he will surely be interrogated by Chief Miwa (三輪) of the Police Department. I hear that Tosan's nationality, since he went to America (米国) before the Nationality Law came into effect and then returned to China (中國), means he has no family register (籍) in Chosŏn but was naturalized (入籍) in China. Also, it's said he planned to go to America whenever he had the chance to obtain American (亞米利加) citizenship. Word is that he was delaying because the travel documents weren't being issued easily, but anyway, now that things have turned out this way, discussing nationality seems pointless.

What charges will Tosan face when he arrives, and how long a sentence will he receive? Will it be heavier than Yŏ Unhyŏng's? How would I know? Unless one is a judge. However, listening to the observations of experts, if he is not directly involved in the recent bombing incident (society generally observes, based on his usual political opinions and actions, that he likely has no connection to this incident, and assuming that observation is correct), he would eventually be caught under the Peace Preservation Law violation, the Decree (制令) violation, or the Security Law violation. There seems no reason he would fall under the Peace Preservation Law violation because he is not a communist, so there's no reason to be punished as a communist activist; thus, it seems unlikely to apply to him. Second, regarding the Decree violation, the period when he engaged in political activities as a nationalist was over ten years ago, so it's likely subject to the statute of limitations. Third, the Security Law violation is considered the most likely charge. Given that Yŏ Unhyŏng was also charged under this law, that observation seems plausible. However, these things depend on the judicial official's investigation, and we need to wait and see for a while longer. Anyway, while still in Sanghae, he was said to be fasting (?), and word is that various organizations are undertaking some kind of movement, but I don't know the definite details either.

Mourning Ms. Ch'oe Yŏngsuk
As reported in detail last time, Ms. Ch'oe Yŏngsuk (崔永淑氏), a female Bachelor of Economics graduate from a Swedish (瑞典) university, tragically ended her 29-year-old youth in a room of her home some time ago, calling her lover's name, vanishing without a trace like a meteor that had floated in the blue sky. Hearing this sad news, the Indian (인도) young man has reportedly canceled his trip to Chosŏn and spends his days grieving, looking up at the blue sky, only consoling his lover's spirit. Speaking of that Indian young man, his father was a Korean man and his mother an Indian woman; he was born from an international marriage, and his family name is said to be No (盧氏). Of course, since he is naturalized (入籍) in India, he is an Indian.
He and Ms. Ch'oe Yŏngsuk were deeply in love and even held a formal wedding ceremony in Bombay (뽐페이), India. Therefore, Ms. Ch'oe was not a "Miss" but a "Madam," and giving birth was a perfectly legitimate matter.
I hear that when she met her lover in India after finishing her studies at the Swedish University, the Indian young man strongly urged her to live a married life in India for a long, long time. However, with profound filial piety, Scholar Ch'oe (崔學士) said, "A lover can be met again in this world, but parents, once they pass away, can never be seen again..." and temporarily parted with her lover to return home. Even after that, messages asking her to come came frequently from the Indian young man, and money was also occasionally sent.
So, what does that Indian young man do? His father, Mr. No (盧氏), a Korean, went to India decades ago and ran a trading business (貿易商), and it's said the son is likely continuing the family business (父業).

Also, Ms. Ch'oe Yŏngsuk's family was not originally so poor. Her father was a devout Christian, holding important positions (職任) in the church and being very active, while also running a fish business (魚商). However, one winter, the price of pollack (明太) plummeted drastically, causing his business to fail, and from then on, they lived in great hardship. According to what I hear, Scholar Ch'oe's premature death was due to money. Recently, she needed rest from overwork (劇務), but lacked the financial means, and her body became indescribably fatigued, which was reportedly the biggest cause. That seems plausible, as recently, together with Ms. Pak Indŏk (朴仁德), Ms. Hwang Aesidŏk (黃愛施德), and others, she was involved in establishing rural schools and promoting cultural movements for rural women. Ms. Ch'oe was in charge of compiling the textbooks for the peasant school and was always in the library. It's said she often skipped breakfast and dinner while doing so. Because of this, her close friend Ms. Im Hyojŏng (林孝貞) laments greatly, saying that poverty killed the precious Scholar Ch'oe. Indeed, Chosŏn society treats talented people (才人) too poorly and too heartlessly.

Chosŏn Ilbo President's Path
Didn't the president of the Chosŏn Ilbo (朝鮮日報) suddenly become Elder Yu Chint'ae (兪鎭泰 翁)? Society seems quite surprised, calling it a rather sudden event (突發事). As far as I know, the initial candidates proposed for the presidency were Hŏ Hŏn (許憲), Hong Myŏnghŭi (洪命憙), and Yu Chint'ae. But do societal affairs ever proceed solely based on reputation (譽論) and prestige (名望)? Elder Yu Chint'ae ended up stepping forward. Whether Mr. Yu will be president forever or not, I cannot predict yet.

Rumor of a Round-the-World Tour Group
It seems the OO Ilbosa (OO 日報社) newspaper company has intentions to organize a round-the-world tour group. Will there even be ten participants willing to shell out ten or twenty thousand won each to go sightseeing? Anyway, at a time when most people are chewing on grass roots and tree bark (草根木皮), it seems too much, and it would be best to refrain from such empty talk (힌소리).

Suspension of the Chungang Ilbo
You must know that the Chungang Ilbo (中央日報) was suspended for 60 days. Because of that, a "starvation pact" (餓死同盟) was organized among the employees, arrests were made, and anyway, there were quite a lot of complications (曲折). For the sake of praying for the revival of that newspaper company, I will keep all the scandals (醜態) covered up for now. Let's talk again as things progress. <11>
<10-11>

**Summary**

This article from May 1932 compiles several news tidbits. It speculates on the impending extradition of the prominent nationalist leader An Ch'angho (Tosan) from Shanghai to Korea, discussing potential charges under colonial law (Security Law likely, Peace Preservation Law unlikely as he wasn't communist). It mourns the recent death of Ch'oe Yŏngsuk, a Swedish-educated economist, linking her demise to overwork compounded by poverty, and mentions her relationship with an Indian man of Korean descent. The piece also reports on leadership changes at the Chosŏn Ilbo, dismisses rumors of a newspaper sponsoring a world tour as inappropriate during hard times, and briefly touches upon the recent 60-day suspension of the Chungang Ilbo and the resulting staff unrest, promising more details later.

For historians, the article offers insights into the colonial surveillance and legal mechanisms used against Korean nationalists like An Ch'angho and Yŏ Unhyŏng, distinguishing between nationalist and communist charges under laws like the Peace Preservation Law and Security Law. It highlights the precarious situation of Korean intellectuals like Ch'oe Yŏngsuk, suffering from poverty despite education, reflecting broader social conditions. It also provides glimpses into the contemporary media landscape, including leadership struggles (Chosŏn Ilbo) and government suppression (Chungang Ilbo suspension). The mention of specific Japanese police officials (Tanabe, Miwa) involved in interrogating activists is also notable.

**Named Entities**

島山	도산	Tosan (An Ch'angho)
삼천리사	삼천리사	Samch'ŏllisa (Samch'ŏlli Company)
조선	조선	Chosŏn (Korea)
呂運亨	여운형	Yŏ Unhyŏng
具然欽	구연흠	Ku Yŏnhŭm
上海	상해	Sanghae (Shanghai)
상해 총영사관	상해 총영사관	Sanghae Consulate General
長崎	나가사키	Nagasaki
부산	부산	Pusan
서울	서울	Sŏul
경기도 경찰부	경기도 경찰부	Kyŏnggi-do Police Department
田邊	전변	Tanabe
哈爾賓	하얼빈	Harbin
哈爾賓 특무기관	하얼빈 특무기관	Harbin Special Service Agency
三輪	미와	Miwa
米國	미국	Miguk (USA)
中國	중국	Chungguk (China)
亞米利加	아메리카	Amerika (America)
崔永淑氏	최영숙씨	Ms. Ch'oe Yŏngsuk
瑞典	서전	Swedŭn (Sweden)
인도	인도	Indo (India)
盧氏	노씨	Mr./Clan No
뽐페이	봄베이	Ppompei (Bombay)
崔學士	최학사	Scholar Ch'oe
朴仁德	박인덕	Pak Indŏk
黃愛施德	황애시덕	Hwang Aesidŏk (Esther Hwang)
林孝貞	임효정	Im Hyojŏng
朝鮮日報	조선일보	Chosŏn Ilbo
兪鎭泰 翁	유진태 옹	Elder Yu Chint'ae
許憲	허헌	Hŏ Hŏn
洪命憙	홍명희	Hong Myŏnghŭi
OO 日報社	OO 일보사	OO Ilbosa (OO Newspaper Company)
中央日報	중앙일보	Chungang Ilbo

**Glossary**

호송될 듯하다고 하네	호송될 듯하다고 하네	It is said it seems he will be extradited (Older grammar/spelling)
압서	앞서	Before, previously (Older spelling)
만히	많이	Many, much (Older spelling)
끗나고	끝나고	After finishing (Older spelling)
압흐로	앞으로	Henceforth, in the future (Older spelling)
걸닐걸	걸릴걸	Will likely take/be caught (Older spelling)
거처	거쳐	Via, passing through
거름으로	걸음으로	Immediately upon arriving (Lit. 'with that step')
밧게 될걸	맡게 될걸	Will likely take charge of (Older spelling of '맡다')
드르니	들으니	According to what I hear (Older spelling)
갓다가	갔다가	Having gone (Older spelling)
잇섯슴으로	있었으므로	Because there was/he was (Older spelling)
업고	없고	Not having, there isn't (Older spelling)
입적하엿다고	입적하였다고	Said to have been naturalized (入籍)
잇스면	있으면	If there is (Older spelling)
안어서	않아서	Because it doesn't... (Older spelling)
잇섯다는	있었다는	That there was (Older spelling)
엇잿든	어쨌든	Anyway, in any case (Older spelling)
업는 세음이 되엿지	없는 셈이 되었지	It has become pointless (Older spelling of '셈', '되었다')
드러오면	들어오면	When he comes in/arrives (Older spelling)
밧을가고	받을까	Will receive? (Older spelling)
낸들	나인들	How would I... (Contraction)
그러치만	그렇지만	However, but (Older spelling)
이러난	일어난	That happened/arose
업다면	없다면	If not involved (Older spelling)
업스리라고	없으리라고	That he likely isn't (involved) (Older spelling)
올타고	옳다고	That it is correct
치안유지법	치안 유지법	Peace Preservation Law
업는	없는	Non-existent, not (Older spelling)
공산운동자	공산 운동자	Communist activist
밧을 까닭이 업스니	받을 까닭이 없으니	As there is no reason to receive (punishment) (Older spelling)
안을 듯하다	않을 듯하다	Seems unlikely
제령	제령	Decree (Colonial era regulation)
시효에 걸니기 쉽겟다고	시효에 걸리기 쉽겠다고	Said it's likely subject to the statute of limitations (Older spelling)
보안법	보안법	Security Law
걸니기 쉬우라는데	걸리기 쉬우리라는데	Said it is likely easy to be caught under (Older spelling)
걸니엇든	걸렸던	Was caught under (Older spelling)
그러케	그렇게	Like that, so (Older spelling)
그럴 듯 하이	그럴 듯 하이	Seems plausible (Archaic sentence ending)
잇슬	있을	Who is (still) in (Older spelling)
단하고 잇섯대	단하고 있었대	Said to be fasting (?) (단 unclear, possibly 단식)
들니는데	들리는데	Is heard, but... (Older spelling)
얏갑게	아깝게	Regrettably, unfortunately (Older spelling)
자최를 감추엇다	자취를 감추었다	Disappeared without a trace
맛낫슬 때	만났을 때	When (she) met (Older spelling)
잇스나	있으나	Although there is/can be (Older spelling)
도라 가시면	돌아가시면	Pass away (polite)
뵈올 수 업스니	뵈올 수 없으니	Cannot see (honorific, older spelling)
왓섯다고	왔었다고	Said to have come (Older spelling)
무역상	무역상	Trading business/merchant
부업	부업	Father's business, family business
맛고	맡고	Taking charge of, holding (a position) (Older spelling)
게시는	계시는	Who are (honorific)
명태	명태	Pollack (fish)
지내엇는데	지내었는데	Lived, spent time (Older spelling)
들이는 말에	들리는 말에	According to rumors/what is heard
작고한 것	작고한 것	The fact that (she) passed away
극무	극무	Strenuous work, overwork
업서	없어	Lacking, without (Older spelling)
자시지도 못하고	자시지도 못하고	Without even eating sufficiently (Honorific/archaic form of 먹다)
하엿다는바	하였다는 바	As (she) did...
앗가운	아까운	Precious, regrettable (loss) (Older spelling)
안는 터이다	않는 터이다	Is the situation where... not (Older spelling)
재인	재인	Talented person
안엇는가	않았는가	Didn't it become? (Older spelling)
돌발사	돌발사	Sudden/unexpected event
엇는데	였는데	Was, but... (Older spelling)
어듸	어디	Where (Archaic spelling)
예론	예론	Public opinion (譽論)
명망	명망	Prestige, reputation (名望)
업네	없네	There isn't (Older spelling)
내번지고	내번지고	Throwing away, squandering (Possibly 내던지고)
초근목피	초근목피	Grass roots and tree bark (Symbol of extreme poverty)
힌소리	흰소리	Empty talk, boastful talk
알 터이네만은	알 터이네마는	You must know, but... (Older grammar/spelling)
아사동맹	아사 동맹	Starvation pact/alliance
만엇는데	많았는데	There were many (Older spelling)
이약이삼세	이야기하세	Let's talk (Older form)


---------------------------


잡지명	삼천리 제4권 제6호
발행일	1932년 05월 15일
기사제목	夏日夜話
기사형태	소식

夏日夜話
島山은 護送되어 나올가
