Magazine Title: 三千리 제16호
Publication Date: 1931-06-01
Article Title: 日本 三大 無産政黨 解剖 (Analysis of Japan's Three Major Proletarian Parties)
Author: 林元根 (Im Wŏn'gŭn)
Article Type: 논설 (Editorial/Commentary)

日本 三大 無産政黨 解剖
						林元根

Labour-Farmer Party (勞農黨)

Introduction
Regarding how necessary the firm unity of Japan's workers and farmers is to confront the entrenched power bloc of Japan's capitalists and landlords, the Comintern's "Theses on the Japanese Question" records the following:
"Farmers can only achieve victory in their struggle to obtain land under the leadership of the working class. Looking at history anywhere, peasant movements not led by the proletariat have only ever repeated failures."
"In a country like Japan, where farmers occupy the majority of the population, the proletariat being independent from the farmers carries the greatest danger, and it also provides the bourgeoisie with their most potent weapon. The alliance between the proletariat and the farmers is absolutely indispensable from the perspective of any class interest."
"The driving force for XX regarding XX are the proletariat, the farmers, and the propertyless citizens. However, among them, the proletariat and the farmers are the most important."
The value of the existence of Japan's Labour-Farmer Party (Rōnōtō - 勞農黨) can be glimpsed even from these few words quoted from the theses. It is one of Japan's three major proletarian parties currently existing, alongside the Popular Masses Party (Taishūtō - 大衆黨) and the Social Democratic Party (Shamintō - 社民黨), waging a joint struggle front composed of the worker and farmer strata against the Japanese bourgeois class.
The late Mr. Yamamoto Senji (故山本宣治氏), who tragically became a victim of XX in the spring of 1928 (Shōwa 3), was the only steadfast proletarian Diet member elected from this party (excerpt - original text). Isolated in his Diet seat, he cried out for the immediate interests and XX of the entire Japanese propertyless masses. Furthermore, when the first prefectural assembly member elections under the Universal Suffrage Law were held simultaneously nationwide in September 1927, the Labour-Farmer Party, through relentless struggle, managed to capture half of the 26 seats won by all four of Japan's proletarian parties at the time.
"All struggles towards the acquisition of political freedom!" This indeed is the consistent slogan upheld by the Japan Labour-Farmer Party. Since then, amidst a turbulent past history fraught with overlapping waves, the party has sought only what needed seeking and discarded what needed discarding, bravely continuing the struggle under the banner of this slogan. When neighbouring China was engulfed in the whirlpool of revolution, and anti-Zhang Zuolin sentiment reached the point of influencing Chinese political power, the Japanese government, which stubbornly adhered to a pro-Zhang policy at the time, did not miss the opportunity and openly interfered. The Labour-Farmer Party, along with other proletarian parties, indignantly rose up, organized the "League for Non-Intervention in China" (對支非關涉同盟), and launched a fierce nationwide movement for non-intervention in China.
Not only that, but during the Tanaka cabinet in 1927, when the first military expedition to China occurred, it again launched fierce movements opposing the deployment in various places. Following the outbreak of the financial panic and instability that spring, it initiated movements such as factory representative conferences and farmer assemblies across the country to counter the attacks of capitalists, landlords, etc. The Labour-Farmer Party has constantly, without forgetting its historical mission, devoted all its efforts to clearly guiding and indicating the path forward for the worker and farmer strata. <17>

Birth and Battle Record of the Labour-Farmer Party
However, the currently existing Japan Labour-Farmer Party, which hails Mr. Ōyama Ikuo (大山郁夫氏) as its party leader today, has truly trodden a difficult path to attain its present development and position. Its midwife, its very first predecessor, was the formation of the "Labour-Farmer Political Party" (勞農政黨), Japan's first proletarian party centered around the Japan Farmers' Union (日本農民組合), six years ago in December 1925 (Taishō 14). However, the new emergence of such a historic proletarian party met the fate of immediate dissolution on its founding day under the XX suppression of the Kenseikai cabinet.
But the movement to reorganize the proletarian party soon arose in succession. Initiated by the Japan Farmers' Union, the Government Enterprise Labour Federation (官業勞働總同盟), etc., by mid-January 1926, immediately after the dissolution, the "Preparatory Consultative Meeting for a Proletarian Party" (無産政黨準備懇談會) was held in Ōsaka. As a result, excluding the four left-wing groups – the Council (評議會), the Political Study Group (政治硏究會), the Proletarian Youth League (無産靑年同盟), and the Suiheisha Youth League (水平社靑年同盟) – a nationwide Labour-Farmer Party was established on March 5th of the same year by centrist and left-wing organizations: Japan Farmers' Union, Japan Federation of Labour (日本勞働總同盟), General Federation of Japanese Labour Unions (日本勞働組合總聯合), Japan Pottery Workers' League (日本製陶勞働同盟), Government Enterprise Labour Federation, Tokyo Municipal Railway Employees' Self-Governing Association (東京市電自治會), Japan Cooks' League (日本司廚同盟), etc. This was the predecessor of the current Labour-Farmer Party.
Within this social democratic Labour-Farmer Party, which thus pursued a policy of closing its doors to left-wing activists, as time passed, the XX left-leaning consciousness, burning like a prairie fire, managed to occupy its rightful place and colour it. Consequently, at the 4th Central Committee meeting on October 24th of the same year, an inevitable split between the two major camps, left and right, finally occurred. This was not accidental but signified a fundamental split in principles, causes, and policies. Simultaneously, within the Japanese proletarian camp, four proletarian parties briefly jostled: the Social Masses Party (社會民衆黨) centered around Abe Isoo (安部磯雄氏), one of the withdrawn right-wing leaders, the Japan Labour-Farmer Party (日本勞農黨), and the Japan Farmers' Party (日本農民黨).
Thereafter, the Labour-Farmer Party – the purely left-wing Labour-Farmer Party after the purge of right-wing cadres – adopted militant tactics at a fairly rapid tempo and defended the stronghold of the left-wing camp.
However, the Labour-Farmer Party, having thus painstakingly arranged its formation, was once again forced to overcome thorny difficulties. Encountering the March 15th Incident (3,15事件), which stained a page of history, it once again met the tragic fate of dissolution.
March 15th, 1927! (Note: should be 1928 based on historical context of the March 15 Incident) An unprecedented whirlwind of mass arrests swept the entire land of Japan. Over a thousand XX elements scattered throughout the country were rounded up, over four hundred party offices simultaneously suffered raids, and hundreds of thousands of documents were confiscated.
But (ellipsis - original text) a single breath was still flickering. The New Party Organization Preparatory Committee, braving all difficulties, finally, through a grand founding convention spanning three days in December of the same year, managed somehow to give birth to a X-legal organizational body called the "League for the Attainment of Political Freedom" (政治的 自由獲得同盟). This was because even the New Party Organization Preparatory Committee lost its legality on the third day of the convention.
The League, born in this way, achieved steady growth for some time under the banner it newly raised. However, the ensuing April 16th Incident (4,16事件 - Note: occurred in 1929) once again deprived its camp of many core members. The heart-wrenching sorrow of the remaining struggling elements, feeling endless emptiness in the face of repeated calamities, can only be imagined.
So, what course of advance did they,徘徊ing (wandering) through such gates of life and death, rising seven times only to fall, falling eight times only to rise again, finally grasp?
They finally tried one last rising. They practiced it completely. When the proposal for establishing a New Labour-Farmer Party (新勞農黨) was advocated, a grand founding convention was boldly held at the Shiba Kyōchō Kaikan (芝協調會舘) in Tōkyō over two days, November 1st and 2nd, 1928.

Conclusion

Boldly enduring such repeated ordeals and accumulating a battle record of grim struggles, today's Labour-Farmer Party has developed its growth and is making its healthy existence known to the world. The party dispatches its leader, Ōyama Ikuo (大山郁夫氏), to the Diet to proclaim its principles and assertions, while on the other hand, it is concentrating its entire fighting strength on the struggle against unemployment, election struggles, and the struggle to rebuild left-wing labour unions. (The issue of its temporary dissolution is omitted.)
Due to limited space, I cannot provide a more detailed report, but I <18> believe that the above sufficiently clarifies the history of the Labour-Farmer Party's development to this day, the important position it occupies on the Japanese proletarian movement front, and furthermore, its raison d'être. However, I wish to conclude by introducing its fundamental spirit, the party's platform, and its more important current policies.
Platform
1. Our party struggles for the defense and expansion of the daily interests of workers, farmers, propertyless citizens, and all other oppressed peoples.
2. Our party makes the expansion and strengthening of labour unions and farmers' unions its important task.
3. Our party aims for the unification of the proletarian class front.
4. Our party struggles for the acquisition of political freedom for all oppressed peoples.
Policies
1. Freedom of speech, publication, assembly, and association.
4. Abolition of the Peace Preservation Law, the Public Order Police Law, the Law for the Suppression of Violent Acts, and all other laws suppressing the proletarian class.
5. Punishment for all punishments, arrests, confinements, and house intrusions not based on judicial process; state compensation for wrongful convictions and unjust detentions.
6. Punishment of officials for abuse of authority, unjust restraint, violence, insults, bribery.
7. Absolute public access to trials, public election of jurors by general vote and expansion of their authority.
8. Improvement of treatment in prisons and police stations, freedom of reading, visits, and exercise, immediate release on bail after completion of preliminary examination and abolition of bail money.
9. Abolition of political police and secret funds.
13. Acquisition of the right to organize, the right to strike, and the right to collective bargaining.
16. Acquisition of a minimum wage and minimum salary system.
17. Acquisition of an unemployment benefits system funded by capitalists.
19. Abolition of the Labour Dispute Conciliation Law.
22. Establishment of cultivation rights, absolute opposition to the seizure of standing crops, cocoons, and other agricultural products, and entry prohibition.
24. Abolition of compulsory inspection of rice, wheat, and other agricultural products.
31. Acquisition of special treatment systems for youth and women workers, abolition of youth and women apprenticeship systems.
32. Freedom of research for students and pupils and establishment of self-governing rights within schools.
35. Abolition of legal, economic, and social discrimination against women.
41. (excerpt - original text)
42. Abolition of secret diplomacy.
44. Absolute opposition to imperialist wars, etc. (To be continued) <19>

**Summary**

This article details the tumultuous history of the Japanese Labour-Farmer Party (Rōnōtō), one of Japan's three major pre-war proletarian parties, from its origins in 1925 to its status in 1931. It highlights the party's ideological basis in Marxist thought (citing the Comintern), its focus on uniting workers and farmers against capitalists and landlords, and its constant struggle against government suppression, including multiple forced dissolutions (following its initial formation and the March 15th Incident) and subsequent reorganizations under figures like Ōyama Ikuo. The party's platform and policies, emphasizing political freedoms, workers' rights, land rights, and opposition to imperialism, are presented as evidence of its commitment to the proletarian cause. From the perspective of Korean colonial history, this article is interesting as it provides insight into the left-wing political movements within Imperial Japan, the forces the colonial regime contended with domestically. The Rōnōtō's anti-imperialist stance (Policy 44) and focus on the "oppressed peoples" (Platform 1 & 4), while primarily concerning the Japanese working class, offered a potential, albeit complex and often fraught, point of connection or parallel struggle for colonized Koreans seeking liberation, even if direct collaboration was limited or suppressed.

**Named Entities**

日本	니혼	Nihon
林元根	임원근	Im Wŏn'gŭn
勞農黨	노농당	Rōnōtō
大衆黨	대중당	Taishūtō
社民黨	사민당	Shamintō
山本宣治	야마모토 센지	Yamamoto Senji
中國	중국	Chunguk (China)
張作霖	장쭤린	Zhang Zuolin
對支非關涉同盟	대지비관섭동맹	Taishi Hikanshō Dōmei
田中內閣	다나카 내각	Tanaka Naikaku (Tanaka Cabinet)
大山郁夫	오야마 이쿠오	Ōyama Ikuo
日本農民組合	일본농민조합	Nihon Nōmin Kumiai
勞農政黨	노농정당	Rōnōseito
憲政內閣	헌정내각	Kensei Naikaku (Kenseikai Cabinet)
官業勞働總同盟	관업노동총동맹	Kangyō Rōdō Sōdōmei
無産政黨準備懇談會	무산정당준비간담회	Musan Seito Junbi Kondankai
大阪	오사카	Ōsaka
評議會	평의회	Hyōgikai
政治硏究會	정치연구회	Seiji Kenkyūkai
無産靑年同盟	무산청년동맹	Musan Seinen Dōmei
水平社靑年同盟	수평사청년동맹	Suiheisha Seinen Dōmei
日本勞働總同盟	일본노동총동맹	Nihon Rōdō Sōdōmei
日本勞働組合總聯合	일본노동조합총연합	Nihon Rōdō Kumiai Sōrengō
日本製陶勞働同盟	일본제도노동동맹	Nihon Seitō Rōdō Dōmei
東京市電自治會	도쿄시전자치회	Tōkyō Shiden Jichikai
日本司廚同盟	일본사주동맹	Nihon Shichū Dōmei
安部磯雄	아베 이소오	Abe Isoo
社會民衆黨	사회민중당	Shakai Minshūtō
日本勞農黨	일본노농당	Nihon Rōnōtō
日本農民黨	일본농민당	Nihon Nōmintō
政治的 自由獲得同盟	정치적 자유획득동맹	Seijiteki Jiyū Kakutoku Dōmei
新勞農黨	신노농당	Shin Rōnōtō
東京	도쿄	Tōkyō
芝協調會舘	시바교조회관	Shiba Kyōchō Kaikan

**Glossary**

無産政黨	무산정당	Proletarian party; political party representing those without property.
解剖	해부	Analysis; dissection.
勞農黨	노농당	Labour-Farmer Party (referring to the Japanese Rōnōtō).
資本家	자본가	Capitalist.
地主	지주	Landlord.
旣成勢力	기성세력	Established power/forces; the establishment.
對抗	대항	To confront; to oppose.
勞働者	노동자	Worker; labourer (older spelling: 勞働者 vs modern 노동자).
農民	농민	Farmer; peasant.
團結	단결	Unity; solidarity.
必要	필요	Necessary; necessity.
記錄	기록	Record; documentation.
階級	계급	(Social) class.
指導	지도	Leadership; guidance.
勝利	승리	Victory.
엇다	얻다	To obtain; to get (older spelling: 엇다 vs modern 얻다).
歷史	역사	History.
푸로레타리아트	프롤레타리아트	Proletariat.
運動	운동	Movement.
失敗	실패	Failure.
거듭하다	거듭하다	To repeat.
人口	인구	Population.
太半	태반	Majority; greater part.
占領	점령	To occupy.
잇다	있다	To exist; to be (older spelling: 잇다 vs modern 있다).
危險	위험	Danger; risk.
武器	무기	Weapon.
提供	제공	To provide; to offer.
同盟	동맹	Alliance; league.
絶對不可缺	절대불가결	Absolutely indispensable.
無産市民	무산시민	Propertyless citizen; urban poor.
重要	중요	Important.
引用	인용	Quotation; citation.
몃마듸	몇 마디	A few words (older spelling: 몃마듸 vs modern 몇 마디).
足히	족히	Enough; sufficiently.
存在	존재	Existence.
價値	가치	Value; worth.
엿보다	엿보다	To glimpse; to peek at.
現存	현존	Currently existing.
大衆黨	대중당	Popular Masses Party.
社民黨	사민당	Social Democratic Party.
合成	합성	Composed of; synthesized.
共同鬪爭戰線	공동투쟁전선	Joint struggle front.
버리다	벌이다	To wage; to start (a fight, war, etc.). (Note: In modern Korean, 버리다 usually means 'to throw away', but here context implies 벌이다).
當選	당선	Elected.
代議士	대의사	Diet member; representative.
議會	의회	Assembly; parliament; Diet.
席上	석상	Seat (in an assembly).
狐立	고립	Isolation.
全無産大衆	전무산대중	The entire propertyless masses.
當面利益	당면이익	Immediate interests.
爲하다	위하다	For the sake of (older form: 위하야 vs modern 위하여).
絶叫	절규	To scream; to cry out.
普通選擧法	보통선거법	Universal Suffrage Law.
府縣會員	부현회원	Prefectural assembly member.
選擧	선거	Election.
全國的	전국적	Nationwide.
一齊히	일제히	Simultaneously; all at once.
施行	시행	Implementation; enforcement.
奮戰	분전	Hard fight; strenuous effort.
結果	결과	Result; outcome.
當時	당시	At that time.
半數	반수	Half the number.
自黨	자당	One's own party.
獲得	획득	Acquisition; attainment.
支持	지지	Support; backing.
終始一貫	종시일관	Consistent from beginning to end.
爾來	이래	Since then.
波瀾重疊	파란중첩	Full of ups and downs; turbulent.
지난	지난	Past; last.
찻다	찾다	To seek; to look for (older spelling: 찻다 vs modern 찾다).
바리다	버리다	To discard; to throw away.
旗幟	기치	Banner; flag.
勇敢	용감	Brave; courageous.
鬪爭	투쟁	Struggle; fight.
꾸준히	꾸준히	Steadily; persistently.
이어나오다	이어 나오다	To continue; to carry on.
일즉이	일찍이	Early on; previously.
隣邦	인방	Neighboring country.
革命	혁명	Revolution.
渦中	와중	Whirlpool; midst of turmoil.
政權	정권	Political power; regime.
左右	좌우	To influence; to control (literally 'left and right').
固執	고집	To adhere stubbornly; persistence.
政府	정부	Government.
機	기	Opportunity; chance.
노치다	놓치다	To miss (an opportunity) (older spelling: 노치다 vs modern 놓치다).
公然	공연	Openly; publicly.
干涉	간섭	Interference; intervention.
憤然히	분연히	Indignantly.
起立	기립	To stand up; to rise.
組織	조직	Organization; to organize.
猛烈	맹렬	Fierce; intense.
內閣	내각	Cabinet (government).
處하다	처하다	To be in (a situation); to face.
第一次	제1차	First (time/round).
出兵	출병	Dispatch of troops.
各地	각지	Various places.
反對運動	반대운동	Opposition movement.
金融恐慌	금융공황	Financial panic.
動搖	동요	Instability; unrest; wavering.
發生	발생	Occurrence; outbreak.
工場	공장	Factory.
代表者會議	대표자회의	Representative conference.
밋	및	And; as well as (older form/spelling).
農民大會	농민대회	Farmer's assembly/convention.
等	등	Etc.; and so on.
攻擊	공격	Attack.
對抗	대항	To counter; to resist.
恒常	항상	Always; constantly.
使命	사명	Mission; duty.
忘却	망각	Forgetting; oblivion.
歸趨	귀추	Outcome; course of events; where one belongs.
進路	진로	Path; course forward.
明示	명시	To state clearly; specify.
努力	노력	Effort.
다하다	다하다	To exhaust; to devote fully.
出生	출생	Birth.
戰績	전적	Battle record; achievements in struggle.
今日	금일	Today.
黨首	당수	Party leader.
推戴	추대	To acclaim as leader.
發展	발전	Development; progress.
地位	지위	Position; status.
段階	단계	Stage; phase.
밟다	밟다	To tread; to step on.
産婆役	산파역	Role of a midwife.
前身	전신	Predecessor (body/organization).
中心勢力	중심세력	Central force/power.
最初	최초	The very first.
結黨	결당	Party formation.
初日	초일	The first day.
彈壓	탄압	Suppression; oppression.
卽刻	즉각	Immediately.
解散	해산	Dissolution; disbandment.
運命	운명	Fate; destiny.
再組織	재조직	Reorganization.
뒤를 잇다	뒤를 잇다	To follow; to succeed (older spelling: 니어).
發起	발기	Initiation; proposal.
卽後	즉후	Immediately after.
頃	경	Around; about (time).
開催	개최	Holding (an event); hosting.
左翼	좌익	Left wing.
團體	단체	Group; organization.
排除	배제	Exclusion.
中間派	중간파	Centrist faction.
諸團體	제단체	Various groups/organizations.
樹立	수립	Establishment.
遂行	수행	Execution; carrying out.
社會民主主義	사회민주주의	Social democracy.
時日	시일	Time; days.
趨移	추이	Trend; development; transition.
燎遠	요원	Distant prairie fire (metaphor for spreading rapidly).
意識	의식	Consciousness; awareness.
占領	점령	To occupy; to take over.
맛참내	마침내	Finally; eventually (older spelling: 맛참내).
中央委員會	중앙위원회	Central Committee.
左右兩大陣營	좌우양대진영	Two major camps of left and right.
必然的	필연적	Inevitable; necessary.
分裂	분열	Split; division.
偶然	우연	Accidental; coincidence.
主義	주의	Principle; -ism.
原因	원인	Cause.
政策	정책	Policy.
根本的	근본적	Fundamental; basic.
同時	동시	Simultaneously.
脫退	탈퇴	Withdrawal; secession.
幹部	간부	Executive; cadre.
中心	중심	Center.
亂入	난입	Chaotic entry; intrusion.
急速	급속	Rapid; fast.
템보	템포	Tempo; pace.
鬪爭的	투쟁적	Militant; combative.
戰術	전술	Tactics.
攝取	섭취	Adoption; intake.
狐城	호성	Isolated stronghold.
守하다	수하다	To defend; to protect.
모처럼	모처럼	Painstakingly; after much effort.
陣容	진용	Formation; lineup.
整齊	정제	Arrangement; orderliness.
蕀路	극로	Thorny path; difficult road.
難關	난관	Difficulty; obstacle.
넘다	넘다	To overcome; to cross over.
逢着	봉착	Encountering (difficulty).
悲運	비운	Tragic fate; misfortune.
未曾有	미증유	Unprecedented.
大檢擧	대검거	Mass arrest.
旋風	선풍	Whirlwind.
席捲	석권	Sweeping over; conquering.
散在	산재	Scattered.
分子	분자	Element; member (often with negative connotation like 'subversive element').
總檢擧	총검거	General roundup; mass arrest.
事務所	사무소	Office.
搜索	수색	Search; raid.
遭難	조난	Disaster; distress; suffering damage.
書類	서류	Documents.
沒收	몰수	Confiscation.
呼吸	호흡	Breath; breathing.
萬難	만난	All kinds of difficulties.
무릅쓰다	무릅쓰다	To brave; to defy.
準備會	준비회	Preparatory committee/meeting.
亙하다	긍하다	To span; to extend over (time).
盛大	성대	Grand; magnificent.
通하다	통하다	Through.
何如間	하여간	Anyway; somehow.
