Magazine Title: 삼천리 제16호
Publication Date: 1931-06-01
Article Title: 新興中國展望, 中國軍閥의 가는 곳 (Outlook for the New China, Where the Chinese Warlords are Headed)
Author: 金章煥 (Kim Changhwan)
Article Type: 논설 (Editorial/Opinion Piece)

Outlook for the New China, Where the Chinese Warlords are Headed
						Kim Changhwan
1
Around the time of the National Assembly starting May 1st, an anti-Chiang movement arose again. The pretexts are the detention of Hu Hanmin (胡漢民) and Jiang Jieshi's (蔣介石) monopolization of the Nationalist Government. The instigators are Chen Jitang (陳濟常 - likely Chen Jitang 陳濟棠) and Gu Yingfen (古應芬) from the Guangdong faction, same as Mr. Hu. Responding to this are Li Zongren (李宗仁) and Bai Chongxi (白崇禧) of the Guangxi faction, and Zhang Fakui (張發奎), who has left-leaning tendencies, as well as miscellaneous troops like Shi Yousan (石友三) and Sun Dianying (孫殿英), have also issued public telegrams against Chiang, clarifying their stance.

2
Through the National Assembly, the Nationalist Government was able to enact and implement the Provisional Constitution (約法), declare domestically and internationally a resolution to abolish unequal treaties, and announce a Five-Year Industrial Plan, thus renewing its image and poised to leap forward in construction projects, seemingly gaining the trust of all of China as the central government. However, due to the anti-Chiang movement, its image has been greatly damaged, and as soon as the assembly ended, Jiang Jieshi had to convene a military council and busy himself with countermeasures against the anti-Chiang forces.

3
The anti-Chiang movement is almost an annual event. However, what makes this current anti-Chiang movement different from previous ones is that one faction has withdrawn from the Nationalist Government, which was supported by the Guangdong and Zhejiang factions, to fight against the other faction, and key figures such as President of the Judicial Yuan Wang Chonghui (王寵惠), Minister of Railways Sun Ke (孫科), and Secretary-General Gu Yingfen (古應芬) have committed treason. In reality, it is nothing more than a power struggle between the Guangdong and Zhejiang factions. As the Guangdong faction, which had been overwhelmed by the Zhejiang faction, mounted its resistance, the Guangxi faction and other miscellaneous troops, all in positions of misfortune (不遇) and harboring dissatisfaction, responded and rose up. The very fact that top government cadres are withdrawing and resisting the party creates significant psychological ripples. Although they cannot be called a powerful faction in terms of military strength, their rallying cry remains the release of Mr. Hu and the defense of the Nationalist Government and the Nationalist Party, but insists on excluding only Jiang, who treats the government and party as his private possessions. This puts the central government in a difficult position, unable to force Jiang to step down. Furthermore, while they are struggling to suppress the Communist Party without achieving results, the fact that the Guangxi faction and miscellaneous troops, who are regional warlords, are responding to the Guangdong faction, has led Jiang Jieshi to ask the Control Yuan members (監察委員) to investigate the charges against him to declare his innocence, while simultaneously attempting a peaceful resolution with the Guangdong faction and preparing for military subjugation against the miscellaneous troops in the south.

4  <51>

Truly contemptible are the warlords. While there might be no independent nation without warlords, they rarely harm the state for personal gain and greed. However, the warlords of China have poisoned the nation for 20 years since the First Revolution, paying no attention to the state and only pursuing personal gain and greed. During Yuan Shikai's (袁世凱) era, due to his political skill and military strategy, the rampancy of warlords was relatively minor, but since his death in the 5th year of the Republic, there have been few peaceful days due to civil wars caused by rival warlords ruling their own territories. Representative warlords include Duan Qirui (段琪瑞) of the Anfu Clique (安福派), Zhang Xun (張勳) of the Restoration Clique (復辟派), Wu Peifu (吳佩孚) of the Zhili Clique (直隷派), Zhang Zuolin (張作霖) of the Fengtian Clique (奉天派), Sun Chuanfang (孫傳芳) of the Five Province Alliance (五省聯盟), Feng Yuxiang (馮玉祥) of the Northwest Army (西北軍), and Tang Jiyao (唐繼堯) of Yunnan. The latter two were closer to the Nationalist Party and received popular support, which made them distinctive.

5
There are two main reasons for the prevalence of warlords in China: the vastness of its territory, making it difficult for the central government's authority to reach everywhere, and the weakness of the central government's power, preventing effective control. Consequently, warlords in each province can act independently and form alliances based on their interests. Thus, the civil wars knew no end. However, if one examines the undercurrents closely, there is a definite direction: the struggle between the Nationalist Party faction, fighting for justice and humanity, and the warlord types seeking to satisfy their own ambitions. The First, Second, and Third Revolutions, the division between the Southern and Northern governments, Feng Yuxiang's Beijing regime backed by left-leaning thinkers like Li Dazhao (李大釗) and Li Shizeng (李石層), and Guo Songling's (郭松齡) rebellion serve as proof. The success of Jiang Jieshi's Northern Expedition, which started from a corner of Guangdong, can, in a sense, be observed as the greatest and final victory over the warlord types.

6
Although the Qing Dynasty became the Republic, and Yuan Shikai's regime was fairly solid, it cannot compare to the current Nationalist Party regime, especially since the latter commands the trust and respect of the majority of the people. In this context, the downfall of the greatest warlords Feng Yuxiang (馮玉祥) and Yan Xishan (閻錫山) can be seen as a natural consequence of the times. Miscellaneous troops like Shi Yousan (石友三) and Sun Dianying (孫殿英), remnant Northwest Army forces like Lu Zhonglin (鹿鍾麟) and Fu Zuoyi (簿作儀 - likely Fu Zuoyi 傅作義), remaining Shanxi faction troops, and the Guangxi faction led by Li Zongren (李宗仁) are also undergoing a rapid decline. The faction led by Zhang Xueliang (張學良) and Zhang Zuoxiang (張作相) is currently the largest warlord group, but they support the central government. Therefore, no matter how much the miscellaneous southern troops respond to the Guangdong faction to check the Nationalist Government, or even attempt to subjugate it, they will likely be unable to do much because of the Northeast Faction (東北派). Besides these, there are figures like Liu Xiang (劉湘) in Sichuan, but they lack significant power and are located in remote areas, so they are unlikely to become a major issue.

7
The Guangdong faction has rallied the Old Kuomintang Faction (舊國民黨系) figures Tang Shaoyi (唐紹儀) and Xu Chongzhi (許崇智), the Guangxi faction leader Li Zongren (李宗仁), the Left Wing (左派) leader Wang Jingwei (汪精衛), and the Wuhan Faction (武漢派) figure Chen Youren (陳友仁) based on the principle of common enmity (敵本主義 - possibly a misprint for gathering '集'), established a government, and even issued a public telegram advising Jiang to step down. If they can cooperate well without internal conflict, relying on Guangdong's financial power and steep terrain, along with the Communist forces pinning down the central army, the combined Guangdong-Guangxi forces (兩廣軍) might hold out to some extent. However, whether they can maintain their independent regime <52> indefinitely is highly questionable. As mentioned above, if the downfall of the warlords is not far off, and the lifespan of the Guangdong government is also not long, the enemy that will appear on the Nationalist Government's front lines in the future is the Communist Party, which is currently fostering latent power among the peasantry. The future of the Communist Party is indeed worthy of close attention. <60>

**Summary**

This 1931 article by Kim Changhwan analyzes the political instability in Republican China, focusing on the renewed anti-Chiang Kai-shek movement led by the Guangdong faction and supported by Guangxi and other warlords. It frames this conflict as a continuation of factional power struggles within the Kuomintang, despite the apparent consolidation of power by Jiang's Nationalist Government after the Northern Expedition and the establishment of a Provisional Constitution. The author views the older generation of warlords as declining but sees the Guangdong secession and the underlying Communist threat among the peasantry as major future challenges to Jiang's authority and Chinese unity. For historians of Korean colonial history, this article reveals a contemporary Korean perspective on the turbulent internal politics of China, a major neighboring power. The detailed analysis of Chinese factionalism and warlordism, written for a Korean audience under Japanese rule, might reflect an interest in models of state-building, internal division, and the struggles against centralized authority, potentially offering indirect commentary or comparison to Korea's own situation. The focus on China's instability and the rise of Communism would also have been significant points of observation from colonial Korea.

**Named Entities**

胡漢民	후한민	Hu Hanmin
蔣介石	장개석	Jiang Jieshi (Chiang Kai-shek)
國民政府	국민정부	Nationalist Government
廣東派	광동파	Guangdong Faction
陳濟常	진제상	Chen Jichang (Likely typo for 陳濟棠 Chen Jitang)
古應芬	고응분	Gu Yingfen
廣西派	광서파	Guangxi Faction
李宗仁	이종인	Li Zongren
白崇禧	백숭희	Bai Chongxi
張發奎	장발규	Zhang Fakui
石友三	석우삼	Shi Yousan
孫殿英	손전영	Sun Dianying
國民會議	국민회의	National Assembly / People's Convention
中國	중국	China
王寵惠	왕총혜	Wang Chonghui
孫科	손과	Sun Ke
浙江派	절강파	Zhejiang Faction
共産黨	공산당	Communist Party
監察委員	감찰위원	Control Yuan Member / Inspector
袁世凱	원세개	Yuan Shikai
民國	민국	Republic (of China)
安福派	안복파	Anfu Clique
段琪瑞	단기서	Duan Qirui
復辟派	복벽파	Restoration Clique
張勳	장훈	Zhang Xun
直隷派	직례파	Zhili Clique
吳佩孚	오패부	Wu Peifu
奉天派	봉천파	Fengtian Clique
張作霖	장작림	Zhang Zuolin
五省聯盟	오성연맹	Five Province Alliance
孫傳芳	손전방	Sun Chuanfang
西北軍	서북군	Northwest Army
馮玉祥	풍옥상	Feng Yuxiang
雲南	운남	Yunnan
唐繼堯	당계요	Tang Jiyao
國民黨	국민당	Nationalist Party (Kuomintang)
李大釗	이대釗	Li Dazhao
李石層	이석층	Li Shizeng
北京	북경	Beijing
郭松齡	곽송령	Guo Songling
廣東	광동	Guangdong
淸國	청국	Qing Dynasty
閻錫山	염석산	Yan Xishan
鹿鍾麟	녹종린	Lu Zhonglin
簿作儀	부작의	Bo Zuoyi (Likely typo for 傅作義 Fu Zuoyi)
山西派	산서파	Shanxi Faction
張學良	장학량	Zhang Xueliang
張作相	장작상	Zhang Zuoxiang
東北派	동북파	Northeast Faction
四川	사천	Sichuan
劉湘	유상	Liu Xiang
舊國民黨系	구국민당계	Old Kuomintang Faction
唐紹儀	당소의	Tang Shaoyi
許崇智	허숭지	Xu Chongzhi
左派	좌파	Left Wing
汪精衛	왕정위	Wang Jingwei
武漢派	무한파	Wuhan Faction
陳友仁	진우인	Chen Youren
兩廣軍	양광군	Guangdong-Guangxi Army (lit. Two Guangs Army)

**Glossary**

新興	신흥	Newly arising; emerging
展望	전망	Outlook; prospect
軍閥	군벌	Warlord
前後하야	전후하여	Around the time of (older spelling/form of 하여)
反蔣運動	반장운동	Anti-Chiang Movement
口實	구실	Pretext; excuse
拘禁	구금	Detention; confinement
專擅	전천	Monopolization; autocratic control
策動者	책동자	Instigator; mastermind
響應	향응	Respond; echo; answer a call
左傾的	좌경적	Left-leaning
雜軍	잡군	Miscellaneous troops; irregular forces
態度	태도	Attitude; stance
鮮明히	선명히	Clearly; distinctly
約法	약법	Provisional constitution
不平等條約	불평등조약	Unequal treaty
撤廢	철폐	Abolition; repeal
聲明	성명	Statement; declaration
實業	실업	Industry; business
面目	면목	Face; image; reputation
一新	일신	Renewal; complete change
躍進	약진	Leap forward; rapid progress
信任	신임	Trust; confidence
損傷	손상	Damage; harm
終了	종료	End; conclusion
汲汲하다	급급하다	To be busy with; absorbed in
年中行事	연중행사	Annual event
脫退	탈퇴	Withdrawal; secession
抗戰	항전	Resistance; fighting against
要人	요인	Key figure; important person
謀叛	모반	Rebellion; treason; conspiracy
勢力	세력	Power; influence
抗爭	항쟁	Struggle; conflict; resistance
壓倒되든	압도되던	(Someone/something) that was overwhelmed (older spelling/form of 되던)
對抗	대항	Opposition; resistance
不遇	불우	Misfortune; lack of opportunity; being out of favor
不滿	불만	Dissatisfaction; discontent
呼應	호응	Response; answering (a call)
蹶起	궐기	Rising up; taking action
幹部	간부	Cadre; executive; key member
擁護	옹호	Support; protection; advocacy
私하다	사하다	To privatize; treat as one's own (私物化하다)
排除	배제	Exclusion; elimination
下野	하야	Stepping down from office; resignation
立場	입장	Position; stance; standpoint
討伐	토벌	Subjugation; suppression (esp. military)
實蹟	실적	(Actual) results; achievements
罪狀	죄상	Charges; list of crimes
無罪	무죄	Innocence; not guilty
和平	화평	Peace
解決	해결	Resolution; settlement
武力	무력	Military force; arms
貴치 안흔	귀하지 않은	Not precious; contemptible (older spelling/form 귀하지 않은)
私利私慾	사리사욕	Personal gain and greed
그릇치다	그르치다	To ruin; spoil; make a mistake (older spelling)
眼中	안중	In one's eyes; consideration (often used negatively: 眼中에도 없다 - pay no attention to)
毒하여왓다	독하여 왔다	Has poisoned (older spelling/form of 독하게 해 왔다 or 독해 왔다)
手腕	수완	Skill; ability; finesse
軍略	군략	Military strategy
跋扈	발호	Rampancy; domination; arrogance
群雄割據	군웅할거	Rival warlords ruling their own territories
內亂	내란	Civil war; internal conflict
寧日	영일	Peaceful day
젹엇스니	적었으니	Was scarce; few (older spelling of 적었으니)
代表的	대표적	Representative
版圖	판도	Territory; domain
廣汎	광범	Vast; extensive; wide-ranging
威令	위령	Authority; command
닷지 안는	닿지 않는	Does not reach (older spelling/form of 닿지 않는)
徾弱	미약	Weak; feeble (archaism/variant for 微弱)
統制	통제	Control; regulation
各其	각기	Each; respectively
利益關係	이익관계	Interest relationship; relationship based on interests
建衡合縱	견형합종	Forming vertical and horizontal alliances (historical term from Warring States period, used metaphorically)
底止	저지	Stopping; halting
低流	저류	Undercurrent
詳察	상찰	Detailed examination; close observation
正義	정의	Justice
人道	인도	Humanity; humanitarian principles
野望	야망	Ambition (often with negative connotation)
充足	충족	Satisfaction; fulfillment
者流	자류	Type of person; ilk; crowd (often derogatory)
革命	혁명	Revolution
分立	분립	Separation; standing apart; division
背景	배경	Background
證함이며	증함이며	Is proof of; proves that (older grammatical form)
一隅	일우	One corner; a nook
北伐	북벌	Northern Expedition
鞏固	공고	Solid; firm; strong
多數	다수	Majority; large number
信望	신망	Trust and respect; confidence
時勢	시세	The trend of the times; current situation
當然	당연	Natural; rightful; matter of course
歸結	귀결	Conclusion; result; outcome
沒落	몰락	Downfall; ruin; collapse
過程	과정	Process; course
殘軍	잔군	Remnant troops
急激	급격	Rapid; drastic; sharp
支持	지지	Support; backing
牽制	견제	Check; restraint; diversion
此外	차외	Besides this; in addition
僻地	벽지	Remote area; secluded place
內訌	내홍	Internal conflict; internal strife
協調	협조	Cooperation; coordination
財力	재력	Financial power; wealth
峻險	준험	Steep and rugged (terrain)
據하다	거하다	To rely on; occupy; be based on
維持	유지	Maintenance; preservation
疑問視	의문시	Viewing with doubt; questioning
將次	장차	In the future; henceforth
正面	정면	Front; direct confrontation
出現	출현	Appearance; emergence
農民層	농민층	Peasantry; farmer class
潛勢力	잠세력	Latent power; hidden influence
扶植	부식	Fostering; planting; establishing
注目	주목	Attention; notice


---------------------------


잡지명	삼천리 제16호
발행일	1931년 06월 01일
