잡지명	삼천리 제13권 제7호
발행일	1941년 07월 01일
기사제목	在滿朝鮮人의 今後敎育, 在滿朝鮮人敎育問題를 爲한 視察團記 (The Future Education of Koreans in Manchuria, Report of the Inspection Team for the Issue of Korean Education in Manchuria)
필자	總督府 學務局 視學官 夏山在浩(舊名 曹在浩)
기사형태	논설 (Editorial/Argumentative Essay)

The Future Education of Koreans in Manchuria, Report of the Inspection Team for the Issue of Korean Education in Manchuria
						By Natsuyama Zaikō (Original Name: Cho Chaeho), School Inspector, Bureau of Education, Government-General

Regarding the issue of educating the 130,000 school children among our Korean compatriots in Manchuria, our inspection team of officials related to the Government-General departed Kyŏngsŏng at 3:55 PM on May 5th last, with the purpose of actually inspecting the local situation and resolving this issue with the Manchukuo side. The first group, consisting of Foreign Affairs Department Director Suwa, Academic Officer Takahashi, Compilation Officer Nakamura, and myself, traveled via the Hamgyŏng Line, inspecting various boys' and girls' schools primarily for the children of Koreans in places like T'umun, Yŏngjŏng, Yongjŏng, Mujŏnggang, Hapinp'in, and Pongch'ŏn, before arriving in Sin'gyŏng. The second group, led by Bureau of Education Director Masaki, included Academic Affairs Section Chief Kurashima and Editing Section Chief Shimada, traveled via P'yŏngyang and met us in Sin'gyŏng to hold talks with the Manchukuo side.

While inspecting Manchuria this time, I was deeply impressed by many things, from the Kwangmyŏng National Higher School and Higher Girls' School in Yongjŏng to the Sin'gyŏng Kŏn'guk University. However, due to time constraints, I will postpone sharing those impressions for a later date. Simply put, witnessing the surprising changes and developments in the ideological issues, living conditions, and various other problems concerning the Korean compatriots in Manchuria before the establishment of Manchukuo compared to after its establishment truly fills me with emotion. In particular, I cannot help but express my respect for the great contributions of Koreans to the pioneering work in the construction of the New Continent.

However, it was truly regrettable that the long-pending issues of education and family registration (就籍問題) had not yet seen resolution. After Governor-General Minami visited Manchukuo last April and met with Kantōgun Commander Umezu in Sin'gyŏng, followed by talks with the Manchukuo side on the 22nd regarding various issues concerning Koreans in Manchuria, a clear conclusion was reached based on the grand ideal of 'Chosŏn-Manchukuo Unity' (鮮滿一如): the 1.2 million<106> Korean compatriots in Manchuria who hold Japanese nationality are loyal subjects of the Empire and, at the same time, constituent members of Manchukuo, becoming the people of Manchukuo. Based on this conclusion, our inspection team headed to Manchuria this time to resolve the education issue for the 130,000 Korean children in Manchuria and the problem of the 600,000 stateless compatriots without family registers.

Now, regarding the education issue of Koreans, before the establishment of Manchukuo, there were several public elementary schools (公立普通學校) directly under the Government-General in the Kando (間島) region, where the largest number of Korean pioneer settlers had migrated. Other elementary and middle schools were entirely private schools managed by Korean hands or by mission-affiliated Christian schools. However, after the establishment of Manchukuo, when extraterritoriality was abolished in the 4th year of Kangdŏk (康德, 1937), the management of Korean educational institutions was transferred to Manchukuo. As Manchukuo thus gained supervisory authority, Koreans began receiving Manchukuo-style education. Consequently, the Korean side repeatedly petitioned both the Chosŏn and Manchukuo authorities, stating, "In light of the ideal of 'Homeland-Chosŏn Unity' (內鮮一體), we should receive the same education taught in Chosŏn, just like the students in Chosŏn, but being treated the same educationally as the Manchurians is unacceptable." Accordingly, after the transfer to the Manchukuo authorities, various derivative problems frequently arose, becoming a major 'trouble' for both Chosŏn and Manchukuo authorities. Therefore, based on the recent talks between Governor-General Minami and Commander Umezu, discussion meetings were held twice at the Japan-Manchukuo Servicemen's Hall in Sin'gyŏng on May 16th.

Attendees from the Chosŏn side included Bureau of Education Director Masaki, Foreign Affairs Department Director Suwa, Academic Affairs Section Chief Kurashima, Editing Section Chief Shimada, Academic Officer Takahashi, Compilation Officer Nakamura, myself, and Chosŏn Section Chief Mori. From the Manchukuo side were Vice Minister of People's Welfare Tsuchihashi, Education Bureau Director Kida, Compilation Officer Terada, Academic Affairs Section Chief Takeoka, and General Education Section Chief Imayoshi. From the Kantōgun side were Fourth Section Chief Kurokawa and Staff Officer Obi.

Additionally, individuals related to the Education Affairs Department in Manchuria, the Embassy, the General Affairs Agency, the General Development Bureau, and the Concordia Association (協和會) also attended. As a result of the discussions, it was agreed that Koreans in Manchuria holding Japanese nationality would be cultivated as good citizens of Manchukuo based on their essential nature as subjects of the Imperial Nation (皇國臣民). This was set as the guiding principle and fundamental policy for education. Furthermore, complete agreement was reached between the Chosŏn and Manchukuo authorities on the following eight major items, which were consequently finalized:

一, The educational policy, like that in Chosŏn and the Homeland (内地), shall focus on the training of Imperial Subjects (皇國臣民鍊成) and cultivate them as people constituting Manchukuo.
二, The curriculum shall be reorganized beyond the current state to emphasize the training of Imperial Subjects.
三, Textbooks for Korean National Schools (國民學校) shall be used.
四, Many teachers shall be dispatched from Chosŏn.
五, School associations (學校組合) shall be actively organized.
六, Educational expenses shall be actively subsidized by the Government-General.
七, Connection shall be made possible with upper-level schools within Chosŏn.<107>
八, Chosŏn-Manchukuo discussion meetings regarding educational issues shall be held regularly once every year.

Thus, these eight major items saw complete agreement between the Chosŏn and Manchukuo authorities and were finally decided upon. The Manchukuo side, acknowledging a sense of neglect towards the education of Koreans in Manchuria until now, committed to implementing active measures. Simultaneously, the Chosŏn side pledged absolute cooperation, significantly increasing the subsidy from the previous 150,000 yen to facilitate a fresh start with Imperial Subject education. In this way, the educational facilities and policies for the 130,000 school children in Manchuria will be completely reorganized, and considerable innovation in management is expected henceforth.

Next, regarding the issue of family registration for the 600,000 stateless individuals among the 1.2 million compatriots in Manchuria, as announced by Foreign Affairs Department Director Suwa, following consultations with the Manchukuo Ministry of People's Welfare, a plan has been established to budget 900,000 yen starting this year to register everyone within three years. Primarily, 300,000 yen will be spent this year for preparatory surveys. However, not only will the funds necessary for the survey be sent, but personnel will also be dispatched. To begin with, about 30 individuals will be dispatched this year to formally commence the family registration work. Although the Government-General is the main body overseeing this project, the Manchukuo side has also agreed to provide active support, so we believe it will proceed smoothly. (End)<108>

**Summary**

This 1941 article by a Chosŏn Government-General official reports on an inspection tour to Manchukuo aimed at resolving education and registration issues for the large Korean population there. Following high-level negotiations, an agreement was reached defining Koreans as both Imperial Japanese subjects and Manchukuo citizens. The education system was to be reformed to prioritize "Imperial Subject Training," utilize Korean elementary textbooks and teachers dispatched from Chosŏn, receive increased funding from the Government-General, and ensure pathways to higher education in Chosŏn. A three-year plan, funded and staffed partly by the Government-General, was also established to register the 600,000 stateless Koreans. For historians, this article clearly documents the colonial administration's strategy to integrate Koreans in Manchukuo into the Japanese Empire and the Manchukuo state structure through education policy and administrative measures like registration. It reveals the mechanisms of colonial control, the concept of dual identity imposed on Koreans, and the collaboration between Japanese entities (Government-General, Kantōgun) and the Manchukuo puppet government in managing the Korean population.

**Named Entities**

總督府 學務局	총독부 학무국	Government-General Bureau of Education
夏山在浩	나쓰야마 자이코	Natsuyama Zaikō
曹在浩	조재호	Cho Chaeho
在滿朝鮮同胞	재만조선동포	Korean compatriots in Manchuria
滿洲國	만주국	Manchukuo
總督府關係官	총독부 관계관	Government-General related officials
京城	경성	Kyŏngsŏng
諏訪	스와	Suwa ( 外事部長 - Foreign Affairs Department Director)
高橋	다카하시	Takahashi (敎學官 - Academic Officer)
宁村	나카무라	Nakamura (編修官 - Compilation Officer; likely 中村)
咸鏡線	함경선	Hamgyŏng Line
圖們	도문	T'umun
廷吉	연길	Yŏngjŏng
龍井	용정	Yongjŏng
牡丹江	목단강	Mujŏnggang
哈爾賓	하얼빈	Hapinp'in
奉天	봉천	Pongch'ŏn
新京	신경	Sin'gyŏng
眞崎	마사키	Masaki (學務局長 - Bureau of Education Director)
倉島	구라시마	Kurashima (學務課長 - Academic Affairs Section Chief)
島田	시마다	Shimada (編輯課長 - Editing Section Chief)
平壤	평양	P'yŏngyang
光明國民高等學校	광명국민고등학교	Kwangmyŏng National Higher School
同高等女學校	동고등여학교	(Kwangmyŏng) Higher Girls' School
建國大學	건국대학	Kŏn'guk University
南	미나미	Minami (總督閣下 - Governor-General)
關東軍司令官	관동군 사령관	Kantōgun Commander
梅津	우메즈	Umezu
日本	일본	Japan
朝鮮	조선	Chosŏn
間島	간도	Kando
康德	강덕	Kangdŏk (era name, 1934-1945)
日滿軍人會館	일만군인회관	Japan-Manchukuo Servicemen's Hall
森	모리	Mori (朝鮮課長 - Chosŏn Section Chief)
土肥	쓰치하시	Tsuchihashi (民生部次長 - Vice Minister of People's Welfare; less likely Doi)
木田	기다	Kida (敎高司長 - Education Bureau Director)
寺田	데라다	Terada (編審官 - Compilation Officer)
武岡	다케오카	Takeoka (學務科長 - Academic Affairs Section Chief)
今吉	이마요시	Imayoshi (普通敎育科長 - General Education Section Chief)
關東軍	관동군	Kantōgun
黑川	구로카와	Kurokawa (第四課長 - Fourth Section Chief)
小尾	오비	Obi (參謀 - Staff Officer)
在滿敎務部	재만교무부	Education Affairs Department in Manchuria
大使館	대사관	Embassy
總務廳	총무청	General Affairs Agency
開拓總局	개척총국	General Development Bureau
協和會	협화회	Concordia Association
內地	내지	Homeland (Japan proper)
國民學校	국민학교	National School (Elementary School)
民生部	민생부	Ministry of People's Welfare (Manchukuo)

**Glossary**

在滿朝鮮人	재만조선인	Koreans residing in Manchuria
今後	금후	Hereafter, Future
敎育問題	교육문제	Education issue/problem
視察團記	시찰단기	Report of an inspection team
視學官	시학관	School inspector
同胞	동포	Compatriots
學童	학동	School children
此問題	차문제	This problem (Archaic usage, 지금 이 문제)
關係官	관계관	Related official(s)
子弟	자제	Children, sons and daughters
建立	건립	Establishment
生活狀態	생활상태	Living conditions
諸問題	제문제	Various problems/issues
發展	발전	Development
開拓事業	개척사업	Pioneering work, land reclamation project
功績	공적	Achievements, contributions
多大	다대	Great, numerous
敬意	경의	Respect
多年間	다년간	For many years
懸案	현안	Pending issue
就籍問題	취적문제	Issue of family registration (entering into the family register system)
遺憾	유감	Regretful
總督閣下	총독각하	His Excellency the Governor-General
國籍	국적	Nationality
忠實	충실	Loyal, faithful
帝國臣民	제국신민	Subjects of the Empire (referring to the Japanese Empire)
構成份子	구성분자	Constituent members/elements
鮮滿一如	선만일여	Chosŏn-Manchukuo Unity (Ideological slogan)
戶籍	호적	Family register
無籍同胞	무적동포	Compatriots without family registration (stateless)
從來	종래	Conventionally, in the past
開拓民	개척민	Pioneer settlers
移住	이주	Migration
間島地方	간도지방	Kando region
直屬	직속	Directly subordinate to
公立普通學校	공립보통학교	Public Ordinary School (Colonial-era elementary school)
數處	수처	Several places
純朝鮮人	순조선인	Purely Korean
미슌계통	미션계통	Mission-affiliated (Loanword: 미션 mission)
基督敎學校	기독교학교	Christian school
經營	경영	Management, operation
私立學校	사립학교	Private school
康德	강덕	Kangde/Kangtê (Manchukuo era name, 1934-1945)
治外法權	치외법권	Extraterritoriality
撤廢	철폐	Abolition
敎育機關	교육기관	Educational institution
移管	이관	Transfer (of control/jurisdiction)
監督權	감독권	Supervisory authority
滿洲式	만주식	Manchukuo-style
內鮮一體	내선일체	'Homeland and Chosŏn are One Body' (Assimilation slogan)
理想	이상	Ideal
同一	동일	Same, identical
取扱	취급	Treatment, handling
當局	당국	The authorities
陳情	진정	Petition, appeal
派生的 問題	파생적 문제	Derivative problems
疊出	첩출	Occurring frequently one after another
트러불	트러블	Trouble (Loanword)
過般	과반	Recently, the other day
根幹	근간	Foundation, basis
懇談會	간담회	Informal discussion meeting, round-table talk
開催	개최	Holding (an event)
參席	참석	Attendance
次長	차장	Vice Minister/Director
司長	사장	Bureau Director (Abbreviation?)
編審官	편심관	Compilation Officer
科長	과장	Section Chief
參謀	참모	Staff Officer
其他	기타	Others
關係者	관계자	Related personnel
本質	본질	Essential nature, essence
基礎	기초	Foundation, basis
善良	선량	Good, virtuous
敎養	교양	Cultivation, culture, refinement
綱領	강령	Guiding principle, creed
根本方針	근본방침	Fundamental policy
鍊成	연성	Training, forging, tempering
主眼	주안	Main focus, primary objective
敎科課程	교과과정	Curriculum
改編	개편	Reorganization
敎科書	교과서	Textbook
國民學校	국민학교	National School (Colonial-era term for elementary school)
敎員	교원	Teacher
派遣	파견	Dispatch, sending
學校組合	학교조합	School association/union
積極的	적극적	Active(ly), positive(ly)
組織	조직	Organization
敎育經費	교육경비	Educational expenses
補助	보조	Subsidy, aid
上級學校	상급학교	Upper-level school
連絡	연락	Connection, liaison
定期的	정기적	Regular(ly)
八大項目	팔대항목	Eight major items
意見	의견	Opinion
一致	일치	Agreement, consensus
快定	쾌정	Decide promptly/readily (Likely 快定, meaning 'swift decision' or possibly typo for 決定)
放任	방임	Neglect, non-interference
感	감	Feeling, sense
施設	시설	Facilities, measures, installations
同時	동시	Simultaneously
絶大	절대	Absolute, utmost
協力	협력	Cooperation
従来	종래	Hitherto, conventionally (Same as 從來)
圓	엔/원	Yen/Won (Currency unit)
補助金	보조금	Subsidy payment
革新	혁신	Innovation, reform
就籍	취적	Family registration
發表	발표	Announcement
協議	협의	Consultation, discussion
豫算	예산	Budget
個年間	개년간	Span of years (3개년간 = over three years)
全部	전부	Entirely, all
方針	방침	Policy, plan, course of action
于先	우선	First of all, primarily (Older form of 우선)
費用	비용	Cost, expense
人員	인원	Personnel
派遺	파견	Dispatch (same as 派遣, likely older/alternate Hanja usage)
正式	정식	Formal(ly)
事務	사무	Affairs, work, duties
着手	착수	Commencement, start
主管者	주관자	Person in charge, overseeing body
後援	후원	Support, backing
圓滿	원만	Smooth(ly), satisfactory
