Magazine Title: 삼천리 제14호
Publication Date: 1931년 04월 01일
Article Title: 紙上映畵 (Movies on Paper)
Article Type: 문예기타 (Literary Miscellany)

Movies on Paper

William Tell (1)
Synopsis (Original by Schiller of Germany)

At a time when the populace of the entire land was gradually opening its eyes due to the tyranny and misrule in the three cantons of Switzerland, William Tell, a mountain goat hunter, rescued a shepherd named Samdol (三乭), whose life was in critical danger as he was being pursued by officials for killing the magistrate who tried to violate his wife, by taking a boat out onto the stormy sea. William Tell took Samdol to the house of his friend, Ulman (乙男), and hid him there. As for Ulman, his household goods had also been confiscated due to the magistrate, and encouraged by his wife, Ulman welcomed these two brave men. At this time, in the plaza before them, many people, old and young, men and women, were weeping under the harsh whips of the officials due to the construction of a prison.

Ulman and Samdol visited the house of Tell's father-in-law, Kim Yŏngjun (金永俊), where they discussed various aspects of the recent tyranny and pledged to lay down their lives for the justice and freedom of all Switzerland. Three nights after that, as a result of the busy efforts of these four men, representatives from the three Swiss cantons gathered on the field of Ori Pavilion (五里亭) and resolved to take up swords against the misrule and oppression. After the alliance was formed, William Tell intentionally arrived late at the scene. Because Tell was a man of action without words, his wife, worried about her husband Tell's safety in the inexplicably anxious atmosphere of the times, tried to prevent Tell from going out. However, Tell, acting as if completely unconcerned, went outside carrying his bow as usual, taking his son with him. In the main square of Ori Pavilion, the magistrate had stuck his hat on the end of a pole and ordered the populace to bow to the pole, in order to test the submission of the subjects. As Tell and his son tried to pass calmly before it, soldiers seized Tell and reported him to the patrolling magistrate. The magistrate ordered Tell to stand one hundred paces away, place an apple on his beloved son's head, and shoot it off. However, it was discovered that the second of the two arrows tucked in his belt was intended for the magistrate's chest <64>, and Tell was arrested on the spot.

It happened in the escort boat. As the lake grew very rough, the magistrate loosened the ropes binding Tell's body and ordered him to manage the sail, but Tell refused and immediately jumped into the water, saving his life. Tell killed the magistrate by the roadside. Then, beacon fires rose from mountain to mountain, bells rang everywhere, the prison was broken down, and the people regained the justice, freedom, and peace of old Switzerland. Tell, surrounded by many people, shouts loudly:
"I had believed that the strong man is strongest when he is alone, but I have learned that when the strong unite, they become even stronger." <60>

Joan of Arc (2)
Synopsis

Around 1428 in France, during the Hundred Years' War, having suffered continuous defeats against England, only the single castle of Orléans barely remained. National opinion seethed like boiling water, but it was just noise, as morale could not be roused at all. "Will France completely perish within this year or next, and will we become English subjects?" everyone merely sighed, and France's future was shrouded in gloomy black clouds.
At this time, as happens everywhere when a nation is about to fall, a prophet appeared and said, "The one who will save this France is a maiden dressed in soldier's clothes." Just then, in a village called Domrémy, there was a young girl named Joan of Arc. Having evacuated to a neighboring village because of the war, she heard the voice of an angel that night, who affirmed that God commanded her to save the country. Thus, she went forth to see King Charles VII.

In April 1429, a wondrous army detachment suddenly appeared and crushed the English army, which was surrounded tenfold and twentyfold. The commander was Joan of Arc. Joan of Arc wore iron armor, carried a military banner depicting the Holy Mother, and stood at the front line leading 3,000 soldiers under her command. "It's the virgin in soldier's clothes!" "It's the angel who appeared in the prophecy!" All the people of the country were greatly moved, morale soared, and they defeated and repulsed the English army. Now, the French army achieved a great victory.

Thus, Joan of Arc reached Reims, designated since ancient times as the sacred place for the King's coronation, guided the King, and after performing the grand ceremony, intended to immediately advance the army to Paris. However, because the King was cowardly and lost that opportunity, the tide of the war was reversed. Joan of Arc was captured by the English army and finally, in May 1431, met her end by being burned at the stake in the Rouen Market. <65>
<64-65, 60>

**Summary**

The article provides plot summaries for two European historical/legendary narratives presented as "Movies on Paper": Schiller's "William Tell," focusing on Tell's resistance against tyrannical Austrian rule in Switzerland culminating in liberation, and the story of Joan of Arc, detailing her rise as a national savior leading France against English invaders during the Hundred Years' War, her subsequent capture, and martyrdom. From a colonial Korean history perspective, the choice of these specific stories in 1931 is noteworthy. Both narratives highlight themes of resistance against foreign oppression (Tell vs. Austrian magistrate, Joan vs. English invaders) and national unity/liberation achieved through heroic struggle, potentially serving as veiled allegories or sources of inspiration for Koreans living under Japanese rule, subtly promoting national consciousness and the ideal of freedom despite censorship.

**Named Entities**

윌니암,텔	윌리암 텔	William Tell
獨逸씰렐	독일 실러	Schiller (Germany)
瑞西	서서	Switzerland
三乭	삼돌	Samdol
乙男	을남	Ulman
金永俊	김영준	Kim Yŏngjun
오투레안 城	오를레앙 성	Orléans Castle
佛蘭西	불란서	France
英國	영국	England/Britain
英吉利	영길리	England/Britain
돔루미-	돔레미	Domrémy
짠 딱-크	잔 다르크	Joan of Arc
샤룰 7世	샤를 7세	Charles VII
란스府	랭스 부	Reims
巴里	파리	Paris
루안市場	루앙 시장	Rouen Market

**Glossary**

梗槪	경개	Outline, synopsis
暴政惡政	폭정악정	Tyranny and misrule
漸次	점차	Gradually
辱보이려고	욕보이려고	To try to insult/humiliate
代官	대관	Magistrate, bailiff, local governor appointed by central power
쫏기어서	쫓기어서	Being chased (older spelling of 쫓기어서)
危急	위급	Critical danger, emergency
羊치기	양치기	Shepherd (older spelling)
사나히	사나이	Man (older spelling/form)
救助하여준	구조하여준	Rescued (older verb ending)
親舊	친구	Friend (Hanja form)
세간	세간	Household goods
沒收당한	몰수당한	Confiscated
激勵되어	격려되어	Encouraged
勇敢한	용감한	Brave
마저 드리엇다	맞아들였다	Welcomed in, received (older spelling/form)
廣場	광장	Plaza, public square
監獄建築	감옥건축	Prison construction
老少男女	노소남녀	Old and young, men and women
苛酷한	가혹한	Harsh, severe
채죽	채찍	Whip (likely older form/spelling of 채찍)
잇섯다	있었다	Was/were (older spelling)
가시아버이	가시아버지	Father-in-law (older spelling/term)
차저와서	찾아와서	Came looking for, visited (older spelling)
이약이하고	이야기하고	Talked, discussed (older spelling)
正義	정의	Justice
自由	자유	Freedom
身命	신명	Life (often in the context of risking it)
盟誓한다	맹세한다	Pledge, swear an oath
奔走히	분주히	Busily
애쓴	애쓴	Strived, made effort (older spelling retained)
結果	결과	Result
代表者	대표자	Representative
모히여	모여	Gathered (older spelling)
壓制	압제	Oppression
決議한다	결의한다	Resolve, decide
決盟	결맹	Pledge, alliance
일부러	일부러	Intentionally, on purpose
느저서	늦어서	Being late (older spelling)
現場	현장	Scene, site, location
不言實行	불언실행	Action without words, practice what one preaches
不安한	불안한	Uneasy, anxious
空氣	공기	Air, atmosphere
身邊	신변	One's safety or personal affairs
근심하여	근심하여	Worried (standard form, but common in older texts)
안해	아내	Wife (older spelling/form)
外出	외출	Going out
막엇스나	막았으나	Tried to stop, but (older spelling)
조곰도	조금도	Not even a little (older spelling)
상관업다는드시	상관없다는 듯이	As if unconcerned (older spelling/phrasing)
여너 때와 가티	여느 때와 같이	As usual (older spelling)
활	활	Bow (archery)
메고	메고	Carrying (on the shoulder/back)
제아들	제 아들	His/one's own son (older spelling)
다리고	데리고	Taking (someone) along (older spelling)
밧그로	밖으로	Outside (older spelling)
나갓다	나갔다	Went out (older spelling)
장대기	장대	Pole (older spelling/form of 장대)
끗헤	끝에	At the end (older spelling)
帽子	모자	Hat (Hanja form)
꼿고	꽂고	Stuck in, placed upright (older spelling)
民衆	민중	The populace, the masses, the people
敬禮하라고	경례하라고	To salute, bow in respect (command form)
領民	영민	Subjects, people of a territory/domain
歸順	귀순	Submission, allegiance
試驗하기	시험하기	To test
泰然히	태연히	Calmly, composedly
지나가려하니까	지나가려 하니까	As (they) tried to pass by
兵丁	병정	Soldier (somewhat archaic term)
붓잡어	붙잡아	Caught, seized (older spelling)
巡回	순회	Patrol, rounds
告發하엿다	고발하였다	Reported, accused (older spelling)
百步	백보	One hundred steps
愛兒	애아	Beloved child
頭上	두상	On top of the head
林檎	임금	Apple (archaic Hanja word, now 사과)
마처 떨구라고	맞혀 떨구라고	To hit and make fall (older spelling/phrasing)
하엿스나	하였으나	Did, but / Ordered, but (older spelling)
허리	허리	Waist
화살	화살	Arrow
쏠 것이	쏠 것이	That it would shoot
發覺되어	발각되어	Was discovered, found out
捕縛	포박	Arrest, binding
護送하는	호송하는	Escorting (a prisoner)
湖水	호수	Lake
거침으로	거칠므로	Because it was rough (older conjugation)
몸에 둘닌	몸에 둘린	Wrapped around the body (older spelling)
노끈	노끈	Rope, cord, string
느추고	늦추고	Loosened (older spelling)
