잡지명	삼천리 제14호
발행일	1931년 04월 01일
기사제목	失意의 人 胡漢民 會見記 (An Account of Meeting Hu Hanmin, a Man in Disappointment)
필자	朱耀翰
기사형태	소식 (News/Report)

失意의 人 胡漢民 會見記
						朱耀翰

Mr. Hu Hanmin (胡漢民), at first glance, gave the impression of being nervous and having a frail constitution (蒲柳의 質). His appearance suggested a clear mind (明晢한 頭腦) rather than a grand capacity for embrace (雄大한 抱擁力), and a philosopher's integrity (思想家的 節操) rather than political maneuvering.

That was already three years ago, on an autumn evening in October 1928. At the Central Party Headquarters (中央黨部) in Tingchiach'iao (丁家橋), Nanjing (南京), in the rest area of the Central Committee room (中央委員會室), this reporter met with the then-President of the Legislative Yuan (立法院長) and member of the Kuomintang Central Standing Executive Committee (國民黨中央常務執行委員).

About ten days before that, I had the opportunity to observe Mr. Hu's speech in the grand conference hall of the same Central Party Headquarters. I recall it was during the Sun Yat-sen (孫文) memorial ceremony held every Monday morning. The roughly 300 young men and women present in the grand conference hall were all staff working at the Central Party Headquarters. Guided by Mr. Ŏm (嚴君), the Nanjing special correspondent for the Min'guk Ilbo (民國日報), I passed through a corridor lined with chrysanthemum pots and entered the conference hall, just as a lean scholar dressed in Chinese attire was giving a speech. Without needing to ask, I could tell it was Mr. Hu Hanmin, familiar from photographs. Wearing strong nearsighted glasses and holding several sheets of printed material rolled up in his hand, he occasionally tapped the table with them while unfolding his arguments earnestly, albeit in a low voice. His accent, being low-pitched and lacking volume, was further mixed with a strong Cantonese accent (廣東音), making it difficult to understand clearly. The audience, however, seemed to listen very intently, without even a single cough.

"To overthrow the local tyrants and evil gentry (土豪劣紳), we must first reform the economic structure they are based on. To eliminate the comprador class (買辨階級), we must first destroy the imperialism (帝國主義) that forms their background."

This was the gist of his speech. He was theoretically refuting the excessively radical resolution of the Jiangsu Provincial Party Branch (江蘇省黨部). Occasionally unfolding the Jiangsu Provincial Party Branch resolution he held in his hand, sometimes quoting from it, he refuted it down to the minutest detail. He seemed to find his greatest satisfaction in the world of theory. That he ultimately stuck to theory, even to the point of incurring the wrath of Generalissimo Chiang (蔣總司令), must be said to be his true nature. <46>

After that, I tried to meet Mr. Hu, sending letters and presenting letters of introduction, but couldn't get the chance. Then, on this day, knowing it was his designated day for receiving visitors, I went hoping for a chance and sent in my name card, only to receive the reply that he had gone out.

Greatly disappointed, but having no other choice, I decided to meet one of the scheduled individuals, Secretary Chin (陳君) of the Overseas Department (海外部). Mr. Chin kindly answered my questions and finally even gave me a tour of the Party Headquarters. The tour didn't reveal much beyond rooms labeled "Organization Department" (組織部), "Propaganda Department" (宣傳部), "Planning Committee" (設計委員), etc., and the tables and chairs inside. However, the Central Committee Meeting Room (中央委員會議室), located a little distance away, did attract interest.

As is customary, on the front wall above the lectern hung a portrait and the last testament of Sun Yat-sen (中山). The committee members' seats consisted of Chinese-style chairs and tables arranged for two people to sit side-by-side, with an ink brush and inkstone placed on each desk.

There were several rooms attached to the meeting hall where portraits of the Central Executive Committee members (中央執行委員) and Control Yuan members (監察委員) were hung.

Mr. Chin suddenly said,
"It seems Mr. Hu Hanmin has returned. Would you like to see him?"
"Yes! Please arrange for me to see him."

This was truly unexpected good news. Thinking I might get an unexpected gain, I eagerly attached myself to him.

Mr. Chin went in and came back out, telling me to wait for 30 minutes.

Thus, I unexpectedly got to meet Mr. Hu, whom I had given up on seeing. I think that if one becomes a newspaper reporter, giving up on anything should be forbidden. Of course, this applies not just to newspaper reporters—.

At this time, I remember Hu Hanmin was already over 50, but without a beard and with black hair, he looked no older than his 30s.

"What is the reason for the success of the Chinese Revolution?"
I asked.

"It is the awakening of the nation (民族). The revolution failed during the Xinhai (辛亥) period because there was no national awakening."
His voice, being southern, was clear, and his phrases were distinctly articulated. He recounted the history of the Chinese people's struggle since the Paris Peace Conference (巴里講和會), passionately explaining that revolution requires the awakening of the masses (民衆). When asked one thing, he would answer with ten or a hundred points. The character of a theorist was vividly apparent.

"Does China have any intention of waging war with foreign countries in the near future?"
I tried asking what I thought was a sharp question.

"I am neither a military specialist nor a foreign affairs specialist, so I cannot know."
Politicians must know how to tell lies. Even an honest gentleman like Mr. Hu could not help but lie when facing a newspaper reporter.

"Please tell me your thoughts on the Korean Question (朝鮮問題)."

"There's no use in just stating thoughts. We must seek a method (辨法), but right now, there is no method."
It was an increasingly evasive tactic. Is being a politician this difficult? I would rather meet the Mr. Hu Hanmin who was living as a rōnin in Shanghai (上海).

We talked for about 30 minutes [Translator Note: original text says 3분 or 3 minutes, but the previous narrative suggests a longer wait and discussion. 30 minutes seems more likely contextually, but the text literally says 3]. Not being able to stay too long, I requested his calligraphy.

不易斯志 (Do not change this resolve/will)

These two characters, written in fine-lined Seal Script (篆書體), seemed to perfectly match <47> his appearance.

I captured his profile in my camera as he sat writing the calligraphy and took my leave.
Shaking his hand felt like holding a woman's hand. However, the starlike glint in his eyes behind the nearsighted glasses and his broad, receding forehead seemed to reveal his rigid integrity (剛直性).

The upright polemicist, Mr. Hu Hanmin, is like a tall tree (喬木). Tall trees are easily felled by strong winds.
Hu Hanmin, reciting poetry in his sickbed filled with indignation. I cannot help but think now that this is even closer to Mr. Hu's true face. <46-47, 36>

**Summary**

This 1931 article by Korean intellectual Chu Yohan recounts his meeting with prominent Kuomintang leader Hu Hanmin in Nanjing in October 1928. Chu describes Hu as an intellectual theorist, nervous yet principled, contrasting his theoretical focus during a speech and their later interview with the practicalities of politics. Despite Hu's evasiveness on sensitive topics like potential war and the Korean question, Chu obtained his calligraphy and a lasting impression of his character. The article frames the 1928 encounter through the lens of Hu's political "disappointment" (失意) in 1931, likely referring to his house arrest by Chiang Kai-shek, suggesting his rigid adherence to principle led to his downfall, like a tall tree broken by the wind. From a Korean colonial history perspective, the article is interesting as it shows a prominent Korean intellectual engaging directly with top Chinese leadership during a crucial period. Chu's direct question about the "Korean Question" and Hu's non-committal response reflect the difficult position of Korean activists seeking support abroad and the complex geopolitical realities faced by China itself.

**Named Entities**

胡漢民	호한민	Ho Hanmin
朱耀翰	주요한	Chu Yohan
南京	남경	Nanjing
丁家橋	정가교	Tingchiach'iao
中央黨部	중앙당부	Chungang Tangbu (Central Party Headquarters)
中央委員會	중앙위원회	Chungang Wiwŏnhoe (Central Committee)
立法院長	입법원장	Ipŏpwŏnjang (President of the Legislative Yuan)
國民黨	국민당	Kungmin Tang (Kuomintang)
中央常務執行委員	중앙상무집행위원	Chungang Sangmu Chiphaeng Wiwŏn (Central Standing Executive Committee Member)
孫文	손문	Son Mun (Sun Yat-sen)
民國日報	민국일보	Min'guk Ilbo
嚴君	엄군	Ŏm Kun
江蘇省黨部	강소성당부	Kangsosŏng Tangbu (Jiangsu Provincial Party Branch)
蔣總司令	장총사령	Chang Ch'ongsayŏng (Generalissimo Chiang Kai-shek)
海外部	해외부	Haeoebu (Overseas Department)
陳君	진군	Chin Kun
組織部	조직부	Chojikpu (Organization Department)
宣傳部	선전부	Sŏnjŏnpu (Propaganda Department)
設計委員	설계위원	Sŏlgye Wiwŏn (Planning Committee)
中央委員會議室	중앙위원회의실	Chungang Wiwŏnhoeŭisil (Central Committee Meeting Room)
中山	중산	Chungsan (Sun Yat-sen)
中央執行委員	중앙집행위원	Chungang Chiphaeng Wiwŏn (Central Executive Committee Member)
監察委員	감찰위원	Kamch'al Wiwŏn (Control Yuan Member)
巴里	파리	P'ari (Paris)
朝鮮	조선	Chosŏn (Korea)
上海	상해	Sanghae (Shanghai)

**Glossary**

失意	실의	Disappointment, despondency
會見記	회견기	Account of a meeting/interview
蒲柳의 質	포류의 질	Frail constitution (lit. constitution of willow and reed)
印象	인상	Impression
雄大	웅대	Grand, magnificent
抱擁力	포용력	Capacity to embrace, magnanimity
明晢	명석	Clear, lucid (older spelling of 명철)
頭腦	두뇌	Brain, mind
政治家	정치가	Politician
思想家	사상가	Thinker, philosopher
節操	절조	Integrity, principle, fidelity
當時	당시	At that time
立法院長	입법원장	President of the Legislative Yuan
中央常務執行委員	중앙상무집행위원	Member of the Central Standing Executive Committee
旬日	순일	A period of ten days
傍聽	방청	To attend, listen in (as an observer)
記憶	기억	Memory
職員	직원	Staff member, employee
指導	지도	Guidance
菊花盆	국화분	Chrysanthemum pot
羅列	나열	To line up, arrange in a row
복도	복도	Corridor, hallway
드러서니까	들어서니까	Upon entering (older spelling)
막츰	마침	Just then, exactly at that moment (older spelling)
服色	복색	Attire, clothing color/style
여윈	여윈	Thin, lean
선비	선비	Scholar (classical)
演說	연설	Speech, address
뭇지도	묻지도	Without asking (older spelling)
寫眞	사진	Photograph
親한	친한	Familiar
强度近視	강도근시	Severe myopia/nearsightedness
眼鏡	안경	Eyeglasses
數張	수장	Several sheets (of paper)
印刷物	인쇄물	Printed material
말아쥐고	말아쥐고	Holding rolled up
때때로	때때로	Sometimes, occasionally
테불	테이블	Table (loanword, older spelling)
두드리면서	두드리면서	While tapping/knocking
低聲	저성	Low voice
熱心	열심	Enthusiasm, earnestness
理論	이론	Theory
展開	전개	Development, unfolding
口音	구음	Accent, pronunciation
高聲	고성	Loud voice
音量	음량	Volume (of sound)
석이어	섞이어	Being mixed (older spelling)
알아듯기가	알아듣기가	To understand (by hearing) (older spelling)
어려웟다	어려웠다	Was difficult (older spelling)
聽衆	청중	Audience
기침	기침	Cough
업시	없이	Without (older spelling)
듯는	듣는	Listening (older spelling)
모양	모양	Appearance, manner
土豪劣紳	토호열신	Local tyrants and evil gentry
打倒	타도	To overthrow, strike down
먼저	먼저	First
根據	근거	Basis, foundation
經濟組織	경제조직	Economic structure
改革	개혁	Reform
안흐면 안된다	않으면 안된다	Must do, have to do (older grammar form)
買辨階級	매판계급	Comprador class
撲殺	박살	To crush, annihilate
背景	배경	Background
帝國主義	제국주의	Imperialism
깨트려야	깨뜨려야	Must break/destroy
急進的	급진적	Radical
決議書	결의서	Resolution (document)
反駁	반박	Refutation, rebuttal
펄처보면서	펼쳐보면서	While unfolding/spreading out (older spelling)
引用	인용	Quotation, citation
細微	세미	Minute, detailed
論駁	논박	To refute, argue against
滿足	만족	Satisfaction
發見	발견	Discovery
마츰내	마침내	Finally, eventually (older spelling)
固執	고집	Stubbornness, persistence
憤激	분격	Indignation, resentment
사기까지	사기까지	To the point of incurring/buying
原來	원래	Originally, fundamentally
眞面目	진면목	True character/nature
밧게 업다	밖에 없다	Nothing but, only (older spelling)
띄우고	띄우고	To send (a letter)
紹介狀	소개장	Letter of introduction
드려 보냇스나	드려 보냈으나	Sent in (honorific) but... (older spelling)
機會	기회	Opportunity, chance
엇지모햇섯다	얻지 못했었다	Had been unable to obtain (older spelling)
面會日	면회일	Visiting day, day for receiving visitors
행여나	행여나	By any chance, perchance
차저와서	찾아와서	Having come looking for (older spelling)
名函	명함	Name card, business card
出入	출입	Going out or coming in
回答	회답	Reply, answer
落望千萬	낙망천만	Greatly disappointed
不得已	부득이	Unavoidable, inevitable
豫定	예정	Schedule, plan
幹事	간사	Secretary, manager
親切	친절	Kindness
무름	물음	Question
아르켜주고	알려주고	Telling, informing (older spelling)
마즈막에는	마지막에는	Finally, in the end (older spelling)
구경	구경	Sightseeing, tour
門牌	문패	Doorplate, nameplate
부친	붙인	Attached
房	방	Room
內部	내부	Interior
밝게	밖에	Other than, besides (older spelling)
업섯고	없었고	There was not (older spelling)
떠러저잇는	떨어져있는	Located apart/distant (older spelling)
興味	흥미	Interest
例	예	Custom, rule, example
依	의	According to
講臺	강대	Lectern, platform
正面	정면	Front
遺像	유상	Portrait of the deceased
遺囑	유촉	Last will/testament
委員	위원	Committee member
席	석	Seat
中國式	중국식	Chinese style
椅子	의자	Chair
卓子	탁자	Table
並座	병좌	Sitting side-by-side
床	상	Desk, table
毛筆	모필	Ink brush
墨硯	묵연	Inkstone
노여잇엇다	놓여있었다	Was placed (older spelling)
달닌	딸린	Attached (to) (older spelling)
수개	수개	Several
초상	초상	Portrait
걸려잇엇다	걸려있었다	Were hanging (older spelling)
突然	돌연	Suddenly
도라온	돌아온	Returned (older spelling)
밧삭	바싹	Eagerly, closely
