잡지명	삼천리 제8권 제8호
발행일	1936년 08월 01일
기사제목	京城 各 女學校 校服評, 實用과 美觀을 主로 (Review of School Uniforms at Various Girls' Schools in Keijō, Focusing on Practicality and Aesthetics)
필자	李淑鍾
기사형태	논설 (Editorial/Essay)

京城 各 女學校 校服評, 實用과 美觀을 主로
						李淑鍾

Whenever I had the chance, I wanted to review the uniforms of various girls' schools, either verbally or in writing. Now, having received a request to write a manuscript about school uniforms, I will write briefly, but I regret not being able to write more elaborately due to lack of time.

To put it simply, the fact that various girls' schools in the city now adopt Western clothing or styles similar to Western clothing for their uniforms is good from a practical standpoint. However, from an aesthetic perspective, it seems much better to wear traditional Chosŏn clothing like the school uniforms of the past. If the style and color of the old school uniforms were slightly modified, perhaps the flavor of this land would flow through them, and the beautiful figures of the young women would shine even brighter. I will now briefly discuss each school below.

Kŭnhwa Girls' Vocational School (槿花女子實業學校)
＜178＞

Watching the hems of the skirts of Kŭnhwa Girls' School students flutter in the wind as they come and go at the wide Anguk-tong intersection, one could realize how elegantly suited the uniforms were to these angelic figures. Both the winter and summer uniforms were practical in their style and color, and also gave a light, cheerful impression aesthetically. In particular, the winter upper garment (저구리) adopted the color of the leaves and branches (枝葉色) of the Rose of Sharon flower; its beauty (美哉함) and brightness were unsurpassed.

Tongdŏk Girls' Higher Common School (同德女子高等普通學校)

The characteristic feature is that the entire uniform is jet black. At first glance, it might seem too simple and thus less appealing, but upon deeper reflection, rather than mixing gaudy, variegated colors to give people a flashy and complicated impression, it is better to be simple and modest even from an aesthetic point of view. And the shade of black, which doesn't appear too dark, is very practical. However, regarding the upper garment (상의), it would seem better if the length (長) were made short (短), similar to the length of the *gori* (고리 - chest ribbon/tie).

Sungmyŏng Girls' Higher Common School (淑明女子高等普通學校)

Whenever I encounter students from this school, I am reminded of the purple uniforms from 15 years ago that for a while drew particular attention on the streets of Changan (Keijō). The sailor uniforms (쎄라복) they wear now project a bright and innocent figure, but it seemed they would have been even more cheerful if the skirts (쓰카트) were made a bit shorter. This might hurt the feelings of the school authorities, but I earnestly hope for the day when the old purple uniforms return. And one more thing to add: seeing the students of this school wearing hats now, it looks fine on the younger ones, but on the older ones, it gives a somewhat unbecoming (승거운) impression. While it might be beneficial for hygiene in times like summer, aesthetically it is absolutely "zero."

Keijō Girls' Higher Common School (京城女子高等普通學校)
＜179＞

This school's uniform gives a calm impression overall. It is infinitely good both practically and aesthetically. The *chŏgori* (저고리) having a yellowish background with vertical stripes is very good. However, one regrettable point is that if the sweater (스에타) had been just a little more stylish (스마-트한), this uniform would likely have stood out more distinctively than any other school's.

Girls' Commercial School (女子商業學校)

As the saying goes, "a single red dot in a mass of green" (만록총중일점홍 - 萬綠叢中一點紅), this school is "a single blue dot" (일점청 - 一點靑). Among the various secondary girls' schools in the city, there is no uniform that attracts the public gaze like this school's. It gives a fresh impression in every way. In terms of style too, there is nothing much to criticize. However, the overly short length of the upper garment (*ut chŏgori* - 웃 저구리) creates a somewhat unnatural feeling.
From a practical standpoint, it is also impeccable.

Ihwa Girls' Higher Common School (梨花女子高等普通學校)

The characteristic of this school's uniform is that it is not Western attire (양장). As it is Chosŏn attire (朝鮮옷), it has a Chosŏn flavor (朝鮮맛). And regarding color, they chose a less-dark shade, which I think would be practical, but since it requires frequent washing, and frequent washing leads to easy wear and tear, it is not economical. To state it plainly and directly, aesthetically it is flawless, but I wonder about its practicality.

Chŏngsin Girls' School (貞信女學校)

Aesthetically, the purple color on top is bright, and its combination with the skirt (초마) is good. Practically, it also seems acceptable (무관할 듯 하다). However, I think it might be possible to discard the previous style and color entirely and adopt better colors and a sturdier fabric than before.

Paehwa Girls' Higher Common School (培花女子高等普通學校)

This school's uniform has no particularly outstanding points, but at the same time, there's nothing particularly blameworthy. Simply put, both the color and the fabric are plain (수수하다). Looking at the students of this school, they just appear somewhat demure, but the lack of cheerfulness seems greatly related to the uniform. As an outsider (권외자), throwing out such words might seem inappropriate, but I wonder how it would be to completely change the style and color in the future.

Chinmyŏng Girls' Higher Common School (進明女子高等普通學校)

The pure white *chŏgori* (저구리) and the jet-black skirt hem (초마자락) adorned with two white stripes (힌줄) appear the most bright and cheerful among the uniforms featuring Chosŏn attire (朝鮮옷). In terms of style, wearing the skirt (초마) rather long creates a demure and innocent feeling. It seems there might have been some students at this school who wore Western clothes (양복); perhaps the Western clothes option would have been better than the Chosŏn clothes option.＜180＞
＜178-180＞

**Summary**

The author, Yi Suk-chong, reviews the uniforms of nine girls' schools in Keijō (colonial Seoul) in 1936, evaluating them based on practicality and aesthetics. She generally finds Western-style or modified uniforms more practical but expresses nostalgia for the beauty of traditional Korean clothing (Chosŏnot), suggesting modifications could retain Korean aesthetics. She offers specific critiques for each school, discussing colors (like Kŭnhwa's "leaf color," Tongdŏk's black, Chŏngsin's purple, Chinmyŏng's white/black), styles (sailor suits, skirt lengths, stripes), fabrics, and accessories (like Sungmyŏng's hats). The article provides a valuable snapshot for historians, reflecting the tensions between tradition (Chosŏnot) and modernity/Westernization (Yangbok) in colonial Korean society, particularly concerning female education and appearance. The detailed descriptions of specific school uniforms offer concrete insights into fashion, social norms, and institutional identity during that period.

**Named Entities**

李淑鍾	이숙종	Yi Suk-chong
京城	경성	Keijō
槿花女子實業學校	근화여자실업학교	Kŭnhwa Yŏja Sirŏp Hakkyo
안국동	안국동	Anguk-tong
同德女子高等普通學校	동덕여자고등보통학교	Tongdŏk Yŏja Kodŭng Pot'ong Hakkyo
淑明女子高等普通學校	숙명여자고등보통학교	Sungmyŏng Yŏja Kodŭng Pot'ong Hakkyo
長安	장안	Changan (referring to Keijō)
京城女子高等普通學校	경성여자고등보통학교	Kyŏngsŏng Yŏja Kodŭng Pot'ong Hakkyo
女子商業學校	여자상업학교	Yŏja Sangŏp Hakkyo
梨花女子高等普通學校	이화여자고등보통학교	Ihwa Yŏja Kodŭng Pot'ong Hakkyo
朝鮮	조선	Chosŏn
貞信女學校	정신여학교	Chŏngsin Yŏhakkyo
培花女子高等普通學校	배화여자고등보통학교	Paehwa Yŏja Kodŭng Pot'ong Hakkyo
進明女子高等普通學校	진명여자고등보통학교	Chinmyŏng Yŏja Kodŭng Pot'ong Hakkyo

**Glossary**

긔회	기회	Opportunity, chance (older spelling)
잇스면	있으면	If there is/are (older spelling)
것올	것을	Thing (object marker, older spelling)
붓탁	부탁	Request (older spelling)
업서서	없어서	Because there isn't/aren't (older spelling)
자서하게	자세하게	In detail, elaborately (older spelling/form)
한마듸	한마디	One word, briefly (older spelling)
양복	양복	Western-style clothing
체재	체제	System, style, format
朝鮮옷	조선옷	Traditional Korean clothing (Hanbok)
훨신	훨씬	Much more (older spelling)
갓다	같다	To be like, seem (older spelling)
조곰만	조금만	Just a little (older spelling)
변하엿스면	변하였으면	If it were changed/modified (older spelling)
안흘가	않을까	Wouldn't it? (older spelling)
이약이하여	이야기하여	To talk about, discuss (older spelling)
스카트	스커트	Skirt (loanword, older spelling)
갓흔	같은	Like, such as (older spelling)
그들의게	그들에게	To them (older spelling)
점잔케	점잖게	Demurely, elegantly (older spelling)
아울임	어울림	Suitability, matching (noun form, older spelling)
잇섯다	있었다	There was/were (older spelling)
모다	모두	All, entirely (dialectal/older form)
보와	보아	Seeing, considering (older spelling)
웃저구리	웃저고리	Upper jeogori (jacket), outer jacket
枝葉色	지엽색	Leaf-and-branch color (likely green or brownish-green)
취하엿스니	취하였으니	Because it adopted/chose (older spelling)
美哉함	미재함	Beauty (literary/archaism)
일을데 업다	이를 데 없다	Unsurpassable, nothing more to say
샛카만	새까만	Jet black (older spelling)
색갈	색깔	Color (older spelling)
엊지	어찌	How, why (older spelling)
깁히	깊이	Deeply (older spelling)
석거서	섞어서	Mixing (older spelling)
뭇	뭇	Many, various
사람들의게	사람들에게	To people (older spelling)
좃타	좋다	To be good (older spelling)
빗	빛	Color, light, shade (older spelling)
상의	상의	Upper garment
하여저	하여서	Doing so, making it (older spelling)
조흘 뜻 하다	좋을 듯 하다	Seems like it would be good (older spelling)
가젓든	가졌던	Which had/possessed (older spelling)
자줏빗	자줏빛	Purple color (older spelling)
단이는	다니는	Going around, wearing (older spelling)
쎄라복	세라복	Sailor uniform (loanword, older spelling)
쓰카트	스커트	Skirt (loanword, older spelling variation)
짤게	짧게	Shortly (older spelling)
하엿든들	하였던들	If one had done (older spelling)
하엿다	하였다	Did (older spelling)
긔분	기분	Feeling, mood (older spelling)
상케할	상하게 할	That which would hurt/damage (older spelling)
일넌지	일런지	Whether it is (older spelling)
몰으나	모르나	Although one doesn't know (older spelling)
입든	입던	Used to wear (older spelling)
그윽히	그윽이	Deeply, earnestly (older spelling/form)
나어린	나이 어린	Young (in age)
조케	좋게	Well, favorably (older spelling)
만흔	많은	Many, much (older spelling)
승거운	싱거운	Bland, insipid, unbecoming
잇슬 지	있을지	Whether there might be (older spelling)
밧탕	바탕	Background, material, fabric
스에타	스웨터	Sweater (loanword)
스마-트한	스마트한	Smart, stylish (loanword)
떨처슬 것 ´다	떨쳤을 것 같다	Seems like it would have displayed/shown (older spelling)
만록총중일점홍	만록총중일점홍	A single red dot (flower) in a lush green bush (idiom: something strikingly unique, often a woman among men)
일점청	일점청	A single blue dot (likely a play on the above idiom)
가운대	가운데	Among, in the middle of
끄으는	끄는	Attracting, drawing (older spelling)
어대까지든지	어디까지든지	In every respect, thoroughly (older spelling)
남울일데	나무랄 데	Point to criticize (older spelling)
기리	길이	Length
짤은	짧은	Short (older spelling)
안인	아닌	Not being (older spelling)
朝鮮맛	조선맛	Korean flavor/style
덜검은	덜 검은	Less dark
택하엿스니	택하였으니	Because it was chosen (older spelling)
되리고	되리라	Will become, would be (older spelling)
안을 수 업고	않을 수 없고	Cannot not do, must do (older spelling)
해여 질	해어질	To wear out (from washing, older spelling)
업스나	없으나	Although there isn't/aren't (older spelling)
엇덜가 한다	어떨까 한다	I wonder how it is/would be (older spelling)
우에	위에	On top, above (older spelling)
초마	치마	Skirt (older term)
무관할 듯 하다	무난할 듯 하다	Seems acceptable/unremarkable
종내의	종래의	Conventional, traditional, of the past
잇스리라고	있으리라고	That there would be (older spelling)
빼나는	빼어나는	Outstanding, excelling (older spelling)
남우랄데도	나무랄 데도	Point to criticize either (older spelling)
뵈이나	보이나	Although it looks/appears (older spelling)
그럿케	그렇게	So, like that (older spelling)
업서 보임은	없어 보임은	The appearance of lacking (older spelling)
관게	관계	Relation, connection (older spelling)
