잡지명	三千里 第八卷 第八號
발행일	1936년 08월 01일
기사제목	滄桑半白年에 생각나는 사람들 (People I Remember Over Half a Century of Vicissitudes)
필자	尹致昊
기사형태	회고·수기 (Reminiscence/Memoir)

People I Remember Over Half a Century of Vicissitudes
						Yun Ch'iho

From the winter when I was still young, at the age of eight, when I left home and entered Paengnyŏnam Hermitage below Koryongsan Mountain to begin my studies under the knee of Teacher Chang, until today, if I meticulously count the friends I associated closely with, the people I firmly held hands with for various tasks, or the esteemed elders I served,<40> the count would reach hundreds and thousands and still not end.

Now, looking towards the pass of eighty years and reflecting on the past, my life has truly been full of too many storms and tribulations.

However, during the turbulent seventy years of my life, I traveled hundreds of thousands of *ri*, encountered thousands of people, experienced ten years of exile, over ten years of political life, five years of prison life, and countless meetings and incidents followed one after another, allowing me to accumulate significant experience.

In the midst of all this, I know there are quite a few among those I trusted and who drew close to me, those I was extremely intimate with, who were cut short by Heaven's command and departed this world early; those who regrettably bid farewell to this place without fulfilling their aspirations; and those still living but whom I can never meet again due to surrounding circumstances and various complicated matters.

Even now, when I occasionally reminisce about the path I have walked or envision various aspirations in my heart, the faces of these individuals from former days often become fresh in my memory. Truly, there were many with outstanding talents (才操) worth boasting about widely to posterity, many with extraordinary capabilities (手腕), and more than one or two with iron-like firm principles (節操) who sacrificed their lives for society and the populace. There were also those looked up to by all for their benevolence and virtue.

Now, as I recall in my mind the paths they tread, I cannot first suppress the feelings of reminiscence for the old days (感舊之懷). (Photo: Yun Ch'iho in his youth)

In the spring of April 1881, when I was 17 years old, I remember joining a group of about 60 people heading to Tokyo for the first time, departing through Sungnyemun Gate. Even now, the events of that distant time vividly come to mind. Although we were already close friends, within this group, Mr. Yu Kilchun<41> and I also stuck together as attendants to Mr. Ŏ Yunjung, firmly grasping each other's wrists as we set off on the long journey. The two of us discreetly opened our hearts, sharing intimate conversations (情談) and discussing our hope-filled futures. Upon reaching Tokyo, astonished by the sounds of the waves of new civilization, we both made significant resolutions. After the rest of the delegation returned to Chosŏn, he and I alone remained in Tokyo; he entered Keio Gijuku, managed by Fukuzawa Yukichi, and I entered Dōjinsha, managed by Nakamura Masanao. Truly, he and I became inseparable companions of the new culture. He was genuinely a man of sincerity and a scholar possessing generous virtue. The dedication (一念) he later showed for this land upon returning to Chosŏn and the respect he earned from many people might stem from his innate character (天品), but surely also owed much to the long period of instruction (訓育) from Professor Fukuzawa Yukichi.

Thinking of Mr. Yu Kilchun brings to mind, unforgettably, Professor Fukuzawa Yukichi and the principal of Dōjinsha where I studied, Professor Nakamura Masanao. Professor Nakamura was also a distinguished scholar, but Professor Fukuzawa was truly an outstanding elder. His sublime character and virtuous conduct, along with his profound scholarship, continue to command even greater respect today. Frequently visiting him to hear his meaningful words was a most pleasant experience. He always spoke to Yu Kilchun and me, perhaps because we were Chosŏn people, giving us extra encouragement and urging us to set our minds on grand ideals; I still remember those conversations. Truly, he was a man of ideals with a fair scholarly conscience. How many such individuals can one find again today?

After that, during more than ten years of political life, I associated (相從) with quite many people and formed unusually close friendships and camaraderie with many.

From the time the first American Minister Foote, newly arrived from the United States, had his audience with King Kojong, Minister Foote<42> and I became close. When the Kapsin Coup unfortunately ended in failure, leading Kim Okkyun and several others to take the path of overseas exile, and I too, receiving a farewell (餞送) from Minister and Mrs. Foote, set off on the road to a decade of exile life in Shanghai, the affection that had secretly deepened between Minister and Mrs. Foote and me ended after merely two short years. Thinking of this fills me with unbearable regret.

Minister and Mrs. Foote, who waved their handkerchiefs until the steamship (汽船) carrying me to Shanghai was no longer visible far away, bidding a tear-soaked farewell, were excessively affectionate people to me, who had left my homeland for the uncertain path of exile. While the suffering populace, wandering amidst intrigue, clandestine struggles, chaos, and whirlwinds, tormented my heart, the affection formed with Minister Foote was also indescribably sad.

The ten years in Shanghai were perhaps a moment of extremely peaceful and tranquil self-cultivation (修養). (Photo: Calligraphy by Yun Ch'iho) Becoming a student at the Anglo-Chinese College, run by the American Southern Methodist Mission Board (南監理敎會 宣敎部 經營), Principal Allen's noble character<43> and solemn benevolence brought me no small amount of joy.

I often feel inwardly grateful even now for having met such a benefactor during those ten unfortunate years.

Professor Bonnell, no less than Principal Allen, was someone who imparted deep cultivation and new awakening. Their lofty characters and selfless spirit of service (沒我的 奉仕心), transcending nationality and ethnicity, ultimately made me deeply feel that the essence of this universe is love.

As a symbol of starting my new beginning through this spiritual awakening and rebirth (中生), on April 3, 1887, I was finally baptized (世禮) by Professor Bonnell and became a church member. Where are these benefactors now?

Four years after arriving in Shanghai, I went to the United States with the intention of studying abroad. During this time, at Emory University and Vanderbilt University, the friendship (友誼) of Bishop Candler and several other professors provided me with infinite comfort and joy. Among them, the one who gave the greatest guidance and character training (人格的 訓鍊) was Candler. His serious character, tolerance (寬容), gentleness (柔雅), extreme humility despite his high position, his belief that no task was too big or too small, and his zeal (熱誠) to Christianize (基督敎化) the entire world had a profound influence on me, making me realize he was truly a great person of character that only Christianity could realize.

My five years of study in the United States until late October 1893 were solely focused on cultivating my character within the academic world, and apart from fellow students within the universities, there was hardly anyone I associated with specifically. Passing by my longed-for homeland (故土) across the rough waves (荒波) of the Pacific, yet suppressing the unbearable feeling of not being able to set foot (듸려놓을 수 없는) on it, I landed again on the Shanghai docks on November 14th. The only person who welcomed me gladly was Principal Allen. Having returned to Shanghai, at Principal Allen's recommendation, I<44> taught at the Anglo-Chinese College for some time. During this period too, my life was solely one of purity, elegance, and tranquility, with hardly any contact with outsiders.

However, even during this time, the most unforgettable event, filled with immense sorrow and indignation (悲憤, 無量), was the tragic death (參事) of Mr. Kim Okkyun. A few months after I arrived in Shanghai, on March 27th, a telegram unexpectedly arrived for me, stating that Mr. Kim Okkyun was coming to Shanghai. I went to the docks to meet his party, and seeing Mr. Kim Okkyun after a long time seemed to give a strand of strength to my gloomy heart.

But how could I have known! That night, in a corner on the second floor of the Tonghwa Yanghaeng in the American Concession (米租界 東和洋行) where he was staying (留宿), he would tragically shed red blood and meet an unexpected death as a guest (客死)... My grief and indignation were immense. Mr. Kim Okkyun was truly an intelligent elder and a man of extraordinary talent. Eloquent and skilled in diplomacy, he was truly a regrettable elder. If only he had not departed this world so early, he would have left a greater mark!

My association with him and our firm mutual trust dated back to before the Kapsin Coup. I realized then that he was a significant political figure, but today, I feel it even more keenly. Recalling the moment I witnessed (目睹) his death now, my heart just aches.

Ten years of exile passed like a dream, and in the year I turned 43, on February 13th, filled with expectations, aspirations, passion, and hope, I stepped onto the soil of my homeland, longed for during those ten years. The emotions of joy and deep feeling were like entering a new world, even though the mountains and rivers remained the same (依舊).

From then on, over ten years of government service... During this period, I interacted with and befriended quite a number of people.<45>

Upon returning to Chosŏn, the person with whom I first formed the deepest friendship and intimacy was Mr. Appenzeller (亞扁薛羅).

Appenzeller was a sincere Christian who dedicated his entire life and fortune to the educational work of Chosŏn. For dedicating all his efforts like this for the Chosŏn people, Appenzeller must be mentioned first. Not only that, but his special friendship and goodwill towards me make me unable to suppress my gratitude forever. When my wife, whom I married in Shanghai, first came to Seoul, we were in a very difficult situation without a fixed place to stay. He took us into his own home, let us stay (留宿), and provided much convenience.

My personal friendship with him began then. He has now passed away, but his son is also striving, carrying on his father's legacy (遺業). Whenever I meet him from time to time, the memories of those past days often become fresh.

Thinking of Appenzeller brings to mind my wife (馬노라). While at the Anglo-Chinese College, Miss Ma gave her heart to me, and I too came to trust her. Following Mrs. Kang, who sadly passed away early in my homeland while I was away, I took Miss Ma as my wife.

Although she was a Westerner, she was truly a wise mother and good wife.

During the long years of exile, I despaired many times and suffered much amidst gloom. At such times, the person who gave me the greatest comfort and encouragement was my wife. She too, her Heaven-ordained life was too short; not long after returning to Chosŏn, she ended her precious life in a room at Severance Hospital. It is pitiful that her lone soul rests beneath the sky of a foreign land tens of thousands of *ri* away, but the sorrow of losing the wise mother and good wife whom I trusted most firmly was also considerable.<46>

Now, only her white bones, wrapped in a handful of earth in a corner of Pungmangsan Mountain, have faced the spring winds and autumn rains for over ten years. Can life's sorrow reach such an extreme?

While in government office, I never once forgot Christian work. While serving as Assistant Secretary of the Ministry of Education (學部協辨) and Acting Vice Minister of the Ministry of Education (學部大亞署理), on my way back from Moscow, where I had gone as an attendant to the Special Envoy for the Coronation of the Russian Tsar (露西亞皇帝戴冠式勅使隨員), I co-founded the first Southern Methodist Mission Board (南監理敎宣敎會) in Chosŏn with Dr. Reid.

At that time, the person who first deeply understood Chosŏn's Christian work and actively provided devoted effort was Mr. Yi Kŏnhyŏk (T'ongjin) of Kaesŏng. This man, a prominent merchant in Kaesŏng, devoted all his energy to social work and was an outstanding figure in Kaesŏng society. He is my maternal uncle-in-law. Although there was a family relationship, I could not help but admire his spirit of service and compassion (奉仕的 哀心). (Photo: Yun Ch'iho speaking in his youth)

Next, I recall those I associated with in various ways during the time of the Manmin Kongdonghoe (People's Joint Assembly). Messrs. Sŏ Chaep'il, Yi Sŭngman, Yi Sangjae, and others were those with whom I exchanged intense passion and fervor (情과 熱) at that time. Consulting together on the situation (事勢) then and crying out for a reformist construction movement (維新的 建設運動) through the "Tongnip Sinmun" (獨X新聞) also feels like yesterday.

Now, after parting ways with Messrs. Sŏ Chaep'il and Yi Sŭngman back then, I briefly met them and grasped their hands when I went to the United States in 1910.<47> Time has flown relentlessly, and almost 25 years have passed. I do not know their detailed news, but I imagine their faces must have gained many wrinkles, and their white hair must have become quite sparse. Now, for them and for me, with little time remaining, when might we meet again to unravel our longed-for feelings?

Mr. Yi Sangjae was a man who embraced everyone with affection and virtue, and who lived his 80 years straightforwardly with one heart and mind. His scholarly character (學者的品格) preceded his political nature. However, even when corrupt officials (탐관오리) alone ran rampant (跋扈) in the court and the country (朝野), Wŏllam (his pen name) alone thought of the populace and lived cleanly and firmly with one mind for justice. When he passed away, how could the fact that this society universally mourned and shed tears be called a coincidence?

Also, Mr. Yi Kap, who co-founded the Sŏbuk Hakhoe (Northwestern Academic Association) with Mr. Chŏng Unbok and strived for new cultural education before passing away early in the vast wilderness (曠野) of Russian territory, he too was a regrettable figure. In life, his character was extremely upright (強直), and his devotion (丹心) for our society boiled over. Thus, when I received the sad news (悲報) that he had passed away as a young man in North Manchuria, my heart was especially saddened. He was truly a model soldier. He was a valiant young man with the courage to break through even a thousand soldiers and ten thousand horses for something he thought was right, something he believed was justice. Now, many long years have passed since he departed this world. I hear that his one daughter, said to have been left under his care (膝下), is in Seoul, but there is no way to meet her either.

The American missionary Mr. Wasson (王永德), who dedicated his life to the educational world of Chosŏn, was not only a benefactor of Songdo High Common School but also a distinguished person worthy of respect by all of Chosŏn society. He was upright, taciturn (剛直寡言), benevolent, and kind (慈愛親切). Also, Mr. Kim Ilsŏn, who passed away 20 years ago, is someone unforgettable in our society.<48>
<40-48>

**Summary**

This memoir by Yun Ch'iho, written in 1936 as he approached eighty, reflects on significant people he encountered throughout his tumultuous life. He recalls his early education, studies in Japan alongside Yu Kilchun under figures like Fukuzawa Yukichi, his exile after the Kapsin Coup facilitated by US Minister Foote, his time in Shanghai connecting with missionaries like Allen and Bonnell, the tragic death of Kim Okkyun, his education in the US under figures like Bishop Candler, his return to Korea, government service, Christian mission work with Appenzeller and Reid, his involvement with the Manmin Kongdonghoe alongside Sŏ Chaep'il, Yi Sŭngman, and Yi Sangjae, and laments the early deaths or separation from many esteemed colleagues and friends like Yi Kap, his wife, Appenzeller, and Yi Sangjae. Yun expresses deep nostalgia and admiration for the character, intellect, and dedication of these individuals.

*Historical Interest:* This article provides a valuable first-person account from a major, albeit later controversial, figure bridging the late Joseon Dynasty and the Japanese colonial period. It highlights the complex web of relationships between Korean reformers, Japanese intellectuals, and Western diplomats/missionaries shaping Korea's modernization efforts and early nationalist movements. Yun's recollections offer insights into pivotal events like the Kapsin Coup and the activities of the Manmin Kongdonghoe, and his personal impressions of key figures like Kim Okkyun, Fukuzawa, Appenzeller, Yi Sangjae, Sŏ Chaep'il, and Yi Sŭngman are historically significant, revealing personal dynamics and shared ideals (or diverging paths) among the elite of that era. His lament for lost connections underscores the personal costs of the political upheavals and colonial situation.

**Named Entities**

高龍山	고룡산	Koryongsan
白蓮庵	백련암	Paengnyŏnam
張先生	장선생	Mr. Chang
尹致昊	윤치호	Yun Ch'iho
兪吉濬	유길준	Yu Kilchun
魚允中	어윤중	Ŏ Yunjung
東京	동경	Tokyo
福澤諭吉	복택유길 (후쿠자와 유키치)	Fukuzawa Yukichi
慶應義塾	경응의숙 (게이오기주쿠)	Keiō Gijuku
中村正直	중촌정직 (나카무라 마사나오)	Nakamura Masanao
同人社	동인사 (도진샤)	Dōjinsha
朝鮮	조선	Chosŏn
풀公使	풀 공사	Minister Foote
高宗	고종	Kojong
甲申政變	갑신정변	Kapsin Coup
金玉均	김옥균	Kim Okkyun
上海	상해	Shanghai
米國	미국	United States
南監理敎會 宣敎部	남감리교회 선교부	Southern Methodist Mission Board
앨넨校長	앨넨 교장	Principal Allen
뽄넬敎授	뽄넬 교수	Professor Bonnell
에모리대학	에모리대학	Emory University
밴더필트대학	밴더필트대학	Vanderbilt University
캔들너 監督	캔들너 감독	Bishop Candler
米租界 東和洋行	미조계 동화양행	American Concession, Tonghwa Yanghaeng
亞扁薛羅	아편설라	Appenzeller
馬노라	마누라	Mrs. Ma / Wife (likely referring to his wife, née Ma)
姜氏	강씨	Mrs. Kang
세부란쓰병원	세브란스병원	Severance Hospital
北邙山	북망산	Pungmangsan
露西亞	노서아 (러시아)	Russia
莫斯科	모스코 (모스크바)	Moscow
南監理敎宣敎會	남감리교선교회	Southern Methodist Mission Board
리드醫師	리드 의사	Dr. Reid
開城	개성	Kaesŏng
李建爀(通津)	이건혁(통진)	Yi Kŏnhyŏk (T'ongjin)
萬民共同會	만민공동회	Manmin Kongdonghoe
徐載弼	서재필	Sŏ Chaep'il
李承晩	이승만	Yi Sŭngman
李商在	이상재	Yi Sangjae
獨X新聞	독립신문	Tongnip Sinmun (The Independent)
月南	월남	Wŏllam (Yi Sangjae's pen name)
西北學會	서북학회	Sŏbuk Hakhoe
鄭雲復	정운복	Chŏng Unbok
李甲	이갑	Yi Kap
露領	노령	Russian Territory
北滿	북만	North Manchuria
王永德	왕영덕	Wasson (Alfred W.)
松都高普校	송도고보교	Songdo High Common School
金一善	김일선	Kim Ilsŏn

**Glossary**

滄桑半白年	창상반백년	Half a century of great changes/vicissitudes (lit. 'blue sea turning into mulberry fields for half a white-haired year')
독서	독서	Reading books, studying
사괴이든	사귀이든	(Older form of 사귀던) associated with, befriended
어룬	어른	Adult, elder (Older spelling)
헤이자면	헤아리자면	If one counts/enumerates
넘우나	너무나	(Older spelling of 너무나) Very, extremely
파란중첩한	파란중첩한	Full of repeated storms and waves (trials and tribulations)
망명	망명	Exile, seeking asylum
政界	정계	Political world/circles
荊門生活	형문생활	Prison life (lit. 'thorn gate life')
수업는	수없는	(Older spelling of 수없는) Countless, innumerable
싸허	쌓아	(Older spelling/form of 쌓아) Accumulated
갓가히	가까이	(Older spelling of 가까이) Closely, near
쩗어	짧아	(Older spelling of 짧아) (Being) short
앗가웁게	아깝게	(Older spelling of 아깝게) Regrettably, unfortunately
맛나볼	만나볼	(Older spelling of 만나볼) To be able to meet
거러온	걸어온	(Older spelling of 걸어온) Walked, tread
포부	포부	Aspiration, ambition
빼난	빼어난	(Older spelling of 빼어난) Outstanding, excellent
才操	재조	Talent, skill (Often implies practical skill/ingenuity)
手腕	수완	Capability, skill, ability (Often in handling affairs)
철석같이	철석같이	Like iron and stone; firmly, resolutely
節操	절조	Principle, integrity, fidelity
저바리든	저버리던	(Older form of 저버리던) abandoned, betrayed (here used figuratively for 'sacrificed')
우러러보든	우러러보던	(Older form of 우러러보던) looked up to, revered
뇌리	뇌리	Mind (lit. 'inside the brain')
추억해 보매	추억해보매	As I recall/reminisce
感舊之懷	감구지회	Nostalgic feelings for the past
일행	일행	Party, group, entourage
崇禮門	숭례문	Sungnyemun Gate (Namdaemun Gate in Seoul)
떠러지지	떨어지지	(Older spelling of 떨어지지) Not separating, sticking together
從員	종원	Attendant, follower
行旅	행려	Journey, travel
情談	정담	Intimate talk, heart-to-heart conversation
相論	상론	Mutual discussion
이르럿슬때	이르렀을 때	(Older spelling/form of 이르렀을 때) When (we) arrived
떠러저	떨어져	(Older spelling of 떨어져) Separated, remaining apart
뗄내야 뗄 수 없는	뗄래야 뗄 수 없는	Inseparable
天品	천품	Innate character/nature
訓育	훈육	Instruction, training, discipline (esp. moral)
相從	상종	Associate with, keep company with
친분	친분	Closeness, intimacy, friendship
배알하든	배알하던	(Older form of 배알하던) Had an audience with (royalty)
政變	정변	Political upheaval, coup d'état
餞送	전송	Farewell, seeing someone off
안탁가운	안타까운	(Older spelling of 안타까운) Regrettable, sad, unfortunate
汽船	기선	Steamship
암투	암투	Clandestine struggle, intrigue
선풍	선풍	Whirlwind, sensation (here implying chaos)
섭섭하기	섭섭하기	(Being) sad, regrettable, disappointing
안일한	안일한	Idle, easygoing, peaceful
修養	수양	Self-cultivation, moral training
宣敎部	선교부	Mission board/department
고결한	고결한	Noble, lofty (character)
엄숙한	엄숙한	Solemn, grave
慈愛	자애	Benevolence, compassion, loving-kindness
늣기게	느끼게	(Older spelling of 느끼게) Make feel, cause to realize
은인	은인	Benefactor
각성	각성	Awakening, realization
고상한	고상한	Lofty, noble, refined
沒我的	몰아적	Selfless, self-sacrificing
奉仕心	봉사심	Spirit of service
맞츰내	마침내	(Older spelling of 마침내) Finally, eventually
중생	중생	Rebirth, regeneration (often in a religious context)
세례	세례	Baptism
유학	유학	Studying abroad
監督	감독	Supervisor, superintendent (here refers to a Bishop in the Methodist church)
友誼	우의	Friendship
위안	위안	Comfort, consolation
訓鍊	훈련	Training, discipline
진중한	진중한	Serious, grave, deliberate
寬容	관용	Tolerance, magnanimity
柔雅	유아	Gentle and elegant
基督敎化	기독교화	Christianization
熱誠	열성	Zeal, enthusiasm, fervor
늣기게 하였다	느끼게 하였다	(Older spelling of 느끼게 하였다) Made (me) feel/realize
荒波	황파	Rough waves, turbulent seas
故土	고토	Homeland, native soil
엽흐로	옆으로	(Older spelling of 옆으로) Sideways, beside
듸려놓을 수 없는	들여놓을 수 없는	(Older spelling/form of 들여놓을 수 없는) Unable to set foot in/enter
상륙하니	상륙하니	Upon landing
권고	권고	Recommendation, advice
말미아마	말미암아	(Older spelling/form of 말미암아) Due to, owing to
교편을 잡고	교편을 잡고	Take up teaching (lit. 'hold the teacher's pointer')
淸雅	청아	Clear and elegant, refined
비분	비분	Grief and indignation
無量	무량	Immeasurable, boundless
參事	참사	Tragic incident, disaster, terrible death
멧	몇	(Older spelling of 몇) A few, several
留宿	유숙	Lodging, staying overnight
米租界	미조계	Foreign Concession (specifically American here)
무참히도	무참히도	Cruelly, brutally, tragically
客死	객사	Death in a foreign land or away from home
비탄	비탄	Grief, sorrow
통분	통분	Indignation, resentment
영농한	영농한	Intelligent and capable (variant of 영민한?)
앗가운	아까운	(Older spelling of 아까운) Regrettable, valuable (in the sense of 'a loss')
이러틋	이렇듯	(Older spelling of 이렇듯) Like this, in this way
目睹	목도	Witnessing, seeing with one's own eyes
압흘	아플	(Older spelling of 아플) Aching, painful
동경하든	동경하던	(Older form of 동경하던) Longed for, yearned for
환희	환희	Joy, delight
감개	감개	Deep emotion, strong feeling
依舊한	의구한	Remaining the same as before, unchanged
親友	친우	Close friend
위하야	위하여	(Older spelling of 위하여) For the sake of
자긔의	자기의	(Older spelling of 자기의) One's own
전생명	전생명	Entire life
밧친	바친	(Older spelling of 바친) Dedicated, devoted
기우린	기울인	(Older spelling of 기울인) Devoted, poured into
호의	호의	Goodwill, kindness
곤란한	곤란한	Difficult, troublesome
다려다	데려다	(Older spelling/form of 데려다) Taking (someone) to a place
留宿식히면서	유숙시키면서	Letting (someone) stay overnight
떠낫스나	떠났으나	(Older spelling of 떠났으나) Although (he) departed/passed away
아드님되시는	아드님되시는	Who is his son (honorific)
遺業	유업	Work/legacy left behind by the deceased
힘쓰시니	힘쓰시니	As (he) strives/makes efforts (honorific)
생각키워지는	생각키워지는	(Unusual form, likely means 생각나게 하는 or 생각나는) Brings to mind, is remembered
현모양처	현모양처	Wise mother and good wife
번민	번민	Anguish, agony, worry
북도두워주는	북돋우어주는	(Older form/spelling of 북돋아주는) Encouraging, boosting one's spirits
쩔너	짧아	(Dialectal/Older spelling of 짧아) (Being) short
도라온 지	돌아온 지	(Older spelling of 돌아온 지) Since returning
마금하고	마감하고	(Older form of 마감하고) Finished, closed, ended
異域	이역	Foreign land, different region
孤魂	고혼	Lonely soul/spirit (of the dead)
서러웠었다	서러웠었다	(Emphatic past form of 서러웠다) Was sorrowful/sad
백골만이	백골만이	Only white bones
흙속에 싸여	흙 속에 싸여	Wrapped in earth
春風秋雨	춘풍추우	Spring winds and autumn rains (metaphor for the passage of time)
이저 본 일이 없었다	잊어 본 일이 없었다	(Older spelling of 잊어 본 일이 없었다) Never forgot
協辨	협판	Assistant Secretary (in certain ministries of late Joseon/Korean Empire)
署理	서리	Acting (official)
戴冠式	대관식	Coronation ceremony
勅使隨員	칙사수원	Attendant to an Imperial/Royal Envoy
처진인	처음인	(Likely typo/older form of 처음인) Being the first
리드醫師	리드 의사	Dr. Reid (likely C.F. Reid)
이해하고	이해하고	Understood and...
헌신적	헌신적	Devoted, dedicated
노력	노력	Effort
하여준	하여준	(Older form of 하여준) Did for, provided
유수한	유수한	Prominent, leading
상업가	상업가	Merchant, businessman
기우리든	기울이던	(Older form of 기울이던) Devoted, poured into
출중한	출중한	Outstanding, prominent
이모부	이모부	Maternal uncle-in-law (husband of mother's sister)
봉사적	봉사적	Service-oriented, devoted to service
애심	애심	Compassionate heart, loving heart
키워지는	생각나게 하는/생각나는	(See '생각키워지는' above) Brings to mind
극진이	극진히	(Older spelling of 극진히) Extremely, devotedly
情과 熱	정과 열	Passion and fervor
토하든	토하던	(Older form of 토하던) Poured out, expressed
事勢	사세	Situation, state of affairs
維新的	유신적	Reformist
建設運動	건설운동	Construction movement (movement aimed at building/developing)
부르짓든	부르짖던	(Older form of 부르짖던) Cried out for, advocated
갈여진	갈라진	(Older spelling of 갈라진) Parted, separated
어언	어언	Before one knows it, already
마지하나	맞이하나	Although (we) greet/face (the time)
자세치	자세치	(Contraction of 자세하지) Not detailed
짐작컨대	짐작컨대	Presumably, judging by
줄음살이	주름살이	(Older spelling of 주름살이) Wrinkles
성성해젓슬	성성해졌을	(Older spelling/form of 성성해졌을) Would have become sparse (referring to white hair)
회포	회포	Feelings, thoughts (often nostalgic or pent-up)
자애	자애	Affection, loving-kindness
곱다라케	곱다랗게	(Older form/spelling of 곱게) Nicely, beautifully, straightforwardly
학자적	학자적	Scholarly
품격	품격	Character, dignity
탐관오리	탐관오리	Corrupt official
조야	조야	Court and country; ruling circles and the common people
발호	발호	Rampancy, being rampant/unrestrained
놋코	놓고	(Older spelling of 놓고) Having established/founded
힘쓰다가	힘쓰다가	While striving/making efforts
광야	광야	Wilderness, vast plain
강직	강직	Upright, principled, unbending
단심	단심	Sincere heart, devotion (often patriotic)
끌엇드니만치	끓었더니만치	As much as (it) boiled/was fervent
비보	비보	Sad news (esp. of someone's death)
슬펐든	슬펐던	(Older spelling of 슬펐던) Was sad
올타고	옳다고	(Older spelling of 옳다고) (Thinking something is) right
뚫고	뚫고	Piercing through, breaking through
용력	용력	Bravery and strength, valor
씩씩한	씩씩한	Valiant, brave, spirited
무릇	무릇	Approximately, generally speaking; indeed
슬하	슬하	Under one's knee (referring to children under one's care)
남엇다든	남았다던	(Older spelling/form of 남았다던) Who was said to be left
듯게 되나	듣게 되나	Although I come to hear
일생을 받치든	일생을 바치던	(Older form of 일생을 바치던) Who dedicated their life
강직과언	강직과언	Upright and taciturn (speaking little)
자애친절	자애친절	Benevolent and kind
이치지	잊히지	(Older spelling of 잊히지) Cannot be forgotten


---------------------------


잡지명	삼천리 제8권 제8호
발행일	1936년 08월 01일
기사제목	滄桑半白年에 생각나는 사람들
필자	尹致昊
기사형태	회고·수기

滄桑半白年에 생각나는 사람들
						尹致昊
