Magazine Title: 삼천리 제8권 제8호
Publication Date: 1936-08-01
Article Title: 新進名花 崔仙孃 對答은 이러함니다. (Answers from the Rising Star Miss Ch'oe Sŏn)
Author: 白蓮花
Article Type: 대담·좌담 (Interview/Discussion)

New Rising Star Miss Ch'oe Sŏn's Answers Are As Follows.
						Paengnyŏnhwa (白蓮花)
Me: Where is your hometown?
Ch'oe: It's P'yŏngyang (平壤).
Me: Ah, so you were born in the city of beauties...
Ch'oe: Hohoho... Oh my (bows her head as if bashful).

Me: Which school did you graduate from?
Ch'oe: As for school, I barely graduated from Pongmyŏng Academy (鳳鳴학원) in P'yŏngyang (平壤), that's all.

Me: Before you started in theatre, have you ever been involved in the film industry?
Ch'oe: No, the first place I started right after graduating from school was the theatre stage.
Me: What was your motivation for stepping onto the theatre stage?
Ch'oe: There wasn't much of a specific motivation... It's just that since I was young and attending school, I really liked theatre, and as I frequently went to see plays, I naturally developed a longing for theatre... So, even in my young heart, a determination arose to dedicate my entire self to theatre.

Me: How old are you this year?
Choe: I'm 22.

Me: When did you first step into the world of theatre?
Ch'oe: It was when I was 17... Time really flies. It feels like yesterday when I first entered the theatre world, but it seems like 6 years have already passed.

Me: What was the first stage you appeared on?
Ch'oe: It was "Yŏn'gŭk Sijang" (연극시장, Theatre Market). <209>
Me: At that time, which play received the most enthusiastic reception from the general fans?
Ch'oe: Should I say it was the play called "Kŏriesŏ Chusŭn Suknyŏ" (거리에서 주슨 숙녀, The Lady Picked Up from the Street)? But I'm still learning, what could I have done well? It was probably just enough not to bore the audience.

Me: The play "Ulgo Kal Kirŭl We Watdŭn'go?" (울고 갈 길을 웨왓든고?, Why Did You Come the Road You Must Go Weeping?) which you appeared in at "Yŏn'gŭk Sijang" (연극시장) brought tears to the eyes of countless audience members then... How was that?
Ch'oe: That was also alright.

Me: After "Yŏn'gŭk Sijang" (연극시장), which theatre troupe were you with?
Ch'oe: After passing through "Hwanggŭmjwa" (黃金座, Golden Seat) and "Hirakchwa" (喜樂座, Joyful Seat), I am now with the current "Tonggŭkchwa" (東劇座, Eastern Theatre).
Me: It has been 6 years since you started acting, from "Yŏn'gŭk Sijang" (연극시장) to "Tonggŭkchwa" (東劇座). During your appearances in numerous plays, which role seemed to suit you the best?
Ch'oe: Well... I'm still learning everything... If I had to say, the role of a housewife (主婦役) seems a bit more suitable among them.

Me: I thought your portrayal of Hongnang (紅娘) in the historical drama "Poksu Samch'ŏkkŏm" (復讎三尺劒, Three-Foot Sword of Revenge) or the mother's role in "Adŭrŭi Chugŏm" (아들의 죽엄, The Son's Death) at the current "Tonggŭkchwa" (東劇座) were also excellent performances?
Ch'oe: (Only shows a smile)

Me: But when the plays you appear in are welcomed by many fans, you must receive heaps of love letters, gifts, etc., both directly and indirectly?
Ch'oe: Well... I don't really know. Hohoho...
Me: So, about how many love letters do you receive in a month?
Ch'oe: It's not that many, but do people count them all one by one...? I do receive such letters occasionally, but...

Me: Are you married?
Ch'oe: N--o.
Me: How about "romance"?
Ch'oe: I haven't experienced romance yet either. Hohoho...

Me: If you were to find a partner who suits your heart, what kind of person would they have to be?
Ch'oe: Oh my... What a question... Hoho... Well, a modern man would be nice. Someone tall and slender with a cheerful smile and a good impression is preferable... But they must have a deep understanding of literature.

Me: Besides theatre, what are your hobbies?
Ch'oe: Reading books is what I like best. As I have some interest in literature <210>, I read books about literary arts whenever I have time.

Me: How tall are you?
Ch'oe: Well, I'm a little over 5 ch'ŏk (尺) 3 ch'on (寸) [approx. 160.6 cm].

Me: What color do you like?
Ch'oe: Pure white is my favorite among colors... That's why, among flowers, the white chrysanthemum appeals to my heart the most.

Me: What kind of food do you like?
Ch'oe: I like "lunch" (란치).

Me: Do you also associate with many male friends?
Ch'oe: I don't really have many male friends. As for female friends, I have a few very close ones. Since Cha Hong-nyŏ (車紅女) and I always live in the same house, we are exceptionally close.

Me: Are you a theatre fan? Or a movie fan?
Ch'oe: I like both theatre and movies. That's why I occasionally go to see movies too.

Me: As for actors, which ones do you like the most?
Ch'oe: Among Western actors, I like "Shirubā Shitōnī" (실버시토니, likely Sylvia Sidney); also, among Japanese actors from the mainland (內地), I like Irie Takako (入江 다가子) and Hayashi Chōjirō (林長次郞) the best. <211>

**Summary**

This 1936 interview introduces Ch'oe Sŏn-hyang, a 22-year-old actress from P'yŏngyang who began her career at 17. She discusses her start in theatre with the troupe "Yŏn'gŭk Sijang," her progression through "Hwanggŭmjwa" and "Hirakchwa" to her current troupe "Tonggŭkchwa," and mentions roles like a housewife suit her best. She expresses her preference for modern, tall men with literary understanding, enjoys reading, likes the color white and white chrysanthemums, and enjoys "lunch." She names Cha Hong-nyŏ as a close friend and lists Sylvia Sidney, Irie Takako, and Hayashi Chōjirō (later Hasegawa Kazuo) as her favorite actors. For historians, this piece offers a glimpse into the popular culture of colonial Korea, specifically the theatre scene, showcasing a young actress's aspirations and personal tastes. The mention of specific troupes, plays, Japanese actors, and the casual use of the Japanese loanword "lunch" (란치) reflect the cultural milieu of the period under Japanese rule. Her preference for a "modern man" and interest in literature also hint at changing social values.

**Named Entities**

崔仙孃	최선향	Ch'oe Sŏn-hyang
白蓮花	백련화	Paengnyŏnhwa
平壤	평양	P'yŏngyang
鳳鳴학원	봉명학원	Pongmyŏng Hagwŏn
연극시장	연극시장	Yŏn'gŭk Sijang
거리에서 주슨 숙녀	거리에서 주운 숙녀	Kŏriesŏ Chusŭn Suknyŏ
울고 갈 길을 웨왓든고?	울고 갈 길을 왜 왔던고?	Ulgo Kal Kirŭl We Watdŭn'go?
黃金座	황금좌	Hwanggŭmjwa
喜樂座	희락좌	Hirakchwa
東劇座	동극좌	Tonggŭkchwa
復讎三尺劒	복수삼척검	Poksu Samch'ŏkkŏm
紅娘	홍랑	Hongnang
아들의 죽엄	아들의 죽음	Adŭrŭi Chugŏm
車紅女	차홍녀	Cha Hong-nyŏ
실버시토니	실버 시토니	Shirubā Shitōnī (Sylvia Sidney)
入江 다가子	이리에 다카코	Irie Takako
林長次郞	하야시 조지로	Hayashi Chōjirō
日本內地	일본내지	Japanese mainland (Naichi)

**Glossary**

新進名花	신진명화	New rising star (lit. newly advancing famous flower)
孃	양	Suffix for young, unmarried woman; Miss
對答	대답	Answer, reply
어듸서요	어디서요	Where (older spelling/pronunciation of 어디서요)
낫슴니다	났습니다	Was born (older spelling of 났습니다)
업스신가요	없으신가요	Don't you have (older spelling of 없으신가요)
업서요	없어요	There isn't/doesn't exist (older spelling of 없어요)
조와 햇든	좋아했던	Liked (older spelling/pronunciation of 좋아했던)
사히에	사이에	Between, among (older spelling of 사이에)
생겻지요	생겼지요	Arose, formed (older spelling of 생겼지요)
긔어히	기어이	By all means, definitely (older spelling of 기어이)
밧치겟다는	바치겠다는	To dedicate oneself (older spelling of 바치겠다는)
되엿담니다	되었답니다	Became (older spelling of 되었답니다)
멫	몇	How many (older spelling of 몇)
듸려 노흔	들여 놓은	Stepped into (older spelling of 들여 놓은)
빨너요	빨라요	Is fast (older spelling of 빨라요)
갓호든	같았던	Was like (older spelling/pronunciation of 같았던)
되여 가나	되어 가나	Is becoming (older spelling of 되어 가나)
나섯든	나섰던	Appeared on, stepped out (older spelling of 나섰던)
엿든가요	였던가요	Was it? (older spelling of 였던가요)
엿서요	였어요	Was (older spelling of 였어요)
만히	많이	Many, much (older spelling of 많이)
밧든	받던	Received (older spelling of 받던)
엿다고나 할가요	였다고나 할까요	Should I say it was...? (older spelling/form)
멀	뭘	What (contraction, older spelling of 뭘)
잘햇겟서요	잘했겠어요	Could I have done well? (older spelling of 잘했겠어요)
실증	실증	Boredom, weariness (here likely meaning 'disappointment' or 'weariness')
엿겟지요	였겠지요	It probably was (older spelling of 였겠지요)
웨왓든고	왜 왔던고	Why did (you/one) come? (older spelling/dialectal form of 왜 왔던고)
엇댓서요	어땠어요	How was it? (older spelling of 어땠어요)
괜찬헛서요	괜찮았어요	It was alright (older spelling of 괜찮았어요)
잇섯나요	있었나요	Were you in/at? (older spelling of 있었나요)
거처	거쳐	Passing through (older spelling of 거쳐)
잇게 되엿서요	있게 되었어요	Came to be at (older spelling of 있게 되었어요)
맛는 듯하서요	맞는 듯하세요	Seems to suit (older spelling/form of 맞는 듯 하세요)
뵈일 뿐	보일 뿐	Just showing (older spelling of 보일 뿐)
바들 때이면	받을 때이면	When receiving (older spelling of 받을 때이면)
들이 오겟군요	들어 오겠군요	Must come in (older spelling of 들어 오겠군요)
몰으겟서요	모르겠어요	I don't know (older spelling/pronunciation of 모르겠어요)
만치도	많지도	Not even much (older spelling of 많지도)
헤여 보나요	헤아려 보나요	Does one count? (older spelling of 헤아려 보나요)
바다보기는	받아보기는	Receiving (older spelling of 받아보기는)
맛는	맞는	Suitable, fitting (older spelling of 맞는)
조켓지요	좋겠지요	Would be good (older spelling of 좋겠지요)
조흔	좋은	Good (older spelling of 좋은)
조와요	좋아요	Is good, I like it (older spelling of 좋아요)
깁흔	깊은	Deep (older spelling of 깊은)
이래야 하겟서요	이라야 하겠어요	Must be (older spelling of 이어야 하겠어요)
붓치시나요	붙이시나요	Do you apply/devote (your interest)? (older spelling of 붙이시나요)
조와요	좋아요	Is good, I like it (older spelling of 좋아요)
잇* 만큼	있는 만큼	As much as there is (likely typo for '있는', older spelling)
조와하서요	좋아하세요	Do you like? (older spelling of 좋아하세요)
희듸 흰빗	희디흰 빛	Pure white color (older spelling/form)
미음에 든 담니다	마음에 든답니다	Appeals to the heart (older spelling of 마음에 든답니다)
란치	런치	Lunch (loanword from English via Japanese ランチ)
사괴이시나요	사귀시나요	Do you associate with/befriend? (older spelling of 사귀시나요)
갓가운	가까운	Close (older spelling of 가까운)
멧	몇	A few (older spelling of 몇)
잇지요	있지요	There are (older spelling of 있지요)
잇느니만치	있으니만치	Since (we) are together (older spelling/form)
사히가	사이가	Relationship (older spelling of 사이가)
이서요	이세요	Are you? (older spelling of 이세요)
각금	가끔	Sometimes, occasionally (older spelling of 가끔)
한담니다	한답니다	I do (it) (older spelling of 한답니다)
조쿠요	좋고요	Is good and... (older spelling of 좋고요)
俳優	배우	Actor/Actress


---------------------------


잡지명	삼천리 제8권 제8호
발행일	1936년 08월 01일
기사제목	新進名花 崔仙孃 對答은 이러함니다.
필자	白蓮花
기사형태	대담·좌담

