Magazine Title: 삼천리 제8권 제8호
Publication Date: 1936년 08월 01일
Article Title: 제고장서 듯는 民謠 情調, 九曲에 사모치는 斷膓曲 (The Sentiment of Folk Songs Heard in My Hometown, a Heart-Rending Song Piercing the Nine Bends of the Intestines)
Author: 朴相羲
Article Type: 문예기타 (Arts/Miscellaneous)

The Sentiment of Folk Songs Heard in My Hometown, a Heart-Rending Song Piercing the Nine Bends of the Intestines
						By Pak Sanghŭi

Poetry flowing from the human feelings suffused in one's native soil, carried on the beautiful voice of an unknown singer – that is the folk song (minyo).
On the East Coast of Kwanbuk (North Hamgyŏng Province), where the mountain peaks are imposing and the water sounds clear, there have long been many heart-rending songs that draw tears, songs of love that make young people's hearts flutter.
Where the steadfast T'aebaek mountain range runs southward, unfolding into several plains here and there,<111> - among them, a mountain village where the Unbong Peak of Kuktae meets the vast blue sea face to face, with the East Sea shimmering far away, that is the place where I grew up.
Having grown up in a mountain village in Kwanbuk, looking out at the East Sea for 10 years before leaving home, I hold so many romances from my childhood hometown that they are still fresh in my memory.
All sorts of folk songs passed down orally, embodying my hometown's local color – geography, history, human feelings, customs, life – sometimes in sorrowful tones mixed with sighs, sometimes with hollow laughter, were mirrors of the era and reflections of rural life.
The folk songs of the North Country (Hamgyŏng Province) are so soaked in tears and embrace tragedy. From this, one can guess how many tears and tragedies have existed in every corner of the North Country since olden times.

"In mountains high and valleys deep, where no one lives,
Whom did I come here to see?
Eheye, eheya, e-heehela
Wearily, I came here."

This "Aewŏnsŏng" (Song of Sorrowful Longing) is representative of Hamgyŏng Province folk songs.
Since ancient times, how many tears must have been shed by bushy-haired bachelors and mature maidens singing this heart-rending song of sorrow?
Having traveled far and wide, tirelessly seeking this remote place deep in the mountains and secluded valleys where only the sounds of birds and water are occasionally heard, only to find not even a trace of the longed-for beloved – where else could one go? Before are only mountains rising layer upon layer, blocking the way; looking back, the path traveled is distant. All that comes out is sighs, all that flows is tears.
This pitiful scene! How could the tearful melody of the "Aewŏnsŏng" not exist?

"Even the hero of his age, Kim Tŏngnyŏng, unmet by fortune,
Built a grass hut in the mountains and watched the setting moon and rising sun.
Eheye, eheya, e-heehela
Wearily, I came here."

This song too is a verse that melts the nine-bend intestines.
It is another heart-rending song that only the northern land of Chosŏn could possess. The regrettable situation of becoming an unfortunate figure of misfortune, possessing outstanding talent (才操) and brilliant authority (威武) not inferior to General Yi Sunsin, yet ending life meaninglessly in the mountains of Kwanbuk! Lamenting the exceedingly unfair worldly affairs, listlessly stroking a rusted long sword, looking up at the heavens (한울), waiting only for the time to come, building a grass hut in the mountains, idly passing time watching the setting moon and rising sun, shedding tears of blood filled with indignation and resentment – is not this one heartbreaking song (斷腸曲) a tragic tune (悲曲) created by the world of the Yi Dynasty (李朝)? Moreover,<112> towards the end of the Yi Dynasty, observing the world fall into disorder, this heart-rending song powerfully sprang forth from the hearts of blood-boiling young men in every corner of Hamgyŏng Province, spreading and flowing through every village.
If the former "Aewŏnsŏng" is a thread of personal sadness brought by love formed between young people, might the latter "Aewŏnsŏng" not be the cry of those who harbor immense ambitions and ideals?
Ten years ago from now, my hometown in the North Country was a very quiet and peaceful village.
I still remember vividly that time in late spring, climbing the back mountain, listening to the regrettable melody of the "Aewŏnsŏng" echoing mournfully through the mountain valley, sinking into a sentimental mood!

"Singosan (New Kosan) rumbles,
At the sound of the steam train departing,
The big girl of Kugosan (Old Kosan)
Eruhwa, packs her small bundle.
Erang erang eheya
Eruhwa, let's go traveling."

If "Aewŏnsŏng" is the representative folk song of the northern part of Hamgyŏng Province, this "Singosan T'aryŏng" (Ballad of Singosan) would likely be the representative folk song of the southern part of Hamgyŏng Province.
As the noisy waves of new civilization came splashing even into the deep mountain valleys of the North Country, village maidens, firmly confined within a feudal, primitive life, who in spring would climb the mountains to pick wild greens, now pack their bundles, take the steam train, and leave far, far away somewhere (to the city). Village bachelors weeding on the mountain slopes in late spring, listening to the noisy whistle, blankly picturing the face and figure (차태) of the village maiden who boarded the train, let out a long, reasonless sigh, grip their hoe handle again, and recite a verse. The sentiment of this "Singosan T'aryŏng" was a song I heard daily in my hometown during childhood.
The clash and contradiction between the new and the old. This gave rise to numerous tragedies and drew so many tears in the mountain villages of the North Country.
Although it is true for any folk song, the sentiment of this "Singosan T'aryŏng" as it flows from the mouths of village bachelors sitting astride the furrows in the sloping fields of the North Country's mountain villages is something people from other regions could never fully appreciate.

"If the wind is to blow,
Let the southeast wind blow;
If a rich harvest is to come,
Let there be a rich harvest of lovers."

Isn't this song melody one sung by village maidens digging for wild garlic in the front fields, facing the warm breeze of April (˜¤월) seeping into their chests, gazing at the waves of barley (麥波) ripening to a yellowish hue and the crops turning green,<113> unable to contain their excitement, opening their pretty red lips (紅唇) slightly to send the song floating on the south wind?
If the wind must blow, let only a gentle wind like the southeast wind blow, bringing peace and joy (깁붐) to this village. If a rich harvest is to come, please let only strong, sturdy men with robust physiques be born abundantly in this village! So that among them, I might find the lover I long for—
How overflowing it is with the pastoral sentiment of the countryside!
Ten years ago, my hometown was a peaceful village and a quiet mountain hamlet.
But for some reason, after ten years have passed—

"Who are you, propertyless one?
Do not lament.
Wealth and poverty, nobility and lowliness,
They turn and turn."

In the blue sky,
There are many small stars;
In our lives,
There are many troubles.
Arirang, Arirang, Arariyo
Let's cross over Arirang Pass.

Now in my hometown, only such song melodies flow from the bloodless lips (입까) of the village's naive woodcutter boys.
Even the sentiment of the folk songs I used to hear in my hometown cannot be found now! (End)<114>

**Summary**

The author, Pak Sanghŭi, reflects nostalgically on the folk songs (minyo) of his hometown in Hamgyŏng Province (Kwanbuk), North Korea, ten years after leaving. He contrasts the traditional, sorrowful "Aewŏnsŏng," representing both personal heartbreak and the unfulfilled ambitions of historical figures like Kim Tŏngnyŏng, with the newer "Singosan T'aryŏng," which emerged with the arrival of trains and modernization, depicting village girls leaving for cities and the resulting melancholy of the young men left behind. He laments that the peaceful, pastoral sentiments found in older songs about nature and love seem to have vanished, replaced by songs reflecting hardship, poverty ("propertyless one"), and the troubles of life ("Arirang"), suggesting a significant and perhaps unwelcome transformation in the village's atmosphere and spirit over the decade. From a historical perspective, the article offers a glimpse into the cultural impact of modernization (symbolized by the train) on rural Korean society under Japanese rule, the persistence of regional identity through folk songs, and the changing social mood reflecting economic hardship and perhaps social displacement in the mid-1930s. The contrast between old and new songs serves as a commentary on the erosion of traditional life and the anxieties accompanying colonial modernity.

**Named Entities**

朴相羲	박상희	Pak Sanghŭi
關北	관북	Kwanbuk
太白	태백	T'aebaek
東海	동해	Tonghae
咸慶道	함경도	Hamgyŏngdo
金德齡	김덕령	Kim Tŏngnyŏng
李舜臣	이순신	Yi Sunsin
朝鮮	조선	Chosŏn
李朝	이조	Yijo
新高山	신고산	Singosan
舊高山	구고산	Kugosan

**Glossary**

듯는	듣는	hearing (older spelling of 듣는)
사모치는	사무치는	piercing, heart-wrenching (older spelling/form of 사무치는)
斷膓曲	단장곡	heartbreaking song
녜로부터	예로부터	from old times (older spelling of 예로부터)
끗는	끓는	heart-rending (lit. 'boiling', older spelling used for intense emotion)
울넝거리게	울렁거리게	to make flutter/throb
영그럽고	영검하고/웅장하고	imposing, majestic (dialect or older term)
달니며	달리며	running (older spelling of 달리며)
멫	몇	a few (older spelling of 몇)
창해	창해	vast blue sea, ocean
이마를 마주대인	이마를 마주 댄	facing each other directly (lit. foreheads touching)
아물거리는	아물거리는	shimmering in the distance
넘우나	너무나	very much, exceedingly (older spelling of 너무나)
잇서	있어	being, existing (older spelling of 있어)
새로웁다	새롭다	is new (older spelling/form of 새롭다)
석긴	섞인	mixed with (older spelling of 섞인)
허구푼	허구픈	hollow, empty (perhaps related to 허허롭다)
엿고	였고	was (older spelling of 였고)
저저잇고	젖어 있고	soaked in (older spelling of 젖어 있고)
많어	많아	many, much (older spelling of 많아)
업슬소냐	없을쏘냐	how could there not be? (rhetorical, older form of 없을까 보냐)
자취조차 업고 보니	자취조차 없고 보니	seeing that there isn't even a trace
어데멜가	어디메인가	where could it be? (archaic/poetic form)
가로막혓고	가로막혔고	was blocked (older spelling of 가로막혔고)
돌여다 보니	돌아다 보니	looking back (older spelling of 돌아다 보니)
흘으는	흐르는	flowing (older spelling of 흐르는)
가엽슨	가엾은	pitiful, poor (older spelling of 가엾은)
엇찌	어찌	how, why (older spelling of 어찌)
맛나	만나	meet (older spelling of 만나)
봣네	봤네	saw (older spelling of 봤네)
才操	재조	talent, skill
威武	위무	dignity, authority, military prowess
不遇	불우	misfortune, lack of recognition, obscurity
덧업시	덧없이	transiently, vainly, meaninglessly (older spelling of 덧없이)
끗막게	끝막게	to end, finish (older spelling/form of 끝마치게/끝막게)
안탁가운	안타까운	regrettable, sad (older spelling of 안타까운)
녹쓰른	녹슨	rusted (older spelling of 녹슨)
한울	하늘	sky, heaven (older spelling/form of 하늘)
우러러	우러러	looking up to
차저	찾아	finding, looking for (older spelling of 찾아)
부르짓는	부르짖는	crying out, shouting (older spelling of 부르짖는)
비곡	비곡	tragic song
어즈러워저	어지러워져	becoming disordered, chaotic (older spelling of 어지러워져)
피 끌는	피 끓는	blood boiling (passionate, enraged; older spelling)
소스라처	솟아나와/솟구쳐	springing up, gushing out (older spelling/form)
퍼저	퍼져	spreading (older spelling of 퍼져)
매저지든	맺어지던	which were formed/tied (older spelling of 맺어지던)
슲음	슬픔	sadness (older spelling of 슬픔)
우루룩	우르르	rumbling sound
반보짐	반보따리	small bundle (lit. half-bundle)
싸누나	싸는구나	is packing! (exclamatory, older spelling/form)
처덕이며	철썩이며	splashing sound (onomatopoeia)
밀여	밀려	pushed, surged (older spelling of 밀려)
갓처	갇혀	confined, trapped (older spelling of 갇혀)
뜻든	뜯던	plucking, gathering (older spelling of 뜯던)
어데론지	어디론지	somewhere (older spelling of 어디론지)
멀니멀니	멀리멀리	far, far away (older spelling/form)
동떠나가니	훌쩍 떠나가니	leaving abruptly/lightly
김매든	김매던	weeding (older spelling of 김매던)
들어가며	들어가며	while listening to (contextual meaning 'while hearing')
차태	자태	figure, appearance, bearing
머-ㅇ하니	멍하니	blankly, vacantly
뽑으며	뽑으며	letting out (a sigh)
탈아쥐고	털어 쥐고	brushing off and gripping again
읊는	읊는	reciting, chanting, singing (poetry or song)
업지마는	없지마는	although there isn't (older spelling of 없지만은)
흘너	흘러	flowing (older spelling of 흘러)
슴여드는	스며드는	seeping into, permeating (older spelling of 스며드는)
