잡지명	삼천리 제8권 제8호
발행일	1936년 08월 01일
기사제목	愛煙記 (A Record of Loving Smoking)
필자	徐廷禧
기사형태	문예기타 (Literary Etc.)

愛煙記
						徐廷禧
It would not be an exaggeration to say that among all the races of the world, very few people who have reached adulthood do not smoke tobacco. This shows just how long the history and relationship between tobacco and humans is. The motive for my starting smoking was quite ordinary; that is, others smoked, so I smoked too. But once I started, I naturally grew attached to it, and now I have developed such a habit that I cannot bear not smoking.

Although things like alcohol and tobacco are medically viewed as not particularly beneficial to the human body, the reason they are nevertheless favored is that both possess a significant degree of sociability. If I were forced to state a reason why I started smoking, it would be this: "If everyone else smokes, and I alone stand <77> outside that circle and do not smoke, I would feel that much more human loneliness." This is my sole reason for smoking. For someone like me who already feels lonely, should I also remain within the circle of loneliness in this regard too?

Thus, after starting to smoke around age 22 or 23, I am now 60, so I have continued for 37 or 38 years, and it has become second nature. Human habits are truly frightening. Now, this "tobacco" has become a distinct presence that cannot be removed from my life. In the organization of my life plan, that is, in the household budget, an item called "tobacco expenses" is included. Seeing it this way, the efficacy of tobacco is established for the first time. Of course, it's useful when receiving guests, and after a meal, one must take a puff to feel refreshed in spirit and have a good taste in the mouth. If I don't smoke, I somehow feel disappointed and sense a staleness in my mouth. Indeed, I can understand the truth and the state of mind behind the old saying, "The best taste after a meal." Besides that, when I feel depressed, I smoke tobacco and calm my mind; when I am upset, there have been countless times I received comfort from this. In a society like ours, trying to live a social life brings many times of weariness, hardship, resentment, and sadness. To endure these, I first feel the efficacy of tobacco. Moreover, when useless thoughts, namely idle thoughts and delusions, arise, if I put a cigarette in my mouth and walk around the garden (?), these delusions tend to disappear.

Furthermore, especially for those like me entering old age, one cannot deny that tobacco has a considerable effect on insomnia, which anyone can experience. In the dead quiet of the third watch when all sounds are still, when the lonely sound of crickets is heard outside the window, when thinking of worldly affairs and tossing and turning, unable to sleep and feeling anxious, this tobacco is a grateful friend (友) that quietly soothes my mind. Also, when pondering something intently, if one ponders too excessively, thought can sometimes get blocked; at such times, smoking this tobacco stimulates the confused <78> perception and helps draw out correct thoughts. These are all effects discovered through long-standing habits since I started smoking.

In the old Chosŏn society, various facts embroidered the history surrounding this "tobacco." This thing called tobacco was something smoked only when interacting with someone on an equal footing. A younger person could not dare to smoke in front of an elder, a lower official in front of a superior official, a person of low birth in front of a person of noble birth, or a commoner in front of a Yangban. As this shaped a long history, it came to be seen even as a virtue, so what more needs to be said?

Therefore, because one could only smoke when facing someone of equal rank, standing, and status, it often caused troubles or brewed estrangement (though it's not like that now). If a student (侍生) smoked in front of a respected elder (尊丈), it was the behavior of an "ill-mannered brat" (호래자식), and smoking in front of a friend of one's father (父執) meant one could not escape misfortune (逢變) and the appellation of a rebellious son (悖子). And even among friends, if a mistake was made due to this, it could lead to breaking off relations.

Is that all? In a situation where it was somewhat awkward for me to smoke voluntarily, if the other person offered their pipe and personally filled it with tobacco for me, I would feel that "he" was being kind and affectionate towards "me," leading to feelings of gratitude and thanks. But if the opposite happened, it would be considered very presumptuous and arrogant, making me think, "Who does he think he is, acting like this just because his position is a bit high?" Even relationships that were normally affectionate could develop rifts and lead to estrangement because of this.

Anyway, just as the relationship between "tobacco" and life has a very long history, it is something anyone can guess that there were many negative side effects. Thus, among the Yangban who wielded influence in the past, there were even some who never smoked in their entire lives to avoid the useless troubles (風波) caused by tobacco. <79>

I love tobacco very much, cherish it, and smoke it well. I usually smoke 2 or 3 packs a day, and through this, I manage and settle all emotions of joy, anger, sorrow, and pleasure. As I get older, I increasingly think, "My only companion is this tobacco." The state of mind I currently have regarding tobacco is:
『細雨江亭 一味新』
(Fine rain at the river pavilion, a fresh taste.)
That quiet realm, sitting alone in a pavilion seemingly asleep or dozing, shrouded in the misty drizzle on a quiet riverbank where fine rain falls softly, silently forgetting the dust of the world (世上風塵) and human glory and disgrace (人間榮辱), taking a long drag of fragrant tobacco and exhaling—hoo—, truly cannot be compared to a single painting (畵). Every time I smoke, I picture this scene and erase it from my mind. (End) <80>
<77-80>

**Summary**

The author, Sŏ Chŏnghŭi, reflects on his nearly 40-year smoking habit, which began simply by imitating others but evolved into a deeply ingrained part of his life. He acknowledges the health concerns but justifies smoking through its social utility and perceived personal benefits, such as combating loneliness, aiding digestion and mental clarity, calming nerves, relieving stress, fighting insomnia, and stimulating thought. He contrasts this personal relationship with tobacco against the strict hierarchical etiquette surrounding smoking in traditional Chosŏn society, where smoking was only permissible between equals and violations could lead to severe social consequences, including broken relationships. He concludes by expressing a deep affection for tobacco as his companion in old age, associating it with a tranquil, reflective state of mind. From a historical perspective, the article offers valuable insights into the social norms and strict hierarchy of traditional Korea, specifically how everyday practices like smoking were regulated by status (age, rank, class). It also provides a personal account of coping mechanisms (using tobacco for stress, loneliness, insomnia) and mentions the inclusion of "tobacco expenses" in household budgets, reflecting aspects of daily life and personal finance during the colonial period.

**Named Entities**

徐廷禧	서정희	Sŏ Chŏnghŭi
朝鮮	조선	Chosŏn

**Glossary**

愛煙記	애연기	Record of Loving Smoking
成年	성년	Adulthood
담배	담배	Tobacco/Cigarette
愛着	애착	Attachment
習性	습성	Habit
안흐나	않으나	(is) not (older spelling)
嗜好	기호	Preference/Taste
社交性	사교성	Sociability
緣故	연고	Reason/Cause
붓처본다텬	붙여본다면	If one were to try and attach (a reason) (older spelling/grammar)
圈外	권외	Outside the circle
孤獨	고독	Loneliness
吸煙	흡연	Smoking
第二天性	제이천성	Second nature
업는	없는	Not having/Lacking (older spelling)
家計	가계	Household budget
煙草代	연초대	Tobacco expenses
項目	항목	Item/Category
効能	효능	Efficacy/Effectiveness
與人接客	여인접객	Receiving guests/Socializing
食後	식후	After a meal
반드신	반드시	Certainly/Surely (older spelling)
爽快	상쾌	Refreshing/Invigorating
口味	구미	Taste (in mouth)/Appetite
엇잰지	어쩐지	Somehow (older spelling)
텁텁함	텁텁함	Stale or stuffy feeling (in mouth)
古人	고인	Ancient person/People of old
第一味	제일미	The best taste
심경	심경	State of mind
慰安	위안	Consolation/Comfort
고달푸고	고달프고	Being weary/exhausted (older spelling)
辛酸	신산	Hardship/Bitterness
痛怨	통원	Grievance/Resentment
서굽푼	서글픈	Sad/Regretful (older spelling)
늣긴다	느낀다	Feel/Sense (older spelling)
잡념	잡념	Idle thoughts/Distractions
忘念	망념	Delusion/Forgetful thoughts
庭園	정원	Garden
거릴면	거닐면	If one walks/strolls (older spelling)
銷却	소각	Elimination/Dispelling
老年	노년	Old age
잡어들면	접어들면	Entering/Reaching (older spelling)
不昧症	불매증	Insomnia (likely typo for 不眠症 불면증)
萬籟	만뢰	All sounds of nature
寂寂한 三更	적적한 삼경	The dead quiet of the third watch (late night)
귀뜨램이	귀뚜라미	Cricket (older spelling)
世事	세사	Worldly affairs
輾輾反側	전전반측	Tossing and turning
잠못드러	잠 못 들어	Unable to fall asleep (older spelling)
애태울 때	애태울 때	When anxious/worried
벗(友)	벗	Friend
맥킬때가	막힐 때가	Times when (it) gets blocked (older spelling)
잇스니	있으니	Because there is/are (older spelling)
混迷	혼미	Confusion/Bewilderment
知覺	지각	Perception/Consciousness
剌戟	자극	Stimulation (likely typo for 刺戟)
끄집어 내이곤 한다	끄집어내곤 한다	Tend to pull out (older spelling)
녯날	옛날	Old days/Formerly (older spelling)
繡노왓	수놓았	Embroidered (older spelling)
어룬	어른	Adult/Elder (older spelling)
下官	하관	Lower official
上官	상관	Superior official
賤한사람	천한 사람	Person of low birth
尊貴한 사람	존귀한 사람	Person of noble birth
상놈	상놈	Commoner (derogatory)
兩班	양반	Aristocratic class (Joseon)
美德	미덕	Virtue
位階	위계	Rank/Hierarchy
處地	처지	Situation/Standing
身分	신분	Social status
往往히	왕왕히	Often/Frequently
波瀾	파란	Troubles/Ups and downs
疏隔	소격	Estrangement/Alienation
비저내고	빚어내고	Causing/Brewing (older spelling)
侍生	시생	Student/Disciple attending a scholar
尊丈	존장	Respected elder/Teacher
호래자식	호래자식	Ill-mannered person/Bastard (derogatory)
父執	부집	Friend of one's father/Respected elder
逢變	봉변	Misfortune/Humiliation
悖子	패자	Rebellious/Unfilial son
絶交	절교	Breaking off relations
담배때	담뱃대	Tobacco pipe
담어주면	담아주면	If one fills [the pipe] for someone (older spelling)
주저넘고	주제넘고	Being presumptuous/Forward (older spelling)
傲慢하게	오만하게	Arrogantly
제까지 것	제까짓 것	Someone like him/That sort of person (derogatory, older spelling)
지위	지위	Position/Status
놉다고	높다고	Being high (older spelling)
사히도	사이도	Relationship also (older spelling)
틈이 버러저	틈이 벌어져	A rift opens up (older spelling)
左右間	좌우간	Anyway/In any case
부작용	부작용	Side effect/Negative consequence
行勢하든	행세하던	Who wielded influence/put on airs (older spelling)
風波	풍파	Troubles/Disturbances
늘거갈사록	늙어갈수록	As one gets older (older spelling)
伴侶	반려	Companion
업느니라	없느니라	There is none (older spelling/formal)
생각키워진다	생각되어진다	Comes to think (older spelling/passive form)
細雨江亭 一味新	세우강정 일미신	Fine rain at the river pavilion, a fresh taste (Chinese poetry phrase)
이실비	이슬비	Drizzle/Fine rain
파무처	파묻혀	Buried in/Engulfed by (older spelling)
조으는 듯한	조는 듯한	As if dozing (older spelling)
亭子	정자	Pavilion
世上風塵	세상풍진	Dust of the world/Worldly affairs
人間榮辱	인간영욕	Human glory and disgrace
寂然히	적연히	Quietly/Silently
잇고	잊고	Forgetting (older spelling)
한목음	한 모금	One puff/drag/sip
쭉빨어	쭉 빨아	Taking a long drag (older spelling)
내품는	내뿜는	Exhaling
境地	경지	State/Realm
그림(畵)	그림	Picture/Painting
정경	정경	Scene/Spectacle


---------------------------


잡지명	삼천리 제8권 제8호
발행일	1936년 08월 01일
기사제목	愛煙記
필자	徐廷禧
기사형태	문예기타

愛煙記
						徐廷禧
