Magazine Title: 삼천리 제4권 제8호
Publication Date: 1932-07-01
Article Title: 최근 출옥한 朴昊辰 여사, 어느 하로의 스켓취 (A Sketch of a Day with Ms. Pak Ho-jin, Recently Released from Prison)
Author: Unspecified (likely a staff reporter)
Article Type: 대담·좌담 (Interview/Discussion)

A Sketch of a Day with Ms. Pak Ho-jin, Recently Released from Prison

The rainy season had ended, but the sky hadn't cleared properly, and the weather was extremely muggy.
It was around two in the afternoon when this reporter visited the Kyŏngsŏng branch of the Kŭnuhoe (槿友會) to meet Ms. Pak Ho-jin (朴昊辰), who had been released from prison a month earlier.

Entering the courtyard, a door that had long been closed was open, and there was a sense that even the air inside the hall had cleared.
As the reporter approached, someone came out from inside the hall to greet me; it was none other than Ms. Pak, whom I was looking for.
She looked much younger and more affectionate than I had imagined.

To the reporter's question, "How much hardship have you endured?", Ms. Pak replied with a smile in her eyes, her speech slightly tinged with a P'yŏngan Province accent,
"What hardship? I just sat quietly inside and came out, what trouble could there have been?"

"Where are you staying now?"
"My house is nearby, but I am staying here."
"Are you handling office work?"
"No. There isn't much work, but these days I spend more time at the hospital because of illness."
"What illness is it? It must be something you contracted there, right?"
"Anyway, I don't know how many illnesses there are. Ear trouble, nose trouble, eye trouble, heart problems, nervous exhaustion... it's become like this. I can't do anything."

"How long were you in prison?"
"I came out after three years."
"You were there for quite a long time."
"Others stay for 10 years, what's so long about mine?"
"Was this your first time?"
"I'd been in detention centers many times, even several times a year, but this was my first time in prison."

"What were your impressions comparing being in a detention center versus prison?"
"There aren't any special impressions, but in the detention center, my mind wasn't calm, I'd prick up my ears hoping to hear some news from the people coming in, and I'd look forward every day wondering when I'd get out. But once you resign yourself to prison time, your mind becomes completely empty, and you just have the thought of living the prison life for a certain period."

"I'd like it if you could tell me in detail what you felt in prison."
"Can I organize it like that right now? I'll tell you slowly."

"Are the systems and facilities the same in men's and women's prisons?"
"I don't know that well. I've never seen a men's prison. They absolutely don't show you."

"What kind of clothes do you wear?"
"While awaiting trial, we wear blue clothes (靑服), but after sentencing, we wear red clothes, a Japanese 'haori'."

"Are female prisoners kept in solitary cells?"
"There are some who are kept in solitary, but they usually put several together in one room."
"Were you in a solitary cell, Ma'am?"
"Yes, I was in solitary."
"In terms of prison life, which is better: being in solitary or being with several people together?"
"I found being alone much better."

"I suppose you have to sit kneeling all day long?"
"That's right, but there's also exercise time once a day, and when the guard isn't looking, it's okay to sit comfortably. But when the guard is watching, you must kneel."

"Can you use the restroom freely? And what about when you want to drink water?"
"It's unrestricted. And they bring water three times a day in a small container, so you can drink if you want."

"When you're sitting alone in your cell, don't you think about the outside world? And about your parents, siblings, friends?"
"Why wouldn't I? There's nothing to do all day, and you often end up repeating the same thought many times. And you keenly wish you could meet even someone you met just once somewhere."

"You must be able to read a lot."
"Yes, you can. In summer, you wake up at five in the morning and go to sleep at half-past eight in the evening, so you can read freely during that time."

"Isn't the feeling different when reading in prison compared to reading at home?"
"The feeling might not be different, but if reading at home, you might waste even a little time, whereas in the cell, you can spend the entire day just reading, so that point is different."

"What kind of books did you read, Ma'am?"
"Until September last year, I could read books freely, but after September, the rules changed, and they only permitted literature-related books. At first, I read economics and sociology, but after September, I read things like collections of literary works."

"They say you studied a lot about literature when you were in Kwangtung (廣東). It seems like it would be good for you to write about your feelings from prison life?"
"I will write about it in the future." Having secured this promise, as I was about to stand up, Ms. Pak kindly told the reporter,
"Next time you visit, please don't come as a reporter, but come as a friend." I left her with a brief reply and stepped out the door. <49>

**Summary**

This 1932 article is an interview with Pak Ho-jin, a female activist recently released after three years in prison during the Japanese colonial period. She discusses the harsh realities of prison life, including the psychological differences between detention and long-term imprisonment, the daily routine, mandatory kneeling, restricted reading materials (shifting from social sciences to only literature after a rule change), and the severe health problems she developed (ear, nose, eye, heart issues, nervous exhaustion). Despite the hardship, she maintains a composed demeanor, contrasting her experience with those serving longer sentences and finding solitary confinement preferable. She expresses a longing for human connection and promises to write about her experiences later. The interview concludes with her requesting the reporter visit next time as a friend, not just for work.

For historians, the article offers a valuable first-hand account of the conditions faced by female political prisoners in colonial Korea. Particularly interesting are the specific details about prison garb (blue pre-trial, red post-sentencing), the mention of censorship restricting reading material primarily to literature after September 1931 (possibly related to the Manchurian Incident and tightening controls), the severe health consequences of imprisonment, and Pak's comparison of detention centers (temporary, uncertain) versus prison (resignation, long-term). Her request for friendship hints at the isolation felt even after release and the desire for genuine connection beyond political roles.

**Named Entities**

朴昊辰	박호진	Pak Ho-jin
槿友會	근우회	Kŭnuhoe
京城	경성	Kyŏngsŏng
平安道	평안도	P'yŏngan Province
廣東	광동	Kwangtung

**Glossary**

하로	하루	One day (older spelling)
스켓취	스케치	Sketch
끈첫으나	끊겼으나	Although it stopped/ended (older spelling/grammar)
日氣	일기	Weather (Hanja term)
차젓을	찾았을	When (I) visited/looked for (older spelling)
맛나려	만나려	To meet (older spelling)
마저주는	맞아주는	Greeting, welcoming (older spelling)
찻는	찾는	Looking for, seeking (older spelling)
보혓다	보였다	Looked, appeared (older spelling)
하섯슴닛가	하셨습니까	Did you do? (older polite interrogative ending)
말세	말씨	Way of speaking, accent
석긴	섞인	Mixed (older spelling)
처	쳐	Doing (auxiliary verb, older spelling)
안젓다	앉았다	Sat (older spelling)
무삼	무슨	What kind of (older spelling)
잇겟슴닛가	있겠습니까	Will there be? (older polite interrogative ending)
어듸	어디	Where (older spelling)
게시지요	계시지요	Are you (honorific)? (older spelling)
뎌는	저는	I am (humble, older spelling)
업지만	없지만	Although there isn't (older spelling)
만담니다	많습니다	There are many (older polite ending)
엇으신	얻으신	(Disease) contracted/gotten (older spelling)
몰으겟서요	모르겠어요	I don't know (older spelling)
귓병	귓병	Ear disease/trouble
코ㅅ병	콧병	Nose disease/trouble (older spelling with 사이시옷)
이럿케	이렇게	Like this (older spelling)
게섯지요	계셨지요	Were you (honorific)? (older spelling)
몃	몇	Several, how many (older spelling)
갓슴닛가	같습니까	Is it the same? (older spelling)
엇더하십딋가	어떠하십니까	How is it? What is it like? (older polite interrogative ending)
안코	않고	Not doing and... (older spelling)
드를가	들을까	Whether (I) can hear (older spelling)
기우리게	기울이게	To lean, incline (ears) towards (older spelling)
날마당	날마다	Every day (older spelling)
붓흐면	붙으면	If attached to, if resigned to (older spelling)
노히고	놓이고	To be put down, released, relieved (older spelling)
살님	살림	Living, household affairs (here: prison life)
살니라는	살리라는	That one will live (older spelling)
늣긴	느낀	Felt (older spelling)
자서히	자세히	In detail (older spelling)
이약이해	이야기해	Tell, speak (older spelling)
달너젓다고	달라졌다고	That it changed (older spelling)
허락하겟지요	허락했지요	Permitted, allowed (context suggests past tense; older future/conjecture form used)
읽엇는데	읽었는데	Read, but... (older spelling)
읽엇슴니다	읽었습니다	Read (older polite ending)
靑服	청복	Blue clothes (Hanja term)
뻘건	뻘건	Red (colloquial)
하오리	하오리	Haori (Japanese short coat)
여죄수	여죄수	Female prisoner (Hanja term)
녜	네	Yes (older spelling)
조흘가요	좋을까요	Would it be good? (older spelling)
꿀고	꿇고	Kneeling (older spelling)
식	씩	Each, per (older spelling)
간수	간수	Guard
안저도	앉아도	Even if sitting (older spelling)
안저야지요	앉아야지요	Must sit (older spelling)
잇스며	있으며	And there is (older spelling)
십흔	싶은	Wanting to (older spelling)
엇점닛가	어쩝니까	What does one do? How is it handled? (older spelling)
조고마한	조그마한	Small (older spelling)
듸려보내주니까	들여보내주니까	Because they put it in and send it (older spelling)
십흐면	싶으면	If one wants (older spelling)
웨	왜	Why (older spelling)
업구요	없고요	And there isn't (older spelling)
만케됨니다	많게 됩니다	It becomes many/frequent (older spelling)
맛낫든	만났던	Whom I met (older spelling)
맛낫스면	만났으면	If I met (older spelling)
만히	많이	A lot, much (older spelling)
아츰	아침	Morning (older spelling)
니러나서	일어나서	Waking up (older spelling)
여듧시	여덟 시	Eight o'clock (older spelling)
자닛까	자니까	Because one sleeps (older spelling)
안습딋가	않습니까	Isn't it? (older polite negative interrogative ending)
잇스닛까	있으니까	Because there is (older spelling)
엇던	어떤	What kind of (older spelling)
읽으섯슴닛가	읽으셨습니까	Did you read (honorific)? (older polite interrogative ending)
문예	문예	Literature and art (Hanja term)
연구하섯다는데	연구하셨다는데	They say you researched (older spelling)
하시든	하시던	That you were doing (older spelling)
십흔데요	싶은데요	I think it would be... (older polite ending)
쓰겟슴니다	쓰겠습니다	I will write (older polite ending)
매저	맺어	Making (a promise), tying (older spelling)
이러서라고	일어서려고	As I was about to stand up (older spelling)
차저줄	찾아줄	Visit (me) (older spelling)
차저주지	찾아주지	Not visiting (older spelling)
동무	동무	Friend, comrade
달나고	달라고	Asking to... (older spelling)
밧그로	밖으로	Outside (older spelling)


---------------------------


잡지명	삼천리 제4권 제8호
발행일	1932년 07월 01일
기사제목	최근 출옥한 朴昊辰 여사, 어느 하로의 스켓취
기사형태	대담·좌담

최근 출옥한 朴昊辰 여사, 어느 하로의 스켓취
