Rank	Word	Frequency
1	하야	828
2	나	186
3	말	174
4	섯다	150
5	하얏다	148
6	사람	145
7	우리	117
8	하니	113
9	그것	103
10	가티	91
11	太祖	87
12	다시	83
13	생각	77
14	朝鮮	71
15	안이	67
16	가지	66
17	모든	62
18	기사	60
19	하나	58
20	이나	57
21	되엿다	57
22	소리	57
23	하얏스	57
24	모양	56
25	하엿다	52
26	보고	51
27	눈	51
28	지금	44
29	동안	39
30	所謂	39
31	다만	39
32	듯이	39
33	더욱	37
34	처음	37
35	서서	37
36	農業	37
37	當時	35
38	손	35
39	日本	33
40	까닭	33
41	무슨	33
42	개벽	32
43	안해	32
44	대한	31
45	잡지	30
46	제호	30
47	발행	30
48	제목	30
49	형태	30
50	太宗	30
51	울음	30
52	무엇	29
53	이번	29
54	英國	29
55	하엿스	28
56	大院君	28
57	리하	28
58	눈물	28
59	마는	28
60	또한	28
61	하얏	28
62	이오	27
63	가슴	27
64	낫다	27
65	勞働者	27
66	일이	26
67	다가	26
68	동시	25
69	다른	25
70	아모	25
71	生命	25
72	朝鮮人	25
73	부터	25
74	얼마나	24
75	마음	24
76	머리	23
77	여긔	23
78	친구	23
79	안코	23
80	자기	23
81	시작	23
82	보아	23
83	不幸	23
84	군중	23
85	너	22
86	組織	22
87	집	22
88	李太祖	22
89	無産階級	22
90	그때	22
91	사실	21
92	이제	21
93	입	21
94	天津	21
95	國民軍	21
96	따라서	21
97	크게	21
98	이름	21
99	직공	21
100	거리	20
101	가장	20
102	關係	20
103	한번	19
104	서로	19
105	업스	19
106	필자	19
107	北京	19
108	여러	19
109	卽位	19
110	누구	18
111	역시	18
112	로부터	18
113	京城	18
114	그로	18
115	張作霖	18
116	勢力	18
117	잇스	18
118	엿다	18
119	其後	18
120	주인	18
121	로써	17
122	一時	17
123	한편	17
124	보지	17
125	現實	17
126	李朝	17
127	苦痛	17
128	端宗	17
129	공장	17
130	勿論	16
131	自己	16
132	잇슬	16
133	逃避	16
134	고통	16
135	먼저	16
136	하랴	16
137	밥	16
138	同時	16
139	이란	16
140	얼골	16
141	工業	16
142	스스로	15
143	仁祖	15
144	米國	15
145	이상	15
146	하자	15
147	발	15
148	問題	15
149	吳佩孚	15
150	事實	15
151	運動	15
152	그러케	15
153	眞理	15
154	政權	15
155	世上	15
156	얼굴	15
157	물	15
158	生活	15
159	懷疑	15
160	혼자	15
161	在位	15
162	바이	14
163	거의	14
164	人民	14
165	대하	14
166	관계	14
167	대개	14
168	비록	14
169	왓다	14
170	政府	14
171	民衆	14
172	점점	14
173	얼마	14
174	世界	14
175	더니	14
176	삼고	14
177	時代	14
178	世宗	14
179	王氏	14
180	靑吾兄	14
181	벙어리	14
182	그날	14
183	용광로	14
184	경관	14
185	하엿는데	13
186	한가지	13
187	대로	13
188	征服	13
189	自由	13
190	만일	13
191	압흐	13
192	感情	13
193	간다	13
194	하든	13
195	社會	13
196	黨爭	13
197	세상	13
198	人生	13
199	總罷業	13
200	獨逸	13
201	如斯	13
202	其時	13
203	世子	13
204	領相	13
205	然而	13
206	하루	13
207	목소리	13
208	당시	12
209	과연	12
210	翌年	12
211	조선	12
212	하라	12
213	저서	12
214	아모리	12
215	사이	12
216	昨年	12
217	作品	12
218	第一	12
219	자가	12
220	매우	12
221	日本人	12
222	以上	12
223	鬪爭	12
224	대답	12
225	그냥	12
226	별안간	12
227	기미	12
228	인하	11
229	그대로	11
230	宣祖	11
231	革命	11
232	形勢	11
233	토지	11
234	문제	11
235	오늘	11
236	사랑	11
237	싸움	11
238	도로	11
239	타고	11
240	보이	11
241	하얏슴	11
242	開始	11
243	如何	11
244	생명	11
245	거름	11
246	風景	11
247	언제	11
248	運命	11
249	웃음	11
250	幸福	11
251	마츰	11
252	元年	11
253	八年	11
254	淸國	11
255	丹毒	11
256	農村問題	11
257	階級	11
258	당한	10
259	한참	10
260	朝廷	10
261	多數	10
262	생기	10
263	고로	10
264	누가	10
265	바람	10
266	이로	10
267	하리	10
268	意識	10
269	其他	10
270	主張	10
271	反對	10
272	卽時	10
273	注射	10
274	花鬪	10
275	經營	10
276	困難	10
277	아이	10
278	世道	10
279	沒落	10
280	위해	10
281	잇섯스	10
282	國家	10
283	거긔	10
284	坑夫	10
285	崩御	10
286	世祖	10
287	未久	10
288	外戚	10
289	西人	10
290	哲宗	10
291	엇다	10
292	의사	10
293	入院	10
294	일종	10
295	루마	10
296	논설	9
297	소위	9
298	高麗	9
299	明國	9
300	江華	9
301	개량	9
302	전부	9
303	걱정	9
304	다리	9
305	일도	9
306	中國	9
307	新聞	9
308	成立	9
309	記憶	9
310	다음	9
311	結局	9
312	小作人	9
313	支配	9
314	天下	9
315	한지	9
316	資本主義	9
317	현실	9
318	불	9
319	오히려	9
320	말러	9
321	도록	9
322	감독	9
323	三角同盟	9
324	石炭	9
325	地方	9
326	이치	9
327	거니	9
328	二年	9
329	五年	9
330	四年	9
331	반듯이	9
332	당신	9
333	정신	9
334	소래	9
335	고서	9
336	澄玉	9
337	가운	9
338	것이엇다	9
339	물건	9
340	都市	9
341	보혓다	9
342	미고	9
343	제군	9
344	최후	8
345	겨우	8
346	丙寅	8
347	歷史	8
348	李适	8
349	소식	8
350	나라	8
351	결코	8
352	자리	8
353	고의	8
354	업슬	8
355	현재	8
356	飛行機	8
357	馮玉祥	8
358	大連	8
359	調査	8
360	一般	8
361	自然	8
362	그림	8
363	버릇	8
364	길이	8
365	靜物	8
366	女子	8
367	이면	8
368	大正	8
369	불길	8
370	바다	8
371	加入	8
372	利害	8
373	不平	8
374	農村	8
375	資本家	8
376	諸君	8
377	安州	8
378	나무	8
379	생활	8
380	要求	8
381	反抗	8
382	人間	8
383	團結	8
384	憂鬱	8
385	달이	8
386	월급	8
387	勞働運動	8
388	組合員	8
389	尙又	8
390	罷業	8
391	보기	8
392	炭鑛業	8
393	組織的	8
394	失敗	8
395	하겟다	8
396	미리	8
397	鄭道傳	8
398	昇遐	8
399	此外	8
400	兩人	8
