Magazine Title: 삼천리 제12권 제3호
Publication Date: 1940-03-01
Article Title: 北京의 朝鮮人 (Koreans in Peiping)
Author: 從軍文士 林學洙 (Military-Affiliated Writer Im Haksu)
Article Type: 논설 (Editorial/Argumentative Essay)

Koreans in Peiping
						Military-Affiliated Writer Im Haksu

Korean Temperament

Talk with a certain administrative official at the Government-General's branch office in Tongdangja Hutong, Peiping:
—Koreans in North China have a very bad reputation. Although there are exceptions, generally speaking, the reasons are twofold: 1. The occupation of Koreans is smuggling prohibited goods like morphine (모히) and cocaine. 2. They commit dishonest acts such as fraud and extortion against good Chinese people. There are about 40,000 Koreans residing in North China, most of whom came from Manchuria. 95% of them hang signs for sundry goods stores on the surface, but in reality, more than half are smugglers. In truth, the Chinese absolutely need morphine. Therefore, depending on the place, they even protect these smugglers. Also, it's not only Koreans who smuggle. And the wholesalers ("오로시모도") are foreigners. They even bring it in loaded onto X ships. Ultimately, Koreans act as their hands and feet, but the problem is that most Koreans engage in smuggling.
The purpose of this Holy War (聖戰) is, from a humanitarian perspective, to guide them, not to make them self-destruct by selling morphine. Therefore, Koreans naturally become the target of crackdowns (取締). The countermeasure for this is to have such people switch occupations. So, we are currently preparing farms along the Peiping-Hankou Railway line (京漢線), gathering them there to engage in farming, and plan to provide them with capital.
However, more difficult than this is engaging in delinquent behavior, relying on [Japanese] power. Many Koreans came [to North China] before the Incident [Second Sino-Japanese War began], have close relationships with Chinese life, and are fluent in Chinese. Thus, many are employed as interpreters for the army or military police, and among them are indeed many brave, loyal, and excellent people. But some people use these interpreters and their influence to obtain houses and not pay rent (貰錢), or frequently requisition rice.
Therefore, such actions are creating a major obstacle to the development of Koreans in North China, and the Chinese people come to bear resentment towards Koreans.
Recently, all aspects are gradually improving.—
There were also those who came to North China before the Incident and achieved considerable success through steady occupations. However, those who rushed in like a flood right after the Incident, dreaming of a windfall, whether men or women, were different from the farmers migrating collectively to Manchuria—whose lives are difficult but who remain simple, innocent, and lovable to the end—they were people trying to live solely by cunning and deceit <278> . No matter if a Chinese person is a coolie (쿠우리), don't they thoroughly observe their people's unique etiquette? Why do we dare to do things that bring disgrace upon all of us for the sake of small, immediate profits? There might be room for sympathy if they turn to that path because they have no capital, cannot find employment, and have nothing to eat. However, to dismiss it so simply is a problem that has too great an impact in various senses on those who follow, harboring ambitions for continental expansion. Fortunately, the authorities say they will provide farms and even arrange capital in the future, so I pray that the land will be fertile, free from natural disasters, and that many sacred pioneers will emerge quickly.

Solution Method

Our resident compatriots can be divided into four groups: Those with steady occupations; those engaged in incomparably brave activities under the guidance of the military or authorities; the aforementioned smugglers of prohibited goods; and those running restaurants and similar establishments (等屬) with women. The first two are praised worldwide but are a very small minority. So, how can we restore our honor? We must pioneer legitimate work through our own efforts. It is utterly impossible for the authorities to guide every single one of the many people flooding into North China daily and establish their livelihoods. As a method other than farms, influential private companies should emerge to accommodate the outstanding individuals among them, and also maintain contact to some extent with the general residents. Some time ago, an influential person in Peiping, harboring this ambition and with the understanding of the authorities, came to Sŏul and tried to act, but although the businessmen in Korea greatly sympathized with his intent, they ultimately hesitated to provide funds, despite his taking responsibility for 100,000 won towards creating a 500,000 won trade company for local products (物産), and it is said to have failed. (Omitted below) <279>

**Summary**

The article, written by a Korean writer affiliated with the Japanese military in 1940, discusses the negative reputation of the approximately 40,000 Koreans residing in Peiping (North China). It cites official sources stating that many Koreans are involved in smuggling morphine and cocaine or use their positions (like interpreters for the Japanese military) to exploit local Chinese, leading to resentment. The author contrasts these Koreans with the "pure" Korean farmers migrating to Manchuria and laments the damage to the collective reputation. Proposed solutions include government-sponsored agricultural resettlement along the Kyŏnghansŏn railway and the establishment of legitimate Korean-run businesses, though an attempt to fund such a company failed due to lack of investment from businessmen in Korea.

Historically, the article is interesting as it reflects the complex social dynamics and stratification within the Korean diaspora under Japanese rule. It highlights the participation of some Koreans in illicit activities facilitated by the colonial structure, the Japanese authorities' perspective on controlling this population (framed paternalistically as part of the "Holy War"), and the internal Korean discourse (from a pro-Japanese viewpoint) about morality, reputation, and economic upliftment in the occupied territories. The author's perspective as a "Chonggun Munsa" provides insight into the collaborationist narrative regarding Korean colonial subjects' behavior and the perceived need for their reform aligned with Japanese imperial goals.

**Named Entities**

北京	북경	Pukkyŏng/Peiping
朝鮮人	조선인	Chosŏnin (Korean people)
從軍文士	종군문사	Chonggun Munsa (Military-Affiliated Writer)
林學洙	임학수	Im Haksu
東堂子胡同	동당자호동	Tongdangja Hutong
總督府 出張所	총독부 출장소	Ch'ongdokpu Ch'ulchangso (Government-General Branch Office)
北支	북지	Pukchi (North China)
中國人	중국인	Chunggugin (Chinese people)
滿洲	만주	Manju (Manchuria)
京漢線	경한선	Kyŏnghansŏn (Peiping-Hankou Railway)
朝鮮	조선	Chosŏn (Korea)
서울	서울	Sŏul

**Glossary**

胡同	호동	Hutong (Type of narrow street or alley in Beijing)
총독부	총독부	Government-General (Referring to the Japanese Government-General of Korea)
출장소	출장소	Branch office
담	담	Talk, conversation (Older form/usage)
평판	평판	Reputation
예외	예외	Exception
개괄적	개괄적	General, overall
금제품	금제품	Prohibited goods
밀매	밀매	Smuggling, illicit trade
사기	사기	Fraud, deception
공갈	공갈	Extortion, blackmail
불량	불량	Delinquent, dishonest
재주	재주	Residing in
사란들	사람들	People (Older spelling/pronunciation of 사람들)
실질적	실질적	Actual, real
대반	대반	More than half (Archaic or regional term for 과반 過半)
절대로	절대로	Absolutely
보호하여	보호하여	To protect
오로시모도	오로시모토	Wholesaler (From Japanese おろしもと - oroshimoto)
수족	수족	Hands and feet (metaphorically, subordinate or agent)
성전	성전	Holy War (Referring to the Second Sino-Japanese War from the Japanese perspective)
인도적	인도적	Humanitarian
지도하다	지도하다	To guide, lead
자멸	자멸	Self-destruction
취체	취체	Crackdown, regulation, control (From Japanese 取締 - torishimari)
대책	대책	Countermeasure, plan
생업	생업	Livelihood, occupation
전향	전향	Change of direction, conversion (here, changing occupation)
연선	연선	Along the railway line
농장	농장	Farm, plantation
융통하다	융통하다	To finance, lend money, accommodate
세력	세력	Power, influence
사변	사변	Incident (Referring to the start of the Second Sino-Japanese War, 1937)
밀접한	밀접한	Close, intimate
능하다	능하다	To be proficient, skilled
기용하다	기용하다	To appoint, employ
충직한	충직한	Loyal, faithful
훌륭한	훌륭한	Excellent, admirable
가옥	가옥	House, building
세전	세전	Rent money (貰錢)
미곡	미곡	Rice
징발	징발	Requisition, commandeer
장해	장해	Obstacle, hindrance (Modern: 장애)
원한	원한	Resentment, grudge
호전하다	호전하다	To improve, get better
착실한	착실한	Steady, reliable, diligent
일확천금	일확천금	Making a fortune overnight, windfall
물밀듯	물밀듯	Like a flood, surging in
꾀	꾀	Cunning, trickery
속임수	속임수	Deceit, trick
쿠우리	쿠리	Coolie (Laborer, often used for Chinese laborers)
독특한	독특한	Distinctive, unique
욕되다	욕되다	To be disgraceful, shameful
이끝	이끝	Profit, gain (Older term, modern 이익)
감히	감히	Daringly, boldly
동정하다	동정하다	To sympathize
단순히	단순히	Simply
집어치우다	집어치우다	To dismiss, put aside
대륙 진출	대륙 진출	Continental expansion/advance (Referring to expansion into mainland China)
후진	후진	Those who come after, successors, younger generation
당국	당국	The authorities
베풀다	베풀다	To provide, bestow, set up
비옥하다	비옥하다	To be fertile
천재	천재	Natural disaster
신성한	신성한	Sacred, holy
개척자	개척자	Pioneer, settler
축원하다	축원하다	To pray for, wish earnestly
거류민	거류민	Resident compatriots, expatriates
관헌	관헌	Government official, authorities
무비	무비	Incomparable, unparalleled
등속	등속	Etc., and the like, similar establishments
만회하다	만회하다	To restore, recover
정당한	정당한	Legitimate, rightful
일일이	일일이	One by one, individually
민간	민간	Civilian, private sector
유력한	유력한	Influential, powerful
수용하다	수용하다	To accommodate, accept
연락	연락	Contact, connection
포부	포부	Ambition, aspiration
양해	양해	Understanding, consent
실업가	실업가	Businessman, industrialist
제씨	제씨	Messrs., gentlemen (Plural honorific)
찬동하다	찬동하다	To approve, agree with
물산	물산	Local products, commodities
무역회사	무역회사	Trading company
책임지다	책임지다	To take responsibility for
주저하다	주저하다	To hesitate
하략	하략	Omitted below


---------------------------


잡지명	삼천리 제12권 제3호
발행일	1940년 03월 01일
기사제목	北京의 朝鮮人
필자	從軍文士 林學洙
기사형태	논설

北京의 朝鮮人
						從軍文士 林學洙
朝鮮人 氣質

北京 東堂子胡同 총독부 출장소 내의 모 사무관 談
―北支의 朝鮮人은 대단히 평판이 나쁘다. 물론 예외도 있지만, 개괄적으로는 원인이 둘로 나뉘는데, 1은 朝鮮人의 직업이 모히, 코카인의 禁制品을 밀매하는 것. 2는 선량한 中國人의게 사기, 공갈 등 불량한 행위를 하는 것. 北支 在住 약 40,000명인데 대개는 滿洲에 있다가 들어온 사란들로 9할 5분은 표면 잡화점 등의 간판을 걸고 있으나, 실질적으로는 그 대반이 밀매자이다. 사실 중국인은 모히를 절대로 필요로 한다. 그러므로 장소에 따라는 그들이 이 밀매자들을 보호하여 주기로 한다. 또한 朝鮮人만이 밀매하는 것은 아니다. 그리고 「오로시모도」는 외국인이다. 그들은 X艦에다 실고 오기까지 한다. 결국은 조선인이 그 수족 노릇을 하는 것으로 문제는 조선인은 대부분이 밀매를 한다는 것이다.
이번 聖戰의 목적하는 바는 인도적으로 그들을 지도하자는 것이요, 「모히」를 팔아 자멸케 하는 것은 아니다. 그러므로 자연 取締의 대상은 조선인이 된다. 이의 대책으로는 그런 사람들에게 생업을 전향시키는 것이다. 그래 京漢線 연선에다 방금 농장을 준비하고, 거기 모여 농작을 하게 하고 자본을 융통하여 줄 계획이다.
그러나 이 보다도 곤란한 것은 세력을 믿고 불량한 행위를 하는 것이다. 조선인은 사변 전부터 들어온 사람이 많어, 중국인의 생활과는 밀접한 관계를 가지고 있어 중국어도 능하다. 그래 군이나 헌병대의 통역으로 많이 기용하는데, 그 중에는 실로 용감하고 충직한 훌륭한 사람도 많다. 그러나 어떤 사람들은 이 통역 등을 가운데에 두고, 그의 세력을 빌어 가옥을 얻고 貰錢을 아니 내거나 미곡을 징발하는 수가 종종 있다.
그러므로 이러한 일들이 北支에 있어서의 조선인의 발전에 큰 장해을 일으키고 있고, 또 중국인은 조선인에게 원한을 가지게 된다.
최근에 와서는 모든 점이 차차 호전하여 지고는 있다.―
사변 전부터 北支에 들어와 착실한 직업으로 상당히 성공한 이도 있었습니다. 그러나 사변 직후 일확 천금을 꿈꾸고 물밀듯 밀려든 그들은 남자나 여자나 차라리 滿洲로 집단 이민이 되어가는, 그 생활은 어려우나, 끝까지 소박하고 순진하고 사랑스러운 농민들과는 유달리 오로지 세상을 꾀와 속임수로 살아가려는 사람들이 <278> 었습니다. 중국인은 아무리 쿠우리일지라도 그 민족의 독특한 예의라든지는 철저히 지키지 않습니까. 왜 우리는 우리네 전체에게 辱되는 일을 눈 앞의 적은 이 끝을 위하여 감히 한다는 말이요. 자본 없고 취직 못하고 먹을 것이 없어 그 길로 나서는 건 동정할 여지도 있기는 합니다. 그러나 그떻게 단순히 집어 치우기에는 대륙 진출의 뜻을 둔 후진에게 아니 여러 가지 의미로 너무나 영향이 큰 문제입니다. 다행히 당국에서는 장차 농장을 베풀고 자본까지 융통하여 준다 하니, 부디 그 땅이 비옥하고 또 天災도 없어 하루 속히 신성한 개척자가 많이 나기를 축원합니다.

解決 方法

우리들의 거류민은 넷으로 나눌 수가 있읍니다. 착실한 직업을 가진 이와 군이나 관헌의 지도 하에서 勇敢無比한 활동을 하는 이와 위에 말한 禁制品 밀매자와 여자를 더불고 가서 하는 요리점. 等屬. 전자의 둘은 세계에서도 칭찬하고 있으나 극소수입니다. 그러면 어떻게 하여야 명예를 만회할가? 자기의 힘으로 정당한 일을 개척하여야 할 것입니다. 매일 北支로 北支로 밀려드는 그 많은 사람들을 일일이 관헌이 지도하고 생계를 세워줄 수는 도저히 없는 일입니다. 농장 이외의 방법으로는 민간으로서의 유력한 회사가 생겨서 거기 우수한 분자는 수용하고, 또 일반 거류민도 어느 정도로 연락을 가질 것입니다. 얼마전 이 포부를 가지고 당국의 양해 하에 北京의 어떤 유력한 이가 서울 와서 활동하였으나 朝鮮 안의 실업가 제씨는 그 뜻에는 크게 찬동하면서도, 결국 자기가 500,000원의 物産무역회사를 만들기 위하여 100,000원을 책임지겟담에도 불구하고 다 자금 내기를 주저하여 실패하였다 합니다. (하략) <279>
<278-279>
