Magazine Title: 삼천리 제14권 제1호
Publication Date: 1942년 01월 01일
Article Title: 가난과 不幸에 生涯를 마친 天才 슈-벨트 (The Genius Schubert, Who Ended His Life in Poverty and Misfortune)
Author: 白雲草 (Paek Un-ch'o)
Article Type: 문예기타 (Arts/Miscellaneous)

The Genius Schubert, Who Ended His Life in Poverty and Misfortune
						By Paek Un-ch'o

The Lark Poem Romance

It was a morning in July 1826. A poor young man entered a shabby restaurant in a back alley of Vienna (繩也納). He seemed like a wanderer who had come through villages and towns, across fields and over mountains, on a long, distant journey.
He looked quite tired. Sitting down at a table, he first took off his glasses and wiped them with a dirty handkerchief. The glasses had become fogged with dust and dew drops from tree leaves. At his table, a certain pretty young woman was eating breakfast while flipping through Shakespeare's "Cymbeline."
The wanderer's eyes fell upon a certain page in that book.
"Hark, hark! the lark at heaven's gate sings,"
The poem of the lark, beautifully warbling in the blue sky, seemed to be drawn into the wanderer's eyes. - And at that moment,
"Ah!"
Unwittingly, he exclaimed aloud.
"A wonderful melody just came to mind! Isn't there any staff paper (五線紙)? Staff paper?"
He said this, looking around his surroundings. But there was no way staff paper would be in such a place. Looking crestfallen, as if the melody that had surfaced in his head might disappear, he fidgeted.
The young woman who had been flipping through the book was initially wide-eyed at this sudden intrusion, then startled by the strange man's actions, she stared fixedly at him for a moment. But, having thought of something, the young woman took a pencil, quickly drew five lines on the back of the menu (메뉴-) on the table, and gave it to the wanderer.
Without a word of thanks, the wanderer rapidly wrote musical notes onto the impromptu staff paper (卽製의 五線紙).
Having finished writing, he let out a deep breath, smiled faintly, nodded gently (目禮), and showed the melody to the young woman.
"Oh, it's truly lovely."
The young woman who had been reading Shakespeare looked at the score (諳表). Then, suddenly, she grasped the wanderer's shoulders, <134>
"Who are you?" she asked.
"Franz Schubert (푸렌쯔ㆍ슈-벨트). Franz Schubert (푸렌쯔ㆍ슈-바트) is sincerely grateful for the staff paper you made."
"And I feel the honor (光榮) that such great music was written on staff paper drawn on this kind of paper."
The two shook hands with youthful passion (情熱). Born from this new friendship, "The Lark's Song" became known to everyone as a world-famous art song for a hundred years.

A Life of Music, Death, and Dreams
A life of music, death, and dreams—that indeed is Schubert's romance. Whether this is a true story or fabricated, historians say it is fabricated. However, everyone says that Schubert's composition was always in such a state. In that sense, this romance might as well be called a true story.
When one thinks of Schubert, everyone will immediately recall and feel nostalgic for the movie (映畵) "Unfinished Symphony." Since there are few movies as good, it is the most memorable film among those I recall seeing. Even in that movie, one can see how poor he was, and that is the truth.
He was born in 1797 in Lichtental (리히-다-ㄹ) near Vienna (윈나). His father was a poor school principal (校長). A principal, back then in Europe (歐羅巴), meant education was on the scale of a small temple school (절깐 교육), where the school just gathered nearby children to teach them. Schubert himself later became a music teacher at this school.
Schubert's poverty was extreme, and on top of that, his personality was eccentric (괴상해서), so it's said he sometimes starved. Due to his poor health, whenever that happened, it was to the extent that he thought he might really die, but he lived on, never losing his lonely smile amidst music, death, and dreams. He just continued composing incessantly, and now, every single one of his works holds the world's highest renown (名聲) and is included in concert (콘싸이트) programs (푸로그람). But at the time, nobody recognized them. They were known only among his friends or the students he taught.
"Please publish this score."
He visited a certain publisher and presented a symphony score. The publisher handed the symphony back, saying,
"Our publishing house does not engage in charity work (慈善事業)." That was none other than the immortal (不朽) masterpiece, the "Unfinished Symphony."
In 1818, he finally took up a position as a music teacher in the household of Count Esterházy (에스타라지 伯爵家). This was the first guarantee of livelihood (生活保證) he received.
It seems he was definitely happy. *[missing text?]* said, "This was like the first forest *[missing text?]*."
Here, the legend remains of his love affair (戀愛) with the Count's daughter (令孃), Karoline (카로리-느). The movie "Unfinished Symphony" portrays exactly this.
Karoline was 17 at the time and a renowned beauty. It seems plausible that the sensitive Schubert poured his passion into her, but the biographer (傳記作者) whom the author trusts says this is false (거즛). Rather, he fell in love with one resident/servant (住人 하나), <135> but there was a family favored by his rival in love (戀敵), and he was defeated (敗北). Schubert wrote somewhere,
"I, along with my lover (music), holding back tears (눈물을 먹음고), left this place."
The story that the "Unfinished Symphony" was left unfinished due to his tragic love (悲戀) with Karoline might be acknowledged as the work of a storyteller's skill (手腕), but it is false anyway (어쨋던 거즛이다).

The Sad Fate of a Genius
If there was musical success during his lifetime, it would be "Ave Maria." This came after leaving the Esterházy household and returning to the streets, where he lived with the poet Mayrhofer (메이로퐈) and the singer Vogl (보그르) in poverty yet amidst artistic passion (藝術的 情熱), much like in the opera "La Bohème."
AVE MARIA... He felt the melody for this and composed it based on a passage (一節) from Walter Scott's (올타ㆍ스고트) long poem (長篇詩) "The Lady of the Lake." When Vogl sang this piece, people were astonished. It was because it was brimming with faith (信仰) in the Virgin Mary and affection (愛情) for her. People were simply amazed not only by its religious aspect but also its human quality, and they sang this song.
Thus, his name began to bud slightly, but his life became even more difficult (괴로워젓다).
One hope he held onto amidst this was to show his work to Beethoven (베-토벤), whom he admired. At that time, Beethoven was the greatest master (大家), and it was very difficult for a mere youth like Schubert to approach him. Seeing this, a sympathetic nobleman took his works to Beethoven for him. But, perhaps it was fate, it was at the time of Beethoven's death (臨終時). Schubert was aghast (기가 막혔다). As if betrayed by his very last hope, his life became pitiable (가엾을 정도로) from then on. At the same time, his body also weakened (衰殘) increasingly (갈사록), and he died young (夭折) in his youth.
It is truly said that great art is understood after the author's death, but ****** it is a lonely thing ***** <136> <134-136>

**Summary**

This article recounts the life of Franz Schubert, emphasizing his persistent poverty, ill health, and the lack of recognition he received during his lifetime despite his genius. It touches upon famous anecdotes, such as the possibly legendary story of composing "Hark! Hark! the Lark" on a menu and the rejection of his "Unfinished Symphony" by a publisher. It also mentions and debunks the myth connecting the "Unfinished Symphony" to a failed romance with Countess Karoline Esterházy, while acknowledging his later limited success with "Ave Maria" and his profound admiration for Beethoven, whom he tragically couldn't meet properly before Beethoven's death. The article concludes by reflecting on the sad fate of artists whose greatness is only appreciated posthumously.

From a historical perspective, this 1942 article from the Korean magazine *Samch'ŏlli* is interesting as it presents a biographical piece on a Western classical composer during a period of intense Japanese colonial control and wartime mobilization. The choice of subject (Schubert, a universally admired but tragic European figure) might represent a relatively 'safe' cultural topic, avoiding potentially sensitive Korean national themes while still engaging with high art. Historians might find the specific Korean vocabulary and orthography of the era, the romanticized portrayal of the suffering artist (which could implicitly resonate with the struggles of Korean intellectuals), and the magazine's role in disseminating Western cultural knowledge within the colony noteworthy.

**Named Entities**

슈-벨트	슈베르트	Syu-belt'ŭ (Schubert)
白雲草	백운초	Paek Un-ch'o
繩也納	승야납	Sŭng'yena (Vienna)
쎅쓰피아	섹스피어	Ssekkŭsŭp'ia (Shakespeare)
푸렌쯔ㆍ슈-벨트	프란츠 슈베르트	P'urentchŭ Syu-belt'ŭ (Franz Schubert)
푸렌쯔ㆍ슈-바트	프란츠 슈바르트	P'urentchŭ Syu-bat'ŭ (Franz Schubert - variant)
윈나	윈나	Winna (Vienna)
리히-다-ㄹ	리히텐탈	Rihi-da-l (Lichtental)
歐羅巴	구라파	Ouropa (Europe)
에스타라지 伯爵	에스테르하지 백작	Esŭt'araji Paekchyak (Count Esterházy)
카로리-느	카롤리네	K'arori-nŭ (Karoline)
메이로퐈	마이어호퍼	Meiro-p'wa (Mayrhofer)
보그르	포글	Pogŭrŭ (Vogl)
올타ㆍ스고트	월터 스콧	Olt'a Sŭgot'ŭ (Walter Scott)
베-토벤	베토벤	Pe-t'oben (Beethoven)

**Glossary**

아츰	아침	Morning (older spelling)
뒷ㅅ골목	뒷골목	Back alley (older spelling/spacing with ㅅ)
허줄한	허름한	Shabby, rundown (variant form)
벗서서	벗어서	Taking off (older spelling)
닥어냈다	닦아냈다	Wiped (older spelling)
엇든	어떤	Some, a certain (older spelling)
엡분	예쁜	Pretty (older spelling)
페-지	페이지	Page (loanword)
모로는	모르는	Unknowing, not knowing (older spelling/form)
웨치고	외치고	Shouting, crying out (older spelling)
五線紙	오선지	Staff paper, sheet music paper
사라저	사라져	Disappearing (older spelling)
奇襲	기습	Sudden appearance/action (lit. surprise attack)
처다보았으나	쳐다보았으나	Looked up at, stared at (older spelling)
卽製	즉제	Impromptu, improvised
目禮	목례	A nod (of greeting or acknowledgement)
諳表	암표	Musical score, sheet music (possibly archaic term)
억개	어깨	Shoulder (older spelling)
씨워진데	쓰여진 데	Where it was written (older grammar/spelling)
光榮	광영	Honor, glory
生涯	생애	Lifetime, one's life
지여낸	지어낸	Fabricated, made-up (older spelling)
映畵	영화	Movie, film
校長	교장	School principal
절깐	절간	Small temple; used metaphorically for 'small scale'
괴상해서	괴상해서	Being eccentric, strange
살어갓다	살아갔다	Lived on (older spelling)
名聲	명성	Fame, reputation
콘싸이트	콘서트	Concert (loanword, older transliteration)
푸로그람	프로그램	Program (loanword, older transliteration)
慈善事業	자선사업	Charity work, philanthropy
不朽	불후	Immortal, undying, eternal
취임했다	취임했다	Assumed a position, took office
生活保證	생활보증	Guarantee of livelihood, financial security
令孃	영양	Young lady, daughter (esp. of nobility/wealthy)
戀愛	연애	Romantic love, love affair
傳記作者	전기 작가	Biographer
거즛	거짓	False, untrue, a lie (older spelling)
되려	되레/오히려	Rather, instead (older form of '도리어')
住人	주인	Resident; here likely implying a servant or staff member
戀敵	연적	Rival in love
敗北	패배	Defeat
먹음고	머금고	Holding back (tears, etc.), bearing (older spelling)
마첬다는	마쳤다는	That it ended/finished (older spelling)
手腕	수완	Skill, ability, craft
認證	인증	Acknowledgement, recognition (can also mean certification)
어쨋던	어쨌든	Anyway, in any case (older spelling)
歌手	가수	Singer
藝術的 情熱	예술적 정열	Artistic passion
長篇詩	장편시	Long poem, epic poem
一節	일절	A passage, a verse, a section
信仰	신앙	Religious faith, belief
愛情	애정	Love, affection
흠벅	흠뻑	Fully, thoroughly, soaked (used adverbially)
싹터가나	싹터 가나	Although it was budding/sprouting (older spelling)
괴로워젓다	괴로워졌다	Became painful/difficult/miserable (older spelling)
뵈이려는	보이려는	Intending to show (older spelling/form)
大家	대가	Great master, authority, expert
가까히	가까이	Near, closely (older spelling)
臨終	임종	Deathbed, time of death
기가 막혔다	기가 막혔다	To be dumbfounded, aghast, speechless
배반당한	배반당한	Betrayed
가엾을	가엾을	Pitiful, pathetic
갈사록	갈수록	As time goes by, increasingly (older spelling)
衰殘	쇠잔	Decline, weakening, emaciation
夭折	요절	Premature death, dying young
쓸쓸한	쓸쓸한	Lonely, solitary, desolate


---------------------------


잡지명	삼천리 제14권 제1호
발행일	1942년 01월 01일
기사제목	가난과 不幸에 生涯를 마친 天才 슈-벨트
필자	白雲草
기사형태	문예기타

가난과 不幸에 生涯를 마친 天才 슈-벨트
						白雲草
종달새 詩의 로맨쓰

1826年 7月 어느 아츰이다. 繩也納 어느 뒷ㅅ골목, 허줄한 요리점에 한 가난한 젊은이가 들어왔다. 그는 마을에서, 마을로, 멀고 먼 길을, 들을 지나고 산을 넘어온 放浪者인 듯.
퍽 피곤해 보인다. 테-불 앞에 앉아, 위선 안경을 벗서서 더러워진 수건으로 닥어냈다. 먼지와 나무잎에서 떨어진 이슬로 안경이 뿌옇게 되기 때문이다. 그의 테-블엔 엇든 엡분 처녀가 쎅쓰피아의 「심베리-느」를 뒤적거리며 아츰을 먹고 있다.
放浪者의 눈은 그 책 어느 페-지에 이르게 되었다.
「오- 종달새, 높이 떠 하늘에, 조잘대는 그 소리,」
아름답게 蒼空에 조잘거리는 종달새의 시는, 放浪者 눈에 빨려 들어가도록 되었다. -그래서 그 瞬間,
「아!」하고
그는 모로는 사이에, 웨치고 말었다.
「아주 멋진 멜로디-가 생각났다. 五線紙가 없을까, 五線紙가?」
그는 이렇게 말하며 주위를 두루 살핀다. 하나 그런 곳에 五線紙가 있을리 없다. 머리에 떠올른 멜로디-가 사라저 버리기라도 하는 듯이, 울상을 하고 서성거렸다.
책을 뒤적이고 있던 처녀는, 위선 이 奇襲에 눈이 둥그레 하다가 이 이상한 남자의 동작에 놀래여, 잠깐 빤히 처다보았으나 무엇을 생각했던지 처녀는 연필을 잡어 테-블 우에 있는 메뉴-뒤에 씩씩 五線을 그어서 그것을 放浪者에게 주었다.
放浪者는 고맙단 말도 없이, 그 卽製의 五線紙에 단숨에 音符를 써넣었다.
다 쓰군 숨을 화-ㄹ 내쉬며 그는 빙긋 웃고, 조용히 目禮를 하며 그 멜로디-를 처녀에게 보였다.
「아이 참 좋아요」
쎅쓰피아를 읽고있던 처녀는 諳表를 보고 있다. 그러다가 문득 放浪者의 억개를 부둥켜안으며, ＜134＞
「당신은?」하고 묻는다.
「푸렌쯔ㆍ슈-벨트요, 푸렌쯔ㆍ슈-바트는 당신이 만든 五線紙에 마음으로 감사합니다」
「저 또 이런 종이에 그린 五線紙가 그처럼 위대하게 씨워진데 光榮을 느낌니다」
