Magazine Title: 삼천리 제14권 제1호
Publication Date: 1942년 01월 01일
Article Title: 伊勢神宮, 聖地參拜記 (Ise Grand Shrine, A Pilgrimage Record to the Holy Land)
Author: 李石薰
Article Type: 기행문 (Travelogue)

After staying overnight in Nara, I departed in the morning and headed for Yamada Station. The weather wasn't perfectly clear, but with only a light layer of thin clouds, it was rather fine and pleasant. Although it was late November, it was as mild as around Ch'usŏk in Seoul; though the persimmon leaves had fallen, the red fruits still hung on the trees, and mandarin oranges (密柑) were fully in season, making it difficult to immediately tell whether it was early or late autumn.

Leaving my luggage at an inn in front of Yamada Station, I first walked to the Outer Shrine (外宮 - Gekū) of Ise Grand Shrine (伊勢神宮 - Ise Jingū). As you may already know, Ise Grand Shrine can be called the patriarch of shrines; there is an Inner Shrine (內宮 - Naikū) and an Outer Shrine. The Inner Shrine enshrines Amaterasu-Ōmikami (天照大神), and the Outer Shrine enshrines Toyouke-no-Ōmikami (豐受大神). Toyouke-no-Ōmikami is the god who exclusively governs the grains that we eat to live. Before paying homage at Ise Grand Shrine, I had thought the Inner and Outer Shrines were in one place, such that one entered the Inner Shrine through the Outer Shrine, but that is not the case. The Outer Shrine, that is, Toyouke Daijingū (豐受大神宮), can be reached from Yamada Station on foot in just about ten minutes. It is set against the backdrop of a quite ruggedly prominent mountain peak called Takakurayama (高倉山), nestled among lush, ancient tall trees like pines (松), cryptomeria (杉), and cypress (檜), which is common everywhere, yet it was enveloped in an ancient (蒼然) aura that seemed even older than Kashihara Jingū (橿原神宮). As you know, shrines have a solemn and dignified (陰嚴) atmosphere, and they are rebuilt on a different site every twenty or thirty years. Although it hadn't been long since this Outer Shrine was moved and rebuilt, perhaps due to the mystical atmosphere emanating from the surrounding forest, it indeed imparted the lofty feeling that only this sacred precinct (祐城) could possess.

Just as I finished paying respects and was about to turn away, the powerful roar of propellers was heard from the southern sky over Takakurayama. Stopping in my tracks, I looked up to see truly enormous heavy bombers, numbering in the dozens, flying in formation. As the situation in the Pacific (太平洋) was signaling urgency, witnessing the valiant figure (勇姿) of the Imperial Army (皇軍) looked truly magnificent and reassuring.

After visiting the Outer Shrine, I immediately headed to the Inner Shrine by electric train. In terms of distance, it might be about ten Korean *ri* from the Outer Shrine. Going over a considerably high hill to the north and traveling for a while, I got off the train and walked a short distance, and soon the wide grounds of the Inner Shrine appeared. Time had somehow already passed three or four in the afternoon, and the weather had imperceptibly turned gloomy. <126>

Passing through the tall *torii* (鳥居), a clear stream spanned by a rounded wooden bridge flows across. This stream is the famous Isuzugawa (五十鈴川), and the clarity of its water and the beauty of the autumn leaves along its banks are beyond description by brush or tongue (筆舌). Keeping the stream on my right and heading towards Mount Kasagi (笠置山), I eventually passed the second *torii* (二の鳥居). With each step further inside, the solemn and majestic (崇嚴) atmosphere deepened. Among the centuries-old, thick-trunked pine trees, it was dim enough to be almost dark as dusk was falling, and under that shade, numerous worshippers walked silently back and forth.

Soon, the Prayer Hall (祈禱殿) appeared on the left. Along with the companions traveling with me, I requested a Shinto priest (神官) to light candles on the altar (祭壇). Although simple, we offered a couple of ritual objects (祭物) respectfully brought out by two young girls, knelt down, and prayed for the lasting military fortunes (武運長久) of the Imperial Army (皇軍). While we knelt and prayed silently, the priest sonorously chanted (唱讀) the ritual prayers (祝詞).

Leaving the Prayer Hall, I paid homage at the main sanctuary (本殿). After praying, I looked inside, and for a moment, I thought my face was reflected in the dazzling Sacred Mirror, Yata no Kagami (八咫鏡), enshrined far within. Indeed, the Inner Shrine enshrines Yata no Kagami, one of the Three Sacred Treasures (三種の御神器).

Standing before the simple yet sublime (崇高) main sanctuary, I respectfully contemplated: Amaterasu-Ōmikami (天照大御神) ruled Takamagahara (高天原) and was revered as the Sun Goddess (日大御神). When the Great Goddess sent down the Imperial Grandson, Ninigi-no-Mikoto (瓊瓊杵尊), to Ashihara no Nakatsukuni (葦原中國) to rule this land, she declared, "The land of abundant reed plains, the land of fresh rice ears of a thousand autumns, the land of myriad autumns (豐葦の原千五白秋瑞橞國) is the land where my descendants shall be sovereign. Go, descendant, and rule it. May the prosperity of the Imperial Throne (寶祚) last eternally, like heaven and earth." At the same time, she bestowed the Three Sacred Treasures: Yata no Kagami (八咫鏡), Yasakani no Magatama (八坂瓊曲玉), and Ame no Murakumo no Tsurugi (天叢雲劍), saying, "When you look upon this mirror, consider it as looking upon me."

Herein lies the foundation of the Japanese national polity (日本國體), ruled by the Emperor of an unbroken line for ages eternal (萬世一系). In the 6th year of Emperor Sujin (崇神天皇), that is, Kōki 569, or 2,030-some years ago from now, it was decided to move [the sacred mirror] from within the Imperial Palace to a separate shrine. The shrine built in Kasanui village (笠縫邑) in the region of 'Yamato' (『倭』) was the beginning. Then, 87 years later, in the 26th year of the 11th Emperor, Suinin (重仁天皇 - *Note: Suinin is usually 垂仁天皇*), that is, Kōki 656, in March, it was transferred here to Ise (伊勢). Indeed, one can see its long history.

Yesterday, I paid homage at Kashihara Jingū (橿原神宮), which enshrines Emperor Jimmu (神武天皇), and now, having paid homage at the Grand Imperial Shrine (皇大神宮 - Kōtai Jingū, i.e., the Inner Shrine), seeing the boundless dignity preserved amidst a simplicity almost close to nature itself, I felt as though I had finally grasped (體得) the essence of the Japanese spirit (日本精神) and the sublimity (崇嚴) of the Japanese national polity (日本國體) in a tangible way.

It seems I can assert that it is something lofty, forming the core of a unique Japanese culture in a realm different even from the world of religion, difficult as it is to explain theoretically.

As the sun gradually set, the solemn and majestic (崇嚴) atmosphere deepened further. Tense worshippers of all ages, men and women, continued to arrive ceaselessly, and in front of the main sanctuary, the sharp sounds of clapping hands (拍掌) arose one after another. Birdsong could be heard here and there from within the forest, but because the worshippers were so quiet and orderly (靜肅), <127> the sound of clapping was the only sound breaking the stillness (靜寂). Truly, one cannot help but be moved by the reverent (敬虔) and sincere (眞摯) attitude of the mainland Japanese people towards the Shrine.

On the way back, walking along the dense forest path, I reached the bank of the Isuzugawa (五十鈴川) and washed my hands in the clear water. Goldfish as large as carp (鯉魚) gathered from all directions. Perhaps knowing they might be fed, dozens of them—white ones, red ones, ones mottled with black spots—showed no fear of people at all. Generally, within the sacred precincts (神域), animals are highly valued, and killing even goldfish is strictly forbidden, which is why, they say, some are 5, 6, or even 10 years old.

By the time I finally left the sacred precincts, the sun had already set. Through the utterly still twilight descending like wings, I waited quite a while, then took the electric train directly towards Futami-ga-ura (二見浦).

After about a ten-minute ride, we reached the rustic town of Futami-ga-ura. Entering a seaside inn (旅舍) where the sound of waves from Ise Bay (伊勢灣) could be heard crashing, I found that my luggage had already arrived ahead of me from Yamada Station.

Futami-ga-ura is a small town formed by the seaside, consisting of inns, souvenir shops, and restaurants. After dinner, strolling down the brightly lit street, pretty young women in shops here and there called out solicitations in the local dialect. A first-time traveler might feel bewildered about which shop to enter. Local specialties (土産物) include shellfish (貝) and pearl craftwork (眞珠細工品), and a famous food is *sazae no tsuboyaki* (つぼやき) - grilled turban shells (?).

Ignoring this and that, I deliberately sought solitude (孤獨) and turned onto a side path towards the dark seashore. Pine trees stood sparsely, and although there were occasional electric lights, the moonless coast was frighteningly pitch-black (칠칠하다). Standing for a moment facing the dark sea, although the wind was calm (잣것만), the waves endlessly crashed (탕탕 침니다) against the breakwater (防波堤). The sound was heavy (沈重), resonating in my chest and shaking my soul. Thinking that these waves connected to the Pacific Ocean (太平洋), given the times, it didn't sound like ordinary wave noise but seemed to sternly warn me of something.

Even after returning to the inn, my ears kept straining towards the sound of the waves outside the door. I gathered my thoughts once more and clenched my fist tightly in my heart.

The next day, I intended to greet the morning sun rising over the Pacific Ocean and woke up early, heading out to the shore. Unfortunately, clouds interfered, and I couldn't achieve my goal. I thought I might be the only one up so early, but mainland Japanese people who had come from various places for the holy land pilgrimage (聖地叅拜)—why were there so many? They formed long lines, trailing one after another, also walking silently and quietly towards Futami-ga-ura's famous "Wedded Rocks" (夫婦岩). We take the morning train to Nagoya (名古屋). <128>

**Summary**

The author, Yi Sŏkhun, describes his pilgrimage to Ise Grand Shrine in late November 1941 after visiting Nara. He details his visits to both the Outer Shrine (Gekū), dedicated to Toyouke-no-Ōmikami, and the Inner Shrine (Naikū), dedicated to Amaterasu-Ōmikami. He expresses deep reverence for the ancient and solemn atmosphere, the connection to Japanese imperial mythology (Amaterasu, the Three Sacred Treasures, the unbroken imperial line), and prays at the Inner Shrine for the military success of the Japanese Imperial Army. He reflects on understanding the "essence of the Japanese spirit" and the "sublimity of the Japanese national polity" through this experience. The trip concludes with an overnight stay at Futami-ga-ura, contemplating the Pacific Ocean on the eve of war. From a historical perspective, the article is significant as it reflects a Korean intellectual's seemingly sincere embrace and articulation of Japanese imperial ideology and spirituality (including praying for Japan's military victory) during the late colonial period, just before the outbreak of the Pacific War. Historians might find the author's perspective, language of reverence, and timing particularly noteworthy in understanding the complex range of responses among colonized Koreans under intense assimilation pressure.

**Named Entities**

李石薰	이석훈	Yi Sŏkhun
奈良	나라	Nara
山田驛	야마다역	Yamada-eki
伊勢神宮	이세신궁	Ise Jingū
外宮	외궁	Gekū
內宮	내궁	Naikū
天照大神	천조대신	Amaterasu-Ōmikami
豐受大神	풍수대신	Toyouke-no-Ōmikami
高倉山	다카쿠라산	Takakurayama
橿原神宮	가시하라신궁	Kashihara Jingū
太平洋	태평양	Pacific Ocean
皇軍	황군	Kōgun (Imperial Army)
朝鮮	조선	Chosŏn (Korea - implied by reference to Korean *ri*)
鳥居	도리이	Torii
五十鈴川	이수즈가와	Isuzugawa
笠置山	가사기야마	Kasagiyama
祈禱殿	기도전	Kitōden (Prayer Hall)
神官	신관	Shinkan (Shinto Priest)
八咫鏡	야타노카가미	Yata no Kagami
三種の御神器	삼종신기	Sanshu no Jingi (Three Sacred Treasures)
高天原	다카마가하라	Takamagahara
瓊瓊杵尊	경경저존	Ninigi-no-Mikoto
葦原中國	위원중국	Ashihara no Nakatsukuni
八坂瓊曲玉	야사카니노마가타마	Yasakani no Magatama
天叢雲劍	아메노무라쿠모노쓰루기	Ame no Murakumo no Tsurugi
日本	일본	Ilbon (Japan)
崇神天皇	숭신천황	Sujin Tennō
『倭』	왜	Wae (Yamato)
笠縫邑	립봉읍	Kasanui-mura
重仁天皇	수인천황	Suinin Tennō (*Note: Usually 垂仁天皇*)
伊勢	이세	Ise
神武天皇	신무천황	Jimmu Tennō
日本國體	일본국체	Nihon Kokutai
日本精神	일본정신	Nihon Seishin (Japanese Spirit)
鯉魚	이어	Ingŏ (Carp) / Koi (Japanese Carp)
二見浦	후타미가우라	Futami-ga-ura
伊勢灣	이세만	Ise-wan (Ise Bay)
旅舍	여사	Yŏsa (Inn/Ryokan)
眞珠	진주	Chinju (Pearl)
夫婦岩	부부암	Meoto Iwa (Wedded Rocks)
名古屋	나고야	Nagoya

**Glossary**

一泊	일박	One night's stay
淸朗치	청랑치	(Older form) Not clear (weather); modern 청량하지
秋夕	추석	Chuseok (Korean harvest festival, mid-autumn)
뫼시었고	모시었고	(Older spelling) Enshrined; modern 모셨고
祖宗	조종	Ancestor, progenitor
蒼然한	창연한	Ancient, venerable
陰嚴한	음엄한	Solemn and dignified; imposing
新築	신축	New construction, rebuilding
叅拜	참배	(Older Hanja) Visit to a shrine/temple to worship; modern 참배
프로페라	프로펠러	Propeller
編隊飛行	편대비행	Formation flight
風雲	풍운	Winds and clouds; (fig.) turbulent situation, state of unrest
勇姿	용자	Valiant figure, gallant appearance
里數	이수	Distance in *ri* (traditional unit, approx. 393m in Korea, 3.93km in Japan)
鳥居	도리이	Torii (gateway to a Shinto shrine)
筆舌	필설	Brush and tongue; words, description
崇嚴한	숭엄한	Solemn and majestic, sublime
祈禱殿	기도전	Prayer Hall (in a shrine)
神官	신관	Shinto priest
祭壇	제단	Altar
祭物	제물	Offering (at an altar)
武運長久	무운장구	Lasting fortune in war
祝詞	축사	Shinto ritual prayer; Norito
唱讀	창독	Chant, read aloud sonorously
本殿	본전	Main sanctuary (of a shrine)
御神體	어신체	Object of worship in which a deity resides (Shinto); Go-shintai
萬世一系	만세일계	Unbroken Imperial line for ages eternal
國體	국체	National polity, national essence (esp. referring to Japan's emperor system)
奉齊한	봉제한	(Older form?) Enshrined; related to 제사 (ancestral rites); modern 봉안한?
簡素한	간소한	Simple, plain
體得	체득	Learn through experience, grasp bodily/intuitively
拍掌	박장	Clapping hands (often in Shinto worship)
靜肅하기	정숙하기	To be quiet and orderly
敬虔	경건	Reverent, devout
眞摯한	진지한	Sincere, earnest
神域	신역	Sacred precinct, shrine grounds
鯉魚	이어	Carp (specifically Japanese Koi in this context)
旅舍	여사	Inn, lodging house (older term)
土産物	토산물	Local specialty products, souvenirs
貝	패	Shellfish, shell
眞珠	진주	Pearl
細工品	세공품	Craftwork, finely worked item
孤獨	고독	Solitude, loneliness
칠칠하다	칠칠하다	(Archaic/Dialect?) Pitch-black, very dark
잣것만	잦건만	(Older form) Though it (wind) calmed down; modern 잦았건만/잦지만
끄님없이	끊임없이	(Older spelling) Ceaselessly, continuously; modern 끊임없이
防波堤	방파제	Breakwater, seawall
沈重	침중	Heavy, grave, profound (sound)
聖地	성지	Holy land, sacred place


---------------------------


잡지명	삼천리 제14권 제1호
발행일	1942년 01월 01일
기사제목	伊勢神宮, 聖地參拜記
필자	李石薰
기사형태	기행문

伊勢神宮, 聖地參拜記
						李石薰
奈良에서 一泊한 후, 오전 중에 떠나, 山田驛으로 향하였습니다. 날씨는 그리 淸朗치는 않으나, 엷은 구름이 살짝 비꼈을 정도로, 그만하면 맑고 좋은 편이였습니다. 11月 下旬이것만, 서울의 秋夕께처럼 온화하여, 비록 감나무 잎은 떨어젔을 망정, 빨간 열매가 그대로 나무에 매달려있고, 密柑은 한창 제철이어서, 지금이 初秋인지 晩秋인지, 얼른 분간키 어렵습니다.
山田驛前 모 여관에 행장을 매끼고 우선 도보로 伊勢神宮 外宮으로 갔습니다. 이미 아시다 싶이 伊勢神宮은 神宮의 祖宗이라고도 할만하여, 內宮과 外宮이 있는데, 內宮에는 天照大神을 뫼시었고, 外宮에는 豐受大神을 뫼시었습니다. 豐受大神은 우리들이 먹고사는, 오로지 곡식을 주관하시는 신이십니다. 나는 伊勢神宮에 참배하기 전까지는, 內宮과 外宮이 한 곳에 있어서, 外宮을 통해서 內宮으로 들어가게 된 것처럼 알었드니, 그런 것이 아닙니다. 外宮, 즉, 豐受大神宮는 山田驛에서 걸어서 불과 十分 내외로 당도할 수 있는데, 高倉山이라는 상당히 험하게 도뜨라진 산봉오리를 배경으로 하고 울창한 松杉檜 등의 오랜 喬木들 사이에 있는 것은, 어디나 마찬가지지만 그러나 橿原神宮보다도 역사가 오랜 듯한 蒼然한 빛이 덮여 있었습니다. 神宮은 아시다 싶이 陰嚴한 기분이 있어, 二十年 내지 三十年마다, 자리를 바꾸어 新築을 하는 것인데, 이 外宮도 옴겨 지은지 그리 오래지 않것만, 주위의 樹林에서 오는 신비로운 분위기 때문인지, 역시 이 祐城만이 가질 수 있는 높은 기분을 주더이다.
叅拜를 마치고, 마악 돌아서려 할지음 高倉山 남쪽 하늘에서, 우렁찬 「프로페라」 소리가 들려오기에, 발걸음을 멈추고 울어러본즉, 굉장히 큰 重爆擊機가 무려 數十臺나 編隊飛行을 하며 날르고 있습니다. 太平洋의 風雲이 急을 告하려는 때인 만큼 皇軍의 勇姿을 바라볼 때 그것은 실로 장쾌하게 믿엄직하게 보였습니다.
外宮 叅拜를 마치고, 곧 電車로 內宮으로 향하였습니다. 里數로 말하면 外宮서 朝鮮里數로 十里가량 될는지오. 북쪽으로 상당히 높은 언덕을 넘어, 한참 가서 電車를 내려 조금 간즉 이미 內宮 널은 마당이 나타납니다. 이럭저럭 시간은 벌써 오후 서너 시가 지난 모양이고, 어느 듯 꾸물꾸물하는 日氣로 변하였습니다. ＜126＞
높다란 「鳥居」를 지난즉, 둥근 木橋가 노인 맑은 시내가 가로 흐름니다. 이 시내가 유명한 五十鈴川이요 그 물이 맑기란, 그리고 강가에 단풍의 아름답기란, 筆舌로써 다할 수 없습니다. 시내를 오른손에 끼고 笠置山을 향하여 이윽고 「二の鳥居」를 지나, 한 걸음 또 한 걸음, 안으로 들어갈수록, 점점 崇嚴한 분위기가 깊어집니다. 몇 백년 묵은, 아름드리 노송들 사이는, 때마침 해 기우는 저녁이라 어득어득 하리만큼 그늘지고 그 그늘 밑을 수많은 叅拜者들이 오직 묵묵히 걸어가고 옵니다.
이윽고 왼손 편에 祈禱殿이 나타납니다. 나는 가치 가든 일행과 더부러, 神官에게 청하여, 祭壇에 촛불을 밝히고, 간단하나마 두 소녀가 공손히 바뜰고 나온 두어 祭物을 바처 놓고 꿀어 엎드리어 皇軍의 武運長久를 기원하였습니다. 우리들이 꿀어 엎드리어, 속으로 빌고있는 동안, 神官은 「祝詞」를 朗朗하게 唱讀하였습니다.
나는 祈禱殿을 나와, 본전에 叅拜하였습니다. 拜禱한 뒤 안을 바라다본즉 먼 쓀ˆ쪽에 奉安되여 있는 御神體八咫鏡이 번뜩이어 순간 내 얼굴이 비친 듯 생각켯습니다. 과연 內宮에는 三種의 御神器의 하나인 八咫鏡를 奉安하고 있는 것입니다.
素札하면서도 崇高한 본전 앞에 서서, 삼가 생각컨데, 天照大御神께서는 高天原를 다스리사, 日大御神로서, 推仰되었습니다. 大御神께서는 皇孫, 瓊瓊杵尊를 葦原中國로 내려보내시어, 이 국토를 다스리게 하심에 당하사, 「豐葦の原千五白秋瑞橞國は、 是ね吾が子孫の王たるべぎ地なり。爾是孫就きて治めよ。 寶祚の降えまさんこと まさに天と共に窮りなかるべし。」라 하시고, 그 동시에 八咫鏡, 八坂瓊曲玉, 天叢雲劍 등 三種의 神器를 下賜하시면서 『이 거울을 볼새, 나를 보는 것처럼 하라』고 하시었습니다.
