Magazine Title: 삼천리 제12호
Publication Date: 1931년 02월 01일
Article Title: 名妓 「春種」 (Famous Kisaeng "Ch'unjong")
Author: Not Specified
Article Type: 문예기타 (Literary Miscellany)

In the foremost scenic place, P'yŏngyang, there was an exceptionally beautiful and talented kisaeng named Ch'unjong (春種), skilled in song and dance. Every arriving P'yŏngyang Magistrate (平壤監司) would fall for this famous kisaeng, spending all their time on boating excursions on the Taedong River (大洞江) and attending to matters of the Kyobang (敎坊政司 - Kisaeng training/management office). Consequently, when this news reached the King in Seoul, they would be dismissed from office, one after another... It was unknown how many P'yŏngyang Magistrates were ruined because of Ch'unjong.

At such a time, a gentleman named Hŏ Min (許民), a man of upright character and strong will, like iron bones, who wouldn't even glance sideways if a hundred dancing girls (舞姬) came before him, received the order and was appointed to P'yŏngyang. When this news reached P'yŏngyang Fortress, the city's top-class famous kisaeng shuddered.

Hŏ Min, accompanied by many clerks, officials (吏房官屬), and post station soldiers (驛卒), set off from Seoul seated in a four-person palanquin (四人轎), traveling day and night (晝夜倍道) to assume his post in P'yŏngyang. Passing through Hwangju and entering P'yŏngan Province territory, the sun had already set that day. Thus, they decided to stay overnight in that small village, where there was a lodging house (宿舍) noted for its fine, clear liquor (酒淸妙). The Magistrate decided to stay at this house, while the officials and attendants were to find lodging (旅裝을 그르게 하엿다) in the village.

As it was precisely summer, Hŏ Min, using a wooden pillow (木枕) in the early evening, opened the Book of Odes (詩傳) to read, but briefly fell asleep<49>. Outside the front yard, the moon shone brightly, and the faint sound of insects could be heard.

Hŏ Min awoke feeling thirsty. As he lifted his head to look for water, right before him, through the open double sliding doors (雙바라지) of the outer room (밧갓방) across the way, inside a pink mosquito net (분홍모기장), wasn't there an incredibly beautiful young woman, like a fairy (仙女), lying quietly? Her snow-white breasts (白雪가튼 젓가슴)—no, all her important upper and lower parts were exposed, with only a narrow strip of pink silk gauze (분홍명주) briefly covering her waist.

The woman seemed asleep; her faint breathing, like a gentle breeze (微風) brushing across a spring lawn (봅날 잔듸밧), unbearably stirred Hŏ Min's senses. Hŏ Min propped up his wooden pillow... laid it down... sat up... stood up... lay down... closed his eyes... he must have done this more than ten times.

In the end, unable to restrain himself, he ended up crawling into that mosquito net, thinking, "I'll be strict once I get to P'yŏngyang. Who, beyond heaven itself, would know if I pluck this nameless beautiful flower (名花) in such a roadside inn (客舍)?"

However, that beautiful single flower stalk was not so compliant (順從) as to simply yield her body to the approaching butterfly.

Hŏ Min pestered her until dawn. Finally, the woman said,
"I do not know who you are, sir, but for a gentleman of virtue (道德君子) to treat a maiden (處子) of someone else's house like this is improper. If you would take my heart, which consents this once, as a pledge (맹세), please write your name here."
And she held out her jade-like palm. Hŏ Min, overjoyed, dipped a brush without a cap (無心筆)<50> into Haeju ink (海州墨) and wrote the two characters "Hŏ Min" (許民). That night became a regrettably short one for the two of them.

The next day, Hŏ Min left that humble cottage (草幕) and arrived in P'yŏngyang to assume his post.

As his first official act (政事), Hŏ Min summoned the kisaeng (妓女). Among them, he specifically called for Ch'unjong, who had ruined successive magistrates. Of course, his intention was to severely reprimand (懲責) her...
In the government courtyard (官庭), the murmuring whispers of the clerks (吏房), all fearing that the famous kisaeng Ch'unjong would lose her head at the hands of this magistrate, filled the air.
A little later, indeed, the peerless beauty Ch'unjong, apprehended by alarmed guards (羅卒), bowed her head and awaited orders (待令). The Magistrate, filled with killing intent (殺氣騰騰), issued a command as harsh as autumn frost (秋霜가튼 號令). At that moment, Ch'unjong, half-holding back tears, recited in a clear voice (朗朗):
"Ch'unjong's palm bears whose engraved name? (春種掌上刻誰名)
Ink sunk in snowy skin, each character bright. (墨入雪膚字字明)
Even should the Taedong River's waters run dry, (寧有大同江水盡)
This concubine's heart won't betray that first pledge." (妾心不負最初盡)
And she recited this poem. On her palm, the name Hŏ Min was etched. The night before, in order to meet the Magistrate, she had deliberately gone to the post road inn, undressed in the room across, held out her palm to receive his name, and then pricked along each stroke of the characters with a needle. Seeing his own handwriting (筆跡), Hŏ Min's face turned red.

Not long after, Hŏ Min too was dismissed from office. Ch'unjong composed this verse to send him off:
"Parting from my lover on the Taedong River bank, (大同江上別情人)
A thousand strands of riverside willow fail to bind him. (緣柳千絲未繫人)
Tear-filled eyes gaze upon tear-filled eyes, (含淚眼看含淚眼)
A heartbroken person sends off a heartbroken person. (斷場人送斷場人)
Even if I were to laugh while sending you off, (設令送君卽地笑)
Shedding tears at parting is human nature." (別時落淚是人情)<51>
<49-51>

**Summary**

This story recounts how the renowned P'yŏngyang kisaeng Ch'unjong cleverly avoids punishment and ultimately contributes to the downfall of a reputedly incorruptible new magistrate, Hŏ Min. Feared for his sternness, Hŏ Min travels to P'yŏngyang but stops overnight at an inn. Ch'unjong anticipates this, positions herself alluringly in a nearby room, and seduces him. She tricks him into writing his name on her palm, which she later tattoos. When Hŏ Min summons her for punishment in P'yŏngyang, she reveals the tattooed name via a poem, shaming him. He is eventually dismissed, like his predecessors, and Ch'unjong sends him off with another poignant poem. For historians, this article offers a glimpse into the social dynamics of colonial Korea, particularly the perceived power and agency of high-status kisaeng within a patriarchal society. It highlights the persistent trope of female entertainers causing the downfall of officials, the blend of classical Chinese poetry with vernacular storytelling, and contemporary attitudes towards morality and official conduct during that period.

**Named Entities**

春種	춘종	Ch'unjong
平壤	평양	P'yŏngyang
大洞江	대동강	Taedong River
許民	허민	Hŏ Min
黃州	황주	Hwangju
平安道	평안도	P'yŏngan Province
海州	해주	Haeju

**Glossary**

名妓	명기	Famous kisaeng (courtesan/entertainer)
絶世名妓	절세명기	Peerless/Unrivaled famous kisaeng
平壤監司	평양감사	P'yŏngyang Magistrate (Governor)
敎坊政司	교방정사	Office managing kisaeng affairs and training
罷職	파직	Dismissal from office
剛直	강직	Upright; straightforward; resolute
舞姬	무희	Dancing girl; female dancer
鐵骨	철골	Iron bones (metaphor for strong will/physique)
快丈夫	쾌장부	Spirited/gallant man
吏房	이방	Clerk (in local government office)
官屬	관속	Subordinate officials; staff
驛卒	역졸	Soldier/attendant stationed at a post station
四人轎	사인교	Four-person palanquin
晝夜倍道	주야배도	Traveling day and night; forced march
酒淸妙	주청묘	(Place with) clear and fine liquor
宿舍	숙사	Lodging house; dormitory
木枕	목침	Wooden pillow
詩傳	시전	The Book of Odes (Classic of Poetry)
잇섯것다	있었다	(Older spelling) Was; existed
닑다가	읽다가	(Older spelling) While reading
깨어 낫다	깨어났다	(Older spelling) Woke up
압흐로	앞으로	(Older spelling) Forward; in front
雙바라지	쌍바라지	Double sliding doors (likely traditional Korean style)
밧갓방	바깥방	(Older spelling) Outer room
모기장	모기장	Mosquito net
젓가슴	젖가슴	(Older spelling) Breast(s)
드러내 노코	드러내 놓고	(Older spelling) Having exposed; revealing
분홍명주	분홍명주	Pink silk gauze
仙女	선녀	Fairy; celestial maiden
드러누운	드러누운	(Older spelling) Lying down
잇지 안느냐	있지 않으냐	(Older spelling) Isn't there?
들엇는지	들었는지	(Older spelling) Whether (she) was asleep
봅날	봄날	(Older spelling) Spring day
잔듸밧	잔디밭	(Older spelling) Lawn; grassy field
微風	미풍	Gentle breeze; light wind
건드린다	건드린다	Touches; stirs; provokes
客舍	객사	Inn; guest house; roadside lodging
名花	명화	Famous flower (metaphor for a beautiful woman)
꺽근들	꺾은들	(Older spelling) Even if (I) pluck/break
順從	순종	Obedience; compliance
졸낫다	졸랐다	(Older spelling) Pestered; importuned; nagged
處子	처자	Maiden; virgin; unmarried daughter
道德君子	도덕군자	Man of virtue and morals
妾	첩	Concubine; (humble term) I/me (used by women towards men)
맹세	맹세	Oath; pledge; vow
밧으시겟거든	받으시겠거든	(Older spelling) If you would receive/accept
깁부어서	기뻐서	(Older spelling) Being joyful/happy
海州墨	해주묵	Inkstick from Haeju (known for quality ink)
無心筆	무심필	Brush without a cap/lid (possibly implies readiness or casualness)
써섯다	썼다	(Older spelling) Wrote
이튼날	이튿날	(Older spelling) The next day
草幕	초막	Humble thatched cottage; hut
政事	정사	Official duties; administration; governing
妓女	기녀	Kisaeng; female entertainer/courtesan
懲責	징책	Reprimand; disciplinary action; punishment
作定	작정	Intention; plan; decision
官庭	관정	Government office courtyard
떠러진다고	떨어진다고	(Older spelling) Saying (it) will fall/be cut off (head)
吏房들	이방들	Clerks
羅卒	나졸	Low-ranking guard/policeman in Joseon era
待令	대령	Awaiting orders
殺氣騰騰	살기등등	Seething with murderous intent
秋霜	추상	Autumn frost (metaphor for severity/strictness)
號令	호령	Command; order (often sharp or loud)
먹음고	머금고	(Older spelling) Holding (tears/words) in one's mouth/eyes
朗朗	낭랑	Clear and resonant (voice)
掌上刻誰名	춘종장상각수명	(Hanja phrase from poem) Whose name is carved on Ch'unjong's palm?
墨入雪膚字字明	묵입설부자자명	(Hanja phrase from poem) Ink enters snowy skin, each character bright.
寧有大同江水盡	영유대동강수진	(Hanja phrase from poem) Even if the Taedong River's water were to run dry...
妾心不負最初盡	첩심불부최초진	(Hanja phrase from poem) This concubine's heart will not betray the first pledge.
삭이어 잇다	새겨져 있다	(Older spelling/form) Is carved/engraved
맛기 위하야	맞이하기 위하여	(Older spelling) In order to meet/greet
질너두엇다	찔러두었다	(Older spelling) Had pricked/pierced
筆跡	필적	Handwriting
발개젓다	빨개졌다	(Older spelling) Turned red; blushed
얼마잇지 안어서	얼마 있지 않아서	(Older spelling) Not long after; soon after
大同江上別情人	대동강상별정인	(Hanja phrase from poem) Parting from lover on the Taedong River
緣柳千絲未繫人	연류천사미계인	(Hanja phrase from poem) A thousand strands of riverside willow fail to bind the person
含淚眼看含淚眼	함루안간함루안	(Hanja phrase from poem) Tear-filled eyes look upon tear-filled eyes
斷場人送斷場人	단장인송단장인	(Hanja phrase from poem) A heartbroken person sends off a heartbroken person
設令送君卽地笑	설령송군즉지소	(Hanja phrase from poem) Even if I were to laugh on the spot while sending you off
別時落淚是人情	별시낙루시인정	(Hanja phrase from poem) Shedding tears at parting is human nature/feeling


---------------------------


잡지명	삼천리 제12호
발행일	1931년 02월 01일
기사제목	名妓 「春種」
기사형태	문예기타

名妓 「春種」
第一 江山 平壤에 「春種」이란 人物잘나고 歌舞잘하는 絶世名妓가 잇섯것다. 이 名妓에게 반하여 到任하는 平壤監司마다 連日 大洞江노름과 敎坊政司에 볼일을 다본다. 그래서 이 所聞이 서울 게신우에 達하면 또 罷職되고 罷職되고... 「春種」때문에 平壤監司 몃명이 녹아나는지 몰낫다.
이러할 때에 性格이 剛直하고 舞姬 百이 와도 눈한번 거들떠 보지 안을만치 鐵骨가튼 快丈夫「許民」이란 량반이 命을 밧고 平壤으로 到任하게 되엿다. 이 소문이 평양성에 내려오자 성안 일류 명긔들은 치를 떡엇다.
許民은 만흔 吏房官屬과 驛卒들을 다리고 四人轎에 안저서 서울을 떠나 平壤에 到任하려 晝夜倍道하여 내려간다. 그래서 黃州를 지나 平安道 땅에 드니 그날은 해가 이미 저물엇다. 그러자 그 조고마한 고을에서 묵게 되엇는데 그 고을에는 *酒淸妙한 宿舍 한 채가 잇섯다. 監司는 그 집에 들기로 하고 官屬은 그 洞里에서 旅裝을 그르게 하엿다.
