Magazine Title:	삼천리 제12호
Publication Date:	1931년 02월 01일
Article Title:	和信德元 對 三越丁子 大百貨店戰 (Hwasin & Tŏkwŏn vs. Mitsukoshi & Chōjiya: The Great Department Store Battle)
Author:	申泰翊
Article Type:	논설 (Editorial/Opinion Piece)

Hwasin & Tŏkwŏn vs. Mitsukoshi & Chōjiya: The Great Department Store Battle
						By Sin T'aeik

Very few people gratefully accept criticism. As a Korean, I do not wish to point out the shortcomings of Korean stores. However, isn't it true that where there is no criticism, there is no progress or improvement? I intend to briefly write about the current situation of the large department stores facing each other in the northern and southern villages (Pukch'on and Namch'on) of Kyŏngsŏng. Even if there are phrases that are grating to the ear, I hope you will deeply understand that this is not born of malice, but from a sincere heart hoping for much reflection.

I. The Lineup of the Two Opposing Department Store Camps

Looking at the commercial streets of Kyŏngsŏng as a whole, it has long been the case that the boundary line between the northern and southern villages is too distinct. However, as time passes, one can realize each year that the boundary line gradually encroaches upon the northern village. This means nothing other than that the area of the southern village commercial district, where Japanese people have set up camp, is expanding into the northern village, the gathering place for Korean stores. As the southern village commercial district expands in this way, Korean stores are pushed towards Tongdaemun and Sŏdaemun, and the result is simply that their numbers decrease. This can be seen as the commercial landscape of Kyŏngsŏng. Besides this, going deeper into the internal situation, it is impossible to list one by one the many pressures Korean stores are under in terms of real power, and since this article intends to discuss department stores, I will omit discussion outside this scope.
So, what is the current state of department stores in Kyŏngsŏng? Korean department stores and Japanese department stores are also divided between the northern and southern villages, facing each other across the way. Against Hwasin Department Store (和信商會) and Tong-A Trading Company (東亞婦人商會) stand Mitsukoshi Dry Goods Store (三越吳服店) and Chōjiya (丁子屋). Looking at this confrontation, one might think that Korean department stores also hold considerable power. However, in reality, it is quite different. First, let's look at the lineup of the two camps.
(1) Hwasin Department Store (和信商會): Originally specializing in precious metals (金銀商), perhaps having realized something, it suddenly took its first step into the department store business by setting up a general merchandise section in a corner. As this proved insufficient to fulfill the functions of a department <52> store, it expanded its store space and, at the same time, largely imitated the style of the Hirata Shōten (平田商店) in Namch’on, flying the banner of a department store. However, not only is the store space narrow, but I think its scale as a department store is too small given its lineup to date. Nevertheless, as it is one of the two Korean department stores, I pray for its strenuous efforts.
(2) Tong-A Trading Company (東亞婦人商會): Before the current manager took over, it was a single general merchandise specialty store. From the time the current manager, Mr. Ch'oe Nam (崔楠氏), took charge, the store was expanded, and it began to show the lineup of a department store for the first time. However, this too is excessively small in scale for a department store.
(3) Mitsukoshi Dry Goods Store (三越吳服店): As this is indeed a branch of the place renowned as the king of department stores in Japan, it is natural that its scale is the largest in Korea. Moreover, having built a large, latest-style building with novel facilities at the entrance of Honmachi (本町), although we speak of confrontation, the Korean department stores are in a state where they dare not even glance sideways.
(4) Chōjiya (丁子屋): This place was originally a Western clothing specialty store (洋服專門商), but having awakened to the general trend, it now stands as a proper department store, confronting Mitsukoshi next door.

II. Capital War... Customer Acquisition War

As mentioned above, it is a fact that in terms of lineup, Korean department stores are smaller in scale compared to Mitsukoshi or Chōjiya. However, it is likely not because the Korean department stores lack the intention to operate on a large scale like Mitsukoshi and Chōjiya. I believe they would wish to operate on an even larger scale than Mitsukoshi and Chōjiya. But there must be various reasons why they cannot operate on a large scale, and among them, the fundamental reason is that in the capital war, the Korean department stores are being overwhelmingly crushed. Mitsukoshi has its head office, a joint-stock company (株式會社), in Tokyo, so its capital is sufficient. And although Chōjiya cannot surpass Mitsukoshi, it also possesses considerable capital, enough to operate a department store in Korea without excessive hardship (困窮). However, turning our attention to the inner workings of Hwasin or Tong-A, it is truly stifling. It is difficult to speak of their capital amount, which can be called the second lifeblood of a merchant, and it is not easy to ascertain the exact figure (both are individually managed). In any case, I will state that the capital of the Hwasin and Tong-A department stores is very different from what the world imagines. Also, according to hearsay, although the current managers are said to be Mr. Sin T'aehwa (申泰和氏) and Mr. Ch'oe Nam (崔楠氏), the real so-called financiers (錢主), the ones providing the money, are supposedly different people. If this rumor is true, could this be a major reason for the small scale of the department stores?
Next, let's look at how they attract customers through advertising and methods.
(1) Hwasin Department Store: Their most skillful tactic for attracting customers is the "Perpetual Prize-Attached Grand Sale" (萬年景品附大賣出). Perhaps thinking that Korean customers are only drawn by the allure of prizes (景品), there is never a time throughout the year when they are not holding a prize-attached grand sale. Other than occasionally blowing horns and holding flag parades (旗行列), I have not seen any real advertising. Also, looking at their customer service skills, it is likely largely true that they offer a commonplace attitude (平凡한 態度) where one cannot find any particular sense of kindness (親切).
(2) Tong-A Trading Company: As the owner, Mr. Ch'oe Nam, is a man of great enthusiasm (熱誠), many people have expectations (期待) for his future (前途). However, I have not seen any particular advertising from Tong-A that could be considered effective in attracting customers. According to news (消息) I've heard, because he has established many branches of general merchandise stores in various regions, the degree of effort he puts into Tong-A Trading Company has greatly decreased (低下) compared to before. Perhaps for this reason, Tong-A's energy (氣勢) seems somewhat diminished lately.
(3) Mitsukoshi Dry Goods Store: As mentioned above, due to its abundant capital (豊富한 資本), vast store space (宏大한 店舖), and spectacular facilities (可觀의 設備), even without employing special advertising methods, Korean customers, driven by curiosity (好奇心), direct their steps towards Mitsukoshi.
(4) Chōjiya: While its store space is not inferior (遜色) to Mitsukoshi, its interior facilities (內部의 設備) are actually more effectively designed to attract Korean customers. Also, Chōjiya employs relatively (比較的) more strategies for absorbing (吸收策) Korean customers than Mitsukoshi. Thus, they occasionally advertise selling goods needed by Koreans (朝鮮人需用), like broad cotton cloth (廣木) and artificial silk (人造絹), at low prices (廉價), and there are often times when Chōjiya is packed (갓득차는) with customers dressed in white (흰옷입은 손님).
In this way, the increasing number of Korean customers directing their steps daily towards either Mitsukoshi or Chōjiya is seen as an unstoppable phenomenon (現象).

III. What About Daily Sales Volume?

As Mitsukoshi and Chōjiya exert expanding power, while Hwasin and Tong-A (on page 74) <53> (Continued from page 58) strive to exert contracting power, one can guess the superiority or inferiority (優劣) of their momentum (氣勢). Therefore, regarding which side has higher daily sales (1日賣上高) and by how much, I cannot say. It is impossible to know the figures, which are the greatest secret in commerce. One can only guess the superiority or inferiority through superficial observation (皮相的 觀察). That is, it is certain (물론) that Hwasin and Tong-A, being smaller in scale and having only poor (貧寒) Korean customers, have lower sales than Mitsukoshi and Chōjiya. Therefore, let's compare the superiority and inferiority by dividing them into two camps. First, regarding which one sells more between Hwasin and Tong-A, I would say Hwasin likely has higher sales than Tong-A. And I view it as undoubtedly true that Mitsukoshi has higher sales than Chōjiya.

IV. The Figures of the Business Leaders

In terms of management personnel (經營者), Hwasin and Tong-A also cannot catch up (딸어갈 수가 업다) to Mitsukoshi and Chōjiya. Hwasin's Mr. Sin T'aehwa (申泰和氏), having managed a precious metals business, it is questionable whether he possesses knowledge of commerce, and there is no one working under him who could be considered noteworthy; they are all of the traditional style (在來式), skilled only in saying "Sell the goods, yes sir." Also, looking at Tong-A's Mr. Ch'oe Nam (崔楠氏), although he lacks special academic credentials (學歷), it is true that he possesses some talent (才質) for commerce. However, as mentioned above, lately he is focusing his efforts (注力) on establishing and developing regional branches, so no remarkable activity (活躍) is visible. But Mitsukoshi and Chōjiya are both staffed entirely by people with considerable knowledge of commerce, who advance onto the commercial battlefront (商業戰線) after repeated study upon study (硏究에 硏究를 거듭하야).

V. Oh, Hwasin and Tong-A Department Stores!

Who would not feel sympathy (同情) upon seeing their weakened state (쇠약한 모양), battered by the harsh winds (모진 바람)? And at this time when the harsh winds are intensifying hour by hour (時時刻刻), who will support them as they fall (넘어지는)? Only the Korean customer. Let us sustain (扶持시키자) the Korean department stores, which are trembling (발발 떨고 잇는), unable to exert their energy (氣勢). This is the duty (義務) of being a Korean. Do not just seek out bustling (繁華) places simply because you enjoy them (질겨서)!
However, it is not the customers' fault (탓) that their steps are directed towards Mitsukoshi and Chōjiya. The operators of the department stores also bear some responsibility. Of course, there are capital (資本) and various other unspoken circumstances (事情), but the managers lack knowledge of the department store business, and their advertising methods are outdated (뒤떨어진 것) and merely repeated (되풀이만 한다). They seem to have too little thought about paving the way forward (압길을 열어 나아감).
Hwasin and Tong-A department stores, rise up! Where there is collapse (업드러지는 곳에), there must be the courage (勇氣) for resurgence (再起).<74>
<52-53, 74>

**Summary**

This 1931 editorial by Sin T'aeik laments the struggling state of Korean-owned department stores, Hwasin and Tong-A, in Kyŏngsŏng (colonial Seoul) compared to their larger, better-funded Japanese competitors, Mitsukoshi and Chōjiya. The author analyzes the disparities in scale, capital, advertising strategies, customer service, and management expertise, noting how Japanese stores are expanding their territory and attracting more Korean customers. While acknowledging external pressures like lack of capital, Sin criticizes the Korean stores for insufficient business knowledge and outdated methods, urging them and Korean consumers to support Korean businesses out of national duty, while also calling on the stores themselves to innovate and strive for resurgence. For historians, this article offers a valuable glimpse into the economic realities of colonial Korea, highlighting the unequal competition between Korean and Japanese businesses, the role of capital and modern business practices, the nascent consumer culture among Koreans, and the blend of economic critique with nationalist sentiment urging ethnic solidarity in consumption. The description of specific stores, advertising tactics (like prize giveaways vs. targeted sales), and customer demographics provides concrete details about the urban commercial landscape of the time.

**Named Entities**

和信	화신	Hwasin
德元	덕원	Tŏkwŏn (Appears in title only, likely associated with Hwasin or another Korean store contextually, but not explicitly defined in the text body as a separate entity like Hwasin/Tong-A vs Mitsukoshi/Chojiya)
三越	미츠코시	Mitsukoshi
丁子	정자	Chōji (Appears in title only, refers to 丁子屋 Chōjiya)
申泰翊	신태익	Sin T'aeik
京城	경성	Kyŏngsŏng
南村	남촌	Namch'on
北村	북촌	Pukch'on
日本	일본	Japan
朝鮮人	조선인	Korean(s)
東大門	동대문	Tongdaemun
西大門	서대문	Sŏdaemun
和信商會	화신상회	Hwasin Department Store
東亞婦人商會	동아부인상회	Tong-A Trading Company (lit. East Asia Women's Commercial Association)
三越吳服店	미츠코시 오복점	Mitsukoshi Dry Goods Store
丁子屋	쵸지야	Chōjiya
金銀商	금은상	Precious metals merchant/business
平田商店	히라타 상점	Hirata Shōten
崔楠	최남	Ch'oe Nam
本町	혼마치	Honmachi
東京	도쿄	Tokyo
申泰和	신태화	Sin T'aehwa

**Glossary**

短處	단처	Shortcoming, weak point
批評	비평	Criticism
進步	진보	Progress
改善	개선	Improvement
對峙	대치	Confrontation, standing opposite
陣容	진용	Lineup, formation
商街	상가	Commercial street, shopping district
境界線	경계선	Boundary line
擴大	확대	Expansion, enlargement
實勢力	실세력	Real power, actual influence
壓迫	압박	Pressure, oppression
百貨店	백화점	Department store
實際	실제	Reality, actuality
規模	규모	Scale, size
吳服店	오복점	Dry goods store (primarily kimono fabrics)
支店	지점	Branch store
設備	설비	Facilities, equipment
敢히	감히	Daringly, boldly (often used in negative sense: 'dare not')
견눈질	곁눈질	Sideways glance (older spelling of 곁눈질)
資本戰	자본전	Capital war
顧客	고객	Customer
根本的	근본적	Fundamental
理由	이유	Reason
餘地업시	여지없이	Without room/leeway, overwhelmingly (older spelling/form of 여지없이)
株式會社	주식회사	Joint-stock company, corporation
充足	충족	Sufficiency, adequacy
困窮	곤궁	Hardship, poverty, distress
內容	내용	Content, substance, inner workings
想像	상상	Imagination
錢主	전주	Financier, money owner (lit. 'money master')
宣傳	선전	Advertising, propaganda
솜씨	솜씨	Skill, dexterity
景品	경품	Prize, premium gift
對客	대객	Dealing with customers, customer service
親切	친절	Kindness, friendliness
平凡	평범	Ordinary, commonplace
態度	태도	Attitude
熱誠	열성	Enthusiasm, zeal
前途	전도	Future prospect
期待	기대	Expectation
消息	소식	News, information
低下	저하	Decline, decrease
氣勢	기세	Vigor, energy, momentum
豊富	풍부	Abundance
宏大	굉대	Vast, grand
可觀	가관	Spectacular, impressive, worth seeing
好奇心	호기심	Curiosity
遜色	손색	Inferiority, unfavorable comparison (used as 'no inferiority' = 'not inferior')
吸收策	흡수책	Absorption strategy/policy
比較的	비교적	Relatively
需用	수용	Need, demand
廣木	광목	Broad cotton cloth (calico)
人造絹	인조견	Artificial silk (rayon)
廉價	염가	Low price
賣上高	매상고	Sales volume, turnover
優劣	우열	Superiority or inferiority
皮相的	피상적	Superficial
觀察	관찰	Observation
貧寒	빈한	Poor, needy
首腦者	수뇌자	Leader, head person
學歷	학력	Academic background/credentials
才質	재질	Talent, aptitude
注力	주력	Concentrating effort
活躍	활약	Activity, being active
戰線	전선	Battlefront
쇠약	쇠약	Weakness, feebleness
同情	동정	Sympathy
時時刻刻	시시각각	Moment by moment, hour by hour
義務	의무	Duty, obligation
繁華	번화	Bustling, prosperous
탓	탓	Fault, blame
其他	기타	Other
事情	사정	Circumstances, situation
되풀이	되풀이	Repetition
압길	앞길	The way forward, future path (older spelling of 앞길)
再起	재기	Resurgence, comeback
勇氣	용기	Courage


---------------------------


잡지명	삼천리 제12호
발행일	1931년 02월 01일
기사제목	和信德元 對 三越丁子 大百貨店戰
필자	申泰翊
기사형태	논설

和信德元 對 三越丁子 大百貨店戰
						申泰翊
바른말 하는 것을 고맙게 들어주는 이가 매우 적다. 내가 朝鮮사람으로서 朝鮮人商店의 短處를 들고십지 안타. 그러나 批評이 업는곳에 進步와 改善이 업는 것이 아닌가. 지금의 京城南北의 兩村으로 對峙하야 잇는 大百貨店의 光景을 簡單히 써보랴 하는 것이다. 귀거슬이는 句節이 잇슬지라도 이는 惡意的으로 맨든 것이 아니라 만흔 反省이 잇기를 바란다는 衷情에서 나온것임을 기피 살펴주기를 바란다.

一. 對峙한 두 便의 百貨店陣容

京城全體의 商街를 보면 南北의 兩村으로 그 境界線이 너무 分明하게 되여온지가 오랜일이다. 그러나 때가 감을 딸아서 그 境界線이 漸漸 北村으로 닥어짐을 每年 깨달을 수가 잇다. 이 말은 달은 것이 아니라 日本사람이 陣을 치고 잇는 南村商街의 區域이 朝鮮人商店의 集合處인 北村으로 擴大되여간다는 말이다. 이와가티 南村商街가 擴大됨을 딸아서 朝鮮사람들의 商店은 東大門, 西大門쪽으로 밀니며 또 그 수가 줄어갈 뿐이라는 결과를 나타내고 잇다. 즉 이것을 京城의 商界相이라고 볼수 잇다. 이 밧게도 內面으로 들어가서 實勢力에 朝鮮人商店들이 만흔 壓迫을 밧고 잇는 일을 일일히 둘 수가 업는 터이며 또 이곳에서는 百貨店을 말하랴는 까닭에 이 範圍外의 말은 그만 두랴 한다.
그런대 현재에 京城의 百貨店은 어떠한 狀態에 잇는가? 역시 朝鮮人의 百貨店과 日本人의 百貨店이 南北村으로 난호여 서로 건너다 보고 잇는 터이다. 和信商會, 東亞婦人商會에 대하야 三越吳服店, 丁子屋이다. 이러케 對立하야 잇는 점으로 보아서는 朝鮮人 百貨店도 相當한 勢力을 잡고 잇는 것가티 생각이 들 수도 잇다. 그러치만 實際에 잇서서는 아주 딴판이다. 먼저 두 便의 陣容을 보자.
(1) 和信商會 元來 金銀商을 專門으로 하여오다가 무엇에 깨달음이 잇섯는지 遽然히 百貨店의 첫걸음으로 雜貨部를 한 便 모통이에서 設置하얏다가 이로써 百貨<52>店의 機能을 發揮할 수가 업섯슴으로 店舖를 增築하는 동시에 그 때로부터 南村에 잇는 平田商店의 式을 만히 模倣하야 百貨店이란 旗빨을 날리엿다. 그러나 店舖가 狹少할 뿐만 아니라 至今까지의 陣容을 가지고는 百貨店으로서 規模가 너무 적다고 생각한다. 그러나 이 亦 朝鮮百貨店의 둘중에 하나인 만큼 그의 奮鬪를 빈다.
(2) 東亞婦人商會 現經營者가 맛터하기 전에는 한 개의 雜貨專門商이엇다가 現經營者 崔楠氏가 引續한 때로부터 店舖를 增築하는 동시에 비로소 百貨店의 陣容을 나타냇다. 그러치만 이 亦是 百貨店으로서는 너무 規模가 적다.
(3) 三越吳服店 이야발로 日本에서 百貨店의 王이라는 稱을 밧는 곳의 支店인 만큼 그 規模가 朝鮮一이 되야 잇는 것은 당연한 일이다. 더구나 本町入口에다가 最新式의 大建築에 嶄新한 設備를 하야 노앗슨 즉 말이 對峙이지 敢히 朝鮮人百貨店이 견눈질도 못하고 잇는 狀態이다.
(4) 丁子屋 이곳은 元來 洋服專門商이엇스나 大勢에 깨달른 바가 잇서 인제는 當當한 百貨店으로 그 이웃에 잇는 三越과 對抗을 하고 잇는 狀態에 잇다.

二. 資本戰... 顧客爭奪戰

以上과 가티 陣容에 잇서 朝鮮人百貨店이 三越이나 丁子屋에 비하야 規模가 적은 것이 사실이다. 그런대 朝鮮人百貨店도 三越, 丁字屋처럼 大規模로 할 맘이 업는 까닭이 아닐 것이다. 그들은 三越, 丁子屋 以上의 大規模라도 하고 시퍼할 것으로 생각한다. 그러나 大規模로 못하는 原因이 여러 가지로 잇슬것이며 그 중에도 根本的 理由로는 資本戰에 잇서 朝鮮사람의 百貨店이 餘地업시 눌리고 잇는 까닭이다. 三越은 株式會社인 本店이 東京에 잇슴으로 資本金이 充足하고 또 丁子屋이 三越 以上을 갈 수 업스나 亦 相當한 資本金을 가지고 잇서 朝鮮에서 一百貨店을 經營하는 데는 過히 困窮을 안느낄 程度에 잇다. 그러나 고개를 돌이켜 和信이나 東亞이나 內容을 들어가보면 참말로 氣가 막힌다. 商人의 第2 生命이라고 할수 잇는 資本額을 말하기가 어렵고 또 容易히 그 額數를 알어낼 수가 업다.(모다 個人經營) 何如間 和信, 東亞의 兩百貨店資本이라는 것은 世上에서 想像하는 것과 매우 틀린다는 것을 말해둔다. 또 전하는 말에 의하면 現經營者가 申泰和씨, 崔楠씨이라하나 실은 所謂 錢主 즉 돈대이는 딴 사람이라 한다. 萬若 이 말이 사실이라하면 百貨店의 規模가 적은 것에 그것이 큰 原因이 아닐가 생각한다.
다음에는 顧客을 어떠한 宣傳과 방법으로 끄흐는가를 보면 알에와 갓다.
(1) 和信商會 이곳에서 손님을 끄흐는데 가장 잘 하는 솜씨라는 것은 『萬年景品附大賣出』이라는 것이다. 朝鮮사람의 손님은 景品맛에만 끌리는 줄 아는지 1년간을 두고 景品附大賣出이 아닌 때가 업다. 그러고 때때로 호적불고 旗行列를 하는 외에는 宣傳다운 것을 못 보앗다. 또 對客하는 솜씨로 보아서도 특별히 親切한 맛을 차질 수 업는 平凡한 態度이라는 것이 큰 틀림 업슬 것이다.
