Magazine Title	삼천리 제4권 제8호
Publication Date	1932년 08월 01일
Article Title	東亞·和信 兩 百貨店 合同內幕, ―그 내용과 今後 觀望 (The Inside Story of the Merger of Tonga and Hwasin Department Stores — Its Details and Future Outlook)
Author	申泰翊
Article Type	소식 (News/Report)

The Inside Story of the Merger of Tonga and Hwasin Department Stores — Its Details and Future Outlook
						Sin T'aeik

When speaking of department stores managed by Korean hands, one would mention the pair, Tonga Department Store and Hwasin Company. Indeed, there are no others (there are none even in the provinces). This doesn't mean that these are the only two department stores in Kyŏngsŏng. There are department stores larger in scale than these two, namely Mitsukoshi, Chōjiya, Hirata, and Mitsunakai, lined up. Squeezed between these large-scale department stores, this pair of department stores, positioned above and below each other, twisting and turning, have struggled greatly to turn back the feet of Korean customers flocking to the department stores in Namch'on (South Village).

Truly, with various kinds of advertisements, these two department stores were anxious to attract customers. Thus, at times, there were advertisements that deviated from the norm. However, as it was something done by those with little power and under the pressure of large capital, we have overlooked their faults and only wished for the healthy growth and longevity of these two places.

Tonga Department Store and Hwasin Company, which had thus drawn much anticipation and great attention from Koreans, are said to have decided to become one entity. Hearing these words, an indescribably tangled thread of thoughts became jumbled in my head. Of course, since this merger involves the two department stores managed by Koreans, upon hearing the simple news that they are becoming one entity, one shouldn't worry greatly. Like the saying, "even a single sheet of paper is lighter when held together," one might think that joining small forces provides the strength to withstand large-scale competitors. Considering this point, the news that Tonga and Hwasin are becoming one entity might not be such an ominous thing<57>. However, the affairs of the world are not simple. Worldly matters are truly complex. It is proven by overly clear examples that one cannot definitively say the inside (裡面) is the same as the surface based solely on what appears on the outside. Then, to what category should the merger of Tonga and Hwasin be seen as belonging? When I think about this, the first thing that comes out of my mouth is, "It's something unknowable." And many doubts cloud my view.

No, it's not because I know there is something impure about the merger, but perhaps it's pride, or perhaps maintaining appearances; whatever the reason, the fact that there are four Japanese department stores in Kyŏngsŏng, while even just two Korean-managed department stores exist in the Pukch'on (North Village) shopping district, gives some sense of reassurance, and consequently, affection arises from paying too much attention to them. Since the two department stores have already decided to become one entity, it is necessary to hear the details of this merger. Therefore, combining what I have heard with what I have been thinking, I believe it is not the act of an idler (閑客) to glimpse even a fraction of where the true nature of this merger lies and to consider what path this merger will tread in the future.

The Reason for This Merger

As the world knows well about Tonga Department Store and Hwasin Company, and since I have written about them twice on the pages of this Samch'ŏlli magazine, I will omit explanations of what Tonga is and what Hwasin is. However, when one speaks of the merger of these two department stores, one might think that the managers of both places have decided on joint management. But this merger is not like that.

It means that the manager of Tonga Department Store sold Tonga Department Store to the manager of Hwasin Company. Therefore, rather than calling it a merger of the two department stores, it is more appropriate to say that Hwasin Company purchased Tonga Department Store.

What is the reason why these two department stores, which had competed fiercely side-by-side until today, decided to become one entity? Regarding this, the authorities of the two department stores say the following:
Following the trend of the times, they managed department stores, but the times are recessionary. Moreover, not only is it impossible to compete against Mitsukoshi, Chōjiya, etc., which advance with great momentum backed by large capital, but also Tonga and Hwasin department stores, standing shoulder to shoulder, engaged in excessive competition to attract customers, resulting in significant losses rather than profits. Therefore, the manager of Tonga, Mr. Ch'oe Nam, handed over his department store to the manager of Hwasin, Mr. Pak Hŭngsik. Thus, with the spirit of preventing losses for both sides, a courageous decision was made, leading to the finalization of this merger.

These are truly words worth listening to, and the situation deserves much sympathy. However, from my perspective, while the above reasons for the merger cannot be entirely dismissed, the hidden reasons behind these superficial explanations cannot be ignored either. I will postpone discussion on this to the next section. Since the merger occurred in this way, let's hear what the details of this merger are. According to the authorities of the two department stores:

To prevent fierce competition between the two department stores, Mr. Pak and Mr. Ch'oe Nam met on July 13th and first discussed the merger. Then, on July 14th, they formally met at the Chosŏn Hotel, exchanged opinions on the circumstances that disallowed the confrontation between the two department stores, and the next day, the 15th, after staying up all night at Namsanjang, the contract to hand over Tonga Department Store to Hwasin Company was finally concluded.<58> And the main points of this contract are as follows:

O To validate this contract, Mr. Pak Hŭngsik shall pay 10,000 won to Mr. Ch'oe Nam as a contract deposit.
O Starting from August 1st, the merchandise of Tonga Department Store shall be inventoried, and the payment shall be made at 70% of the cost price market value.
O Accordingly, Mr. Pak Hŭngsik shall take over the trade name (商號) of Tonga, accounts receivable (外上代金), debts (負債), etc., entirely, while Mr. Ch'oe Nam agrees not to engage in the same type of business for one year.
O The employees of Tonga shall continue to be employed by Hwasin as they are.

Following the finalization of the above clauses, Tonga was completely transferred to Hwasin. I also have my views on this, but if space permits later, I will speak then; for now, I shall stop here.

Why Was Tonga Sold?

Thus, through the explanations of the authorities regarding the merger of the two department stores, the general course of events can be understood. So, were there no other hidden reasons behind the superficial justifications for this merger? I feel a desire to know. Regarding this, based on what I have heard and seen, I believe it hinges entirely on the following reasons.

I have briefly mentioned through the pages of this Samch'ŏlli magazine how Mr. Ch'oe Nam, the owner of Tonga Department Store, came to run a general store and what background led to the department store, so I will avoid repeating myself here. However, this point needs clarification. Originally, Mr. Ch'oe was a man without money who had great aspirations for commerce, so he persuaded someone with money and used that money to enter the business world. Indeed, if there hadn't been a person with money, even with great aspirations, becoming the owner of today's Tonga Department Store would have been difficult. Let's then see who was behind Mr. Ch'oe.

From Tŏkwŏn Store (德元상점) to the management of Tonga Women's Store (東亞婦人 상회), everything was sustained by the power of a certain Mr. Kwŏn. Later, seeing Mr. Min constructing a large building on Chongno, he conceived the plan for Tonga Department Store. However, realizing that managing a complete department store was impossible since he was using someone else's money, he sought out influential figures in the Kyŏngsŏng business world at that time, namely the owners of OOO Store in fabrics, OO Tang in watches, OOO Tailor Shop in Western clothes, and OO Company in gold and silver, and strongly advocated for leasing Mr. Min's building to manage a large chain department store under Korean hands.

Although it seemed likely at first, when it ultimately failed to materialize, Mr. Ch'oe indignantly gathered wealthy individuals like his own financier Kwŏn, Cho OO of OO Pharmacy, and Kim OO of Paeugae, and began managing it solely by himself.

One more thing to add here: while Kwŏn had not appeared publicly until the time of Tonga Women's Store, from the time Tonga Department Store began operations, Kwŏn also appeared openly, sitting desk-to-desk with Mr. Ch'oe and handling affairs. Not only that. The cash flow of Tonga Department Store was entirely managed by Kwŏn's direct subordinates. Kwŏn's influence did not end there. He made Kyŏngsŏng City Council member Mr. Kim Sayŏn his man under the title of manager. Why did Kwŏn come to monitor Mr. Ch'oe like this? I think there might have been such reasons. Until Tonga Women's Store,<59> the scale was not large, but managing Tonga Department Store required a large scale and consequently a large investment of capital. Therefore, thinking that he could no longer entrust it solely to Ch'oe as before, Kwŏn's influence grew one by one as described above.

Even with all this, if the finances of Tonga Department Store had balanced, it might have been different. But trusting only in Ch'oe's skill, a large amount of money was invested, and about a year into management, they incurred significant losses (according to someone, they lost 70,000 won during that time), causing Kwŏn and the other financiers to be astonished and lose color (驚愕失色). Thus, they began to think about how they could recover the invested capital. What thoughts did Mr. Ch'oe Nam have at this time? It probably occurred like this. He likely had a strong desire to preserve this Tonga Department Store at all costs, using every possible strategy. However, since Ch'oe was a man without money, he likely couldn't go against the financiers' intentions. That's why Mr. Ch'oe Nam, the owner of Tonga Department Store, ended up offering the large signboard of Tonga Department Store, after only one year of management, to the fiercely competing Hwasin Company. Without needing further explanation, one can guess from the above course of events why Tonga was sold.

How Much Strength Does Hwasin Have?

Regarding the Tonga Department Store side, let's conclude with the above. This time, regarding Hwasin Company, which absorbed Tonga, what strength does it possess that enabled it to merge the two department stores into one entity? Speaking of Hwasin naturally necessitates mentioning its representative, Mr. Pak Hŭngsik. Like Mr. Ch'oe Nam, I have already mentioned what kind of person Mr. Pak is through the pages of Samch'ŏlli. Mr. Pak is from Yonggang, P'yŏngan North Province, and seems to have trodden a path of good fortune (僥幸) to achieve the great activity seen today. I will omit the detailed account of this and just mention that Mr. Pak, today, seems like a person who strives to shape any business, even slightly related to him, according to his own will, in a manner of charging left and right (左衝右突). In any case, even attaching the character for 'chaebol' (閥字) wouldn't be too presumptuous in Korea, as Mr. Pak manages quite a number of businesses. Sŏnil Paper (鮮一紙物), Sŏn'gwang Printing (鮮光인쇄), and finally, the management of Hwasin Company were added. What is the extent of Mr. Pak's financial power, managing such various businesses? As this concerns another's creditworthiness, I do not know, and even if I did, it is something I cannot say. I will only mention that behind Mr. Pak stands the OO Bank. Also, Mr. Pak possesses an unusual skill (長技) in utilizing banks, enabling him to display activity beyond expectations. Like Tonga Department Store, Hwasin Company also failed to turn a profit, but Mr. Pak sought to extend his hand everywhere to open paths for expansion. Thus, there is talk that he attempted to merge with the neighboring OO Trading Company to plan for a large department store. In this way, Mr. Pak is enthusiastic about setting things up, regardless of the eventual outcome. At such a time, upon hearing the offer to buy the competing rival, Tonga Department Store, Mr. Pak readily agreed and quickly accepted it.

So, What Will Happen Now?

In any case, Tonga and Hwasin have become one entity.
Since the merger has happened like this, whether it was formed solely for the reasons they state or for other reasons, there is no use in lengthy discussion. Now that they have merged, it is the duty of Koreans to wish that, as a Korean-managed entity, it lays a foundation solid as bedrock (盤石) and displays the grand stature (雄姿) of the only major department store in Korea. Therefore, I intend to watch with wide eyes, hoping for the healthy growth of this merged department store. However, regarding this merger of the two department stores, various conflicting rumors (區區不一한 전설) circulate in the world. Of course, <60> I believe many are baseless fabrications (虛說). I do not wish to lend an ear to such rumors. From now on, I firmly believe that this newly independent department store will become the vanguard, invigorating the Pukch'on southern street, and march forward. With these thoughts, I would like to offer a few words of request to Mr. Pak Hŭngsik, who has come to manage this merged department store. These words might echo unanswered, but I cannot simply stand by watching the desolate state of the Korean Namch'on street and its decline. Please understand that even a hoarse voice cries out from a heart wanting to support even the single Korean-managed department store.

Mr. Pak! You are truly a courageous person. Saying this might sound like flattery, but it is not. Is there anyone in the Korean business world who has established as much as you? When Tonga Department Store first emerged, although I had no connection whatsoever, I was inwardly very pleased. Thus, I celebrated the birth of Tonga Department Store through the pages of this Samch'ŏlli magazine and prayed earnestly for its longevity. However, I once said this to a certain store owner friend:
"It's good that Tonga Department Store has appeared, but since it's not accomplished by Ch'oe Nam's own strength, its continuation is doubtful, and furthermore, the idea of a Korean managing a department store... I hoped my thoughts would turn out wrong."
Just one year after saying this, that friend tells me that the result turned out exactly as I had feared.

Mr. Pak! Of course, I do not believe you are someone who would abandon it midway like Mr. Ch'oe. Believing in your youth and the great power supporting you, I trust you will ensure its steady growth without any change. No, considering that the Korean-managed department store has become a single entity, you must redouble your efforts and activities. Your responsibility henceforth is very heavy. I believe you understand this well. At the symposium on relief measures for small and medium-sized merchants and industrialists hosted by OO Daily News, I remember you saying something like this:
"The plight (窮境) of Korean small and medium-sized merchants is not insignificant. They are truly facing a crisis. If things continue like this for another year, Korean small and medium-sized merchants will have no path but ruin."
Indeed. You saw it clearly. It is a fact that Korean merchants are facing an imminent crisis (危機一髮). There is no need for repeated requests to you who know this so well, but when a matter is weighty and great (重且大), repeated caution is prompted (족케).

Mr. Pak! I have heard many things. I do not wish to speak of what I have heard. However, among the circulating rumors, there is one that causes me the greatest apprehension (危懼), but thinking calmly, I find some reassurance trusting your skill. You must not harbor thoughts like those you had when you first formed a relationship with Hwasin through an incidental monetary OO. You should exercise extreme caution, considering how far the repercussions (파문) might spread if you mismanage this department store even once.

Mr. Pak! Considering your leap from your starting point in the Yonggang region to your advance into Kyŏngsŏng, while your own skill played a part, I believe much good fortune (僥幸) was involved. Therefore, contemplating your path forward, I cannot help but make repeated requests (重言復言).

Mr. Pak! Your ears may ache, but finally, I earnestly hope that the rumors (風說) surrounding this department store indeed vanish like mere rumors, and that you advance fiercely with steadfast strategy (堅固不拔), possessing life long, long...
1932, July 26, From sickbed<61>

**Summary**

The article discusses the recent acquisition of Tonga Department Store by Hwasin Department Store, both Korean-owned businesses in colonial Kyŏngsŏng (Seoul). While the official reason given is the need to consolidate against overwhelming competition from larger Japanese department stores (Mitsukoshi, Chōjiya, etc.) and avoid mutually destructive internal competition, the author suspects deeper financial troubles, particularly for Tonga's owner, Ch'oe Nam, who relied heavily on external financiers like a Mr. Kwŏn. The author expresses cautious optimism for the merged entity under Hwasin's owner, Pak Hŭngsik, known for his business acumen and backing from OO Bank, but urges him to manage responsibly, aware of the heavy burden of representing the sole major Korean department store and the potential negative impact of failure on the Korean business community amidst widespread rumors. The article offers a glimpse into the precarious position of Korean capital and entrepreneurship under Japanese rule, highlighting the intense competition from Japanese businesses, internal financial vulnerabilities, and the symbolic importance attached to maintaining Korean-owned enterprises. Historians might find the detailed account of the merger's background, the mention of specific financiers and business figures (even if partially censored), the explicit comparison with Japanese competitors, and the author's blend of nationalist sentiment and cautious skepticism particularly valuable for understanding colonial economic dynamics and the social pressures on Korean business elites.

**Named Entities**

東亞백화점	동아백화점	Tonga Department Store
和信상회	화신상회	Hwasin Company
三越	미쓰코시	Mitsukoshi
丁字[屋]	조지야	Chōjiya
平田	히라타	Hirata
三中井	미쓰나카이	Mitsunakai
京城	경성	Kyŏngsŏng
朝鮮	조선	Chosŏn
南村	남촌	Namch'on
北村	북촌	Pukch'on
申泰翊	신태익	Sin T'aeik
崔楠	최남	Ch'oe Nam
朴興植	박흥식	Pak Hŭngsik
朝鮮 「호텔」	조선 호텔	Chosŏn Hotel
南山莊	남산장	Namsanjang
權某	권모	Kwŏn Mo
德元상점	덕원상점	Tŏkwŏn Store
東亞婦人상회	동아부인상회	Tonga Women's Store
閔씨	민씨	Min ssi
鍾路	종로	Chongno
OOO상점	OOO상점	OOO Store
OO당	OO당	OO Tang (Watch Store)
OOO양복점	OOO양복점	OOO Tailor Shop
OO상회	OO상회	OO Company (Gold/Silver)
OO약방	OO약방	OO Pharmacy
조OO	조OO	Cho OO
金OO	김OO	Kim OO (from Paeugae)
金思演	김사연	Kim Sayŏn
京城府議	경성부의	Kyŏngsŏng City Council
OO은행	OO은행	OO Bank
OO무역회사	OO무역회사	OO Trading Company
鮮一紙物	선일지물	Sŏnil Paper
鮮光인쇄	선광인쇄	Sŏn'gwang Printing
龍江	용강	Yonggang
OO일보	OO일보	OO Daily News

**Glossary**

업다	없다	to not exist, to not have (older spelling)
잇다	있다	to exist, to have (older spelling)
밧다	받다	to receive (older spelling)
갓트다	같다	to be like, same as (older spelling)
맛들면	맞들면	if held together (older spelling/form)
겻고 틀면서	곁고 틀면서	twisting and turning alongside
몰려가는	몰려가는	flocking to, crowding towards
더퍼 두고	덮어 두고	overlooking, covering up
끌허오든	끌어오던	which had been attracting (older spelling/form)
엉크러젓다	엉클어졌다	became tangled, jumbled
어듸잇는가	어디 있는가	where is it? (older spelling)
드른 바	들은 바	what was heard (older spelling)
너며가 버렷다	넘어가 버렸다	was completely transferred/went over (older spelling)
업섯슬가	없었을까	would there not have been? (older spelling)
듯고 본 바	듣고 본 바	what was heard and seen (older spelling)
밋는다	믿는다	to believe (older spelling)
잇섯든	있었던	which existed/was (older spelling)
맷길 수 업다는	맡길 수 없다는	cannot entrust (older spelling)
마젓드면	맞았더면	if it had balanced/matched (older spelling)
너헛는데	넣었는데	invested but (older spelling)
보앗다고 한다	보았다고 한다	it is said that (they) saw/experienced (a loss)
듸려논	들여놓은	invested, put in (older spelling)
사듸렷다는	사들였다는	that (it) bought/purchased (older spelling)
안 딸하갈 수 업섯든	안 따라갈 수 없었던	could not help but follow (older spelling)
만허서	많아서	being much/many (older spelling)
맨들게	만들게	to cause to make/create (older spelling)
업시된다	없이된다	becomes necessary (older spelling)
갓다	같다	seems like (used here as a suffix indicating similarity/likelihood)
얼는 바더듸린	얼른 받아들인	quickly accepted (older spelling)
닥가	닦아	to polish, pave, prepare (the way)
밋지안는다	믿지 않는다	does not believe (older spelling)
압흐로	앞으로	from now on, in the future (older spelling)
낫희	나이	age (older spelling/form)
업지 안흔가	없지 않은가	is there not? (rhetorical question)
깁엇다	기뻤다	was pleased, glad (older spelling)
만히도	많이도	very much, greatly (older spelling)
좃타만	좋다만	it is good, but... (older spelling)
돌이혀	도리어	rather, on the contrary (older spelling)
되여 갓스면 하엿다	되어 갔으면 하였다	hoped it would turn out (older spelling/form)
족케 되는 것이다	촉구하게 되는 것이다	comes to urge/prompt (older spelling/form)
십지안타	싶지 않다	do not want to (older spelling)
危懼	위구	apprehension, fear
에워싸고 도는	에워싸고 도는	surrounding and circulating
사러지게	사라지게	to make disappear


---------------------------


잡지명	삼천리 제4권 제8호
발행일	1932년 08월 01일
기사제목	東亞·和信 兩 百貨店 合同內幕, ―그 내용과 今後 觀望
필자	申泰翊
기사형태	소식

東亞·和信 兩 百貨店 合同內幕, ―그 내용과 今後 觀望
						申泰翊
朝鮮사람의 손으로 경영되는 백화점이라고 하면 한쌍가튼 東亞백화점과 和信상회를 말할 것이다. 아니 이박게는 업다. (지방에는 이런 것도 업거니와) 그러타고 해서 京城에 백화점이 이 둘 밧게 업다는 것이 아니다. 이 두 곳보다도 규모가 큰 백화점 즉 三越, 丁字, 平田, 三中井 등이 벌여 잇다. 이러케 대규모의 백화점들 틀에 끼어서 한쌍의 백화점은 자리를 알에 위로 잡고 겻고 틀면서 南村의 백화점으로 몰려가는 朝鮮사람의 손님으로 하여금 발길을 돌이키게 함에 매우도 애를 써서 왓다.
참으로 各色의 선전으로 이 두 백화점은 손님을 모라 드리기에 초조하엿다. 그래서 어느 때는 탈선의 선전도 업지 아니하엿다. 그러나 힘 적은 그들로써 하는 일이며 또 대자본의 압박을 밧고 잇는 터임으로 그들의 잘못을 더퍼 두고 이 두 곳의 생장이 잘되고 길기만 빌고 잇섯슬 뿐이다.
이러케 朝鮮사람으로서 만흔 기대와 큰 주목을 끌허오든 東亞백화점과 和信상회는 한덩어리를 만들기로 하엿다고한다. 이 말을 드를 때에 나의 머리에는 형용하기 어려운 어지러운 실마리의 생각이 엉크러젓다. 물론 이 합동이란 것이 朝鮮사람의 경영인 兩 백화점의 일인만큼 단순한 그들로서의 한덩어리가 된다는 소리를 드를 때에는 큰 염려를 할 것이 아니라 백지 한장도 맛들면 가버엽다는 말과 가치 대규모의 경쟁자를 대항함에는 적은 힘들이 단합하는 곳에 버틔는 힘이 배양될 것이라는 점을 가지고 생각하야 東亞, 和信이 한덩어리가 된다는 말이 그대지 불길한 말이 아닐＜57＞ 것이다. 그러나 세상의 일은 단순한 것이 아니다. 참으로 복잡한 것은 세상일이다. 표면에 나타난 것만 가지고 裡面도 표면과 갓트다고 꼭 말할 수 업는 것은 너무 명백한 사례로써 증명할 수 잇다. 그러면 東亞 和信의 합동이란 것은 과연 어떠한 부류에 속하는 것으로 볼 것인가 이에 대하야 나는 생각할 때에 먼저 압서는 것은 「알 수 업는 일이야」하는 말이 입에서 나온다. 그리고 나는 만흔 疑念이 압흘 가린다.
아니 합동이란 것이 불순한 무엇이 잇다는 것을 아러서 그러는 것이 아니라 자랑이라고 할는지 체면 보전이라고 할는지 어터튼지 京城에 日本사람의 백화점은 네 곳이 잇는데 朝鮮사람 경영의 백화점 둘쯤이라도 北村 상가에 잇다는 것은 얼마큼 밋는 맘을 가지게 하며 딸어서 이를 너무 돌아봄에서 충정이 생기는 까닭이다. 이미 兩 백화점은 한덩어리가 되기로 결정하엿슨 즉 이 합동의 내용을 들어 볼 필요가 잇다. 그래가지고 나는 드른 바와 당시에 생각하여 오든 바를 결합하야 과연 이 합동의 정체가 어듸잇는가 그 一端이라도 엿보고 또 이 합동이 장차 어떠한 길을 밟어서 갈는지 한번 생각하는 것도 閑客의 짓이 아니라고 생각한다.

이 합동의 이유는
東亞백화점과 和信상회에 대하여는 세상에서도 잘 알고 잇슬 뿐 아니라 내가 이 삼천리 紙上에 2次이나 쓴 일이 잇슴으로 東亞란 것은 어떠한 것이며 和信은 어떠한 것이라는 설명은 그만두기로 한다. 그런데 이 兩 백화점의 합동이라고 하면 두 곳의 경영자가 공동 경영을 하게 된 것으로 생각이 들 것이다. 그러나 이 합동은 그런 것이 아니다.
東亞백화점의 경영자가 東亞백화점을 和信상회 경영자에게로 팔어버렷다는 것이다. 그럼으로 兩백화점의 합동이라고 말하는 것보다도 和信상회가 東亞백화점을 사듸렷다는 것이 적당한 말이다.
이러케 兩 백화점은 오늘까지 이웃에서 아프를 다토아 가면서 경쟁하든 것이 한덩어리로 하게된 이유는 무엇인가. 이에 대하야 兩 백화점의 當局者는 이러케 말한다.
時代潮流에 딸허서 백화점을 경영한 것이나 때가 불경기이며 더구나 대자본을 가지고 한 기세로 나아가는 三越, 丁字屋 등을 상대할 수 업슬 뿐아니라 東亞 和信의 兩 백화점이 억개를 나란히 하여 가지고 손님 끌기에 정도 지내치는 경쟁을 한 까닭에 營利라는 것 보다도 만흔 損을 봄으로 東亞경영자 崔楠씨가 和信경영자 朴興植씨에게로 자기 백화점을 넘기고 이래서 양편의 損을 막기로 하는 정신에서 大勇斷을 내며 이 합동의 결정을 보게 된 것이라고 한다.
참으로 귀담어 드를 말이며 만흔 同情이 잇슬 일이다. 그러나 나로서 본다면 以上의 합동 이유를 전연 沒却할 수는 업지만 이 표면 이유의 뒤에 숨은 이유도 모른체 할 수 업는 점이 잇다. 이에 대하여는 次項으로 밀우기로 하고 이와 가치 합동이 되엇슨 즉 이 합동의 내용은 어떠한가 한번 드러보아야 될 일이다. 이 역시 兩 백화점 當局者 측의 말에 의하면
兩 백화점이 경쟁의 격렬을 막기 위하야 7월 13일 朴씨와 崔楠씨가 만나서 처음으로 합동에 관한 의견을 말하엿다. 그다음 7월 14일 朝鮮 「호텔」에서 정식으로 양방이 會合하야 兩 백화점의 대립을 不許하는 사정에 대한 의견 교환이 잇슨 뒤 翌日인 14일 南山莊에서 徹夜하여 가지고 비로소 東亞백화점을 和信상회에 넘기기로 계약이 체결된 것이라고 한다.＜58＞ 그러고 이 계약의 내용요점은 이러한 것이다.
O이계약을 有効케하기 위하야 1만원을 계약금으로 朴興植씨가 崔楠씨에 지불할 일.
O8월 1일로부터 東亞백화점의 상품을 조사하야 이 원가에 대한 7割의 시세로 代金을 지불할 일.
O딸아서 東亞의 商號와 外上代金, 負債 등 一切를 朴興植씨가 引受하는 동시에 崔楠씨는 一年 이내에 同性質의 영업을 안하기로 된 일
O東亞의 점원을 和信에게 그대로 계속 사용할 일
이상의 조항이 결정됨을 따라서 東亞가 和信으로 완전히 너며가 버렷다. 이에 대하여도 나로서 본 바 잇지만 다음의 여백이 남으면 말하기로 이 곳에서 이 정도로 하랴고 한다.

東亞는 왜 팔니어갓나
이와 가치 兩 백화점의 합동에 대한 當局者의 설명으로 大體의 경로는 알 수가 잇게 되엇다. 그러면 이 합동의 표면 이유말고 그 등뒤에 숨은 달은 이유가 업섯슬가. 나는 알고 시푼 생각이 난다. 이에 대하야 나로서 듯고 본 바를 가지고 말한다면 이러한 까닭에 專在하엿슬 것으로 밋는다.
東亞백화점主 崔楠씨가 어떠케 하야서 잡화상을 하게 되엿스며 또 백화점은 어떠한 배경을 가지고 하엿는가 함을 간단히 이 三千里 誌上을 통하야 말한 일이 잇슴으로 이에 대한 重言을 피한다. 그러나 이 점만 밝힐 필요가 잇다. 원래 崔씨는 돈업는 사람으로 상업에 만흔 희망을 가지고 잇섯든 까닭에 돈잇는 사람을 달내 가지고 그 돈으로써 商界에 投身한 것이다. 아니 돈잇는 사람이 업섯드면 큰 희망을 가제슬지라도 오늘의 東亞백화점 主까지는 어려웟슬 것이다. 그러면 崔씨의 배후에 누가 잇섯든가를 한번 보자.
德元상점으로부터 東亞婦人 상회의 경영에 일으기까지 모다 權某의 힘으로 버틔여 왓든 것이다. 이 뒤 閔씨가 鍾路에다가 큰 집을 建築하는 것을 보고 東亞백화점의 계획을 생각하엿다. 그러나 자기로서는 남의 돈을 가지고 하는 노릇인만큼 완전한 백화점의 경영이 不能함을 깨닷고 이 때에 京城商界의 유력자 즉 布木店에 OOO상점, 시계점에 OO당, 양복점에 OOO양복점, 금은상에 OO상회의 주인을 차저보고 閔씨의 建築物을 빌어 가지고 연쇄적 大백화점을 朝鮮사람의 손으로 경영하기를 力說하엿든 것이다.
이것이 처음에는 될 듯 하든 것이 終局에는 잘 성립되지 못함을 보고 崔씨는 憤然히 자기의 錢主인 權과 OO약방 조OO, 배우개 金OO 등의 富者를 網羅하여 가지고 자기 단독으로 경영하기 시작한 것이엇다.
이에 잇서 한마듸 더 해둘 말은 崔씨가 東亞婦人상회 때까지 權이 정면에 나서지안코 잇섯든 것이 東亞백화점을 경영한 때로부터 權도 당당히 정면에 나타나서 崔씨와 책상을 나란히 하야 일을 보게 되엇다. 이 뿐만아니다. 東亞백화점의 금전출납은 權의 직속사람이 전부 가지고 잇섯든 것이다. 權의 세력은 이 정도에 안 끄첫다. 京城府議 金思演씨를 지배인이란 일홈 아래 자기의 사람을 만들엇다. 權도 崔씨를 이처럼 감시케 된 것은 무슨 까닭이엇슬가 이 곳에는 이런 이유가 잇섯슬 줄로 생각한다. 東亞婦人상회 때까지＜59＞ 그 규모가 크지 못하엿스나 東亞백화점을 경영하는데는 大규모이며 딸허서 만흔 자금을 투자케 된 까닭에 前과 가치 崔 한사람에게 맷길 수 업다는 생각으로 以上과 가치 權의 세력의 하나 둘 느러갓든 것이다.
