Magazine Title: 개벽 제7호
Publication Date: [Not Provided in Text]
Article Title: 弓裔王의 옛 서울을 밟고 (Treading the Old Capital of King Kungye)
Author: 小春 (Soch'un)
Article Type: 기행문 (Travelogue)

Treading the Old Capital of King Kungye
						小春 (Soch'un)

How I might tread the old capital of King Kungye in Ch'ŏrwŏn and seek out the place of King Kungye's misfortune in Sambang has been a wish every time I boarded the Kyŏngwŏn train. It seems to be the rule that those with intention achieve their goals. Now, an opportunity has arisen for me to see one of those two places.

A month ago, due to certain matters, I had the occasion to visit our elders and brethren residing in the Yŏngsŏ region of Kangwŏn-do province, together with my respected friend, Mr. Yi Tonggu. The first place we stopped on this journey was Ch'ŏrwŏn, and due to special circumstances, we ended up staying an extra day in Ch'ŏrwŏn. This extra day became the day I finally fulfilled my long-held wish to seek out the old capital of King Kungye. The ancient capital of King Kungye is located in Kogyŏl-ri, Puk-myŏn of this county (이골), about 30 ri from the town center. The two of us, accompanied by an elderly gentleman knowledgeable about the area, left the north side of Ch'ŏrwŏn town around ten in the morning and headed straight for Kogyŏl-ri. On this day (November 18th), the lingering rain had cleared beautifully, and a gentle warmth stirred; it was worthy of being called the finest day of this early winter, known for its mild weather. In the countryside, where the autumn harvest and winter preparations were all finished, even passersby were scarce, and only the sound of a water mill pounding by the stream created ripples in the light air of the Indian summer (小春). Listening intently to the old tales of King Kungye passed down in that region, as told by the elder accompanying us, we passed the Wŏljŏng-ri train station and, keeping the Kyŏngwŏn line to our south, headed towards Wŏljŏng village. At this point, the elder pointed to a crumbling stone wall visible at the entrance of Wŏljŏng-ri, saying this was said to be the outer fortress wall (外城) from King Kungye's time. Looking closely, it was clearly a stone fortress, and though not much remained, it was evident that considerable labor had been invested in its construction. The circumference of this outer fortress is said to be about 20 ri. We wondered if the place we were just entering might have been the site of the South Gate (南大門) back then, and the Wŏljŏng-ri street right before us looked exactly like a South Gate street. It felt as if, just a little further in, we would see the great King Kungye sitting solemnly in his nine-layered palace, and encounter the bustling scenes of the grand Chongno street. <70> Looking into the distance, several zelkova trees stood tall in the vast field, their aged autumn leaves forming a picture. The elder accompanying us pointed with his finger, saying the area opposite was the site of King Kungye's old palace. Gazing blankly and reflecting silently, we were filled with emotion even before seeing it. After drinking water courteously offered by a young woman at the famous 'Moon Well' (月井 - Wŏljŏng) of Wŏljŏng-ri, we proceeded towards Kogyŏl-ri, pondering with every step (十步九思). Beneath the distant zelkova trees were three or four village houses, and before them was a small stream sufficient for washing clothes, its banks tangled with various miscellaneous trees and unsightly thorn bushes. Who knows, perhaps a thousand years ago, that small stream was where the ladies of the capital washed their silk (浣紗處), and correspondingly, those broad rocks and high banks might have been places where the gentlemen of the capital cooled their feet and enjoyed the breeze (濯足消風). In the house right below the zelkova trees, they had set up a threshing floor and were busy threshing rice. We sat down on a pile of rice straw (稻藁) pushed to one side and asked a man, about 30 years old, who was flailing rice stalks, about the old stories of Kogyŏl-ri. Of course, there was no reason he would know in detail. Moreover, he said that there were no original inhabitants left in the village; everyone had moved in recently. When we said we would be glad if he could just tell us what he had heard, he pointed to the hill on the path we had just walked, saying that was the site of the East Gate (東大門). He pointed to a half-buried stone wall beneath the zelkova trees, saying that was the site of the palace wall (宮城), and indicated the area behind it, sparsely dotted with chestnut trees, as the true site of the old palace grounds (故宮殿基址). He added, "We don't know for sure either," but continued, saying that in Yulmok-ri village behind this place, there are sites of Chongno Street and the Bell Pavilion (鍾閣), and west of the old palace, there is the Royal Well (御水井), and beyond that, a stone pagoda (石塔). We expressed our thanks (謝意) to them and sought the old palace site in the area sparsely dotted with chestnut trees. The site had long since been turned into a field (田), and wheat sprouts awaiting next spring's March were freshly green. Among them, whitish foundation stones (柱礎) remained, spaced with noticeable regularity. At the edge of the field, piles of stones (각담 - 石의 積置) were scattered here and there; these stones must all have been part of the palace buildings of that time. Like people who had lost their minds, we wandered back and forth through the wheat field, pausing at this foundation stone and that. We picked up a stalk of volunteer wheat that had sprouted in spring, ripened, dropped its seed, sprouted again in summer, and was trying to ripen a second time, along with several scattered tile fragments (瓦片). Crossing through a break in the earthen wall that seemed to have been the palace wall (宮城) of that era, we emerged to the west, and there stood a lone stone pagoda (一座 石塔) in the same wheat field. This was indeed the Old Pagoda of King Kungye (弓裔王古塔). The pagoda, consisting of 6 layers in total, was no more than 3 chang (丈 - about 9 meters) high and lacked any particular carving, but its stout form and lack of fussy artistry seemed to teach resilience (毅力) to the observer. It seemed to silently hint at the personality and spirit of King Kungye from a thousand years ago. <71> Our party stood facing it just like that, gazing wordlessly at the pagoda for quite a while. Then Mr. Yi sank down on the north side of the pagoda, and I on the west side. All around, fragments of roof tiles (盖瓦) were scattered like seashells on a beach, and foundation stones (柱礎石) like those seen at the palace site emerged here and there. But in my eyes, the fragments and remnants each seemed to possess some unseen form, and these myriad forms seemed to be guarding the solitary, desolate pagoda (荒塔) standing there. And that desolate pagoda, along with all the surrounding forms, seemed to be pleading something to us. And so, my sunken body collapsed further, face down. Brothers, do not press me about what happened after I collapsed like that. Urged by the elder (who accompanied us), I managed to rise and gather my emotions. The sun was already tilting westward, and the shadow of the stone pagoda was quite long. The picturesque Konam San (故南山 - Old South Mountain, then called Chongnam San (宗南山), located south of Ch'ŏrwŏn town) was hazy in the evening mist, and a slight, slanting breeze seemed to enter our hearts (胸懷). Ah, the mountains remain and the wind is thus, but where are the glorious deeds of yesteryear now (當年의 盛事가 而今에 安在아)? "徘徊千古問無人, 唯有荒塔泣風前" (Wandering through millennia, I ask, but there's no one; only the desolate pagoda weeps before the wind). Our eyes blurred again, and our feet could not help but halt once more. Moreover, recalling in detail the fate of him who, with a mountain-like physique (山岳가튼 巨軀) and dragon-lion-like courage (龍獅가튼 毅勇), commanded the age as a great general and minister (出將入相), only to meet an unlucky day prophesied by strange omens (牛頭白하고 馬頭角하며 石面蠹하는 不吉), escaped the castle gate alone, scavenged wheat ears in the Chŏnjung plain (戰衆平野), and met his end under the axe blades of the stubborn folk of P'yŏnggang (平康頑民) in some valley across from Sambang Station (三防驛) – what must our feelings have been at that moment? It wasn't that we hadn't visited Manwŏltae in Songgyŏng (Kaesŏng) or Sungnyŏngjŏn in P'aesŏng (Pyongyang), but those times were not, in fact, occasions of such piercingly sorrowful extremity (悽切感極). We couldn't bear to leave that place, and though we wanted to seek out the Chongno site and the Royal Well individually, we had an unavoidable promise to return to Ch'ŏrwŏn town that evening, so we had no choice but to bid farewell (別) to Kogyŏl-ri. But more than anything, parting with the stone pagoda felt regrettable and sad (섭섭하고 슯허서). I looked and looked again, and turning back again as we walked, after passing 1 ri, then 2 ri, when its form grew faint, my eyes also grew dim. Since I had to bid farewell to it anyway, I thought it better to resign myself quickly. But then, at Wŏljŏng-ri Station, Mr. Yi said, "Look, you can still see the pagoda from here!" I suddenly looked in that direction, and indeed, its face seemed faintly visible.

Ah, though we are leaving, though we are returning well to the warm old home of our native place, how will it survive alone in the P'yŏnggang highlands where the wind and snow are cold and travelers have ceased? How does it live!!
Ah, ownerless and friendless, how has it spent the past thousand years alone, and how will it pass the long days of the future? How will it pass them!? <72>

**Summary**

The author, Soch'un, recounts a long-desired trip with a friend, Yi Tonggu, to Kogyŏl-ri near Ch'ŏrwŏn, the site of the ancient capital of King Kungye, founder of the short-lived T'aebong kingdom. Guided by a local elder, they explore the sparse remnants—outer walls, palace foundation stones, scattered tile fragments, and a solitary six-story stone pagoda. The author reflects deeply on the rise and tragic fall of Kungye, contrasting the past grandeur with the desolate present, finding the experience more emotionally poignant than visits to royal sites in Kaesŏng or Pyongyang. The sight of the lone pagoda evokes strong feelings of sorrow and empathy for its lonely existence through centuries. From a colonial history perspective, the article is interesting for its focus on a pre-Chosŏn Korean historical site and a controversial figure like Kungye. The author's melancholic tone and lament for past glories, culminating in the personification of the lonely pagoda, could be interpreted as a subtle expression of longing for lost Korean sovereignty and cultural heritage during a period of Japanese rule, contrasting the remembered national past with the constrained colonial present. Historians might note the blend of personal sentiment, historical reflection, and topographical description as characteristic of travel writing of the era, potentially carrying veiled nationalist sentiment.

**Named Entities**

弓裔王	궁예왕	Kungye Wang
鐵原	철원	Ch'ŏrwŏn
三防	삼방	Sambang
京元列車	경원열차	Kyŏngwŏn train
小春	소춘	Soch'un
李東求兄	이동구형	Yi Tonggu hyŏng (Mr. Yi Tonggu)
江原道	강원도	Kangwŏn-do
嶺西	영서	Yŏngsŏ
古闕里	고궐리	Kogyŏl-ri
月井里	월정리	Wŏljŏng-ri
京元線路	경원선로	Kyŏngwŏn railway line
南大門	남대문	Namdaemun (South Gate)
鍾路	종로	Chongno
月井	월정	Wŏljŏng (Moon Well)
東大門	동대문	Tongdaemun (East Gate)
栗木里村	율목리촌	Yulmok-ri Village
鍾閣	종각	Chonggak (Bell Pavilion)
御水井	어수정	Ŏsujŏng (Royal Well)
石塔	석탑	Sŏkt'ap (Stone Pagoda)
故南山	고남산	Konam San (Old Nam Mountain)
宗南山	종남산	Chongnam San
戰衆平野	전중평야	Chŏnjung Plain (likely a local name)
三防驛	삼방역	Sambang Station
平康頑民	평강완민	P'yŏnggang wanmin (Stubborn people of P'yŏnggang)
松京	송경	Songgyŏng (Old name for Kaesŏng)
滿月臺	만월대	Manwŏltae
浿城	패성	P'aesŏng (Old name related to Pyongyang)
崇靈殿	숭령전	Sungnyŏngjŏn

**Glossary**

옛서울	옛 서울	Old capital
밟고	밟고	Treading, stepping on
찻다	찾다	To look for, seek (older spelling '차즐가', '찻게', '찻는', '차저드니', '차즈니', '찻고저', '찻지')
願	원	Wish, desire
畏友	외우	Respected friend
兄	형	Older brother; here used as a respectful term for a male friend/colleague
父老兄弟	부로형제	Elders and brethren, fellow countrymen
加留	가류	Staying over, lodging temporarily (Sino-Korean term)
卽	즉	Namely, that is
古都	고도	Ancient capital
邑內	읍내	Within the town
故老	고로	An old person knowledgeable about the past/local history
아츰	아침	Morning (older spelling)
宿雨	숙우	Lingering rain, rain from the previous night
溫氣	온기	Warmth
纔動	재동	Barely moving, just stirring (Sino-Korean term, rare)
日氣	일기	Weather
秋收	추수	Autumn harvest
冬藏	동장	Winter storage, preparing provisions for winter
稀少	희소	Scarce, rare
오즉	오직	Only (older spelling)
川邊	천변	Streamside, riverside
波動	파동	Wave motion, ripple
늑김잇시	느낌있이	Feelingly, with emotion (older spelling/form)
石垣	석원	Stone wall
外城	외성	Outer fortress wall
仔細히	자세히	Carefully, in detail
確實한	확실한	Certain, definite
相當	상당	Considerable, substantial
築上	축상	Building up, constructing (Sino-Korean term)
놉하	높아	High, tall (older spelling)
마즌 쪽	맞은 쪽	Opposite side (older spelling '마즌')
故闕터	고궐터	Old palace site
茫然히	망연히	Blankly, absently
默然히	묵연히	Silently
感慨	감개	Deep emotion, strong feelings
색씨	색시	Young woman, maiden (older term)
미테	밑에	Under, beneath (older spelling)
압헤	앞에	In front of (older spelling)
小川	소천	Small stream, brook
足할 만한	족할 만한	Sufficient, enough
幾多	기다	Numerous, many
雜木	잡목	Miscellaneous trees
가시ㅅ덩굴	가시덩굴	Thorny vine, briar patch (older spelling with ㅅ)
滿都	만도	The entire capital
浣紗處	완사처	Place for washing silk (Classical Chinese reference)
濯足消風	탁족소풍	Washing feet and enjoying the breeze (Classical Chinese idiom for leisure)
바루	바로	Right, directly (older spelling)
稻	도	Rice plant (Hanja)
稻藁	도고	Rice straw (Hanja)
우에	위에	On, upon (older spelling)
벼집채질	볏집채질	Flailing rice stalks (possibly dialectal or older form)
깃브겟다한즉	기쁘겠다 하니	Saying (I) would be happy (older spelling/form '깃브겟다', conjunction '한즉')
밟바온	밟아온	That (we) have trodden (older spelling)
밋땅	밑 땅	Ground beneath (older spelling '밋')
宮城	궁성	Palace fortress/wall
栗木里	율목리	Yulmok-ri (Chestnut Tree Village)
鍾路터	종로터	Chongno Street site
鍾閣터	종각터	Bell Pavilion site
御水井	어수정	Royal Well ('Ŏsujŏng')
밧게	밖에	Outside (older spelling)
柱礎	주초	Foundation stone, plinth
麥芽	맥아	Wheat sprout, malt
푸르럿고	푸르렀고	Was green (older spelling)
널리엇는데	널려 있는데	Are scattered about (older spelling)
넉일흔	넋 잃은	Having lost one's mind,넋나가다 (older spelling)
왓다갓다하며	왔다 갔다 하며	Coming and going, wandering back and forth (older spelling)
허터진	흩어진	Scattered (older spelling)
瓦片	와편	Tile fragment
一座	일좌	One structure (used for pagodas, mountains etc.)
彫刻	조각	Sculpture, carving
苟且	구차	Sloppy, careless, fussy
毅力	의력	Strong will, fortitude, resilience
호을로	홀로	Alone (older spelling)
盖瓦	개와	Roof tile (Hanja)
破片	파편	Fragment, piece
殘礎	잔초	Remaining foundation stone
荒塔	황탑	Desolate pagoda, ruined pagoda
號訴	호소	Appeal, plea
업디고	엎드리고	Prostrating oneself, falling face down (older spelling)
情緖	정서	Emotion, feeling
日色	일색	The color of the sun, sunlight (indicating time of day)
烟霞	연하	Mist and haze
熹微	희미	Faint, dim (Sino-Korean term)
胸懷	흉회	One's heart, mind, bosom
依然	의연	Still, as before
而今	이금	Now, at present (Sino-Korean term)
安在	안재	Where is it? (Classical Chinese)
徘徊千古問無人, 唯有荒塔泣風前	배회천고문무인, 유유황탑읍풍전	Wandering through millennia, I ask, but there's no one; only the desolate pagoda weeps before the wind (Classical Chinese verse)
山岳가튼	산악 같은	Mountain-like (older spelling '가튼')
巨軀	거구	Huge body, large frame
龍獅가튼	용사 같은	Dragon-lion-like (older spelling '가튼')
毅勇	의용	Courage and bravery
出將入相	출장입상	To be a great general (when out) and a great minister (when in); versatile high official
號令	호령	Command, order
牛頭白 馬頭角 石面蠹	우두백 마두각 석면두	Ox head whitens, horse head horns, stone face is worm-eaten (omens of misfortune, possibly related to prophecies about Kungye)
不吉	불길	Ominous, inauspicious
頑民	완민	Stubborn/rebellious people
斧刃	부인	Axe blade
最後	최후	The end, the last moment
運命	운명	Fate, destiny
삿삿이	샅샅이	Thoroughly, in detail (older spelling)
追想	추상	Recollection, reminiscence
悽切感極	처절감극	Extremely sorrowful/heartbreaking feeling
地境	지경	State, situation, point
낫나치	낱낱이	Individually, one by one (older spelling)
떼나게 됨이	떠나게 됨이	The fact of having to leave (older spelling '떼나게')
섭섭하고	섭섭하고	Regretful, sorry, sad (to part)
슯허서	슬퍼서	Being sad (older spelling)
돌려다 볼새	돌아다볼 때	When looking back (older form/spelling '볼새')
암만하야도	아무리 하여도	No matter what, however much (older form)
告別	고별	Farewell, parting
斷念	단념	Giving up, abandoning (hope or intention)
낫겟다	낫겠다	Would be better (older spelling)
따수한	따수한	Warm (dialectal/older form)
故鄕	고향	Hometown
끈힌	끊긴	Cut off, ceased (older spelling)
지냇스며	지냈으며	Has spent (time), lived through (older spelling)
지내갈가나	지내갈까나	How will it pass (time)? (older spelling/form)
-e 

---------------------------


잡지명	개벽 제7호
발행일	
기사제목	弓裔王의 옛 서울을 밟고
필자	小春
기사형태	기행문

弓裔王의 옛 서울을 밟고
						小春
어떠케 하면 鐵原에 弓裔王의 옛서울을 밟고 三防에 弓裔王의 不幸하던 곳을 차즐가 함은 京元列車에 몸이 실릴 때마다 願이엇다. 뜻이 잇는 者는 그 일을 이루게 되는 法인가보다. 이제 내가 그 두 곳 中의 한 곳을 볼 機會가 생기엇다.
