Magazine Title: 개벽 제3호
Publication Date: 1920년 08월 25일
Article Title: 막쓰와 唯物史觀의 一瞥 (읽은 中에서) (A Glimpse of Marx and Historical Materialism (From Readings))
Author: 又影生
Article Type: 논설 (Editorial/Essay)

A Glimpse of Marx and Historical Materialism
						U Yŏngsaeng

Critics of Marx are divided on the question of whether to call Marx a philosopher or his doctrines philosophy. However, a glance at Marx's doctrines shows that they are a step further from the attitude of the Feuerbachian school, which insisted, "My philosophy is no philosophy." It transforms the conventional philosophy, which seems to have reached its zenith with Hegel, establishing its arguments as pure science. Therefore, Marx's doctrine is not abstract philosophy but concrete science, and it aims to be the successor to all philosophy.

In other words, the characteristic of Marx's doctrine lies in taking the evolutionary method of thought (進化的 思索法) from Hegel's philosophy and combining it with materialism. That is, the foundation of his doctrine was constructed and initiated with an evolutionary method of thinking about world affairs and a materialist perspective.

Commonly, people tend to hastily judge materialists as selfish people, greedy people, people of low-level hedonism, or people without ideals and humanity. However, philosophical idealism (spiritualism, idealism) and materialism (物質主義) have no relation whatsoever to our ideal motivations in practical life. Idealists assert that the material world can never exist independently. Only spirit exists as the sole independent entity, and the material world is merely a reflection or expression of spiritual development. In response, materialists assert that in human society, the material world perceived by our five senses is the only real world. We know nothing beyond the knowledge gained through our five senses. Spirit is merely a reflection of the material world.

Viewed this way, it should not be considered strange even if a philosophical materialist becomes an idealist in practical life, or if a philosophical idealist becomes a non-idealist in practical life. <98> Marx's doctrine is by no means sophistry. It is based on the evolutionary method of thinking, that is, observing things historically, considering our world as a chain of ceaseless change and growth in a dynamic state, and arguing that to understand things, one must investigate the principles of their birth, death, flourishing, and decline. The application of this method of thinking by materialists to the study of the history of human society is precisely Historical Materialism, which forms the basis of Marx's doctrine.

Thus, the doctrine of Historical Materialism is as follows: The progress of human society or the evolution of institutions is not, as idealists argue, the result of changes in human thought, but the result of the development of the material conditions (物質的 條件) of that society, asserting that material conditions are the true foundation of our society. Various institutions adapt and change accordingly; thoughts concerning good and evil, right and wrong between people, or thoughts concerning faith between humans and gods, all arise from and change due to changes in the material conditions of human life.

However, Marx went further and studied the material elements related to history. As a result (結架), he elucidated that economic conditions are the fundamental driving force of historical evolution. Based on this, he explained the true transitions of history, simultaneously providing clear evidence for and adding brilliance to the doctrines of previous materialist historians. This constitutes the scientific value of Marx's Historical Materialism.

When Marx specifically selected economic factors from among the material elements and emphasized (逆說) them as the fundamental driving force of historical evolution, he did not claim that only economic factors develop and change among the material elements. Rather, he meant that their changes are conspicuous and their development is great. He stated that among material elements, factors like race, geography, climate, etc., hardly change. This would not be an overstatement. How could factors with little change induce great changes in society?

He acknowledged that even if some material elements have slow and narrow effects of change, they exert a corresponding influence on society within the limits of their foundation and scope. Furthermore, he clearly stated that in primitive societies, where the tools used were extremely poor and crude, and humanity was entirely constrained by nature, even minor changes could ripple through society with powerful effects.

However, Marx struggled to formulate his arguments accurately by surveying all material elements. As a result of detailed research, <99> he confirmed that these various elements have a weak influence on society and possess a subordinate relationship to economic factors. Furthermore, since the influence of non-economic factors on society gradually decreased in power with social progress, Marx did not treat them as a major issue when discussing the broad outlines of historical evolution.

To state the arguments of Historical Materialist proponents more simply, let us assert that production or distribution forms the basis of all social institutions. The institutions and forms of society are established according to the production and distribution methods of that society. Thus, social transitions and changes in political systems are not related to the progress of ideas like truth or righteousness, but are related solely to changes in the methods of production and exchange. In other words, it is argued that the cause of social change lies not in philosophy, but is based on the scientific economic state. <100>

**Summary**

This article introduces Karl Marx's Historical Materialism, distinguishing it from traditional philosophy by grounding it in scientific observation of material conditions. It explains that Marx, building on Hegel's dialectics and Feuerbach's critique of philosophy, posited that societal development and institutions are driven not by ideas (idealism) but by changes in material conditions, particularly economic factors like production and distribution. While acknowledging other material factors (geography, race), the author explains Marx emphasized economics due to its significant and dynamic role in historical change, especially as societies advance. The author stresses that Marx's materialism is a philosophical stance distinct from personal lifestyle or morality. For historians, this article is significant as an early Korean introduction (1920) to Marxist thought, appearing in the influential nationalist magazine *Kaebyŏk*. It reflects the intellectual currents of the time, where Korean intellectuals were engaging with Western ideas, including radical philosophies like Marxism, as potential frameworks for understanding their colonial situation and envisioning social change.

**Named Entities**

막쓰	막스	Makssŭ (Marx)
헤겔	헤겔	Hegel
포열파	포이어바흐 학파	P'oyŏlp'a (Feuerbach's school / Feuerbach)

**Glossary**

唯物史觀	유물사관	Historical Materialism
一瞥	일별	A glimpse, a glance
哲學	철학	Philosophy
學說	학설	Doctrine, theory
포열파	포이어바흐 학파	Feuerbach's school (likely referring to Ludwig Feuerbach or his followers)
態度	태도	Attitude
更進一步	갱진일보	One step further
從來	종래	Conventional, traditional
引化	인화	To transform, to convert (used here perhaps as 'sublate' or 'develop from')
純正	순정	Pure
科學	과학	Science
抽象的	추상적	Abstract
具體的	구체적	Concrete
後繼者	후계자	Successor
特徵	특징	Characteristic, feature
進化的 思索法	진화적 사색법	Evolutionary method of thinking (likely referring to dialectical method)
唯物論	유물론	Materialism
結合	결합	Combination, union
根底	근저	Foundation, basis
普通	보통	Ordinary, common
世人	세인	People of the world, the public
我利	아리	Self-interest
我慾	아욕	Selfish desire
低級	저급	Low-level, base
快樂主義	쾌락주의	Hedonism
沒理想	몰이상	Lacking ideals
不人情	불인정	Inhumanity, lack of compassion
輕斷	경단	Hasty judgment
通弊	통폐	Common fault, widespread evil
唯心論	유심론	Idealism
精神主義	정신주의	Spiritualism
理想主義	이상주의	Idealism
實際生活	실제생활	Practical life, real life
何等	하등	Any kind of, whatsoever
關係	관계	Relation, connection
獨立	독립	Independence
唯一	유일	Only, sole
存在	존재	Existence
反影	반영	Reflection
表現	표현	Expression
不過	불과	Merely, nothing but
五官	오관	The five senses
知覺	지각	Perception, consciousness
眞實	진실	Truth, reality
感得	감득	To perceive through senses
怪異	괴이	Strange, mysterious
謂치 못할 것이다	이르지 못할 것이다	Cannot be called (older grammatical form)
詭辯	궤변	Sophistry
歷史的	역사적	Historical
考察	고찰	Consideration, examination
動的狀態	동적상태	Dynamic state
間斷업는	간단없는	Ceaseless, uninterrupted (older spelling of 없는)
變化	변화	Change
成長	성장	Growth
連鎖	연쇄	Chain, series
理解	이해	Understanding
生死	생사	Life and death
盛衰	성쇠	Rise and fall, prosperity and decline
原理	원리	Principle
討究	토구	Investigation, thorough study
應用	응용	Application
根據	근거	Basis, grounds
進步	진보	Progress
制度	제도	System, institution
進化	진화	Evolution
所論	소론	What is argued, assertion
如히	여히	Like, as (archaic form of 같이)
思想	사상	Thought, idea
結果	결과	Result (appears as 結架 in text, likely typo/older form)
物質的 條件	물질적 조건	Material conditions
根本	근본	Root, foundation, fundamental
諸種	제종	Various kinds
適應	적응	Adaptation
善惡	선악	Good and evil
正邪	정사	Right and wrong
信仰	신앙	Faith, belief
基因	기인	To arise from, to originate from
要素	요소	Element, factor
闡明	천명	Elucidation, clarification
依하야	의하여	Based on, according to (older form)
眞適	진적	True, real, genuine (likely an older or specific term, meaning 'proper' or 'true' contextually)
變遷	변천	Transition, change
從來	종래	Previous, conventional
明證	명증	Clear proof, evidence
光輝	광휘	Brilliance, splendor
價値	가치	Value
特히	특히	Especially, particularly
選하야	선하여	Selecting (older form)
逆說	역설	To emphasize, state strongly (can also mean paradox, but context suggests emphasis)
意味	의미	Meaning
顯著	현저	Conspicuous, remarkable
偉大	위대	Greatness, grandness
人種	인종	Race
地理	지리	Geography
氣候	기후	Climate
殆히	태히	Almost, nearly
過言	과언	Exaggeration, overstatement
誘發	유발	To induce, cause, trigger
遲緩	지완	Slow, delayed
狹小	협소	Narrow, limited
作用	작용	Action, effect
範圍	범위	Scope, range
相當	상당	Corresponding, suitable, considerable
影響	영향	Influence
波及	파급	To spread, ripple through
認定	인정	Acknowledgement, recognition
原始社會	원시사회	Primitive society
器具	기구	Tool, implement
貧弱	빈약	Poor, meager
粗苯	조분	Crude, rough, clumsy
自然界	자연계	Natural world
制裁	제재	Constraint, sanction, control
些少	사소	Trivial, minor
强大	강대	Powerful, strong
明言	명언	Clear statement, explicit mention
統觀	통관	Overall survey, comprehensive view
正確	정확	Accurate, correct
苦心	고심	Hard effort, pains
詳細	상세	Detailed
微弱	미약	Weak, feeble
附屬的	부속적	Subordinate, accessory
確認	확인	Confirmation
以外	이외	Other than, besides
隨하야	수하여	Following, according to (older form)
漸漸	점점	Gradually
勢力	세력	Power, influence
減少	감소	Decrease, reduction
大體	대체	General outline, main points
問題	문제	Problem, issue, question
