**Header Section:**
Magazine Title: 개벽 제27호
Publication Date: 1922년 09월 01일
Article Title: 綠陰凉話 (Cool Talk under the Green Shade)
Author: 一記者 (One Reporter)
Article Type: 잡저 (Miscellaneous Writings/Essay)

**Body Text Translation:**
Cool Talk under the Green Shade
						One Reporter

South Fox and North Monkey
Last year, a certain Marquis (某侯爵) of Pukch'on, in a manner imitating a "monkey," wanting to do what others do, wasted a great deal of money to purchase an artificial rain machine. After repeated experiments ended in failure, a certain newspaper mocked it as the "Monkey Marquis's (猴爵) Failure." Now, a certain Count (某伯爵) of Namsan-chō, taking advantage of the gathering of the Moral Reform Society (矯風會) to try and seize hegemony over the entertainment world (花柳界), has attracted much public criticism. A certain newspaper report referred to him as "that usual Old Fox Count (老狸伯爵)." Are the nobles of Chosŏn only animals?

Women's "Six Endurances"
This year's heat is truly rare for recent years, but it seems there are quite many women enduring the mineral spring treatment (藥水마지군) at various spring sites. Thus, a special term, "six endurances" (六마지) troop, has arisen to refer to women going to the mineral springs. Namely, first is enduring sweat (汗), second is enduring insults (辱), third is enduring the husband's love (愛夫), fourth is enduring sudden rain showers (소낙비), fifth is enduring thieves (盜賊) (as the house is empty), and sixth is enduring beatings from the head of the household (家長). Haha.

Thirty-Seven Clan Association Offices
In its heyday, the number of Land Survey Offices (土地測量事務所) and various medicinal liquor houses (藥酒家) ranked first or second in Kyŏngsŏng. Recently, what has drastically increased in Kyŏngsŏng are the Clan Association Offices (宗約所). Do they think all worldly affairs (世事) are peaceful if they just publish the genealogy (譜牒) of a clan (一氏族) and exaggerate and extol the deeds of ancestors who are but dry bones in the grave (塚中枯骨)? According to an investigation somewhere, there are thirty-seven Clan Association Offices of various families within Kyŏngsŏng.

Long Hair and Bobbed Hair
Recently, among young men who consider themselves newly emerged artists (新出藝術家), a trend of growing long hair (長髮) is流行ing, perhaps to advertise themselves for free. In contrast, among women traditionally bearing stage names (藝名), namely kisaeng (藝妓), there are occasional cases of bobbing their hair (斷髮). Is the art of the male world progressing while the art of the female world is regressing?

The Imprisoned and Dismissed Park
T'aptong Park, though small, the sole paradise (樂園) for Koreans, has had its rear gate tightly locked since the Manse Incident (萬歲事件) occurred. The trees and lawn (樹木莎草) are not maintained, suffering the same sad fate as the Manse offenders who were imprisoned and dismissed (禁錮罷職). However, Changch'ungdan or Hanyang Park are expanded year by year, taking on a new appearance. The authorities' handling of parks is also unfair (不公平).

The Reddening of the Women's Army<71>

Since Russia's (露國) radicalism (過激主義) was propagated to the world, those in political circles (政局), regardless of the country (何國), develop a great phobia (大恐怖病) at the mention of 'Reddening' (赤化), implementing special controls (特別取締) through speech or writing (文字). Recently, it seems radical thought (過激思想) has infected the women's world (女子界) in Kyŏngsŏng, as the inner ribbons (안옷고름) of their red blouses (赤衫) are gradually becoming redder. This is also a curious affair (可怪한 事). If the authorities knew, this too would be grounds for crackdown (取締거리).

Drumming Sounds at the Sickbed of a Noble's Child
At the home of a certain noble (某貴族家) at the end of Kyŏngun-dong within the prefecture (府內), it seems there was recently someone suffering from madness (狂症). The frequent visits of acquaintances (知舊) and the numerous comings and goings of shamanistic practitioners (術客) truly suggest that the legacy (遺風) of the old meritorious families (勳門家) still survives (尙存), one might say. It is natural for doctors (醫師) to attend the sickbed (病席), but paying members of shaman associations (崇神人組合員) or old women fortune-tellers (奠乃家老婆) fifty Won per night to continuously disturb the neighbors' peaceful sleep (安眠) for two or three days with sounds of "ŏlsigu chŏlsŏ" (얼시고 절사소리) is truly strange (可怪). Since there's a police guard (保護巡査) in the house, no one is likely to crack down (取締), and since it's the house of a noble lord (貴族大監), perhaps the lord's antics (大監놀이) are only natural. But recalling how they turned red-faced (紅顔) trying not to pay the expenses for the neighborhood self-defense anti-epidemic station (洞里自衛防疫所) during the cholera (虎疫) epidemic the year before last, it is truly hateful (可憎).

The Labor Chairman with Seven Votes
Regarding Suzuki Bunji (鈴木文治), the honorary chairman of the Japan General Federation of Labor (日本 勞働總同盟) who recently came to Chosŏn, everyone knows him as someone with great trust (大信望) in the Japanese labor world. However, according to a well-informed source (某消息通), Mr. Suzuki received merely 7 votes during the 4th Labor Representative Election (第4回 勞働代表選擧). Seeing him, upon coming to Chosŏn and touring various regions, completely forget the true nature (本色) of a laborer, receive the protection (庇護) of government offices (官廳), and dash east and west (東馳西奔) triumphantly (得意揚揚) in an automobile as if he had achieved great success (大成功) in the labor movement (勞動運動), it seems getting even 7 votes wasn't particularly unjust (抑鬱).

There's a Limit Even to Pulling the Wool Over One's Eyes
The matter concerning Nakano Yūkō (中野有光) and Koga Renzō (古賀廉造) regarding the Opium Incident (阿片事件), titled "The Grand Indictment of 240,000 Characters" in the previous issue's column (本欄), resulted in Nakano being sentenced to one year and four months of imprisonment (一年 四月의 役) by the Ryojun High Court (旅順高等法院) on August 8th. Additionally, regarding a related civil suit (附帶社訴), he was ordered to pay reparations (賠償) amounting to the huge sum (巨額) of 108,310 yen and 40 sen. (Koga was acquitted). However, Nakano's (former Dairen Civil Administrator 大連民政署長) comments (所感談) on this are enough to attract considerable public attention (世間의 注意). He said, "I illegally sold (不正히 賣却) opium under orders (命) from the Kantō Agency (關東廳). Through this, I paid six million yen (六百萬圓) to the Kantō Agency over a year and a half (一年半). And finally, the ruling on the amount in the civil suit (私訴額) is truly a demand representing the nation of Japan (日本國). The Japanese state (國家) claims to have suffered damages (損害) even after illegally selling opium. This is truly lamentable (可嘆)." On one hand, they order the illegal sale, and on the other hand, they punish it (罰). The saying "pulling the wool over one's eyes" (눈가리고 아웅) must have been created for the Japanese state.<72>

**Summary**

This article is a collection of short, critical observations on contemporary Korean society in 1922 Kyŏngsŏng (Seoul). It satirizes the elite (nobles compared to animals, extravagant spending), comments on changing social customs (women at mineral springs, hair styles, proliferation of clan offices), critiques the perceived unfairness of colonial administration (neglect of T'aptong Park, handling of the opium scandal), notes social anxieties (fear of 'Reddening'/communism reflected in fashion), and mocks a visiting Japanese labor leader. For historians, the article offers valuable glimpses into colonial-era social commentary, revealing tensions between tradition and modernity, critiques of both Korean elites and Japanese colonial authorities, early observations on the labor movement's perception, and specific incidents like the neglect of Korean public spaces and the Kantō Agency opium scandal.

**Named Entities**

北村	북촌	Pukch'on
南山町	남산정	Namsan-chō
朝鮮	조선	Chosŏn
京城	경성	Kyŏngsŏng
塔洞公園	탑동공원	T'aptong Kongwŏn
獎忠壇	장충단	Changch'ungdan
漢陽公園	한양공원	Hanyang Kongwŏn
露國	노국	Noguk (Russia)
府內慶雲洞	부내경운동	Punnae Kyŏngun-dong
日本 勞働總同盟	일본 노동총동맹	Ilbon Nodong Ch'ongdongmaeng (Japan General Federation of Labor)
鈴木文治	스즈키 분지	Suzuki Bunji
日本	일본	Ilbon (Japan)
中野有光	나카노 유코	Nakano Yūkō
古賀廉造	고가 렌조	Koga Renzō
旅順高等法院	여순고등법원	Ryojun Kodŭng Pŏbwŏn (Ryojun High Court / Port Arthur High Court)
關東廳	관동청	Kwantongch'ŏng (Kantō Agency)
大連民政署長	대련민정서장	Taeryŏn Minjŏngsŏjang (Dairen Civil Administrator)
日本國	일본국	Ilbonkuk (State of Japan)

**Glossary**

昨年	작년	Last year
侯爵	후작	Marquis
人工降雨機	인공강우기	Artificial rain machine
猴爵	후작	Monkey Marquis (Satirical term based on 侯爵)
伯爵	백작	Count
矯風會	교풍회	Moral Reform Society
花柳界	화류계	Entertainment/Red-light district world (lit. flower and willow world)
世評	세평	Public opinion/criticism
老狸伯爵	노리백작	Old Fox Count (Satirical term)
貴族	귀족	Nobility, aristocrat
稀有	희유	Rare, uncommon
藥水터	약수터	Mineral spring site
藥水마지군	약수마지군	Group enduring mineral spring treatment (older term)
六마지	육마지	Six endurances/sufferings (term coined in the article)
汗	한	Sweat
辱	욕	Insult, disgrace
愛夫	애부	Husband's love
소낙비	소나기	Sudden rain shower (older spelling)
盜賊	도적	Thief, bandit
家長	가장	Head of household
매	매	Beating, whipping
宗約所	종약소	Clan association office
氏族	씨족	Clan
譜牒	보첩	Genealogy book
塚中枯骨	총중고골	Dry bones in the grave (idiom for deceased ancestors)
行蹟	행적	Deeds, achievements
誇張峻論	과장준론	Exaggerated and lofty discussion
世事	세사	Worldly affairs
太平	태평	Peaceful, tranquil
諸家	제가	Various families/houses
藝術家	예술가	Artist
自處	자처	Consider oneself as, claim to be
長髮	장발	Long hair
藝名	예명	Stage name
藝妓	예기	Kisaeng, female entertainer
斷髮	단발	Bobbed hair, short hair (for women)
進步	진보	Progress, advancement
退步	퇴보	Regression, decline
唯一	유일	Only, sole
樂園	낙원	Paradise
萬歲事件	만세사건	Manse Incident (March 1st Movement of 1919)
後門	후문	Rear gate
深鎖	심쇄	Tightly locked
樹木莎草	수목사초	Trees and lawn/grass
整治	정치	Maintain, put in order
禁錮罷職	금고파직	Imprisonment and dismissal from office
悲運	비운	Sad fate, misfortune
當局	당국	The authorities
不公平	불공평	Unfair, unjust
露國	노국	Russia (older name)
過激主義	과격주의	Radicalism, extremism
宣傳	선전	Propaganda, promotion
政局	정국	Political situation
赤化	적화	Becoming Red, communization
大恐怖病	대공포병	Great phobia
言論	언론	Speech, press
文字	문자	Writing, letters
特別取締	특별취체	Special crackdown/control
感染	감염	Infection, contagion
赤衫	적삼	Red traditional upper garment (blouse)
안옷고름	안고름	Inner ribbon/tie of traditional clothing
可怪	가괴	Strange, odd, monstrous
取締거리	취체거리	Reason/grounds for crackdown
府內	부내	Within the prefecture/city limits
慶雲洞	경운동	Kyŏngun-dong (neighborhood name)
狂症	광증	Madness, insanity
知舊	지구	Old acquaintance
頻煩	빈번	Frequent
術客	술객	Shaman, fortune-teller, diviner
甚多	심다	Very many, numerous
勳門家	훈문가	Distinguished/meritorious family
遺風	유풍	Legacy, tradition, custom passed down
尙存	상존	Still existing
可謂	가위	Can be called, it may be said
病席	병석	Sickbed
醫師	의사	Doctor
崇神人組合員	숭신인조합원	Member of a shamanistic association (lit. god-worshipping person association member)
奠乃家老婆	'점치는' 노파	Old woman fortune-teller (archaic/colloquial)
一夜	일야	One night
五十圓	오십원	Fifty Won (Yen)
連續的	연속적	Consecutively, continuously
얼시고 절사소리	얼씨구 절씨구 소리	Sounds of shamanistic chanting/exclamations
隣家	인가	Neighboring house
安眠	안면	Peaceful sleep
妨害	방해	Disturbance, obstruction
保護巡査	보호순사	Police guard (term used in colonial period)
貴族大監	귀족대감	Noble lord (honorific)
大監놀이	대감놀이	Lord's antics/play (possibly referring to extravagant or arbitrary behavior)
再昨年	재작년	The year before last
虎疫	호역	Cholera (lit. tiger epidemic, older term)
流行	유행	Epidemic, trend
洞里自衛防疫所	동리자위방역소	Neighborhood self-defense anti-epidemic station
費用	비용	Expense, cost
紅顔	홍안	Red face (blushing from shame or anger)
可憎	가증	Hateful, detestable
勞働會長	노동회장	Labor Chairman
名譽會長	명예회장	Honorary Chairman
何人	하인	Anyone, who
大信望	대신망	Great trust and prestige
消息通	소식통	Well-informed source, insider
選擧	선거	Election
僅히	근히	Merely, only (older spelling/form)
표	표	Vote
巡回	순회	Tour, circuit
노동자	노동자	Laborer, worker
本色	본색	True nature, original character
忘却	망각	Forgetting
官廳	관청	Government office
庇護	비호	Protection, patronage
勞動運動	노동운동	Labor movement
大成功	대성공	Great success
自動車	자동차	Automobile
得意揚揚	득의양양	Triumphant, elated
東馳西奔	동치서분	Dashing east and west, running around busily
抑鬱	억울	Unjust, unfair; resentment
눈가리고 아웅	눈 가리고 아웅	Pulling the wool over one's eyes (idiom: lit. covering eyes and meowing like a cat)
有分數	유분수	There is a limit/reason
本欄	본란	This column (in a publication)
大論告	대논고	Grand indictment/argument
阿片事件	아편사건	Opium Incident
高等法院	고등법원	High Court
一年 四月	일년 사월	One year and four months
役	역	Imprisonment term
附帶社訴	부대사소	Related/auxiliary civil suit
巨額	거액	Huge sum (of money)
賠償	배상	Reparations, compensation
民政署長	민정서장	Civil Administrator
所感談	소감담	Statement of thoughts/impressions
世間	세간	The world, the public
注意	주의	Attention, notice
足하다	족하다	To be sufficient, enough
命	명	Order, command
不正	부정	Illegality, wrongdoing
賣却	매각	Sale, selling off
一年半	일년반	One and a half years
六百萬圓	육백만원	Six million Won (Yen)
納	납	To pay, submit
私訴額	사소액	Amount in a civil suit
判決	판결	Judgment, verdict, ruling
實로	실로	Truly, indeed
日本國	일본국	The State of Japan
代表	대표	Representative
要求	요구	Demand, claim
國家	국가	State, nation
