잡지명	개벽 第27호
발행일	1922년 09월 01일
기사제목	東光高等普通學校를 一瞥하고 (A Glimpse of Tonggwang Higher Common School)
필자	如天生
기사형태	문예기타 (Literary/Miscellaneous)

東光高等普通學校를 一瞥하고
						如天生

It was 3 PM on August 16th. At this time, the temperature in the city had reached 96.7 degrees [Fahrenheit]. However, at the entrance to Sungil-dong, a cool breeze blew in from the valley. As this was my first visit here, I asked a farmer, "Where is the Tonggwang School?" The farmer kindly pointed, saying, "It's that large tile-roofed house over there in the pine forest." Treading on the tree shadows, I slowly walked towards the large tile-roofed house in the pine forest. It was a grand, old-style building, formerly the Bukmyo (北廟 - North Shrine), which many people used to worship. Before even visiting the school authorities, I sat down first in a cool spot in the pine forest on the hill behind the house to wipe away my sweat and looked around in all four directions. Truly, the air is good, and the atmosphere is also very fine. A clear stream girdles it like a belt (淸溪襟帶), layered rocks form a screen-like shape (層巖屛狀), and below the rocks, a precious jade spring (一寶玉泉) gushes out coolly (冷然瀉出). About ten steps above it, a large rock stands imposingly (大石磅礴), where a trickling jade stream (玉流) gathers to form a jade pond (玉潭). Overflowing, it runs down the lower stone wall (石壁) creating a waterfall (瀑布). The grotto area (洞府) is spacious (寬敞), and the level ground (墳衍) is somewhat broad (稍廣). With a thousand acres of fertile land (良田千畝) where paths crisscross (阡陌縱橫), grass and trees flourish (草木茂盛), residents are few (居民鮮少), and the scenery is superb (風景絶勝). It is truly a place of sweet springs and fertile soil, suitable for farming and washing (泉甘土沃 可稼可濯), a grotto-heaven and blessed land (洞天福地), indeed a separate, secluded realm (別界隩區). Moreover, I felt it was particularly appropriate as a school location (學校位置). After wiping off all my sweat and taking in the scenery, I sought out the school authorities and came to hear about the history of the school and the school building. As it happened, the principal (敎長), Mr. Paek Nam-kyu (白南奎), was not in, but the vice-principal (校監), Mr. Cho Hak-yu (曹學乳), kindly told me the story. I listened to his account, viewed the actual site (實地), and based on what I heard and saw, I write the following.

In former times, Master Uam Song (尤庵 宋先生), Song Si-yŏl (時烈), who strove for good governance by inviting the wise and accepting scholars (勵精圖治 聘賢納士), while responding (膺하야) to a summons by banner (旌招) from his country home in Hoedŏk (懷德鄕第) and awaiting orders in the capital (輦下), sought to avoid the clamor and dust (囂塵) of the city. He chose this place for lingering (盤旋) and newly built (新築) a refined three-kan dwelling (三間精舍). Enjoying the scenery (遊賞) and marking its uniqueness (異標), he personally wrote and deeply carved (手書深刻) four large characters, "Zēng Zhū Bì Lì" (曾朱壁立 - Zengzi and Zhu Xi standing like cliffs), on the rock face (巖面), and two large characters, "Yogch'ŏn" (浴川 - Bathing Stream), beside the pond (潭傍). His calligraphy (心畫) was strong and vigorous (遒健), almost competing in majesty (雄) with the force of the mountains (岳勢). At that time, he cultivated himself and rested here (藏修遊息), happily forgetting to return (欣然忘返), finding a joy almost not exchangeable even for the position of the Three Ducal Ministers (三公不換之樂). However, in the Gisa year (己巳 - 1689), the Master received the later command [of execution] at Ch'osan (楚山), and his footsteps (杖屨) never returned to this place (此地). For several desolate hundred years (寥寥數百年), the mountain colors seemed to hold the sorrow of parting (離恨), and the sound of the spring seemed to cry in sorrow (嗚咽). Several old rooms (老屋數間) stood tall alone (巍然獨存). The village name (洞名) was still named after the Master's esteemed surname (華姓 - Song), serving only to provide material for the legends (傳說) of the residents and remaining elders (居人遺老).

Later, in the 19th year of Emperor Kojong's (高宗皇帝) reign, the Im'o year (壬午 - 1882), the Emperor was moved by a strange dream (異夢) and ordered the rebuilding (復建) of the Guan Yu Shrine (關王廟). Construction began (經始) at this location (此地), and its completion (落成) was announced the following year, Kyemi (癸未 - 1883). This was called the Bukmyo (北廟 - North Shrine) and was devoutly enshrined without neglect (虔奉不廢) for over 300 years.

In the winter of the Kapsin year (甲申 - 1884), an unprecedented (破天荒) event in four thousand years suddenly arose (突起) at the hands of several young renowned figures (幾個少年名士), bringing the curtain down (終幕) inside this building (此舍內) on a great tragedy (一大悲劇) of eternal sorrow and regret (萬古哀恨) for us. This was the political reform movement (政治革新運動) by top-class figures (一流名士) such as Kim Ok-kyun (金玉均), Sŏ Kwang-bŏm (徐光範), Sŏ Chae-p’il (徐載弼), Hong Yŏng-sik (洪英植), Pak Yŏng-kyo (朴泳敎), Pak Yŏng-hyo (朴泳孝), Pyŏn Su (邊燧), <84> Sin Pok-mo (申福模), and others. This was a time when powerful ministers from the Queen's clan (外戚權臣) held national authority (國權) hereditarily, and the people's misery (塗炭) grew worse daily (日甚). Having lived austerely (薪膽生活) while observing overseas trends (海外風習), longing (流涎) for the excellent institutions (良典) of Western European constitutionalism (西歐立憲), and wringing their hands (扼腕) over the harmful effects (流弊) of East Asian despotism (東亞專制), they ground their fists (拳磨) and rubbed their palms (掌擦) with immense sharp spirit (萬丈銳氣). Under the fervent sincerity (熱誠) of wanting to annihilate (全滅) the stubborn and corrupt old government faction (頑敗 舊政府派) with one move (一擧手) and free their brothers (兄弟) living in unfreedom (不自由), they used the Post Office (郵政局) completion banquet (落成宴) on the night of October 17th as an opportunity (機). At the very beginning (劈頭), they attempted to assassinate (狙擊) the conservative leader (守舊首領) Min Yŏng-ik (閔泳翊), but mistakenly hit (誤中) and severed (截) his right ear (右耳). Consequently, on the late dawn of the 18th, they killed (殺) key figures among the maternal relatives' ministers (戚臣中堅) Min T’ae-ho (閔台鎬), Cho Yŏng-ha (趙寧夏), Min Yŏng-mok (閔泳穆), Han Kyu-jik (韓圭稷), Yun T’ae-chun (尹泰俊), Yi Cho-yŏn (李祖淵), and others, and organized (組織) a new government (新政府). At that time (當時), the conservative faction (守舊派) sought support (後援) from Qing China (淸國), while the new government faction (新政派) had assistance (援助) from Japan (日本). There were battle engagements (接戰) between Japanese and Qing soldiers (日淸兩兵), resulting in numerous casualties (多數 死傷). The entire city was in an uproar (滿城洶洶), and people high and low (上下) were terrified (恐惶), not knowing what to do (所措罔知). At that time (時), the King (大駕) and Queen (中宮) moved (播遷) to this shrine (此廟). While Hong Yŏng-sik (洪英植) and others, escorting (扈從) them, were strongly requesting (力請) their return to the palace (還宮), the Qing general (淸將) Yüan Shih-k’ai (袁世凱) led troops to attack (率兵來擊). Hong Yŏng-sik, Pak Yŏng-kyo (朴泳敎), and seven officer cadets (士官生徒) shed blood and died for the cause (流血殉身) in this shrine's courtyard (此廟庭), becoming martyrs mourned by the nation (國殤) – an eternal regret (千秋遺恨). The remaining faction members (餘黨) fled (走*) overseas (海外) and were never able to achieve their wish (願) of staging a comeback (捲土重來). After the Emperor returned to the palace (皇帝還宮), citing the help and protection (助佑) of King Guan (關王) in killing the nation's traitors (國家兇漢) in front of the shrine (廟前), veneration (崇奉) became even more diligent (益勤). A stele was erected praising his virtues (立碑頌德), and the shrine corridors were expanded and built (增築廟廊), making its magnificent and grand appearance (輪奐宏偉) the finest (冠) among all Guan Yu shrines (諸關王廟).

After the Gabo Political Change (甲午政變 - 1894), the veneration (崇奉) of this shrine became limited (止) to the votive rites (賽祀) of common women in the alleys (委巷婦女). After Kyŏngsul (庚戌 - 1910), the image (形狀) of Guan Yu was enshrined together (合奉) at the Dongmyo (東廟 - East Shrine), and this shrine became an empty house (閑家屋). The desolate hall (荒殿) was silent (寂寂), its courtyard full of autumn grass (滿庭秋草).

Buddhism (佛敎), which had been a useful tool (利器) for all sorts of civilization (萬般文明) since Koryŏ (高麗以來), had been in a dormant state (不飛不鳴 狀態) for the past several hundred years (最近幾百年間). However, accompanying the trend of the times (世運推移) and awakening (覺) to the duty (義務) of contributing to society (社會奉貢), it took its first dramatic step (衝天驚人 第一步). In August of Taishō 4 (1915), the Thirty Head Temples (三十本山) established (設立) the Buddhist Central Academy (佛敎中央學林), borrowing this shrine (此廟) for use as a school building (校舍). In April of Taishō 10 (1921), they applied (出願) for the establishment (設立) of Tonggwang Higher Common School (東光高等普通學校). Approval (認可) was recently granted, and they needed and used this land and building (此地此舍), leading to the present day (今日), or so I was told.

Thus, for those teaching (學授) and receiving instruction (敎受) at Tonggwang School, in a school building (校舍) with such a complex history (波瀾重疊 沿革), there must be an extraordinary significance (남다른 意義).

It is said that this school, along with the recent change in the school system (校制變更), is recruiting (募集) approximately (約) one hundred (百名) students for the first year (1學年) and several tens (若千名) for the second year (2學年).

As I turned back out of the entrance to Sungil-dong (崇一洞 於口), the sun considerably set (자못 기울럿는데), carrying this fleeting impression (幻念) I captured briefly (暫間) from my glimpse (一瞥) of the school, only the strange gleam (이상히 번씩일 뿐이더이다) of the grass-mowing scene (풀비는 장기) of that farmer (農軍)—who earlier, when I passed through, had said, "That large tile-roofed house over there is the school"—remained. <85>

**Summary**

This article describes the author's visit to Tonggwang Higher Common School, located in a former royal shrine (Bukmyo) in Sungil-dong. The author details the beautiful natural surroundings and the building's layered history: initially a retreat for the scholar Song Si-yŏl, then rebuilt as the Bukmyo shrine by Emperor Kojong, dramatically becoming the final scene of the failed Gapsin Coup (1884) where key reformers were killed, later venerated then falling into disuse after 1910, and finally repurposed in 1915 as a Buddhist academy before becoming the Tonggwang Higher Common School in 1921. The author reflects on the profound historical significance of studying in such a location. For historians, the article offers a contemporary (1922) perspective on the Gapsin Coup's connection to a specific site, the perceived decline of traditional institutions like royal shrines under Japanese rule, and the re-emergence of Buddhism into the educational sphere as a modernizing force. The detailed recounting of the Gapsin Coup events at the Bukmyo, including the names of participants and victims, is particularly valuable.

**Named Entities**

東光高等普通學校	동광고등보통학교	Tonggwang Higher Common School
如天生	여천생	Yŏch'ŏn-saeng
崇一洞	숭일동	Sungil-dong
北廟	북묘	Pukmyo (North Shrine)
白南奎	백남규	Paek Nam-kyu
曹學乳	조학유	Cho Hak-yu
宋先生(時烈)	송선생(시열)	Song Sŏnsaeng (Si-yŏl)
尤庵	우암	Uam (Song Si-yŏl's pen name)
懷德	회덕	Hoedŏk
高宗皇帝	고종황제	Emperor Kojong
關王廟	관왕묘	Kwanwangmyo (Guan Yu Shrine)
金玉均	김옥균	Kim Ok-kyun
徐光範	서광범	Sŏ Kwang-bŏm
徐載弼	서재필	Sŏ Chae-p’il
洪英植	홍영식	Hong Yŏng-sik
朴泳敎	박영교	Pak Yŏng-kyo
朴泳孝	박영효	Pak Yŏng-hyo
邊燧	변수	Pyŏn Su
申福模	신복모	Sin Pok-mo
閔泳翊	민영익	Min Yŏng-ik
閔台鎬	민태호	Min T’ae-ho
趙寧夏	조영하	Cho Yŏng-ha
閔泳穆	민영목	Min Yŏng-mok
韓圭稷	한규직	Han Kyu-jik
尹泰俊	윤태준	Yun T’ae-chun
李祖淵	이조연	Yi Cho-yŏn
淸國	청국	Ch'ŏngguk (Qing China)
日本	일본	Ilbon (Japan)
袁世凱	원세개	Wŏn Se-gae (Yuan Shikai)
東廟	동묘	Tongmyo (East Shrine)
佛敎中央學林	불교중앙학림	Pulgyo Chungang Hangnim (Buddhist Central Academy)
三十本山	삼십본산	Samsip Ponsan (Thirty Head Temples)

**Glossary**

高等普通學校	고등보통학교	Higher Common School (Type of secondary school under Japanese rule)
一瞥하고	일별하고	Taking a glimpse
잇섯습니다	있었습니다	Was/Were (Older spelling of 있었습니다)
於口	어구	Entrance (Used here for 崇一洞 於口 - Sungil-dong entrance)
무럿습니다	물었습니다	Asked (Older spelling of 물었습니다)
어대	어디	Where (Older spelling of 어디)
기와집	기와집	Tile-roofed house
當局者	당국자	Authorities
爲先	우선	First / Firstly (Hanja form often used)
조커니와	좋거니와	Is good, and also... (Older spelling/form of 좋거니와)
조흡니다	좋습니다	Is good (Older spelling of 좋습니다)
沿革	연혁	History / Development / Origins
듯게	듣게	To hear (Older spelling of 듣게)
이약이	이야기	Story / Talk (Older spelling of 이야기)
븐대로	본 대로	As seen/heard
알에다	아래에다	Below / Underneath (Older spelling/form)
넷적	옛적	Old times / Former days (Older spelling of 옛적)
聘賢納士	빙현납사	Inviting the wise and accepting scholars
膺하야	응하여	Responding to / Accepting (Hanja based verb form)
輦下	연하	Under the royal carriage; In the capital
囂塵	효진	Clamor and dust; Bustle of the city
相하야	상하여	Choosing a site (Hanja based verb form, from 相地 - geomancy/site selection)
精舍	정사	Refined dwelling; Study; Retreat
深刻	심각	Deeply carved
遒健	추건	Strong and vigorous (often describing calligraphy or writing style)
藏修遊息	장수유식	Cultivating oneself and resting; Living in scholarly retreat
殆히	태히	Almost / Nearly
杖屨	장구	Staff and shoes; Footsteps / Traces of someone's presence
寥寥	요요	Lonely / Desolate / Few
嗚咽	오열	Sobbing / Wailing sound
胃하야	위하여	For / Because of (Seems a typo for 爲)
而已엿다	이이였다	Was only... / Merely served as... (Older grammatical ending)
卽位	즉위	Accession to the throne
異夢	이몽	Strange or prophetic dream
經始	경시	To begin construction
落成	낙성	Completion of construction
虔奉不廢	건봉불폐	Devoutly enshrined without neglect
甲申	갑신	Gapsin (Year name, 1884, year of the Gapsin Coup)
破天荒	파천황	Unprecedented / Groundbreaking
萬古哀恨	만고애한	Eternal sorrow and regret
戚臣	척신	Minister related to the queen's family
塗炭	도탄	Misery / Suffering (Lit. mud and charcoal)
薪膽生活	신담생활	Living austerely (Lit. sleeping on firewood and tasting gall)
流涎	유연	Drooling; Longing for / Coveting
扼腕	액완	Wringing one's hands (in frustration or anger)
銳氣	예기	Sharp spirit / Zeal / Ardor
狙擊	저격	To snipe / Ambush / Assassinate
誤中	오중	To hit by mistake / Stray shot
播遷	파천	To move the capital or court (often due to disaster or war); Flee
扈從	호종	To escort the king or royalty
殉身	순신	To sacrifice one's life / Die for a cause
國殤	국상	National mourning for those who died for the country; Martyrs
捲土重來	권토중래	To stage a comeback (Lit. to roll up the earth and come again)
賽祀	새사	Votive offering or ritual
合奉	합봉	To enshrine together
閑家屋	한가옥	Empty house / Unoccupied building
寂寂	적적	Silent / Desolate / deserted
不飛不鳴	불비불명	Not flying, not crying; Lying low / Inactive / Dormant
世運	세운	Trend of the times / Fortune of the world
奉貢	봉공	To contribute / Serve
衝天驚人	충천경인	Soaring to the heavens and startling people; Dramatic / Sensational
校舍	교사	School building
貸用	대용	To borrow for use
出願	출원	To apply / Submit an application
這間	저간	Recently / Lately
需用	수용	To need and use / To utilize
波瀾	파란	Waves; Ups and downs / Vicissitudes
若千名	약천명	Several tens of people (number)
幻念	환념	Fleeting thought / Illusion / Impression
자못	자못	Considerably / Quite / Very
번씩이다	번쩍이다	To flash / Gleam / Glitter (Likely intended meaning of 번씩일)
-e 

---------------------------


잡지명	개벽 제27호
발행일	1922년 09월 01일
기사제목	東光高等普通學校를 一瞥하고
필자	如天生
기사형태	문예기타

東光高等普通學校를 一瞥하고
						如天生
