Magazine Title: 개벽 제65호
Publication Date: 1926년 01월 01일
Article Title: 社會日誌 (Social Diary)
Author: Not specified
Article Type: 소식 (News/Briefs)

Social Diary
From November 16th

【November 16th】△Chang Tso-lin opened a major conference of the Fengtien Clique to discuss finance and military affairs. △The British Parliament convened. △The Dutch Cabinet resigned. △Wu P'ei-fu again notified the diplomatic corps of various countries about the seizure of salt tax revenues.

【November 17th】△At the Beijing Tariff Conference's subcommittee, agreement was reached on the Chinese sovereignty proposal.

【November 18th】△K'ang Ik-rok, who attacked the Sŏnch'ŏn County Samgŏn Police Post, was sentenced to life imprisonment.

【November 19th】△At the Beijing Tariff Conference, the sovereignty and lijin abolition proposals were passed unanimously. △A great flood occurred in Mexico City, devastating the city. △In the Italian Parliament, a major brawl erupted between Kokusui Party members and Communist Party legislators.

【November 20th】△British Queen Mother Alexandra passed away.<50>

【November 21st】△The strike issue involving Fuji Spinning Co. workers in Kanagawa Prefecture, Japan, escalated, with over sixty arrested and a large demonstration of over six thousand people occurring. △The German Upper House approved the Locarno Pact.

【November 22nd】△Over two hundred Pusan printing workers went on strike over wages and treatment issues. △Chōsen Sōtokufu Vice Governor-General Simo'oka Chūji passed away. △China's Ch'en Tiao-yüan, echoing Wu P'ei-fu, declared the seizure of salt tax revenues under the title of Chiangsu Commander-in-Chief. △The French Painlevé Cabinet resigned en masse due to the failure of the finance bill.

【November 23rd】△In China, conflict between the Fengtien Clique and the Honan Clique reignited. △Kuo Sung-ling, a subordinate of Chang Tso-lin, raised a banner of revolt against Chang in Luanzhou with 70,000 troops. △Over ten ideologues (socialists/communists) were arrested in Sinŭiju.

【November 24th】△The case of eleven individuals, including Pak Yŏl of the anarchist group Pulch'ŏngsa and his wife Kim Ch'a-hong, arrested in Tokyo in August 1923 on charges of lèse-majesté, was declassified and announced. △An agreement was reached between China's Feng Yü-hsiang and Kuo Sung-ling.

【November 25th】△Kuo Sung-ling declared independence<51> and simultaneously advanced on Fengtien with four units. △Over one hundred members of the Wando Cotton Producers' Association stormed the county office to oppose the establishment of a Wando cotton sales outlet.

【November 26th】△Siamese Emperor Rama VI passed away. △China's Chief Executive Tuan Ch'i-jui announced his resignation amidst the turmoil. △The Fengtien army suffered major defeats everywhere. △In Naju, a major clash occurred between over ten thousand tenant farmers and armed police (due to the issue of a pact refusing to pay tenant fees).

【November 27th】△Feng Yü-hsiang held a military conference to discuss a committee-based cabinet. △Kuo Sung-ling demanded that Chang Tso-lin hand over the Three Eastern Provinces (Manchuria). △In Naju, five to six thousand male and female tenant farmers surrounded and physically pressed the county magistrate. △Russia's Lev Karakhan arrived in Beijing for the purpose of promoting communization.

【November 28th】△Feng Yü-hsiang carried out a coup d'état (violent political change) in China, and simultaneously, a revolutionary demonstration occurred in Beijing. △Real power in Beijing fell to Feng Yü-hsiang.

【November 29th】△At the National Demonstration Movement outside Beijing's Tiananmen Gate, resolutions were passed guaranteeing international equality, the lives and property of citizens, and freedoms of speech, assembly, and association. △The Kyŏngnam Youth Alliance was organized in Masan.<52>

【November 30th】△In Kyŏngsŏng (Seoul), six or seven ideologues, including Im Wŏn-gŭn and Yu Chin-hŭi, were arrested. △Over three hundred students from Beijing's University of Law and Political Science occupied the Senate and House of Representatives.

【December 1st】△In Kyōto, Japan, forty students from Kyōto Imperial University were arrested in connection with a certain secret incident. △The Beijing Student Union formally opened a revolutionary movement consultation meeting. △The Locarno Treaty was formally signed in London. △Japan's Farmer-Labor Party was banned by the Home Ministry on suspicion of disturbing public peace. △The Communist Party convention scheduled to be held at Beijing University was postponed due to the turmoil.

【December 2nd】△Martial law was declared in Lungchingtsun (Yongjŏng), North Kando, and an order prohibiting grain export was issued in Fengtien. △The ideologues Im Wŏn-gŭn, Yu Chin-hŭi, Pak Hŏn-yŏng, and Chu Se-juk, arrested at Chongno Police Station, were transferred to Sinŭiju. △Yuasa Kurahei was decided as the Chōsen Sōtokufu Vice Governor-General. △The banned Japanese Farmer-Labor Party announced the establishment of the First Proletarian Party. △In China, the Huang-Guo Cabinet was formed. △The National Army occupied Jehol (Yŏrha).

【December 3rd】△China's Chief Executive Tuan announced he would remain in office until the end of the Tariff Conference.<53> Feng Yü-hsiang requested that major figures dispatch representatives as a measure to resolve the situation. △The French Lower House held a vote of confidence in the new Prime Minister Briand. △Chang Tso-lin's army abandoned Huanchung.

【December 4th】△In China, the Provisional Chief Executive Order was decided and promulgated. Li Ching-lin declared war on the National Army. Chang Tso-lin announced a reward of 800,000 yuan for capturing Kuo Sung-ling alive and 80,000 yuan for bringing his head.

【December 5th】△Fengtien fell into crisis due to a general attack by Kuo Sung-ling's army, and Japanese troops concentrated inside Fengtien city to protect residents.

【December 6th】△Amidst Chang Tso-lin's downfall, Koreans in North Manchuria organized troops. △Chang Tso-lin, relying on Japan, sent a peace envoy to Kuo Sung-ling. △Chang Tsung-ch'ang declared the independence of Shantung Province. △In Sŏngbuk, the Ch'ŏngbu (Ch'ŏngjin-Puryŏng) Youth Alliance was organized.

【December 7th】△Chang Tso-lin decided to resign and step down. △Japan prepared to dispatch troops to Manchuria. △Mokp'o Free Labor Union members went on a general strike over wage issues. △Kuo Sung-ling declared to the diplomatic corps of various countries that the lives and property of foreigners would be protected.

【December 8th】△At the Kyŏngsŏng District Court, the trial for the Labor Dispute Incident opened. △The Japanese Kwantung Army Commander notified both the Fengtien and Kuo armies that infringement upon established rights would absolutely not be tolerated.

【December 9th】△The Police Authorities, in view of the Manchurian crisis,<54> specially dispatched one hundred police officers with military backgrounds to the border. ▲In Okch'ŏn, a commotion arose due to a bridge collapse causing fourteen serious and minor injuries. Kuo's army crossed the Taling River (Taeryŏngha) and occupied Koupangtzu (Kubangja).

【December 10th】▲Japan issued orders to dispatch troops to Manchuria. ▲Soviet Russia supplied military equipment to Feng Yü-hsiang's army. ▲In Chin'yŏng, South Kyŏngsang Province (likely 'Kyŏngnam Chin'yŏng'), the Triangle Youth Alliance was founded. ▲US Foreign Relations Committee Chairman Borah submitted a proposal for the recognition of Soviet Russia.

【December 11th】▲A secret meeting took place between Japan's Consul General in Manchuria, Funatsu, and Chang Tso-lin.

【December 12th】△Eleven individuals involved in the Koryŏ Communist Party secret society case, including Im Wŏn-gŭn and Tukkŏ Yŏ, were transferred from Sinŭiju Police Station to the prosecutor's office. △The Soviet government protested Japan's dispatch of troops to Manchuria. △Three hundred members of the Mokp'o Free Labor Union held a large demonstration procession led by a red flag. In Anju, a related press corps was founded.

【December 13th】▲In Kaesŏng, a Youth Alliance was organized.

【December 14th】▲Kim Yak-su of the Pukp'unghoe, who had gone to Japan regarding the flood relief funds sent from Soviet Russia, was arrested in Taegu. Fellow ideologues Chu Chong-gŏn and Sŏ Chŏng-hŭi were also arrested in Kyŏngsŏng and severely interrogated before being transferred to Sinŭiju. ▲US Senate Foreign Relations Committee Chairman Borah strongly urged the recognition of Russia.

【December 15th】▲Japan issued mobilization orders for Manchuria, and Korea's 20th Division departed.<55>
<50-55>

**Summary**

This "Social Diary" chronicles daily events from November 16 to December 15, 1925. It heavily features the escalating political and military turmoil in China, including the Fengtien Clique's internal conflict with Guo Songling, Feng Yü-hsiang's coup in Beijing, the ongoing Tariff Conference, and Japanese intervention in Manchuria. Significant events in Korea include the arrest and prosecution of numerous socialists, communists, and anarchists (like Pak Yŏl, Im Wŏn-gŭn, Kim Yak-su), major labor strikes (Pusan printers, Mokp'o laborers), tenant farmer protests (Naju), the death of the Vice Governor-General and appointment of his successor, and the formation of various youth alliances. International news covers the death of the British Queen Mother, the Locarno Pact signing, French cabinet changes, and US discussions on recognizing Soviet Russia. For historians, this article offers a valuable contemporary snapshot of the volatile situation in East Asia, detailing the interplay between Chinese warlord politics, Japanese expansionism, the rise of communist/socialist movements in Korea under colonial rule, and related labor/agrarian unrest. The specific names, dates, and locations related to arrests and political organizing in Korea provide granular detail on colonial suppression and resistance activities.

**Named Entities**

張作霖	장작림	Chang Tso-lin
奉天波	봉천파	Fengtien Clique
英國議會	영국의회	British Parliament
和闌內閣	화란내각	Dutch Cabinet
吳佩孚	오패부	Wu P'ei-fu
各國外交團	각국외교단	Diplomatic Corps of various countries
北京	북경	Beijing
關稅會議	관세회의	Tariff Conference
中國	중국	China
宣川郡	선천군	Sŏnch'ŏn County
三健駐在所	삼건주재소	Samgŏn Police Post
康益祿	강익록	K'ang Ik-rok
墨西哥「시퇴」	멕시코 시티	Mexico City
伊太利議事場	이태리의사장	Italian Parliament
國粹黨	국수당	Kokusui Party (Japan/possibly referring to Fascists in Italy context)
共産黨	공산당	Communist Party
英國皇太后	영국황태후	British Queen Mother
아렉산드리	알렉산드라	Alexandra
日本	일본	Japan
神奈川縣	가나가와현	Kanagawa Prefecture
富士紡續	후지방적	Fuji Spinning Co.
獨逸上院	독일상원	German Upper House
노칼노保障條約	로카르노 보장조약	Locarno Pact
釜山	부산	Pusan
印刷職工	인쇄직공	Printing Workers
朝鮮總督府	조선총독부	Chōsen Sōtokufu (Government-General of Korea)
政務摠監	정무총감	Vice Governor-General
下岡忠治	시모오카 주지	Simo'oka Chūji
陳調元	진조원	Ch'en Tiao-yüan
江蘇	강소	Chiangsu (Jiangsu)
佛國	불국	France
루베內閣	팽루베내각	Painlevé Cabinet
河南派	하남파	Honan Clique (Henan)
郭松齡	곽송령	Kuo Sung-ling
灪州	난주	Luanzhou
新義州	신의주	Sinŭiju
主義者	주의자	Ideologue (Socialist/Communist/Anarchist)
無政府主義者	무정부주의자	Anarchist
大正十二年	대정십이년	Taishō 12 (1923)
東京	동경	Tokyo
不逞社	불령사	Pulch'ŏngsa
朴烈	박렬	Pak Yŏl
金子文子/金于文干	김자문자/김우문간	Kaneko Fumiko (referred to as Kim Cha-hong/金于文干 in text, likely error for 金子文子)
馮玉祥	풍옥상	Feng Yü-hsiang
奉天	봉천	Fengtien (Shenyang)
莞島	완도	Wando
棉作組合員	면작조합원	Cotton Producers' Association Members
郡廳	군청	County Office
暹羅皇帝	섬라황제	Siamese Emperor
喇■六世	라마 6세	Rama VI (King Vajiravudh)
段執政	단집정	Chief Executive Tuan (Tuan Ch'i-jui)
羅州	나주	Naju
小作人	소작인	Tenant Farmers
武裝警官	무장경관	Armed Police
露國	노국	Russia (Soviet Union)
카라한	카라한	Karakhan (Lev Karakhan)
天安門	천안문	Tiananmen Gate
國民示威運動	국민시위운동	National Demonstration Movement
慶南靑年聯盟	경남청년연맹	Kyŏngnam Youth Alliance
馬山	마산	Masan
京城	경성	Kyŏngsŏng (Seoul)
林元根	임원근	Im Wŏn-gŭn
兪顚熙	유진희	Yu Chin-hŭi
法政大學生	법정대학생	University of Law and Political Science Students
參衆兩院	참중양원	Senate and House of Representatives
京都	교토	Kyōto
京都帝大生	교토제대생	Kyōto Imperial University Student
北京學生聯合會	북경학생연합회	Beijing Student Union
로칼로條約	로카르노 조약	Locarno Treaty
偸敦	런던	London (older transliteration)
農民勞動黨	농민노동당	Farmer-Labor Party (Japan)
內務省	내무성	Home Ministry (Japan)
北京大學	북경대학	Beijing University
北間島	북간도	North Kando (Jiandao)
龍井	용정	Lungchingtsun (Yongjŏng)
鍾路署	종로경찰서	Chongno Police Station
朴憲永	박헌영	Pak Hŏn-yŏng
朱世竹	주세죽	Chu Se-juk
湯淺倉平	유아사 구라헤이	Yuasa Kurahei
第一無産政黨	제일무산정당	First Proletarian Party
黃郭內閣	황곽내각	Huang-Guo Cabinet
國民軍	국민군	National Army (Kuominchun)
熱河	열하	Jehol (Rehe)
佛國下院	불국하원	French Lower House
부리앙	브리앙	Briand (Aristide Briand)
李景林	이경림	Li Ching-lin
北滿朝鮮人	북만조선인	Koreans in North Manchuria
張宗昌	장종창	Chang Tsung-ch'ang
山東省	산동성	Shantung Province (Shandong)
成北	성북	Sŏngbuk (Possibly referring to location near Ch'ŏngjin/Puryŏng)
淸富靑年聯盟	청부청년연맹	Ch'ŏngbu (Ch'ŏngjin-Puryŏng) Youth Alliance
滿洲	만주	Manchuria
木浦	목포	Mokp'o
自由勞動組合	자유노동조합	Free Labor Union
勞働■紛爭事件	노동 분쟁 사건	Labor Dispute Incident (*obscured character*)
京城地方法院	경성지방법원	Kyŏngsŏng District Court
關東總司令官	관동총사령관	Kwantung Army Commander
警務當局	경무당국	Police Authorities
沃川	옥천	Okch'ŏn
大凌河	대릉하	Taling River
溝幇子	구방자	Koupangtzu
赤露	적로	Red Russia (Soviet Russia)
變南進永	경남진영	Kyŏngnam Chin'yŏng (Likely intended location)
三角靑年聯盟	삼각청년연맹	Triangle Youth Alliance
米國外交委員長	미국외교위원장	US Foreign Relations Committee Chairman
보라	보라	Borah (William Borah)
在滿總領事	재만총영사	Consul General in Manchuria
船津氏	후나츠씨	Mr. Funatsu (Funatsu Tatsuichirō)
高麗共産黨	고려공산당	Koryŏ Communist Party
獨孤餘	독고여	Tukkŏ Yŏ
勞農政府	노농정부	Worker-Peasant Government (Soviet Government)
赤旗	적기	Red Flag
安州	안주	Anju
記者團	기자단	Press Corps
開城	개성	Kaesŏng
北風會	북풍회	Pukp'unghoe
金若水	김약수	Kim Yak-su
大邱	대구	Taegu
朱鍾建	주종건	Chu Chong-gŏn
徐廷禧	서정희	Sŏ Chŏng-hŭi
米上元外交委員長	미상원외교위원장	US Senate Foreign Relations Committee Chairman (*misspelling of 상원*)
朝鮮	조선	Korea
二十師團	이십사단	20th Division (Japanese Army)

**Glossary**

巨頭會議	거두회의	Top leaders' meeting, summit conference
辭戰	사전	Resignation (of a cabinet); older term, now usually 사퇴 or 사임
靈稅差押	염세차압	Seizure of salt tax revenue (鹽稅差押)
自主權案	자주권안	Sovereignty proposal/plan
駐在所	주재소	Police substation (colonial era term)
無期懲役	무기징역	Life imprisonment
盛金腹止案	이금철폐안	Lijin (釐金) abolition proposal (likely intended 釐金廢止案)
崩去	붕어	Death of a monarch or high royal figure (honorific)
罷業	파업	Strike (labor)
檢束	검속	Arrest, roundup
示威運動	시위운동	Demonstration, protest movement
保障條約	보장조약	Pact, security treaty
賃金	임금	Wages
待遇	대우	Treatment, working conditions
逝去	서거	Death (honorific, for respected figures)
呼應	호응	Acting in concert with, responding to
總辭職	총사직	Mass resignation (of a cabinet)
動亂	동란	Turmoil, disturbance, upheaval
反旗를 擧하다	반기를 들다	To raise a banner of revolt, rebel against
主義者	주의자	Ideologue, often refers to socialists, communists, or anarchists in this period
不敬罪	불경죄	Lèse-majesté, crime of disrespecting the monarchy/emperor
逮捕	체포	Arrest
不逞社	불령사	"Unruly Association"; name of Pak Yŏl's anarchist group. 불령 (不逞) was a colonial term for rebellious Koreans.
解禁發布	해금발포	Lifting of a ban and announcement
妥協	타협	Compromise, agreement
獨立	독립	Independence
進取	진취	Advance upon, seize
殺到	쇄도	To rush or flood into (a place)
薨去	훙거	Death of a king or high noble (honorific)
下野	하야	To step down from office, resign
到處	도처	Everywhere, all places
大敗	대패	Major defeat
小作人	소작인	Tenant farmer
武裝警官	무장경관	Armed police
衝突	충돌	Clash, conflict
固盟	동맹	Alliance, pact (here referring to tenant farmers' agreement not to pay fees)
肉迫	육박	To close in on, press physically
赤化宣傳	적화선전	Communization propaganda
政變	정변	Coup d'état, political upheaval
實權	실권	Real power, actual authority
結社	결사	Association, society (freedom of~)
聯盟	연맹	League, alliance, federation
檢擧	검거	Arrest, roundup
占領	점령	Occupation, seizure
秘密事件	비밀사건	Secret incident/case
協議會	협의회	Consultation meeting, council
調印	조인	Signing (of a treaty)
結社禁止	결사금지	Banning of an association
戒嚴令	계엄령	Martial law
防穀令	방곡령	Order prohibiting grain export
押送	압송	Transfer (of a prisoner)
樹立	수립	Establishment, founding
留任	유임	Remaining in office
信任投票	신임투표	Vote of confidence
抛棄	포기	Abandonment, giving up
臨時執政令	임시집정령	Provisional Chief Executive Order
宣戰布告	선전포고	Declaration of war
生擒	생금	Capture alive
懸賞	현상	Reward, bounty
