Magazine Title: 삼천리 제10권 제5호
Publication Date: 1938-05-01
Article Title: 讀書雜記 (Miscellaneous Notes on Reading)
Author: 崔奎東 (Ch'oe Kyu-dong)
Article Type: 문예기타 (Literature/Etc.)

Miscellaneous Notes on Reading
						Ch'oe Kyu-dong

I am someone who relatively enjoys reading. In my past 50 years of life, there has never been a time when reading and I were distant (疏隔), and I anticipate it will be the same in the future as well.
While rummaging through quite a few books up until today, I have recently come to taste what is called the "joy of reading" (讀書樂).
Modern people all consider themselves cultured individuals. I believe that seeking this pride of being a cultured person through "reading" is the quickest path.
How could one possess the pride of being a cultured person without knowing the "joy of reading"? Truly, "reading" is the "womb of culture" (文化의 모태) and the sustenance of life. Modern people crave books just as they need "food, clothing, and shelter" (衣食住).

"Books are the teachers of life."
I have held this saying as a firm conviction to this day. Over the several decades I have borne the responsibility of disciplining and guiding (訓育敎導)<84> young students, I have felt this even more keenly.
Now, reading has become a habit for me, and I have never spent a whole day far from reading. Like grabbing a rice bowl when hungry, if I don't hold a book all day long, I feel as if I've lost something, and my mind just cannot be at ease.
Furthermore, as I am practically ignorant of any other particular hobbies or amusements, I have no other way to find the joys of daily life except through reading instead.

My reading now can generally be divided into three conditions.
Firstly, purely out of habit.
Secondly, for the "joy of reading."
Thirdly, out of necessity for education.
However, making strict distinctions is difficult, and often these three conditions merge depending on the situation. But regardless, I think reading based on some necessity is the most crucial (肝要) thing.
At school, whenever there is an opportunity, I often emphasize to the students that they must cultivate the habit of reading.
The more culturally advanced a nation or society, the more that nation and society yearn for reading, but conversely, the lower the cultural level of a nation or society, the more utterly cool (冷却) its reading fervor is. Even comparing Tokyo and Seoul, one can see a distinct difference.
Truly, I believe there is no society more enviable than a nation or society with a strong passion for reading.

Until today, I have tried to build up scholarly efforts through a relatively wide range of fields. To put it simply,<85> I read this and that according to the needs of the time. Instead, it would be correct to say that I have never fixed on one field and dug deep into it for inquiry.
However, if pressed to say, the category of reading that I hold comparatively more interest in might be philosophical books (哲學書類). Among philosophical books, it is Eastern philosophy.
Perhaps because we are Easterners living in the East, Eastern philosophy somehow seems to resonate more with the heart than Western philosophy. Not only that, but since our lives have inherited Eastern culture for thousands of years, it is natural that it aligns with us.
Western philosophy appears superficial (浮薄), whereas Eastern philosophy has a profound (深奥) taste. This appeals to my heart. This is probably because I am an Eastern person.
Even after several hundred or several thousand years pass, Eastern thought, the Eastern view of ethics, and the Eastern view of morality will likely never depart from the minds of Eastern people. I believe it is appropriate to find the fundamental ideas for our way of life here.

However, my reading with considerable interest in Eastern philosophy and Chinese philosophy (支那哲學) came much later. That is, it was after I started my teaching career. Before that, I had mainly focused (傾注) my efforts on the field of natural science.
If I were to speak of the tendency of my reading, excluding the time I studied Chinese classics (漢文學) at a village school (書堂), the period up to around the age of 30 could be called my era of natural science research.
When I was in my 20s, it was a time when a great political upheaval occurred in Korea (朝鮮), and the world was quite turbulent, but I adopted an attitude of "none of my business" (吾不關焉) towards all worldly affairs (世事) and solely immersed myself in academic pursuits. So, either at school or with private tutors, I exclusively majored in natural science.
However, even during that period, I dabbled somewhat in ancient Korean literature like "Sassi Namjŏnggi" (謝氏南征記), "Kuunmong" (九雲夢), and "Samguk Yusa" (三國遺事), but I didn't develop<86> any particular interest in this field.

Well past the threshold of 30, as my life became that of a teacher, I began reading books on self-cultivation out of a desire to see how I could train and cultivate the young sons and daughters of Korea humanly and character-wise.
This would be the catalyst for my current understanding of the profound taste (奧味) and truth of Eastern philosophy.
However, I am well aware that until now, my efforts to dig deeper and deeper into any particular field have been lacking. From now on, in order to accumulate more profound knowledge (蘊蓄), I want to proceed more actively on the path of studying Eastern philosophy. If I have an academic desire for the future, this would be a major one.

To this day, I have handled quite a few books. The number is likely countless. Most of those books are kept in our Chungdong School (中東學校) library, or are part of my personal collection (藏書) at home.
It seems natural for a person who reads to love books. Just as a miser loves gold, I believe there is no one who enjoys reading who treats books lightly.
For several decades, I have tried to collect books (藏書) as much as my strength allowed. Despite having a considerable number of books, there are still more than one or two books I desire but have not been able to acquire.

To study Eastern philosophy, I have also skimmed through most of the necessary religious books. This is because it is necessary to understand at least the fundamental concepts of not only Buddhist thought but also Christian thought.
That is why I came to read Buddhist scriptures and the Bible. Also, sometimes I read even Western philosophy as material for the study of Eastern philosophy.<87>
Besides these, I occasionally take an interest in classic Korean literature or Korean history, but circumstances only allow me to read these as supplementary material (附帶物).
Setting aside the Confucian Classics (經書) and the Book of Changes (易書), among the books I have generally read, the ones I read with the most interest were T'ao Yüan-ming's (陶淵明) "Gui Qu Lai Ci" (歸去來辭 - Returning Home) and Su Tung-p'o's (蘇東坡) "Chìbì Fù" (赤壁賦 - Ode to the Red Cliff), which I read with relish (滋味). Also, the "Yŏllyŏsil Kisul" (燃藜室記述) was a precious literary work in Korea and remains an unforgettable good book (良書).

When I come to school, there is the library (圖書堂), and when I go home, my study is equipped with quite a lot of books, so I don't particularly go to public libraries. If I go once a month, that's considered going very often. Usually, after my lectures at school are finished, I have several hours for reading, but my real reading time probably starts from when I lie down in bed at night. After evening passes, changing into nightclothes and reclining comfortably in bed is my solid reading time. Whether it's two hours or three hours, continuing on, the most efficient reading happens late at night. When the family members are all asleep, and even the noisy children are gone, and everything is quiet all around, I sometimes become immersed in reading and contemplation, unaware that midnight has passed. Such moments are moments difficult to exchange even for millions in gold, and for me, the state of complete absorption in reading (讀書三昧境) truly seems to be at this time.

However, these days, as I face the threshold of 60, I lack the energy I once had. Furthermore, my eyesight has considerably declined recently, making reading for many hours extremely difficult. Yet, the thought that I will befriend books for my entire life until the day it ends does not seem likely to change.<88>

**Summary**

Ch'oe Kyu-dong, a 50-year-old educator, reflects on his lifelong relationship with reading. He considers reading essential for being a cultured individual and finds deep personal satisfaction ("the joy of reading") in it, especially as he lacks other hobbies. His reading habits stem from habit, pleasure, and educational necessity. He laments the lower reading fervor in Korea compared to Japan. While his early studies focused on natural science, his career as a teacher led him to Eastern philosophy, particularly Chinese philosophy, which he finds more profound and resonant than Western philosophy. He expresses a desire to delve deeper into Eastern thought. He cherishes books, has built a personal collection, and finds his best reading time late at night when absorbed in contemplation. Despite declining energy and eyesight with age, he vows to continue reading for life.

From a historical perspective, the article offers insight into the intellectual life of a Korean educator during the Japanese colonial period. Ch'oe's emphasis on Eastern (specifically Chinese) philosophy as a core for Korean identity, contrasting it favorably with "superficial" Western thought, is notable, perhaps reflecting a search for cultural roots amidst colonial pressures. His comparison of reading habits in Seoul and Tokyo, highlighting a perceived deficiency in Korea, reflects contemporary anxieties about cultural development under colonial rule. His background, shifting from natural sciences to philosophy driven by educational concerns for Korean youth, also provides a glimpse into the evolving intellectual priorities of the time.

**Named Entities**

崔奎東	최규동	Ch'oe Kyu-dong
東洋	동양	Tongyang (The Orient/East Asia)
支那	지나	China
朝鮮	조선	Chosŏn (Korea)
東京	동경	Tonggyŏng (Tokyo)
서울	서울	Sŏul
謝氏南征記	사씨남정기	Sassi Namjŏnggi
九雲夢	구운몽	Kuunmong
三國遺事	삼국유사	Samguk Yusa
中東學校	중동학교	Chungdong Hakkyo (Chungdong School)
陶淵明	도연명	T'ao Yüan-ming (Pinyin: Tao Yuanming)
蘇東坡	소동파	So Tongp'a (Pinyin: Su Dongpo)
燃藜室記述	연려실기술	Yŏllyŏsil Kisul

**Glossary**

讀書雜記	독서잡기	Miscellaneous notes on reading
踈隔	소격	Distant, estranged (Modern: 소원(疏遠)하다)
짐작된다	짐작된다	It is guessed, anticipated (Common usage)
근자	근자	Recently, lately (Archaic/Literary, Modern: 요즘, 최근)
讀書樂	독서락	The joy/pleasure of reading
첩경	첩경	Shortcut, quickest path
모태	모태	Womb, cradle, origin
갈구해 마지않는다	갈구해 마지않는다	To crave unceasingly (마지않다 is an older negative auxiliary)
훈육 敎導	훈육 교도	Discipline and guidance
놋친 듯이	놓친 듯이	As if having lost/missed something (Older spelling of 놓친)
통여 놓여지지를 안는다	통여 놓여지지를 않는다	Cannot be put at ease at all (통여: emphatic adverb, older form?; 놓여지지 않는다: is not put/placed -> is not eased)
오락	오락	Amusement, entertainment
역설하고 한다	역설하고는 한다	Often emphasizes/advocates (곤 하다 grammar structure)
안치마는	않지마는	Although it is not... (Older conjunctive form, Modern: 않지만)
희구해 마지 안치마는	희구해 마지 않지마는	Although they yearn unceasingly (희구하다: to desire/yearn, 마지 않다: unceasingly, ~지만: although)
冷却	냉각	Cooling down; here, lack of enthusiasm/fervor
판이한	판이한	Distinctly different
싸허보누라고는	쌓아보느라고는	In the effort of trying to accumulate/build up (Older spelling/form of 쌓아보느라고는)
올흘 줄로	옳을 줄로	To be correct/right (Older spelling of 옳을)
구태여	구태여	굳이	Specifically,わざわざ going out of one's way to
앵기는	안기는	Being embraced, resonating with (spelling difference)
사라가는	살아가는	Living (Older spelling)
바더 내려온	받아 내려온	Inherited down through generations (Older spelling of 받아)
부박한	부박한	Superficial, shallow, frivolous
심오한	심오한	Profound, deep
연고일	연고일	Reason, cause (Older usage, Modern: 까닭일)
찻는	찾는	Finding, seeking (Older spelling)
타당한	타당한	Appropriate, reasonable
支那哲學	지나철학	Chinese philosophy (支那 is an archaic term for China)
傾注햇든	경주했던	Had poured into, had concentrated on (Older spelling/past tense form)
世事	세사	Worldly affairs
吾不關焉	오불관언	"It does not concern me," None of my business (Classical Chinese phrase)
식혀볼가	시켜볼까	Shall I make (someone) do/undergo (training, etc.)? (Older spelling of 시켜볼까)
수양	수양	Self-cultivation, moral training
奧味	오미	Profound taste, deep meaning
해득하게	해득하게	To understand, comprehend
입때까지	이때까지	Until now (Dialectal/Older form of 이때까지)
薀蓄	온축	Profound knowledge, erudition
갓고	갖고	Having, holding (Older spelling)
보담	보다	Than (Colloquial/Older comparative particle)
욕구	욕구	Desire, craving
헤이자면	헤아리자면	If one were to count/estimate (Older spelling/form of 헤아리자면)
藏書	장서	Book collection, act of collecting books
녁이는	여기(는)	Considering, regarding (Older spelling/pronunciation)
어지간한	어지간한	Considerable, fair, tolerable
뒤적여	뒤적여	To rummage through, browse, skim
부대물	부대물	Supplementary item, accessory
논외로 하고	논외로 하고	Setting aside, excluding from discussion
귀중한	귀중한	Precious, valuable
이쳐지지	잊혀지지	Is not forgotten (Older spelling of 잊혀지지)
양서	양서	Good book, valuable book
圖書堂	도서당	Library hall (Possibly specific name or older term for library room)
자리옷	자리옷	Nightclothes, pajamas
비스듬이	비스듬히	Aslant, recliningly (Older spelling)
착실한	착실한	Solid, steady, reliable
깊흔	깊은	Deep (Older spelling)
사색	사색	Contemplation, meditation
자정	자정	Midnight
박구기	바꾸기	To exchange (Older spelling)
讀書三昧境	독서삼매경	State of complete absorption in reading (from Buddhist Samādhi)
바라보게 되는	바라보게 되는	Approaching, looking towards (an age)
벗하리라는	벗하리라는	(The thought) that I will befriend (벗하다: to make friends with)


---------------------------


잡지명	삼천리 제10권 제5호
발행일	1938년 05월 01일
기사제목	讀書雜記
필자	崔奎東
기사형태	문예기타

讀書雜記
						崔奎東
나는 독서를 비교적 즐겨하는 편이다. 과거 50 평생의 내 생활이 독서과 일시도 踈隔한 일이 없었고 금후도 역시 그러할 쭐로 짐작된다.
금일에 이르기까지 어지간이 서책을 뒤적이는 동안, 이 근자에는 소위 「讀書樂」이란 것을 맛보게쯤 되였다.
현대인은 누구나 문화인으로 자처한다. 이 문화인으로서의 자부심을 우리는 「독서」에서 구하는 것이 가장 첩경일쭐로 안다.
엇지 「讀書樂」을 모르고야 문화인 된 자부심을 가질 수가 있으랴. 진실로 「독서」는 「문화의 모태」이요 인생의 양식이다. 현대인은 「의식주」가 필요하듯이 서책을 갈구해 마지않는다.

「서책은 인생의 교사이다.」
이런 말을 나는 오늘날까지 굳은 신념으로 믿어 내려온다. 내가 수십년 간을, 청년 제자들을 훈육 敎導하는<84> 책임을 지고 내려오는 동안, 더욱 절실히 늣끼게 되였다.
지금의 나는 독서하는 것이 한 습관으로 되여있어, 하로 종일을 독서와 멀니해 본 적은 없다. 배곱하서 밥 그릇을 붓잡듯이, 왼 종일 책을 잡지 않으면 무엇을 놋친 듯이, 그저 마음이 통여 놓여지지를 안는다.
또한 별다른 취미나 오락은 전혀 모르다십히 하는 관계상, 그 대신으로 독서하는 일 이외에 어데서 일상 생활의 즐거움이란 것을 찾을 길이 없다.

내가 지금 독서 한다는 것은, 대개 세 가지 조건으로 나노아 말할 수가 있다.
첫재로는, 한갓 습관적으로-
둘재로는, 「讀書樂」으로-
셋재로는, 교육상 필요로-
그러나 엄밀한 구별을 말하기는 어려운 일이고 경우에 의해서는 이상 세 가지 조건이 합쳐지는 때도 많다. 그러나 母論 어떠한 필요 밑에서 독서 한다는 것이 제일 肝要한 일인줄로 생각한다.
나는 학교에서 생도들을 대해서도 기회있는 때마다 독서하는 습관을 부쳐야 한다는 것을 각금 역설하고 한다.
문화가 진보된 민족, 사회일사록 그 민족, 그 사회는 독서를 희구해 마지 안치마는, 그와 반대로 문화 정도가 저급한 민족 사회일사록 독서열이란 冷却하기가 짝이 없다 한 것이다. 東京과 서울을 비교해 보드라도 판이한 차이를 볼 수가 있다.
실로 독서열이 강한 민족, 사회처럼 부러운 사회는 없는 줄로 안다.

