Magazine Title: 삼천리 제10권 제5호
Publication Date: 1938년 05월 01일
Article Title: 當面의 登場 人物, 崔南善氏 建國 大學 敎授로 新京으로 가는 心境 打診 (Interviewing Mr. Ch'oe Nam-sŏn, a Figure of the Moment, on His Feelings about Going to Xinjing as a Professor at Jianguo University)
Article Type: 대담·좌담 (Interview/Discussion)

A Figure of the Moment, Interviewing Mr. Ch'oe Nam-sŏn on His Feelings about Going to Xinjing as a Professor at Jianguo University

Mr. Ch'oe Nam-sŏn left Kyŏngsŏng station on the early morning train on April 5th for Xinjing, Manchukuo. He was recently appointed as a professor at Jianguo University and is going to take up his teaching post. He has many connections in Manchukuo. For instance, Mr. Pak Sŏk-ryun (former Vice President of the Maeil Sinbo), who is currently a bureau director in the Ministry of Foreign Affairs, is Mr. Ch'oe's brother-in-law. Furthermore, Mr. Chin Hak-mun, who not only holds an important government post but is also an executive of the Concordia Association (協和會), is someone with whom Mr. Ch'oe suffered together as editor-in-chief when Mr. Ch'oe formerly managed the Sidae Ilbo in Seoul. Besides them, Mr. Kim Kyŏng-jae of the Concordia Association, and Mr. Yŏm Sang-sŏp, editor-in-chief, and Mr. Pak P'al-yang, managing editor, of the Mansŏn Ilbosa, are all people with whom he had literary exchanges in the past.

As everyone knows, Mr. Ch'oe Nam-sŏn formerly managed a publishing house called Sinmun'gwan (新文舘) and presided over the Ch'ŏngch'un (靑春) magazine together with Messrs. Hyŏn Sang-yun, Yi Kwang-su, Chin Hak-mun, and Yang Paek-hwa.

After that, he constantly wielded his pen in history as a guest writer for the Tong-a Ilbo, and later, at the invitation of the Korean History Compilation Committee (朝鮮史 編纂 委員會), he accepted a commission from the Government-General (總督府). Subsequently, he transferred again to assume the post of Councilor (참의) of the Central Council (中樞院). During that time, he was writing for the Maeil Sinbo, then recently resigned as Central Council Councilor, and has now taken up his post at Manchukuo's Jianguo University. The subject he will be primarily teaching seems to be "East Asian History."<296>

As it is an imperial appointment (勅任) professorship, the salary is said to be 400-500 won, and a research office will supposedly be prepared for him in the future. As for his state of mind, at the time of his departure from Seoul, he did not inform many people of the time, not even widely telling his family. He silently leaned against the train window, gazing at the old Hanyang Fortress (한양성), his hometown of over 40 years where he grew up and which was soundly asleep in the early morning, as he headed north, north, it is said.

A few days before his departure, this reporter visited Mr. Ch'oe at his residence inside the East Gate (동대문). He was found amidst old books piled up profusely (汗牛充棟格), searching through a Chinese book (한서), and the following conversation was exchanged.

"Are you going to Xinjing?"
"Yes."
"As you are leaving Korea, I'm sure you have myriad emotions. How about telling us some recollections from the old Ch'ŏngch'un magazine days?"
"There's really nothing much to say."
"Then how about stories of your association with Messrs. Kwŏn Tŏk-kyu and Im Kyu from the Kwangmunhoe (光文會) era, when you published works like the *Yŏnamjip* (朴燕岩集)?"
"..."
"Then perhaps something about your time active in the Central Council..."
"..."
"Is leaving Seoul a joy or a sorrow?"
"I have absolutely no desire to speak about the world. If I go, I go; if I stay, I stay. Would there be joy or sorrow?"
"If you have any recently composed poems, like sijo (시조), please show me a few."
"I haven't been in the state of mind to want to compose songs, so I have no recent works."
"If you have no songs, how about some writing recounting your thoughts, perhaps prose or an essay?"
"I have none."
"Even if not political or ideological, perhaps, since you like Buddhism, something akin to a high monk's confessional work (참회록) born from religious sentiment, some writing stemming from that state of mind?"
"I have none, because I don't take up the pen."
"Then, even if you didn't have one before, please write something new like 'The Yuktag (六堂) Confessions'<297>. If tackling a confession is difficult, perhaps an autobiography..."
"I have decided not to write for the world, so I will maintain silence for now."

What Kind of Place is Jianguo University (建國 大學)?

Jianguo University, as Manchukuo's highest institution of learning, was planned soon after the nation's founding and came to open on May 2nd of this year. Looking at the university's lineup (陳容), prominent contemporary Chinese political scientists like current Furen University (輔仁 大學) professors in Beijing (北京), Mr. Bao Mingling (鮑明聆) and Mr. Su Yixing (蘇益興), were also invited. Both professors will likely be responsible for political science, particularly public international law. From Tokyo (東京) came Dr. Kamata Shōichi (鎌田莊一) and Professor Tojō Shin'ichirō (登張信一郞), gathering a faculty from Japan, Manchukuo, China, and Korea.<298>

Who is Yi Sang-gi (李相基), the First Korean to Become a Presiding Judge?

With the implementation of the volunteer soldier system, there came to be Korean soldiers, and although there is just one Korean police chief somewhere in Ch'ungch'ŏng-do province, only the gateway for judicial officials remained extremely firm. In the nearly 30 years since the annexation (병합), there had been no mention of a Korean presiding judge, but now one has appeared at the Kyŏngsŏng District Court (京城 地方 法院). He is Mr. Yi Sang-gi, who until now was a judge at the Kyŏngsŏng Court of Appeals (京城 覆審 法院) and has become the presiding judge of the civil division while being concurrently appointed to the District Court. Mr. Yi is from Masan (馬山), Kyŏngnam province. He finished commercial school there and then entered Tokyo, graduating from Tokyo University of Commerce (東京商科大學) in Shōwa 4 (1929). Usually, a graduate of a commerce college would start their life path towards an executive position in some bank or company, but Mr. Yi unexpectedly set his sights on becoming a judicial official and already passed the judicial examination while still a student.

Thus, he took office as a young judge at the Kyŏngsŏng District Court in Shōwa 6 (1931). Since then, he was promoted again in Shōwa 12 (1937) and appointed as a judge at the Kyŏngsŏng Court of Appeals, and now, passing over numerous seniors, he has risen to the honorable position of presiding judge. If Mr. Yi strives diligently and produces brilliant achievements, the gateway for Korean judicial officials will surely be opened wide in the future.
Judging from the fact that he passed the Higher Civil Service Examination (高文) while still a university student, one can know he is a talented person (수재), and indeed, his competence as a judicial official<298> is astonishing, something his colleagues and peers admired early on.
How quickly, fairly, and accurately he judges cases! He has the nickname "Cleaning Judge" (掃除 判事). That is because even if 30-40 cases pile up, he engages in handling them with his whole heart and strength, and no matter how many difficult cases (難 사건) are included, he clears them all away in just 1-2 months, leaving only 7-8 cases. Therefore, he is truly selected and assigned to the divisions with the most difficult cases and the largest backlog. That's how he earned the honorary title of "Cleaning Judge" within the court, jokingly. Also, being a commerce college graduate, even when facing complicated and manifold cases related to the liquidation (청산) of banks and companies or other monetary matters, he calculates himself, holding an abacus (주판), and obtains accurate figures (計數). When he interrogates the plaintiff and defendant (原 被告), asking just 3-4 concise, essential points and then assessing the whole, even lawyers deeply admire his sharp mind (명철한 두뇌), saying, "Even I am not resentful of Judge Yi's (李相基 判快) judgment," which is a stock phrase (상투어). Mr. Yi is still a devoted scholar (篤學者) rich in years at 41 years old. That all Koreans in this society cannot but pray for his great success (대성) is surely the feeling.<299>

Captain Amakasu Active in the Concordia Association (協和會)

In Manchukuo's Concordia Association, there is a man named Amakasu Masahiko (甘粕正彦). The Concordia Association is where many key Korean figures residing in Manchuria, like Chin Hak-mun and Kim Kyŏng-jae, also participate and work. Mr. Amakasu is the Head of the General Affairs Department in this Concordia Association. Those who don't know may not know, but he is that very person, the former Military Police Captain (憲兵 大尉), the controversial figure from the Ōsugi Sakae Incident (大杉榮 事件) during the Great Kantō Earthquake (關東 大 地震) of that year [1923]. After being released from prison (형무소), he reached North Manchuria (北滿) and is now active like this. As Head of the General Affairs Department, he is in the highest position of real power within the Concordia Association, and it is said that the Association's highest policies generally come from within his mind (가슴 가운데서). Besides this, he is the president (사장) of the Daidō Kōshi (大東 公社), a company controlling the supply of coolie labor (苦力), and is reportedly also active undertaking duties in another field (某邊).<299>

**Summary**

This 1938 article from *Samch'ŏlli* magazine covers several figures connected to Manchukuo and the Japanese colonial system. Primarily, it reports on the prominent intellectual Ch'oe Nam-sŏn's departure for Xinjing to take up a professorship at the newly established Jianguo University. Despite the reporter's attempts, Ch'oe refuses to discuss his feelings, past work, or future plans, choosing complete silence. The article briefly introduces Jianguo University's diverse faculty. It then profiles Yi Sang-gi, celebrated as the first Korean to become a presiding judge in the colonial judiciary, highlighting his rapid career ascent and reputation for efficiency and fairness. Finally, it notes the influential position held by Amakasu Masahiko, infamous for the Ōsugi Sakae Incident, within Manchukuo's Concordia Association and other ventures.

For historians, the article is revealing in several ways. Ch'oe Nam-sŏn's tight-lipped move to Manchukuo underscores the complex and often controversial path taken by some Korean intellectuals under Japanese rule, hinting at collaboration while also showing his reluctance to publicly justify it. Yi Sang-gi's appointment, while presented positively, indicates the very slow and limited integration of Koreans into high positions even after decades of colonial rule. The mention of Amakasu Masahiko's significant power in Manchukuo starkly illustrates the underlying Japanese military and political control of the puppet state.

**Named Entities**

崔南善	최남선	Ch'oe Nam-sŏn
建國 大學	건국 대학	Kŏn'guk Taehak (Jianguo University)
新京	신경	Sin'gyŏng (Xinjing)
京城	경성	Kyŏngsŏng (Seoul)
滿洲國	만주국	Manjuguk (Manchukuo)
朴錫倫	박석륜	Pak Sŏk-ryun
每日申報	매일신보	Maeil Sinbo
秦學文	진학문	Chin Hak-mun
協和會	협화회	Hyŏphwahoe (Concordia Association)
時代日報	시대일보	Sidae Ilbo
金璟載	김경재	Kim Kyŏng-jae
滿鮮日報社	만선일보사	Mansŏn Ilbosa
廉想涉	염상섭	Yŏm Sang-sŏp
朴八陽	박팔양	Pak P'al-yang
新文舘	신문관	Sinmun'gwan
玄相允	현상윤	Hyŏn Sang-yun
李光洙	이광수	Yi Kwang-su
梁白華	양백화	Yang Paek-hwa
靑春	청춘	Ch'ŏngch'un (Magazine)
東亞日報	동아일보	Tong-a Ilbo
朝鮮史 編纂 委員會	조선사 편찬 위원회	Chosŏnsa P'yŏnch'an Wiwŏnhoe (Korean History Compilation Committee)
總督府	총독부	Ch'ongdokpu (Government-General)
中樞院	중추원	Chungch'uwŏn (Central Council)
六堂	육당	Yuktag (Ch'oe Nam-sŏn's pen name)
光文會	광문회	Kwangmunhoe
權悳奎	권덕규	Kwŏn Tŏk-kyu
林圭	임규	Im Kyu
朴燕岩	박연암	Pak Yŏnam (Pak Chi-wŏn)
北京	북경	Pukkyŏng (Beijing)
輔仁 大學	보인 대학	Poin Taehak (Furen University)
鮑明聆	포명령	P'o Myŏngnyŏng (Bao Mingling)
蘇益興	소익흥	So Ik-hŭng (Su Yixing)
東京	동경	Tonggyŏng (Tokyo)
鎌田莊一	겸전장일	Kyŏmjŏn Chang-il (Kamata Shōichi)
登張信一郞	등장신일랑	Tŭngjang Sin-illang (Tojō Shin'ichirō)
李相基	이상기	Yi Sang-gi
忠淸道	충청도	Ch'ungch'ŏng-do
京城 地方 法院	경성 지방 법원	Kyŏngsŏng Chibang Pŏbŏn (Keijō District Court)
京城 覆審 法院	경성 복심 법원	Kyŏngsŏng Poksim Pŏbŏn (Keijō Court of Appeals)
慶南	경남	Kyŏngnam (South Kyŏngsang Province)
馬山	마산	Masan
東京商科大學	동경상과대학	Tonggyŏng Sangkwa Taehak (Tokyo University of Commerce)
昭和	소화	Sohwa (Shōwa era)
甘粕正彦	감정정언	Kamjŏng Chŏng-ŏn (Amakasu Masahiko)
關東	관동	Kwantong (Kantō)
大杉榮	대삼영	Tae Sam-yŏng (Ōsugi Sakae)
北滿	북만	Pukman (North Manchuria)
大東 公社	대동 공사	Taedong Kongsa (Daidō Kōshi)

**Glossary**

當面	당면	Current, immediate
登場 人物	등장 인물	Figure, person appearing (on the scene)
心境	심경	State of mind, feelings
打診	타진	Sounding out, inquiring into
임명되여	임명되어	Being appointed (older spelling of 되어)
교편을 잡기	교편을 잡기	To take up teaching
만주국	만주국	Manchukuo
인연이 만다	인연이 많다	To have many connections (older spelling of 많다)
매부	매부	Brother-in-law
중직	중직	Important post
잇슬 뿐더러	있을 뿐더러	Not only being in (older spelling)
協和會	협화회	Concordia Association (Manchukuo organization)
간부	간부	Executive
경영하든	경영하던	Managed (older spelling)
同苦하든	동고하던	Suffered together (older spelling)
박게	밖에	Besides (older spelling)
모다	모두	All (older form)
文交	문교	Literary exchange/friendship
잇든 분이다	있던 분이다	Were people who... (older spelling)
세인	세인	The public
가치	같이	Like, as (older spelling)
녜전	예전	Formerly (older spelling)
出版書肆	출판서사	Publishing bookstore
경영하엿고	경영하였고	Managed (older spelling)
주재하엿다	주재하였다	Presided over (older spelling)
객원	객원	Guest writer
史學	사학	History (academic field)
不離하다가	불리하다가	While not leaving, keeping close
뒷날	뒷날	Later days
초빙	초빙	Invitation
위탁	위탁	Commission
受하엿고	수하였고	Received (older spelling/Hanja usage)
再轉하여	재전하여	Transferring next
중추원 참의	중추원 참의	Councilor of the Central Council
취임하엿다	취임하였다	Assumed office (older spelling)
잇더니	있더니	While being/doing (older spelling)
辭하고	사하고	Resigning
부임한 것인 바	부임한 것인 바	As he has taken up his post...
동양사	동양사	East Asian History
勅任	칙임	Choku-nin rank (high imperial appointment)
보수	보수	Salary
작만되리라	장만되리라	Will be prepared (older spelling)
여하 하엿슴인지	여하 하였음인지	What they were like (older spelling/form)
알니지 안엇고	알리지 않았고	Did not inform (older spelling)
널니	널리	Widely (older spelling)
안고서	않고서	Without doing so (older spelling)
기대여	기대어	Leaning on (older spelling)
곤히든	곤히든	Soundly sleeping (older spelling)
한양성	한양성	Hanyang Fortress (Old Seoul)
향하엿다	향하였다	Headed towards (older spelling)
몃일 전	며칠 전	A few days before (older spelling)
사택	사택	Private residence
마츰	마침	Just then (older spelling)
汗牛充棟格	한우충동격	(Idiom) Books numerous enough to fill a house
고서	고서	Old books
한서	한서	A Chinese book
밧은 일이 잇다	받은 일이 있다	There was an occasion when (we) exchanged... (older spelling)
만감	만감	Myriad emotions
交集하실 것임니다	교집하실 것입니다	Will surely gather (formal, older spelling)
회고담	회고담	Recollection
들녀 주시지요	들려 주시지요	Please tell (older spelling)
이약이나요	이야기나요	Or stories about...? (older spelling)
활약하든	활약하던	Was active in (older spelling)
기뿜니까	기쁩니까	Is it joy? (older spelling)
슬픔니까	슬픕니까	Is it sorrow? (older spelling)
도모지	도무지	(Not) at all
십흔 생각	싶은 생각	Desire (older spelling)
아니남니다	아니납니다	Does not arise (formal, older spelling)
깁부고	기쁘고	Being joyful (older spelling)
잇겟슴니까	있겠습니까	Would there be? (older spelling)
시조	시조	Sijo (Korean poetic form)
가튼	같은	Like (older spelling)
몃 수	몇 수	Several pieces (poems) (older spelling)
업소이다	없소이다	There are none (formal, older spelling)
짓고 십흔	짓고 싶은	Wanting to compose (older spelling)
근작	근작	Recent work
업스시면	없으시면	If there are none (older spelling)
述懷	술회	Recounting one's thoughts
업서요	없어요	There are none (polite, older spelling)
조와 하시니가	좋아 하시니까	Since you like (older spelling)
고승	고승	High-ranking monk
참회록	참회록	Confession, record of repentance
역드시	엮듯이	As if weaving/compiling (older spelling)
업슴니까	없습니까	Are there none? (older spelling)
붓을 들지 안으니까요	붓을 들지 않으니까요	Because I don't take up the pen (older spelling)
업섯더래도	없었더라도	Even if there weren't any before (older spelling)
주서요	주셔요	Please give/do (older spelling)
손대기	손대기	To touch, start work on
자서전	자서전	Autobiography
안키로	않기로	Decided not to (older spelling)
침묵	침묵	Silence
직히겟소이다	지키겠소이다	I will keep (formal, older spelling)
엇든 덴가	어떤 데인가	What kind of place is it? (older spelling)
최고 학부	최고 학부	Highest institution of learning
되엿는데	되었는데	Came to be (older spelling)
陳容	진용	Lineup (of people)
유수한	유수한	Prominent
밧엇는데	받았는데	Were received/invited (older spelling)
모엿다 한다	모였다 한다	It is said they gathered (older spelling)
지원병 제도	지원병 제도	Volunteer soldier system
잇게되고	있게 되고	Came to exist (older spelling)
잇스나	있으나	Although there is (older spelling)
사법 장관	사법 장관	Judicial official (high rank)
문호	문호	Door, gateway (figurative)
구더서	굳어서	Being firm/closed (older spelling)
병합	병합	Annexation
업더니	없더니	There was no... (older spelling)
되엇다	되었다	Became (older spelling)
잇다가	있다가	While being (older spelling)
된 터이다	된 터이다	Has become...
마추고	마치고	Finishing (school) (older spelling)
드러가	들어가	Entering (older spelling)
졸업하엿다	졸업하였다	Graduated (older spelling)
出이면	출이면	If one is a graduate of...
중역	중역	Executive position
거름	걸음	Step (older spelling)
意表 외로	의표 외로	Unexpectedly
사법관	사법관	Judicial official
벌서	벌써	Already (older spelling)
파스하엿다	패스하였다	Passed (exam) (loan word, older spelling)
榮轉하여	영전하여	Being promoted
되엇다가	되었다가	Was appointed and then... (older spelling)
幾多의	기다의	Numerous
올은 것이니	오른 것이니	Since he has risen to... (older spelling)
精勵하야	정려하여	Diligently striving (older spelling)
빗나는	빛나는	Shining
업적	업적	Achievement
내이면	내이면	If (he) produces... (older spelling)
열닌 것이라	열릴 것이라	Will be opened (older spelling)
高文	고문	Higher Civil Service Exam
미루에도	미루어보아도	Judging from (older spelling)
수재	수재	Genius
알겟거니와	알겠거니와	One can know, and also... (older spelling)
수완	수완	Skill, competence
놀나워서	놀라워서	Being surprising (older spelling)
일즉	일찍	Early on
