**Header Section**
Magazine Title: 삼천리 (三千里) 제10권 제5호
Publication Date: 1938-05-01
Article Title: 日本陸軍士官學校 나온 支那 靑年將校 (Young Chinese Officers Graduated from the Japanese Military Academy)
Author: 삼천리사 (Samch'ŏllisa - likely the magazine's editorial staff)
Article Type: 소식 (News/Report)

**Body Text Translation**
Young Chinese Officers Graduated from the Japanese Military Academy
						Samch'ŏllisa

On August 6th of last year, starting at 2 PM in Nanjing (南京), the National Defense Council was held, and discussions took place regarding the final stance the Nationalist Government (國民政府) should take under the command of General Chiang Kai-shek (蔣介石). The conclusion reached was that opening hostilities against Japan was unavoidable. Next, regarding the timing of the war, setting aside the pro-war faction members P'yŏng Ok-sang (馮玉祥) and Son Kwa (孫科), the faction that held firm to a cautious approach and did not yield an inch consisted of students who had studied in Japan, such as Ha Ŭng-hŭm (河應欽) and Chŏng Cham (程潛).

Like this, among the figures exerting considerable influence in today's Chinese political scene, quite many are graduates of the Military Academy.

During the earlier Shanghai Incident, Kam Hae-ran (甘海瀾), a young Chinese officer who nursed Major Kuga (空閑 少佐) after he met an unexpected misfortune in the battle of Jiangwan Town (江灣鎭), was a graduate of the Military Academy and the Army Infantry School (步兵學校). Sim Hong-nyŏl (沈鴻烈), who was the mayor of Qingdao (靑島) until recently, is also a graduate of the Navy Academy (海軍兵學校).

Indeed, China's revolution could be said to have grown with Japan as its cradle. The year the Father of the Revolution, Son Mun (孫文), toured the world and visited Japan was August 1905. At Fujimirō (富士見樓) in Fushimichō (麵町), representatives of Chinese revolutionary groups gathered and formed the cradle of the revolution, the Chinese Comrades Association (中國同志會). Even then, the residences of Uchida Ryōhei (內田良平) and Sakamoto Kin'ya (坡本金彌) were "agits" (아지트) provided for these students. These individuals were young students who, receiving no small stimulus from the Russo-Japanese War, dreamed of building a capitalist China. It can be said that most of today's key figures in China once passed through the doors of this Chinese Comrades Association.

Therefore, when these people sought exile, they customarily crossed over to Japan to find refuge. So-called "China rōnin" (支那 浪人) like Inukai Tsuyoshi (犬養毅), Tōyama Mitsuru (頭山滿), Terao Tōru (寺尾亨), and Miyazaki Tōten (宮崎滔天) showed them kindness.

It was in 1910, at the age of 23, three years after starting his studies in Japan, that Chang Kae-sŏk (蔣介石) formally joined this organization. The number of Chinese students studying abroad at the Military Academy that year was truly large. Including Chang, there were about 30 people, such as Yŏm Sŏk-san (閻錫山), I Yŏl-cho (李烈釣), Son Chŏn-bang (孫傳芳), Tang Kye-yo (唐繼堯), and Chŏng Cham (程潛). One could say the core of the Chinese revolution gathered here. Among them, Chang Kae-sŏk, Yŏm Sŏk-san, I Yŏl-cho, and Son Chŏn-bang are four interesting figures representing four aspects of the Chinese revolution. Son, I, Yŏm, and Chang <156> were classmates in the 6th class of the Japanese Military Academy.

It can be said that the Chinese revolution first saw completion through this 6th class group.

Next, it could be said that the 10th and 11th class groups actually propelled the revolution forward. Ha Ŭng-hŭm (河應欽), Chang Kun (張群), Kok Chŏng-nyun (谷正倫), Chu So-ryang (朱紹良), Yang Kŏl (楊杰), Ha Yo-cho (賀耀組), etc.

Chang Kun, from the 10th class, serves as Chang's [Chiang Kai-shek's] chief secretary and holds the post of Foreign Minister. Ŭn Yŏ-gyŏng (殷汝耕), a Waseda University (早大) graduate, is famous as a pro-Japanese figure along with Hwang Pu (黃郛). Hwang Pu is a graduate of the Japanese Army's Land Survey Department Skills Center (陸地 測量部 修技所).

Minister of Military Administration Ha Ŭng-hŭm is highly regarded as Chang's successor. A graduate of the 11th class of the Military Academy, if the figures representing the Party headquarters of Chang's power are the two brothers Chin Ip-pu (陳立夫) and Chin Kwa-bu (陳果夫), and the financial side is represented by Cha Cha-mun (字子文 - T.V. Soong) and Kong Sang-hŭi (孔祥熙), then the one representing the military is likely Ha Ŭng-hŭm. As Ha considers the Meiji Restoration his ideal, his movements in today's transitional China are truly worth watching.

A contemporary of Ha Ŭng-hŭm from the military academy, who directs the Fascist organization, the Blue Shirts Society (藍衣社 - Namŭisa, typo in original 남표사?), is Gendarmerie Commander Kok Chŏng-nyun (谷正倫). Not only was he Ha's classmate at the Military Academy, but he is also the same age, 47. Kok Chŏng-nyun has not moved from the Gendarmerie Commander's chair since 1931. He too was a revolutionary belonging to the Chinese Comrades Association in Tokyo. A classmate of his is Ha Yo-cho (賀耀組). He was once a subordinate of Hwang Hŭng (黃興).

Furthermore, Nyu Yŏng-gŏn (鈕永建), who is active as the secretary of the CC Clique (CC團), led by Chin Kuo-fu (陳果夫) and Chin Li-fu (陳立夫) as Director and Vice-Director respectively, is also a Military Academy graduate. This masked Chang [Chiang Kai-shek] support group serves as Chang's propaganda organ, flying the banner of absolute resistance against Japan.

Chŏng Cham (程潛), from the 6th class of the Military Academy, is the Chief of General Staff of the Chinese military. Chu So-ryang (朱紹良), from the 10th class of the Military Academy, is currently a member of the National Defense Council, Director of the Central Military Pacification Headquarters for Kangsŏ (江西) and Pokkŏn (福建) (中央 軍主 甘綏靖 主任), and holds the position of Commander-in-Chief of the 6th Route Army, being a distinguished leader in bandit (Communist) suppression.

Yang Kŏl (楊杰), the Deputy Chief of General Staff under Chŏng Cham, is a graduate of the 10th class of the Military Academy and also graduated from the Army War College.

Ha Yo-cho (賀耀組), from the 10th class of the Military Academy, is active as the ambassador to Turkey (土耳古), making him somewhat of a variation among Military Academy graduates.

Among the graduates of the 2nd class of the Military Academy is Hŏ Sung-ji (許崇智), Vice President of the Inspectorate Yuan (監察院). From the 3rd class is Ha Tŏk-yo (賀德耀), Chairman of the Jicha Foreign Affairs Committee (冀察 外交委員會). He was a figure who once held the position of Minister of State (國務大臣).

Next, from the 4th class is Minister of Internal Affairs Chang Chak-pin (蔣作賓). As the former ambassador to Japan, he was known for his gentle personality. Also, during the First Revolution in 1912, he served as Vice Minister of the Army in the Nanjing Provisional Government. Then, from the 5th class is Ha Sŏng-jun (河成濬), a member of the National Defense Council, Chairman of the Military Affairs Commission (軍事委員會), and Director of the Wuhan Field Headquarters (武漢 行營). His position is comparable to that of Ha Ŭng-hŭm. <157>

**Summary**

This 1938 article from the Korean magazine *Samch'ŏlli* highlights the significant number of prominent Chinese political and military figures who graduated from the Japanese Military Academy. It lists numerous key leaders, including Chiang Kai-shek, Ho Ying-ch'in, Yen Hsi-shan, and others, detailing their academy class affiliations and subsequent roles in the Chinese Nationalist government and military on the eve of and during the early stages of the Second Sino-Japanese War. The article notes the irony that Japan served as a training ground ("cradle") for many leaders of the Chinese revolution and subsequent government, some of whom adopted cautious stances towards war with Japan, while others became central figures in the anti-Japanese resistance.

From the perspective of Korean colonial history, this article is interesting as it reflects a Korean viewpoint (published under Japanese censorship) on the complex relationships between China and Japan. It meticulously documents the Japanese educational background of China's elite, information potentially useful for intelligence or political analysis during that period. For historians, it offers insight into how Sino-Japanese relations and Chinese internal politics were perceived and reported in colonial Korea, providing valuable data on the networks connecting Chinese leadership back to training institutions in Japan.

**Named Entities**

日本陸軍士官學校	일본육군사관학교	Japanese Military Academy
支那	지나	China (older term)
南京	남경	Namgyŏng (Nanjing)
全國國防會議	전국국방회의	National Defense Council
蔣介石	장개석	Chang Kae-sŏk (Chiang Kai-shek)
國民政府	국민정부	Kungmin Chŏngbu (Nationalist Government)
馮玉祥	풍옥상	P'ung Ok-sang (Feng Yuxiang)
孫科	손과	Son Kwa (Sun Ke)
日本	일본	Ilbon (Japan)
河應欽	하응흠	Ha Ŭng-hŭm (He Yingqin)
程潛	정잠	Chŏng Cham (Cheng Qian)
上海	상해	Sanghae (Shanghai)
江灣鎭	강만진	Kangmanjin (Jiangwan Town)
空閑 少佐	공한 소좌	Kong Han Sojwa (Major Kuga)
甘海瀾	감해란	Kam Hae-ran (Gan Hailan)
步兵學校	보병학교	Pobyŏng Hakkyo (Army Infantry School)
靑島	청도	Ch'ŏngdo (Qingdao)
沈鴻烈	심홍렬	Sim Hong-nyŏl (Shen Honglie)
海軍兵學校	해군병학교	Haegun Pyŏnghakkyo (Navy Academy)
孫文	손문	Son Mun (Sun Yat-sen)
麵町	면정	Myŏnjŏng (Fushimichō - likely location in Tokyo)
富土見樓	부토견루	Put'ogyŏllu (Fujimirō - likely building name)
中國同志會	중국동지회	Chungguk Tongjihoe (Chinese Comrades Association / Tongmenghui)
內田良平	내전량평	Uchida Ryōhei
坡本金彌	파본금미	Sakamoto Kin'ya (likely)
日露 戰役	일로 전역	Il-Ro Chŏnyŏk (Russo-Japanese War)
犬養毅	견양의	Inukai Tsuyoshi
頭山滿	두산만	Tōyama Mitsuru
寺尾亨	사미형	Terao Tōru
宮崎滔天	궁기도천	Miyazaki Tōten
閻錫山	염석산	Yŏm Sŏk-san (Yan Xishan)
李烈釣	이열조	I Yŏl-cho (Li Liejun)
孫傳芳	손전방	Son Chŏn-bang (Sun Chuanfang)
唐繼堯	당계요	Tang Kye-yo (Tang Jiyao)
張群	장군	Chang Kun (Zhang Qun)
谷正倫	곡정륜	Kok Chŏng-nyun (Gu Zhenglun)
朱紹良	주소량	Chu So-ryang (Zhu Shaoliang)
楊杰	양걸	Yang Kŏl (Yang Jie)
賀耀組	하요조	Ha Yo-cho (He Yaozu) - Note: text has 賀耀院 once, likely typo for 賀耀組
殷汝耕	은여경	Ŭn Yŏ-gyŏng (Yin Rugeng)
早大	조대	Chodae (Waseda University)
黃郛	황부	Hwang Pu (Huang Fu)
陸地 測量部 修技所	육지 측량부 수기소	Yukchi Ch'ŭngnyangbu Sugiso (Land Survey Department Skills Center)
軍政府	군정부	Kunjŏngbu (Ministry of Military Administration)
陳立夫	진립부	Chin Ip-pu (Chen Lifu)
陳果夫	진과부	Chin Kwa-bu (Chen Guofu)
字子文	자자문	Cha Cha-mun (T.V. Soong - referring to his courtesy name)
孔祥熙	공상희	Kong Sang-hŭi (H. H. Kung)
明治維新	명치유신	Myŏngch'i Yusin (Meiji Restoration)
藍衣社	남의사	Namŭisa (Blue Shirts Society - Note: text has 藍表社 Nam'pyosa, likely typo)
東京	동경	Tonggyŏng (Tokyo)
黃興	황흥	Hwang Hŭng (Huang Xing)
CC團	씨씨단	CC Tan (CC Clique)
鈕永建	뉴영건	Nyu Yŏng-gŏn (Niu Yongjian)
參謀總長	참모총장	Ch'ammo Ch'ongjang (Chief of General Staff)
中央 軍主 甘綏靖 主任	중앙 군주 감수정 주임	Chungang Kunju Kamsujŏng Chuim (Director of the Central Military Pacification Headquarters for Jiangxi & Fujian)
江西	강서	Kangsŏ (Jiangxi)
福建	복건	Pokkŏn (Fujian)
第六路軍	제육로군	Che-yuk Rogun (6th Route Army)
公匪	공비	Kongbi (Communist bandits - derogatory term)
陸軍大學	육군대학	Yukgun Taehak (Army War College)
土耳古	토이기	T'oigi (Turkey)
大使	대사	Taesa (Ambassador)
監察院	감찰원	Kamch'alwŏn (Inspectorate Yuan)
許崇智	허숭지	Hŏ Sung-ji (Xu Chongzhi)
冀察 外交委員會	기찰 외교위원회	Kich'al Oegyo Wiwŏnhoe (Hebei-Chahar Political Council's Foreign Affairs Committee)
賀德耀	하덕요	Ha Tŏk-yo (He Deyao - likely typo for Shang Zhen 商震? Or another He? Context suggests high position) *Correction: Seems to be He Yao (賀耀), not He Deyao.* Let's stick to text: Ha Tŏk-yo.
國務大臣	국무대신	Kungmu Taesin (Minister of State / Premier)
內政部長	내정부장	Naejŏng Pujang (Minister of Internal Affairs)
蔣作賓	장작빈	Chang Chak-pin (Jiang Zuobin)
駐日 大使	주일 대사	Chu-Il Taesa (Ambassador to Japan)
南京 臨時政府	남경 임시정부	Namgyŏng Imsi Chŏngbu (Nanjing Provisional Government)
陸軍次長	육군차장	Yukgun Ch'ajang (Vice Minister of the Army)
軍事委員會	군사위원회	Kunsa Wiwŏnhoe (Military Affairs Commission)
武漢 行營	무한 행영	Muhan Haengyŏng (Wuhan Field Headquarters)
河成濬	하성준	Ha Sŏng-jun (He Chengjun)

**Glossary**

支那	지나	China (older, now often considered derogatory Japanese term used in Korea during this period)
將校	장교	Military officer
開催	개최	To hold (a meeting, event)
취할 바	취할 바	The course to take; the stance to adopt (older phrasing)
對日	대일	Towards Japan; concerning Japan
開戰	개전	Outbreak of war; starting hostilities
不可避	불가피	Unavoidable; inevitable
ネリウ고 마럿다	내리고 말았다	Ended up concluding (older spelling/form of 내리고 말았다)
時期	시기	Time period; timing
主戰派	주전파	Pro-war faction
뒤로 제처놋코	뒤로 제쳐놓고	Setting aside; putting behind (older spelling/form of 제쳐놓고)
自重論	자중론	Argument for prudence/caution
固持	고지	To firmly maintain; adhere to
조곰도	조금도	(Not) even a little (older spelling)
안흔	않는	Not doing (older spelling/form of 않는)
影響	영향	Influence; effect
꽤 만타	꽤 많다	Quite many (older spelling/form of 많다)
一戰	일전	A battle
不慮	불려	Unforeseen; unexpected
厄	액	Misfortune; disaster
看護	간호	Nursing; care
出身	출신	Origin; graduate of
實로	실로	Indeed; truly
搖籃	요람	Cradle
成長	성장	Growth; development
햇다고	했다고	Said that (older spelling/form)
周遊	주유	To travel around; tour
來遊	내유	To come and visit/tour
運集	운집	To gather in large numbers
母胎	모태	Womb; origin point
結成	결성	To form; organize
學徒	학도	Student (often with patriotic/revolutionary connotation)
提供	제공	To provide; offer
되엿든	되었던	Which had become; which was (older spelling/form)
아지트	아지트	Agitpunkt; secret base (loanword from Russian via Japanese)
戰役	전역	War; campaign
刺激	자극	Stimulus; impetus
바더	받아	Receiving (older spelling/form)
建設	건설	Construction; establishment
大部分	대부분	Most part; majority
나왓다고	나왔다고	Said to have come out of (older spelling/form)
그럼으로	그러므로	Therefore; thus (older spelling/form)
망명	망명	Exile; seeking asylum
으레히	으레	Customarily; usually (older spelling/form)
건너와서	건너와서	Crossing over and coming
쉴자리	쉴자리	Place to rest; refuge
所謂	소위	So-called
浪人	낭인	Rōnin (masterless samurai; often used for political adventurers/activists in this context)
온정	온정	Warmth; kindness
베풀엇든	베풀었던	Which was bestowed/given (older spelling/form)
가입	가입	Joining; enrolling
時	시	Time; when
