**Header Section:**
Magazine Title: 삼천리 第10卷 第5號
Publication Date: 1938년 05월 01일
Article Title: 노벨 賞의 新作家, 로제·마루당·듀·가루 (The New Nobel Prize-Winning Author, Roger Martin du Gard)
Author: Unspecified
Article Type: 문예평론 (Literary Criticism)

**Body Text Translation:**
The New Nobel Prize-Winning Author, Roger Martin du Gard

The 1937 Nobel Prize was awarded to the French writer Roger Martin du Gard. This might not be considered a matter of course. However, the reason for this is not that Roger Martin du Gard lacks sufficient merit, but rather that previous awards seemed directed towards individuals like Paul Valéry or the *[unclear, likely Finnish]* writer Frans Eemil Sillanpää. Since the Nobel Prize is decided by the Swedish Academy, it is true that they tend to view Scandinavian writers with importance. More than that, perhaps it is because they can better understand the true value of Nordic writers who are close to them. Someone like Sillanpää, possessing a purely Nordic color, has an entirely different atmosphere (零圍氣) from French novels.

Conversely, when Latin writers receive the Nobel Prize, it seems they primarily consult the writer's global reputation. Luigi Pirandello is one such example. Furthermore, writers like Grazia Deledda, who possess some common ground with Nordic literature, seem to be specially selected.

Viewed from this perspective, Roger Martin du Gard's award is thought to hold special significance. Martin du Gard is difficult to call a so-called world-renowned writer. Translations into various countries are not that numerous. According to a recent Hungarian weekly magazine, not a single Hungarian translation of his work exists yet in that country, which enjoys translations. Also, it is difficult to see his writing style as richly imbued with particularly Nordic elements. He lacks the lyrical quality of Scandinavian writers. He is not mystical. Nor is he an idealist. Rather, isn't he a moralist (모라리쓰트), the archetype of a French novelist? Considering that Martin du Gard received the Nobel Prize the year after publishing the final volume of "The Thibaults" (지포 家의 사람), "Summer 1914" (1914년 夏), one wonders if there isn't some new trend regarding the Nobel Prize therein.

As will be explained gradually, this new work showed a splendid turn for "The Thibaults."

"Summer 1914," as its title suggests, depicts the state of Europe around the outbreak of the Great War and takes up the issue of the intelligentsia's attitude towards life in response to this major event. Instead of individual morality, it described the collective<251> spiritual movements of people. Therein emerges Martin du Gard as a European writer. If we interpret this award as recognition of this, then the Nobel Prize can also be seen as possessing great contemporary significance.

Du Gard's Background

He was born in Neuilly-sur-Seine in 1881. He has deep knowledge of paleography and archaeology, and also has scholarly works in those fields. With the novel "Jean Barois" (쟌·봐로), published in 1913, he gained the title of novelist. Jean Barois brought to paper the mental state of French youth from 1900 to 1910, depicting the anguish of conscience arising from the Dreyfus (도텔페쓰) Affair. Subsequently, the novel he wrote was "The Thibaults" (듸보의 집사람), a massive work composed of 7 parts spanning 10 volumes.

He published the first part in 1922 and completed the final part, "Summer 1914," in 1936. It is no exaggeration to say that Du Gard's true worth is revealed within this serialized epic novel. Besides novels, he also took up pen for playwriting. He also has one or two collections of short stories, such as "Le Testament du Père Leleu" (루루 할아버지의 遺言).

"The Thibaults" can be divided into the following 7 parts:
Part 1: "The Grey Notebook" (灰色의 手帖)
Part 2: "The Reformatory" (感化院)
Part 3: "The Beautiful Season" (아름다운 季節)
Part 4: "The Consultation" (診察)
Part 5: "La Sorellina" (라소레리이나 妹)
Part 6: "The Father's Death" (아부지의 죽엄)
Part 7: "Summer 1914" (1914년 夏)

Let me briefly recount the contents of each part.

The Grey Notebook

Jacques Thibault (쟠듸보) and Daniel de Fontanin (다니엘 포다나), 14-year-old boys attending the same middle school, shared an inseparable friendship.
One day, letters exchanged between these two boys became known to a teacher. The content of the letters led to their expulsion from school. Jacques, enraged, resolved to run away to a distant land, dragging Daniel along.
Jacques' father was a devout Catholic (카톨맄) who, having lost his wife early, set his life's goal on charitable work and was managing a reformatory. His older brother, Antoine (안두아누), was a doctor. Generally speaking, their household existed in an ice-cold atmosphere (零圍氣). Housekeeping was managed by an old maid named Thérèse (도·우엩).
This woman had a niece named Gise (지이즈) living in the same house, and Thérèse and Antoine treated the girl like a sister.
Daniel's family was different; his mother was a splendid, virtuous wife and wise mother, but his father neglected the family, enjoyed playing with fallen women, and always failed in business.
Daniel's sister, Jenny (지에니), was a woman whose personality seemed very gentle externally but held a storm-like passion within. This family was Protestant (푸로테쓰탄).<252>
Jacques and Daniel ran away towards the south, but were soon discovered and brought back to Paris.
Madame de Fontanin embraced Daniel in her bosom and loved him, but his father treated him like a criminal and had him admitted to the reformatory managed in Crouy (구루이).
To put the impression of this first part simply, it depicts the pulse of two young men, and it succeeds in maintaining that attitude until the final part. The image of the two boys wandering aimlessly near Marseille (말세유) is most impressive, and this first part is noteworthy for showing a very bright dignity as a prelude to the psychological storm that follows.

The Reformatory

The older brother, Antoine, happened to visit the reformatory, heard his younger brother's confession, and realized that keeping his brother here would bring about undesirable results.
At first, the father did not listen to the older brother's words, but upon the recommendation of Abbé Vécard (베가루 師), Jacques was sent back to Paris. Here, Jacques came to live under Antoine's supervision. Despite his father's strict prohibition, he frequently visited the Fontanin house.

The Beautiful Season
Five years passed, and the two boys became splendid young men. Daniel became a painter, and Jacques entered the École Normale (에고오루 노루마아루). The Thibault and Fontanin families went for summer vacation in Maison-Laffitte (메손라앗도). Jacques, while loving Jenny, concealed a painful anxiety, which sometimes escalated even to hatred. On the other hand, he also developed feelings for Gise, who was just beginning to mature. Antoine's *[unclear: perhaps guidance/attitude?]* as an older brother, towards Jacques who was 10 years younger, conversely became a pretext for rebellion. Also, Antoine himself, at this time, fell in love with Rachel Goepfert (아반쥬리에루), whom he met while nursing a patient, and experienced deep anguish over love and desire for the first time. However, that woman, Rachel (탓세루라), also left for Africa (아푸리카), following her former lover.

The Consultation

Another three years flowed by. "The Consultation" can be seen as a record of a day in the life of Antoine, engaged in the medical profession. His father is now lying ill with an incurable disease. Antoine knows this but hides it from his father. Suddenly, Jacques disappeared. It was the day right before his entrance examination for the École Normale. They all suspected he might have committed suicide.

"La Sorellina"

Antoine discovered that Jacques had published a short story titled "La Sorellina" (라, 소레리이나) under a pseudonym resembling his name in a Swiss (스위쓰) magazine. In this story, it was revealed that Jacques had loved Gise and Jenny, that his father had opposed his marriage, his childhood dream of leaving the gloomy atmosphere of the École Normale to try living out his individuality, and finally<253> his joining an international revolutionary group in Switzerland – all these were written down one by one. Seeing this, Antoine went to Lausanne (로오잔누), met Jacques, and brought him to his dying father's side.

"The Father's Death"

For four consecutive nights, the father suffered on his deathbed (첨상). Unable to watch this suffering, Antoine administered an injection to end the utterly futile agony. Gise, who was in London (론돈) at the time, received a telegram and hurried back. She met Jacques again, but Jacques' face was extremely cold this time. His current self was just like Edouard (에도란드) towards everyone. His mind was flying to Switzerland. Thus, he was burning with the desire to work for a new society.

"Summer 1914"

Jacques' Catholicism made him a vague rebel. Socialists from various countries flocked to Geneva (제네봐). He belonged to a group whose leader was called Meneystrel (메네스도레루). Following his orders, Jacques returned to Paris to observe the chaotic state of France (불란서) arising from the gunshots in Sarajevo (사라이에봐). In Paris, Jenny's father attempted [**] suicide to escape the dishonor of business failure. Antoine tried hard to save him, but it was futile. Jacques met his former lover again, and fiery passion could have rekindled, but valuing his mission, he broke it off and headed for Geneva. With the outbreak of the Great War, socialists from various countries were suddenly transforming into nationalists. Jacques, under Meneystrel's orders and bearing a certain mission, was flying across the German-French (獨佛) border by plane when he unfortunately fell along the way and died.

Although a very superficial account, the above can be seen as the general content of "The Thibaults." While the parts up to "Summer 1914" mainly depict how the individual morality (모라리틔) of two young men raised in Catholic and Protestant families breaks away from their environment and wavers, the great significance lies in showing what kind of resolution the European young intelligentsia demonstrated in the face of social unrest, and also what kind of results that resolution produced. They continue their lives almost fatedly in vague anxiety and rebellion. Thus, when they collide with the major event called the World War, their dreams of ideals shatter, and they inevitably experience surprise at the gap between reality and themselves. This is the greatest lesson presented by Roger Martin du Gard.

The description is natural and has a calmness, not losing moderation. Furthermore, something like the assassination of Jaurès (죠오레스) shows a classical profundity, laying an underlying passion rarely seen. In this respect, this writing can be praised as excellent.<254>

**Summary**

This 1938 article from the magazine *Samch'ŏlli* introduces the recent Nobel Prize winner in Literature, French author Roger Martin du Gard. It provides a biography and summarizes his major multi-volume novel, *Les Thibault* (듸보 家의 사람들), focusing on its seven parts, especially the final volume, *Summer 1914*. The reviewer highlights the novel's shift from individual morality within families (Catholic Thibaults and Protestant Fontanins) to the collective response of European intellectuals facing the social and political turmoil leading up to World War I. The article suggests Du Gard's win might signal a new direction for the Nobel Prize, recognizing authors who engage with contemporary socio-political realities over purely aesthetic or regionally specific writers.

For historians, this article is interesting as it showcases the engagement of Korean intellectuals with contemporary European literature and global events like the Nobel Prize during the Japanese colonial period. It reflects a desire to understand complex European social dynamics (like the crisis of the intelligentsia before WWI) perhaps as an indirect way to process their own constrained reality. The level of detail in the plot summary and the critical analysis demonstrates the sophistication of literary discourse present in Korean periodicals despite colonial censorship and limitations. The mix of Hangul, Hanja, and phonetic transcriptions of foreign names using older Korean orthography provides linguistic data for the period.

**Named Entities**

로제·마루당·듀·가루	로제 마르탱 뒤 가르	Roger Martin du Gard
뽀올·봐레리이	폴 발레리	Paul Valéry
린난고스기이	[린난고스기이]	[Frans Eemil Sillanpää - name highly corrupted in text]
스위덴	스웨덴	Sweden
스칸듸나븨아	스칸디나비아	Scandinavia
북구	북구	Northern Europe/Nordic
라텐	라틴	Latin
루이지·비란도루로	루이지 피란델로	Luigi Pirandello
구랏지이아·데렛다	그라치아 델레다	Grazia Deledda
항가리아	헝가리	Hungary
지포 家	티보 가	Thibault family
1914년 夏	1914년 여름	Summer 1914 (L'Été 1914)
구라파	구라파 (유럽)	Europe (older term)
누이이·슈루·세에누	뇌이쉬르센	Neuilly-sur-Seine
쟌·봐로	장 바루아	Jean Barois
불란서	불란서 (프랑스)	France (older term)
도텔페쓰	드레퓌스	Dreyfus
듸보의 집사람	티보 가 사람들	The Thibaults (Les Thibault)
루루 할아버지의 遺言	룰루 할아버지의 유언	Le Testament du Père Leleu
灰色의 手帖	회색 수첩	The Grey Notebook (Le Cahier gris)
感化院	감화원	The Reformatory (Le Pénitencier)
아름다운 季節	아름다운 계절	The Beautiful Season (La Belle Saison)
診察	진찰	The Consultation (La Consultation)
라소레리이나 妹	라 소렐리나	La Sorellina
아부지의 죽엄	아버지의 죽음	The Father's Death (La Mort du père)
쟠듸보	자크 티보	Jacques Thibault
다니엘 포다나	다니엘 드 퐁타냉	Daniel de Fontanin
카톨맄	가톨릭	Catholic
안두아누	앙투안 티보	Antoine Thibault
도·우엩	테레즈	Thérèse
지이즈	지즈	Gise
지에니	제니 드 퐁타냉	Jenny de Fontanin
푸로테쓰탄	프로테스탄트	Protestant
말세유	마르세유	Marseille
구루이	크루이	Crouy
베가루 師	베카르 신부	Abbé Vécard
에고오루 노루마아루	에콜 노르말	École Normale Supérieure
메손라앗도	메종라피트	Maison-Laffitte
아반쥬리에루	라셸	Rachel Goepfert
탓세루라	[탓세루라]	[Rachel - name appears corrupted/misunderstood in text]
아푸리카	아프리카	Africa
스위쓰	스위스	Switzerland
로오잔누	로잔	Lausanne
론돈	런던	London
에도란드	에두아르	Edouard [?] (unclear reference)
제네봐	제네바	Geneva
메네스도레루	메네스트렐	Meneystrel
사라이에봐	사라예보	Sarajevo
獨佛	독불	German-French
죠오레스	조레스	Jean Jaurès

**Glossary**

賞	상	Prize, award
新作家	신작가	New writer/author
수여되였다	수여되었다	Was awarded (older passive form)
까닭	까닭	Reason, cause
되여진	된	Became, that was done (older form)
향했든	향했던	Was directed towards (older form)
아카데미	아카데미	Academy
정해지는	정해지는	Is decided
대개로	대개로	Generally, mostly
중요하게	중요하게	Importantly
거처지인	거처인	Residing place, locale (older form/spelling)
진가	진가	True value
이해할 수 있은	이해할 수 있는	Can understand (older form)
달니하는	달리하는	Differing (older form)
零圍氣	분위기	Atmosphere (uses Japanese Kanji)
반대로	반대로	Conversely, on the contrary
계	계	System, lineage (here: Latin writers)
경우	경우	Case, instance
주로	주로	Mainly, primarily
참고로 하는	참고로 하는	To use as reference
갖인	가진	Having, possessing (older form)
선발이 되는	선발이 되는	To be selected
견지	견지	Viewpoint, standpoint
갖었다	가졌다	Had, possessed (older form)
소위	소위	So-called
말하기 어렵다	말하기 어렵다	Difficult to say
번역	번역	Translation
날너오는	나오는	Coming out, being published (older spelling)
즐기는	즐기는	Enjoying
전한다	전한다	It is said, reported
작풍	작풍	Writing style
별로	별로	Particularly, not really
요소	요소	Element, factor
띄였다	띠었다	Had, bore, was tinged with (older spelling)
리맄한	서정적인	Lyrical (loanword phonetic transcription)
미쓰테잌하지도 않다	신비하지도 않다	Is not mystical (loanword phonetic transcription)
이상주의	이상주의	Idealism
찰하리	차라리	Rather, preferably
전형	전형	Archetype, typical example
모라리쓰트	모랄리스트	Moralist (loanword phonetic transcription)
翌年	익년	The following year
경향	경향	Trend, tendency
차차	차차	Gradually, step by step
전향	전향	Turn, change of direction
제명	제명	Title
그려가지고	그려서	Drawing, depicting (older connective form)
발발	발발	Outbreak (of war)
전후	전후	Around the time of, before and after
대 사건	대사건	Major event
인테리켄챠	인텔리겐치아	Intelligentsia (loanword phonetic transcription)
태도	태도	Attitude
문제 삼었다	문제 삼았다	Took up as an issue, problematized (older spelling)
대신에	대신에	Instead of
집단적	집단적	Collective
정신적	정신적	Spiritual, mental
움직임	움직임	Movement
묘사하였다	묘사했다	Described, depicted (older form)
등장하게	등장하게	To make an appearance
인정한 것	인정한 것	The fact of having recognized
해석한다면	해석한다면	If interpreted as
역시	역시	Also, too, as expected
시대적	시대적	Contemporary, relating to the era
의의	의의	Significance, meaning
내력	내력	History, background
났다	태어났다	Was born (older usage)
고문서학	고문서학	Paleography
고고학	고고학	Archaeology
조예	조예	Deep knowledge, attainment
방면	방면	Field, area
학술적	학술적	Scholarly, academic
저작	저작	Work, writing
명칭	명칭	Name, title
얻게 되였다	얻게 되었다	Came to obtain (older form)
정신 상태	정신 상태	Mental state
지상에	지상에	On paper
올여서	올려서	Putting up, writing down (older spelling)
의해서	의해서	Due to, by means of
이러난	일어난	Arisen, occurred (older spelling)
양심	양심	Conscience
괴롬	괴로움	Suffering, anguish (older form)
그려노았다	그려놓았다	Drew, depicted (older spelling)
계속해서	계속해서	Continuously
대작물	대작	Magnum opus, great work
연작	연작	Series (of novels)
장편 소설	장편 소설	Epic novel, long novel
드러있다	들어있다	Is contained, revealed (older spelling)
과언	과언	Exaggeration
극작	극작	Playwriting
붓을 들었다	붓을 들었다	Took up the pen, wrote
단편집	단편집	Collection of short stories
난흘 수 있다	나눌 수 있다	Can be divided (older spelling)
아래와 같이	아래와 같이	As follows
대략	대략	Roughly, approximately
각 편으로	각 편으로	For each part
조곰식	조금씩	Little by little (older spelling)
내용	내용	Content
이야기 해보련다	이야기 해보련다	Will try to tell the story (volitional form)
달니는	다니는	Attending (older spelling)
소년	소년	Boy
서로	서로	Each other
떠러지기 어려운	떨어지기 어려운	Inseparable (older spelling)
우정	우정	Friendship
어느 때	어느 때	One day, sometime
주고받은	주고받은	Exchanged
편지	편지	Letter
선생에게	선생에게	To the teacher
알닌 바 되였다	알려지게 되었다	Became known (older passive/causative form)
퇴교	퇴교	Expulsion from school
명하여	명하여	Ordering
분개하여	분개하여	Being enraged
끄을고	끌고	Dragging, leading (older spelling)
먼 나라	먼 나라	Distant land
다라날 결심	달아날 결심	Decision to run away (older spelling)
아부지	아버지	Father (colloquial/older form)
진실한	진실한	Sincere, devout
신자	신자	Believer
일직이	일찍이	Early on
부인	부인	Wife
여히고	여의고	Having lost (wife), bereaved of (older spelling)
자선 사업	자선 사업	Charitable work
목표	목표	Goal, objective
정하고	정하고	Deciding, setting
경영하는 중	경영하는 중	In the midst of managing
형	형	Older brother
의사	의사	Doctor
직업	직업	Profession, occupation
대체로	대체로	Generally
가정	가정	Household, family
차듸 찬	차디찬	Ice-cold (older spelling)
가사	가사	Housekeeping
올드 미쓰	올드미스	Old maid (loanword)
돌보게 되였다	돌보게 되었다	Came to look after (older form)
여자	여자	Woman
족하	조카	Niece/nephew (here likely niece)
살게되여	살게 되어	Coming to live together
누이	누이	Sister
대우하고 있었다	대우하고 있었다	Were treating
달니	달리	Differently (older spelling)
모친	모친	Mother
훌륭한	훌륭한	Splendid, admirable
현모양처	현모양처	Good wife and wise mother
부친	부친	Father
도외시하고	도외시하고	Neglecting, disregarding
타락한	타락한	Fallen, corrupt
놀기를 즐기고	놀기를 즐기고	Enjoying playing/associating with
사업	사업	Business
언제나	언제나	Always
실패	실패	Failure
누이	누이	Sister
성격	성격	Personality
외관으로는	외관으로는	Externally, in appearance
대단히	대단히	Very, greatly
얌전한 듯한	얌전한 듯한	Seeming gentle/modest
속에는	속에는	Inside
폭풍	폭풍	Storm
감정	감정	Emotion, feeling
갖인	가진	Having (older form)
여성	여성	Woman, female
얼마 안 듸여	얼마 안 되어	Not long after, soon (older spelling)
발견되여	발견되어	Being discovered (older form)
갖이고	가지고	With, and (older spelling)
도라오게 되였다	돌아오게 되었다	Came to return (older form)
품에	품에	In one's bosom/arms
안어주고	안아주고	Embracing (older spelling)
사랑하였으나	사랑하였으나	Loved, but (older form)
죄인같이	죄인같이	Like a criminal
취급하여	취급하여	Treating as
수용을 식혔다	수용시켰다	Had admitted, institutionalized (older causative form)
인상	인상	Impression
간단히	간단히	Simply, briefly
젊은	젊은	Young
고동	고동	Pulse, heartbeat
최종편	최종편	Final part/volume
태도	태도	Attitude
성공하였다고	성공했다고	Succeeded (older form)
부근	부근	Vicinity, nearby area
지향없이	지향 없이	Aimlessly
떠다니는	떠다니는	Wandering, floating
자태	자태	Figure, appearance
가장	가장	Most
인상적	인상적	Impressive
심리적	심리적	Psychological
서곡	서곡	Prelude, overture
명랑한	명랑한	Bright, cheerful
위엄	위엄	Dignity
뵈이는	보이는	Showing (older spelling)
