잡지명	삼천리 제10권 제5호
발행일	1938년 05월 01일
기사제목	女商의 飛躍과 韓校長 人物 (The Leap of the Girls' Commercial [School] and the Figures of Principal Han)
필자	삼천리사
기사형태	소식 (News)

The Leap of the Girls' Commercial [School] and the Figures of Principal Han
						Samch'ŏllisa

The newly built school building of Kyŏngsŏng Girls' Commercial School, situated on the western slope of Inwangsan Mountain, is extremely tall, grand, and splendid. There were the inconveniences of riding the streetcar and bus, passing the prison, seeing many funeral processions, and enduring a long journey on a dusty road, followed by some confusion. However, upon climbing the high stone steps, crossing the wide sports field, and seeing the tall, grand, and splendid school building nestled quietly at the foot of a good mountain with glittering, magnificent rocks and green pine trees, all discomfort and mental confusion disappeared, and it felt simply like visiting a monastery.

Since its founding in April of Taishō 15 (1926), this school has produced over 800 graduates, sending working women into various fields of society. At one point, there was even talk of closing the school gates due to management difficulties, and various difficult problems arose frequently because of this. However, perhaps through the help of heaven, in January of Shōwa 11 (1936), the philanthropist Mr. Han Yang-ho (韓亮鎬) donated a huge sum of several hundred thousand won, completely taking over the school's management. As a result of his truly devoted efforts spared for the construction of the new school building, along with enriching the content, improving education, and implementing reforms, the school building was successfully completed. The completion ceremony was grandly<129> held on November 20th of last year. Following this, on February 1st, permission was obtained to extend the school term from three years to four years. What more welcome news could there be for education in Chosŏn?

With the extension of the academic years, the school will have 12 classes and a capacity of 600 students. The current 400 students will graduate under the old 3-year system, while the new students entering this spring will follow the new regulations. That is, students entering from now on will have to study for four years to graduate. Therefore, future graduates of this school will naturally possess qualifications equivalent to those from a girls' higher common school, and furthermore, they will be able to learn subjects like abacus or bookkeeping, which cannot be learned at a girls' higher common school.

One day, in the principal's office of this fine new school, the reporter heard stories about the school, the founder Mr. Han Yang-ho, the teachers, and the graduates from the young principal, Mr. Kim Yong-guk.

The principal graduated from Kyŏngsŏng Higher Commercial School in Shōwa 2 (1927) and immediately came to the Girls' Commercial School. However, due to a dispute (分糾) at the school, he left and taught for several years at Hoeryŏng Public Commercial School. He was called back to the Girls' Commercial School and returned in Shōwa 8 (1933). Although he is now 37, he looked much younger than his age. However, the school owner (校主) Mr. Han knew that he understood school affairs better than anyone and could handle them well, which is why he did not hesitate at all to entrust this young principal with great responsibility.

According to the principal, the school owner Mr. Han is the son of Mr. Han Kyu-sŏl (韓圭卨). He has a very good and benevolent personality, cherishes and loves the teachers and students equally, and is also extremely diligent. For this reason, he not only personally surveyed and prepared the site for the newly built school building but has also attended school every single day without fail since taking it over. He entrusts all internal school affairs to the principal, taking only the financial responsibility himself. He apparently feels the school building is still insufficient and plans to build special classrooms<130> on the approximately 250-pyeong plot next to the main building. Furthermore, the procedures for establishing a legal foundation are currently underway and are expected to be approved around June of this year. Hearing such stories from Principal Kim, I was moved several times.

Since the school is getting bigger, the number of classes is increasing, and the student body will grow, won't you need to invite more teachers?

Although the current teachers are not exactly insufficient, several new teachers will be invited for the new semester.

There are currently 14 teachers in total. Most of them are said to have carried the hardships of the Girls' Commercial School on their shoulders, weeping and laughing together. Listing their names now:
Pak Hak-kyu, Yi Sŏn-ho, Enjō Hirohito (園城博仁), Pang Sŏn-hŭi, Song Ok-sŏn, Pak In-ho, Pang Kyŏm-sun, Shibasaki Natsu (柴崎ナツ), Watanabe Akinari (渡邊明成), Hong Chong-gi, Pae Hŭi-sŏng, Cho Ik-chun, Kim Ch'ang-sŏp.

Mr. Pak Hak-kyu finished the Geography and History Department at Nihon University Higher Normal School and now teaches geography, Korean language, and calligraphy. Mr. Yi Sŏn-ho finished Kyŏngsŏng Higher Commercial School and teaches bookkeeping, commercial arithmetic, and geometry. Mr. Pang Sŏn-hŭi finished Suwŏn Agriculture and Forestry School and teaches science, arithmetic, and algebra. Ms. Song Ok-sŏn finished Nara Higher Normal School for Women and teaches home economics and sewing. Ms. Pak In-ho finished Tokyo Women's Higher Commercial School and teaches abacus and typing. Ms. Pang Kyŏm-sun finished Japan Women's College of Physical Education and teaches music, physical education, and sewing. Mr. Hong Chong-gi also graduated from Japan Women's College of Physical Education and teaches physical education and physiology. Mr. Pae Hŭi-sŏng finished Kyŏngsŏng Higher Commercial School and teaches commercial affairs, commercial arithmetic, practical application, and algebra. Mr. Cho Ik-chun graduated from the literature department of Keijō Imperial University (城大) and teaches English and Korean language. Mr. Kim Ch'ang-sŏp is said to be a graduate of Japan Art School and is in charge of drawing (圖畵) for all students.

Since the school was founded in Taishō 15 (1926), there have been about 800 graduates in total. As the school is specialized, it is said that among the graduates, there are more working women active in various fields of society than those who have families. As you all may know well, the late Ms. Song Kye-wŏl, who once wielded her pen and gained fame in the world, was also a graduate of this Girls' Commercial School. From her school days, she was said to have a very cheerful and bright personality, and possessed a strong dislike for losing to others. When a difficult situation arose within the school, leading to her and five other second-year students being summoned to XX <131>, she reportedly took all the responsibility herself to prevent any impact on her friends or teachers.

Ms. O Ok-nyŏ also had a very cheerful personality, a healthy physique, and dignity comparable to a man's. Sharing the same ideals as Ms. Song Kye-wŏl, she went to Tokyo to learn car driving but passed away before achieving her goal.

Besides them, there is a fifth-term graduate working as a head clerk at a financial cooperative (금융조합) in Ch'unch'ŏn, Kangwŏn Province. There is also someone studying diligently at a Japanese higher commercial school for the sake of her alma mater, and some pitiable individuals who missed their marriageable age while caring for their parents.

Having told the story up to this point, the principal suggested that the reporter tour the school. Following Principal Kim, I passed through the school owner's office and the conference room to reach the faculty room. The teachers had all gone to their classes, and only Ms. Song Ok-sŏn and a few other teachers were in the faculty room. I saw the classrooms, the sewing room, the typing room, and the music room, and then went up to the rooftop. The rooftop, stretching dizzyingly from end to end, was spotless without a speck of dust. The pine trees, rocks, and soil on the mountain felt so close as if they could be touched. The village below looked terribly distant. This was especially true because the gently falling snow swirled here and there with the aimless wind amidst the pine forest.

The auditorium was even better than the school building. The floor sloped towards the front, the glass doors were large, numerous high-collar electric lights adorned the walls and ceiling, and a grand piano worth 2,500 won was placed there. It is said to accommodate 1,000 people. Sometime during this, the dismissal bell must have rung, as a siren echoed through the mountains, and the students, who had studied for half a day, packed their books and headed home. The reporter also walked among them. Walking along, I thought the scenery of the school after the snowfall would be even better.<132>

**Summary**

This 1938 article from *Samch'ŏlli* magazine reports on the recent developments and revitalization of Kyŏngsŏng Girls' Commercial School. It highlights the school's new, grand building funded by philanthropist Han Yang-ho, who took over management in 1936 after a period of financial difficulty. The article details the extension of the curriculum from three to four years, elevating its status, and introduces the young principal, Kim Yong-guk, the dedicated founder Han Yang-ho (son of Han Kyu-sŏl), and lists the faculty members and their qualifications. It also mentions notable alumnae like the writer Song Kye-wŏl and O Ok-nyŏ, emphasizing the school's role in producing working women for society, before concluding with a description of the new facilities. For historians, the article offers insights into private education for women in colonial Korea, particularly vocational training aimed at integrating women into the workforce. The mention of the philanthropist Han Yang-ho, the specific curriculum (abacus, bookkeeping, typing), the blend of Korean and Japanese staff, the reference to graduates' societal roles (including financial cooperatives), and the brief, censored (?) mention of student activism (Song Kye-wŏl being summoned to "XX") provide valuable context about social changes, economic conditions, and the educational landscape under Japanese rule.

**Named Entities**

仁旺山	인왕산	Inwangsan
京城여자상업학교	경성여자상업학교	Kyŏngsŏng Girls' Commercial School
韓亮鎬	한량호	Han Yang-ho
韓圭卨	한규설	Han Kyu-sŏl
金容國	김용국	Kim Yong-guk
京城고등상업학교	경성고등상업학교	Kyŏngsŏng Higher Commercial School
會寧公立商業學校	회령공립상업학교	Hoeryŏng Public Commercial School
朴學圭	박학규	Pak Hak-kyu
李善浩	이선호	Yi Sŏn-ho
園城博仁	엔조 히로히토	Enjō Hirohito
方善熙	방선희	Pang Sŏn-hŭi
宋玉璇	송옥선	Song Ok-sŏn
朴仁浩	박인호	Pak In-ho
方兼順	방겸순	Pang Kyŏm-sun
柴崎ナツ	시바사키 나쓰	Shibasaki Natsu
渡邊明成	와타나베 아키나리	Watanabe Akinari
洪鍾奇	홍종기	Hong Chong-gi
裵熙晟	배희성	Pae Hŭi-sŏng
趙益俊	조익준	Cho Ik-chun
金昌燮	김창섭	Kim Ch'ang-sŏp
日本大學 高等師範	일본대학 고등사범	Nihon University Higher Normal School
水原農林	수원농림	Suwŏn Agriculture and Forestry School
奈良高師	나라고사	Nara Higher Normal School for Women
東京女子高等商業學校	동경여자고등상업학교	Tokyo Women's Higher Commercial School
日本女子體育學校	일본여자체육학교	Japan Women's College of Physical Education
城大	성대	Keijō Imperial University (Abbreviation for 京城帝國大學)
日本美術學校	일본미술학교	Japan Art School
宋桂月	송계월	Song Kye-wŏl
吳玉女	오옥녀	O Ok-nyŏ
東京	동경	Tokyo
江原道	강원도	Kangwŏn Province
春川	춘천	Ch'unch'ŏn
金融組合	금융조합	Financial Cooperative

**Glossary**

女商	여상	Abbreviation for 여자상업학교 (Girls' Commercial School)
校舍	교사	School building
헛갈님	헛갈림	Confusion (Older spelling/form)
大正	대정	Taishō era (Japanese era name, 1912-1926)
獨志家	독지가	Philanthropist, person of high morals
昭和	소화	Shōwa era (Japanese era name, 1926-1989)
内容充實	내용충실	Enrichment of content
碎身	쇄신	Reform, renewal (Here used with 刷新 meaning)
落成式	낙성식	Building completion ceremony
授業年限	수업연한	Length of the course of study, school term years
學則	학칙	School regulations
女子高等普通學校	여자고등보통학교	Girls' Higher Common School (Colonial era secondary school)
主山	주산	Abacus
簿記	부기	Bookkeeping
校主	교주	School owner/founder (Term used for benefactor Han Yang-ho)
分糾	분규	Dispute, trouble
校便을 잡다	교편을 잡다	To teach (lit. to hold the teacher's pointer/rod)
게섰는데	계셨는데	Was/were (honorific, older spelling)
맺기시기를	맡기시기를	To entrust (honorific causative, older spelling)
녁이시는	여기시는	Consider/regard (honorific, older spelling)
부즈런하신	부지런하신	Diligent (honorific, older spelling)
만련하섰을	마련하셨을	Prepared/arranged (honorific past presumptive, older spelling)
하로	하루	One day (Older spelling)
맺기고	맡기고	Entrusting (older spelling)
마터보시며	맡아보시며	Taking responsibility for (honorific, older spelling)
財團法人	재단법인	Incorporated foundation, legal foundation
만어지겠으니까	많아지겠으니까	As it will increase/become many (older spelling)
모시여	모시어	To invite, serve (older form of 모셔)
억개	어깨	Shoulder (Older spelling)
질머지고	짊어지고	Bearing, shouldering (a burden) (Older spelling)
마추신	마치신	Finished, completed (Course of study) (Older spelling/form)
習字	습자	Calligraphy practice
商算	상산	Commercial arithmetic
圖畵	도화	Drawing, painting, art
實校	실교	This school (likely contraction referring back to the subject school)
만타고	많다고	Is said to be many (older spelling)
일홈	이름	Name (Older spelling)
떨치는	떨치는	Becoming famous, renowned
마터가지고	맡아가지고	Taking responsibility for (older spelling)
밋가지	미치지	Not reaching, not measuring up to (Older form)
배호다가	배우다가	While learning (Older spelling)
金融組合	금융조합	Financial Cooperative (Colonial era credit institution)
들여주신	들려주신	Told, let hear (honorific, older spelling)
交員室	교원실	Faculty room
올나	올라	Going up (Older spelling)
앗질하게	아찔하게	Dizzily, giddily
뵈이는	보이는	Being visible (Older spelling)
아래ㅅ	아랫	Lower, below (Older spelling with ㅅ)
휘날였든	휘날렸던	Swirled, fluttered (Past retrospective, older spelling)
하이칼라	하이칼라	High collar (loanword, here referring to modern/Western style electric lights)
울니드니	울리더니	As it rang/echoed (Older spelling)
배호든	배우던	Who were learning/studying (Past retrospective, older spelling)
책보	책보	Bundle of books wrapped in cloth
도라감니다	돌아갑니다	Return, go back (Older spelling/form of 갑니다)
석겨서	섞여서	Mixed in with (Older spelling)
거르며	걸으며	While walking (Older spelling)


---------------------------


잡지명	삼천리 제10권 제5호
발행일	1938년 05월 01일
기사제목	女商의 飛躍과 韓校長 人物
필자	삼천리사
기사형태	소식

女商의 飛躍과 韓校長 人物
						삼천리사
仁旺山 서쪽 비탈에 자리잡은 京城여자상업학교 신축된 校舍는 몹시 높고 웅장하고 화려함니다. 전차와 뻐쓰를 타고 감옥을 지나고 영구차를 여러 번 보고 몬지가 푹푹 날리는 길을 오래 가는 불편과 다음의 헛갈님이 있기는 했읍니다마는 높은 돌층게를 오르고 넓은 운동장을 거처서 기라성과 장엄한 바위와 푸른 소나무가 있는 좋은 산아래 조용하게 들앉은 높고 웅장하고 화려한 校舍를 보는 사이에 모든 불편과 마음의 헛갈님이 사라지고 거저 어느 수도원을 찾는 듯한 마음이었읍니다.
이 학교는 大正 15년 4월에 처음으로 창립한 후 800여 명의 많은 졸업생을 내여 사회 각 방면에 직업 여성을 보내여 왔읍니다. 한때는 경영난으로 교문을 다친다는 말까지 있었고 또 이로해서 생기는 여러 가지 어려운 문제가 빈발했으나 하늘의 도음이였든지 昭和 11년 정월에 독지가 韓亮鎬씨가 수십만원의 거액을 던지여 학교 경영을 아주 완전히 인수하시고 교사 신축과 아울러 내용충실 교육개선 쇄신에 그야말로 헌신적 노력을 아끼지 않었든 결과에 교사가 무난히 낙성되여 작년 11월 20일에 낙성식을 성대히<129> 거행하고 또 뒤이여 지난 2월 1일부로 수업년한 3년이든 것을 4년제로 인가를 얻게 되엿으니 교육 조선을 위해서 이런 반가운 소식이 어디 있겠읍니까.
학급 연장을 하면 12학급 600명 정원이라는데 현재 재학생 400명은 舊學則대로 3년제 졸업을 하게 될 것이고 이제 신춘에 새로 입학될 신입생부터는 新學則에 의하리라 함니다. 즉 이제부터 입학되는 생도들은 4년간 수업을 해야 졸업하게 된다는 것입니다. 그러니까 앞으로 이 학교 졸업생은 여자고등보통학교 出 동등의 자격을 가지게 될 것은 물론, 그 이상 여자고등보통학교에서 배홀 수 없는 주산이나 부기 등을 배홀 수 있을 것입니다.
기자는 어느 날 이 좋은 새 학교 교장실에서 젊은 교장 金容國선생의 학교에 대한 이얘기 설립자 韓亮鎬씨의 이얘기 선생님들 이얘기 또 졸업생 이얘기들을 듯기로 했읍니다.
