Magazine Title: 삼천리 제4권 제9호
Publication Date: 1932년 09월 01일
Article Title: 鍾路네거리 (Chongno Crossroads)
Author: Not specified
Article Type: 소식 (News/Tidings)

Chongno Crossroads

Critic Pak Mun-hŭi suddenly departed for Peip'ing (北平) about ten days ago. It is said he left upon receiving a telegram stating that his younger sister, Pak Ch'a-jŏng—who was not only outstanding among female activists for her wisdom (智略) and beauty (美貌) but had also been exiled to Peking (北京) as a member of the XX Party—was critically ill. It is not yet known when he will return.

In the old days, heroes like Liang Shanbo (梁山伯)<13> who supported retainers (門客) were many, but now even traces of them have vanished. However, there are those who open their entire, very spacious outer reception rooms (舍廊) to provide a "salon" for discontented visitors: Mr. Ch'oe Rin in Kyedong and Mr. Kim Pyŏng-no in Sŏdaemun-jŏng.

Yŏ Un-hyŏng, who was provisionally released from prison some time ago, is now staying at the house of Mr. Yi Un-hong in Kahoe-dong. Speaking of the Kahoe-dong house, although it is a Western-style two-story building, the residence itself is like an extension of his Shanghai life...

A writers' association has been formed in Seoul. In terms of gathering a large number of figures through a combination of various commentators (論壇諸客) and literary figures (文人 諸氏), it is decidedly the most prominent authoritative body of intellectuals seen in recent times. Hopefully, they will not just be busy with earning the so-called manuscript fees of 20 or 30 *chŏn* per page (一枚 2, 30錢 云云하는 原稿料 收得), but will wage a bold struggle to extend the authority of our society's press (언론). For example, a movement to revise Chosŏn's unique publication law, and also assistance for the revival of the Chosŏn Ilbo and Chungang Ilbo... etc.

Three ice pillars stood neatly in a row, but two of them melted away in the scorching sun (曝陽), leaving ultimately only one ice pillar remaining, making its existence stand out even more... This is the stance of the Tong-a Ilbo in the private newspaper world. It could be called unearned income (不勞所得). Victory without fighting (不戰而勝). Did Chairman Song of Tong-a, who has become the dictator king of newspapers, dream as Lord (빠이론卿) Byron did when he said, "I awoke one morning<14> and found myself famous throughout the world"?

There is Mr. Hŏ Hŏn, whose father is a nationalist and daughter, Miss Hŏ Chŏng-suk, is a socialist; Mr. Hong Myŏng-hŭi, whose son, Mr. Hong Ki-mun, is [a socialist]; and also Mr. Han Yong-un, whose son, Han Po-guk, is [a socialist]. Han Po-guk is currently confined in Sŏdaemun Prison for the XX Party Reconstruction Committee incident. As the public trial (公判) was approaching, someone suggested to Mr. Han Yong-un that he should appoint a lawyer (辯護士). Mr. Han reportedly refused calmly (泰然), saying, "For violations of Ordinances (制令違反) or the Peace Preservation Law (치안유지법), they just hand down cookie-cutter verdicts (판에 박어노은 듯한 판결) anyway, so what's the point of a lawyer?" This vividly shows Mr. Han's character (면목).

It is said that An Tosan (An Ch'ang-ho) in Sŏdaemun Prison refused food sent in from outside (差食) by Ch'unwŏn (Yi Kwang-su). Was it out of integrity (節介?), thinking that since things have already come to this, there is no point in meanly coveting gourmet food (美食) or seeking fine clothes (美衣)?<15>

**Summary**

This article presents a series of news tidbits about prominent Korean intellectuals, activists, and writers in Seoul in 1932. It covers Pak Mun-hŭi's trip to Beijing due to his sister Pak Ch'a-jŏng's illness, the existence of "salons" hosted by Ch'oe Rin and Kim Pyŏng-no, Yŏ Un-hyŏng's release from prison, the formation of a writers' association with hopes for press freedom advocacy, the dominance of the Tong-a Ilbo newspaper after others closed, generational political divides (nationalist fathers like Han Yong-un and Hŏ Hŏn with socialist children like Han Po-guk and Hŏ Chŏng-suk), Han Yong-un's defiant attitude towards the colonial legal system regarding his son's trial, and An Ch'ang-ho's refusal of food from Yi Kwang-su in prison. From a historical perspective, the article offers glimpses into the constrained political and social environment of colonial Korea, highlighting surveillance and censorship (XX Party), the suppression of the press (Chosŏn Ilbo, Chungang Ilbo closures), the workings of the colonial justice system (Peace Preservation Law, Sŏdaemun Prison), ideological splits within the nationalist movement (generational differences, potential friction suggested by An Ch'ang-ho and Yi Kwang-su), and the resilience and defiance of figures like Han Yong-un.

**Named Entities**

朴文憙	박문희	Pak Mun-hŭi
北平	북평	Pukp'yŏng
朴次貞	박차정	Pak Ch'a-jŏng
XX黨員	XX당원	XX Tangwŏn
北京	북경	Peijing
梁山伯	양산백	Yangsanbaek
桂洞	계동	Kyedong
崔麟	최린	Ch'oe Rin
西大門町	서대문정	Sŏdaemun-jŏng
金炳魯	김병로	Kim Pyŏng-no
呂運亨	여운형	Yŏ Un-hyŏng
李氏	이씨	Mr. Yi (Un-hong inferred)
嘉會洞	가회동	Kahoe-dong
運弘	운홍	Un-hong (likely 李運弘 Yi Un-hong)
上海	상해	Sanghae
論壇諸客	논단제객	Nondan Chegaek
文人 諸氏	문인 제씨	Munin Chesi
朝鮮	조선	Chosŏn
朝鮮日報	조선일보	Chosŏn Ilbo
中央日報	중앙일보	Chungang Ilbo
東亞日報	동아일보	Tong-a Ilbo
宋主席	송주석	Song Chusŏk (likely Song Chin-u)
빠이론卿	빠이론 경	Ppailon Kyŏng (Lord Byron)
許憲	허헌	Hŏ Hŏn
許貞淑	허정숙	Hŏ Chŏng-suk
洪命憙	홍명희	Hong Myŏng-hŭi
洪起文	홍기문	Hong Ki-mun
韓龍雲	한용운	Han Yong-un
韓保國	한보국	Han Po-guk
XX黨 再建委員會	XX당 재건위원회	XX Tang Chaegŏn Wiwŏnhoe
西大門 형무소	서대문 형무소	Sŏdaemun Hyŏngmuso
安島山	안도산	An Tosan (An Ch'ang-ho)
春園	춘원	Ch'unwŏn (Yi Kwang-su)

**Glossary**

네거리	네거리	Crossroads
돌연	돌연	Suddenly
누의동생	누이동생	Younger sister (Older form/spelling)
일즉	일찍	Early on, previously
智略	지략	Wisdom and strategy
망명하엿든	망명하였던	Who was exiled (Older conjugation)
밧고	받고	Receiving (Older spelling)
떠낫다	떠났다	Departed (Older spelling)
도라올	돌아올	To return (Older spelling)
업다	없다	To not exist, lack (Older spelling)
녯날	옛날	Old days (Older spelling)
門客	문객	Retainers, dependent guests
養하는	양하는	Supporting, raising (Older form)
만터니	많더니	Were many (Older form)
자최	자취	Trace, footprint (Older spelling)
너르고도 너른	넓고도 넓은	Wide and spacious (Older spelling)
舍廊	사랑	Outer reception room/building in a traditional house
불평객	불평객	Discontented guests/visitors
싸론	살롱	Salon (Transliteration)
假出獄	가출옥	Provisional release from prison
留하는데	유하는데	Staying (Older form)
洋製 二層	양제 이층	Western-style two-story [building]
廷長가치	연장같이	Like an extension (Slightly different usage/spelling)
문필가	문필가	Writer, man of letters
생기엇다	생기었다	Has formed/appeared (Older spelling)
網羅한	망라한	Encompassing, gathering
근래에 업는	근래에 없는	Unprecedented in recent times (Older spelling)
인테리	인텔리	Intellectuals (Transliteration)
權威	권위	Authority
原稿料	원고료	Manuscript fee
收得	수득	Earning, obtaining
분주하지말고	분주하지 말고	Not being busy with
언론	언론	Speech, the press
伸長하기 위하야	신장하기 위하여	In order to extend/promote (Older spelling/form)
과감한	과감한	Bold, drastic
투쟁	투쟁	Struggle
바란다	바란다	Hope for, wish for
예컨대	예컨대	For example
獨特의	독특의	Unique
출판법	출판법	Publication law
개정운동	개정운동	Revision movement
부활	부활	Revival
助力	조력	Assistance, help
어름기둥	얼음기둥	Ice pillar (Older spelling)
가지런히	가지런히	Neatly, in a row
서고 잇더니	서고 있더니	Were standing (Older spelling/form)
曝陽	폭양	Scorching sun
녹아버리엇슴으로	녹아버렸으므로	Because they melted away (Older spelling/conjugation)
한낫밧게	하나밖에	Only one (Older spelling/form)
남지 안게 되어	남지 않게 되어	Came to remain (lit. came not to remain except)
一層	일층	Even more, further
뚜렷하여젓다	뚜렷하여졌다	Became distinct/clear (Older spelling/conjugation)
민간신문계	민간신문계	Private newspaper world/sector
姿態	자태	Posture, stance, appearance
可謂	가위	It can be called
不勞所得	불로소득	Unearned income
不戰而勝	부전이승	Victory without fighting
獨裁王	독재왕	Dictator king
主席	주석	Chairman
