Magazine Title: 개벽 제52호
Publication Date: 1924년 10월 01일
Article Title: 惡禱(Le Litanies de Satan) (Evil Prayer/The Litanies of Satan)
Author: 뽀-들래-르(作), 梁柱東(譯) (Baudelaire (Author), Yang Chu-dong (Translator))
Article Type: 시 (Poem)

Evil Prayer
Baudelaire (Author), Yang Chu-dong (Translator)

O Angel, most wise and most beautiful, whom God
Lured with Fate and concealed with praise,

O Satan, take pity on my long misery!

O Prince of Exile, misunderstood by men,
Who conquers all and ever stands mightily tall,<2>
O Satan, take pity on my long misery!

O Great Emperor, omniscient and ruling all things underground,
Who personally mends the anguish of humans,

O Satan, take pity on my long misery!

Who teaches, with love, the joys of Paradise
To the leper and the cursed pariahs,

O Satan, take pity on my long misery!

Who, through your old and steadfast lover, Death,
Begets Hope—that foolish fascination!

O Satan, take pity on my long misery!

Who watches the condemned with clear, high eyes,
Casting them from the gallows into Hell,

O Satan, take pity on my long misery!

Who knows in which nook of the earth lie
The noble jewels hidden by a jealous God,

O Satan, take pity on my long misery!

Who perceives with an insightful eye
The deep repository where buried treasures slumber,

O Satan, take pity on my long misery!

Who, for the sleepwalker wandering on the roof,
Shields the cliff with a great hand,<3>

O Satan, take pity on my long misery!

Who miraculously subdues the withered bones
Of the sluggish drunkard trampled by horses' hooves,

O Satan, take pity on my long misery!

Who, to console the suffering weak,
Taught us to mix sulfur and saltpeter,

O Satan, take pity on my long misery!

Who stamps the mark of a subtle accomplice, O,
Upon the brow of the heartless and unjust plutocrat,

O Satan, take pity on my long misery!

Who places the creed of sorrow and the love of rags
Into the eyes and hearts of young girls,

O Satan, take pity on my long misery!

Who is the staff (執行) of the wanderer, the lamp of the explorer,
The confessor of the hanged and the conspirator,

O Satan, take pity on my long misery!

Who is the adoptive father of those filled with black wrath,
Who drove the Father from the earthly Paradise,

O Satan, take pity on my long misery!<4>
<2-4>

**Summary**

This article presents a Korean translation by Yang Chu-dong of Charles Baudelaire's poem "Les Litanies de Satan" ("Evil Prayer"). The poem is a series of invocations praising Satan, portraying him not as purely evil, but as a compassionate figure who understands and aids the suffering, the exiled, the cursed, and the rebellious. He is depicted as a source of hidden knowledge, hope born from death, and even a protector of the vulnerable, contrasting sharply with a jealous and punitive God. For historians of colonial Korea, the publication of this translation in *Kaebyŏk*, a prominent nationalist magazine known for its critical stance, is noteworthy. Publishing a poem that elevates Satan and critiques divine authority could be interpreted as a coded expression of dissent against the oppressive colonial regime, aligning the suffering Korean populace with the downtrodden figures championed by Baudelaire's Satan, or simply reflecting a broader intellectual engagement with Western literature that carried potentially subversive undertones.

**Named Entities**

뽀-들래-르	뽀들래르	Baudelaire
梁柱東	양주동	Yang Chu-dong
惡魔	악마	Satan/Devil
王子	왕자	Prince (referring to Satan)
神	신	God
天國	천국	Paradise/Heaven
天父	천부	Heavenly Father (referring to God)

**Glossary**

惡禱	악도	Evil Prayer / Litany of Satan
天使	천사	Angel
惡魔	악마	Devil, Satan
苦痛	고통	Pain, Suffering, Anguish
어엽비녁여주소서	어여삐 여기소서	Please look upon with pity (older spelling/form)
流配	유배	Exile
王子	왕자	Prince
힐차게	힘차게	Vigorously, Powerfully (likely typo/older spelling 'ㅎ' instead of '힘')
地下	지하	Underground, Netherworld
懊惱	오뇌	Anguish, Worry
곳처주신	고쳐주신	Healed, Mended (older spelling)
癩病者	나병자	Leper
咀呪밧은	저주받은	Cursed (older spelling)
파리 쓰	파리아 쓰	Pariahs (likely intended meaning, older transliteration/spelling for 'parias')
天國	천국	Heaven, Paradise
希望	희망	Hope
낫는	낳는	Give birth to, Beget (older spelling)
絞首臺	교수대	Gallows
떠러치는	떨어뜨리는	Cast down, Drop (older spelling)
놉홀	높을	High (older spelling)
受刑者	수형자	Condemned person
嫉妬	질투	Jealousy
寶石	보석	Jewel, Gem
알으시는	아시는	Know (older spelling)
잇는지	있는지	Where it is (older spelling)
埋沒	매몰	Buried
武庫	무고	Repository, Storehouse (lit. armory)
慧眼	혜안	Insightful eye
認識	인식	Recognize, Perceive
잇는	있는	Is, Exists (older spelling)
집웅	지붕	Roof (older spelling)
夢遊病者	몽유병자	Sleepwalker
爲하야	위하여	For the sake of (older spelling)
絶壁	절벽	Cliff, Precipice
가리우는	가리는	Cover, Shield (older spelling)
蹂躪	유린	Trample
大酒客	대주객	Heavy drinker, Drunkard
枯骨	고골	Withered bones, Skeleton
神奇	신기	Miraculously, Mysteriously
順從식히는	순종시키는	Make obedient, Subdue (older form using '식히다')
慰勞	위로	Comfort, Console
硫黃	유황	Sulfur
硝石	초석	Saltpeter
混合식히라고	혼합시키라고	To mix (older form using '식히다')
大富者	대부자	Very rich person, Plutocrat
이마우에	이마 위에	On the forehead (older spelling)
共犯者	공범자	Accomplice
記號	기호	Mark, Sign
印치시는	인치시는	Stamp, Impress (older spelling)
襤褸	남루	Rags, Tatters
너어주시는	넣어주시는	Put into, Instill (older spelling)
放浪者	방랑자	Wanderer, Vagabond
執行	집행	Execution; here likely intended as 'staff' or 'rod' based on original French ('bâton'), unusual Hanja choice.
探險家	탐험가	Explorer
燈臺	등대	Lighthouse, Lamp
絞死者	교사자	Hanged person
謀反者	모반자	Rebel, Conspirator
懺悔人	참회인	Confessor
되시는	되시는	Become, Be (honorific, older spelling)
天父	천부	Heavenly Father
逐出	축출	Expel, Drive out
식컴은	시커먼	Pitch black, Dark (older spelling)
怒氣	노기	Anger, Wrath
養父	양부	Adoptive father
-e 

---------------------------


잡지명	개벽 제52호
발행일	1924년 10월 01일
기사제목	惡禱(Le Litanies de Satan)
