Magazine Title: 삼천리 제3권 제11호
Publication Date: 1931년 11월 01일
Article Title: 滿蒙獨立運動과 朝鮮人 利害, 滿蒙의 特殊性과 우리들 (The Manchukuo-Mongolian Independence Movement and Korean Interests, The Specific Characteristics of Manchuria-Mongolia and Us)
Author: 金恒圭
Article Type: 논설 (Editorial/Opinion Piece)

The Manchukuo-Mongolian Independence Movement and Korean Interests, The Specific Characteristics of Manchuria-Mongolia and Us
						By Kim Hyŏnggyu

1
In my view, this is not a problem that permits easy judgment.
Currently, an extraordinarily tense atmosphere throughout the Far East is extremely unsettling our nerves. That is, looking at the general trend over the last day or two, the problem has been dragged all the way to the League of Nations.
The fiery debates between the Japanese representative Mr. Yoshizawa (芳澤) and the Chinese representative Mr. Shi Zhaoji (施肇基) in Geneva, and alongside that, the watchful waiting of powers such as France, Britain, and the USA—it seems likely that the subtle international bustle in the coming days will create some kind of catalyst.
Moreover, if we turn our gaze abroad, the world, driven by the economic collapse of nations without exception and political conflicts in Europe, is truly preparing for a Second Great War, is it not?

2
So, will the problem end here?
No. Of course, it goes without saying that the future trend (趨向) will be the focal point of the issue. (Omitted from original text)
These days, in the Three Eastern Provinces (東3省)! In Manchuria and Mongolia, lacking Zhang Xueliang (張學良) and Zhang Zuoxiang (張作相), independence movements or autonomy movements of some form are being vigorously propagated. Regarding this, Prime Minister Wakatsuki (若槻) has declared absolute non-interference.
It is said there are two factions (兩派) in these movements. One faction supports the Xuantong Deposed Emperor (宣統廢帝) and seeks an independence movement in the form of restoring imperial rule (帝政), while the other is a movement of a different form, rallying key figures (요인) from the currently existing provinces. I believe that given the current situation (정세), such independence or autonomy movements absolutely cannot succeed. (Omitted from original text)
Therefore, I think this topic is not something I can even speculate upon.
Why? To put it simply, the first reason (第 1因) is that Manchuria-Mongolia (滿蒙) itself utterly lacks the capability (역량) to achieve independence through its own real power (실력), and the constantly changing situation between Japan (日) and China (中) is unlikely to allow for such derivative consequences.
At a quick glance, it might seem like there is some degree of feasibility (實現性) with the tacit approval (묵인) <25> or implicit aid (暗然한 원조) of the mother country [likely referring to Japan] during this opportunity when the Japanese army has occupied the Three Eastern Provinces (東3省), but the times will not permit the application of 19th-century political operation methods.
In other words, just as the attitude Japan took towards its territories [likely referring to past actions like the annexation of Korea] and its realization cannot be successfully repeated today, the feasibility of that independence is extremely weak (박약하다).
Despite this, assuming Manchuria-Mongolia (滿蒙) becomes independent, what would become of the fate (운명) of the Koreans scattered throughout Manchuria-Mongolia (滿蒙)! The approximately 2 million Koreans? Would things get better than they are now?
Of course, one might see that the lives of Koreans, who were groaning while stuck in the middle, could improve somewhat economically compared to before, but since the cause for the realization of Manchu-Mongol independence would likely be established in the manner mentioned above? Eventually (필경), the feelings (감정) that Koreans and Chinese people have usually held towards each other will once again be reversed. Then, Koreans will be placed in an even more awkward situation than their previous state, caught in the Japan-China relationship. Therefore, not only concerning the political movements (정치운동) Koreans were active in there (彼地) in the past, but also in matters of livelihood (생활문제), I think incessant troubles (不絶한 풍파) will affect Korean life due to the intensification of animosity (감정격화) between Koreans and Chinese (朝中人). (All below omitted from original text) <26>
<24-26>

**Summary**

Kim Hyŏnggyu argues in late 1931 that the nascent Manchurian-Mongolian independence/autonomy movements lack the internal strength to succeed on their own. While acknowledging Japan's military presence creates an opportunity, he believes the international environment (League of Nations, watchful powers) prevents Japan from employing "19th-century" methods (implying direct annexation or easily controlled puppets) to ensure success. He is highly skeptical of the movement's viability. Furthermore, even if independence were achieved under these (implicitly Japanese-influenced) circumstances, he predicts it would worsen the situation for the 2 million Koreans in Manchuria. He foresees increased friction and animosity between Koreans and Chinese, making life more difficult than their current precarious position caught between Japan and China.

From the perspective of Korean colonial history, this article is interesting because it reveals a contemporary Korean intellectual's pessimistic assessment of the situation in Manchuria just after the Mukden Incident. It highlights the complex and vulnerable position of the large Korean minority caught amidst competing Chinese nationalism, Japanese expansionism, and nascent Manchurian separatism. The author's prediction of worsened Sino-Korean relations in a Japanese-influenced Manchukuo foreshadows the actual difficulties faced by Koreans there. Historians might find the author's skepticism about the independence movement's success (despite Japanese backing) and his focus on the negative consequences for Koreans particularly noteworthy, offering insight into Korean perceptions of Japanese imperialism and inter-ethnic relations in the region during this critical period.

**Named Entities**

滿蒙	만몽	Manmong (Manchuria-Mongolia)
朝鮮人	조선인	Koreans
金恒圭	김항규	Kim Hyŏnggyu
極東	극동	Far East
國際聯盟	국제연맹	League of Nations
제네바	제네바	Geneva
日本	일본	Japan
芳澤	요시자와	Yoshizawa
中國	중국	China
施肇基	스자오지	Shi Zhaoji
佛	불	France
英	영	Britain
米	미	USA
歐洲	구주	Europe
東3省	동3성	Three Eastern Provinces (Manchuria)
張學良	장쉐량	Zhang Xueliang
張作相	장쭤샹	Zhang Zuoxiang
蒙古	몽고	Mongolia
若槻 首相	와카쓰키 수상	Prime Minister Wakatsuki
宣統廢帝	선통폐제	Xuantong Deposed Emperor (Puyi)
日中	일중	Japan-China
朝鮮	조선	Korea
中國人	중국인	Chinese people
朝中人	조중인	Koreans and Chinese people

**Glossary**

추단	추단	Judgment, inference, conclusion
許할	허할	To permit, allow (older form of 허락할)
~ㅁ니다/~슴니다	~ㅂ니다/~습니다	Older formal declarative sentence endings
긴장된 공기	긴장된 공기	Tense atmosphere
吾人	오인	We, us (formal, literary)
잇슴니다	있습니다	Is/exists (older spelling of 있습니다)
一兩日來	일양일래	In the last day or two
끄을고 가지엇슴니다	끌고 가졌습니다	Dragged into, led to (older spelling/grammar)
잇서서	있어서	At, in (location); because of (older spelling of 있어서)
열화 가튼	열화 같은	Like fiery heat, fervent, intense
論戰	논전	Debate, war of words
때라서	따라서	Following, according to (older spelling of 따라서)
호시탐탐한	호시탐탐한	Watching vigilantly for an opportunity (like a tiger watching its prey)
未幾日	미기일	In a few days, before long
분주	분주	Busyness, bustle, being busy
動因	동인	Motive, cause, driving factor
지을 것 가치	지을 것 같이	As if it will build/create (older spelling of 같이)
업시	없이	Without (older spelling of 없이)
열국	열국	Various countries, the powers
파탄	파탄	Failure, collapse, bankruptcy
갈등	갈등	Conflict, discord
~에 의하야	~에 의하여	By means of, due to (older form of ~에 의하여)
제 2대전	제2차 대전	Second Great War (used prospectively here)
아니함니까	아니합니까	Is it not? (older spelling of 아니합니까)
긋치고	그치고	Stopping, ceasing (older spelling of 그치고)
趨向	추향	Trend, tendency
업는	없는	Non-existent, lacking (older spelling of 없는)
요지음	요즈음	Nowadays, recently (older spelling of 요즈음)
자치운동	자치 운동	Autonomy movement
盛히	성히	Actively, vigorously, prosperously
선전된다	선전된다	Is propagated, advertised, promoted
언명하엿다	언명하였다	Declared, stated clearly (older spelling of 언명하였다)
兩派	양파	Two factions, two groups
옹립하야	옹립하여	Enthroning, setting up (a king/ruler) (older form of 옹립하여)
帝政	제정	Imperial rule, monarchy
부활형태	부활 형태	Form of revival/restoration
요인	요인	Key figure, important person
규합한	규합한	Gathered, rallied, brought together
금일	금일	Today (formal/literary term)
정세	정세	Situation, state of affairs
밋는다	믿는다	To believe (older spelling of 믿는다)
추상	추상	Supposition, conjecture, speculation
안이라고	아니라고	(Saying) that it is not (older spelling of 아니라고)
웨	왜	Why (older spelling of 왜)
실력	실력	Real power, capability, competence
역량	역량	Capability, capacity, competence
제 1因	제1인	The first cause/reason
시시로	시시로	From time to time, constantly changing
파생적 관계	파생적 관계	Derivative relationship, resulting connection
가지게 할 것 갓지	가지게 할 것 같지	Seems unlikely to cause/have (older spelling of 같지)
얼든 생각하면	얼른 생각하면	Thinking quickly/briefly
묵인	묵인	Tacit approval, connivance
暗然한	암연한	Implicit, tacit, unspoken
원조	원조	Aid, assistance, support
幾分	기분	Some degree, somewhat
실현성	실현성	Feasibility, possibility of realization
잇슬 것 갓흐나	있을 것 같으나	It seems likely to exist/be, but... (older spelling)
재연 성공	재연 성공	Repeat success, successful reenactment
박약하다	박약하다	Feeble, weak, poor
其後에	기후에	After that (Sino-Korean term)
산재한	산재한	Scattered, dispersed
엇지 될 것인가고	어찌 될 것인가 하고	Wondering how it will turn out (older form)
나서질 것인가	나아질 것인가	Will it get better? (older spelling of 나아질 것인가)
끼워서	끼어서	Being stuck/sandwiched between (older spelling of 끼어서)
신음튼	신음하던	Groaning, moaning (older form/spelling of 신음하던)
다소간	다소간	Somewhat, to some extent
나흘 수 잇겟다고는	나을 수 있겠다고는	(Saying) that it could improve (older spelling)
잇겟스나	있겠으나	Although it may exist/be (older spelling of 있겠으나)
필경	필경	After all, eventually, in the end
가저오든	가져오던	Used to bring/have (older spelling of 가져오던)
감정	감정	Feeling, emotion, sentiment, animosity
