**Header Section:**
Magazine Title: 삼천리 제3권 제11호
Publication Date: 1931년 11월 01일
Article Title: (만국부인) 近代 『戀愛風景』 (Modern "Love Scenes" [Universal Womanhood])
Author: 秋赤陽 (Ch'u Ch'ŏgyang)
Article Type: 소설 (Novel/Fiction)

**Body Text Translation:**
Modern "Love Scenes"
						Ch'u Ch'ŏgyang

The city's late autumn night—
In the chilly autumn sky, only scattered stars twinkle—above the closed department store, only the faint neon sign shines brilliantly—though no one welcomes or praises it, it shines with all its heart.
Occasionally, clumsy footsteps pass over the cold asphalt; as autumn deepens, the sound of footsteps grows noticeably harsher and louder.
The time is past twelve o'clock—this is when people who work all day in factories or on the streets, unaware of the pain in their weary arms and legs, fall into a deep sleep, oblivious to the world. —From this time onward, crowds emerge from this corner and that, who, finding something so delightful, run wild, dance, and seek out women and alcohol as if possessed.
One can see groups of bourgeois (뿌르가 - *simjjul todŭn*, meaning sinewy or tough) types—some driven in taxis, others walking—soaked in alcohol, their repulsive faces like serpents, displaying ambition, arrogance, and conceit with boisterous laughter. Or, one sees the slick-faced sons of the bourgeois, utterly devoid of shame, roaming in packs.

From an alley beside a certain building emerges a young man, pale and thin beyond description, his hands thrust into his pockets, his body hunched. At first glance, he appeared unpleasant and sharp-tempered, but whether he possessed such traits before is unknown; now, he seems withered, his nerves extremely frail—possessing little more than shallow breaths and listlessly glittering eyes. Like an automaton moving according to GO and STOP signals, he seems to lack even the unifying composure of nerves.
He is a man named Sehyŏk, raised in Tanch'ŏn, Hamgyŏng Province. Although his family was not well-off, they managed to send him to university. However, contrary to his family's hopes, he could only lament that society was not one that would sustain him simply for trading on the name of a university graduate. Because of the expense of his education, the little farmland they had was sold off. After struggling desperately to make a living and failing, his family, unable to endure, left for Sŏgan-do (West Jiandao) last early winter, awaited by no one. Afterwards, he drifted through Peking (뻬낑), Changchun (장춘), Harbin (하루빈), and Vladivostok (우리지오스톡그 - Vladivostok), living as a vagrant, before turning back and returning to "Chosŏn" (Korea). He was temporarily staying with his uncle, who worked at a life insurance company in Seoul (서울).
At times, changing his mind, ashamed of the unwelcome meals and of idling about, he tried earnestly to find employment, putting in requests here and there—but no suitable job awaited him.
Failing that, he even considered doing some kind of labor—but his constitutionally weak and frail body was ill-suited for labor, and such thoughts were merely fleeting whims.
However, while wandering the streets seeking employment, he would sometimes stand silently watching the street laborers laying tram rails, and suddenly—perhaps spurred by some stimulation from their work, overcome with a sense of shame—he would duck into a side alley. Even so, that much conscience gave Sehyŏk<109> stimulation and impulse, but it too was merely momentary.
Then—one day—he happened to meet a teacher from his school days, spoke of finding a job, and made a firm request. Some time later, a letter arrived from that former teacher, informing him of a job opening. —Thus, Sehyŏk found employment at a certain XXX (government office). Perhaps he entered it heedlessly, engrossed in his job search—but the objections from his various friends were considerable. That place was… (Omitted in original)
And so—since he had already started—he vowed to his friends that he would work just for the month, submit his resignation, and surely leave.
Then, one day, while walking the night streets—wondering whether to enter a certain café to endure the chill or perhaps just have a cup of tea—he went inside.
As he entered—the symphony of American-born jazz, the coquettish, nasal voices and songs of women, the sounds of drunken chatter—stepping into this gloomy, stuffy place filled with low pressure, his eyes caught sight of a distinct color (a woman). She was a woman named Hyeran, with a thin face where, somewhere, boldness and intrigue seemed to slumber, a woman radiating the atmosphere of a northern port city. Having arrived from Harbin just a few days prior, she carried upon herself the popularity drawn from the customers.
Then—by chance—their eyes met. Suddenly, they gradually moved beyond deep impressions and affection, forming a connection and even falling in love. Since then—time flowed by, and as time passed, the thread of their love grew so thick that they seemingly couldn't bear to be apart even for a moment.
Then, the man named Sehyŏk, having been informed by friends that the place he worked was somewhere he shouldn't be—and having realized it himself—had declared he would work only that month and leave. But—after falling in love with the woman named Hyeran, thoughts of friends, reactionaries, class, or anything else had no room in his mind. Moreover, recently learning of Hyeran's debt (her redemption price), he had changed his mind, thinking he absolutely could not leave his job yet. He felt a desire to make her his own, even if it meant starving himself, by diligently saving his salary to pay off the five hundred won debt and redeem Hyeran. Thus, unknowingly, this young intellectual, steeped in egoism regarding society, suffered from unspoken fears and breathless stimulation, his position fraught with anxiety, always easily becoming reactionary and susceptible to XX (likely 'falling' or 'betrayal') like a curveball (카부적 - *kabujŏk*).
Also, perhaps due to all the anguish he suffered after meeting Hyeran—he contracted acute tuberculosis. Now, even while coughing up blood, he never forgot to visit Hyeran's café in the evenings.
And so, between the two of them, words like these began to flow.
Sehyŏk: "Darling—Ms. Hyeran—let us vow. If you betray me, or I betray you—let us kill each other then."
Hyeran: "Really? Aha, you still can't trust a man's heart?"
Sehyŏk: "What's there to trust or not trust?"—he coughed continuously, and Hyeran noticed blood on his handkerchief—
Hyeran: "Oh my? Why blood? What's wrong—"
Sehyŏk, finally stopping his cough, looked up at Hyeran with a grimacing, pained face—
Sehyŏk: "Hmph, why? For some time now, my chest has hurt, and I've felt breathless—I went to the hospital—they said it's acute tuberculosis. And lately, it's gotten worse, and blood comes out whenever I cough—" As if awaiting Hyeran's reply—he just watched her expression. Yet, even if their love had reached a point where they could risk life and death with passion, their love was nothing special. It is the love of the petit bourgeois: cheaply sold, mutually toying with each other's sexual desires, weeping together, and then dedicating a short life to a single woman.
Hyeran's face instantly changes color—her lips just quiver, and with a face full of intense fear and aversion, she stares blankly, chillingly, at him.<110>
At this moment, Sehyŏk happened to be pouring himself drinks, drinking repeatedly, displaying extreme nihilism, snorting with laughter, singing, and then, as if possessed, pouring down alcohol almost frantically.
Sehyŏk: "Whether we live a thousand years—or ten thousand years," he laughs a listless laugh, snorting as if mocking everything—
Sehyŏk: "Darling. The other day, when I said that once I paid off your debt—I asked you to become a factory girl, and you answered, didn't you? Let's live together for as long as we live." "But—my life won't be long either...." he trails off—then coughs, and on his flushed face, which hasn't yet subsided, two streams of weak tears flow. Then he drinks again—
Hyeran, who had been watching this spectacle as if stupefied, her face pale and showing venom—
"I refuse. Debt or whatever—and when did I ever say I'd become some dirty factory girl? Absolutely not—such words are insulting—"
She abruptly stood up, showing a cold face—and left the spot, a momentary chill hanging in the air. At this point, Sehyŏk, like a doll with startled, wide eyes, perhaps feeling the world spin, stared for a long while at her retreating figure—then, thinking something—perhaps realizing his own life would not extend much longer—he collapsed sobbing for a time—then simply ran out of the place.
They don't know what a factory girl is, or what kind of life they would have to endure; enveloped in temporary vanity and fantasy, they often sell out class, even selling out female workers—thus, they carelessly treat the working class like a plaything.
The night when these secrets were spoken passed, and Sehyŏk committed suicide. Hyeran, suddenly filled with fear and aversion towards the tuberculosis patient, once again welcomed men seeking alcohol and women...
Evening—In the distance, the factory siren signals the end of work, and the late autumn night in Seoul deepens, desolate.
October 14, 1931 <111>

**Summary**

This 1931 short story by Ch'u Ch'ŏgyang depicts the tragic romance between Sehyŏk, an unemployed university graduate suffering from tuberculosis, and Hyeran, a popular café waitress in Seoul burdened by debt. Sehyŏk, disillusioned and struggling after returning from wandering abroad, takes a morally ambiguous government job intending to save Hyeran. Their intense love culminates in a vow to kill each other upon betrayal, but when Hyeran learns of Sehyŏk's fatal illness and his fantasy of her becoming a factory worker after he pays her debt, she coldly rejects him, leading to his suicide. The story ends bleakly with Hyeran returning to her life and the city's indifference.

From a historical perspective, the story offers insights into the despair and limited opportunities faced by educated Koreans under Japanese colonial rule, highlighting unemployment, economic hardship (selling land for education, café debt), and the allure yet hollowness of modern urban life (cafés, jazz, neon lights). Sehyŏk's brief, compromised employment in a colonial office (XXX), his internal conflict regarding labor, his illness (TB was rampant), and Hyeran's pragmatic survival instinct within the service economy reflect the complex social dynamics and individual struggles of the era. The characters' naive or exploitative views of the working class ("factory girl") also touch upon class consciousness issues among intellectuals and urbanites during this period.

**Named Entities**

秋赤陽	추적양	Ch'u Ch'ŏgyang
함경도	함경도	Hamgyŏng Province
단천	단천	Tanch'ŏn
서간도	서간도	Sŏgan-do (West Jiandao)
뻬낑	뻬낑/베이징	Peking (Beijing)
장춘	장춘	Changchun
하루빈	하얼빈	Harbin
우리지오스톡그	블라디보스토크	Vladivostok
조선	조선	Chosŏn (Korea)
서울	서울	Seoul
셰혁	세혁	Sehyŏk
해란	해란	Hyeran
XXX (관청)	XXX (관청)	XXX (Government Office)

**Glossary**

느진	느진	Late (archaic form of 늦은)
한울	하늘	Sky (older spelling)
반작이고	반짝이고	Twinkling (older spelling)
데파-트	데파트	Department store (loanword)
빗치고	비치고	Shining (older spelling)
잇다	있다	To be, exist (older spelling)
각금 각금	가끔 가끔	Occasionally (older form)
깁허질수록	깊어질수록	As it deepens (older spelling)
발자최	발자취	Footsteps (older spelling)
긔우러 가니	기울어 가니	As it tilts past (older spelling)
결니는	결리는	Aching, stiff (older spelling)
아품	아픔	Pain (older spelling)
차저다니는	찾아다니는	Seeking out, looking for (older spelling)
구텡이	구덩이/구석	Pit / Corner (here likely means corner/haunt)
뻬여저	빠져/삐져	Falling out / Emerging from (older form, context suggests 'emerging')
뿌르가	부르주아	Bourgeois (loanword, slang/colloquial usage)
심쭐 도든	심줄 돋은	Veins standing out, sinewy, tough (descriptive phrase)
업는	없는	Without, lacking (older spelling)
쏘단이는	쏘다니는	Roaming around (older spelling)
삘딍	빌딩	Building (loanword)
웅승그리고	웅숭그리고	Huddled, hunched (older spelling)
선박게	선밖에	Outside the line / Beyond description (idiomatic usage here likely means 'beyond description' or extremely)
암상스럽고	앙상스럽고	Gaunt, emaciated / Ill-natured (can mean both, context suggests unpleasant/ill-natured)
성깔잇게	성깔 있게	Having a sharp temper (older spelling)
섬깔	성깔	Temper (older spelling)
잇섯는지는	있었는지는	Whether there was (older spelling)
보히고	보이고	Appearing, seeming (older spelling)
갓고	같고	Being like (older spelling)
넉넉지	넉넉지	Sufficient, enough (older form)
대학이라는 일홈	대학이라는 이름	The name 'university' (older spelling of 이름)
팔어 먹고	팔아먹고	Selling off (older spelling)
살어볼랴고	살아보려고	Trying to live (older spelling)
백여나지	배겨나지	Unable to endure (older spelling)
긔대리지	기다리지	Waiting for (older spelling)
드러오게	들어오게	To come in (older spelling)
언처서	얹혀서	Living off someone, imposing on (older spelling)
류숙하고	유숙하고	Lodging, staying temporarily
잇섯다	있었다	Was/were (older spelling)
때때로히	때때로	Sometimes, occasionally (older form)
북그러워서	부끄러워서	Being ashamed (older spelling)
직할랴고	취직하려고	Trying to get a job (older spelling/hanja usage)
느엇스나	넣었으나	Put in (requests), but (older spelling)
어듸	어디	Where (older spelling)
맛당한	마땅한	Suitable, proper (older spelling)
안엇다	않았다	Did not (older spelling)
할야고	하려고	Intending to do (older spelling)
알마즐이도	알맞을 리도	No way it would fit/suit (older spelling/form)
업섯고	없었고	Did not have / Was not (older spelling)
스처질	스쳐질	To brush past, be fleeting (older spelling)
것다가	걷다가	While walking (older spelling)
놋는	놓는	Laying, placing (older spelling)
엇더한	어떠한	Some kind of (older spelling)
바더	받아	Receiving (older spelling)
붓그러운	부끄러운	Shameful (older spelling)
엽골목	옆골목	Side alley
다름이엿다	따름이었다	Was only, was merely (older spelling)
그리자	그러자	Then, thereupon (older spelling)
단이던	다니던	Attended (older spelling)
노앗든	놓았던	Had placed/made (a request) (older spelling)
알니우는	알리우는/알리는	Informing (older spelling)
드러갓는지는	들어갔는지는	Whether one entered (older spelling)
안이엿다	아니었다	Was not (older spelling)
긔왕	기왕	Already, since it has come to this (older spelling)
단이고	다니고	Attending/working and then (older spelling)
나오겟다고	나오겠다고	Saying one would leave (older spelling)
맹세하여 노앗다	맹세하여 놓았다	Had vowed (older spelling)
것다가	걷다가	While walking (older spelling)
치움	추움	Coldness (older spelling)
견딀까	견딜까	Whether to endure (older spelling)
마시러 드러갓다	마시러 들어갔다	Went in to drink (older spelling)
짜쓰	재즈	Jazz (loanword)
녀자	여자	Woman (older spelling)
잠자ㅅ고	잠자고	Sleeping (older spelling)
긔분	기분	Feeling, atmosphere (older spelling)
몃칠	며칠	A few days (older spelling)
합첫스며	합쳤으며	Joined, met (older spelling)
깁흔	깊은	Deep (older spelling)
긔연	기연	A fateful link, connection (used in context of relationships)
매저	맺어	Tying, forming (a relationship) (older spelling)
흘너갓스며	흘러갔으며	Flowed past (older spelling)
흘를스록	흐를수록	As it flows (older spelling)
사나희	사나이	Man (older spelling)
아르켜준	알려준	Told, informed (older spelling)
깨닷고	깨닫고	Realizing (older spelling)
염두	염두	Mind, consideration
업섯스며	없었으며	Did not have (older spelling)
요사히	요사이	Recently, these days (older spelling)
부채 (팔인 갑)	부채 (팔린 값)	Debt (price to be redeemed/bought off) (older spelling of 값)
굼는	굶는	Starving (older spelling)
갑고	갚고	Paying back (debt) (older spelling)
십흔	싶은	Wanting to (older spelling)
밧고	받고	Receiving (older spelling)
카부적	커브적/기복적인?	Like a curve; likely implies instability, volatility, being prone to sudden turns/changes (loanword influence?)
페병	폐병	Tuberculosis (lung disease)
걸이여	걸리어	Contracting (an illness) (older spelling)
차즐	찾을	To look for, visit (older spelling)
이저본	잊어본	Forgotten (older spelling)
업섯다	없었다	Did not exist (older spelling)
흘너나오기	흘러나오기	To flow out, emerge (older spelling)
밋지를	믿지를	To trust (emphasized form) (older spelling)
밋고	믿고	Trusting (older spelling)
엇재	어째	Why, how come (older spelling)
끗치고	끝내고	Finishing (older spelling)
압흐고	아프고	Hurting (older spelling)
맥히고	막히고	Being blocked, stuffy (older spelling)
가 보앗드러니	가 보았더니	When I went and saw (older spelling)
랍듸다	-라고 합니다	They say it is... (reported speech, older dialectal/colloquial form)
벗석	부쩍	Suddenly, markedly (older spelling/form)
마닥	마다	Each time (older spelling)
가치	같이	Like, as (older spelling)
견울만한	견줄만한	Comparable to, capable of risking (older spelling)
이루럿다	이르렀다	Reached (older spelling)
하드라도	하더라도	Even if (older spelling)
갑싸게	값싸게	Cheaply (older spelling)
팔이고	팔리고	Being sold (older spelling)
위동	유동/희롱?	Movement / Plaything (Unclear, possibly sexual movement/play or toying)
롱락하며	농락하며	Toying with, manipulating
빗	빛	Color (older spelling)
쫑긋쫑긋하며	쫑긋쫑긋하며	Quivering, twitching (lips)
시른	싫은	Hateful, unwilling (older spelling)
처다본다	쳐다본다	Stares up at (older spelling)
작고	자꾸	Repeatedly, continuously (older spelling)
허무를 띄인 득히	허무를 띤 듯이	As if displaying nihilism/emptiness (older spelling)
코우슴	코웃음	Snort, scoff (older spelling)
밋칠	미칠	To go crazy (older spelling)
갑허	갚아	Paying back (older spelling)
노면	놓으면	If one places/pays (here, context is paying debt) (older spelling)
녀직공	여직공	Female factory worker
사러봅시다	살아봅시다	Let's live (older spelling)
목슴	목숨	Life (older spelling)
끗지며	끝맺으며	Concluding, finishing (words) (older spelling)
불거진	붉어진	Reddened, flushed
삭지 아는	삭지 않은	Not subsided, not faded (older spelling)
흘닐	흘릴	To shed (tears) (older spelling)
잇든	있던	Who was (older spelling)
새파래진	새파래진	Turned deathly pale
독긔	독기	Venom, malice (older spelling)
실여요	싫어요	I don't want to / I refuse (older spelling)
몸갑시고	몸값이고	It's the price for my body and... (older spelling)
언제 런	언제 그런	When did (I say) such a thing (older spelling/form)
이러스며	일어서며	Standing up (older spelling)
보히며	보이며	Showing (older spelling)
사러지는	사라지는	Disappearing (older spelling)
뒤모양	뒷모양	Figure from behind
엇더한	어떠한	What kind of (older spelling)
작난감가치	장난감같이	Like a toy (older spelling)
역여버린다	여겨버린다	Considers it as, treats it as (older spelling)
페ㅅ병	폐병	Tuberculosis (older spelling)
실증	싫증	Aversion, disgust
