Magazine Title	삼천리 제7권 제7호
Publication Date	1935년 08월 01일
Article Title	野談-金緻와 水姓人 (Folktale - Kim Ch'i and the Water-Surnamed Person)
Author	愼麟範 (Shin Rin-bŏm)
Article Type	잡저 (Miscellaneous Writing)

Folktale - Kim Ch'i and the Water-Surnamed Person
						Shin Rin-bŏm

Kim Ch'i (金緻) - he was the father of Paekkok (栢谷) Kim Tŭk-sin (金得臣), who was famous in Chosŏn for writing excellent classical Chinese poetry and also famous for being muddle-headed. By reading the Four Pillars of Destiny (四柱), he unerringly divined future fortunes, good and bad, earning the name "ghost" (귀신) in his time. When he had his son Paekkok, he calculated his Four Pillars and found that his lifespan would exceed seventy years, and he was undoubtedly fated to become a famous person (名人) whose name would fill Chosŏn. Thus, he believed deeply in his son and loved him greatly. However, when Paekkok turned seven, he caught an epidemic fever and died. His father, wondering if he had misread his son's fate, recalculated it countless times, but the original reading was unmistakably correct. He did not bury his son's corpse but kept it in the closet of the master bedroom for a week, and on the eighth day, the boy suddenly revived. Kim Ch'i became even more convinced of the accuracy of his fortune-telling. However, the revived Kim Paekkok's mind was different than before; though his literary talent remained, his muddle-headedness regarding worldly matters made him akin to an idiot (천치), leading to many humorous anecdotes about him.

When Kim Ch'i was young, he went to China as a document official (書狀官) and met a famous physiognomist. He asked about his lifelong fortunes, and the physiognomist advised him, "If you meet a person with a water surname (水姓人), they will naturally help you out of difficult situations, and your future path will be good. Therefore, whenever you face hardship and are at your wit's end, if you meet a water-surnamed person, do not treat them with contempt." Receiving this advice, Kim Ch'i kept it deep within his heart and returned to Chosŏn. His official career path opened up smoothly as if sailing with a fair wind, and his future seemed boundlessly bright. This was because, at that time, the Northern faction (北人) held power and dominated the government, and Kim Ch'i, being a Northerner himself, belonged to the same faction (동당) as those in power. However, the actions of the Northern faction became too outrageous, and King Kwanghaegun's (光海主) misrule (실덕) became too severe, so he foresaw that before long, a great conspiracy to overthrow the state would arise from the opposing faction (일변인). He knew that if such a great conspiracy occurred, he too would not escape the fallout. Therefore, after reaching the rank of high official (堂上), he stopped attending court, stayed secluded at home, pondering how to escape this calamity and secure a position in the new order. He ceased all comings and goings (폐출입) and refused to meet even those who came to visit, deeply troubled.

Indeed, a conspiracy was brewing. Figures like Kim Yu (金流) and Yi Kwi (李貴) were plotting to enthrone Prince Nŭngyang (綾陽君), overthrow the government, and expel Kwanghae.<244> The plot was nearly ripe. If this conspiracy succeeded, it went without saying that the powerful figures of Kwanghae's reign would be wiped out, and even Kim Ch'i would find it difficult to escape the slaughter (살육). Thus, the facts proved that Kim Ch'i's foresight (선견지명) had been quicker than anyone's. However, Kim Ch'i had no clever plan (묘방). He considered aligning himself immediately with the Restoration ministers, but firstly, he didn't know who was involved, and secondly, even if he did, they were unlikely to accept him. Thus, Kim Ch'i was extremely anxious. As the Western faction (西人) group planning the Restoration began their preparations, they realized they were on a critical knife's edge: "Succeed and become king, fail and become traitors" (성즉 군왕이오 패즉 역적). With everyone's hearts pounding like birds perched on a string, one day, several gathered and had this discussion:

"Since Kim Ch'i is good at reading fortunes, let's have him read our Four Pillars to see if we will succeed and our families prosper."

Following this discussion, Sim Ki-wŏn (沈器遠) took down the Four Pillars of several people and sought out Kim Ch'i. At Kim Ch'i's house, Sim Ki-wŏn sent word that he had come to see him. Kim Ch'i refused, saying he was ill and could not receive guests (손임). This wasn't because Kim Ch'i was truly sick, but because he was avoiding everyone. Sim Ki-wŏn had no choice but to turn back. After sending Sim Ki-wŏn away, Kim Ch'i reconsidered: Sim (沈) is a water surname (水姓). Ah! This is the person who will save me! He quickly sent a servant to call him back. Sim Ki-wŏn returned and presented the written Four Pillars of several people, requesting a reading. Kim Ch'i looked at one person's fate, a second person's fate, and then the fates of several people; all were superior fortunes indicating extreme wealth and nobility. Kim Ch'i praised the fortunes profusely, his mouth practically dry. Sim Ki-wŏn knew their fortunes were good, but what truly mattered was the fate of Prince Nŭngyang, who would become the king (인군). He presented Prince Nŭngyang's Four Pillars and asked for a reading. Kim Ch'i took it, thought for a moment, and then said, "This is the fate of a king; I cannot simply read it."

He stood up, redonned his official attire (紗帽冠帶), thought again for a long while, then suddenly grasped Sim Ki-wŏn's hand and pleaded:

"I understand that you elders (로형) are undertaking a great task. If I reveal this now, the plan will fail. You elders will not all perish. I will help you elders by keeping the secret, so please forgive me after you succeed."

Sim Ki-wŏn thought: If the plan succeeds, Kim Ch'i is someone to be killed anyway. However, without his quick consent (쾌락), if the plan were revealed, everything would fail. Sim Ki-wŏn readily agreed. The two men newly forged a bond of life and death (동사생지교). Yesterday they were political enemies (정적); now they shared a life-and-death bond. The plan proceeded smoothly, King Injo carried out the Restoration (反正), and those whose fortunes were read at that time all became meritorious subjects (功臣). Kim Ch'i, despite being one of the many (뭇) Northerners, uniquely survived the downfall and enjoyed prosperity. The prediction from his youth that a water-surnamed person would help him proved true after all.<245>

**Summary**

The article recounts a folktale about Kim Ch'i, father of the famous but eccentric poet Kim Tŭk-sin (Paekkok). Kim Ch'i was renowned for his accurate fortune-telling based on the Four Pillars of Destiny. A prophecy received in China stated a "water-surnamed person" would save him in times of trouble. During the political turmoil leading to the overthrow of King Kwanghaegun, Kim Ch'i, a member of the ruling but doomed Northern faction, feared for his life. Sim Ki-wŏn (沈器遠), a key figure in the opposing Western faction's coup plot (the Injo Restoration), sought Kim Ch'i's divination skills. Recognizing Sim's surname as water-related (沈), Kim Ch'i correctly predicted the coup's success and Nŭngyanggun's ascension to the throne (King Injo). He promised silence in exchange for his life, thus surviving the purge of his faction thanks to the "water-surnamed person," Sim Ki-wŏn, fulfilling the prophecy.

From a colonial history perspective, this retelling of a traditional Chosŏn Dynasty anecdote in a 1930s magazine is interesting. It reflects a continued interest in pre-colonial Korean history, figures, and folklore, potentially serving as a subtle form of cultural preservation or national consciousness during a period of Japanese rule. Historians might find value in how historical events like the Injo Restoration and figures like Kim Ch'i (often remembered more for his son) are presented, blending historical fact with folklore and divination, possibly reflecting contemporary anxieties or desires for guidance and salvation during uncertain times. The focus on political factions and survival might have resonated with readers navigating the complexities of colonial society.

**Named Entities**

金緻	김치	Kim Ch'i
栢谷	백곡	Paekkok
金得臣	김득신	Kim Tŭk-sin
조선	조선	Chosŏn
중국	중국	China
北人	북인	Pugin (Northern faction)
光海主	광해주	Kwanghaegun
金流	김류	Kim Yu
李貴	이귀	Yi Kwi
綾陽君	능양군	Nŭngyanggun
西人	서인	Sŏin (Western faction)
沈器遠	심기원	Sim Ki-wŏn
인조	인조	Injo

**Glossary**

野談	야담	Folktale, anecdote
水姓人	수성인	Person with a water-related surname (e.g., 沈, 洪, 池)
사주	사주	Four Pillars of Destiny (a form of divination based on birth date/time)
업서	없어	Without (older spelling of 없어)
귀신	귀신	Ghost; spirit; genius (in the sense of uncanny ability)
밋고	믿고	Believing (older spelling of 믿고)
하얏다	하였다	Did (older spelling of 하였다)
염병	염병	Epidemic disease; typhoid fever (can also be used as a curse word)
뭇지안코	묻지 않고	Without burying (older spelling/phrasing)
너허	넣어	Putting in (older spelling of 넣어)
깨여낫다	깨어났다	Woke up; revived (older spelling of 깨어났다)
천치	천치	Idiot, simpleton, fool
서장관	서장관	Document Official (a rank in diplomatic missions)
상쟁이	상쟁이	Physiognomist; fortune-teller (colloquial/older term)
맛나	만나	Meeting (older spelling of 만나)
괄시하지	괄시하지	Do not disdain; do not treat with contempt
색이고	새기고	Engraving; keeping in mind (older spelling of 새기고)
환로	환로	Official career path
틔이고	트이고	Being opened; being cleared (older spelling of 트이고)
북인	북인	Northern faction (Joseon Dynasty political faction)
득세	득세	Gaining power; rising to power
동당	동당	Same faction; same party
망측하고	망측하고	Outrageous; absurd; deplorable
실덕	실덕	Loss of virtue; misrule
불구에	불구에	Before long; soon
음모	음모	Conspiracy; plot
일변인	일변인	One side; one faction (here referring to the opposing Western faction)
일허날	일어날	To happen; to arise (older spelling of 일어날)
짐작하얏다	짐작하였다	Guessed; anticipated; surmised (older spelling)
당상	당상	High-ranking official (above 3rd senior rank)
안저서	앉아서	Sitting (older spelling of 앉아서)
어떠케	어떻게	How (older spelling of 어떻게)
폐출입	폐출입	Ceasing coming and going; living in seclusion
엉키인다	엉킨다	Becomes entangled; develops (a plot) (older spelling of 엉킨다)
쪼츨	쫓을	To chase out; to expel (older spelling of 쫓을)
업슬	없을	Will not exist (older spelling of 없을)
살육	살육	Massacre; slaughter
선견지명	선견지명	Foresight
묘방	묘방	Clever plan; good idea; skillful method
업따	없다	There isn't (older spelling of 없다)
부합하려하나	부합하려 하나	Trying to join/align with, but... (older grammar)
첫재	첫째	Firstly (older spelling of 첫째)
부칠	붙일	To attach; to join; to affiliate (older spelling of 붙일)
태우든	태우던	Was burning (idiomatic for worrying intensely) (older spelling)
서인	서인	Western faction (Joseon Dynasty political faction)
성즉 군왕이오 패즉 역적	성즉 군왕이오 패즉 역적	Succeed and become king, fail and become a traitor (proverbial phrase)
안즌	앉은	Sitting (older spelling of 앉은)
끄데	끝에	At the end (older spelling of 끝에)
하로는	하루는	One day (older spelling of 하루는)
의론	의론	Discussion; deliberation
보아오자고	보아오자고	Let's go have (them) read (older spelling/grammar)
차젓다	찾았다	Visited; sought (older spelling of 찾았다)
보이러	뵈러	To see; to meet (humble form, older spelling of 뵈러)
왓다고	왔다고	(He) came (reported speech, older spelling of 왔다고)
전갈	전갈	Message; word
손임	손님	Guest (older spelling of 손님)
못보겟다고	못 보겠다고	Said (he) cannot see (older spelling/phrasing)
따는	따돌리는	Avoiding; shunning (likely older spelling/dialect for 따돌리는)
돌우	도로	Back; again (older spelling of 도로)
불럿다	불렀다	Called (older spelling of 불렀다)
내노코	내놓고	Presenting; taking out (older spelling of 내놓고)
업시	없이	Without (older spelling of 없이)
조흘	좋을	Good (adjectival form, older spelling of 좋을)
인군	임금	King (older term)
되실	되실	Who will become (honorific, older spelling)
바다가지고	받아 가지고	Receiving (older spelling/phrasing)
업소	없소	Cannot (polite speech level, older ending -오)
일허나	일어나	Standing up (older spelling of 일어나)
사모관대	사모관대	Official's attire (silk hat and belt)
로형	노형	Elder brother (polite term of address for male peer or senior)
발설	발설	Divulging; leaking (a secret)
직히고	지키고	Keeping (a secret) (older spelling of 지키고)
잇슬 터이니	있을 터이니	As I will be...; Since I will be... (older spelling/grammar)
해주	해 주오	Please do for me (older polite request form, -오 ending)
쾌락	쾌락	Ready consent; quick acceptance (older meaning, not 'pleasure')
매젓다	맺었다	Formed; tied (a bond) (older spelling of 맺었다)
정적	정적	Political enemy
동사생지교	동사생지교	A bond/friendship through life and death together
되여	되어	Becoming (older spelling of 되어)
반정	반정	Restoration (specifically, a coup restoring a monarch or rightful order, here referring to the Injo Restoration)
공신	공신	Meritorious subject (often rewarded after a coup or major event)
뭇	뭇	Many; all; group of
누리엿다	누리었다	Enjoyed (older spelling of 누리었다)
도아준다는	도와준다는	Saying (he) would help (older spelling/phrasing)
맛고 말앗다	맞고 말았다	Turned out to be correct; proved true (older spelling/grammar)


---------------------------


잡지명	삼천리 제7권 제7호
발행일	1935년 08월 01일
기사제목	野談-金緻와 水姓人
필자	愼麟範
기사형태	잡저

野談-金緻와 水姓人
						愼麟範
