Magazine Title: 개벽 제24호
Publication Date: 1922년 06월 01일
Article Title: 舞蹈란 如何한 것인가? (What is Dance?)
Author: 金東漢
Article Type: 잡저 (Essay/Miscellaneous Writing)

What is Dance?
						Kim Tong-han (金東漢)

1. The Origin of Dance. Western dance began around the 19th century when Mr. Pulling (풀닁氏) of Rome first started it. From childhood, he had a great interest in music, and while practicing it, he naturally and unconsciously began to move his hands and feet (手舞足蹈). Setting up a large mirror (軆鏡, Looking glass), he gradually guided his own posture towards a state of skillfulness. People around the world gradually imitating and improving upon this is precisely the dance of today.
Therefore, the mother of dance can be said to be music. Dance is precisely expressing one's feelings through the hands, feet, or body according to a piece of music.

2. Korean Dance and Western Dance. I consider it questionable to directly translate 'dance' (舞蹈) into the Korean vernacular term 'ch'um' (춤). While it's not that Korean ch'um cannot be compared to Western dance, I think its level has not yet reached that point. Why? Because Korean ch'um, from ancient times to the present, has been esteemed in the entertainment world (花柳界), where performers respond to the requests of personages of higher status than themselves to receive remuneration. Gentlemen and ladies merely use this to derive pleasure, recognizing personally performing it as a kind of (*) base act. Thus, its value, without needing many words, can be inferred.

3. Types of Dance. Dance (딴쓰) can be broadly divided into two types: Stage Dance and Social Dance. Stage Dance is performed only on stage, and its movements and sequences are complex, requiring special skill, such that one might succeed only after two or three years. Social Dance does not demand such a long period; anyone can learn over 70 types, including the "One-step" (완스덧부), "Foxtrot" (폭스트르트), and "Waltz" (왈스), in about five or six months and be able to frequent dance gatherings in any country in the world. However, knowing only the dance steps is not enough; one will be welcomed only after being well-versed in the etiquette and manners of the dance hall. Currently, in the West, schools at the middle school level teach and encourage social dance as a complete subject, often holding dance parties for male and female students under particularly strict supervision. Social Dance is when gentlemen and ladies give pleasure to guests through dance at clubs (俱*部), concerts, hotels, banquets, or when entertaining guests at home.

Dance and Women's Rights. In the dance hall, women's rights are expanded. Men must absolutely respect etiquette towards women. If a man commits an impropriety or behaves improperly towards a woman, he will be expelled, so one maintains an absolutely careful demeanor here. Therefore, those of poor conduct are not permitted entry even if they possess dancing skills. From this, one can know the sacredness of social interaction between men and women in the dance hall. Therefore, it is acceptable to call the dance hall a "Model Venue for Male-Female Social Interaction," but thinking of it as a theater (演劇場) is an extreme misunderstanding.
Individuals interested in dance say there is nothing better, as it is effective for physical education (軆育上) and, as entertainment, suits the times.

To the men and women of Korea, who are in our transitional period (過渡時期)! To the New Women (新女子) who advocate for women's liberation and equal rights for men and women! Our encouragement of dance today cannot but be seen as one action responding to the demands of this era. (End) <67>

**Summary**

This 1922 article by Kim Tong-han introduces Western dance to a Korean audience. It posits a (likely inaccurate) origin story involving a "Mr. Pulling" in Rome linking dance to music. Kim contrasts Western dance, presented as a sophisticated social skill learned by respectable classes and involving etiquette and expanded rights for women, with traditional Korean dance ('ch'um'), which he dismisses as mere entertainment performed by lower-status individuals (kisaeng) for the pleasure of elites. He categorizes Western dance into stage and social forms, highlighting the relative ease of learning social dances like the Foxtrot and Waltz, and their integration into Western education and social life. The author concludes by urging Koreans, particularly "New Women," to embrace dance as beneficial for health, modern recreation, and as a necessary step in Korea's "transitional period" towards modernity and gender equality.

For historians, the article is interesting as it exemplifies the early 20th-century Korean intellectual engagement with Western culture, specifically social dance, framing it as 'modern' and desirable in contrast to 'backward' Korean traditions. It reflects the discourse surrounding the "New Woman" and aspirations for social reform, including gender relations, tying the adoption of Western practices like social dancing to national progress and enlightenment during the colonial era's "transitional period." The explicit comparison and valuation reveal contemporary attitudes towards tradition and modernity.

**Named Entities**

金東漢	김동한	Kim Tong-han
羅馬	로마	Rome
풀닁氏	풀닁씨	Mr. Pulling
朝鮮	조선	Korea (Chosŏn)
西洋	서양	The West

**Glossary**

舞蹈	무도	Dance (Sino-Korean term)
如何	여하	What kind of; how
由來	유래	Origin; history
始作하얏는대	시작하였는데	Started (older spelling/conjugation of 시작하였는데)
音樂	음악	Music
趣味	취미	Interest; hobby
手舞足蹈	수무족도	Moving hands and dancing feet (idiomatic expression for dancing spontaneously from joy/excitement)
不覺	불각	Unconsciously; without realizing
軆鏡	체경	Full-length mirror (older term/Hanja)
態度	태도	Attitude; posture
巧妙	교묘	Skillful; clever
導化	도화	To guide; lead towards
模倣	모방	Imitation
改良	개량	Improvement
即	즉	Namely; that is (often written as 곳 in the text, another older form)
樂曲	악곡	Musical piece
感興	감흥	Feeling; inspiration; sentiment
身軆	신체	Body (older spelling/Hanja of 신체)
發表	발표	To express; announce
朝鮮俗語	조선속어	Korean vernacular term
춤	춤	Dance (native Korean word)
直譯	직역	Direct translation
對位되지 안님은 아니나	대위되지 않음은 아니나	While it's not that it cannot be compared (older grammar/spelling)
程度	정도	Degree; level
未及	미급	Has not yet reached
何故	하고	Why; for what reason
自古 及 今	자고 급 금	From ancient times to the present
花柳界	화류계	"Flower and willow world"; the world of kisaeng/courtesans/entertainment district
崇尙	숭상	To esteem; revere
演舞者	연무자	Performer; dancer
地位	지위	Status; position
人士	인사	Personage; prominent figure
請求	청구	Request; demand
報酬	보수	Remuneration; reward
紳士淑女	신사숙녀	Gentlemen and ladies
利用	이용	To use; utilize
快感	쾌감	Pleasure; pleasant feeling
親行	친행	To do oneself; perform personally
卑劣	비렬	Base; vulgar; mean (older spelling of 비열)
價値	가치	Value; worth (older spelling/Hanja of 가치)
多言을 不要하고	다언을 불요하고	Without needing many words
可推	가추	Can infer; inferable
種類	종류	Type; kind
딴쓰	딴스	Dance (loanword, likely from English 'dance')
大分	대분	Broadly divide
舞臺舞蹈	무대무도	Stage dance
社交舞蹈	사교무도	Social dance
興行	흥행	Performance; show (for profit)
動作	동작	Movement; action
順序	순서	Sequence; order
複雜	복잡	Complex; complicated
特別	특별	Special
技能	기능	Skill; technique
時日	시일	Time; days
成功	성공	Success
長久	장구	Long time
歲月	세월	Time; years
要求치 안이함으로	요구치 아니함으로	As it does not require (older negative conjugation)
朔間	삭간	Months (span of)
學得	학득	To learn and acquire
何國	하국	Any country
勿論	물론	Regardless of; not to mention
舞蹈會	무도회	Dance party; ball
出入	출입	To frequent; enter and exit
充分	충분	Sufficient; enough
舞蹈場裡	무도장리	Inside the dance hall (裡 = 'inside')
禮儀作法	예의작법	Etiquette; manners
正統	정통	Well-versed; proficient; orthodox
歡迎	환영	Welcome
밧을 것이라	받을 것이라	Will receive (older spelling of 받을)
現今	현금	Currently; nowadays
中學程度	중학정도	Middle school level
學校	학교	School
完定	완정	Complete; established
科目	과목	Subject (in school)
敎授	교수	Teaching; instruction
獎勵	장려	Encouragement; promotion
嚴肅	엄숙	Strict; solemn
指揮下	지휘하	Under the direction/supervision of
男女學生	남녀학생	Male and female students
開催	개최	To hold (an event)
俱*部	클럽	Club (likely intended word, asterisk indicates issue in original text)
宴會	연회	Banquet; party
待客	대객	Entertaining guests
女權	여권	Women's rights
擴張	확장	Expansion
絶對	절대	Absolute(ly)
尊重	존중	Respect
不可	불가	Not allowed; impossible; must not
萬一	만일	If by chance; should
實例	실례	Impropriety; breach of etiquette (may also mean 'actual example', but context suggests impropriety)
品行	품행	Conduct; behavior
不正	부정	Improper; dishonest
