Magazine Title: 동광 제34호
Publication Date: 1932년 06월 02일
Article Title: 島山 安昌浩 上海에서 被促 (Tosan An Ch'angho Arrested in Shanghai)
Author: N/A
Article Type: 소식 (News Report/Dispatch)

**Body Text Translation**

Tosan An Ch'angho Arrested in Shanghai

An Ch'angho, pen name Tosan, was born in P'yŏngyang, but due to county boundary revisions, is now [registered in] Kangsŏ County (江西郡), Tongjin-myŏn (東津面), Koil-ri (古逸里). Born in the year Muin (?) [1878]. During the time of the Independence Club (독립협회), as a youth of 17-18 years, he became famous for political speeches in places like P'yŏngyang and Kyŏngsŏng (京城). When the Independence Club was dissolved, he took his wife, Mrs. Yi (李氏), and went to America (渡米).

In America, together with Yi Kang (李剛), Ch'oe Chŏngik (崔正益), Im Ch'ijŏng (林蚩正) (deceased), and others, he organized the Mutual Assistance Association (共立協會) and published the Kongnip Sinbo (共立新報). Subsequently, it was renamed the Korean National Association (國民會), published the Sinhan Minbo (新韓民報), and established branches in various places including America (美), Mexico (墨), Hawaii (布哇), and Siberia (西伯利亞).

When the Eulsa Protectorate Treaty (乙巳新條約) was concluded [1905], he returned to Korea (歸國) and, together with Chŏn Tŏkki (田德基), Yi Tongnyŏng (李東寧), Yi Tonghwi (李東輝), Yi Sŭnghun (李昇薰), Kim Ku (金龜, now 金九), An T'aeguk (安泰國), and others, organized the political secret society Sinminhoe (新民會) and also organized the student training group Ch'ŏngnyŏn Haguhoe (靑年學友會 - Young Students' Fellowship Association). Yun Ch'iho (尹致昊) was the founding chairman, and Ch'oe Kwangok (崔光玉), Ch'oe Namsŏn (崔南善), etc., were key executives.

Meanwhile, he established Taesŏng School (大成學校) in P'yŏngyang, had Yi Sŭnghun establish a porcelain company (磁器會社) in Masan-dong as its representative, and had An T'aeguk establish T'aegŭk Sŏgwan (太極書舘 - T'aegŭk Bookstore) in Kyŏngsŏng and P'yŏngyang as its representative. This was one aspect expressing his four major principles (4大綱領): politics, education, industry, and youth training.

In the Kyŏngsul year [1910], he escaped Chosŏn (朝鮮) again, went to America, became president of the Korean National Association (國民會長), and then came to Shanghai (上海) in the Kimi year [1919], where he has remained until now. He visited America once years ago (年前).

He is tall and slender, currently emaciated (瘦瘠), has had all his teeth (齒牙) removed, has heart disease, and also a cough (咳嗽). His voice (音聲) is clear and strong; his complexion (안색) was fair when young, but is now dark, and his eyes are bright. 6 AM wake-up (起床), 12 PM bedtime (취침); visiting and receiving visitors constituted most of his recent daily routine (日課). Recently, he organized a consumer cooperative (소비조합) among the Korean residents (在留民) in Shanghai.

Currently, he is detained at the Japanese Consulate (日本領事舘) in Shanghai.

The photo shows An Ch'angho and his second daughter (when he last went to America in 1925).

**Summary**

This 1932 news report announces the arrest of the prominent Korean independence activist An Ch'angho (pen name Tosan) in Shanghai by Japanese authorities. It provides a biographical sketch, outlining his origins, early involvement with the Independence Club, emigration to the US, founding of the Kongnip Hyŏphoe and Korean National Association, return to Korea to establish the Sinminhoe, Taesŏng School, and other ventures embodying his principles of political, educational, industrial, and youth development. It notes his return to Shanghai in 1919, recent activities like organizing a consumer cooperative, his declining health (emaciation, tooth loss, heart condition, cough), but enduring spirit (clear voice, bright eyes), and daily routine. The article concludes by stating his current detention at the Japanese Consulate. For historians, this article is valuable as a contemporary account of An Ch'angho's arrest shortly after the Hongkew Park bombing incident (though not explicitly mentioned, the timing is significant). It provides details about his life, organizations, health, and recent activities from a 1932 perspective, reflecting how he was perceived and reported on during the colonial period just before his final imprisonment. The mention of specific collaborators and organizations offers points for further research.

**Named Entities**

安昌浩	안창호	An Ch'angho
島山	도산	Tosan
平壤	평양	P'yŏngyang
江西郡	강서군	Kangsŏ County (Kangseo-gun)
東津面	동진면	Tongjin-myŏn
古逸里	고일리	Koil-ri
戊寅生	무인생	Muin Year Born (1878)
독립협회	독립협회	Independence Club (Tongnip Hyŏphoe)
京城	경성	Kyŏngsŏng
李氏	이씨	Mrs. Yi
美國	미국	America (Miguk)
李剛	이강	Yi Kang
崔正益	최정익	Ch'oe Chŏngik
林蚩正	임치정	Im Ch'ijŏng
共立協會	공립협회	Mutual Assistance Association (Kongnip Hyŏphoe)
共立新報	공립신보	Kongnip Sinbo
國民會	국민회	Korean National Association (Kungminhoe)
新韓民報	신한민보	Sinhan Minbo
墨	멕시코	Mexico (Meksiko)
布哇	포와/하와이	Hawaii (P'owa/Hawai'i)
西伯利亞	서백리아/시베리아	Siberia (Sŏbaengnia/Siberia)
乙巳新條約	을사신조약	Eulsa Protectorate Treaty (Ŭlsa Sinjoyak)
朝鮮	조선	Chosŏn (Korea)
田德基	전덕기	Chŏn Tŏkki
李東寧	이동녕	Yi Tongnyŏng
李東輝	이동휘	Yi Tonghwi
李昇薰	이승훈	Yi Sŭnghun
金龜	김구	Kim Ku (Early name)
金九	김구	Kim Ku (Later name)
安泰國	안태국	An T'aeguk
新民會	신민회	Sinminhoe
靑年學友會	청년학우회	Ch'ŏngnyŏn Haguhoe
尹致昊	윤치호	Yun Ch'iho
崔光玉	최광옥	Ch'oe Kwangok
崔南善	최남선	Ch'oe Namsŏn
大成學校	대성학교	Taesŏng School
馬山洞	마산동	Masan-dong
磁器會社	자기회사	Porcelain Company (Chagi Hoesa)
太極書舘	태극서관	T'aegŭk Sŏgwan
庚戌年	경술년	Kyŏngsul Year (1910)
國民會長	국민회장	President of the Korean National Association (Kungmin Hoejang)
己米年	기미년	Kimi Year (1919)
上海	상해/상하이	Shanghai
在留民	재류민	Korean Residents (Chaeryumin)
소비조합	소비조합	Consumer Cooperative (Sobijohap)
日本領事舘	일본영사관	Japanese Consulate (Ilbon Yŏngsagwan)

**Glossary**

被促	피촉	Arrested
號	호	Pen name
郡界改定	군계개정	County boundary revision
解散	해산	Dissolution
다리고	데리고	Taking (someone) along (older spelling/form of 데리고)
渡米	도미	Go to America
더부러	더불어	Together with (older spelling/form of 더불어)
因하야	인하여	Subsequently, because of (older spelling/form of 인하여)
支會	지회	Branch (of an organization)
체결되매	체결되자	Upon being concluded (older grammatical form)
歸國	귀국	Return to one's country
비밀결사	비밀결사	Secret society
수양단체	수양단체	Training/cultivation group
一邊	일변	Meanwhile, on the one hand
4大綱領	4대강령	Four major principles/platforms
이엇다	이었다	Was (older spelling/form of 이었다)
탈출하야	탈출하여	Escaping (older spelling/form of 탈출하여)
이르럿다	이르렀다	Arrived, reached (older spelling/form of 이르렀다)
年前	년전	Years ago
一次	일차	Once
다녀왓다	다녀왔다	Visited, went and came back (older spelling/form of 다녀왔다)
후리후리하고	후리후리하고	Tall and slender
瘦瘠	수척	Emaciated
齒牙	치아	Teeth
빼엇고	빼었고	Had (them) removed/pulled out (older spelling/form of 빼었고)
잇고	있고	Has (older spelling/form of 있고)
咳嗽	해수	Cough
音聲	음성	Voice
안색	안색	Complexion
희엇으나	희었으나	Was white/fair, but (older spelling/form of 희었으나)
잇다	있다	Has, exists (older spelling/form of 있다)
起床	기상	Wake up
취침	취침	Go to bed
日課	일과	Daily routine
대부분엿다	대부분이었다	Was the majority/most (older spelling/form of 대부분이었다)
在留民	재류민	Residents (esp. Koreans residing abroad)
소비조합	소비조합	Consumer cooperative
