Magazine Title: 三千里 第4卷 第12號
Publication Date: 1932년 12월 01일 (December 1, 1932)
Article Title: 海外活躍中의 白衣士官 (White-Robed Officers Active Overseas)
Article Type: 소식 (News/Report)

Overseas White-Robed Officers Active Abroad
"Lord Byron, though English, went to war for Greece, and French youths fought in the Anglo-American War for America's freedom.
They helped others even when they had strength to spare, and worked abroad even when they couldn't achieve their aims within.
Currently, many Koreans are scattered across various foreign countries, leading numerous troops and flying east and west. We can guess their intentions. Anyway, avoiding lengthy discussion, let's look at the Korean officers currently active overseas."<37>

Lieutenant Colonel Kim Ryŏn-gi, Flying Fighter Planes in Nanjing
If you go to Nanjing, China, adjacent to the city outskirts in Dongchang Street (東廠街), there's a large, fortress-like airplane hangar built in gray, and numerous aviation officers in smart military uniforms can be seen coming and going. This is the Nationalist government's First Aviation Corps, and one of the important officers in this corps is the Korean, Mr. Kim Ryŏn-gi. Mr. Kim Ryŏn-gi is currently an instructor at the flight school while also serving in the Aviation Corps, holding the rank of Lieutenant Colonel of Aviation.
Lieutenant Colonel Kim is originally from P'yŏngan Province. He attended Sungsil School in P'yŏngyang, then went to Tokyo in 1926, entered the Japan Flying School in Tachikawa-chō (立川町), Tokyo Prefecture, and obtained his 2nd Class Pilot's License in 1929. He intended to make a flight to visit his homeland, but due to the enormous expense involved, he couldn't succeed. The following year, 1930, he came to Sinŭiju, and through the introduction of a Mr. Chu (朱氏), the Chinese consul stationed there, he arrived in Nanjing. Through the arrangement (幹旋) of the Ministry of Foreign Affairs, he joined the Aviation Department directly under Chiang Kai-shek.
There, he showed outstanding performance and was appointed as a Pilot Officer (飛機師), Junior Grade (小校), in the First Aviation Corps, Military Administration Department, Nationalist Government, quickly being promoted to Aviation Lieutenant Colonel (航空小佐).
After that, while teaching at the First Corps in Hankou, he flew fighter planes. For about two years from July 1930, he flew repeatedly to various battlefields including Shashi, Changsha, Nanchang, Huaxiang Zhumadian, Zhengzhou, Beiping Doubang (北平蚪邦), Kaifeng, and Nanjing, demonstrating great combat achievements, thus being promoted again to Lieutenant Colonel (中佐). According to him, in the past seven years, his flight time alone amounted to 700 hours. This shows how intensely he piloted aircraft. Furthermore, the fact that despite flying 700 hours, he never suffered<38> a crash or injury makes both Koreans and foreigners marvel alike, showing what a genius he is.

According to Lieutenant Colonel Kim, the Nationalist Army currently has over 120 new fighter planes, over 80 bombers, and over 200 other aircraft, totaling more than 400 planes. As the number of aircraft is so large, the Nationalist government's enthusiasm for training aviation officers is tremendous. There are currently over 200 officers, and the Aviation Corps is organized from the 1st to the 7th Corps.
Lieutenant Colonel Kim's outstanding talent not only earned him the deep trust of the Nationalist government, but he also reportedly received special praise (激賞) from Chiang Kai-shek. Being a spirited young man by nature, he is said to have many acquaintances among the emerging youth, associating with China's righteous young men (義憤男兒).
Indeed, Lieutenant Colonel Kim's future looks very bright (赫赫한). Currently, there are many Korean officers in various Chinese armies, and even within the Whampoa Military Academy (黃浦軍官학교) alone, there are numerous Korean students. Overall, many are shaking hands with the emerging China, but among them, Lieutenant Colonel Kim's presence broadens and deepens this significance even further.
The Lieutenant Colonel is still a young man under 30 this year. It is said he spent over 5,000 yen for tuition to attend flight school in Tokyo. Anyway, now, in the vast skies over the 400-plus provinces beyond the Yangtze River, amidst the admiration of 400 million people, he pilots his beloved plane,
"Douglas 575 Horsepower"
a new fighter, his heroic figure flashing under the blue sky and white sun. Remember that this spirited man (快男兒) was a Korean youth of white-clad blood!

Lieutenant Colonel Yi Ryang, Active in Harbin
Yamamoto, president of *Kaizō* (改造社長), who recently traveled from Tokyo through Korea to Manchuria, described the appearance of Manchukuo Army Lieutenant Colonel Yi Ryang in detail in the October issue of the magazine *Kaizō* (改造). According to his writing, Yi Ryang is a Lieutenant Colonel in the Manchukuo Army, currently stationed in Harbin as a military command officer for the Chinese Eastern Railway (東淸鐵道).
However, generally speaking, even without *Kaizō*'s introduction, many people in Seoul know about Yi Ryang. He once published a somewhat autobiographical account in *Chōsen no Hikari* (朝鮮之光). Originally from Wŏnsan or Tanch'ŏn in South Hamgyŏng Province, he wandered greatly from a young age. He went to Guangdong to attend a military academy and went to Siberia, joining the Partisan Army (발티찬軍). He was captured and spent about two years imprisoned in Vladivostok (海參威監獄). After returning to his home country, he claimed to be involved in the Proletarian Literature Movement (푸로레타리아文藝운동), organizing some association, and later became an early member of the Proletarian Arts Federation (푸로예술同盟). He once gave a public lecture on the arts movement at the Jongno Youth Hall (鍾路靑年會舘), and much earlier, during the initial period of Korea's socialist movement, he frequently visited the hall at House No. 84, Che-dong (齊洞84番地).
Until about 3 or 4 years ago, he established the Kyŏngsŏng Labor Union (京城노동조합) at Pongnae Bridge (蓬萊橋) in the city, primarily aiming to organize government workers like tobacco and railway employees. After several years of wandering, when Kim Tong-han, a Partisan senior from his Siberia days, was restricted from residing in Vladivostok (海參威) and was lying low (雌伏) in his hometown Tanch'ŏn, Yi joined hands with him. They entered Kando (間島), and seeing the situation change after the Sino-Japanese conflict in Manchuria, they started the Kando Autonomy Zone movement (間島自治區운동).
Changing course again, he entered the conflict zone of Manchuria. Initially, through the acquaintance of Captain OO (OO大尉), who gained notoriety during the Great Tokyo Earthquake<39>, he participated in military actions, joining the XX Division (多O師團) and being active. With the establishment of the state of Manchukuo, he leaped to become an Army Lieutenant Colonel. According to Yamamoto, president of *Kaizō*, he is bold (豪放). After becoming an officer on the Chinese Eastern Railway, he discovered that an arms train of the opposing army was being secretly transported and succeeded through ingenuity (奇智) by seizing and confiscating it entirely without harming a single soldier.

Lieutenant Colonel Yi Ryang is 33 this year. It is said that when he came to Korea from Siberia, he carried a letter of introduction from the famous Yi OO (李OO) addressed to Song OO (宋OO). During his time in Siberia, he not only participated frequently in actual combat with a gun but also, having aspirations in the cultural movement in Vladivostok (海參威), reportedly published some magazine once.
Yi's wife is a graduate of Wŏnsan Girls' School, and they have been married for three years. There is an episode related to their marriage that shows his daring (膽大한) side.
Why he became a Manchukuo Lieutenant Colonel, he has not yet offered a single word or phrase of reminiscence (述懷), so there is no way to know.
Also, what path he will take in the future, nobody knows.
Let us regard him as a man of mystery and observe his future prospects for a while longer.<40>
<37-40>

**Summary**

This 1932 article from the magazine *Samch'ŏlli* profiles two Korean military officers serving abroad during the Japanese colonial period. Kim Ryŏn-gi is a highly skilled aviator and Lieutenant Colonel in the Chinese Nationalist Air Force, praised for his abilities and contributions, operating under Chiang Kai-shek. Yi Ryang is an Army Lieutenant Colonel in the newly formed state of Manchukuo, serving on the Chinese Eastern Railway, with a complex past involving wandering, imprisonment in Siberia, proletarian activism in Korea, and involvement in the Kando autonomy movement before joining the Manchukuo forces. The article contrasts Kim's seemingly straightforward career aligned with Chinese nationalism against Yi's more ambiguous path leading to service in the Japanese-backed Manchukuo regime. For historians, this article is interesting as it showcases the diverse and sometimes contradictory paths taken by Koreans during the colonial era – some resisting Japanese imperialism by joining Chinese forces, while others collaborated or found opportunities within Japanese-controlled structures like Manchukuo. It highlights the complex choices and allegiances forced upon Koreans seeking agency or advancement outside the confines of colonized Korea. The mention of Yi Ryang's past socialist/proletarian activities juxtaposed with his Manchukuo service is particularly notable.

**Named Entities**

빠이론卿	바이런 경	Lord Byron
英國	영국	England
希腦	희랍	Greece
佛蘭西	프랑스	France
米洲	미주	America
英米戰爭	영미전쟁	Anglo-American War
朝鮮	조선	Korea
海外諸國	해외제국	Various Overseas Countries
南京	난징	Nanjing
金鍊器氏	김련기 씨	Mr. Kim Ryŏn-gi
中國	중국	China
東廠街	동창가	Dongchang Street
國民政府	국민정부	Nationalist Government (China)
航空 第一隊	항공 제일대	First Aviation Corps
平安道	평안도	P'yŏngan Province
平壤	평양	P'yŏngyang
崇實學校	숭실학교	Sungsil School
東京	도쿄	Tokyo
立川町	다치카와정	Tachikawa-chō
日本飛行學校	일본비행학교	Japan Flying School
新義州	신의주	Sinŭiju
朱씨	주 씨	Mr. Chu
外交部	외교부	Ministry of Foreign Affairs
蔣介石	장개석	Chiang Kai-shek
航空署	항공서	Aviation Department
軍政部	군정부	Military Administration Department
漢口	한커우	Hankou
沙市	사스	Shashi
長沙	창사	Changsha
南昌	난창	Nanchang
華鄕駐馬店	화향주마점	Huaxiang Zhumadian
鄭州	정저우	Zhengzhou
北平蚪邦	베이핑두방	Beiping Doubang
開封	카이펑	Kaifeng
黃浦軍官학교	황푸군관학교	Whampoa Military Academy
楊子江	양쯔강	Yangtze River
哈爾濱	하얼빈	Harbin
李亮氏	이량 씨	Mr. Yi Ryang
山本改造社長	야마모토 가이조 사장	Yamamoto, President of Kaizō
滿洲	만주	Manchuria
改造	가이조	Kaizō (Magazine)
滿洲國	만주국	Manchukuo
東淸鐵道	동청철도	Chinese Eastern Railway
朝鮮之光	조선지광	Chōsen no Hikari (Magazine)
咸南	함남	South Hamgyŏng Province
元山	원산	Wŏnsan
端川	단천	Tanch'ŏn
廣東	광둥	Guangdong
陸軍士官學校	육군사관학교	Army Officers' Academy
西伯利亞	시베리아	Siberia
발티찬軍	발티찬군	Partisan Army
海參威	해삼위	Vladivostok
푸로레타리아文藝운동	프로레타리아 문예운동	Proletarian Literature Movement
푸로예술同盟	프로예술동맹	Proletarian Arts Federation (KAPF)
鍾路靑年會舘	종로청년회관	Jongno Youth Hall
齊洞84番地	제동 84번지	House No. 84, Che-dong
蓬萊橋	봉래교	Pongnae Bridge
京城노동조합	경성노동조합	Kyŏngsŏng Labor Union
金東漢	김동한	Kim Tong-han
間島	간도	Kando (Jiandao)
日支衝突	일지충돌	Sino-Japanese Conflict
間島自治區	간도자치구	Kando Autonomy Zone
事變地滿洲	사변지만주	Conflict Area Manchuria
OO大尉	OO 대위	Captain OO
多O師團	다O 사단	XX Division
李OO	이OO	Yi OO
宋OO	송OO	Song OO
元山女學校	원산여학교	Wŏnsan Girls' School

**Glossary**

白衣士官	백의사관	White-Robed Officer (refers to Koreans, 'white-robed people')
卿	경	Lord (title)
希腦	희랍	Greece (older term)
佛蘭西	프랑스	France (older transliteration)
米洲	미주	America (continent)
出戰	출전	To go to war, participate in battle
흐터저	흩어져	Scattered (older spelling of 흩어져)
잇글고	이끌고	Leading (older spelling of 이끌고)
東走西飛	동주서비	Running east and flying west (idiom for being very busy/active over a wide area)
짐작할 수 잇다	짐작할 수 있다	Can guess/surmise (잇다 is older spelling of 있다)
아모려나	아무려나	Anyway, anyhow (older form)
밧게	밖에	Outside (older spelling)
飛行中佐	비행중좌	Aviation Lieutenant Colonel
隣接한	인접한	Adjacent
格納庫	격납고	Hangar
산듯하게	산뜻하게	Neatly, smartly (adverb)
軍服姿態	군복자태	Appearance in military uniform
航空 第一隊	항공 제일대	First Aviation Corps
敎官	교관	Instructor (military/school)
府下	부하	Under the jurisdiction of a prefecture (e.g., Tokyo-fu)
免許狀	면허장	License certificate
엇어쥔	얻어쥔	Having obtained/held (얻어 is older spelling of 얻어)
故土	고토	Homeland
巨額	거액	Huge sum of money
翌年	익년	The following year
駐剳	주차	To be stationed (older term for 주둔)
幹선	간선	Arrangement, good offices, mediation (used here for introduction/placement)
直屬	직속	Directly subordinate to
航空署	항공서	Aviation Department/Bureau
優秀한	우수한	Excellent
軍政部	군정부	Military Administration Department
小校	소교	Junior Grade Officer (older rank)
飛機師	비기사	Pilot (lit. flying machine master)
一躍	일약	In one leap, suddenly
航空小佐	항공소좌	Aviation Lieutenant Colonel (variant term, 中佐 is more common)
敎鞭을 드는 한편	교편을 드는 한편	While holding the teacher's pointer (i.e., while teaching)
戰鬪機	전투기	Fighter plane
操縱하야	조종하야	Piloting (older form of 조종하여)
轉轉	전전	Moving from place to place
戰績	전적	Combat record, war achievements
昇格되엇는데	승격되었는데	Was promoted, and... (되엇는데 is older form of 되었는데)
이약이	이야기	Story, account (older spelling)
듯건대	듣건대	According to what is heard
激烈하게	격렬하게	Intensely, fiercely
탓스면서도	탔으면서도	Even though having ridden/flown (older spelling)
一二次	일이차	One or two times
墜落負傷	추락부상	Crash injury
업섯다는	없었다는	That there wasn't (older spelling of 없었다는)
한글갓치	한결같이	Alike, consistently (older spelling/form)
驚嘆하는 바와 갓치	경탄하는 바와 같이	As is marveled at (갓치 is older spelling of 같이)
엇더케나	어떻게나	How...! (emphatic)
爆擊機	폭격기	Bomber plane
養成	양성	Training, cultivation (of personnel)
大端하야	대단하야	Being great/tremendous (older form of 대단하여)
編制되어 잇다고 한다	편제되어 있다고 한다	Is said to be organized (잇다 is older spelling of 있다)
出衆한	출중한	Outstanding, prominent
信任	신임	Trust, confidence
밧을	받을	To receive (older spelling)
일즉	일찍	Early on, previously
激賞	격상	High praise, special commendation
氣慨잇는	기개있는	Spirited, courageous (잇는 is older spelling of 있는)
相伴하야	상반하야	Accompanying, associating with (older form of 상반하여)
新興	신흥	Newly rising, emerging
知己	지기	Acquaintance, friend
赫赫한 바 잇다	혁혁한 바 있다	Is very bright/illustrious (잇다 is older spelling of 있다)
악수하는	악수하는	Shaking hands
만치만은	많지만은	Although many (older spelling of 많지만은)
깁케	깊게	Deeply (older spelling of 깊게)
未滿	미만	Less than, under (age)
學資	학자	School expenses
껏다고	껐다고	Spent/used up (older term, possibly related to 꾸다 - borrow?)
愛機	애기	Beloved aircraft
雄姿	웅자	Heroic figure, imposing appearance
靑天白日	청천백일	Blue sky and white sun (symbol of Republic of China)
번득인다	번득인다	Flashes, glints
힌옷입은	흰옷입은	White-clothed (referring to Koreans)
피끌은	피끓는	Blood-boiling (passionate, hot-blooded)
快男兒	쾌남아	Spirited man, fine fellow
陸軍中佐	육군중좌	Army Lieutenant Colonel
描寫하여 내엇다	묘사하여 내었다	Described (내엇다 is older spelling of 내었다)
面影	면영	Face, appearance (from Japanese 面影 おもかげ)
東淸鐵道	동청철도	Chinese Eastern Railway (also known as CER)
아니빌지라도	아니 빌지라도	Even without borrowing (older form)
사람됨	사람됨	Character, personality
自敍傳	자서전	Autobiography
記述	기술	Description, account
잇섯는데	있었는데	There was (older spelling of 있었는데)
放浪하엿다	방랑하였다	Wandered (older form)
加擔하엿다가	가담하였다가	Having joined/participated (older form)
獄中生活	옥중생활	Prison life
도라 나와서	돌아 나와서	Having returned (older spelling of 돌아)
結社	결사	Association, society
會員된 적도 잇섯스며	회원된 적도 있었으며	Had also been a member (older spelling of 있었으며)
公開講演	공개강연	Public lecture
