잡지명	삼천리 제4권 제12호
발행일	1932년 12월 01일
기사제목	外國의 代表的 新聞觀 (A View of Representative Foreign Newspapers)
필자	李灌鎔
기사형태	소식 (Informative Piece)

A View of Representative Foreign Newspapers
						Yi Kwan-yong

For a newspaper to boast the adjective "representative," it must possess various qualifications. However, the motivation for writing this article lies not in academically researching representative foreign newspapers, but in providing a convenience to the newspaper readers of Chosŏn (朝鮮). Therefore, the use of the term "representative" here arises from a specific circumstance. If you examine the foreign telegram sections of various newspapers, you'll find that whenever an incident occurs, they frequently publish commentary from certain foreign newspapers to "representatively" report the stance taken by a political party or a nation regarding the incident. Yet, without knowing the class position and political nature of that newspaper, the meaning of the telegram cannot be understood. Thus, I intend to introduce a few foreign newspapers that can be considered representative in this sense.

First, when thinking about British newspapers, one cannot omit *The Times*, which enjoys worldwide renown. Founded 143 years ago, in 1785, by a man named John Walter (쫀월터), it attacked the policies of Pitt (핏트), who represented the aristocratic class of the time, and defended the interests of the burgeoning middle class, becoming the organ of British bourgeois democracy (뿌어죠아 떼머크래씨). Even while facing fines and imprisonment, Walter became a pioneer in the newspaper world by exposing the hidden aspects of government policy and bringing down corrupt politicians (like Lord Melville (멜빌卿), for example). It dispatched the first special correspondent to the European continent, reported news of the Napoleonic Wars faster than the government, and it is said to be a great point of pride in *The Times*' history that it announced the outcome of the Battle of Waterloo 24 hours earlier than the government. As a result of such struggles, its circulation reached 10,000 a century ago, and later, during the Crimean War (크림이야), while other newspapers had circulations of merely 2,700, *The Times* had already surpassed 50,000. At that time, *The Times* reportedly wielded enough influence to collapse Cabinets and reorganize the army dispatched to Crimea. I have not investigated the current circulation of *The Times*, but in any case, it is an undeniable fact that even now, one can discern the direction of Britain's domestic and foreign policy through *The Times*, and its editorials significantly influence the formation of national policy. Some people claim *The Times* is a government organ, but this is untrue; it is an independent newspaper transcending party relations, as can be seen particularly from the stance it took during the Great War. While everyone knows its political views and social perspective are<30> conservative and reactionary, it is an undeniable fact that it is not subordinate to any political party.

What should not be forgotten here is *The Times*' attitude towards Japan (日本). Although the form and degree may differ according to time and circumstance, it is true that it has always treated Japan with sympathy and goodwill. It publishes a special supplement called the "Japan Section" (日本部) every month, widely praising Japan's industrial development and cultural projects, and notably strives to demonstrate to the entire world, through dozens of articles and photographs, how rapidly Chosŏn is developing under Japanese rule (Following 3 lines omitted - original text)

Besides *The Times*, another British newspaper that must be mentioned is the famous *Manchester Guardian* (맨췌스터까듸앤), a British Liberal Party-affiliated newspaper. While defending the interests of Britain's industrial bourgeoisie (뿌루죠아지) from the industrial center of Manchester, its distinctive feature is that, within the limits allowed by its ideology, it holds warmer sympathy for the labor movement and generally for world revolutionary movements than even MacDonald (멕도낼드)-type socialists. This might seem contradictory, but its attitude towards the Russian Revolution (露國革命) clearly reveals its liberal stance. As soon as the revolution broke out in Russia (露國), it dispatched special correspondents to faithfully report on the revolutionary process and constructive activities. Moreover, while opposing its dictatorial politics in principle, it sought to understand its situation and circumstances with as much sympathy as possible. Towards the British government, it fiercely fought for non-interventionism and passionately advocated for the resumption of diplomatic and trade relations, demonstrating its liberal attitude. Even after the Great War, its sympathy for Germany's (獨逸) recovery, its attacks on Italy's (伊國) reactionary policies, its rejection of French (佛國) fascism (파씨슴), its understanding of America's (米國) non-participation in European political turmoil, its attacks on Japan's aggressive policies, and its active support for China's national movement all reveal the left-wing colors of the British Liberal Party. However, like *The Times*, it seems true that the *Manchester Guardian* also does not maintain a subordinate relationship with any political party.

Other well-known Liberal Party-affiliated newspapers include the Lloyd George (로이드, 죠오지)系 *Daily Chronicle* (떼일리, 크론닉클) and the *Daily News* (떼일리뉴쓰) for the Liberal intelligentsia (텔리겐찌야); the *Daily News* was founded by the celebrated British novelist Dickens (띄켄쓰) and is avidly read by Britain's petit-bourgeois intellectual class. Conservative Party-affiliated newspapers include the *Daily Telegraph* (떼일리 텔래그래프), run by Jews (猶太人); the *Morning Post* (모닝 포스트), avidly read in aristocratic society and wealthy circles' fashion world; and the *Standard* (스탠다아드), which defends the interests of the clergy and landlord class. The influential Conservative Party organ *Pall Mall Gazette* (폘멜 까젯트) and the Liberal Party organ *Westminster Gazette* (웨스트만스터 까젯트) are engaged in fierce competition. On the labor movement front, the *Daily Herald* (떼일리 헤랠드) and the *Daily Citizen* (떼일리 씨틔슨) fight fiercely, but it seems there are still no daily newspapers affiliated with the Communist movement (공산系). Besides these, there are other newspapers that sell sensationalism (쎈셰슌), like the *Daily Mail* (떼일리, 메리) and the *Daily Express* (떼일리, 엑스프레스), but there is no need for us to list so many various newspapers here.

I would like to consider a few important weekly publications here as well, but due to space constraints, I will omit this. However, I must especially note regarding *The Observer* (옵서버) the insightful political opinions of its editor, Mr. Garvin (까빈). Whenever any incident occurs in Britain, it is almost standard practice not only within Britain but also in various countries in Europe and America for newspapers to quote his commentary appearing in *The Observer*. I myself have numerous times seen his commentary quoted in the Tōa (東亞) and Chosŏn (朝鮮) newspapers.

Regarding American (米國) newspapers, I know too little to speak in detail, but in any case, those considered representative American newspapers abroad include the Republican Party (共和黨)-affiliated *New York Herald* (뉴욕, 헤랠드); the *New York Times* (뉴욕타임쓰), run by Jews (猶太人) and affiliated with the Republican Party; the Democratic Party (民主黨)-affiliated *New York World* (뉴욕 월드); and the Hearst (허스트)-affiliated *New York American* (뉴욕 애메리켄), which earns the reputation of being sensationalist yellow journalism (黃紙). Besides these, the *Chicago Tribune* (취카고 트리뷴), *New York Evening Post* (뉴욕 이브닝 포스트) (Liberal), *Springfield Republican* (스프링피일드 리퍼블락캔) (Republican), *Washington Post* (워싱튼 포스트), *Philadelphia Public Ledger* (필라덴피아 퍼블릭렛저), and *Christian Science Monitor* (크리스챤 몬니터) are said to represent American public opinion. However, America is less like a single country and more like a continent where diverse peoples gather, so public opinion is not as unified as in other countries. Furthermore, although this is true for bourgeois (뿌어죠아) newspapers in any country, according to Mr. Upton Sinclair's (업톤 씽큰례아) <31> work *The Brass Check* (쁘래쓰책이크), most of the newspapers listed above have become commercialized and act as slaves to large financial capital. As for left-wing newspapers, the ones I know are the weeklies *The Nation* (네이순) and *The New Republic* (뉴리퍼블릭), which could be said to advocate left-wing liberalism, and the Communist-affiliated (공산系) *Worker's Weekly* (워커스 위클리).

Among German (獨逸) newspapers, those most respected domestically and internationally are the liberal *Frankfurter Zeitung* (프랑크푸엇터 짜이통), *Berliner Tageblatt* (뻬얼린너 타게뽈랏), and *Vossische Zeitung* (포씨숴 짜이룽); the conservative *Kölnische Zeitung* (크른니쉐 짜이룽); the reactionary pan-Germanist *Hamburgische Nachrichten* (함부억기쉐 나흐리흐텐) and *Münchner Neueste Nachrichten* (문크너너이예스테 나흐리흐텐); and the *Norddeutsche Allgemeine Zeitung* (노드 떠잇츠 알게마이네 짜이룽) (Government organ). There is also the democratic (民本主義) organ *Vorwärts* (요모겐 포스트 - likely a typo/misidentification, should be Vorwärts) and the reformist (改良主義) organ *Vorwärts* (포어웨쓰), and the Communist Party (공산당) organ *Die Rote Fahne* (못레판네).

Among French (佛國) newspapers, the one with the longest history and most serious demeanor is the conservative evening paper *Journal des Débats* (쥬어날떼, 떼바) (founded 1789). It reportedly reached a circulation of 32,000 already during Napoleon's (나풀레옹) time, grasping hegemony in French public opinion. However, the evening paper used by any cabinet as a semi-official paper is *Le Temps* (르땅), and it is said that the Poincaré (포앙까레) Cabinet uses the morning paper *Le Matin* (르마땅) in addition to *Le Temps*. French newspapers generally have unclear political stances, making them difficult to classify under specific ideologies. However, *Le Figaro* (피가로), *Le Journal* (쥬어날), *Le Petit Parisien* (포트 빠리지앙), etc., generally represent moderate liberal republican tendencies, responding to the demands of the petit-bourgeoisie, while *La Patrie* (라빳트리랑 - likely La Patrie or similar), *L'Intransigeant* (트랑씨쟝), *Le Gaulois* (르골루아), etc., are reactionary newspapers. The newspaper *L'Intransigeant* (랑트랑씨쟝), along with the Communist Party organ *L'Humanité* (루마니떼), has frequently published articles about Chosŏn affairs since year XX.

I know little about Italian (伊太利) newspapers, but besides the liberal evening paper *Corriere della Sera* (라꼬리어레뎀라 셰라) and the morning paper *La Tribuna* (트리뷴나), the conservative *Popolo d'Italia* (포풀로 듸랄리아) and others enjoyed fame even abroad. It is said that under Mussolini's (뭇솔리니) rule, all the nation's newspapers are becoming fascist (파씨스트化).

Finally, regarding Russian (露國) newspapers, there are the government organ *Izvestia* (이스베스찬) and the Communist Party organ *Pravda* (프라브다). Although there are said to be several other dailies, we know that these two are representative in the truest sense.

I would like to write down all I know about the editorial content of each country's newspapers, but it seems it would take up too much space, so I will stop here. However, one thing I'd like to mention is that American newspapers tend to publish more news than commentary, while conversely, German newspapers tend to value commentary more than news. British newspapers seem superior to German and American newspapers as they publish both fairly equally and possess a solid and sincere quality. French newspapers are generally weak, lacking sufficiently in both news and commentary. Our Chosŏn newspapers have little news. It's not that they have much commentary either, but in any case, compared to foreign newspapers, what is published as news is, above all, meager. Furthermore, the tendency to treat articles on the society page not simply as news but to publish them in a commentary style is something not seen in foreign newspapers. While understanding the necessity of this style in Chosŏn, I get a strange feeling whenever I read the society page. (Old manuscript) <32>

**Summary**

This 1932 article by Yi Kwan-yong provides Korean readers with a guide to major international newspapers, primarily from Britain, the US, Germany, France, Italy, and Russia. It outlines the history, circulation (where known), political leanings (Conservative, Liberal, Labour, Republican, Democrat, Communist, Fascist, etc.), and perceived influence of prominent papers like *The Times*, *Manchester Guardian*, *Le Temps*, *Frankfurter Zeitung*, *New York Times*, *Izvestia*, and *Pravda*. The author compares national newspaper styles, noting British balance, German emphasis on commentary, American focus on news (criticized as commercialized), and French weakness. He concludes by observing the relative scarcity of news in Korean papers and their unique practice of presenting social news with commentary. From a historical perspective, the article is revealing for its explicit discussion of *The Times*' pro-Japanese bias and coverage of colonial Korea, contrasting it with the *Manchester Guardian*'s critical stance on Japanese aggression and the mention of French papers covering Korean affairs after "year XX". This provides insight into how international media portrayal of colonial Chosŏn was perceived and discussed among Korean intellectuals at the time. The critique of American press commercialization and the comparison of different national media landscapes also reflect contemporary global media observations from a Korean viewpoint. The omitted lines regarding *The Times'* coverage of Korea are particularly intriguing for historians.

**Named Entities**

李灌鎔	이관용	Yi Kwan-yong
英國	영국	Yŏngguk (Britain/UK)
타임쓰	타임스	The Times
쫀월터	존 월터	John Walter
핏트	피트	Pitt
中産階級	중산계급	Middle Class
멜빌卿	멜빌 경	Lord Melville
歐洲大陸	유럽대륙	European Continent
나폴레온	나폴레옹	Napoleon
워털루	워털루	Waterloo
크림이야	크림반도	Crimea
日本	일본	Ilbon (Japan)
朝鮮	조선	Chosŏn (Korea)
맨췌스터까듸앤	맨체스터 가디언	Manchester Guardian
맨췌스터	맨체스터	Manchester
英國自由黨	영국 자유당	British Liberal Party
멕도낼드	맥도널드	MacDonald
露國	노국/로국	Noguk/Roguk (Russia)
獨逸	독일	Togil (Germany)
伊國	이국	Iguk (Italy)
佛國	불국	Pulguk (France)
米國	미국	Miguk (USA)
中國	중국	Chung'guk (China)
로이드, 죠오지	로이드 조지	Lloyd George
떼일리, 크론닉클	데일리 크로니클	Daily Chronicle
텔리겐찌야	인텔리겐치아	Intelligentsia
떼일리뉴쓰	데일리 뉴스	Daily News
띄켄쓰	디킨스	Dickens
保守黨	보수당	Conservative Party
猶太人	유태인	Yut'aein (Jew/Jewish person)
떼일리 텔래그래프	데일리 텔레그래프	Daily Telegraph
모닝 포스트	모닝 포스트	Morning Post
스탠다아드	스탠더드	Standard
폘멜 까젯트	폴 몰 가제트	Pall Mall Gazette
웨스트만스터 까젯트	웨스트민스터 가제트	Westminster Gazette
노동운동	노동운동	Labor movement
떼일리 헤랠드	데일리 헤럴드	Daily Herald
떼일리 씨틔슨	데일리 시티즌	Daily Citizen
공산系	공산계	Kongsan'gye (Communist-affiliated)
떼일리, 메리	데일리 메일	Daily Mail
떼일리, 엑스프레스	데일리 익스프레스	Daily Express
옵서버	옵서버	The Observer
까빈	가빈	Garvin (J.L. Garvin)
歐米 各國	구미 각국	European and American countries
東亞	동아	Tonga (likely refers to Tonga Ilbo newspaper)
朝鮮	조선	Chosŏn (likely refers to Chosŏn Ilbo newspaper)
共和黨	공화당	Republican Party
뉴욕, 헤랠드	뉴욕 헤럴드	New York Herald
뉴욕타임쓰	뉴욕 타임스	New York Times
民主黨	민주당	Democratic Party
뉴욕 월드	뉴욕 월드	New York World
허스트	허스트	Hearst
뉴욕 애메리켄	뉴욕 아메리칸	New York American
취카고 트리뷴	시카고 트리뷴	Chicago Tribune
뉴욕 이브닝 포스트	뉴욕 이브닝 포스트	New York Evening Post
스프링피일드 리퍼블락캔	스프링필드 리퍼블리컨	Springfield Republican
워싱튼 포스트	워싱턴 포스트	Washington Post
필라덴피아 퍼블릭렛저	필라델피아 퍼블릭 레저	Philadelphia Public Ledger
크리스챤 몬니터	크리스천 사이언스 모니터	Christian Science Monitor
업톤 씽큰례아	업턴 싱클레어	Upton Sinclair
쁘래쓰책이크	브래스 체크	The Brass Check
네이순	더 네이션	The Nation
뉴리퍼블릭	더 뉴 리퍼블릭	The New Republic
워커스 위클리	워커스 위클리	Worker's Weekly
프랑크푸엇터 짜이통	프랑크푸르터 차이퉁	Frankfurter Zeitung
뻬얼린너 타게뽈랏	베를리너 타게블라트	Berliner Tageblatt
포씨숴 짜이룽	포시셰 차이퉁	Vossische Zeitung
크른니쉐 짜이룽	쾰니셰 차이퉁	Kölnische Zeitung
함부억기쉐 나흐리흐텐	함부르기셰 나흐리히텐	Hamburgische Nachrichten
문크너너이예스테 나흐리흐텐	뮌흐너 노이에스테 나흐리히텐	Münchner Neueste Nachrichten
노드 떠잇츠 알게마이네 짜이룽	노르트도이체 알게마이네 차이퉁	Norddeutsche Allgemeine Zeitung
요모겐 포스트	포어베르츠	Vorwärts (misidentified in original as Yŏmogŏn Post'ŭ?)
포어웨쓰	포어베르츠	Vorwärts
못레판네	디 로테 파네	Die Rote Fahne
佛蘭西	프랑스	P'ŭransŭ (France)
쥬어날떼, 떼바	주르날 데 데바	Journal des Débats
르땅	르 탕	Le Temps
포앙까레	푸앵카레	Poincaré
르마땅	르 마탱	Le Matin
피가로	르 피가로	Le Figaro
쥬어날	르 주르날	Le Journal
포트 빠리지앙	르 프티 파리지앵	Le Petit Parisien
라빳트리랑	라 파트리	La Patrie (?)
트랑씨쟝	랭트랑시장	L'Intransigeant
르골루아	르 골루아	Le Gaulois
랑트랑씨쟝	랭트랑시장	L'Intransigeant
루마니떼	뤼마니테	L'Humanité
伊太利	이탈리아	It'allia (Italy)
라꼬리어레뎀라 셰라	코리에레 델라 세라	Corriere della Sera
트리뷴나	라 트리부나	La Tribuna
포풀로 듸랄리아	일 포폴로 디탈리아	Il Popolo d'Italia
뭇솔리니	무솔리니	Mussolini
파씨스트	파시스트	Fascist
이스베스찬	이즈베스티야	Izvestia
프라브다	프라우다	Pravda

**Glossary**

新聞紙	신문지	Newspaper
代表的	대표적	Representative
具備하여야	구비하여야	Must be equipped with (older form of 하여야)
動機	동기	Motive, reason
學的으로	학적으로	Academically
便宜	편의	Convenience
供給	공급	Supply, provision
基因된 것	기인된 것	Caused by, arising from
電報欄	전보란	Telegram section
삷혀 보면	살펴 보면	If one examines (older spelling/form of 살펴)
揭載하야	게재하여	Publishing, carrying (an article) (older form of 하여)
乃至	내지	Or, up to, ranging from
該事件	해사건	The said incident/case
報道하는	보도하는	Reporting
頻繁하것만	빈번하건만	Although frequent (older form 것만)
立場	입장	Stance, position
意義	의의	Meaning, significance
몃개	몇 개	A few, several (older spelling)
紹介	소개	Introduction
爲先	우선	First of all (alternative Hanja for 우선)
各聲	각성	Renown, reputation (likely 各聲 is a typo or alternate form for 高聲?)
藉藉한	자자한	Widely rumored, renowned
빼여 노흘 수 업슴니다	빼어 놓을 수 없습니다	Cannot leave out, cannot omit (older spelling/form)
距今	거금	From now back to, ago
創刊하야	창간하여	Founding (a publication) (older form 하여)
當時	당시	At that time
貴族階級	귀족계급	Aristocratic class
攻擊하고	공격하고	Attacking
旺盛하든	왕성하던	Which was flourishing/prosperous (older form 하던)
利益	이익	Interest, profit, benefit
擁護하여서	옹호하여서	Defending, protecting (older form)
機關紙	기관지	Organ (publication representing a group)
되엿섯담니다	되었었답니다	It is said that it became (older spelling/form)
罰金	벌금	Fine (monetary penalty)
禁錮	금고	Imprisonment
刑	형	Punishment, sentence
바더 가면서라도	받아 가면서라도	Even while receiving (older spelling)
政府	정부	Government
政策	정책	Policy
裏面	이면	The inside story, hidden side
暴露하고	폭로하고	Exposing
腐敗한	부패한	Corrupt
政客	정객	Politician (often negative nuance)
몰락식힘에는	몰락시킴에는	In causing the downfall of (older form 시킴)
先驅	선구	Pioneer, forerunner
特派員	특파원	Special correspondent
派遣하야	파견하여	Dispatching (older form)
記事	기사	Article, news report
迅速히	신속히	Quickly, rapidly
其後	그후	After that, subsequently
乃至	내지	Or even, to the extent of
再次	재차	Again, secondly
萬	만	Ten thousand
達하엿고	달하였고	Reached (older form)
勢力	세력	Power, influence
가젓섯담니다	가졌었답니다	It is said that it possessed (older spelling/form)
現在	현재	Currently, present time
如何한	여하한	What kind of, any
方向	방향	Direction
뿐더러	뿐더러	Not only... but also
論說	논설	Editorial, commentary
否認치	부인치	Cannot deny (abbreviated form)
政見	정견	Political view
保守的	보수적	Conservative
反動的	반동적	Reactionary
隷屬되슧�안은 것	예속되지 않은 것	Not being subordinate to (original likely 예속되지 않은 것 but has corruption character)
大戰中	대전 중	During the Great War (WWI)
對日本	대일본	Towards Japan
同情	동정	Sympathy
善意	선의	Goodwill
附錄	부록	Supplement, appendix
產業	산업	Industry
文化事業	문화사업	Cultural projects
널리	널리	Widely
贊揚하고	찬양하고	Praising, extolling
統治下	통치 하	Under the rule of
發展되여	발전되어	Being developed (older spelling/form)
證明코자	증명코자	Trying to prove
勞働運動	노동운동	Labor movement
一般的으로	일반적으로	Generally
世界革命運動	세계혁명운동	World revolutionary movement
이데올로기	이데올로기	Ideology
許하는 限	허하는 한	To the extent permitted
돗타운	두터운	Thick, warm, deep (older spelling)
갓는 것	갖는 것	Having, possessing (older spelling)
特色	특색	Distinctive feature, characteristic
矛盾	모순	Contradiction
갓트나	같으나	Although it seems like (older spelling)
露國革命	노국혁명	Russian Revolution
過程	과정	Process
建設的	건설적	Constructive
活動	활동	Activity
忠實히	충실히	Faithfully
原則	원칙	Principle
獨裁政治	독재정치	Dictatorial politics, dictatorship
反對하면서도	반대하면서도	While opposing
處地	처지	Situation, circumstances
場合	경우	Case, circumstance
可及的	가급적	As much as possible
理解	이해	Understanding
非干涉主義	비간섭주의	Non-interventionism
爲하야	위하여	For the sake of (older form)
猛烈히	맹렬히	Fiercely, vigorously
鬪爭하고	투쟁하고	Struggling, fighting
積極的으로	적극적으로	Actively
外交	외교	Diplomacy
通商關係	통상관계	Trade relations
再開	재개	Resumption, reopening
熱誠	열성	Zeal, enthusiasm
主張함에	주장함에	In advocating
復興	부흥	Revival, reconstruction
攻擊하며	공격하며	Attacking
排斥하고	배척하고	Rejecting, boycotting
不參加	불참가	Non-participation
侵略政治	침략정치	Aggressive politics
左翼的	좌익적	Left-wing
色彩	색채	Color, hue, tendency
듸리다 뵈입니다	들이다 보입니다	Seems to show/reveal (older forms)
맷지 안은	맺지 않은	Not tied, not formed (a relationship)
그밧게	그밖에	Besides that, other than that
系	계	Affiliated with, system, lineage
일훔잇는	이름있는	Famous, well-known (older spelling)
小뿌어죠아	소부르주아	Petit-bourgeois
知識階級	지식계급	Intellectual class
愛讀하는	애독하는	Avidly read by
經營하는	경영하는	Managing, running (a business)
富豪階級	부호계급	Wealthy class
流行世界	유행세계	World of fashion
僧侶	승려	Buddhist monk, clergy
地主階級	지주계급	Landlord class
競爭	경쟁	Competition
日刊新聞	일간신문	Daily newspaper
週刊報	주간보	Weekly report/newspaper
編輯者	편집자	Editor
明哲한	명철한	Insightful, wise
意見	의견	Opinion, view
引用함이	인용함이	Quoting (as subject)
常例	상례	Common practice, custom
婁次	누차	Repeatedly, several times
詳細히	상세히	In detail
共和黨系	공화당계	Republican Party-affiliated
民主黨系	민주당계	Democratic Party-affiliated
評	평	Critique, reputation
듯는	듣는	Hearing, receiving (a reputation) (older spelling)
黃紙	황색지	Yellow journalism (lit. yellow paper)
與論	여론	Public opinion
統一되지	통일되지	Not unified
金融資本	금융자본	Financial capital
奴隷	노예	Slave
