Magazine Title: 삼천리 제4권 제12호
Publication Date: 1932-12-01
Article Title: 鐘路네거리 (Chongno Intersection)
Author: Unspecified
Article Type: 소식 (News/Tidings)

**Body Text Translation**

Chongno Intersection

Mr. Nakano Seigō (中野正剛), who came from Tōkyō, recently gave a lecture at the Kyŏngsŏng Public Hall (京城公會堂). Prior to this, Mr. Yŏ Unhong (呂運弘) met him at the Chosŏn Hotel and, regarding Nakano's personally held principle of Greater Asianism (大亞細亞主義), asked him in English, "Asianism is fine, but isn't that an Asianism centered on [Japan]?"
He then critically questioned the theory of a Japan-Korea-Manchuria Economic Bloc (日鮮滿經濟뿌록說), but Mr. Nakano just trailed off his words.

Only the Tong-A Ilbo (東亞日報) welcomed Kim Ŭnbae (金恩培), who returned from the Olympic Games, and only the Tong-A Ilbo made a fuss.
Regarding his departure and return, what deep meaning was there that the Tong-A [Ilbo] poured such passion into this? Concerning that, a certain social movement organization sent a scathing letter of inquiry, and the reply stated:
"We only did so based on the spirit of sport."
We must seriously critique the relationship between this 'spirit of sport' and ourselves (吾人) before moving on.

In the mid-October pages of the Keijō Nippō (京城日報), there was this phrase:
"Previously, during Governor-General Saitō's (齋藤總督) era, there was an intention to establish a Korean Assembly (朝鮮議會) and grant it the power to deliberate on ordinances (制令) issued by the Governor-General and the right of assent (協贊權) regarding various administrative expenses, but this policy will not be followed exactly as it was.<41> Governor-General Ugaki (宇垣總督) plans to greatly reform the Central Council (中樞院) and establish an organization similar to it," etc., etc.

The dilapidation of the Octagonal Pavilion (八角堂) in T'apdong Park (塔洞공원) is regrettable in many ways. If the Government-General (總督府) lacks the surplus capacity to repair it, it should be transferred to the Kyŏngsŏng Municipal Office (京城府), and if the Kyŏngsŏng Municipal Office also lacks the strength to repair it, then it should be opened up to the private sector. No matter how lacking in people and money we are, surely there isn't a lack of sincerity (誠意) to repair just one Octagonal Pavilion?

A year has already passed researching how to spend the one million Yen from Kyŏngjŏn (京電 - Kyŏngsŏng Electric Company). Let me just shout this: Build a thousand houses with that one million Yen (at 1,000 Yen per household) and house the homeless, poor citizens. Isn't the memory of seeing the sorrowful tears (悲淚) of the dugout dwellers (土幕民) when the eviction order was issued for the slums in Songwŏl-dong (松月洞) and inside Tongsomun (東小門) like yesterday?

According to a survey by the Ministry of Education (文部省), last year, 800 middle school students became convicts (受刑者), involving 145 schools. Of course, all were violators of the Peace Preservation Law (治安維持犯).

It is said that there has never been a time recently when the Peninsula (半島) was so rich in talented people (人材). Indeed, those involved in major incidents *** related to public order are few (though there are several, many who were overseas have come in). What comes after such an abundance of figures (人物)?

In the previous issue's column (本欄), it was mentioned that the Products Promotion Association (물산장려회) split into the Myŏng Chese (明濟世) faction and the Chŏng Sekwŏn (鄭世權) faction, etc., etc., but as the content is somewhat different, that passage is hereby retracted. <42>
<41-42>

**Summary**

This article presents several news snippets from Chongno, Seoul in late 1932. It covers a critical exchange about Japanese expansionism (Greater Asianism, Economic Bloc), questions the Tong-A Ilbo's singular focus on an Olympic athlete, reports on proposed changes to colonial governance (replacing a potential Korean Assembly with a reformed Central Council), laments the neglect of T'apdong Park's Octagonal Pavilion, suggests using funds from the electric company for public housing, notes the alarming number of middle school students arrested under the Peace Preservation Law, comments on the perceived abundance of 'talented figures' despite the political climate, and retracts a previous statement about factions within the Products Promotion Association. From a colonial history perspective, the article is interesting for its direct (though brief) critique of Japanese ideology, its commentary on colonial administrative plans, the stark mention of student arrests under repressive laws, and its reflection on social issues like housing and the state of national monuments, offering glimpses into everyday concerns and political undercurrents in 1930s Korea.

**Named Entities**

中野正剛	나카노 세이고	Nakano Seigō
東京	도쿄	Tōkyō
京城公會堂	경성공회당	Kyŏngsŏng Konghoedang
朝鮮호텔	조선호텔	Chosŏn Hotel
呂運弘	여운홍	Yŏ Unhong
金恩培	김은배	Kim Ŭnbae
東亞日報	동아일보	Tong-A Ilbo
京城日報	경성일보	Keijō Nippō / Kyŏngsŏng Ilbo
齋藤總督	사이토 총독	Saitō Governor-General
朝鮮議會	조선의회	Korean Assembly
宇垣總督	우가키 총독	Ugaki Governor-General
中樞院	중추원	Central Council (Chungch'uwŏn)
塔洞공원	탑동공원	T'apdong Park
八角堂	팔각당	P'algaktang
總督府	총독부	Government-General (Ch'ongdokpu)
京城府	경성부	Kyŏngsŏng Municipal Office (Kyŏngsŏng-bu)
京電	경전	Kyŏngjŏn (Kyŏngsŏng Electric Company)
松月洞	송월동	Songwŏl-dong
東小門	동소문	Tongsomun
文部省	문부성	Ministry of Education (Monbushō)
半島	반도	Peninsula (Pando - referring to Korea)
물산장려회	물산장려회	Mulsan Changnyŏhoe (Products Promotion Association)
明濟世	명제세	Myŏng Chese
鄭世權	정세권	Chŏng Sekwŏn

**Glossary**

네거리	네거리	Intersection, crossroads
日前	일전	Recently, the other day
講演	강연	Lecture, speech
先是하야	선시하여	Prior to this (older grammatical form)
持說	지설	One's personally held opinion or principle
大亞細亞주의	대아시아주의	Greater Asianism
日鮮滿	일선만	Japan-Korea-Manchuria
經濟뿌록	경제 블록	Economic bloc (using '뿌록' for 'bloc')
語尾	어미	End of a word or sentence
唯獨	유독	Only, solely, alone
떠들엇다	떠들었다	Made a fuss, was noisy about (older spelling)
운동단체	운동단체	Movement group, activist organization
痛熱한	통렬한	Scathing, severe, bitter
질문狀	질문장	Letter of inquiry, written question
회답	회답	Reply, answer
運動精神	운동정신	Spirit of sport
吾人	오인	We, us (literary or older term)
嚴肅하게	엄숙하게	Seriously, solemnly
비판하여	비판하여	To critique, criticize
지내야 하겟다	지내야 하겠다	Must pass/spend time after doing something (implies necessity)
紙面	지면	Page(s) of a newspaper or magazine
一句	일구	A phrase, a line
總督	총독	Governor-General
制令	제령	Ordinance (issued by the Governor-General under Japanese rule)
審議	심의	Deliberation, review
行政上	행정상	Administrative(ly)
諸經費	제경비	Various expenses
協贊權	협찬권	Right of assent/approval (esp. regarding budget)
意思	의사	Intention, thought
方針	방침	Policy, course of action
踏襲함은	답습함은	Following, adhering to (older grammatical form)
大改革	대개혁	Great reform
近似한	근사한	Similar, approximate
조직	조직	Organization, structure
設하리라고	설하리라고	(He) said he will establish (older form)
云云	운운	Etc., and so on, blah blah
荒廢함	황폐함	Being dilapidated, ruined
애닯다	애달프다	Regrettable, sad, sorrowful (older spelling/form)
餘力	여력	Surplus energy/capacity/funds
移管	이관	Transfer of control/jurisdiction
民間	민간	Private sector, civilian
내어 노흘	내어 놓을	To put out, release, hand over (older spelling)
아모리	아무리	No matter how
誠意	성의	Sincerity, good faith
업스랴	없으랴	Surely there isn't? / Could there be none? (rhetorical, older spelling)
百萬圓	백만원	One million Yen (圓 = Japanese Yen)
엇더케	어떻게	How (older spelling)
쓸는고	쓸는고	How to use? / Intending to use? (older interrogative form)
내조고만치	이 조그만치 / 이정도만치	This much, to this extent (colloquial/older phrasing, precise nuance unclear but suggests emphasis)
소리치노니	소리치노니	As I shout/exclaim (older grammatical form)
주택	주택	Housing, residence
每戶	매호	Each household
貧寒	빈한	Poor and cold; destitute
시민	시민	Citizen
收容하여라	수용하여라	House, accommodate, take in (imperative)
撤退令	철퇴령	Eviction order, withdrawal order
土幕民	토막민	Dugout hut dwellers
悲淚	비루	Sorrowful tears
어제갓지	어제같지	Like yesterday (older spelling)
調査	조사	Survey, investigation
中學生	중학생	Middle school student
受刑者	수형자	Convict, person serving a sentence
治安維持犯	치안유지범	Violator of the Peace Preservation Law
人材	인재	Talented person, person of ability
豐富한	풍부한	Abundant, rich
큼직큼직한	큼직큼직한	Major, large-scale
사건	사건	Incident, affair, case
치안	치안	Public order, peace and security
人物	인물	Figure, personage, character
登豊	등풍	Abundance, richness (used with 人物)
前號	전호	Previous issue (of a magazine)
本欄	본란	This column
分裂	분열	Split, division
云云	운운	Mentioned, etc.
內容	내용	Content(s)
달은 바	다른 바	What is different (older spelling)
一文	일문	A sentence, a passage
취소하여	취소하여	To retract, cancel


---------------------------


잡지명	삼천리 제4권 제12호
발행일	1932년 12월 01일
기사제목	鐘路네거리
기사형태	소식

鐘路네거리
東京서 나온 中野正剛씨가 日前 京城公會堂에서 講演을 하엿는데 先是하야 朝鮮호텔에서 呂運弘씨가 맛나보고 中野의 持說인 大亞細亞주의에 대하야 英語로서 「亞細亞주의는 조흐나 그것은 OO을 중심으으로 하는 亞細亞주의가 아니냐」
그래서 日鮮滿經濟뿌록說을 비판 질문하엿는데 中野씨는 그만 語尾를 흐리어 버리더라고.

올림픽대회에 갓다 나온 金恩培君을 唯獨 東亞日報만 환영하고 唯獨 東亞日報만이 떠들엇다.
갈 때 올 때에 무슨 뜻이 그리 만하여 東亞子 이러케 열정을 다 붓는고 그에 대하야 사회의 某운동단체에서 痛熱한 질문狀을 보냇더니 그 회답에 曰
「우리는 오직 운동정신에 의하여서 그리하엿술 뿐이라고」
우리는 이 운동정신과 吾人의 관계를 嚴肅하게 한번 비판하여 보고 지내야 하겟다.

京城日報의 10월중순 紙面에 이런 一句가 잇섯다.
「先에 齋藤總督시대에 朝鮮議會를 設하야 總督이 發하는 制令의 審議와 行政上 諸經費에 대한 協贊權을 줄 意思를 가지고 잇섯거니와 그 方針을 그대로 踏襲함은＜41＞ 아니다. 宇垣總督은 中樞院을 大改革하야 그와 近似한 조직을 設하리라고」 云云

塔洞공원 八角堂이 荒廢함은 여러 가지 의미로 애닯다. 總督府에서 重修할 餘力이 업거든 京城府에 移管할 일이고 京城府에서 또 重修할 힘이 업다면 民間에 내어 노흘 일이라. 아모리 사람과 돈이 업다기로 八角堂 하낫쯤이야 重修할 誠意가 업스랴.

京電에서 나온 百萬圓을 엇더케 쓸는고 하고 연구하기에 벌서 一年의 세월을 보내엇다. 내조고만치 소리치노니 百萬圓으로 주택千戶를 지어서(每戶 千圓式) 그래서 집업는 貧寒시민을 收容하여라. 松月洞과 東小門안 貧民窟에 撤退令을 내려 土幕民들의 悲淚를 본 기억이 어제갓지 아느냐

文部省 조사에 의하면 작년 중학생으로 受刑者 800명 그 학교수 145에 達하엿다 한다. 물론 全部가 治安維持犯

최근에 半島갓치 人材 풍부한 때가 업다고들 전한다. 과연 큼직큼직한 사건의 관계*** **치안은 이가 별로 업고(몃몃분 잇지만은 海外에 잇든 분으로 드려와 잇는 이도 만타 人物登豊後에 오는 것은 무엇일고.

前號本欄에 물산장려회가 明濟世派  鄭世權派로 分裂 云云하엿는데 내용은 좀더 달은 바 잇기 그 一文을 취소하여 둔다.＜42＞
＜41-42＞
