잡지명	삼천리 제6권 제11호
발행일	1934년 11월 01일
기사제목	戀愛小史 (Yeonae Soshi - A Short History of Love)
기사형태	잡저 (Chapjŏ - Miscellaneous writing; essay)

戀愛小史
便紙三百張去來
It is said that the number of love letters exchanged between Ch'unwŏn and Miss Hŏ Yŏngsuk (since she was a 'Miss' back then) reached 300. According to Ch'unwŏn, Miss Yŏngsuk, an outside woman, wrote to him first. According to Miss Yŏngsuk, Ch'unwŏn first sent a letter initiating romance to her, a well-bred maiden, so she replied. Whether "the bell rings or the bell hammer rings" (鍾か嗚るか橦子が嗚るか) is ultimately impossible to know, but anyway, it's said there are many masterpieces of writing within those love letters, and the two decided to reveal them when they both have white hair in their 70s or 80s and are called grandfather and grandmother. <110>

柳東悅따라 劉永淑 北京行
At that time, Major Yu Tongyŏl, after graduating from the Military Academy in Tokyo and also serving in the Russo-Japanese War, returned and worked as a young adjutant under the Minister of War. Whenever he had time, full of spirit, he would ride his white horse with a golden saddle around the main streets of Changan (Seoul) as if they were too narrow. The modern women of the time burned with passion for the imposing presence of this young officer. Among them, the most ardent was Miss Yu Yŏngsuk, who had returned from studying in Tokyo. When Mr. Yu later went into exile in Beijing, she followed him without question and became his wife. <112>

李甲따라 劉孃 出發
Yu Yŏngsuk, who carried her bundles and followed Yu Tongyŏl all the way to Beijing to become his wife, has a younger sister, Miss Yu XX. This Miss Yu, in turn, ran off to Beijing following Yi Kap, who was then a young officer and adjutant to the Minister of War. However, in this "love affair involving travel" (出張戀愛), the older sister succeeded and became Yu Tongyŏl's wife, while the younger sister failed and came back. <114>

玄鼎健따라 桂玉
Around the time of the March First Movement (己未), there was a famous gisaeng in Changan named Hyŏn Kyeok, skilled at the kŏmun'go and dancing. Said to be the uterine sister of female activist Chŏng X-sŏng, many suitors flocked, captivated by her butterfly-like face. At that time, after coaxing 2,000 Won from the son of a certain wealthy aristocrat, she ran off to Beijing with her beloved lover Hyŏn Chŏnggŏn, who was then a fighter for the movement. After Hyŏn was caught, imprisoned, and later died of illness, she is said to have dashed off to Moscow and is now active as a female X member (女X員) in some organization (某機關). <116>

東京 三美人 行方
Female novelist Miss Kim Myŏngsun, Miss Kang Sukryŏl of Mejiro University, and Miss Hwang Kwikyŏng of Ochanomizu Women's Higher Normal School were called the "Three Beauties" in the Tokyo international student community back in their day. As for their fates, Miss Hwang Kwikyŏng became the wife of Mr. Chŏng Haknyŏn, a tennis player who attended the Commerce College (商大); Miss Kang Sukryŏl became the wife of the critic Kim P'albong; and Miss Kim Myŏngsun, after a "love pilgrimage" involving Kim Ch'anyŏng, Im Nowŏl, and others, still remains in Tokyo. <118>
<110-118>

**Summary**

This article compiles short anecdotes about the love lives and relationships of several prominent Korean figures from the early 20th century. It recounts the prolific letter exchange between writer Ch'unwŏn (Yi Kwangsu) and Hŏ Yŏngsuk; the elopements of Yu Yŏngsuk with military officer Yu Tongyŏl and her sister with Yi Kap to Beijing (one successful, one not); the story of famous gisaeng Hyŏn Kyeok running away to Beijing with independence activist Hyŏn Chŏnggŏn and later moving to Moscow; and the romantic paths of three women known as the "Three Beauties" among Korean students in Tokyo. The article offers glimpses into the personal lives and romantic choices of intellectuals, artists, activists, and military men during the Japanese colonial period. Historians might find it interesting for its portrayal of changing social norms around courtship and marriage, the mobility and interconnectedness of Korean elites and activists across East Asia (Tokyo, Beijing, Moscow), and the intersection of personal relationships with political exile and activism.

**Named Entities**

春園	춘원	Ch'unwŏn
許英肅	허영숙	Hŏ Yŏngsuk
柳東悅	유동열	Yu Tongyŏl
東京	동경	Tokyo
日露	일로	Russo-Japanese (War context)
軍部大臣	군부대신	Minister of War
長安	장안	Changan (Seoul)
劉英淑	유영숙	Yu Yŏngsuk
北京	북경	Beijing
李甲	이갑	Yi Kap
玄鼎健	현정건	Hyŏn Chŏnggŏn
玄桂玉	현계옥	Hyŏn Kyeok
丁X星	정X성	Chŏng X-sŏng
모스크바	모스크바	Moscow
金明淳	김명순	Kim Myŏngsun
目白大學	메지로대학	Mejiro University
姜淑烈	강숙렬	Kang Sukryŏl
御茶の水高師	오차노미즈고등사범학교	Ochanomizu Women's Normal School
黃貴卿	황귀경	Hwang Kwikyŏng
商大	상대	Commerce College (Sangdae)
鄭鶴年	정학년	Chŏng Haknyŏn
金八峯	김팔봉	Kim P'albong
金瓚永	김찬영	Kim Ch'anyŏng
林盧月	임노월	Im Nowŏl

**Glossary**

戀愛小史	연애소사	A Short History of Love
잡저	잡저	Miscellaneous writing; essay
便紙	편지	Letter (older form)
張	장	Sheet (counter for paper)
去來	거래	Exchange; coming and going
孃	양	Miss; young lady (suffix)
往來	왕래	Coming and going; exchange
러부레터	러브레터	Love letter (loanword)
몬저	먼저	First (older spelling)
閨秀處女	규수처녀	Well-bred maiden/virgin
答狀	답장	Reply letter
원악	워낙/원래	Originally; by nature (older spelling/usage)
업는	없는	Non-existent; lacking (older spelling)
만타	많다	Many; numerous (older spelling)
되야	되어	Becoming (older spelling)
노키로	놓기로	To decide to put out/reveal
當年	당년	At that time; in those days
參領	참령	Military rank (Major/Lt. Colonel equivalent)
士官學校	사관학교	Military Academy
從軍	종군	Serving in a war/military campaign
도라와서	돌아와서	Returning (older spelling)
副官	부관	Adjutant; aide-de-camp
執務	집무	Performing one's duties
틈잇는대로	틈있는 대로	Whenever there was time (older spelling)
金鞍白馬	금안백마	White horse with a golden saddle
豪氣	호기	High spirits; heroism; bravado
조케	좋게	Finely; well (older spelling)
좁을세라	좁을세라	Lest it be too narrow (poetic/archaic)
도라다녓다	돌아다녔다	Roamed around (older spelling)
늠늠한	늠름한	Dignified; gallant (older spelling)
風釆	풍채	Appearance; presence
모던	모든	All; every (older spelling)
가슴을 태엇다	가슴을 태웠다	Burned one's heart (idiom for longing/passion, older spelling)
熱烈	열렬	Ardent; passionate
하엿든	하였던	Who was/did (older spelling)
留學	유학	Studying abroad
亡命	망명	Exile; seeking refuge abroad
덥허노코	덮어놓고	Unconditionally; without question (older spelling/form)
妻	처	Wife
보찜	보따리	Bundle wrapped in cloth (older spelling)
질머메고	짊어메고	Carrying on one's back/shoulder (older spelling)
잇다	있다	There is/are (older spelling)
이든	이던	Who was (older spelling)
내다랏다	내달았다	Ran off; bolted (older spelling)
出張戀愛	출장연애	"Business trip romance"; Elopement involving travel
되도라 왓다	되돌아 왔다	Came back; returned (older spelling)
己未	기미	1919 (Year name)
거문고	거문고	Geomungo (Korean zither)
名妓	명기	Famous gisaeng/courtesan
잇섯다	있었다	There was (older spelling)
同모	동모	Likely 同母 (dongmo) - uterine sibling
나비가튼	나비 같은	Like a butterfly (older spelling)
얼골	얼굴	Face (older spelling)
달녀드는	달려드는	Rushing towards; flocking to (older spelling)
花郞	화랑	Admirers; suitors
만헛다	많았다	Were many (older spelling)
某	모	Certain; Mr./Ms. So-and-so
富豪貴族	부호귀족	Wealthy aristocrat/noble
달내어	달래어	Coaxing; persuading (older spelling)
어더 쥔 뒤	얻어 쥔 뒤	After obtaining and holding (older spelling)
정든	정든	Beloved; affectionate
愛人	애인	Lover
運動	운동	Movement (political/social)
鬪士	투사	Fighter; activist
달엿다	달렸다 / 달아났다	Ran; fled (older spelling)
나종	나중	Later; afterwards (older spelling)
病死	병사	Death from illness
달려	달려 / 달아나	Running; fleeing
女X員	여X원	Female X member/worker
機關	기관	Organization; agency
活躍	활약	Being active; activity
女流小說家	여류소설가	Female novelist
三美人	삼미인	Three Beauties
留學生界	유학생계	World/community of overseas students
選手	선수	Player; athlete
夫人	부인	Wife; Mrs.
評論家	평론가	Critic; commentator
