잡지명	개벽 제18호
발행일	1921년 12월 01일
기사제목	南宮璧君의 死를 압헤 노코 (Facing the Death of Namgung Pyŏk)
필자	想涉
기사형태	회고·수기 (Reminiscence/Memoir)

南宮璧君의 死를 압헤 노코
						想涉
Below the heavily drooping, ash-colored clouds, this year's second snow falls softly. It's a damp, chilly day where even inside the room, one's back feels cold.
Today must already be the 10th day since Namgung left. I wonder if it's snowing in Sŏul (徐蔚) now too, but over the newly heaped pile of red clods of earth in a corner of the Such'ŏl-li (水銕里) public cemetery, it must have been lightly sprinkled white. The time I met him the day before the day before I left Kyŏngsŏng (京城), his appearance, pulling up the collar of his overcoat to cover his front, burying his head like a turtle's neck, shivering and saying "Gosh, it's cold—", stands before my eyes. I hear his voice. I see his feverish, red eyes from when he lay in K君's room the day before that. When I asked a few words about his condition, he tossed restlessly, saying "Ugh, hey, I'm gonna die!".

"Ugh, hey, I'm gonna die!" - It's a commonly used, passing phrase. The one saying it thought so, and the one hearing it didn't take it with any more meaning than that. But who could have known that behind that one weak phrase, the firm mark of fate was already imprinted?
It was only for about 10 days in total that he suffered from a cold. When I returned to Kyŏngsŏng on October 30th after visiting P'yŏngyang (平壤), he explained the postponement of his trip to Tōkyō, saying he was supposed to depart that evening but cancelled, worried about what might happen en route. That night too, perhaps having a fever, he silently went home first. When I met him two days later, on the evening of the 1st of this month, he seemed to have a high fever. On the 2nd, we met at the Yongsan (龍山) Baseball Stadium. I returned to the city center first, but he apparently watched the game until the end, braving the rain. I heard later that although he battled a tormenting fever every night, he attended the baseball tournament for three consecutive days.
It was around 3 PM the next day, the 3rd. As I sat for a moment in room 6 of the Family Hotel (파밀리·호텔), K君's room, he came in, looking shivery, saying he was on his way after taking a bath. After adding fuel to the stove, he wrapped himself tightly in a blanket and sat huddled. He chuckled intermittently, lost in some thought. <138> When I asked what was so funny, he just said "Oh, nothing—". After a short while, I tried to persuade him to leave together, but he said he wanted to warm himself up a bit more before going. So, leaving behind the farewell "Well then, let's meet again," I came out first alone. Thinking back now, that was our final parting in this world.
"Well then, let's meet again!" - It was his customary farewell whenever parting... Ah— where did he mean we should meet again!?
For the next 2 or 3 days, I stayed indoors, and we couldn't meet. When I met his respected father, Mr. Namgung Hun (南宮薰氏), on the street on the afternoon of the 6th, I heard news that his condition seemed a bit worse since the previous night, but it certainly didn't seem critical. He, too, showed no particular sign of worry. That night, I hastily boarded the train heading north. While thinking I should pay him a visit, I dismissed it lightly, thinking it was just a cold... Even after arriving here, the thought of sending a letter of inquiry never crossed my mind. I assumed he had likely already left for Tōkyō and merely asked 2 or 3 friends for news. Knowing now, even asking for news happened after he had already left this world. The more I think about it, the more like a dream it seems. It feels like something that shouldn't happen in this world. It goes without saying for the deceased, but even though it's my own fault for being obtuse, it's a frustrating and painful matter. What makes it even more regrettable and a lifelong sorrow is that I received the news of his death through a newspaper, hundreds of miles away, 5 or 6 days after his funeral. How could our connection in this life be so thin? The more I think about it, the more vexing it is. When I discovered the death of a close friend, with whom I had walked arm in arm, inseparable even for an hour until just days ago, in a corner of a newspaper scrap rolling around like waste paper, my head, my nerves, my eyes, my mouth, my limbs... ah—, what must my heart have felt? As if guided by God, my gaze mechanically stopped at the thick black line reading "Namgung Pyŏk Passes Away," and my brain instantly froze. All mental functions ceased momentarily. Nothing was reflected in my senselessly wide-open eyes. My ears felt as if submerged in water, growing increasingly distant. "Ah!" - my mouth, gaping open, was frozen shut. The hand holding the newspaper trembled uncontrollably. I read it through in one breath. Still, I couldn't help but doubt. I read it again, as if counting the characters. But I couldn't help doubting my own vision. Finally, I looked closely at the strokes of the character 'Pyŏk' (璧). Ah— but wasn't it perfectly correct? <139> Now there was no room for doubt. If there were even the slightest point of uncertainty, a single ray of hope might have remained. But finally, I couldn't help but despair. It said "member of the P'yŏhŏsa" (廢墟社同人), and "residence in P'ilun-dong" (弼雲洞 自宅). Among 1.6 billion people, there is only one person named Namgung Pyŏk groaning (呻吟하는) in a corner of P'ilun-dong as a member of the P'yŏhŏsa. And that one person is now gone forever somewhere. He has already departed from among the 1.6 billion. But where did he go? Did he return to the earth? Did he fly to the heavens! The shock of realizing the transience of life only now, with eyes wide open as if seeing it for the first time, may stem from not yet knowing the fairness of Heaven's Way (天道), but what is futile are human affairs, what cannot be trusted is human life, and what is fearsome and cannot be rebelled against is the great law of Great Nature.

Yesterday, a joint letter arrived from the three brothers Kim (Man?) (金(萬)), Pyŏn (卞), and O (吳) in Sŏul. "...Asking what happened to Namgung? It seems you still don't know. Please don't say such heartbreaking things. Namgung is no longer of this world..." Every phrase filled with sincere condolence, I could only respond with silent tears. Especially hearing about the sorrow and grief of his 60-year-old parent, I thought, could the cruel jests of fate be more extreme than this?
However, regarding the deceased's cruel and pitiful premature death, while there may not be a single word of condolence, hearing that there are even shallow individuals among the public rumors (巷間의 風評) who maliciously suggest suicide stemming from some impure motive (不純한 動機), I couldn't suppress feelings of anger that I couldn't silently endure as if it were someone else's affair. Truly, there is no one as unfortunate as him. Death cleanses everything. And even sworn enemies who wouldn't share the same sky bow their heads before the solemn and sorrowful fact of death and express their condolences. How much more so, what grudge did these certain elements hold against him, that upon facing his regrettable and tragic end, they slander the deceased's character with such disrespectful ridicule? I consider it a dishonor that we have such base and shameless (陋劣沒廉한) elements among our compatriots. Looking back on the life of Namgung, who departed this world early at the age of 28 without making any special social, national, or global contribution, one cannot hold back tears of sympathy and remembrance, not just out of friendship, but even from the standpoint of an impartial third party. No, precisely because the deceased's life did not exert much influence on us or future generations, we feel all the more sorrowful, and furthermore, thinking of his unfortunate and regret-filled fate, we truly do not spare ten thousand bushels of tears. Why? Because although he possessed innate brilliance (穎悟의 質), he couldn't find the opportunity (機會) to display it, <140> and though full of fervent dedication to strive, he lacked even the meager financial resources (略少한 資力) to bring it to fruition (大成케 할). If one were to put it bluntly in an extreme way, society was too lacking in understanding, and his surroundings (四圍) were too coldhearted (冷情하얏섯다). In the end, he was conquered (征服되엇고) by poverty (貧窮), and poverty devoured all his brilliant talent, no, his entire personality (呑噬하얏다). If there are those who criticize his private life during the last 7 or 8 months, 5 parts of the responsibility should be attributed to the god of poverty, 3 parts to the critics themselves, and 2 parts to his own despair and self-abandonment. To those who harshly criticize him as a frivolous wanderer, I would shout: first, thoroughly examine (洞察하고) his "circumstances" (境遇), then glance at the era with Chosŏn (朝鮮) as its backdrop, and finally, examine (撿討하라고) yourself. I certainly do not assert that he was extraordinary. However, anyone acquainted with him would nod in agreement that he was not below average. Had he been given even a slight chance to develop, he would surely have achieved outstanding accomplishments for our people and closed his eyes in peace. His short life was indeed a crystallization of agony. A record of fierce struggles. And an unexpected, miserable defeat stemming from physical weakness and feeble spirit. People say it is polite to praise one's life with clever words and flattering phrases upon their death, but I call it a defeat, just as it was in fact. Truly regrettable. Pitiful. It is our irreparable loss.
Ah— he entered the Nine Springs (九原 - the underworld) still holding that chest full of accumulated resentment. He went to the netherworld (冥土) with his marrow, bound and tied with grudges.

It is not easy for one person to fully understand another. However, misunderstandings about him were relatively common. The reason lay in his inherent nature: alongside being taciturn (寡言緘黙함과) and upright and simple (剛直淸淡한), he was somewhat narrow-minded (若干偏狹함에). Thus, he seemed difficult to approach easily, or perhaps arrogant, leading most people to adopt a policy of keeping a respectful distance (敬遠主義). But in reality, he was gentle, affectionate, and straightforward (率直하얏다). And he never deceived (自欺하는) his own feelings.
The next point of misunderstanding concerns his publishing several essays in Japanese in Tōkyō's "Taiyō" (太陽 - Sun) and other publications. However, this was certainly not something worth criticizing. On the contrary, it might have warranted praise. If he had strived to appear in Japanese forums out of a base desire of a running dog (走狗의 卑陋한 意思), bowing and begging (叩頭丐乞하야) merely to obtain the means for food and clothing (衣食의 料), then it would naturally be out of the question. But originally, he was quite unskilled in written Korean, while having a deep knowledge (造詣가 깁헛고) of Japanese. Also, his long-held opinion (持論) <141> was that among the thousands of Korean students studying in Japan, the complete absence (皆無함은) of anyone active in Japanese literary or intellectual circles was, if not quite a shame (羞恥라고까지는), certainly a loss. This opinion, I thought, was actually necessary when one could understand and trust the individual's thoughts, intentions, and character, and when their talent and knowledge (才識) were comparable (匹敵한) to those Japanese scholars and thinkers. Therefore, if people misunderstood his past based on this, I think it was due to useless, narrow-minded sentiments. When he and I first met in Tōkyō after several years, his remark that the continuous feeling between a people and a nation, or between a people and an individual, is almost mystical, and the fact that years ago, while at the Tōkyō Foreign Students Supervisory Department dormitory (東京留學生監督部寄宿舍), he instantly refused when the authorities, then viewing him as dangerous, persuaded him to become a government-sponsored student on the condition that he study science outside of politics, law, or literature—these reveal his true character vividly. In other words, while I naturally gained the honor of his close friendship because I could trust his character and thoughts, I also supported his plan to establish himself in Japanese intellectual circles.

But Namgung is gone. Gone forever. As the only son of human parents, bearing together the bitter fate of a pitiable people in these rugged (崎嶇한) times, tied to a weak and soft umbilical cord (胎ㅅ줄에 무티어서), he emerged like a shadow and faded away like a shadow. For 28 years, through the toil (劬勞) of his parents, the mercy of the universe, and the loving protection (愛護로) of his people, his thin bones grew thicker, his short stature grew taller, his lacking wisdom was filled out, all ideals, all ambitions, all thoughts possessed, all talents (才操) nurtured—all cultivated, poised to emerge and engage, yet wrapped up tightly, he vanished without trace (자최업시), without sound. At this point, what use is it to lay out a thousand, ten thousand words in sorrow? What good is calling out to him? The departed is gone, and the remaining are just left behind. Village maidens (處女兒들), paired up together, raise their voices and sing sweetly and charmingly, "Moon, moon, bright moon, the moon where Yi T'aebaek (李太白) played..." But who could know if tonight's moonlight will illuminate that maiden's dark grave tomorrow evening? Didn't the moonlight where T'aebaek played in those distant old days hide in the dewdrop-beads on the thicket over his grave tonight? Ah— but do not trust the aimless dawn wind to leave even that dew gently untouched.
Ah— Namgung! Namgung! Do not grieve that you went ahead first; it's a long road ahead that we all must travel sooner or later (早晩間). How can I, your younger brother who sent you off, know if I too will go tomorrow or the day after, next year or the year after, my black hair turned white with frost (白霜이고), falteringly following step by step (지척지척)? <142> Ah— futile are human affairs, stern is fate. Do not grieve, do not weep, that you went alone first. Ah! Namgung! Namgung! ...
But the departed is gone, and the remaining remain, so we must strive until our time comes. Do today's work today and finish tomorrow's work tomorrow. And we must live strongly and steadfastly.
Strongly and steadfastly! And righteously!
Ah!, Namgung! Namgung!
I must live strongly, steadfastly, and righteously. I must fight. And I must do today's work today. Ah!, Namgung! Namgung! This lesson you left behind, this memento you give, is dearer than gold or silver, more beautiful than jewels (珠玉보다).
Ah!, Namgung! Namgung! Where did you go? Where did you go? Did you return to the earth? Did you fly to the heavens?
Where shall we "meet again then"?
(21.11.20, Outside P'aesŏng West Gate (浿城西門外)) <143>

**Summary**

This article is a deeply personal and emotional eulogy by the writer Yŏm Sang-sŏp (pen name 想涉) for his close friend Namgung Pyŏk, a fellow writer associated with the P'yŏhŏsa literary group, who died prematurely at age 28 in late 1921. Yŏm recounts his final days with Namgung, expressing immense guilt and sorrow for not realizing the severity of his friend's illness (likely pneumonia) and for learning of his death belatedly through a newspaper while away in P'yŏngyang. He passionately defends Namgung against rumors of suicide, attributing his death to poverty, societal indifference, and misfortune that prevented his talented friend from realizing his potential. Yŏm reflects on Namgung's complex character, his struggles, his controversial decision to write in Japanese, and ultimately finds a grim resolve in his friend's death to live strongly, righteously, and purposefully.

From a historical perspective, the article offers a poignant glimpse into the lives and struggles of young Korean intellectuals during the early colonial period (1921). It highlights the harsh realities of poverty and limited opportunities faced even by the educated elite, the internal conflicts surrounding cultural identity and language use (writing in Japanese), and the formation of literary circles like P'yŏhŏsa seeking new forms of expression amidst national hardship. Yŏm's defense against suicide rumors and his emphasis on Namgung's unfulfilled potential underscore the sense of loss and frustration prevalent among intellectuals of that generation under Japanese rule. The mention of specific locations like Such'ŏl-li cemetery, P'ilun-dong, Yongsan Baseball Stadium, and P'yŏngyang provide concrete social context.

**Named Entities**

南宮璧君	남궁벽군	Namgung Pyŏk
徐蔚	서울	Sŏul
水銕里	수철리	Such'ŏl-li
京城	경성	Kyŏngsŏng
K君	K군	K
平壤	평양	P'yŏngyang
龍山野球競技場	용산야구경기장	Yongsan Baseball Stadium
파밀리·호텔	파밀리 호텔	Family Hotel
南宮薰氏	남궁훈씨	Mr. Namgung Hun
廢墟社	폐허사	P'yŏhŏsa (Ruins Society)
弼雲洞	필운동	P'ilun-dong
金(萬)	김(만)	Kim (Man?)
卞	변	Pyŏn
吳	오	O
朝鮮	조선	Chosŏn
日本	일본	Ilbon (Japan)
太陽	태양	T'aeyang (The Sun [magazine])
東京留學生監督部寄宿舍	동경유학생감독부기숙사	Tōkyō Foreign Students Supervisory Department Dormitory
李太白	이태백	Yi T'aebaek (Li Bai)
浿城西門外	패성서문외	Outside P'aesŏng West Gate (P'yŏngyang)

**Glossary**

무겹게	무겁게	Heavily (older spelling)
재빗구름	잿빛 구름	Ash-colored clouds
솔솔	솔솔	Softly (onomatopoeia for falling snow/gentle breeze)
둥	등	Back (body part - older spelling/form)
陰酸한	음산한	Gloomy, chilly, damp
벌서	벌써	Already (older spelling)
맛낫슬	만났을	When (I) met (older conjugation/spelling)
염이고	여미고	Closing, pulling together (clothing)
파뭇고	파묻고	Burying, hiding (one's head/face)
부르를 떨던	부르르 떨던	Shivering intensely (older form/spelling)
섯다	섰다	Stood (older spelling)
무룬	물은	Asked (older spelling)
긋센	굳센	Strong, firm (older spelling)
마-크	마크	Mark (loanword)
박혀잇섯던	박혀 있었던	Was imprinted/embedded (older spelling)
見苦한	견고한	Suffering hardship (Hanja-based term)
겨오	겨우	Barely, only just (older spelling)
前後	전후	Around, approximately (lit. before and after)
歸京하얏슬	귀경했을	When (I) returned to the capital (Kyŏngsŏng/Seoul) (older conjugation/spelling)
冒雨觀戰한	모우관전한	Watched (a game) braving the rain (Hanja-based term)
翌3日	익3일	The following 3rd day
안젓스랴니까	앉으려니까	As (I) was about to sit (older conjugation/spelling)
沐浴하고	목욕하고	Taking a bath
웅승그리고	웅숭그리고	Huddled up, crouched
허여질	헤어질	To part, separate (older spelling)
蟄居하얏거니와	칩거하였거니와	Stayed indoors / lived in seclusion, and... (older conjugation/spelling)
맛나뵈웟슬	만나뵈었을	When (I) met (honorific, older conjugation/spelling)
椿府	춘부	One's respected father (honorific Hanja term)
危重하지는	위중하지는	Is not critical/serious
等閑히	등한히	Negligently, carelessly (Hanja-based term)
慰問狀	위문장	Letter of inquiry/consolation
訃	부	Obituary notice, news of death
永葬한지	영장한지	Since the funeral/burial
綠分	녹분	Connection, tie, affinity (likely related to 연분 緣分)
듸디어	드디어	Finally, at last (older spelling)
廢墟社同人	폐허사 동인	Member of the P'yŏhŏsa (Ruins Society) literary group
呻吟하는	신음하는	Groaning, moaning
비롯오	비로소	For the first time, only then (older spelling)
깨다른 것가티	깨달은 것같이	As if (I) realized (older spelling)
휘둥글해	휘둥그레	With eyes wide open (in surprise)
天道	천도	The Way of Heaven, Providence
虛ㅅ된	헛된	Futile, vain, empty (older spelling)
미들 수 업슴은	믿을 수 없음은	The fact that (it) cannot be trusted (older spelling)
吊辭	조사	Condolence message, eulogy
巷間	항간	Among the public, in the streets
風評	풍평	Rumor, gossip
不純한 動機	불순한 동기	Impure motive
淺薄者流	천박자류	Shallow people, vulgar sorts
黙忍할 수 업는	묵인할 수 없는	Cannot silently endure/condone
讒誣하는	참무하는	Slandering, falsely accusing
陋劣沒廉한	누열몰렴한	Base and shameless
穎悟의 質	영오의 질	Innate brilliance, natural talent
發揮할 機會	발휘할 기회	Opportunity to display/demonstrate
大成케 할	대성케 할	To bring to great success/fruition
略少한 資力	약소한 자력	Meager financial resources
四圍	사위	Surroundings, environment
冷情하얏섯다	냉정했었다	Was coldhearted (older spelling)
貧窮	빈궁	Poverty, destitution
征服되엇고	정복되었고	Was conquered (older spelling)
呑噬하얏다	탄서하였다	Devoured, swallowed up (stronger than 먹다)
境遇	경우	Circumstances, situation
洞察하고	통찰하고	Examining thoroughly, having insight into
撿討하라고	검토하라고	To examine, review
寡言緘黙함과	과언함묵함과	Being taciturn and silent
剛直淸淡한	강직청담한	Upright and simple/pure
若干偏狹함에	약간 편협함에	Being somewhat narrow-minded
敬遠主義	경원주의	Policy of keeping a respectful distance
率直하얏다	솔직했다	Was straightforward, frank (older spelling)
自欺하는	자기하는	Deceiving oneself
衣食의 料	의식의 요	Means for food and clothing, livelihood
叩頭丐乞하야	고두개걸하야	Bowing one's head and begging
走狗의 卑陋한 意思	주구의 비루한 의사	Base intention of a running dog/lackey
持論	지론	One's long-held opinion or argument
皆無함은	개무함은	The fact that (it) is completely nonexistent
羞恥라고까지는	수치라고까지는	To the extent of being a shame/disgrace
當者	당자	The person concerned, the party involved
才識	재식	Talent and knowledge
匹敵한	필적한	Being comparable, rivaling
獨生子	독생자	Only son
崎嶇한	기구한	Rugged, rough, uneven (often used metaphorically for a difficult life/times)
胎ㅅ줄에	탯줄에	Umbilical cord (older spelling)
무티어서	묻히어서	Being buried/묻혀서 (older form)
劬勞	구로	Toil, hard work (esp. of parents raising children)
愛護로	애호로	With loving protection
才操	재조	Talent, skill (similar to 재주)
자최업시	자취 없이	Without a trace (older spelling)
處女兒들	처녀들	Maidens, unmarried young women
九原	구원	Nine Springs (poetic term for the underworld)
冥土	명토	Netherworld, Hades
早晩間	조만간	Sooner or later
白霜이고	백상이고	Being white frost (hair turning white)
지척지척	지척지척	Staggeringly, falteringly (onomatopoeia or ideophone for unsteady steps)
딸아갈지	따라갈지	Will follow (older spelling)
굿세게	굳세게	Strongly, steadfastly (older spelling)
敎訓	교훈	Lesson, teaching
珠玉보다	주옥보다	More than jewels
-e 

---------------------------


잡지명	개벽 제18호
발행일	1921년 12월 01일
기사제목	南宮璧君의 死를 압헤 노코
필자	想涉
기사형태	회고·수기

南宮璧君의 死를 압헤 노코
						想涉
무겹게 처진 재빗구름 미테서는, 今年에 두번재 보는 눈(雪)이 솔솔 나려온다. 房안에서도 둥이 선선한 陰酸한 날이다.
오늘이 벌서 南宮君이 떠난지, 10日되는 날인가 보다. 只今 徐蔚에도 눈이 오는지 모르나, 水銕里 共同墓地 한 구석에, 새로 수북히 글어 모흔 붉은 眞흙뎅이 우에도 희ㅅ긋희ㅅ긋하게 뿌렷슬 것이다. 내가 京城을 떠나기 前前날에 맛낫슬 際, 外套깃을 올려서 압흘 염이고 자라 목아지처럼 고개를 파뭇고「어이 치워- 하며 부르를 떨던 貌樣이, 눈압헤 섯다. 소리가 귀에 들린다. 그 前前날에 K君房에 누엇슬 때의 熱에 띠운 벌건 눈이 보인다. 내가 몃마디 病勢를 무룬 때, 君은 「응, 에이 죽겟서!」하며, 괴로운 듯이 몸을 뒤쳣다.
「응, 에이, 죽겟서!」 - 恒用하는 지나는 말이다. 하는 사람도 그리 생각하얏고, 듯는 사람도 그 以上의 意味로는 듯지 안핫다. 그러나 그 힘업는 한마디 뒤에는, 벌서 宿命의 굿센 마-크가 박혀잇섯던 것을 누가 알앗스리요
君이 感氣로 見苦한 것은, 겨오 前後10餘日에 不過하얏다. 내가 平壤에 왓다가, 10月 30日에 歸京하얏슬 때, 君은 今晩에 出發하랴다가, 途中에서 어찌될지 몰라, 中止하얏다고 東京行의 延期를 辯明하얏다. 그날 밤에도 身熱이 낫던지, 잠자코 먼저 歸家하얏다. 이틀만에 卽今月 1日 夕陽에 맛낫슬 때에는, 熱이 大端한 貌樣이엇다. 2日에는 龍山野球競技場서 맛낫다. 나는 먼저 歸城하얏지만, 君은 乃終까지 冒雨觀戰한 貌樣이엇다. 追後에 들은즉, 每夜에 煩熱과 싸우고도 野球大會에는 3日 連하야 參觀하엿다 한다.
그 翌3日 午後 3時頃이엇다. 파밀리·호텔 6號室 K君房에 暫間 안젓스랴니까, 君은 으스스 치운 모양으로, 沐浴하고 가는 길이라 하며 들어와서, 暖爐의 불을 도은 後, 毛布로 몸을 둘둘 말고 웅승그리고 안젓섯다. 君은 무슨 생각을 하얏던지 가다가다 소리를 내어＜138＞ 웃엇다. 무엇이 그리 웃으우냐고 내가 무를 때, 君은 「아니-」하고 말앗다. 暫間 잇다가 가지안켓느냐고 끌어보앗스나, 몸을 좀더 녹여가지고 가겟다하기에 「그럼 또다시 맛납시다」하는 人事를 뒤에 두고, 나만 먼저 나왓다. 只今 생각하면, 그때가 이 世上에서 君과의 永訣이엇다.
「그럼, 또다시 맛납시다!」-君과 허여질 때에는, 반듯이 하는 君의 人事다... 아- 어대서 다시 맛나자는 말인가!?
그 後2, 3日間은, 나도 蟄居하얏거니와, 彼此에 맛나지 못하얏다. 6日 午後에 路上에서 君의 椿府南宮薰氏를 맛나뵈웟슬 때에는, 昨夜 以來로 좀 甚한 듯 하다는 消息을 들엇스나, 勿論 그리 危重하지는 안흔 모양이엇다. 그도 또한 그리 憂慮하는 빗은 업섯다. 그날 밤에 나는 急히 北行列車에 올랏다. 한번 慰問은 하여야 하겟다고는 생각하면서도, 感氣氣쯤이야...하는 생각으로 等閑히 여겻섯다. 이곳에 와서도, 別로 慰問狀을 보내랴는 생각은 꿈에도 업섯다. 大槪는 벌서 東京으로 向하얏스리라 생각하고, 2, 3親故에게 消息을 무를 따름이엇다. 至今 알고 보니 그 消息 무른 것도 벌서 君이 世上을 떠난 뒤의 일이엇다. 생각할스록 꿈갓다. 世上에 잇지 못할 일갓다. 故人은 勿論이려니와, 自己의 不敏한 罪일망정 야속하고 怨痛한 일이다. 더구나 未安하고 一生의 恨인 되는 것은, 君의 訃를, 永葬한지 5, 6日後에 數百里外에 잇서서 新聞을 通하야 밧게된 것이다. 어쪄면 今世의 綠分이, 그러케도 엷던가, 생각할스록 야속하다. 억그제까지 한 時를 떠나지안코, 맛붓들고 단이던 親友의 死를, 休紙로 굴러 단이는 新聞쪼각 한구퉁에서 發見할 際, 나의 머리, 나의 神經, 나의 눈, 나의 입, 나의 手足... 아-, 나의 가슴은, 어떠하얏슬가. 神의 指示하심이엇던지, 나의 視線이 機械的으로, 南宮璧君 永眠이라는 굵은 黑線에 멈출제, 나의 腦漿은 一時에 凝結하얏다. 모든 精神的 作用은 一時에 停止하얏다. 意味업시 부릅뜬 雙眼에는 아모 것도 비추이지 안핫다. 귀는 물속으로 들어간 것처럼 漸漸 멀어젓다. 앗! 하며, 벌이고 섯는 내 입은, 얼어부텃섯다. 新聞을 든 손은 것잡을 새 업시 덜덜덜 떨리엇다. 나는 한숨에 通讀하얏다. 그래도 疑 心치 안흘 수 업섯다. 또 한번 글字를 세우듯이 하야가며 읽엇다. 그러나 나는 나의 視覺을 疑心치 안흘 수 업섯다. 乃終에는 璧字의 字劃을 細細히 드려다 보앗다. 아-, 그러나 一毫의 틀림이 업진 안흔가.＜139＞ 인제는 疑心할 餘地가 업다. 족음이라도 疑訝한 點이 잇슬진대, 아즉도 一條의 希望의 빗이 남앗슬 것이다. 그러나 듸디어 絶望안할 수 업섯다. 廢墟社同人이라 하얏고, 弼雲洞 自宅이라 하얏다. 廢墟社 同人으로 弼雲洞 一隅에서 呻吟하는 南宮璧이라는 사람은, 16萬 萬人衆에 오즉 한사람이다. 그리고 그 한사람은, 이제는 永永 어대갓다. 16萬 萬人中에서는 벌서 벗어낫다. 그러나 어대갓나? 흙에 돌아갓나? 한울에 날아갓다! 人生의 無常을 이제 비롯오 깨다른 것가티 눈이 휘둥글해 놀남은, 아즉 天道의 公편됨을 아지 못함이려니와, 虛ㅅ된 것은 人事요, 미들 수 업슴은 人命이며, 두렵고, 反逆할 수 업는 것은 大自然의 大法則이다.

